ParlaMint-NL_2017-03-21-eerstekamer-6.u1	I would like to welcome the Foreign Minister to the First Chamber.
ParlaMint-NL_2017-03-21-eerstekamer-6.u12	To be honest, I do not have so much more to add to the reasoning I have already put forward. It is important that we make progress on what we agree internationally. Montenegro has also made a request to this effect. I can understand that Montenegro wants to send a clear signal to its people. I therefore very much appreciate that we can talk about this today. Over the past period, there has been a relative calm in the Western Balkans, especially in comparison with the 1990s. I would like to underline the word'relative'. However, relative calm is not yet sustainable stability. The Western Balkans have taken great steps forward since the devastating wars in the 1990s, partly thanks to the Euro-Atlantic perspective offered to them. You could say that this has had a conflict prevention effect. However, it remains a very vulnerable region. All Members referred to this. I am thinking, for example, of the problem of returning foreign fighters. That is indeed a problem. It also highlighted the situation in Kosovo, cross-border crime and the migration crisis. These issues, of course, affect the Netherlands directly. I am also very aware of Russia's broader geopolitics in the Western Balkans. I don't think anyone can deny that. The region's links with Russia have traditionally been established, particularly in Serbia, Montenegro and Republika Srpska. Recently, Russia appears to have increased efforts to exert its influence, sometimes visible and sometimes less visible. The region surrounded by the alliance is of strategic importance. It is essential to maintain the region's Euro-Atlantic course through continued engagement. NATO must also continue to invest in the region. We must therefore continue to work closely with our partners in the region. That's what they want. Think of NATO's cooperation relationship with Serbia. I come to Montenegro's accession. As we know, this has been preceded by a long process, the so-called MAP process. They have been preparing for NATO membership for a long time. On 2 December 2015, Montenegro was invited to accession negotiations for NATO membership. On 19 May 2016, NATO Foreign Ministers signed the Accession Protocol. The cabinet informed the Lower House of this, including through the reports of the relevant NATO ministerial. The members of the Supreme Court have had them, too. In December, a very large majority of the House of Representatives agreed to the accession of Montenegro. This accession is a logical follow-up to the wider NATO strategy in the Western Balkans. Since the 1990s, NATO has made an important contribution to stability in the region. Previously, Slovenia, Croatia and Albania joined in 2009. It is in the interest of the Netherlands that Montenegro should also be embedded in the Euro-Atlantic structures and that NATO should continue to work on good cooperation relations with other countries in the Western Balkans that are not members of NATO. These are in particular Serbia, Bosnia and Herzegovina and Macedonia. That is what happens with that, by the way. Welcoming Montenegro's choice for NATO is important. It is a strong message from NATO to other countries in the region. NATO's message is that they are welcome under strict conditions and that NATO is prepared to embrace those countries that seriously reform their systems and support NATO values. I will come back to those specific reforms later. The message is also that NATO remains committed to the open door policy, I say to the spokesperson of the SP Group. NATO encourages democratic reforms and defence reforms of prospective alliances. Montenegro's accession thus contributes to stability in a historically very divided region at the borders of the alliance. This is also in the interest of the Netherlands. All neighbouring countries are actually convinced that this is a good thing. There is therefore no difference of opinion, not even with a country like Serbia. It is at least as strong a message to those who believe that countries should not be able to choose for themselves. It is the free will of the Montenegrin people, of the parliament, to make and submit this choice again. As we all know, Moscow has no respect for NATO's enlargement as far as I am concerned. The SP spokesperson seems to think so, but I do not think so. NATO cannot afford for Montenegro to be heavily under Russian influence and thereby stray from the reform path that has been put in place. This would instantly trigger further instability in the Balkans.
ParlaMint-NL_2017-03-21-eerstekamer-6.u13	The Minister said that the SP Group seems to think that Russia has some sort of veto right. That is, of course, completely incorrect. I didn't say that at all. On the basis of NATO treaty, we would argue that it is up to each country to determine whether another country is welcome or not and under what conditions. The NATO Treaty states that NATO can only be extended by consensus. The right of veto does not lie with Moscow, but not with a country that might wish to join, such as Montenegro.
ParlaMint-NL_2017-03-21-eerstekamer-6.u14	I'm glad to hear that's not your opinion. Your considerations are very similar to those of the Russian Federation, but it is good to hear that this is not the point you wish to make today.
ParlaMint-NL_2017-03-21-eerstekamer-6.u15	The way in which the Minister interprets my words gives us thought. I would like to ask the Minister about the relationship with Russia. Does the Minister see a possible risk of worsening relations with Russia as a result of Montenegro's accession? And, if so, does he see that as something that you should increase as a related cost in the cost-benefit analysis as a result of whether it is sensible or not that Montenegro joins?
ParlaMint-NL_2017-03-21-eerstekamer-6.u16	Honestly, I can't judge that. That depends on the Russian Federation. It is the Montenegrin government that, even after two elections, chooses to join NATO. If Montenegro then meets the requirements, it is a free choice of a country and then it is up to others to assess whether they are making a problem of it.
ParlaMint-NL_2017-03-21-eerstekamer-6.u17	Mr Van Apeldoorn, finally.
ParlaMint-NL_2017-03-21-eerstekamer-6.u18	The Minister is familiar with the Russian position in this matter, isn't he? Do I really have to understand that the Dutch Foreign Minister says: "Montenegro is free to join NATO We do not judge the geopolitical consequences and the possible tensions that this creates; we see it. It may cause tensions with Russia, and it may not. We have no idea, but we do not take that further into account in our consideration and consideration"? Is that how I understand the Minister's words?
ParlaMint-NL_2017-03-21-eerstekamer-6.u19	No, that's a misinterpretation, because I didn't say that at all.
ParlaMint-NL_2017-03-21-eerstekamer-6.u20	Perhaps the Minister could explain that one more time.
ParlaMint-NL_2017-03-21-eerstekamer-6.u21	I'd be happy to. That's what I was doing. I have just explained in detail why I believe that it is important for the stability of NATO and of the Balkans and because of the democratic desire of the people that Montenegro should become a member of NATO. There is almost unanimity in NATO on this. The point is that we also have a geographical entity from Faro to Istanbul and that there is clarity about that. There is no problem with neighbouring countries in this respect. It is a free wish of the people and of parliament. I do not think it would be appropriate for the Dutch Government, which itself sees the importance of this, to say that this is not the case. We are, of course, making an assessment of whether there will be geostrategic or other consequences, but that is very difficult to estimate. I do not know exactly what the Russian sphere of influence should be in Montenegro, what exactly Russian interests there are and whether, in view of what we have heard about the attempted coup, the Russians want to seek other ways of giving Montenegro a reduction in quality. That's up to them. I agree with the Group of the Party of European Socialists that this is not the only thing in itself when it comes to the relationship between NATO and the Russian Federation. The Dutch Government is in favour of the NATO-Russia Council. It is also in favour of discussions with Russia, both at military and political level, with regard to a large number of interests, whether anti-terrorism measures, Syria, arms control, the Open Skies Treaty or transparency. The Dutch Government has put forward proposals for this. I am in favour of cooperation with the Russian Federation wherever possible, but that is something other than giving the Russian Federation the troit de respect at the express request of the Montenegrin government. I come to a number of questions that have been asked in that context. We welcome Montenegro's choice. I am familiar with the coverage in international media, including the British newspaper The Telegraph, based on sources from the United Kingdom about Russian involvement in the alleged coup attempt. Research will have to determine to what extent these messages are well-founded. It is now up to the courts in Montenegro to clarify what is happening. The Special Prosecutor of Montenegro Katnic did point out Russian involvement. I think it would be serious if this were the case. I am therefore not at all naive about the role of Russia in that region; it is important to underline that in this debate. But, of course, it's about justice. Montenegro will address that case through the Special Prosecutor before 15 April. He seems to have made a complaint against 25 people. I support the Montenegrin authorities in their legal approach and welcome their appreciation of the cooperation of the Serbian authorities. It's a good thing there's no problem. The SP Group is right about the Russian position with regard to Montenegro's NATO membership. Montenegro wants to be part of the Euro-Atlantic structure. A majority of the population is in favour of accession. Russia has not been able to explain to any Member State the security interests at stake. Montenegro is geographically far from Russian borders. As far as I am concerned, Moscow's arguments do not go far enough. I also believe that the argument that territorial differences between Montenegro and neighbouring countries such as Albania and Croatia would hinder NATO membership of Montenegro is not valid. Montenegro's neighbours, already members of NATO, Albania and Croatia, have agreed to join Montenegro. In fact, the foreign ministers of Croatia and Albania have recently sent me a letter in which they advocate Montenegro's accession to NATO as an important development for stability in the region. I think this is important, because I am saying this to Mr Van Apeldoorn, because this is precisely the reason to say that it will increase stability when we see problems in the Balkans. In spite of differences of opinion, Albania and Croatia are therefore taking precedence over the importance of regional stability. Moreover, any territorial differences in themselves have never been an obstacle to NATO membership. Many countries have this, but it is nevertheless important in this context to appoint the position of neighbouring countries. Serbia has also expressed no difficulty with Montenegrin accession. Serbia respects Montenegro's independence and its neighbours' Euro-Atlantic aspirations. It is the wish of the Dutch government that Montenegro should become the 29th NATO member. Moreover, I would like to say that there is no prospect of further expansion of the alliance in the near future in view of the criteria and positions of different countries at present. 25 out of 28 allies have now parliamentaryly approved the protocol for Montenegro's accession to NATO. A large number of countries have already completed the formal ratification procedure. Only the United States, Spain and the Netherlands have yet to complete the parliamentary approval process. This is expected in Spain in the short term. The US Senate Committee on Foreign Affairs has now approved the protocol. There is still a plenary vote to follow. I will be briefed on that. I'm traveling to the United States tonight. We will discuss this tomorrow morning to see how the debate is going. I do not have any other information on this at the moment. According to the contacts we have so far, at least with the Secretary-General of NATO, this is and remains the procedure. I'd like to take a look at that tomorrow. In response to the questions raised by the Chamber on reform, I repeat that this is an important point. On 2 December 2015, Montenegro was invited to accession negotiations with a view to membership. This has been preceded by a six-year journey. Montenegro now meets the requirements of the NATO Treaty, but does not meet the requirements of the EU Treaty, as many additional conditions still need to be met. That is not at all the issue right now. Montenegro wants and can contribute to Euro-Atlantic security. The country is already doing this in the context of Resolute Support. As indicated, Montenegro has launched and implemented an impressive reform policy in recent years. In reply to the written questions, I have already addressed the reforms that Montenegro has implemented both at EU and NATO level. These processes are not only interconnected, they also reinforce each other. Let me give you some examples: the Special Prosecutor's Office and the Anti-corruption Agency, established to fight corruption cases and organised crime, the constitutional reforms in 2013 and the adoption of a law in 2015 for a national recruitment system for judges. I can give another example: the elections in October 2016 carried out in accordance with the new electoral law. NATO has carefully monitored and assessed this reform process. The general consensus is that the reforms needed have been implemented satisfactorily and in accordance with the commitments made with Montenegro. We do want them to become even more substantial; the accession negotiations at the beginning of 2016 discussed what should be in the programme for ongoing reforms. This programme committed Montenegro to continuing reforms in specific areas, such as military capacity building and the rule of law development. The reform targets for, and if necessary after, accession are provided with action plans and deadlines. Montenegro shall keep allies informed of progress, with a quarterly update. For the Netherlands, there are specific concerns: the development of the rule of law and freedom of the media. Of course, we also have all kinds of bilateral contacts, to which Mr van den Broek referred. They're in the election group. This means that for years we have been very involved in the reforms in Podgorica on all these elements, such as economic reform policy and a number of issues relating to the rule of law and the predictability of legislation. NATO will continue to support Montenegro in the reform process, but does not shy away from critical questions. The Netherlands is also very involved in the reporter Jovo Martinovic. His trial finally began after a year of detention in October. We will continue to monitor this matter very closely bilaterally, stressing, of course, the importance of a fair trial. It has also been said that we must export stability and prevent imports of instability as far as possible. I think this is indeed important. You must also want Montenegro to make a positive contribution to security itself. This is now being done through the NATO mission in Afghanistan and through a contribution to the Resolute Support mission.
