ParlaMint-NL_2017-07-05-tweedekamer-5.u1	I give the floor to the Minister of Finance.
ParlaMint-NL_2017-07-05-tweedekamer-5.u27	In short, if nothing changes, would it prove that older people, benefit recipients and low and middle incomes are lagging behind the highest incomes, does the government propose to correct this?
ParlaMint-NL_2017-07-05-tweedekamer-5.u28	I believe that this is in line with the agreements in the coalition agreement. That's what we've really done every year.
ParlaMint-NL_2017-07-05-tweedekamer-5.u29	Speaking of agreements in the coalition agreement, I would like to draw the Minister's attention to the budgetary rules...
ParlaMint-NL_2017-07-05-tweedekamer-5.u30	Do you want me to answer that right now? I have the question very clearly so that you do not have to repeat it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u31	That helps.
ParlaMint-NL_2017-07-05-tweedekamer-5.u32	Often Cabinets have an agreement on what needs to be done when the budget is back in order and there is a lot of money left. That's a certain key. A part then goes to relief, a part to repayment of public debt and sometimes you could also say that part goes to spending. I believe that you quoted budget rule 6, which deals with the situation that if there was a surplus, a quarter of it would go to reducing the burden. It was quite inconceivable at that time that we would still see that there was a surplus; we also laughed at it when we wrote the coalition agreement. When we drew up and presented the budget on Princess' Day, there was no question of that either because we expected a deficit of half a percent. Over the course of this year, this financial year has turned into a surplus. The last estimate is a surplus of 0.2. To this end, my answer is: we are not going to change tax rates or scales for the current year, to adjust fees and so on. We don't. We never do. You can't.
ParlaMint-NL_2017-07-05-tweedekamer-5.u33	This was the answer to the questions put by a number of Members? That's what you've done with this?
ParlaMint-NL_2017-07-05-tweedekamer-5.u34	As far as anyone who advocates purchasing power repair, tax adjustments and refunding money to people is concerned, this answer applies.
ParlaMint-NL_2017-07-05-tweedekamer-5.u35	Mr. Van Dijck.
ParlaMint-NL_2017-07-05-tweedekamer-5.u36	I am glad that budget rule 6 is respected and that it does not, because when it was drafted it seemed unlikely, now disappears into the trash. If we don't adjust now, I assume you're thinking about 2018 and then there's still budget rule 6. So after August last year, that windfall turns out to be happening and so a quarter is reserved for relief, so I can assume that on Prinsjesdag with the Tax Plan there is at least 1 billion relief in the books according to budget rule 6?
ParlaMint-NL_2017-07-05-tweedekamer-5.u37	Mr Van Dijck can't assume anything yet. Once I express the hope that I will not have to present the budget on Prince's Day and then we will see what is in it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u38	The PvdA Minister says to the PvdA Chamber member: the budgetary rules are maintained. Does this mean that, if this cabinet is still in the decision-making process in August, it then complies with the rules of the game as laid down and then not just no. 6 as well as all the other rules laid down in the coalition agreement?
ParlaMint-NL_2017-07-05-tweedekamer-5.u39	Strictly speaking, you are asking for it on the man side. If the coalition parties agree, a coalition can rewrite the coalition agreement on the spot. Should it be necessary and if both coalition partners agree, that is possible. The answer to this cannot therefore be "yes'.
ParlaMint-NL_2017-07-05-tweedekamer-5.u40	But now it's really going to be very bar. The PvdA asked about the rule she likes: do you stick to it, Minister? Then the Minister said: yes, of course I will stick to that. Then when I ask if all the rules are true, he says: well, we could rewrite them. I would like to ask the question again: does the Minister comply with the rules agreed in the coalition agreement, or does he only abide by the rules agreed in the coalition agreement that he likes?
ParlaMint-NL_2017-07-05-tweedekamer-5.u41	No, it's not about what I stick to, it's about what the government and the coalition wish to stick to. The agreements are in place until the coalition decides unanimously to change the agreements. Given the agreements as they are, we'll stick to them, but the coalition can decide to do it differently. You can always do that. That also happens during a cabinet period. Once again, I hope that the negotiating parties will move forward, so that I do not experience any of this anymore.
ParlaMint-NL_2017-07-05-tweedekamer-5.u42	Finally, on this point.
ParlaMint-NL_2017-07-05-tweedekamer-5.u43	So the government keeps to the agreements, unless both parties decide together that they make other agreements. It is therefore not the case that one of the two parties deviates from that.
ParlaMint-NL_2017-07-05-tweedekamer-5.u44	That's right.
ParlaMint-NL_2017-07-05-tweedekamer-5.u45	And that applies to all agreements in the annex with the rules of the game. I shall come back to that in a moment, as a result of what this means for the education budget, because I do not think that the Minister is fully aware of this.
ParlaMint-NL_2017-07-05-tweedekamer-5.u46	This is a typical Omtzigtian remark. I have no idea what he means, but the coalition agreements apply until the coalition agrees otherwise. I can advise him for years to come. It's a practical way of working.
ParlaMint-NL_2017-07-05-tweedekamer-5.u47	You may respond, Mr Omtzigt.
ParlaMint-NL_2017-07-05-tweedekamer-5.u48	Thanks for the advice, but as my colleague from D66 has just said, there is a setback in the education budget. There's been a break-up of windfalls and setbacks. If additional expenditure is to be incurred by new policies, this cannot be done under the budgetary rules. Then we'll have to get rid of the setbacks first. So the Minister can only start raising teacher's salaries if he has eliminated the fallout of half a billion. That's what his budget rules say. That's right, right?
ParlaMint-NL_2017-07-05-tweedekamer-5.u49	This also applies: if I agree in the coalition on the way we do it, then that is how we do it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u50	Last week there was an interrupting debate between Mr Krol and the Prime Minister, when it was discussed about the 5 billion that unfortunately went to the workers, only to the workers............................................................................................................................................................................................................................................. The Prime Minister then said that he would listen to opportunities to do things differently next year. The minister just said that the cabinet could also make different arrangements in 2018 than it might have planned so far. Is the cabinet prepared to look at a significant, exclusive reduction in the burden for the elderly, outside the generic burden relief, in order to make up for their decline in purchasing power? I have already referred to the Law on standardization of pay and the fact that in those 5 billion are not shared by the elderly. There has been a major reduction of 5 billion. The Minister...
ParlaMint-NL_2017-07-05-tweedekamer-5.u51	Clear.
ParlaMint-NL_2017-07-05-tweedekamer-5.u52	The minister says he did 1 to 2 billion every year, if necessary, but we didn't participate in the 5 billion. Can we do business with you now? Would you like to include this in any adjustment of the plans for next year's budget?
ParlaMint-NL_2017-07-05-tweedekamer-5.u53	We will do what we do every year. In August we look at the purchasing power picture. If there are imbalances in this and, on the basis of the latest figures I have seen, there is an imbalance in the picture for the elderly, we will correct it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u54	I was actually referring to the fact that in 2016 that 5 billion went almost entirely to the workers alone. Mr Krol asked the Prime Minister last week whether he would like to do something about this for the next budget. He said he was listening to that. My question to this Minister is whether he is not only listening to this, but also taking this question with him to the budgetary discussions, because it cannot be that in the case of tax increases, the elderly simply have to participate, while reliefs go exclusively to the workers, as happened with the 5 billion.
ParlaMint-NL_2017-07-05-tweedekamer-5.u55	This 5 billion has been a very targeted package, with the aim of improving the functioning of the labour market and helping people to work from benefits. That package was very targeted. 50PLUS has no sympathy for that. I regret that. This was, as a result of the crisis, a very focused and conscious choice to support the labour market and ensure that people come to work at the bottom. This was partly done by meeting employers, partly by ensuring that people just have net more left in their pockets. 50PLUS has spoken shamefully of this. I just don't agree with that. As far as I am concerned, 50PLUS rightly asks to ensure that income trends, including those of the elderly, provide a balanced and fair picture. That's something else.
ParlaMint-NL_2017-07-05-tweedekamer-5.u56	The Minister suggests that we do not understand the measures taken for workers, including at the bottom of the labour market. On the contrary. Our point is only: if we reduce the burden on labour and also on the bottom, then we also have to reduce taxes for those who have worked, on former labour. That's what the law says. You cannot apply age discrimination by saying: we are going to increase the employment discount, but we are not going to increase the elderly discount. It was initially reduced by €93 two years ago. That is what we are fighting against.
ParlaMint-NL_2017-07-05-tweedekamer-5.u57	That's the good right of 50PLUS. Each cabinet can, of course, take very targeted measures. I would like to mention, for example, the increase in the employment discount. If a cabinet has the majority of the Chamber behind it, a cabinet can do so at any time. This does not mean that you will have to take measures to strengthen purchasing power for everyone outside and around it. It just doesn't work that way in democracy. We have different buttons in the tax system. You don't have to hit them all at once. You can also just give one button a swipe.
ParlaMint-NL_2017-07-05-tweedekamer-5.u58	Very briefly!
ParlaMint-NL_2017-07-05-tweedekamer-5.u59	The main thing for me is that it is tax age discrimination. That's what the Secretary of State is all about. If the Minister reduces taxes on labour, he must also reduce taxes on non-work. You cannot raise the secondary purposes of the tax as a primary objective by reducing only the tax on labour. That never happened in the past. This has happened extremely in the last four years with the employment discount of €1,000 added.
ParlaMint-NL_2017-07-05-tweedekamer-5.u60	Mr Van Rooijen can use these terms, but that does not mean that it is true. It has, of course, also happened so often in the past that new instruments have been introduced into taxation to stimulate the labour market, to help workers, to assist entrepreneurs and to reduce their tax burden. You can't be in favour of that, you can say that it's all instrumentalism and that you shouldn't have that in the tax system, but our tax system is forgiven for it. The simple thesis that if you turn a button that works for entrepreneurs or for workers, you also have to make the same money available to non-working people, is a political view. But that's not how the system works. That is not a view that is widely shared. You can simply take targeted measures if that is politically desirable. Then there is the discussion about wages and the labour income ratio. The new figures that our advisers have worked on together indeed show that the labour income ratio has fallen in recent years. It's also below the long-term average. That suggests room for higher wages. And I always add: the picture varies by sector. Yeah, it is. These are determined primarily by the social partners. Hence my appeal, which is now being widely shared. The cabinet itself follows up on this. In this spring note, for example, we have released 300 million to compensate for the higher pension premium, so that there is still room for wage increases in the sectors covered by the ABP.
ParlaMint-NL_2017-07-05-tweedekamer-5.u61	How much room is available for wage increases in the sectors covered by the ABP?
ParlaMint-NL_2017-07-05-tweedekamer-5.u62	With this 300 million, it will be possible to get an average increase of 1%.
ParlaMint-NL_2017-07-05-tweedekamer-5.u63	Then it's about 1% raise for teachers, defense personnel, co-governments?
ParlaMint-NL_2017-07-05-tweedekamer-5.u64	Now we need to be much more precise, because it matters very much what is already going on, when collective agreements expire and when a new collective agreement should be concluded. That's why I'm formulating it carefully. With this 300 million it is possible to raise 1% this year for these sectors. In some sectors there was already some room for wage increases. That's where it's being replenished. There was less room in other sectors. You'll come together at 1%.
ParlaMint-NL_2017-07-05-tweedekamer-5.u65	This 300 million for the ABP premium does not therefore have to be paid to the ABP, but can be used for the wage area. Do I understand that correctly from this answer?
ParlaMint-NL_2017-07-05-tweedekamer-5.u66	Our approach is always: the wage space is 1. Part of this goes to the contribution of pension contributions and part to income. Thus, if contributions to the ABP go up significantly, this will be at the expense of the total wage area. That is why we have decided to add 300 million more, so that there is still room for a raise. Otherwise it would have gone off the space for a raise, to put it simply.
ParlaMint-NL_2017-07-05-tweedekamer-5.u67	Finally, Mr Omtzigt.
ParlaMint-NL_2017-07-05-tweedekamer-5.u68	This leaves 1% extra for wage increases, on average for the whole wage building, for everyone covered by the ABP?
ParlaMint-NL_2017-07-05-tweedekamer-5.u69	The formulation listens closely. With this 300 million there is room for an average 1% wage increase for these sectors. I say it again, because it depends very much on the collective agreement. How long will it last and what arrangements will continue in this year? That is why my wording is: with this 300 million, it is possible for these sectors to get an average increase of 1% this year.
ParlaMint-NL_2017-07-05-tweedekamer-5.u70	Chairman...
ParlaMint-NL_2017-07-05-tweedekamer-5.u71	However, I would suggest that the Minister continue with his answers. He's been at it for about nine minutes, but we've been at half an hour of interruptions. Interrupting every sentence doesn't make it any clearer. A lot of questions were asked in the first term.
ParlaMint-NL_2017-07-05-tweedekamer-5.u72	Then I'm gonna...
ParlaMint-NL_2017-07-05-tweedekamer-5.u73	The point is that 300 million has been added. There's ABP bonus. So it can now be used in general? I just have a very specific question: how much extra pay space does this 300 million, which is to a large extent added to the education budget, lead to for teachers' salaries in primary and secondary education? How much extra can these be increased by this extra addition?
ParlaMint-NL_2017-07-05-tweedekamer-5.u74	If you want to know by sector, I'll have to come back to it in second term. The system is such that, at the time when the ABP pension premium increases significantly, employers have to pay a large part of it. It is therefore based on the wage room available at the negotiating table for collective agreements. Unfortunately, there are always two negotiating tables. Here the pension contributions are discussed by the social partners and there the wages. If the premiums are substantially increased, there is no money left. So we have said: we are adding 300 million over the whole of the sectors, so that new collective agreements can be concluded, with an overall increase of 1% for these sectors. There wouldn't have been one otherwise; we would have stopped again.
ParlaMint-NL_2017-07-05-tweedekamer-5.u75	I am sorry, Mr Omtzigt, but I suggest that the Minister continue with his answers. You will have the opportunity to ask questions.
ParlaMint-NL_2017-07-05-tweedekamer-5.u76	I will come back in the second term to the issue of the education sectors and to the question of how it works for them.
ParlaMint-NL_2017-07-05-tweedekamer-5.u77	Please continue.
ParlaMint-NL_2017-07-05-tweedekamer-5.u78	I'm coming to Europe now. Many questions have been asked by Mr Van Dijck about the views expressed by the European Commission. Mostly those are notes with scenarios. There are no choices yet. Nor is it expected that decisions will be taken in Europe in the short term on matters such as a budget for the euro area, Eurobonds, a European Minister for Finance and so on. You will soon receive a more comprehensive response from us to the EU reflection paper. You can, of course, put that aside, knowing that there will be a new cabinet, where perhaps new views will emerge on this point. I can't predict that. In any case, I do not expect this outgoing cabinet in Europe to have to take a stand on these visionary ideas. Is Brexit a body in the closet? Is it a setback and we're supposed to be in the pouch? The UK is a strong net contributor in Europe. So if they leave, there will be a net hole. That is why the Netherlands is committed to a modernised and financially sustainable MFF. This means that the budget must be resized so that the Dutch contribution will not increase due to the Brexit. That is our view on this. Here too, the wording is very precise. The Dutch contribution is likely to increase, albeit for other reasons. That is already provided for in our multiannual estimate, but our aim is not to allow the payment to increase further by Brexit. That's it, in short. We recently had an AO on the MFF with the Foreign Affairs Committee, I think. Mr President, the order of answer may not be entirely logical, but I am simply going through the pile of questions. Questions have been asked about the separation of income and expenditure. Mr Omtzigt has asked for this. Is that still the case? Yeah, that's what we're talking about. We remain under the expenditure framework, so there is no tension on that either. As Mr Omtzigt knows, we are currently expecting 1 billion below that. We have been able to solve a number of pressing issues that require additional expenditure under the expenditure ceiling. There is still room within the expenditure framework. So there is no question that we need to break that ceiling on a regular basis. Budgetary rule six we've had. Mr Azarkan van DENK asked about cash slides. Is this not artificially improving the short-term, while the long-term is deteriorating? No, it is not, but I think the problem arises because we have shown the annual slides in the multiannual annex to the Spring Paper, 2017 to 2021. If you look at it alone, it seems as if the image is burdened with 1.3 billion. Also, cash slides should be combined to be neutral in their effect. You get the full picture when you take 2016 through 2022. Then you see that the addition of these slides is neutral again. I think that's where the misunderstanding comes from. Then there is the budget for education. In recent years we have indeed spent a lot of time on budgets such as those of V and J and Defence. I'll get to that in a minute. At the moment, much attention is being paid to the budget for education. Mr Omtzigt has asked an interesting political question. He started saying it's a shame the finance minister isn't on the pennies anymore. I'm rarely accused of not sitting on the pennies. The surplus disappears like snow before the sun, he said. The opposite is true. We have to stick to the facts. We initially expected a deficit this year, but that has been turned into a surplus and that surplus is increasing further with each new budget item at the moment. I am going to talk about the effect of the quality framework on care, but it is certainly not the case that the surplus disappears like snow for the sun. Perhaps Mr Omtzig meant the sustainability balance. This will be recalculated by the CPB, possibly on Princess Day and otherwise when the new cabinet takes office. Then the government balance will be re-established. Here too, spending on nursing homes will have an impact on the maintenance surplus, but I assume that we will still have sustainable public finances. We'll hear and see from the CPB. Then I come to the education budget. In the case of education, a mission is still open. This task has been further increased by the setback, which is actually a windfall, on the student estimates. We agreed to cover it for the current year. After all, we are still responsible for the budget. If we have to present a new budget on Princess Day, we will, of course, also make the 2018 budget neatly final, including for OCW. The dilemma is how we deal with longer-term targets. Should there be any further measures, should they be taken at Education or elsewhere? So far, our consideration has been that we should leave that at the negotiating table, because there may be differences of opinion between the negotiating parties. If things are different, we are open to political guidance towards Princess Day. But we'll see about that. The same applies to educational desires. Questions have been asked about an additional 10 million for the cultural budget that the Chamber has made available. I really can't say anything about it right now. We will possibly involve this in the discussions in August. Otherwise it will have to come from the Chamber again. Questions have been asked about educational disadvantage policies. Fortunately, based on the old distribution system and old criteria, the number of low-skilled parents is steadily decreasing. That was the criterion for money for combating educational disadvantages. That budget could therefore be adjusted downwards. That's the austerity you're seeing right now. That's possible, because there are fewer low-educated parents. As a result, the discussion continues as to whether there should be a new distribution system and whether this criterion is still good. The Secretary of State for Education said he's not gonna do that next year. He's still in consultation with the VNG about the distribution system. We are not going to take any action on this either at the moment. Again, in August we can consider matters, but in principle the Secretary of State for Education is working on this. We will look at all these educational wishes in August, partly in the light of what we are doing with the open mandate. I can't say much more about it right now.
ParlaMint-NL_2017-07-05-tweedekamer-5.u79	If there is no extra money for education, for salaries on top of ABP, does that mean that the Minister of Finance does resign, that he does not resign or that it is not yet known?
ParlaMint-NL_2017-07-05-tweedekamer-5.u80	I never speculate on resigning. I do it or I don't, but I'm not gonna speculate about it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u81	Nevertheless, the Deputy Prime Minister said that the PvdA executives, one of whom is this Minister of Finance, will resign if there is no extra money for teacher salaries in primary education. My question is not exactly how much money is involved, which will be a question of negotiation, but whether this minister is threatening to resign or not?
