ParlaMint-NL_2017-11-01-tweedekamer-3.u1	The Chamber is now speaking, starting with Mr Wilders on behalf of the PVV.
ParlaMint-NL_2017-11-01-tweedekamer-3.u12	Islam is destroying us. The Islamisation of the Netherlands is not an improvement, as Mr Pechtold suggests. It is a retrograde step in all possible areas. I will make that clear now and in the rest of my text. As I said, many Dutch people have become strangers in their own country. We let that Islamic monster in. On the street, on the beach, in the cinema, during shopping evening, in the tram, everywhere in the Netherlands we suffer from those imported cultural enrichers. Parades of hundreds of "Allahoe akbar" screaming headscarves with Islamic flags in parades through our streets; recently, here around the corner in The Hague. Mr. Chairman. It is not possible to describe what happened to the Netherlands. The Netherlands cries, where it once laughed. And that invasion goes on and on, at our expense. We're financing our own downfall. So many Dutch feel excluded, feel powerless, feel unrepresented. They are angry because they have lost their country, their Netherlands. Because The Hague doesn't take their concerns seriously. Because they see that their world is very different from Mr Rutte's fine words. And now our country is going to be re-governed by people for whom the preservation of the Netherlands means nothing. Our identity is laughing! The black shadow of Islam is increasingly disappearing. Look at our three major cities: Rotterdam, Amsterdam and The Hague. Already, almost half of the population under 25 years of age is non-western immigrant. That usually means Muslim. "Mohammed" is now one of the most popular boy names in the Netherlands. Our country, our home base, that miracle that our ancestors have built up with blood, sweat and tears, is increasingly being given away. That's the practice. It's squandered. That is the reality. And we see it every day. Every day we see the misery that Islamization brings us. Thanks to half a century of sheer cowardice. Because, Madam President, those are the employers of the Netherlands: cowards. They're afraid to talk about it. The word "islam" does not occur once in the entire coalition agreement. And that whole Rutte III coalition does not solve this existential problem of our country either. It's only gonna get worse. The invasion continues. Under Rutte II and III we see an asylum influx of at least a quarter of a million people. And it's always priced in the Netherlands: whether you get a residence permit or not, but then you get as illegal free bed, bath and bread; and also the children's pardon remains. While our people have to pay blue to our care, it is free for asylum seekers. It's called "discrimination," Madam President. The Dutch are discriminated against. Also on the streets we can see what this cultural enrichment looks like by mass integration. Concrete blocks to prevent innocent families with children from being drooled to death and flattened. Open borders mean that we have to skulk. Many people are rightly afraid that their wives and daughters are being pulled off their bikes during shopping or on their way to school, are being spit on, robbed or perhaps even assaulted. This multi-criminal society also means that homosexuals are beaten up, that women on the streets are regularly called "cancer whore" for no reason, that a woman who walks around in certain neighborhoods without a headscarf is wild. There are markets in the Netherlands where only Arabic and Turkish are spoken. That is the reality of many people at home. The threat of terror is greater than ever. Throughout Europe we see attacks, from London to Barcelona, from Madrid to Brussels, from Berlin to Stockholm, from Paris to Manchester. And indeed, yesterday, last night Dutch time, in New York, a Muslim, screaming Allahoe akbar, killed eight innocent people, including a Belgian citizen. This almost makes me desperate, because in section K, the Prime Minister in particular, people are not listening. I ask you, Prime Minister, once again, how many innocent people must be killed before the quarter falls to you? Before it is understood that Islam and violence belong together and Islam will never integrate? If all over the world terrorists call Allahoe akbar, can't you insist that terror and Islam have nothing to do with each other? Stop that politically correct talk, wake up and free us from Islam!
ParlaMint-NL_2017-11-01-tweedekamer-3.u13	Counter-terrorism, police and defence are very important. Could Mr. Rutte, or could Mr. Wilders give us a statement...
ParlaMint-NL_2017-11-01-tweedekamer-3.u14	Now, don't insult me.
ParlaMint-NL_2017-11-01-tweedekamer-3.u15	It's out of my mouth with respect, you know. Can Mr Wilders tell us how much his cabinet, Rutte I, cut back on defence? And how much does this cabinet invest in defense?
ParlaMint-NL_2017-11-01-tweedekamer-3.u16	That has nothing to do with it.
ParlaMint-NL_2017-11-01-tweedekamer-3.u17	Really?
ParlaMint-NL_2017-11-01-tweedekamer-3.u18	That has nothing to do with it. We can invest in defense, and we want to, but the moment you keep your borders open, you can give a hundred million or billions to both intelligence and defense. I'm not saying this shouldn't happen, but it's carrying water to the sea if you a. doesn't recognize that Islam is the problem and b. leaves your boundaries wide open. It's pointless if you keep doing that.
ParlaMint-NL_2017-11-01-tweedekamer-3.u19	Mr Wilders, of course, turns away from the question. The cabinet that he supported, the cabinet that he co-founded, the difficult times that he was in, has cut more than a billion dollars. This cabinet invests more than one and a half billion dollars in our security. Then you can put on big pants. Then you may have a big mouth, but the facts, Mr. Wilders I'm a little old-fashioned, but in politics I still like being that you accept cuts in our security while this cabinet invests.
ParlaMint-NL_2017-11-01-tweedekamer-3.u20	No, we're also investing over a billion dollars in defense. So do we. I will also come up with concrete proposals on this later. It was already in our election program. That was a whole A4. You should have been able to read that without getting too tired. So that's the money we spend on it. Again, I'm making my point. Of course, it is important that we invest extra in defence. The PVV wants that, and the PVV does. We also want to invest extra in the police, more than that poor 200 million or 300 million invested in this cabinet. But if you don't recognize the problems, if you don't mention the word "Islamic" once in your coalition agreement, if you leave the borders wide open so that every terrorist can just enter the Netherlands, it's useless money spent. Protect the Dutch by closing the borders for this kind of people. That's what needs to be done.
ParlaMint-NL_2017-11-01-tweedekamer-3.u21	The fight against terrorism and extremism can only be won if we unite all good forces. What Mr Wilders is doing here is excluding everyone named Mohammed, Dutch people just like Mr Wilders and me, everyone with a different background, from that fight. That way, he's never gonna win. In the Netherlands people work in the care of the police, in the armed forces, who are prepared to risk their lives every day, not only for our freedom but also for Mr Wilders. He wipes this away with great ease. While he has spent twenty or twenty-five years fetching others here, the ordinary Dutch people with a Muslim background are working in the fight against hatred, intolerance and terror with us. What they deserve is not just another sweep out of Wilders' pan, but a compliment. Not only a compliment, but also an apology from Wilders' mouth would be appropriate.
ParlaMint-NL_2017-11-01-tweedekamer-3.u22	Well, if I'm sorry, it's only for what you just said, because I've been telling the truth. And that is very painful, especially for a social democrat, for a movement that, as far as it still exists, has been responsible for those open borders in recent decades; let everyone in, because that is what you have done. You and your movement, social democracy, have let everyone from half Africa in over the past decades, without making one demand for integration or assimilation. You left that behind. Because of people like you and your movement, we're in trouble now, we're in trouble now. You should look in the mirror and apologize to the whole of the Netherlands. That's what you should do.
ParlaMint-NL_2017-11-01-tweedekamer-3.u23	Predictability is also a force of Mr Wilders. Always at the slightest reproach, in a serious question, he points to others. Now he points to Social Democrats with a joke, but he always points to someone else. And that's the constant. We will only go on in this country, and that is what must happen if we unite forces, if Mr Wilders would acknowledge that among all those Dutch people there are people who work for the common good every day, so that if he is sick there will be a doctor or a nurse who may be Muslim, so that if he is in danger, he will be protected by Dutch people, just like him and me, who are working for the common good. Those Dutch, all those Dutch, also deserve representation. They do not deserve to be thrown away with such ease as Mr Wilders does every day. Not a single contribution to a solution but twenty years of blame to others. There is no doubt that much more will be added in the rest of his speech. There's a new crew over there. People who deserve the benefit of the doubt. We have already heard on Twitter that because of their background, their passports, their statements in the past, they do not get that chance. This symbolizes the way Wilders looks at the Netherlands. In 2006, he did it. The Moroccan government had a mole here because Aboutaleb became Secretary of State. In the meantime, he has been the mayor of the second city of the Netherlands for eight years. Wilders, if there's any excuses, they're yours.
ParlaMint-NL_2017-11-01-tweedekamer-3.u24	Well, that interruption didn't get much better. Anyway, I understand that now there's another theme...
ParlaMint-NL_2017-11-01-tweedekamer-3.u25	This is always the same with Mr Wilders. No lyrics.
ParlaMint-NL_2017-11-01-tweedekamer-3.u26	I thought I was speaking now, Mr Asscher.
ParlaMint-NL_2017-11-01-tweedekamer-3.u27	You will have the floor in a moment, Mr Asscher.
ParlaMint-NL_2017-11-01-tweedekamer-3.u28	It's about dual citizenship now, I understand. We are very consistent in this. We believe that whatever dual nationality you have, whether Moroccan, Swedish or perhaps even, I have heard the other day, is Croatian, you should not have a public office in parliament or government. Australia knows that system. I read in the newspaper this morning that the President of the Australian Senate, Australia, is not an indecent country, after all, has resigned because that person also has New Zealand nationality. Last week we saw a Deputy Prime Minister resign in Australia because she was also British. It is quite normal in other countries that when you fulfil a political function, I am talking about political functions, administrative functions and parliamentary functions, you do not have any appearance of double loyalty. That was my argument last time with Mrs Van Zanten and others of Moroccan origin, and it still is. If you are a Dutch MP, if you are in the Dutch Parliament or the Dutch Government, then you only have the Dutch interests to serve and you do not have a dual nationality.
ParlaMint-NL_2017-11-01-tweedekamer-3.u29	Always looking at someone's background, always looking at passports, always looking at a story around it and not at the actions.
ParlaMint-NL_2017-11-01-tweedekamer-3.u30	You're not listening.
ParlaMint-NL_2017-11-01-tweedekamer-3.u31	That's the common denominator. Those who are committed to this country, who are willing to spend sleepless nights for the sake of national interests, will first of all be distrusted by Mr Wilders. And that's not gonna get us anywhere. If there is any suspicion, be a man, submit that motion and then we have the vote and that ritual has been again. Just so we're clear, there won't be a motion of censure this time?
ParlaMint-NL_2017-11-01-tweedekamer-3.u32	Well, you'll see. Motions we always submit in second term.
ParlaMint-NL_2017-11-01-tweedekamer-3.u33	Well, that's a new one for Mr. Wilders.
ParlaMint-NL_2017-11-01-tweedekamer-3.u34	One of my questions to the Prime Minister is who has a dual nationality. And they all get a wonderful motion of censure on their pants. Absolutely. And if you want, you can sign in.
ParlaMint-NL_2017-11-01-tweedekamer-3.u35	See, I told you, predictability.
ParlaMint-NL_2017-11-01-tweedekamer-3.u36	It is an answer to your question.
ParlaMint-NL_2017-11-01-tweedekamer-3.u37	It's flat as a dime. It's not about anything. The Prime Minister doesn't have to answer at all. Wilders already knows. Whatever these people are gonna do, he doesn't trust them. Whatever Muhammad does in the care, in the army and in the police, Wilders doesn't trust him. You need to look in the mirror.
ParlaMint-NL_2017-11-01-tweedekamer-3.u38	No, it's not about "don't trust them." That's every truth in the world. Nobody says I don't trust Mrs. Ollongren, for example. When it comes to having a double nationality, I'm consistent. The world would be too small if I had done this to Moroccan rulers and not to people who also have Swedish nationality. I'm consistent. I say: if you are a Dutch parliamentarians or a member of the government, you have only one interest to serve. Then you must avoid the appearance of double loyalty. Then you can only be Dutch, just like Australia does. The sooner we introduce it, the better.
ParlaMint-NL_2017-11-01-tweedekamer-3.u39	Finally, Mr Asscher.
ParlaMint-NL_2017-11-01-tweedekamer-3.u40	But trust is like pregnant: whether someone is pregnant or not. Either you trust someone or you don't. If you file a motion of censure, you don't trust him. So what's it gonna be, Mr. Wilders?
ParlaMint-NL_2017-11-01-tweedekamer-3.u41	Yeah, that's it.
ParlaMint-NL_2017-11-01-tweedekamer-3.u42	Rounding up.
ParlaMint-NL_2017-11-01-tweedekamer-3.u43	So you trust this ruler and you're filing a motion of censure?
ParlaMint-NL_2017-11-01-tweedekamer-3.u44	So I don't think you should sit in a cabinet with a double-loyalty appearance and not sit in a chamber. Then I'll send you away. Yeah, I'm gonna try.
ParlaMint-NL_2017-11-01-tweedekamer-3.u45	This is gonna be a repeat.
ParlaMint-NL_2017-11-01-tweedekamer-3.u46	To quote Mr Wilders, this is not how things get better.
ParlaMint-NL_2017-11-01-tweedekamer-3.u47	Well, that's how it gets a hundred thousand times better, because I wish we didn't have people of Turkish, Moroccan or Swedish nationality here in the Chamber or in the government. This is the damn Dutch Parliament! And here you must be Dutch! And only being Dutch. I don't want Turks, Moroccans or Sweden in this house. Can't I say that? This is my country!
ParlaMint-NL_2017-11-01-tweedekamer-3.u48	Five years ago, I believe, a motion of censure had been tabled after 15 minutes. The profit now is that today it goes to the second term. That's a big deal.
ParlaMint-NL_2017-11-01-tweedekamer-3.u49	Nice joke.
ParlaMint-NL_2017-11-01-tweedekamer-3.u50	I would like to continue with what Mr Wilders referred to, namely attacks, security and the fight against terror. The Prime Minister also rightly started with a reference to what happened yesterday in New York. We know that an attack can also take place in the Netherlands. That is a danger, an evil that we must arm ourselves against. We must use every means to counter this. I am now going back to about 15 minutes ago when Mr Wilders started referring to a possible referendum. That referendum is about the Intelligence and Security Services Act. Our security services, the security services that Mr Wilders and we depend on and on which our security depends, say about that law: "We need that law. We need to be able to see whether there are people with evil plans and whether there are people who want to attack. We need that law. We need to be able to control the cable." Mr Wilders and the PVV voted in favour of that law. In the end, with similar criticisms and considerations, we also voted in favour of that law, because the security services need it. If Mr Wilders says that if there is a referendum and 55% say no, that law will be abolished and then we will take away that power from the intelligence services.
ParlaMint-NL_2017-11-01-tweedekamer-3.u51	Before I go into that question, I would like to say a few words about Mr Segers' response. That point has been bothering me ever since I read the coalition agreement. I find it incomprehensible that he, the representative, the leader of a Christian party, has ensured and accepted that the word 'Islamic' does not appear once in the coalition agreement. Mr Segers, your big mouth about terror can be put in your pocket in the future. You are abandoning Christians tremendously with this. It wasn't even mentioned once, you didn't even get a small sentence about it, there isn't even talk about Christians being persecuted by Muslims or anything. You didn't get anything done. You have denied, abandoned, sold for the plush. That's what you did. All right, Mr President, now for the answer to the question. We are in favour of the so-called drag law and indeed voted in favour of it, but we are very much in favour of the referendum. Although we were against that law, and did so with conviction; I am not going to run away from it if in a referendum the majority of the population says that the drag law should not be there, then we are not going to have that law, because that is what the people want at the time.
ParlaMint-NL_2017-11-01-tweedekamer-3.u52	First of all, the first point. The fight is not against Islam, the fight is against terrorism, against jihadism. And that's on several pages. I admit that it is a rather heavy coalition agreement, it is not a small one, but the battle is being stepped up. It's not gonna be any less, it's gonna be more. We are taking additional measures to this end. The intelligence services indicate that they should also be able to monitor the cable. Why? Because that's where people communicate who only want one thing: to sow death and destruction. That's terror sowing. That's attacking here. We need to be able to check the cable. If there is an attack and that law has been repealed and the intelligence services have taken that power, then Mr Wilders will have to justify that he has removed this power from security services. And then all these big words about the fight against terror and the fight for security will come out in a completely different light.
ParlaMint-NL_2017-11-01-tweedekamer-3.u53	No, they're not gonna be in any other day's light. No other daylight at all! You will have to explain why you again ignore the voter's voice when you say about a referendum: you may find that, Dutch people, but I give you a big middle finger. The same middle finger you give to Christians in the Netherlands by not having a word about Islam in the coalition agreement despite your fine words. And Islam, Mr Segers, when Islam gets its way, the Christians in this country are the first to die, the first to be sacrificed. And by not calling that... From the VVD, the CDA and so you can expect that a bit, but from a Christian party! You have, as it were, unchristized your party by cooperating in this coalition agreement. And that's very bad. Very sorry!
ParlaMint-NL_2017-11-01-tweedekamer-3.u54	This time I hear a little applause from the benches of the PVV Group.
ParlaMint-NL_2017-11-01-tweedekamer-3.u55	Okay, give it a little harder.
ParlaMint-NL_2017-11-01-tweedekamer-3.u56	We have a word for that: cadaver discipline.
ParlaMint-NL_2017-11-01-tweedekamer-3.u57	It's not good soon, is it?
ParlaMint-NL_2017-11-01-tweedekamer-3.u58	You still have them well in hand. Yeah, until one of them walks away. Anyway!
ParlaMint-NL_2017-11-01-tweedekamer-3.u59	Well, if one of them walks away from you, we don't have a cabinet anymore. And that's much worse. That's Mr Voordewind. That's the next one to run away, watch me!
ParlaMint-NL_2017-11-01-tweedekamer-3.u60	No, no. Mr Voordewind sits next to me and sits next to me.
ParlaMint-NL_2017-11-01-tweedekamer-3.u61	Look, that's discipline!
ParlaMint-NL_2017-11-01-tweedekamer-3.u62	In good friendship. You're walking away from the point I'm bringing in here. It's very easy to say to me, "Well, you're denying your people." We stand up for religious freedom. In the coalition agreement, you can see that this cabinet identifies religious freedom as one of the pillars, also for foreign policy. We stand up for minorities in the Middle East. We stand up for fair migration policy. We are stepping up the fight against terror, against jihadism. That comes back on several pages. We take this extremely seriously. So serious that now that we are actually moving towards a referendum and entering into the debate with the people. My first task will be to explain to all the questions that we had, which you also had, which ultimately lead us to vote for that law: privacy is an incredibly important value and we must weigh them against the value of security and freedom that is worth a great deal. If the intelligence services say to you and to me 'we need this power', then I think it is a great responsibility to put that security and freedom in the hands of, say, 55% and say, whatever the outcome, we will take it over. I would still like to say to you: weigh that down independently, see what that freedom and security needs and if that is such a law, then we must have such a law and then you must defend it.
ParlaMint-NL_2017-11-01-tweedekamer-3.u63	No, when we do not carry out a valid referendum by the majority of the Dutch population, we come close to half a dictatorship. We have not created this for nothing. There has been a majority here who has made a law and who says, okay, it was still advisory, not binding, that we come with a referendum. If you take this seriously, and we take it seriously, I am very much in favour of a binding referendum with my group, and I think that you should do the same. If you then want to tackle the terror, I would have hoped to find you on my side, not only by naming Islam but also by closing our borders, by de-Islamicising the Netherlands. Why don't you support me in phasing out the mosques in the Netherlands? Why don't you support me in that? While I think that a large part of your voters, the Christian Union voters, are deeply concerned about the Islamization of the Netherlands, and that they prefer to see more churches than mosques. Where are you, Mr Segers? You are on a Christian holiday, but somewhere far away, where you can no longer spell the word. And that's bad. That is bad for the Netherlands, it is bad for your people. If you want us to tackle terror hard together, then you will have to come to terms with supporting the de-Islamicisation of the Netherlands.
ParlaMint-NL_2017-11-01-tweedekamer-3.u64	Madam President. I am in favour of religious freedom and against jihadism. And that is why the cabinet is pursuing the policy it is pursuing. If there is a serious attack going on and the intelligence services say 'we should have had that power and we could not have prevented it', then Mr Wilders has a lot to explain.
ParlaMint-NL_2017-11-01-tweedekamer-3.u65	Those who have a lot of explaining to do, Madam President, in particular to his own constituency, I cannot repeat it enough; Mr Segers is Mr Segers. Because the moment you don't make the analysis what it's about... Again, it just hurts that I have to say this to a spokesperson of a Christian party: Islam is not a religion like Christianity. Do I have to explain to you that Islam is not comparable to Christianity? You can talk to your colleague now, but I'm addressing you now. How is it possible that I have to explain to the spokesman, the President of the Christian Union, that Islam and Christianity have nothing in common? That Christianity is indeed a religion but that Islam is a totalitarian, violent ideology, which you cannot abandon, unlike Christianity? If you leave Islam, there's a death sentence on it. That makes it an ideology and not a religion. Why do I have to explain that to you? You disappoint so many Christians in the Netherlands, Mr Segers.
ParlaMint-NL_2017-11-01-tweedekamer-3.u66	In this country Geert Wilders does not decide who is Dutch and who is not. In this country, our Constitution determines who is Dutch and who is not. And now there are a lot of people living in this country with a double nationality, there are hundreds of thousands of people living in this country with a double nationality. Wilders goes wild, just like in 2006 opposite Albayrak and Aboutaleb. He went wild in front of you, Madam President. He's doing that again now. A double nationality doesn't say anything about anyone's loyalty. That loyalty depends on actual perceptible behavior. I would like to ask Mr Wilders what form of behavior you have found in Mrs Ollongren on the basis of which you doubt her loyalty?
ParlaMint-NL_2017-11-01-tweedekamer-3.u67	No, I didn't question her loyalty. I'm saying that with a dual nationality, you have the appearance of double loyalty. I made a proposal on this a number of years ago. By the way, it was not only against people of Moroccan and Turkish origin. I made the same point against Mrs Van Zanten........................................................................................................................................................................................... For example, there are certain rules in Turkish law. That's what I mentioned back then. Turkish law says that if a Turk is abroad critical of, for example, the Armenian genocide, the sentence will be increased by a third or a quarter. In Turkey's example, that means that, if you are a Turk and you are also a Dutchman and you speak out, you won't do that soon, but suppose you would do so against the Armenian genocide, you will be more punishable in Turkey than a Turkish citizen who is not a Dutchman. In other words, it creates obligations. There are certain extra penalties. I'm saying, you have to stop people from thinking that they're gonna take that into account. We're here in Holland. We're here in our fucking parliament. The Dutch rules apply here. Here you should only have one nationality if you want a public position. If you have a dual nationality, you are not unreliable, but with that you have the appearance of a double loyalty loaded on you. And I don't want to.
ParlaMint-NL_2017-11-01-tweedekamer-3.u68	When one speaks of "appearance of double loyalty," there is doubt. It is clear that Mr Wilders is doing so. When it comes to Mrs Ollongren, he cannot give a single example on the basis of which he doubts her loyalty. But there is that doubt with Mr Wilders. Mr Wilders spent more time at the Israeli embassy than at home in the past. Mr Wilders had contacts with Israeli rulers who even went so far that the AIVD had the need to investigate that. Mr Markuszower, who is in this Parliament, in the PVV Group, was even given extra consideration. There were doubts about his integrity and the state security of our Parliament if he were to enter parliament. I wonder whose loyalty we should doubt if Mr Wilders behaves like the long arm of the Israeli government. There are now robberies on the benches, but those who do so are a little less than those servants in the Wilders' Box.
ParlaMint-NL_2017-11-01-tweedekamer-3.u69	Still, it sounded pretty impressive. Anyway, Mr. Chairman, I've already answered the question. I won't give you the same answer again. I am not saying that Mrs Ollongren would be wrong or unreliable. I say, as I said earlier with all the other ministers and MPs, that the appearance of double loyalty must be avoided. Again, I'm not making it up. It does happen in Australia. In Australia, two rulers have resigned for having a double nationality. It is perfectly normal that when you are in a parliament or in the Dutch government you only serve those interests, that there is no appearance of serving double interests and that you only have a Dutch passport.
ParlaMint-NL_2017-11-01-tweedekamer-3.u70	Mr Wilders is not only acting as the long arm of the Israeli Government. He also gets a lot of money from all kinds of xenophobic and racist clubs from the United States. The David Horowitz Freedom Center gives a lot of money to the PVV. I'd say leave those people alone, give that money back to the David Horowitz Freedom Center and stop acting like the long arm of the Israeli government, instead of accusing all those double-nationals of double-loyalty. 'Cause if you carry on like this... There is Mr Baudet. He takes a seat from you every week. It won't be long before you leave Parliament.
ParlaMint-NL_2017-11-01-tweedekamer-3.u71	I can mostly eat them off the VVD! In addition, the point is that a dual nationality is not just about the appearance of double loyalty. It is also a question of the fact that from the moment someone with a double passport comes into the government or into the cabinet, he should not only serve the Netherlands but is still subject to the jurisdiction of another country because of that passport. That is a very good reason to oppose a double passport for rulers. That is why we will support Mr Wilders' motion of censure, not because of the appearance of double loyalty, but because you are subject to the jurisdiction of another country. That should not be possible if you have to serve the Netherlands. Professor of State Law Twan Tak of the University of Maastricht has written extensively about this. He claims that this is a state-law thing that shouldn't be possible. That has nothing to do with the idea of loyalty. It's strictly state law, because you're subject to a foreign state power.
ParlaMint-NL_2017-11-01-tweedekamer-3.u72	Yes, Mr. Chairman, that's right, too. What I am saying is true, because the appearance of double loyalty is indeed relevant, but what Mr Baudet says is correct. I myself mentioned the example of the Turkish law on Armenian genocide. That indeed leads to another rule of law that applies to you, but that at least makes you seem against saying things or not saying them for a certain reason that has nothing to do with your own country. I thank Mr Baudet for his support. We are a small step closer to a majority this year.
ParlaMint-NL_2017-11-01-tweedekamer-3.u73	Hope brings life.
ParlaMint-NL_2017-11-01-tweedekamer-3.u74	That's right.
ParlaMint-NL_2017-11-01-tweedekamer-3.u75	Mr. Chairman. I almost heard Mr Wilders screaming: this is my country!
ParlaMint-NL_2017-11-01-tweedekamer-3.u76	That's right.
ParlaMint-NL_2017-11-01-tweedekamer-3.u77	But this is the land of Arib, this is the land of Azmani, this is the land of Mrs Ollongren, this is the land of Klaver, this is our country, Mr Wilders. Dutchmanship is not in your blood, Dutchmanship is in your heart, in how you deal with this country, with what you do here and what that all means. Having said that, I've heard a grayened album for 45 minutes now, but the jeu is a bit off, although there is a bit of a refreshment. I've been listening to the same greyened album for 45 minutes now, but I haven't heard about the care. I haven't heard about the VAT increase. I haven't heard about the tax rebates to large companies. I didn't hear about the housing problems in this country. When I walk on the market and talk to people there, it often starts with Islam, whatever you're talking about; 30 seconds, a minute at most. Then it is about the problems that people encounter day in, day out, problems that we have to come up with solutions for. What are your solutions, Mr Wilders?
ParlaMint-NL_2017-11-01-tweedekamer-3.u78	Mr. Chairman. I see "24" here, but I think I've only spoken for six minutes. After that, I'm constantly interrupted, so that's all gonna happen. Don't worry, Mr Klaver, but I will begin any debate with Islam on which I will continue to do so, every minute because that problem is an existential problem for the Netherlands. It's the biggest problem we have. It's losing our country. I find it appalling that this cabinet has not yet given a word or a letter to that effect. This is indeed our country. The Netherlands is not an Islamic country. If we continue like this, it will be at the end of this century. I don't want to. So I'll always start with that. The more that's ignored, the longer I'll talk about it, until it gets through to your brain pan.
