ParlaMint-NL_2017-07-06-tweedekamer-37.u1	I would like to welcome the Secretary of State for Finance. I call Mr Omtzigt of the CDA.
ParlaMint-NL_2017-07-06-tweedekamer-37.u16	I have here the piece of the ARK. I read: "Another question was whether the braking system (Article 49xx of the ARAR) was correctly applied to Customs and FIOD employees. There was no direct placement of a remplaced person. We note that the ARAR does not set a time limit at which a remplaced person must take the place of a remplaçant. Assuming that this does happen at some point, application of this article seems possible for Customs and FIOD staff." However, there is a very large "if" if we assume that this is happening. That "if" cannot be demonstrated at this time because time is not limited, according to the literal explanation. Then we now have to assume that it will happen, when it only happened at 5 out of 300.
ParlaMint-NL_2017-07-06-tweedekamer-37.u17	No, the General Court says this seems possible. He does not draw the conclusion that it seems legitimate, but that it is legitimate. That judgment doesn't change. It may well be that you have to conclude that it has not been possible, that objectives have not been achieved or, I say again, that there might be a reason to look at this paragraph in the ARAR. I get the information from the back of the Chamber that we can ask the Court of Auditors for an explanation of the promised half-yearly report. Shall we do it like this? Then the Court of Auditors again explains what he means by this somewhat cryptic phrase. In my lecture, "it seems" refers to closing the chains, but "it is" is the rightful character. So we'll see this again. Then we'll have this discussion, if we have to have it, at a later date.
ParlaMint-NL_2017-07-06-tweedekamer-37.u18	I'll take a look at Mr. Omtzigt. He nods, so it's okay.
ParlaMint-NL_2017-07-06-tweedekamer-37.u19	Mr Omtzigt spoke about the tax control of the Tax Administration as a taxable person. He actually said that the Tax Administration did I hear him use the word "knowledge"? Oh, no, no, no, no, no, no, no, That's not it here. The examples from which they are drawn have nothing to do with all three. The Tax Administration was well aware of the legislation on training deductions. I am not saying that it is necessarily better, but the Tax Administration knows this legislation very well, but it turned out that the administration itself was not in order. That's no better, but it's not about knowledge. That's what I'm saying. I want to make it clear here that the Tax Administration is an organization where the law would not be known at work level. We have seen that supporting processes are messy over the past year. Unfortunately, we have also noticed that this has been going on for a long time. So it's not good, it's clear. But I want to free the professionals at the IRS from this suspicion. There is something similar about the tax on profits. All kinds of new taxpayers have joined, including the Tax Administration itself. It is then perfectly common to determine the tax position for all different activities. This has also been largely done by the Tax Administration for its own activities. There are a few more where the interpretation is still running. That's not abnormal at all. This is a very common procedure for many new taxpayers, including in the public domain. That explanation may also have to do with, for example, the search for facts and circumstances. And the inspector sometimes has to judge in complex cases. That's not weird, but that's not due to the inspector's lack of knowledge. I think this is related to fiscal control. That's what we're talking about. It's allowed under that title. That's what's going on, that's what's being put in order. I can imagine that in the six-month report, too, I would say something about this. At the time, we considered that to be an important point. There is some improvement, but I think it is good to account for the extent to which this progress has been made in the next half-year report. At the end of Mr Omtzigt's speech, the scope of his words is clearly widening and the language is becoming more serious. "The demise of the market economy." I dare say that this does not have such a relationship with the final law or with the department's financial statements or the discharge. I'm struggling with this a little bit. I know the point, but primarily the Minister of V and J deals with accounting law in the Civil Code. Secondary concerns the Minister for Economic Affairs about the obligation to deposit, but also about the enforcement plan, an arrangement behind it. Tertiary, you could still call on directors in these sectors to do something about it. The only one who can actually do relatively little with that is me. That's kind of sad, too. I would therefore ask Mr Omtzigt to focus the instruments he has as a representative of the people on precisely what is at stake and not to choose the final Finance Act, but at a time when we are talking about accounting law. He can also ask written questions about it, something I have never found Mr Omtzigt ashamed of. In short, it is not quite the place and time here. And I can't do so much with it. Without saying anything wrong about the call, I must say that there is some recognition, but I can't do much with this now. I cannot make such a commitment because I have no instrument in my hands to do anything about it. So far.
ParlaMint-NL_2017-07-06-tweedekamer-37.u20	I give Mr Omtzig the opportunity for a second term.
ParlaMint-NL_2017-07-06-tweedekamer-37.u21	Mr. Chairman. I thank the government for the answers. I await with interest what is in the six-month report. I would just add, before the Acts, that this means for the CDA that we can only then and also after the Court of Auditors' judgment decide whether we can regard that piece as legitimate, not the rest of the budget. Subject to that reservation, we can then agree. Then we'll see about that in the six-month report. I would also like to thank the Secretary of State for the commitment to tax control of the Tax Administration. That's what we've been talking about before. It is precisely with the role of example that this is important and it is also good that the Secretary of State should come back to it and consider it important. When I asked for this debate, I said I wanted the Minister of Finance with me. Then perhaps the issue of financial statements would have been even more appropriate. But I fully understand his absence, because he is currently at the G20 in Germany. He told me yesterday that he is at the G7, at the G4 and all kinds of other very nice consultation clubs. So I have every sympathy for that. However, I shall table the next motion because a motion in itself is not only addressed to the Secretary of State. A motion calls on the government to do something. So it can be invested in the right place in the government. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are major problems with timely and complete audit reports in many sectors such as municipalities and hospitals;]] [[noting that many companies do not deposit and publish their annual reports in good time through the Chamber of Commerce;]] [[considers that it is of the utmost importance that annual reports are available, approved and published in good time;]] [[calls on the Government to take stock of why annual reports are not published in good time and to come up with a plan to improve the annual report significantly;]] [[Invites the Government to forward this plan to the Chamber before 1 November 2017,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Omtzigt and Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34725-IX-10]]
ParlaMint-NL_2017-07-06-tweedekamer-37.u22	Mr. Chairman. I have here only too lightly judged judgments on offer. I'm not doing the motion justice with that. I think colleagues other than myself should be required to give an opinion on this. I'll see who they are later, but I can't judge this right now.
ParlaMint-NL_2017-07-06-tweedekamer-37.u23	I understand that, given the earlier argument. I would ask the government to do this. I understand if it doesn't work out for the votes, but if the government thinks this is a good idea, I can imagine her reporting that it is a good idea. It may therefore consider taking over the motion or starting implementation before the recess is terminated. After all, the recess is not a holiday. Otherwise, we'd be losing two months.
ParlaMint-NL_2017-07-06-tweedekamer-37.u24	The suggestion has probably been heard, but if we want to do justice to the motion, I think it would be wise for the motion to be held until a later vote, until colleagues have been able to think wisely about it.
ParlaMint-NL_2017-07-06-tweedekamer-37.u25	What are you going to do, Mr Omtzigt?
ParlaMint-NL_2017-07-06-tweedekamer-37.u26	I'm holding the motion at the moment, but the suggestion is well heard.
ParlaMint-NL_2017-07-06-tweedekamer-37.u27	At the request of Mr Omtzigt, I propose his motion (34725-IX, No. 10), as last amended by Regulation (EC) No. That is what is decided.
