ParlaMint-NL_2017-05-23-eerstekamer-8.u1	I would like to welcome the Minister of the Interior and Kingdom Relations to the First Chamber.
ParlaMint-NL_2017-05-23-eerstekamer-8.u12	I welcome the Minister's reply. I would not have assumed any kind of malice either, but the Minister's explanation of the quantities used makes it quite clear to me that this dynamic, apart from the population, will be very limited. The fact that there is some dynamic is all in the game. That's no problem as far as we're concerned. It's clear.
ParlaMint-NL_2017-05-23-eerstekamer-8.u13	I share that performance. Thank you.
ParlaMint-NL_2017-05-23-eerstekamer-8.u14	I would like to make a comment in addition to this. In that sense, the explanatory statement and the answer to our questions are not entirely enlightening. In fact, it is always suggested that the distribution would remain the same. In fact, that is not the case. In the reference year it is buffered with the specific component, but after that a dynamic will come into effect, I hear the Minister say. I think we should establish that with each other.
ParlaMint-NL_2017-05-23-eerstekamer-8.u15	That's right, and it's the result of the fact that you're using standards at all. That's right. Mr Flierman's next question is how the implementation relates to the period of rest. Actually, I've already said that. The commitment was initially to secure it for five years, by the way with the support of the IPO, but then Chamberwide passed the motion to see if things are going in the right direction in two years' time. It will then be re-examined, with the intention of bringing into force, if necessary, a modified system three years later. So that's still five years after now. Then there was a question about the letter from the IPO stating that Mr Jansen would be asked for his opinion again; it seems to be very good. From the Ministry, we will support this and cooperate constructively. It is the responsibility of the provinces to decide whether one would like to transfer one another, from one's own resources and within the distribution model, to, for example, the province of Zeeland. I don't want to create the expectation that there will be extra money from the Province Fund. I would like to add that remark.
ParlaMint-NL_2017-05-23-eerstekamer-8.u16	This is a good time to ask the Minister a little more about it. If we are not careful, we will have a situation in which everyone in Zeeland actually finds the situation very unsatisfactory, but that nothing else happens and that we proceed to the order of the day. Now it is so that it is quite extraordinary that all the provinces concerned have said that this really is a big problem. Again, those are the words that are used in the letter itself. It is a letter to the Chamber; perhaps it would be good if the IPO would also send such a letter to the Minister. I haven't seen that one yet. But I can imagine that the Minister also feels called upon to share ownership of the problem, where the IPO itself states that this is actually a shared responsibility of the provinces. The IPO also believes that Zeeland itself has a specific responsibility in it, and it also looks at the Empire. Perhaps the Minister would like to reflect on that a little further.
ParlaMint-NL_2017-05-23-eerstekamer-8.u17	I understand the question, but I think Mr Postema understands the answer. If the provinces among themselves ask Mr Jansen to reconsider that distribution, to look very closely at it and to look again at whether anything could not happen for the province of Zeeland, they are of course free to do so. Then I'll support that wherever I can. But I cannot create expectations about the multi-annual budget of the Province Fund. First of all, I don't have that budget right now; I didn't cover it. Someone told me, and that's how I experience it: you're getting less outgoing; you get used to it a little bit. But it remains that I do not have the multiannual budget for the Province Fund. That goes beyond the limits of my responsibility.
ParlaMint-NL_2017-05-23-eerstekamer-8.u18	I understand the latter, too. I understand that the Minister does not want to make a binding commitment on this subject which has budgetary implications. At the same time, I do hear the necessary sympathy. The provinces themselves have indicated that they do not want to use it to solve this problem. But we also know that in modified distribution models some lubricating oil often helps to ultimately keep all parties in line. In that sense, I hope that the Minister or his successor will show a sympathetic attitude.
ParlaMint-NL_2017-05-23-eerstekamer-8.u19	It's been noted.
ParlaMint-NL_2017-05-23-eerstekamer-8.u20	Let me join in on that right now. If I also listen to Mr Postema's interruption, I think we are about in agreement. As far as I am concerned, we have not asked the Minister to say that he or his successor is pulling the wallet in any way; I understand that very well. On the other hand, in my view, it is also a matter of good administrative relations between the Minister of the Interior and the IPO administration that if such a report and the IPO acting on behalf of the Minister are to be taken seriously into account. At least I can taste that question and willingness on the part of the Minister. As far as I am concerned, that would be sufficient for the moment.
ParlaMint-NL_2017-05-23-eerstekamer-8.u21	Thank you for that. I'd like to stay on my side. With the support of the IPO, this proposal has now been put on the table. This is what I would ask the Chamber to adopt now and make law: these standards with the resulting division. I take note of the fact that the IPO wants to look at it again. But I can't create expectations about additional budgets from the Empire. I assume Mr Flierman understands that. I myself, and I assume my successor, who will have a warm heart for Home Affairs, will do my best to ensure that there is sufficient room for local and middle management, including at this point. But that's all it has to be.
ParlaMint-NL_2017-05-23-eerstekamer-8.u22	It doesn't make much sense to ask the Minister for more. But in an earlier part of his speech he said that, following the Balkenende Commission, 25 million were coming for structural improvements in Zeeland. Surely it is not intended that what was intended for structural strengthening should be the solution to this problem?
ParlaMint-NL_2017-05-23-eerstekamer-8.u23	In your question, it has been decided that we have now created a problem with each other. But this is the divisive measure laid down by the twelve provinces, of which all twelve say: do so now, record it in the law for the coming years. In addition, attention should be paid to the specific problems arising from the situation in Zeeland. I have reported that my colleague from EZ is looking favourably at this and that the cabinet is facing this problem in any case. That is why there is room in the budget for this. There will soon be a letter from EZ's colleague on how to implement it.
ParlaMint-NL_2017-05-23-eerstekamer-8.u24	But is it in the mind of the Minister for Foreign Affairs that the problem that lies here is being solved by involving the solution to a completely different problem, namely the strengthening of structures?
ParlaMint-NL_2017-05-23-eerstekamer-8.u25	No, I want to stick to the underlying reasoning, namely that an objective distribution model has been established on the basis of nine standards, so fine tuned that they are in line with the historical distribution on the calibration moment. Afterwards, there are new developments that may mean that Zeeland's position may need to be strengthened. However, as I said in my introduction, this cannot be a reason to change the standards every time, because this is at the expense of other provinces. Then we'll keep going. That is also what the province of Zeeland advocates at the Empire. Once again, I say yes to the specific problem of Zeeland. All the more reason to pay attention to this when it comes to strengthening the structure. The Cabinet will do the same.
ParlaMint-NL_2017-05-23-eerstekamer-8.u26	Thanks to the motions adopted in the House of Representatives, we still have some time to come to a further development of the distribution model. Until then, the problem of the fictitious profit distribution of Zeeland exists. Does the Minister agree with my group that, when the Jansen Commission fails to come up with a good proposal, it is necessary to speed up the process of further development of the model?
ParlaMint-NL_2017-05-23-eerstekamer-8.u27	I agree, because we have already accelerated that process. The initial plan was to set these standards for five years. That's changed in two years. Again, all twelve provinces insist on leaving it at that point.
ParlaMint-NL_2017-05-23-eerstekamer-8.u28	That is true, but the provinces also insist in the letter of 15 March that the Zeeland problem be resolved temporarily. I also hear my colleagues saying that we should try to highlight the problem. We have to deal with the problem of the fictitious rate of return. This may take some time, but we are eagerly looking forward to a good report by Mr Jansen II and the appropriate response from the Minister.
ParlaMint-NL_2017-05-23-eerstekamer-8.u29	I understand and support that. That's why I'm looking forward to that report as much as you are. Through the measure of income from own funds, it is possible to take into account the differences in income caused by the differences in capital. This will make equity more part of the evaluation of the distribution model than in the past. The fact that there are in itself differences in assets between provinces is not influenceable by the fund manager. This has to do with the history of the provinces and with the way they have dealt with their energy companies. So that's different. This measure must be based on a certain degree of resilience and a moderate assessment of revenue. Responding to actual developments would make a distribution model unstable and generate permanent redistribution effects. Then we'll be standing here permanently. So there are limits to what you can overcome. Mr Postema further asked whether the Empire had not been able to follow the consensus in the provinces. That is not the case in my view, because we have maintained the two principles that I started with, namely cost orientation and globality, which allow you to make it objective in a decent way. The reality is that administratively it would not be justified to achieve very large shifts between provinces in the transition to a new system. Then this house would be too small. I think it is a good thing that this agreement has been reached. That was not self-evident; I have great appreciation for that. The conditions imposed by the PvdA Group on the approval of the bill are a clear commitment of government to proceed seriously with the Zeeland problems. I just confirmed that. I would also like to mention the willingness to carry out the motion by Mr Veldman and Mr Wolbert. I have just emphasised that point. I have already referred to Mr Van Strien's question on the social domain in my introduction...
ParlaMint-NL_2017-05-23-eerstekamer-8.u30	Mr Van Strien did not ask any questions. That was Mr Van Hattem.
ParlaMint-NL_2017-05-23-eerstekamer-8.u31	Mr Van Hattem. Apologies. The essence of the answer is that this is a distribution model, which determines the income of a province. Strictly speaking, that is separate from the issues to which the province spends the money. But I understand that by increasing the overall benefit, the tendency could increase to go beyond the core tasks. I assume everyone will keep an eye on that. I have no reason to think that they really have these plans. The review is, in principle, completely open. It will indeed be up to my successor to ensure that the review that will be launched in two years' time is properly embedded. I have already responded to Mr Schalk's questions in the interrupting debates. It is good to stress that the province of Zeeland also believes that this bill should pass, taking into account the specific situation of Zeeland in the context of structural strengthening. That's exactly the intention of the cabinet.
ParlaMint-NL_2017-05-23-eerstekamer-8.u32	We have arrived at the second term of the Chamber. I give the floor to Mr Flierman.
ParlaMint-NL_2017-05-23-eerstekamer-8.u33	Mr. Chairman. I thank the Minister for the answer, which was adequate and clear. When it comes to the follow-up to the opinions of Mr Balkenende and his committee, the Minister for EZ is on the move. It is good to know that the cabinet is making funds available for this. This will undoubtedly make for interesting and exciting things to happen in Zeeland. Thinking of a previous role of the minister, he should be pleased that a Beta College in Middelburg is being considered, in addition to the already successful University College there. Then there will be a second Jansen committee at the request of the IPO. That committee is going to look at the possibilities of doing something about Zeeland's position. We have to wait and see what Mr Jansen comes up with, but he is a wise man and when I spoke to him this week, I did not have the impression that he was going to question his own opinion again. He will probably look at other possibilities that still exist to strengthen the position of the province of Zeeland in the financial sense. We await with great interest the proposals he has put forward. I have heard the Minister say that he or his successors will speak from their heart for the public administration and the provinces if there is an opinion and the IPO puts it on the table with the minister. That commitment is sufficient for me. I will advise my group to support the bill.
ParlaMint-NL_2017-05-23-eerstekamer-8.u34	Mr. Chairman. On behalf of my group, too, thank you for the legislative process and for answering the questions. We have agreed to listen to the commitment that the further development of the distribution model will be looked at with a view to achieving a return on the capacity that is more based on reality. We have also been able to discuss the Jansen II report on solving the problem in Zeeland. I have already indicated in the speech that it will probably have to be one of two: either Jansen's advice will actually be a solution, or we will be forced to speed up the current model, revised by this law. I will also advise my group to approve the legislative proposal.
ParlaMint-NL_2017-05-23-eerstekamer-8.u35	Mr. Chairman. I thank the Minister for the answer, but as far as the PVV Group is concerned, the answer was not yet complete. The main point of my speech has not been addressed by the Minister. The key point is that this funding system of provinces plays a major role in income from equity. A lot of income comes from investments by the provinces at the Bank Nederlandse Gemeenten, the Nederlandse Waterschapsbank and from local authorities. We're talking hundreds of millions. For example, the province of Noord-Brabant, which has invested 100 million in the municipality of Amsterdam. It is just an example of the relationship between the financing of municipalities and provinces at the moment. Precisely because this is about such large amounts in relation to the Province Fund, the new distribution staff is actually a drop on the glowing plate in order to achieve more balance in the distribution model. That is why my question to the Minister is to go into this again: to what extent can this effectively ensure an equivalent level of provision against an overall equal burden between the provinces, if there are such large differences? My question on the taxation of motor vehicles has also not been addressed clearly, except that the review is possible in the future. My question was to what extent this has already been considered in the process of achieving the distribution model. I have not been able to find it clearly in either the report of the Jansen Committee or in the explanatory statement. Finally. I also have another question about the loans to the Bank of the Netherlands. A balance is made by the provinces, but a lot of pieces are kept secret. My question is a little along the lines of this. How can Provincial States make a clear assessment of how to deal with this, if such documents on loans are kept secret and how can this be properly weighed in the context of spending from the Province Fund? This is an interesting issue, also in relation to the possible circumvention of compulsory treasury banking, which is actually made possible. I'd like to have a reflection from the Minister on that. About Zeeland we have heard that there will be a reaction for structural strengthening. There are a number of major problems with the rehabilitation of Thermphos in the Borssele industrial area where there is a major financial burden for the whole province, in addition to the problems surrounding DELTA. I hope that it will come to genuinely clear projects that will benefit the province of Zeeland in the financial sense and that it will not just be an unclear commitment.
ParlaMint-NL_2017-05-23-eerstekamer-8.u36	Mr. Chairman. Thank you very much to the Minister for reply. I very much agree with him that there is a unanimous agreement. He's repeated that a number of times. I myself said in my first term that it was very clearly accepted by the House of Representatives unanimously. Nor does my group intend to vote against the legislative proposal. It's not about that. I also agree with the Minister that you should not always make adjustments to such a distribution model. In the case of Zeeland, however, it is obvious that it is already leading to such problems for the adoption of the law that Mr Jansen is going to look again with an expert committee at what exactly is going to work out. I understand, like other speakers, that the Minister, after a new report from the Jansen Commission, wants to talk to the IPO at least to see what remains to be done in the future.
ParlaMint-NL_2017-05-23-eerstekamer-8.u37	Does the Minister have an opportunity to answer directly? That's the case. I call the Minister for the Interior and Kingdom Relations.
