ParlaMint-NL_2017-09-07-tweedekamer-3.u1	I would like to welcome everyone, and in particular the Minister for Economic Affairs.
ParlaMint-NL_2017-09-07-tweedekamer-3.u12	I don't really know what I'm hearing. We all know what a nuisance these windmills cause on land. We've had a lot of civilians here begging us to get those damn things out of their backyard. Because sometimes they're so close to homes. In the Netherlands they almost put it in your backyard. People have a lot of problems with that. I can actually hear Mr Bosman say that the VVD is fooling around with all the citizens' objections and that the VVD continues with all the oppressive windmills. Is Mr Bosman not listening to those citizens who have such a nuisance? Is that a complete joke to him?
ParlaMint-NL_2017-09-07-tweedekamer-3.u13	I think Mr Madlener has a somewhat selective hearing. We take responsibility and the PVV should do so. It helps, also in the administration of the country, to take responsibility when you see big problems for which you have to find solutions. Of course, we must listen to people, to citizens, to residents who are involved and who may be affected. Then as a government and as a driver, you have to take the time and take the responsibility to explain this. However, sometimes you also have to take steps and dare to take steps that are important, not only for the local environment but for the whole of the Netherlands, and perhaps for Europe or the world. That's the responsibility of the VVD.
ParlaMint-NL_2017-09-07-tweedekamer-3.u14	Mr Bosman made it quite clear in his first term that the Chamber has been bothering to listen to the citizens who are affected by it. According to Mr Bosman, the VVD keeps its back straight and keeps its appointments. You should be able to listen to arguments from time to time. I sometimes see whole villages being ruined by his windmills. I think the Chamber should listen to that. However, I can hear Mr Bosman saying that he is making fun of the citizens, and I find that very disappointing.
ParlaMint-NL_2017-09-07-tweedekamer-3.u15	I will say it very nicely, but Mr Madlener is exaggerating. Of course we listen to a lot of people. It's not my windmill either, it's our windmills. We all believe that these are important for the future of the Netherlands, for the future of the sustainability of our energy supply. We have a role and a responsibility in that. Again, the PVV does not take that responsibility. He pushes everything away, finds nothing important and especially listens to the popular vote, the populists. That's okay, but I think sometimes when you take responsibility, you have to make painful decisions. That's what I stand for. I'm afraid so, too. I'll explain, and I'll take that responsibility with me to my people. There are also VVDs who suffer from it. Then I'm gonna explain. Of course I'm listening, but listening doesn't mean you're always waving along. Maybe the PVV should listen to that better.
ParlaMint-NL_2017-09-07-tweedekamer-3.u16	Mr Bosman says that we are going to achieve the targets for renewable energy. I'm really helping him hope that, but I wonder how the VVD can be so sure about that. That's what I'm curious about. Reference is made to energy projects in the future, but if Mr Bosman has listened to my story, he has also heard that the share of fossil energy has risen very much. As long as we don't do anything about it, we're really not gonna make it to the sustainable goals. Can Mr Bosman respond to that?
ParlaMint-NL_2017-09-07-tweedekamer-3.u17	It's funny: biomass is a sustainable form of energy. That is what we agreed on in Europe. Now we're having a discussion, but it's renewable energy, only the Party for Animals doesn't personally think so. In the agreements we made internationally, biomass is also a form of renewable energy. Because everyone lays down different restrictions, you don't like biomass, another doesn't like windmills, another doesn't want sunshine on land because it's big panels. If we make international agreements on biomass reform, that is a responsibility that we all have, and an opportunity to do. You may say that you do not think so, but that is your opinion.
ParlaMint-NL_2017-09-07-tweedekamer-3.u18	That's not an answer to my question. Firstly, the only difference between biomass and coal is 300 million years. Coal is made up of the trees of 300 million years ago, but the CO emissions are the same. Even if you thought of it as renewable energy, I also said we're not gonna make it if the total amount of fossil fuel doesn't go down. In recent years, the amount of fossil fuel has increased more rapidly than renewable energy. As long as we don't do anything about it, we're not gonna make it. How does Mr Bosman feel about that?
ParlaMint-NL_2017-09-07-tweedekamer-3.u19	I think we have served Mr Wassenberg at his beck and call. The last cabinet closed five out of ten coal power stations. You must be so proud of that. That's really good, isn't it? That's a huge step. I will be very honest: it was also a huge step for the VVD. But we did support it and just did it, because we think it is important in terms of energy supply, which we want to make more sustainable. Mr Wassenberg is now pretending that nothing is happening and it is only rising, but I do not agree with him because we are taking great steps. Of course it is fossil, but I sincerely hope that the share of gas in the energy supply will increase. That's what you see. These emissions are much lower than those of coal. I'm still a big supporter of CCS, Carbon Capture and Storage. We can make big strides with that. You can see in all the reports that it's important for the future. I am also in favour of nuclear energy. Why is Germany such a problem? They're shutting down the nuclear power plants. Of course, that's a shame. They should never have done that, because then the CO savings would have gone much faster.
ParlaMint-NL_2017-09-07-tweedekamer-3.u20	Finally.
ParlaMint-NL_2017-09-07-tweedekamer-3.u21	One small correction. I wasn't talking about an interpretation. I said that last year the fossil fuel increased by 76 petajoule and sustainable with 6 petajoule. That's not an interpretation. Those are the hardcore numbers.
ParlaMint-NL_2017-09-07-tweedekamer-3.u22	Thank you.
ParlaMint-NL_2017-09-07-tweedekamer-3.u23	I would like to ask Mr Bosman why he is not speaking more deeply with the energy producers himself. He just mentioned CCS. Uniper and ENGIE have left the project. I spoke with ENGIE intrusively this summer: the company wants to get out of fossil. It was already in conversation with the Ministry of Economic Affairs to close his plant. That conversation has been stopped by the Ministry with the argument: we are going to achieve the 25% reduction target. That target is now on the road. Does Mr Bosman not agree with me that the Ministry should talk to ENGIE, if the company itself wants to leave the plant, about how we can facilitate that?
ParlaMint-NL_2017-09-07-tweedekamer-3.u24	I think ENGIE is just a company. If it wants to shut down the plant, it has to shut down the plant. Isn't that just a business choice? If you think it's no longer economically profitable, you shut it down. That's the choice of ENGIE. You shouldn't sit in that as a government.
ParlaMint-NL_2017-09-07-tweedekamer-3.u25	I don't quite follow the consistency. You're just pretty proud of the fact that you helped five power stations close down.
ParlaMint-NL_2017-09-07-tweedekamer-3.u26	Yes.
ParlaMint-NL_2017-09-07-tweedekamer-3.u27	Now a sixth can be closed, but you are completely pulling your hands off it; the company has to know that all by itself. We have the national energy agreement, don't we? The Government has committed itself to the execution of a judge's ruling. We don't seem to make it to the target. You're gonna take a chance like that, right, as Minister of Economic Affairs?
ParlaMint-NL_2017-09-07-tweedekamer-3.u28	The assumption is that we don't seem to make it, but there's already a little room for us to make it; for the same money we'll make it. The energy agreement was very clear. In that we made agreements with a lot of players. That is what I think is important, because that is crucial for the future of the Netherlands. I'll hold on to that. If it had been up to some parties in this Chamber, we would have broken it open again and we wouldn't have come out anywhere. That is why I think it is important that we make these agreements, and that is why I am very proud that we have closed those five coal plants, in good consultation with Greenpeace, but also with the energy parties, NGOs and governments. I'm proud of that. If we work it out that way, we can do a lot more. I therefore sincerely hope that we will have an energy agreement 2.0 in which we can take many more steps. But in the meantime, when a company says'my coal power station is no longer economically profitable and I want to close', I say heartily.
ParlaMint-NL_2017-09-07-tweedekamer-3.u29	But such an important producer is also a partner in the implementation of the energy agreement. Then you're gonna talk to me about that, aren't you?
ParlaMint-NL_2017-09-07-tweedekamer-3.u30	I think I'm very clear. A company is a company, and if it wants to close, it closes.
ParlaMint-NL_2017-09-07-tweedekamer-3.u31	Mr. Chairman. In order to achieve the Paris objective, we will have to invest together in a more sustainable energy supply. This transition requires a lot from our society and from our companies. We're only at the beginning of that transition. Then it is nice to see that energy production from renewable sources, for example from wind and solar energy, shows an increase of 20%. At the same time, these figures also raise questions. Is it because energy consumption and energy production have increased because of economic growth that more renewable energy should be produced in order to reach 14%? To what extent is this already taken into account in the energy agreement and how? The Dutch Emission Authority published the final figures for greenhouse gas emissions in 2016, showing that CO emissions increased by 1%. In addition, this summer CBS announced that CO emissions in the second quarter of 2017 were 1% lower than in the same period last year, despite economic growth. Then, of course, it is the question, to which many colleagues have rightly already informed, how the Minister looks at all these figures. We also see a decline in energy imports, while increasing imports are being taken into account in the National Energy Exploratory. What does this trend mean for our national task?
ParlaMint-NL_2017-09-07-tweedekamer-3.u32	You are asking a very fair question, but it was also asked earlier in Parliamentary questions, which the Minister has also recently answered. He's basically waving away the investigation and saying "wait for the energy explorations" and "I have doubts about these figures, because I'm hoping for windfalls again." What do you think of that attitude?
ParlaMint-NL_2017-09-07-tweedekamer-3.u33	I thought this question could be put in plenary. That is why I am asking the Minister this question here today.
ParlaMint-NL_2017-09-07-tweedekamer-3.u34	So you implicitly state that you do not think the Minister should wave this away.
ParlaMint-NL_2017-09-07-tweedekamer-3.u35	I will not quickly say that the Minister is diving away, because I think he is generally very clear, especially in the area of renewable energy. However, we do see different figures at different times of the year. Everyone explains them very differently. Next thing you know, you're gonna get a bunch of numbers and interpretations. Then the question is whether we're gonna make it or not. I think that the Minister can answer that very clearly today, and I expect him to do the same. I'm just gonna put something down for him. Last Monday we received a letter from the Minister on the opening up of the SDE+ last spring. It is, of course, fantastic that so many projects are being supported and are likely to be implemented in the coming years. How is the Minister going to ensure that renewable energy is also promoted cost-efficiently, as the SDE+ was set up at the time and was also aimed at by former Minister Verhagen? What are his expectations for applications in the autumn round, for example? For we see that the number of investments can increase because we are making more and more money available for renewable energy, but how can we manage to do that cost-effectively? I hope the Minister will agree to that.
ParlaMint-NL_2017-09-07-tweedekamer-3.u36	Mr. Chairman. First of all, I wish the people of the Upper Wind Islands good luck and also the cabinet in dealing with the disaster that has taken place there. We are now talking about renewable and renewable energy. I have to say that, by now, about half of our monthly energy bill is made up of taxation. My group is therefore very concerned about the affordability of energy for the ordinary hardworking Dutchman. By increasing the energy tax and storage of renewable energy over and over again, the monthly energy bill has become far too high for more and more families. Taxes are constantly being increased in order to subsidise renewable energy, because renewable energy is at least three times more expensive than ordinary energy. There is also good news, namely that renewable energy is becoming increasingly cheaper due to technological progress. But because most parties in this Chamber want to switch to renewable energy sources far too quickly, ordinary people who have no money to invest tens of thousands of euros in solar boilers, solar panels, insulation and heat pumps are at risk of being put down.
ParlaMint-NL_2017-09-07-tweedekamer-3.u37	I hear Mr Madlener from the PVV Group saying that it is moving too fast. Does this mean that the PVV Group thinks it is a good development that people are being encouraged to further isolate their homes? Let me get this straight.
ParlaMint-NL_2017-09-07-tweedekamer-3.u38	Of course, I have nothing against a well-funded home. I just think that people's costs should be monitored. I see all kinds of ambitious Members of Parliament who want us to get rid of oil and gas, but the reality is that this is not yet possible. I also have good news, and that is that solar energy is getting cheaper and cheaper. We say: wait until it is profitable and don't go to be a few years earlier, and we are trying to get all kinds of subsidies that make it priceless for ordinary people.
ParlaMint-NL_2017-09-07-tweedekamer-3.u39	The CDA shares with the PVV that we need to look closely at costs for ordinary residents. You can stimulate renewable energy and the isolation of homes by providing subsidies for them and thus helping people. Is that something the PVV would like to encourage when it is affordable enough for its residents?
ParlaMint-NL_2017-09-07-tweedekamer-3.u40	Those subsidies are paid by those citizens because with all the energy storage and energy taxes, you are pushing up the energy bill. So, no, the PVV is not in favour of increasing the energy bill for ordinary Dutch people because you want to pump money around and give it to all kinds of unprofitable projects. I call it the North American wood cookie. That's what you and I pay in our energy bill. That is why this bill has become ever higher and for a lot of people it threatens to become priceless.
ParlaMint-NL_2017-09-07-tweedekamer-3.u41	In fact, I agree with Mr Madlener to a very large extent. Indeed, there is a major problem with the energy bill for households. There is already an increasingly large group living in energy poverty. At the same time, in my own Groningen, I see major problems with the extraction of gas, fossil energy that literally causes people to run out of homes. Is the solution not much earlier, rather than waiting, as Mr Madlener proposes, to seek a fairer distribution of lusts and burdens? So it is not for people with a tight stock market to be billed, but for the polluter. Then we can also switch and make sure that we, for example in the case of Groningen where the pain is so deep through the gas extraction, can get rid of the gas. Does Mr Madlener agree with me?
ParlaMint-NL_2017-09-07-tweedekamer-3.u42	The Groningen gas problem is, of course, a completely different one, because we are talking about renewable energy. You know our position on that. Of course, we believe that much more money should be made available to the victims in Groningen. You're right about that, too. There are billions of dollars made in Groningen and that money has to go to people with damage. That is the position of my group.
ParlaMint-NL_2017-09-07-tweedekamer-3.u43	Now you're contradicting yourself. I'm sorry because I just started complimenting you. A few sentences ago, you said we can't get rid of the gas. Now you say there's money to go to Groningen. Surely we can ensure that gas extraction in Groningen is reduced and at the same time switched to renewable energy by dividing the bill differently? EY calculated that and it shows that it's possible. Do you agree with me that we should take the bill away from the people who cannot afford it and should put it down with the people who can?
ParlaMint-NL_2017-09-07-tweedekamer-3.u44	Of course, I can't remove the energy bill from people either. What I do stand for is that we do not increase the tax on energy too high. In the meantime, almost half of our energy bill is made up of taxes. As far as Groningen is concerned, you're right. We have to deal with the people in Groningen much more generously. These debates have often been held in this Chamber. But the monthly energy bill is getting too high because taxes are being increased, taxes to pay all those precious hobbies like windmills and wood chips from America.
ParlaMint-NL_2017-09-07-tweedekamer-3.u45	GroenLinks also sympathizes with the people who have been hit so hard by Hurricane Irma. I have a question for Mr Madlener. Does he recognise that climate change enhances extreme weather phenomena such as hurricanes?
ParlaMint-NL_2017-09-07-tweedekamer-3.u46	That's quite a statement. As a matter of fact, yesterday I heard a weatherman say that the number of hurricanes is decreasing. The direct relationship you are suggesting, that this hurricane is the result of climate change, is absolutely impossible to establish.
ParlaMint-NL_2017-09-07-tweedekamer-3.u47	That's another debate, I'm afraid.
ParlaMint-NL_2017-09-07-tweedekamer-3.u48	It is also a completely different debate, and the President is right to do so. No, I can't put that relationship together like this, and I don't think you can either, Mr. Van der Lee.
ParlaMint-NL_2017-09-07-tweedekamer-3.u49	In my opinion, it is relevant for a debate on the share of renewable energy to what extent you believe or not that climate change is taking place and that it affects extreme weather types. I didn't say "caused." But extreme weather is enhanced by climate change. That seems to be the case with these super-organs. It would be good for you to look into that further.
ParlaMint-NL_2017-09-07-tweedekamer-3.u50	I can only say that the scientists who need to study this mainly disagree on this question. I know that your party likes to pretend that everything is the result of climate change, which is also caused by man. There are many questions to ask, and I am not going to join your party's scaremongering.
ParlaMint-NL_2017-09-07-tweedekamer-3.u51	Thank you. Oh, you weren't done. I'm sorry. Please continue.
ParlaMint-NL_2017-09-07-tweedekamer-3.u52	I am only at the beginning of my speaking time, I am afraid.
ParlaMint-NL_2017-09-07-tweedekamer-3.u53	That's right. You're absolutely right.
ParlaMint-NL_2017-09-07-tweedekamer-3.u54	I was talking about subsidising all kinds of expensive energy, which threatens to make the energy bill priceless. The renewable energy storage levy will be almost five times higher than it is today without policy adjustment by 2020. Even worse is that all the billions of taxpayers' money that ordinary citizens pay is very low. For example, the share of renewable energy increased from 5.8% to 5.9%. It's almost negligible. What's worse, CO emissions are just rising, despite all the billions of taxpayers' money. Germany is, of course, much further in switching, and that is where the CO is rising. This is because they have turned off nuclear power stations in Germany, which means that the lignite plants have to be fully powered up to cope with this. We must really avoid these German situations. All the ambitious Members of Parliament that I see around me roaring with blinders that it has to be done even faster, I therefore recommend that we take a good look at the negative aspects of this uneconomic greening. For billions, we're going to buy wood chips from America, put them in polluting boats, sail here to burn it up in our power stations. That co-incineration of wood from North America is another typical example of what blind ambition can lead to, and the common man can pay those subsidies. It's kind of like the capital mistake of subsidising palm oil plantations to make biofuels out of them. When I was just elected to this Chamber in 2006, there were so many ambitious MPs who thought that was a great plan. Even then, the PVV warned about the consequences. We now know the consequences: huge forest cover in Indonesia to produce all that palm oil. I see shame on the jaws of the parties that supported it. I'm rounding up. Of course, the PVV is not against renewable energy, but we do set two conditions. It must be profitable and it must not cause any inconvenience. So no windmills that ruin our living environment, VVD! No billions of subsidies that will make our energy priceless. The PVV believes in the future, we believe in progress, in new techniques such as thorium, and not in wasteful subsidies and tax increases. We keep our heads down and refuse to follow dubious climate alarmists like Al Gore. In any case, we will refuse to let the ordinary hardworking Dutchman bleed for the expensive hobbies of overenthusiastic green MPs, who themselves have no trouble producing a lot of CO. 'Cause when I look in the parking garage a little bit what cars say, and when I look at all those nice flights of MPs, I think, you're gonna be ashamed. I will therefore table a motion in the second term to halt the unbridled growth of tax increases and taxes under the pretext of'sustainable'.
ParlaMint-NL_2017-09-07-tweedekamer-3.u55	I am thinking about the PVV's economic model for a number of things. Some statements are being made that are not quite in line with each other. Perhaps Mr Madlener can explain that. Because he is glad that the cost of renewable energy is going down very fast. At least that's what he said. That's a good thing. That is also because we are massively committed to a great deal of renewable energy. That's what we do with subsidy. Yeah, that's gonna cost you money, but then you see that price is gonna go down. Then we'll be at a time when we can stop subsidies. Sounds like a good plan to me. But Mr Madlener also says very quickly: we can also opt for thorium. Does Mr Madlener have any idea how he got the money for a thorium plant?
ParlaMint-NL_2017-09-07-tweedekamer-3.u56	What I want to say here is that you and I see that the new techniques, solar energy, perhaps wind, but above all thorium, are very promising techniques that are becoming more and more profitable. All kinds of experts tell you and I that they will be profitable in perhaps ten years' time. We already see wind farms in Germany that are tendered without subsidies. We see that coming. It might take another five or ten years before we get there. Don't tell me you're gonna be collecting billions of taxpayers' money from the public to get what you want. Well, then we'd better wait until it's profitable, wouldn't we? Isn't that purely economical? You're not going to invest in a loss-making old technique in ten years' time when there's something wonderful and profitable on the market?
ParlaMint-NL_2017-09-07-tweedekamer-3.u57	I find this very interesting. The world's gonna wait ten years, and then we're gonna have sustainable thorium? In the meantime, no one's gonna do anything. Can Mr Madlener explain who is working to make thorium profitable over the next ten years?
ParlaMint-NL_2017-09-07-tweedekamer-3.u58	Mr Bosman thinks that if the Netherlands does not invest billions of grants in loss-making techniques, science stands still or something. Of course not! Mr Bosman, do you really think all the factories are going to stop? Is that what you really think? Do you really think that the Netherlands...
ParlaMint-NL_2017-09-07-tweedekamer-3.u59	Who pays for science? Where's the money coming from?
ParlaMint-NL_2017-09-07-tweedekamer-3.u60	Look, this is the VVD thinking. He thinks that with all these billions of loss-making subsidies we are going to save the world. That's wrong. I also don't understand a party that thinks economically that it's going to invest in loss-making wind farms and loss-making techniques if they become profitable in ten years' time and we don't need any more subsidies at all. In ten years, we can tear down all those loss-making wind farms again.
ParlaMint-NL_2017-09-07-tweedekamer-3.u61	Thank you very much, Mr Madlener. This brings us to the end of the Chamber. The Minister can answer directly. The Minister has the floor.
ParlaMint-NL_2017-09-07-tweedekamer-3.u62	Madam President, I believe that attention has rightly been paid in this meeting of the Dutch Parliament to the wretched situation in Saint Martin after the worst hurricane ever, I understand. Fortunately, the damage on Saba and Saint-Eustatius seems to be much less, but on Saint-Maarten it is serious. We sympathize wholeheartedly with the inhabitants of the country. We will work with them to repair the damage and rebuild the country. Mr. Chairman. I heard Mr Madlener use very big words to his colleagues, all of whom were hobbies in terms of renewable energy and driving large cars themselves. Renewable energy storage would be five times higher in 2020 than it is now and the energy bill would become priceless for ordinary Dutch people. Maybe it's good to put the facts next to his words. The facts are that in 2005 the average Dutch family in total, including VAT, paid €1.856 for gas and electricity. In 2020 it is now expected that €1.625 will be paid. So that's $230 less than 12 years ago. Now at the moment, in the year 2017, it is even lower than that €1.625. So there's no much higher bills at all and an account that's gonna be priceless. It is bullshit that Mr Madlener is proclaiming here in the Chamber. The facts point directly the other way. It would be very nice for a Member of Parliament to stick to the facts a little bit.
ParlaMint-NL_2017-09-07-tweedekamer-3.u63	I referred to taxes on energy. The Minister now appeals to me on the energy price. Of course, we are now faced with a relatively low price of oil and a low price of coal. But when the Minister talks about facts, can he be honest and now say what the tax on energy was in 2005 and what the tax on energy is now for ordinary Dutch families?
