ParlaMint-NL_2017-06-08-tweedekamer-5.u1	I welcome the Secretary of State for Economic Affairs and give the floor to Mrs Ouwehand.
ParlaMint-NL_2017-06-08-tweedekamer-5.u12	I shall then give the floor to Mr Grashoff on behalf of GroenLinks.
ParlaMint-NL_2017-06-08-tweedekamer-5.u13	Mr. Chairman. The European Commission wants to allow the product to be re-admitted for a period of 10 years, while the objective is to achieve less harmful substances for the environment and human beings. Those two things are already difficult to relate to. We regret that decision by the Commission. We are well aware of the serious impact on our environment, biodiversity, soil life, water life and birds. It means that the use of phenylalanine alone should therefore be limited to a minimum, preferably to zero. For many years, water companies have been calling for standards to be exceeded in surface water, ranging from 15% to 30%. In addition, we are having a discussion on health risks and carcinogenism, where I think we should see that this discussion continues and that there is every reason to be concerned about both the independence of the investigations carried out and the limitations of the investigations carried out by the European authorities. That discussion needs to be further explored. Transparency of the underlying investigations and possible influence of investigations should be ensured. Against that backdrop, the re-admission of this product for a period of ten years is truly bowing to multinational Monsanto. GroenLinks attaches great importance to the fact that the Dutch government does not move along with it. Previously, the Chamber adopted a Green Left motion to advocate in Europe full disclosure and transparency in investigations. What happened to that motion? Can the Secretary of State consider whether, as a plaintiff, the Dutch government might be able to join the process initiated by the Green Group in the European Parliament at the European Court in order to ultimately enforce that disclosure? The public interest is above the interests of the multinational, isn't it? The Group of the Greens/European Free Alliance wants the European Commission's proposal to be revised. From the point of view of the precautionary principle alone, there is a need for extreme restraint. We need to move towards an agricultural practice that can work completely without or largely without plant protection products. That is where a path must be set out, and that does not correspond to a decision that takes away any incentive for a long time to look for alternatives to focus real research and field experiments on it. GroenLinks asks the State Secretary to call on the Commission to withdraw the proposal and to call for a proposal with a very limited deadline and a clear objective of phasing-out, of phasing-out within a few years. Is the Secretary of State prepared to argue for that? Finally, I would like to stress that we should not wait for action from Europe. The Netherlands itself also has a responsibility to minimise the use of the product. In any case, my motion from 2011 has led to a significant reduction because the use of hardening outside agriculture is prohibited. We can go a lot further. What about the ban on private individuals being investigated? The cure must be removed from the shelves of our garden centers. What else can we do in agriculture, for example in the case of not allowing the use where integrated pest control exists, or not allowing it for dehydration prior to harvest and so on? Could the Secretary of State tell us what he himself intends to do about further restricting the use of this substance?
ParlaMint-NL_2017-06-08-tweedekamer-5.u14	I fully agree with GroenLinks' speech. I'd like some clarity on the following. Does GroenLinks also think that we should take decisions today, in the sense that there will be an extension which must be of very limited duration and a plan for phasing out? The risk is that the cabinet will say that there are still investigations going on and that the bottom stone must first emerge. The longer you wait to make those decisions, the stronger the argument is going to be: there is no alternative, so we can only continue this extension. Is GroenLinks with the Party for Animals of the opinion that, even though there are still researches on how this all works...
ParlaMint-NL_2017-06-08-tweedekamer-5.u15	Would you like to finish your interruption?
ParlaMint-NL_2017-06-08-tweedekamer-5.u16	... it's very important to clear up today?
ParlaMint-NL_2017-06-08-tweedekamer-5.u17	I believe that I have already made this quite clear in my speech, but I would like to repeat it if necessary. No, an extension of ten years is not at all proportionate to the uncertainties that exist. Then you choose a very short term and a route to phase-out.
ParlaMint-NL_2017-06-08-tweedekamer-5.u18	Mr. Chairman. Then you're a new MP and you want to have a good debate, but then today probably isn't the time. A good debate is, of course, about content, but also about timing. When it comes to timing, we are at the wrong place here today. The decision of the European Commission is not yet there. As far as I am concerned, therefore, this debate is premature. Of course, the CDA also wants economic activities to be negligible.
ParlaMint-NL_2017-06-08-tweedekamer-5.u19	That is a special one from Mr von Martels. We're in the middle of a debate with the Secretary of State right now. As Mr von Martels also knows, a European decision ultimately comes about in consultation with the Member States. It's the Council's turn. If there is a time when we can actually send this Secretary of State a message, it is now. Mr von Martels will agree with me, won't he?
ParlaMint-NL_2017-06-08-tweedekamer-5.u20	We would rather wait for the decision of the European Commission. That decision is not yet in place. An opinion has been given and it has now been suspended. That is what we want to wait for. In this respect, it is still unfounded to say the necessary things at this stage. In the course of my speech, I will undoubtedly also explain to Mr Grashoff why I have spoken these first words.
ParlaMint-NL_2017-06-08-tweedekamer-5.u21	It's still special. In this kind of decision-making, you know that there is a start-up period and that it is extremely important how Member States position themselves. So it may seem like this, but perhaps Mr von Martels can take away my fear that his plea not to talk about it now because it is untimely is actually a plea to allow the remedy unlimited.
ParlaMint-NL_2017-06-08-tweedekamer-5.u22	No, I'm not saying that. I also regret that you are interrupting so quickly, because you should wait and see what else I have to say. I'll make it all clear, within the three minutes I'm commanded. For the moment, I think this debate is premature today. I would like to talk about it again at another time, but at this time and certainly because the European Commission has not yet delivered an opinion, it is too early to talk about the consequences of the use of satsumas in the Netherlands.
ParlaMint-NL_2017-06-08-tweedekamer-5.u23	During the election campaign, the CDA repeatedly indicated that we should not leave everything to Europe and that we should also make a lot of national decisions. Does Mr von Martels think that it should also be the same with regard to the decision on whether or not to allow the use of satsumas? Does he think that this should be a national decision, just a national decision?
ParlaMint-NL_2017-06-08-tweedekamer-5.u24	No, I certainly don't. We must look very closely at the consequences of the use of satsumas. I am also looking at all kinds of investigations, which have also been carried out abroad. The authorities in America, New Zealand and Europe all say that it is not carcinogenic, as far as we are concerned. We must be able to assume that now.
ParlaMint-NL_2017-06-08-tweedekamer-5.u25	Mr von Martels has certainly also been briefed by experts on the subject, who say that it is highly toxic and also endangers the pollinators at the beginning of our food cycle. That should appeal to a CDA guy. The European Union is hindering our entrepreneurs, who are at the forefront of greening. They are hampered by the use of non-chemical variants. I noticed this during work visits. It must appeal to the CDA to involve the European Union now, even if it is in a positive sense and in a negative sense hinders our entrepreneurs when it comes to greening.
ParlaMint-NL_2017-06-08-tweedekamer-5.u26	I'm certainly not gonna argue for the use of satsumas. That's not my intention. My intention is precisely to make it clear that, as politicians, we should not sit in the chair of scientists. Those scientists are here for us. We have set up institutes to enable them to do really good scientific research into the dangers. That's what matters to me. I would like to talk about the scientific advice before we, as politicians, can make a good decision. That is why my plea is aimed at taking a good look at that. In that sense, therefore, the debate is premature for me today, because the European Commission is certainly going to have to make a good statement first because it is going to look closely at all the scientific evidence. The advice has now been suspended and we are waiting for it.
ParlaMint-NL_2017-06-08-tweedekamer-5.u27	I understand that Mr Graus has a point of order.
ParlaMint-NL_2017-06-08-tweedekamer-5.u28	Certainly, for the Acts and for the people who are watching at home and are now being misinformed. Vewin has indicated that it's poison, and this is important...
ParlaMint-NL_2017-06-08-tweedekamer-5.u29	This is not a point of order. You'll have your own input later.
ParlaMint-NL_2017-06-08-tweedekamer-5.u30	But it's poison. And that's it. That's it. It's a poison. End of exercise.
ParlaMint-NL_2017-06-08-tweedekamer-5.u31	This is not a point of order. Mr von Martels continued his speech.
ParlaMint-NL_2017-06-08-tweedekamer-5.u32	I understand that time has stood still and that I have 2 minutes and 34 seconds left. The CDA wants the risks of economic activities to be negligible. This also applies, of course, to plant protection products. For example, EFSA, the European Chemicals Agency and our national authorities are looking at the authorisation of plant protection products. This debate is about more than just a discussion about a pesticide. As far as my group is concerned, today's debate is about a principle, namely our role as politicians. In times of populism, the debate at its core is about trust. Then it is also about trust in our institutions, institutions that we have set up ourselves. The potential harm is to undermine the credibility of our institutions, institutions built to protect our society. The selective way in which scientists are dealt with is, in any case, striking. Recently this was described nicely in the Volkskrant. When it comes to climate, they are placed on a pedestal. But when it comes to gene technology, for example, they are often sidelined. We have independent authorities that assess substances and resources. I myself am neither a scientist nor a chemist, nor have I researched the possible effects of substances. Nor do we set up our system in this way. If there is new information, it is used by scientists in independent bodies to monitor and, where necessary, modify an authorisation granted. Of course, we take the concerns of residents seriously. But we're not gonna sit on the scientists' chairs. As far as I am concerned, therefore, it is far too early for the end of satsumas. We're not in favour of a "glaxit" right now. The CDA would like to hear from the State Secretary about the state of play on the Commission proposal. My group also calls for a response from the Secretary of State to the investigations and opinions of the German authorisation authority, the BfR, EFSA and the European Chemicals Agency. In addition, it has come out that the Commission intends to allow turnips for 10 years. The CDA would like to know how the Secretary of State looks at that information. Can he explain whether he intends to plead for a longer or shorter admission, and if so, why?
ParlaMint-NL_2017-06-08-tweedekamer-5.u33	I have a quick question. If the CDA says we have to have faith in the scientists, then I'll ask myself the following. EFSA says it's safe. But the World Health Organization's international cancer agency writes in a letter to EFSA: well, in view of the research we are seeing and our assessment, we feel a little uncomfortable with your conclusion. Which institution should we trust, according to the CDA?
ParlaMint-NL_2017-06-08-tweedekamer-5.u34	Mrs Ouwehand refers to the IARC. Of course, I have also read that scientific research. I have also seen that it is placed in category 2A. Among other things, this includes red meat, to name but a few. The study and the scientific analysis of the use of IARC arthropods was conducted less well and thoroughly. The investigation of the other authorities, albeit those in Australia, America or New Zealand I've just named them all out has been much more thorough. That is why we are leading the way: the most thorough scientific research and the most thorough support.
ParlaMint-NL_2017-06-08-tweedekamer-5.u35	There, go ahead! And that's about a cure that gives farmers cancer.
ParlaMint-NL_2017-06-08-tweedekamer-5.u36	What are you saying? You're saying something that I think is: why do you say that?
ParlaMint-NL_2017-06-08-tweedekamer-5.u37	Mrs Ouwehand has the floor.
ParlaMint-NL_2017-06-08-tweedekamer-5.u38	Let me summarize what the CDA is saying here. The EFSA assessment, which now shows that many of the studies on which it formed its opinion have been significantly influenced by Monsanto, considers the CDA to be more reliable than the independent scientists of the World Health Organisation's international cancer agency. That's somethin'!
ParlaMint-NL_2017-06-08-tweedekamer-5.u39	That's somethin'! But what you just said is a lot to me, too. Luckily, you withdrew your words in good time. We regard the scientific research that has been done very thoroughly as leading. Of course we are also listening to the IARC, but as I said at the beginning of my speech, this debate is far too early as far as I am concerned. Let's see what all these scientists say first. We want to take a stand on this. To determine that, at least we need science. That is the essence of my speech.
ParlaMint-NL_2017-06-08-tweedekamer-5.u40	Mr von Martels' argument concerns me, perhaps because I am also a spokesperson of science. You're right, you shouldn't be selective. I will certainly repeat those words when Mr Geurts talks again about the conclusions of the Planning Office for the Environment. But the criticism of an organisation such as EFSA and its investigations is not only there because people do not like the message. It also focuses on the fact that they do not disclose their sources. They use research that cannot be looked at by other scientists, while that is, of course, the essence of science. Does Mr von Martels not see any legitimate criticism of this?
ParlaMint-NL_2017-06-08-tweedekamer-5.u41	Of course, we'll take a good look at that. That is why it is almost natural that the European Commission has not yet reached a final verdict, because it is also looking at the Monsanto Papers and the critical comments that have been made. But we shouldn't just be guided by the images. Let's base ourselves on the facts.
ParlaMint-NL_2017-06-08-tweedekamer-5.u42	Following on from Mr von Martels' last remark, 'let us base ourselves on the facts': in my speech I indicated that one of the facts is that the environmental damage of the substance is not under discussion. It's just been proven. Mr Graus (PPE), rapporteur. - (NL) Mr President, ladies and gentlemen, I should like to begin by thanking the rapporteur for his excellent report. Also in the Netherlands you notice a huge difference between 30 years ago and now, in the amount of insects you will find when you drive your car across the highway. The pollinators in the Netherlands...
ParlaMint-NL_2017-06-08-tweedekamer-5.u43	Can you come to your question?
ParlaMint-NL_2017-06-08-tweedekamer-5.u44	Would Mr von Martels comment on the argument of environmental damage? Can he indicate if he agrees with me that for that reason, apart from the discussion about cancer, you should keep this medicine to the minimum?
ParlaMint-NL_2017-06-08-tweedekamer-5.u45	I fully agree with you that you need to look closely at the use and dosage of it. In the past enough measures have been taken to this end. I don't know if you have any experience with it, but I'm a dairy farmer myself. On our own company Roundup is also used to spray grassland to death, but after five days the cows could get back on. That was allowed then, wasn't it? Not that you've ever noticed any effects; no, never. You have to use it in itself very dosed. You're not gonna take an overdose. In these situations, the environment in the Netherlands has so far not been affected. So I don't agree with you.
ParlaMint-NL_2017-06-08-tweedekamer-5.u46	I am going to remind Mr von Martels once again of his statement that you must stick to the facts. The environmental damage caused by the use of this product, precisely in the kind of application he is talking about today, is precisely why grasslands have become ecological deserts, why we lose our pollinators and why our insects and soil life are being destroyed. Mr von Martels must stick to the facts.
ParlaMint-NL_2017-06-08-tweedekamer-5.u47	I'd love to. We are in complete agreement on that. We're definitely gonna do that. I hope that this does not give the impression that I am here to make a plea for the use of satsumas. It's not like that at all. I would like to emphasise once again that we need to look closely at the effects of its use. As politicians, we are not in a position to make a decision. That's what science and scientists need to do. That's what I'm arguing for right now. In that sense, I think today's debate is premature.
ParlaMint-NL_2017-06-08-tweedekamer-5.u48	I'm glad you don't want to base your own experiences on science. Science also indicates that many things have not yet been investigated and may still be relevant for research, including the compositions. Don't you think there should be more research before we say we're going to allow it for another ten years?
ParlaMint-NL_2017-06-08-tweedekamer-5.u49	The drug has been in use for several decades and the studies have not been limited in recent years to a single study. I've already said it's being investigated worldwide. These studies have always shown that it is not a carcinogen and that it must be used in the correct dosage, otherwise it may cause environmental damage.
ParlaMint-NL_2017-06-08-tweedekamer-5.u50	It is not just a question of carcinogenism but also of environmental damage. There are still questions about this, including in its composition. You say now: I think enough research has been done, do ten years.
ParlaMint-NL_2017-06-08-tweedekamer-5.u51	I do not call for additional research, but I would point out that scientists are now going to judge on the basis of experience we have gained so far. We can only conclude that no risk of carcinogenic potential has been identified for the time being. In relation to the environment, we all know that you have to use the medicine in the right dosage. So I am not in favour of abolishing arthropods at the moment.
ParlaMint-NL_2017-06-08-tweedekamer-5.u52	Thank you. You were at the end of your speech, I believe?
ParlaMint-NL_2017-06-08-tweedekamer-5.u53	Yes.
ParlaMint-NL_2017-06-08-tweedekamer-5.u54	Then I give the floor to Mr Futselaar on behalf of the SP.
ParlaMint-NL_2017-06-08-tweedekamer-5.u55	Mr. Chairman. Glyfosate or simply Roundup rightly keeps the moods busy. No pesticides that are used so much, no pesticides that so many concerned citizens have questions about and no pesticides that affect such economic interests. A final European decision will be taken in November and there is much at stake. It is no wonder, therefore, that a European citizens' initiative to ban arthropods already has hundreds of thousands of signatories. A lot of the discussion on arthropods is about whether or not it is carcinogenic. There is a report from the World Health Organisation International Agency for Cancer Research which states that this is likely to be the case. There is a report from EFSA, the European Agency, which states that it is not. The authors of the two reports propose that their conclusions be presented. What is an important difference is that the World Health Organisation report is based on published scientific research and that EFSA relies on unpublished research that it does not want to make public because it would harm commercial interests of the companies concerned, read producer Monsanto. As a result, we are now in the absurd situation that MEPs have gone to the European Court to force a European agency to make sources public. Monsanto's behaviour also seems to give rise to caution. I refer briefly to Mrs Ouwehand's speech. I wrote that down in advance and she didn't disappoint me. Mr. Chairman. I cannot say that it is a carcinogen or Roundup, but when it comes to public health, the precautionary principle applies: in case of doubt, do not do so. Let's not fool ourselves, we're talking poison here. There is no scientist who will not admit that arthropods is unhealthy and is harmful to the environment and eyes anyway. A quote: "Reduce distribution. Keep out of sewers, drains, ditches and watercourses." This quote is not an opinion of the SP, Milieudefensie or Greenpeace but comes from the safety sheet of the product Roundup itself, from Monsanto. But it's in our drains, it's in our locks, and it's in our watercourses. It's even in our groundwater, in large quantities. As early as the 1990s, structural standard overruns of the amount of fertilizers were found, including in groundwater in drinking water production. It is no wonder, therefore, that drinking water companies are asking, almost begging, for action to reduce the hundreds of thousands of kilos of Roundup distributed in the Netherlands. Take a congregation like Amersfoort. In her fight against the Japanese thousand-knot large-scale pine, he even calls on citizens to report when they encounter the plant in parks, beds or their own backyard, so that the municipality can come and spray it, where the municipality is kind enough to warn citizens that they should not let their dogs out for a while where this happened. This is irresponsible. Is the Secretary of State prepared to address this municipality and other municipalities that do so to their behaviour? It is time for a complete European ban on the use of Roundup. In any case, there should be no new ten-year extension. The Netherlands must do what it can, but it must also do what it can. I'll finish, Mr. Chairman. In 2015, Secretary of State Mansveld promised to halve the sale of Roundup to private individuals in 2016. There would be an evaluation of that. Where's the evaluation? Why isn't there yet? And isn't it time for a definitive ban on the sale of Roundup to private individuals?
ParlaMint-NL_2017-06-08-tweedekamer-5.u56	Thank you. Then I give the floor to Mrs Lodders on behalf of the VVD.
ParlaMint-NL_2017-06-08-tweedekamer-5.u57	Mr. Chairman. Today we are talking about a possible extension of the authorisation of satsumas. I say 'possible' because at the moment we do not know what the flag is. Glyphosate is a medicine that is mainly used as a pest control agent in agriculture. It prevents the storage of old plants, which cause diseases in new plants, and it ensures that crops have enough space to grow. Public health is at the forefront of the VVD. If it appears that the substance could be dangerous to humans, nature or the environment, then such a substance should be banned or strict conditions should be laid down for its use. It is therefore a good thing that research is being carried out into the effects of certain substances. It is important that these investigations are conducted independently and on the basis of science, not by industry, but also by left-wing clubs pursuing a different agenda.
ParlaMint-NL_2017-06-08-tweedekamer-5.u58	It's about cancer all the time now, but all the experts have agreed that.......................................................................................................................................................................................... That is also scientifically true; that is a fact. Now Mrs Lodders of the VVD has also received the letter from Vewin (Association of drinking water companies in the Netherlands), in which she states that for years in cross-standard concentrations in surface water and ground water used to make drinking water, the................................................................................................................................................................................................................................... Mrs. Lodders got that letter, too. Now Mrs. Lodders says...
ParlaMint-NL_2017-06-08-tweedekamer-5.u59	Can you come to the question?
ParlaMint-NL_2017-06-08-tweedekamer-5.u60	I'm sorry, but I have to quote that. Now Mrs Lodders says: if it has been shown that it is harmful, then we are against it. Why isn't she against it now that it's been proven? I don't understand.
ParlaMint-NL_2017-06-08-tweedekamer-5.u61	Because there have been a number of scientific studies, which I shall come back to later, in Europe. And I agree with Mr Graus that in certain chemical substances we are talking in this case about fertilizers, but we are also talking about the plastic in our coffee cup, which can be harmful if you use it in very large quantities. That's where the crux is. That is also why I just indicated that, when it comes to public health, you should always consider whether it can be used at all and in what quantities. Of course, there's a big difference. So please, I would like to say to Mr Graus, let us also look at what this medicine is used for. This medicine is not just used. It is used to ensure that we are able to produce sufficient quality food. That's what we need it for. It is being used as little as possible, because before Mr Graus moves to the bees and the pollinators of this world, farmers depend on it. So they deal with that carefully and are careful.
ParlaMint-NL_2017-06-08-tweedekamer-5.u62	Not only the interruptions but also the answers need to be shorter, I'll give everyone along. Mr Graus, a brief follow-up interruption.
ParlaMint-NL_2017-06-08-tweedekamer-5.u63	We are Dutch representatives of the States General. We represent our own animals and our own people. We must be able to decide for ourselves. We have nothing to do with Brussels bureaucrats or multinationals. Our own Vewin, I trust, warns that it is risky for our drinking water. Come on, trust our own people sooner. It's marked as a high-risk substance, so please cut it out!
ParlaMint-NL_2017-06-08-tweedekamer-5.u64	I have received a lot of letters in recent weeks and I have read a lot of research. The VVD makes its own assessment. Once again, scientific assessments are important.
ParlaMint-NL_2017-06-08-tweedekamer-5.u65	I hear Mrs Lodder saying that it is necessary for our food production and beyond as little as possible. Can the VVD agree to a private ban outside agriculture? It will not then be used for food supplies.
ParlaMint-NL_2017-06-08-tweedekamer-5.u66	Such means must always be used very carefully. We are opposed to a ban, even outside agriculture, because recreational companies, for example, can handle it very carefully. The ban on hardening has increased the amount of cleaning vinegar on the shelves. Maybe not scientifically researched, but it can be seen in practice: cleaning vinegar may be much more harmful to the environment than responsible use of turnips. A number of organizations are slinging all kinds of horror stories into the world about pomace. For example, it would be carcinogenic. This one-sided coverage scares people, while it is not certain whether this is actually the case. In fact, recent research by the European Chemicals Agency, carried out at the request of the Commission, has shown that there is no relationship between arthropods and cancer. The VVD believes it is important that the authorisation of resources, including fertilizers, is carried out on the basis of scientific research. Then it has been a wise decision by the Commission to postpone the final decision on the renewal of the authorisation of arthropods to the opinion of the European Chemicals Agency. But now that the outcome of that study is clear and in line with the conclusion of previous research by the European Food Authority (EFSA), the VVD believes that on the basis of this scientific assessment we can take the next step. The VVD is opposed to a ban on the use of arthropods, both at European and national level. We have seen the cost increases that have led to a ban on the use of this product, for example in the case of hardening, and it is the entrepreneurs, but also the people in the country, the taxpayers, who pay for these costs. A wider ban will only lead to a further increase in costs for people and entrepreneurs. But a ban will also be a risk to agriculture and the production of our high-quality and affordable food. Decision-making must take place on the basis of facts and not on the basis of emotion. The VVD has asked for a letter, which addresses where the Commission currently stands in its decision-making. Unfortunately, we didn't receive that letter. That is a pity, but is it true that in the middle of this year a proposal is being made to extend the authorisation on the basis of scientific research? Does the Secretary of State and the VVD consider that the results of this investigation justify an extension?
ParlaMint-NL_2017-06-08-tweedekamer-5.u67	The European Chemicals Agency indeed said on 15 March that it is safe. But in that same week, all sorts of pieces came out in the open about the way in which Monsanto has greatly influenced the underlying pieces. Even EFSA says that this is serious. Doesn't that matter to the VVD at all? In fact, I understand from Mrs Lodder's speech that she knows enough now, so that turnips can be admitted to the European market for ten years.
ParlaMint-NL_2017-06-08-tweedekamer-5.u68	This is not the only research that has been done in the past period. The files on Monsanto are currently under the judge. There is therefore a judgment on this matter.
ParlaMint-NL_2017-06-08-tweedekamer-5.u69	I don't understand it so well. If citizens make all kinds of attempts not to pay their taxes, the consequence is not only that they have to pay the tax if they are caught. Then there's a fine on that, because such goodbye is unacceptable. Does the VVD find it explaining that you use two different standards? If citizens try to undermine and get caught, there are sanctions. But if the big business tries to do that, like Monsanto now, the only consequence would possibly be that it doesn't get permission. By the way, the VVD believes that Monsanto can continue. Therefore, trying to influence this European decision-making in a far-reaching way has no other consequences, whereas EFSA itself says that it is serious.
ParlaMint-NL_2017-06-08-tweedekamer-5.u70	What Mrs Ouwehand is doing here is condemning Monsanto in her own speech. That's under the judge, and that's where it belongs. Scientific research is scientific research. Scientific is not research with one-sided information from the business community, but also not the one-sided research of all kinds of environmental clubs with their horror stories.
ParlaMint-NL_2017-06-08-tweedekamer-5.u71	I'm trying to fit in with Mrs. Lodder's thinking. It is concerned about additional costs for citizens. I can understand that. But does she agree with me that if water companies have to incur additional costs in order to re-purify arthropods from their groundwater, those costs will eventually end up with users, that is to say anyone who drinks water?
ParlaMint-NL_2017-06-08-tweedekamer-5.u72	Whatever means we are talking about, they must be used carefully and responsibly. If costs are incurred, this is not new, as has already been the case in the past period, these costs will be passed on to citizens. So I think it is important that conditions of use are laid down. I do not know whether Mr Futselaar has ever used this kind of means. I don't think so when I hear his question like that. But there are awfully many conditions for it. In practice, I note that there is a strong control of it, at least in the business community.
ParlaMint-NL_2017-06-08-tweedekamer-5.u73	I do not use it often, but I have just quoted the conditions in my speech. One of them is that you have to stop it from getting locked up. I think it would be wise to take that advice.
ParlaMint-NL_2017-06-08-tweedekamer-5.u74	Sure. It is very sensible to ensure that it does not end up in the ditch, because these funds are far too expensive for that. The margins in agriculture, among farmers, are already very small, so they will deal with them very carefully. And for the people who do waste it, it's not a problem, it's a big deal.
ParlaMint-NL_2017-06-08-tweedekamer-5.u75	I have to say that in recent years the VVD has not supported any proposal for any restriction or regulation in the field of pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine pine So I think the stories that you have to be careful are a bit for the stage. Mrs. Lodder's talking about left-wing clubs doing research. Can she explain to me what investigations she is referring to?
ParlaMint-NL_2017-06-08-tweedekamer-5.u76	Over the past period I have seen a lot of coverage and research on this. That money is not only for this medicine, but also for other resources. I don't want to base myself on that. I would like to base myself on those bodies that we have set up for this in the Netherlands as well as in Europe, but certainly worldwide.
