ParlaMint-NL_2017-01-31-tweedekamer-23.u1	I would like to welcome the Minister for Economic Affairs.
ParlaMint-NL_2017-01-31-tweedekamer-23.u12	I fully agree with Mrs Klever that there is a reality in The Hague. For example, the cabinet says that it is absolutely safe in our country, while people at home do not feel that way at all. In the Chamber there is often a well-nuke game. Mrs Klever's party or my party then says that what the cabinet says is not right at all and that the cabinet has to work. The cabinet then insists that security in the Netherlands is improving. Is it not important, then, to obtain objective figures from an independent, showing whether or not it has become safer in terms of crime and whether it has increased or decreased? Then we could question the cabinet on the basis of facts, as Mrs Klever also wants, and settle it.
ParlaMint-NL_2017-01-31-tweedekamer-23.u13	Mrs Thieme asks whether it is useful to have objective facts. There will be no such objective facts. If the citizen says that he does not think it has become safer and that he does not report it because the police are not doing anything about it, the objective figures may show that it has become safer. However, that is not the case at all; the citizen alone does not report it. So I do not know what Mrs Thieme wants, but the point is, of course, that the weighting of security, sustainability, climate and development aid and its summing up into one broad concept of prosperity is by definition subjective. Mrs Thieme's party considers sustainability to be very important. For example, my party considers safety to be very important. So we're never gonna figure out how you weigh that.
ParlaMint-NL_2017-01-31-tweedekamer-23.u14	If we have all the facts in a row, with regard to security, the question of whether people feel safe and whether they feel that they are being heard, that they can go to the police with their concerns and their reports, it is also important that this is independent of their opinion. It must be possible for a political party to give it itself. It is not the intention of that broad palette of indicators that there will then be an outcome that each party will sign. No, the point is that we have all the facts in a row, and that each party can say for itself: I simply think that safety is far too bad, and that we need to focus much more on this than, for example, sustainability. The freedom of each party to draw its own conclusions remains the norm. Does Mrs Klever not agree with me that it is important that we have all this independent information and that it is then up to our own parties to draw conclusions from it? Then we can have a very good policy. That's the idea, not to create one program. I wouldn't want that either.
ParlaMint-NL_2017-01-31-tweedekamer-23.u15	We have a Central Bureau of Statistics, which keeps track of objective numbers and statistics. It's up to politicians, policy makers, to interpret that. But now it is intended that the CBS, the Central Bureau of Statistics, should make this a single concept. That is no longer objective, by definition, because it is being judged. We have to prevent that. We must prevent the objective figures from being polluted with subjective opinions. We don't want that.
ParlaMint-NL_2017-01-31-tweedekamer-23.u16	We form the opinions here, as well as the opinions on the figures. We establish these figures on the basis of very clear indicators, for example the extent to which citizens feel safe or the number of victims of certain crimes. That is very concrete and it is figures that the PVV also considers very important. What is against such a monitor, in which all these indicators are placed side by side? Indeed, as Mrs Thieme just pointed out, the parties themselves decide what judgment they attach to it. What a majority achieves ultimately leads to policies. What's against that?
ParlaMint-NL_2017-01-31-tweedekamer-23.u17	Let me give you an example. All kinds of terms come along: sustainability, CO, footprint, social feelings, but also discrimination. How can you measure it objectively? By definition, you cannot measure that objectively, and so we cannot take that into account in a so-called objectively measured broad concept of prosperity? That's all very subjective, isn't it? That's my point. Now let's stick to things that you can objectively measure. That's gross domestic product. I'm not saying this is delicious. Of course, you also have to look at unemployment and the distribution of purchasing power. But let us stick to objective figures and leave these subjective feelings to party politics.
ParlaMint-NL_2017-01-31-tweedekamer-23.u18	Now it's getting all interesting. Now it's being pretended that we couldn't take feelings seriously among the population. Then I never want to hear from the PVV again that the feelings of insecurity have increased. That would be very strange, wouldn't it? It's up to politics to decide what to do with it. One party may say: I do not care about discrimination. Then you do not include that in your judgment and therefore not in the proposals. However, you cannot say that it does not matter at all. Then the PVV would indeed have to say: well, feelings of insecurity? We'll never do anything with that again. That can't be the point, can it?
ParlaMint-NL_2017-01-31-tweedekamer-23.u19	I don't think Mrs. Voortman is listening very carefully. I'm not saying ignore feelings. I say, you can't measure them objectively. A feeling is subjective in advance. If you can't measure it already, how can you take it with you in a broad concept of prosperity? I can't do that, can I? Isn't it about having objective figures? The party politics takes the subjective sauce over and weighs all these things in the way she wants to weigh them. Please, let us not let a Central Statistical Office do that. I will continue my speech. The CBS has to publish an annual report on the broad prosperity in the Netherlands. As far as PVV is concerned, keeping up with all kinds of statistics by the CBS is very useful and necessary. However, it does not serve any purpose to summarize these figures in a broad concept of prosperity and this also affects the reputation of the CBS. The interpretation of these statistics must be left to scientists, politicians, opinion makers and companies, and we must ensure that the CBS is governed by the latest fashion trends in politics. We must also ensure that the CBS makes subjective statements which put its credibility under pressure because it will then spread opinions rather than facts. We find it strange that the cabinet is imposing a considerable austerity task on the CBS and that additional resources are suddenly being made available, or less money for the core tasks, such as objective figures, but more money for left-wing hobbies. How does the Minister explain that? In conclusion, the PVV wants politics to stop interfering with the CBS, but to do so less. The CBS should focus on its core task of doing independent statistical research based on objective figures. As far as we are concerned, the Minister is lighting the fireplace with the Breed report's concept of prosperity, even at the expense of our CO footprint. Clean statistics are worth more to us than a polluted political party agency, which is driven by this broad concept of prosperity.
ParlaMint-NL_2017-01-31-tweedekamer-23.u20	I like the debate, but do you think it makes any sense, Mrs Thieme?
ParlaMint-NL_2017-01-31-tweedekamer-23.u21	I'm gonna try again anyway. Like the Party for Animals, the PVV wants the AOW age to be 65 years old. We want that because we have the assumption that this improves the quality of life of everyone. If you've worked hard and you're 65 years old, you can just enjoy your old age. Then you're often up too, for example because you've been a construction worker. Then you're done. This cabinet wants to raise the age of AOW to 67. Isn't it convenient for parties like ours to have an indicator to determine whether the quality of life has improved or deteriorated at a high AOW age and low AOW age? Can we not take advantage of this in the debate?
ParlaMint-NL_2017-01-31-tweedekamer-23.u22	That would be very nice, but I do not think we can agree on the quality of life. In your speech I hear that 'wide prosperity' means more development aid. I hear that this concept relates to the prosperity of our future generations and to biodiversity and I do not know what it is. That is the broad concept of welfare of the Party for Animals. The PVV doesn't think so. That is party politics, and we must leave it to party politics. Let us not burden the CBS with finding some kind of average of that and saying that prosperity has increased or decreased. Let's keep that out there, please. Let the CBS simply present objective issues, such as gross domestic product and unemployment rates. Let that weighting and that political balance take place in the political programmes and in the political debate.
ParlaMint-NL_2017-01-31-tweedekamer-23.u23	Last but not least.
ParlaMint-NL_2017-01-31-tweedekamer-23.u24	The PVV is also always interested in polls and the answer to the question of how people feel about, for example, the number of refugees arriving in the Netherlands and how safe they feel? These are all indicators on the basis of which we make policies. The committee is now proposing that we should ensure that the standard of indicators of this kind is about feeling in society and, for example, whether there is a majority for a certain ban or for a given commandment should also be included in the policy. These are all indicators on the basis of which we make policies. I still don't understand why the PVV wouldn't want that. On the basis of facts, you can also make your plea firmer, regardless of whether you agree with each other or not.
ParlaMint-NL_2017-01-31-tweedekamer-23.u25	The point is that Mrs Thieme talks about facts every time, but they are subjective matters. That's the point. Facts, that's easy. Let me mention a few that I have seen in all these reports. For example, the Sustainable Netherlands Monitor mentions: feelings of discrimination and satisfaction about leisure time. The OECD Better Life index mentions the following issues: election turnout and social contacts. The UN report on equal rights for men and women identified the approach to climate and sustainability. But this is all subjective and cannot be measured objectively. So let us not pollute the CBS with all these subjective things, let us keep it objective. If Mrs Thieme wants to know all these things, there are plenty of reports in which these kinds of things are contained. Absolutely fine, but let's keep the government agency CBS, whose independence is fairly well regulated, independent and objective and not turn it into a political party agency.
ParlaMint-NL_2017-01-31-tweedekamer-23.u26	Mr. Chairman. I look back at a good debate with the committee, which I am still very grateful for the work she has done. It is also very nice to have the President present. In response to what the Cabinet has told us the following. The Minister writes in his two comments that he agrees on almost all the conclusions of the report with the Temporary Committee on Wide Prosperity. We are also very pleased to read that the Minister has asked the Central Statistical Office to pay explicit attention to inequality and distribution. However, I would ask him to go into more detail as to what aspects of inequality he has in mind. Broader definitions are needed to really understand impacts such as economic inequality and the correlation with other forms of inequality in, for example, care or education. So I would like to hear from the Minister what inequalities he thinks should be addressed by the CBS. The Minister writes that the CBS is going to carry out a step-by-step study into ways of increasing the actuality of the data in the monitor to be published, but also that he expects that the state of affairs in terms of broad prosperity will not fundamentally differ from one year to the next. The Minister says he is aware that speed is at the expense of the quality of data. Although it is not literal, I assume that he expects that the figures for the monitor will not become much more topical in the short term. I'd like a response. Of course, we all benefit from sound data collection and good predictions, but how many of the indicators that need to be researched now are no longer topical due to the cuts in recent years? For example, the CBS website states that in 2017 10% of the non-compulsory statistics will no longer be published. This is what the CBS writes at the end of a austerity operation already launched in 2011, which cost the CBS a quarter of the previous budget. Is it now difficult to update the data that the CBS is reluctant for scientific reasons, or can it not make the data more up-to-date because human resources and knowledge have been cut off from the Bureau? I'd like a clear response from the Minister. Following on, I would like to draw the Minister's attention to the broad welfare indicator published by scientists from Utrecht University and Rabobank in December. Not only does this indicator show that there was a widespread decline in prosperity in the first full year of this cabinet, it also provides an overview of the eleven indicators from the OECD's Better Life Index. They have prepared this indicator on the basis of all kinds of data, including those of the CBS. Now this indicator is not entirely in line with what the report has recommended for broad prosperity, but it still provides a great deal of insight into what is now possible on the basis of all the data available from the various institutes. Can the Minister, having seen and said this, promise that the monitor can be a little more up-to-date and show some more fundamental shifts in broad prosperity?
ParlaMint-NL_2017-01-31-tweedekamer-23.u27	Mr. Chairman. I am here today to welcome my colleague and would like to begin by congratulating the committee which has produced this excellent report. A broad concept of prosperity should actually make sense for all of us. We all know that well-being is much more than prosperity and who thinks you can do without clean air, for example: try holding your breath for ten minutes. Prosperity is about much more than just our gross national product. I am very pleased that the Klever/Pechtold motion, in which the cabinet was called upon to conduct this investigation, has been adopted and carried out. The cabinet is working well on the committee's recommendations. From 2018 onwards, there will be a monitor of broad prosperity, prior to the Accountability debate. The presentation is based on the OECD Better Life Index, as proposed by the Committee. There will also be more insight into the distribution and inequality, including an international comparison. Inequality is a permanent focus, even in a country like the Netherlands, which, of course, belongs to the countries with the least inequality. Here too, however, it is a point of interest, and it is important to look at this in the broadest possible way. The Chamber has asked for a cabinet response to be given annually to the monitor's broad prosperity. Fortunately, in its first reaction, the cabinet has already promised to come up with this. The cabinet response should then come between the appearance of the monitor wide prosperity and the Accountability debate, or be sent to the Chamber at the same time as the monitor on Accountability Day. In the second cabinet response, the monitor is much more detailed about broad prosperity but suddenly no longer talks about the annual cabinet response. I think it is very important that the Minister makes it clear once again that there will really be a cabinet response to that monitor of broad prosperity every year. It is also very important that this cabinet response be sent to the Chamber in good time, so that both documents can be a full part of the debate on the Day of Accountability. Can the Minister reassure my group on this? The cabinet insists on quickly evaluating the frequency of the monitor because indicators may not change much every year. Of course, we are never against evaluation. I think it is very important to properly evaluate what we are doing and we must also realise that producing such a monitor is not free. It is also the responsibility of the Chamber that the results are given the attention they deserve. But the purpose of the monitor is to ensure that broad prosperity is not always the only measure of gross national product and that it is put in a broader setting of indicators. Then a very regular monitor is very important. There are many GDP estimates and measurements every year. The CBS measures GDP growth every quarter and the CPB makes a GDP estimate four times a year. Putting a broad welfare monitor next to it once a year seems to me to be an excellent balance. Let us not water it further, because it will be difficult to include it in the annual policy cycle. The cycle of policy, implementation and accountability should not only be about the euros but also about all the other policies we conduct and the effects it has on prosperity in the Netherlands. I think it was Mrs Thieme's apology if I wrongly did not give another colleague the credits that I had already asked for the integrated indicator set up by Utrecht University. We would find it interesting to see if this indicator could play a role in the monitor's wide prosperity. I ask the Minister if he is prepared to do so. In another motion tabled during the debate with the committee, the cabinet was asked to indicate in the Millions note how the results of the monitor will get broad prosperity a place during the budget. This is exactly what I have just said: when we say that we are really going to look at broad prosperity, I think we should ensure that when we use the policy, when we determine the amount of money we put into policy and when we evaluate it, we have a closed cycle, which we have to complete every year in terms of all aspects. It will really benefit us. A motion was tabled on this subject, which was held at the time because, of course, the committee was unable to respond to that request on behalf of the cabinet. There is nothing about this in the cabinet response. I ask the Minister how he looks at this request. I hope, of course, that he intends to accept that request with a positive response. In ten minutes, I will have another debate that starts in this Chamber, on a subject for which I am also responsible. So I will not be able to attend this whole debate, but of course I will be listening carefully to the Minister's answers and the further input of colleagues.
ParlaMint-NL_2017-01-31-tweedekamer-23.u28	It's been noted. Thank you very much. Then I can give the floor to Mr Geselschap on behalf of the VVD Group.
