ParlaMint-NL_2017-01-17-eerstekamer-5.u1	We have arrived at the second term of the Chamber.
ParlaMint-NL_2017-01-17-eerstekamer-5.u12	I thank the Minister for this commitment. It now proposes that the questions raised in the motion be included in the review of the Crisis and Recovery Act. The motion also asks that only if the law that we are discussing today has been passed and the Environmental Act is in force continue to report on how often and for which projects independent assessment at project level by the Commission in particular. and to evaluate its impact. The motion not only calls for the review of the Crisis and Recovery Act. It is also a question of how things will proceed in the coming years.
ParlaMint-NL_2017-01-17-eerstekamer-5.u13	We now have an annual report of the Crisis and Recovery Act. When the Crisis and Recovery Act enters into the Environment Act, there are of course also evaluations of the Environment Act. I do not know exactly whether these evaluations will be carried out annually or biannually, but there will also be a report on this. In addition, the Commission also took note of the Commission's proposal. annual reporting with this information. That is why I also suggested that this aspect should be taken into account in both evaluations. The Commission...................................................................................................... will remain as long as we want to be with each other. If it's done that way, it's secured in two ways. After two years, I have been asked to evaluate the effects of no longer requiring an independent quality test in the case of complex projects. If we were to introduce things only now, it would not be possible, but since it has been going on for some time now, I think we can do the same. The question is to what extent you can estimate all that. If something isn't done, you can't know what the effect is. I leave it to the Commission to decide. to see how best to implement this. I therefore advise against the motion in this form, but I am prepared to adapt our own assessments to it. We have also been asked when the evaluation of tariffs will take place. As I have just said, this evaluation will be carried out in spring 2017, so that the 2016 data can still be taken into account. We've been asked about the separation of functions. It has been said that it is difficult for citizens to invoke the General Administrative Law Act. That question was also asked by Mrs Meijer. I see she went back a little bit. There is a possibility of participation at the front. The city council, which is also a representative of the citizen, also takes decisions on the route. It may be possible to appeal to the courts only afterwards. So that's not the only option. It is, of course, difficult, especially for citizens. This applies to many other legislative issues, and not just to this. You don't solve that with the law, because the other way around it would be hard. It is difficult to include in the law how to prove that competent authority does not adhere to separation of functions. In the end, it is a matter of giving each other the opportunity to say something about the view. The city council is the controlling body. After that, you could go to court if you could prove that things have happened that are really not acceptable. But as a Empire, you can't solve this at the front, given all the decentralised situations that can arise. The Party for Animals has asked about the administrative separation. I just answered that question. It also asked for the independent test at the EIA project. Here again and again, I feel that it has become optional with this directive. That is not the case. It was thus regulated by the Law on the Modernisation of the Legislation on Environmental Impact Assessment. The Environment Act doesn't make it any less. It states precisely that it is possible to request an independent opinion. So there's just something coming up instead of something going off. I come to certification through the European Commission. In the Environmental Policy Act, the Commission's opinion on environmental issues remains. Stand by. A system of additional certification is therefore not necessary. The Commission's opinion After all, it just stays in place. Therefore, no further research has been carried out into the system of certification. This concerns the implementation of the EU Directive. There is therefore no change to the current rules. The PVV has indicated that it is not in favour of the law on European involvement. It asked for the cumulation of an effect of wind farms. If there is a risk of accumulation of an effect of a wind farm, there is also a potential for significant environmental impacts. It's got to be in the m.e.r. are being investigated. The competent authority should also take into account that information on cumulation in the decision. Therefore, the cumulation of effects is certainly being considered. I see Mr Van Hattem is also in another place. They also asked for cost shifts. Strictly speaking, it may mean a cost shift for a group of individual promoters, but the overall size of mandatory monitoring is decreasing. The competent authority must now monitor all environmental impacts of a decision. It does so partly on the basis of information to be provided by the initiator. With this bill, you can monitor much more closely. The competent authority should specify the effects to be monitored and how the effects should be monitored by the initiator. In addition, the EIA assessment may take into account measures to avoid significant environmental impacts. This will prevent the creation of an EIA if there is no significant environmental impact. I do not expect any increase for all initiators together, but it can lead to this in an individual case.
ParlaMint-NL_2017-01-17-eerstekamer-5.u14	I am particularly concerned about the PAS monitoring in Natura 2000 sites. It is already very complicated to properly map all the calculations for nitrogen measures in so many natural areas. I fear that the costs for individual promoters, private promoters, will rise dramatically. I would therefore like to have an insight into the effects of this. Maybe it's going to be a little more or a little less as a whole. I read that there will be a greater need for monitoring, so overall it may even increase. But I would like a little more clarity on the effects for private promoters, particularly in the area of nitrogen.
ParlaMint-NL_2017-01-17-eerstekamer-5.u15	I cannot specifically indicate whether more or less will be asked for in the area of nitrogen. The information houses will make it easier, because then there will be much more information available to a large group. Now almost every municipality or initiator has to ask their own consultancy firm to map this out. Of course, this is a lucrative business for consultancy firms. Soon that information will be present in the information houses. It will be validated, checked and accessible to everyone. I think it's gonna matter about the cost. But if an initiator wants something, he must of course also make it clear whether he is not doing any damage. In an individual case, this can well lead to more costs. Everyone will eventually have to look into whether he has a good business case and will have to ask himself: does what I want outweigh the cost?
ParlaMint-NL_2017-01-17-eerstekamer-5.u16	If you want something and you can do with it supposed environmental damage... Especially the agricultural sector is subject to a lot of rules, both from local authorities and from Brussels. Certain deadlines are set: you have to comply with these and those environmental regulations before then. That's a lot to do in a couple of years. If the monitoring comes up again, I think that a lot of farms, especially agricultural holdings, will at some point reach a point where they can't make it anymore. That could be another head blow for the agricultural sector. I'd like to hear from the Minister if she sees this risk. Does she want to see if this risk exists?
ParlaMint-NL_2017-01-17-eerstekamer-5.u17	You must now monitor all the environmental impacts of a decision, but you will be able to do so much more effectively. I don't think this is gonna get any worse. This is what makes it better and more targeted. I will give you a practical example that I have given before in the First Chamber. Years ago, I bought a pawn that once belonged to my house. That had gone to the neighbors in 1910, but came back into my possession in 2005. I then had to submit a proposal to the municipality to see what the effects of the annexation of the Secret Annex were. However, that back house was already there and nothing changed in the sunshine. Only one door was moved from the side to the front. Those rules lead you to wonder why you need to visualize certain things, when that is not strictly necessary. That will be done in the future. The monitoring will look into what matters are important to know. You're gonna have to map them all. This reduces general costs. The VNG sees that decrease, too. It expects it to go down in a number of parts, even though it is not so much the result of this proposal. I think it only improves on the current situation.
ParlaMint-NL_2017-01-17-eerstekamer-5.u18	We'll wait and see.
ParlaMint-NL_2017-01-17-eerstekamer-5.u19	Mr Van Hattem asked about the state of implementation in other countries. The directive has already been implemented in Poland. It is remarkable that the country that is now the most opposed to Europe has implemented this directive first. Other Member States are at the same stage of legislation as the Netherlands and are trying to reach the stated date of 16 May. The Commission will monitor this as well. If that doesn't work, you'll be defaulted. D66 has indicated that it is less concerned about the debate, but still calls for specific attention to be given to a few points, either now or in the context of the Environment Act. I've just gone over the administrative separation. I will also pay attention to this in the hand-out. An evaluation of the rate and costs was also requested. I just responded to the motion co-signed by D66. In addition, D66 was concerned that fewer applications might be made to the Commission for the m.e.r. if the evaluation of the projects is no longer mandatory. We had that discussion a few years ago. It will undoubtedly have an effect. If it is no longer mandatory, it will be less than if it is 100%. But the question is, of course, how it ultimately works out, because by not forcing it anymore, of course you want to avoid doing it at times when it is not necessary. It seems particularly important to me to make the substantive review transparent.
ParlaMint-NL_2017-01-17-eerstekamer-5.u20	I would like to clarify this point. If the initiator is also the performer and the driver, especially in the case of a small municipality, we are concerned that the initiator may consider not to apply because there are additional costs. I can imagine that this could be particularly a problem for small municipalities.
ParlaMint-NL_2017-01-17-eerstekamer-5.u21	This is in itself separate from the directive we are implementing. This has to do with the previous proposal for modernisation. We have agreed that we will evaluate that. That evaluation will come in 2017. It will then become insightful. Again, if the competent authority is both initiator and a small municipality with little money, it still has to do with citizens who can express their views and with the city council who can say something about it. The judge may also indicate at the end of the trial whether or not it has been done carefully. Environmental impact studies are, of course, carried out anyway, but on top of that there is no independent review. I think it is important to continue to underline this. If we stop doing independent testing, it doesn't mean we haven't looked at the environment at all. I will make it all available and transparent, including for the D66 Group. D66 has also indicated the importance of participation. She has indicated that she would like to talk about this, also within the framework of the Environment Act. Of course, it must be much more than just a handout in terms of participation. For example, a change in the administrative culture is also needed. We do a lot of that in the context of the Environment Act. For example, we do a lot of introduction guidance. It focuses on working under the Environment Act. The Crisis and Recovery Act also makes it possible, under circumstances, to experiment with the Environment Act. A lot of municipalities already do that. This does not require an adjustment to this implementation. There will be extensive information and attention to be paid to this in the hand-out. The PvdA asked for the opinion of the official on the EIA. It indicated that it is not so much about the opinion of the official but rather about the information. I do think that's a good thing. I would always like to protect the official's judgment. It may be payable through a WOB request, but I think that as a driver I should consider a personal policy concept and the importance of disclosure. We will make the information available in two ways. The draft report on an environmental impact assessment will be sent to the Board for the decision and the final report that will serve as decision-making for the college will also be available to the Board.
ParlaMint-NL_2017-01-17-eerstekamer-5.u22	I was concerned not only with the EIA procedure, but also with those situations where there is no environmental impact report, but with an independent file with an information level on which the decision-making of the College can be based.
ParlaMint-NL_2017-01-17-eerstekamer-5.u23	I'll do it in two steps. I was indeed talking about the concept of the EIA and the possible environmental impact report in which decisions are taken. Mr Verheijen also referred to the fact that, on some points, the independent review of the environmental impact report was to be carried out. But when the independent review is gone, there is still an EIA with information.
ParlaMint-NL_2017-01-17-eerstekamer-5.u24	I admit it's confusing, because we're talking about an official separation of functions. I was concerned that where no EIA procedure is used, i.e. in an optional situation, a decision with a report is prepared by the College of B and W or by GS. Is the independent information report, which must describe the adequacy and completeness of the effects of the project on its environment, irrespective of the official advice whether or not the project should continue, publicly available in its objectivity, prior to the decision-making process between B and W and the Council?
ParlaMint-NL_2017-01-17-eerstekamer-5.u25	You need to map the environmental impacts and then the Commission will check for the m.e.r. Whether that's done well enough.
ParlaMint-NL_2017-01-17-eerstekamer-5.u26	If that's what you're asking.
ParlaMint-NL_2017-01-17-eerstekamer-5.u27	Yeah, if that's what you're asking. Now, here's what you're asking. Suppose you don't ask for that, is that environmental impact information available? Yes, because that report is not the environmental review report, but the environmental impact report itself will be sent to the board in concept, and later the final report, which is part of the decision-making process of the college, will also be sent to the board. If there are environmental impacts, a college must always produce an environmental impact assessment. That is sometimes the confusing thing with the independent review. In short, yes, we will do what Mr Verheij asked for. Finally, Mr Verheijen asked for objective information for the citizen. The purpose of the information houses is to make all relevant and underlying data available objectively and transparently to everyone, including citizens. Many institutions will also be involved, such as the RIVM, but also the Commission for the M.e.r. I agree with Mr Verheijen that the information houses should also be validated. I agree to look at how we can shape that further in the Environment Act, in committee or in another way, so that people can ask again if it has been properly processed. How can unbiasedness be secured without going straight to court? Citizens and interest groups may submit views on the draft decision. Later, they may, if necessary, appeal against the final appeal. They can also contact the city council and the provincial states, and are enabled to do so through good, neutral information, which is made available through the information houses.
ParlaMint-NL_2017-01-17-eerstekamer-5.u28	Most of the SP's questions have been answered in the previous one, but I had not answered one question. At least I had already answered that question, but new questions arose with the SP spokesperson in response to the answer. The question is whether the environment is adequately protected. The EIA legislation is intended for this purpose. If there is an environmental impact, you have to make an environmental impact assessment anyway. If you are planning an EIA, you still have to ask for an independent review. Only with a project-MER you can choose whether or not to do so. That depends entirely on whether the competent authority thinks that this is wise. It is often useful for them too, even in the later procedures, so it is an important instrument. It is precisely intended to identify environmental impacts. Once again, with this implementation of the directive, I have not further weakened the environmental impact. The discussion we are having today is largely based on previous changes to the laws. For years the SP may think that it should not have been, but that is not what is on the table today. With this, I hope to have answered all the questions.
ParlaMint-NL_2017-01-17-eerstekamer-5.u29	I have come to deal with this bill. Does one of the Members wish to vote on the bill? That's the case. I therefore propose that we vote on this next Tuesday.
