ParlaMint-NL_2017-11-07-tweedekamer-3.u1	I call Mrs Dijksma.
ParlaMint-NL_2017-11-07-tweedekamer-3.u12	Thank you for the commitment. I would like to see the letter back well in front of the budget. Then we can continue the debate during the budget debate.
ParlaMint-NL_2017-11-07-tweedekamer-3.u13	Thank you. Mrs Agema on behalf of the PVV.
ParlaMint-NL_2017-11-07-tweedekamer-3.u14	Thank you, Mr. Chairman. I hope that the word 'fall penalty' will be met by the Fat Van Dale and that it will be added as meaning: caused by the Labour Party, which closed the nursing homes, which cut back 600 million on community care, which transferred district care to the Health Insurance Act.
ParlaMint-NL_2017-11-07-tweedekamer-3.u15	But the question to the Minister?
ParlaMint-NL_2017-11-07-tweedekamer-3.u16	Yes, Mr President, but I would have liked to correct this for the people at home. And then the Minister. I thought it was a weak story. I wonder whether the Minister immediately called the director who explained the whole scheme in the newspaper, to say that the concern is not his calling. We all remember the example of Mr. Van Beek, who was beginning to dement, fell down the stairs, didn't know what the button around his neck was for, hypothermia and died in the hospital. Tough people, high-aged people who press a button, are now entitled to this care under the Health Insurance Act. It's basic care, so why financial arrangements? I'm asking the Minister to confirm that when people call in emergency aid, that's basic concern.
ParlaMint-NL_2017-11-07-tweedekamer-3.u17	Before I give the floor to the Minister, I give the floor to Mrs Dijksma to respond to your comment. Without further exhorting Mrs. Agema, Mrs. Dijksma. It's customary, Mrs. Agema.
ParlaMint-NL_2017-11-07-tweedekamer-3.u18	It's a personal fact. My group is being addressed, and I understand that very well. I would hope that where the Labour Party has wanted to make it possible, even in recent years, for the elderly to live at home for as long as possible, Mrs Agema and I are pulling up side by side, I have now understood with the Minister, in order to avoid what is simply not allowed, even under the current law. So let's reach out and fight this battle together. Then we are really a lot stronger, Mrs. Agema, than with this kind of ping-pong games on the interrupt microphone.
ParlaMint-NL_2017-11-07-tweedekamer-3.u19	No, Mrs. Agema.
ParlaMint-NL_2017-11-07-tweedekamer-3.u20	But, Mr. Chairman, I don't need qualifications...
ParlaMint-NL_2017-11-07-tweedekamer-3.u21	Just a moment, Mrs. Agema. I'll give you the floor in a minute, but viewers don't get it anymore. Oral questions are really meant for questions from the Chamber to the Cabinet. You are making a point to Mrs Dijksma. On the other hand, I would have done the same: if you had made a comment, you would have been given the floor. I would actually like to call on you to leave it at that, because I am sure you will encounter each other a few times in all kinds of debates and then you can also ask each other questions about everything.
ParlaMint-NL_2017-11-07-tweedekamer-3.u22	Thank you, Mr. Chairman. In all these debates, I will always continue to appeal to the Labour Party to the fact that it has closed the nursing homes over the last few years and has made substantial cuts in community care.
ParlaMint-NL_2017-11-07-tweedekamer-3.u23	I shall now give the floor to the Minister.
ParlaMint-NL_2017-11-07-tweedekamer-3.u24	Mr. Chairman. In reply to Mrs Agema's question, she can be sure that both drivers have been called immediately and that we have made clear how we look at this type of provision. You're absolutely right. It is indeed about insured care. People are just entitled to a follow-up the moment that that alarm clock is pushed. It's already taken care of. The extent to which your own payments are acceptable in this respect is what you, as a parliament, went over at the time you passed the law. That cannot be avoided for a moment and so we have addressed the drivers very clearly.
ParlaMint-NL_2017-11-07-tweedekamer-3.u25	Second supplementary question, Mrs Agema.
ParlaMint-NL_2017-11-07-tweedekamer-3.u26	Mr President, this is a point of order. We voted against that law. So this was not the second question.
ParlaMint-NL_2017-11-07-tweedekamer-3.u27	Okay. Fine. Then I will go to Mrs Van Brenn on behalf of 50PLUS.
ParlaMint-NL_2017-11-07-tweedekamer-3.u28	Thank you, Mr. Chairman. The penalty was a new shock around health care. I would ask the Minister not only to put a question to the industry organisation, because it does not always understand what their members are doing, but also to ask the elderly unions, because they receive much more of this type of reaction. I would also like to hear from the Minister how he looks at the fact that it is possible that people are actually pressing a button because they are lonely, because I am just saying that a lot of facilities in the neighborhoods are being cut off and loneliness is an important point. How does he look at that and what is he going to do about it?
ParlaMint-NL_2017-11-07-tweedekamer-3.u29	The first point is that I would like to ask the elderly's associations the same question and to take stock of whether they have heard of the prevention of such a fine. If we can prevent it from getting into the Van Dale, we certainly have to want to do so. So I'd like to put that question there, too. Then there is the second point. You know that I have been very intensive in Rotterdam with the theme of loneliness. I hope, with your support, that I will be working very intensively on this in the years to come from The Hague, because loneliness is a huge and widespread issue among all sections of the population. It is perhaps one of the greatest social issues of our time, so I am very happy and very intensively working on it. There is no doubt that we still have a great deal to talk about in what way and with what approach we should do this.
ParlaMint-NL_2017-11-07-tweedekamer-3.u30	It is good to hear from the Minister that both organisations concerned have indicated that they are going to remove this provision from the service contract. I think it is important to emphasise once again what I think you said: that in recent years no one has been paid extra by any older person who uses this service. At the moment, therefore, there is no reason to fear that this word, which I shall not repeat, will end up in the Van Dale. I would also like to say this because I find this report damaging both for the elderly, who have experienced unrest over the last few days, and for all those who work day and night at this organisation and many other elderly care organisations.
ParlaMint-NL_2017-11-07-tweedekamer-3.u31	Yeah?
ParlaMint-NL_2017-11-07-tweedekamer-3.u32	I come to my question.
ParlaMint-NL_2017-11-07-tweedekamer-3.u33	That's it.
ParlaMint-NL_2017-11-07-tweedekamer-3.u34	We need so many people in care so incredibly, so this negative message does not help. My question is, in fact, how the Minister sees this, also in relation to the research he has just promised, which may cause unnecessary unrest again.
ParlaMint-NL_2017-11-07-tweedekamer-3.u35	I do recognize a bit of what Mrs Hermans says. Indeed, I think that you should speak with caution about the actions of organisations in the care sector. Even if there are reports where you are frowning seriously with your eyebrows, you should always check the situation first. That's exactly what I did. I've been looking into the situation and I've noticed: okay, they don't send a bill. That's fine, of course. At the same time, I have also seen that there are two provisions in both service agreements that are simply not okay. I have spoken to the institutions about this, and I really think they should amend those provisions. They do; that's what they're going to do. On the second point: that negative reporting can be negative on the care, I find no reason not to go into very serious work with this type of message. So that's why I like to respond to Mrs Dijksma's request to just look at: what is true, were these exceptions, is this more common and how can we at least ensure that the word never gets to the Van Dale because it just never happens? I think it is important to do so, because there is also a certain level of protection in the direction of care. I also think that it helps to contradict, or confirm, stories, where, fortunately, soup is eaten less hot than it initially seemed to have been served, and therefore an approach can be adopted. So I would like to start with Mrs Dijksma's question in order to clarify to the Budget Chamber the extent to which this was an incident or that it might have been a little more widespread.
ParlaMint-NL_2017-11-07-tweedekamer-3.u36	I thank the Minister for that investigation, for the sample he's going to do. Very important, because this whole thing obviously points to a topical issue, and that is that many older people are falling. We also saw in the CBS figures of two weeks ago that more and more old people die after a fall. So it's really a big problem. In my view, what we need to look at in particular is the prevention of falls. That is of course in the nursing homes but especially for the people who live at home...
ParlaMint-NL_2017-11-07-tweedekamer-3.u37	And the question is, Mrs. Pia Dijkstra?
ParlaMint-NL_2017-11-07-tweedekamer-3.u38	The question is: what is the state of play with regard to the Minister? Attention is being paid to it. Is that enough? Or does he intend to do that even better?
ParlaMint-NL_2017-11-07-tweedekamer-3.u39	You ask me this in my first week, about right after my appointment, so I find it a little presumptuous to give a judgment here whether that is enough. The fact is that there is indeed a need for prevention of falls to prevent older people falling too often, ending up in hospital and recovering very often after that. I think it is a good time, and perhaps this is a good reason, to engage with health insurers and with parties concerned about the question: is there enough or is there room for improvement at this point? If you look at the extent to which ERs in hospitals are dealing with fallen elderly people, you'd almost think there's definitely room for improvement. But before I have a judgment on this, let me first start talking to the industry organisations and the health insurance companies on this point.
ParlaMint-NL_2017-11-07-tweedekamer-3.u40	Thank you.
