ParlaMint-NL_2017-05-10-tweedekamer-3.u1	A warm word of welcome to the Minister. Thank you for joining us.
ParlaMint-NL_2017-05-10-tweedekamer-3.u12	No. I have another subject after this, but I think the interruption is about this issue.
ParlaMint-NL_2017-05-10-tweedekamer-3.u13	Very good. Mr El Yassini.
ParlaMint-NL_2017-05-10-tweedekamer-3.u14	I think Mrs Van Toorenburg is right that you should be careful not to become an Icarus flying too close to the sun, and that you should not shoot through in this case either. There she finds the VVD at her side. Mr Van Nispen also mentioned the need to think carefully about whether you are not asking about it. That is precisely why we have limited it in the amendment to three years. In fact, a two-year denial by the children's court means that the parent is dismissed as inadmissible for two years, not for three years, but for two years. Inadmissibility of two and a half years shall be inadmissibility of two and a half years and inadmissibility of three years shall be inadmissibility of three years, but inadmissibility of four years shall remain inadmissibility of three years. I, too, have studied the case law. I see that a period of three years is in line with the case law and the spirit and letter of Article 8 of the European Convention on Human Rights. In fact, that means that there should be no objections in the First Chamber if it is in line with the Treaty. Doesn't Mrs Van Toorenburg think that, if we limit it to three years and ensure that it is in line with the European Convention on Human Rights, we can give more peace to children who, for example, have three years of disenfranchisement?
ParlaMint-NL_2017-05-10-tweedekamer-3.u15	We differ on whether it is in line with the Treaty. Because I don't think so. I don't think it's in line with the case law either. There are several statements in which it has been said quite generously that it is quite possible to deny access to justice for a year; in special circumstances it can be extended and that has been done, to two years. However, I think that we are really at risk of the European Court saying, although I dare not speak before the European Court, that this is a step too far. In a case where the father killed the mother, the judge can say: I want you to have no contact with your child for three or four years. As much as I would like the child not to be forced to think about it at all, I think the risk is very high that we will be flogged back with international case law, because we are doing a lot, and that we will be empty-handed. I don't want to take care of that.
ParlaMint-NL_2017-05-10-tweedekamer-3.u16	A brief reaction. It seems to me appropriate to ask the Minister to confirm that the three-year period is in line with the case law. I think we can get a good answer from the Ministry and then assess whether this is in line with the Treaty and case law. If this is in line with the Treaty and if the Minister confirms that the three-year period falls within the jurisdiction of the Court of Justice, does the CDA support the amendment, knowing that we cannot be flogged back internationally?
ParlaMint-NL_2017-05-10-tweedekamer-3.u17	I'm a very stubborn lawyer, who's been seriously digging into this. I attach great importance to the Minister's judgment, but there is no international ruling on this. This does not yet exist. So it's still interpretation. I've made an analysis of the various statements. It has been said that a year is fine and that maybe two years can be. Whatever the Minister says in his wisdom, I will certainly weigh that up. I do not think he can convince me that we should take the risk of asking over. I would like to include this in an evaluation of the law, which we certainly must keep. This law will not be necessary often, but we will see practical examples. Then we'll know if there's a risk. Maybe judges do say, if I do a four-year denial, someone can't go to court for three years, so I'll cut the time limit. That's a risk there is. I've spoken to judges. There's a risk. If we ask about it, we may have much less benefit from this valuable legislation. We are now discussing this point: would you stop protecting and giving a child peace and quiet? The intrinsic answer is "yes," but actually that is over-questioning and therefore a risk to the law. There's still a risk in it. The situation may arise that one parent has not killed the other parent, but has seriously injured. I understand the reasoning in the explanatory statement, in which the Minister says: that is very fluid; that is much more common in the situation of domestic violence; of course you have to look at the interests, but a rigorous decision like this may not be appropriate. I would like to put the following question to the Minister. What if someone has wounded the other parent to such an extent that the parent can no longer provide care? What if that parent is seriously injured in a hospital, in a coma or can't do anything? What can we do? Do we have enough to do with the protocol of action? Can we share here that we have the request to see if we can find some space in that? There could be some flexibility in that. What can we do in the event of serious violence that does not lead to death? Finally, the Minister also looked at current cases at the request of the CDA. Can the Minister say anything about that? There are things that are happening now, poignant situations that are happening now. Can we also discuss with the Council what is possible in these cases and whether it is possible to take a step in that direction? Short and good, good wine needs time. The same goes for this law. It's been years since grandparents made the call to us. This Chamber has really wanted to hear them and has made sure that today we are dealing with a law that has been properly taken up by the Ministry and which has been preceded by protocol of action. They have made it possible for us to actually give something to vulnerable children, whose position is more properly dealt with by this law.
ParlaMint-NL_2017-05-10-tweedekamer-3.u18	Mr. Chairman. Today we are discussing the clause of the right of contact or association between a parent and a child after partner killing. Let me put it first: a number of colleagues have already pointed this out how profound and shocking these situations are, not only for the children who lose their parents, but also for the immediate environment. It's a very complex case. One child is not only losing a parent to murder, but possibly another who is in temporary and perhaps also permanent custody. The kid's gonna lose his home base in one go. These are violent events that are often still raging at a later age. It is therefore essential for D66 that when the Chamber takes decisions on these issues, the best interests of the child should be number one. That has also been Mrs Van Toorenburg and Mrs Kooiman's approach to the issue. I welcome the fact that this issue has been put on the political agenda. As far as the proposal before us today is concerned, my group sees strong points, but also a number of points of interest, however difficult it may be in this type of debate where emotion also plays a role. I hope that in this debate the Minister will be able to resolve some of the uncertainties. I would also like to clarify the amendments I have tabled. Because this subject is accompanied by many emotions, it is good to look at the facts. The trauma centre of UMC Utrecht presented, also in response to a request from the Chamber for more research, a very thorough and valuable research titled "Care for children after partner killing" in 2014. Fourteen partner killings take place each year, and in most cases, in 94%, the child's desire is fortunately followed in relation to the relationship or contact with the offender parent. With five kids, this was different. In three cases, the child wanted to be involved, but was not granted this. In two situations, the opposite was the case. From the report and the explanatory statement, I couldn't get what's behind it. I do have a question about this, not that we always dive into individual cases, but the voice of the child is an important basis on which this bill is based. It must never be about dealing against the will of the child. So I'm curious what happened in those five cases. I would like to stress that the figures show that in a significant part of the cases, fortunately, the child's wish has been followed. I'm gonna join the bill. As colleagues have already pointed out, this legislative proposal adds an important step, namely that the children's judge will take a decision on the basis of the advice and examination of the board. D66 sees advantages and disadvantages. Especially when there is a conflict between the parties, the independent vote of the judge gives more weight, which can also lead to better acceptance and peace among those involved. This does not, of course, mean that a court ruling will satisfy all parties as a matter of course. We have just talked about inadmissibility, but people can, of course, appeal until that time. That could take a long time. Does the Minister see that, too? I also see that the current practice in practice, namely the mutual agreement procedure, the protocol of action, also has a positive effect on the role of the Council. On the other hand, when parties come together, adding an additional judicial procedure can lead to an additional dynamic of such a legal process. It also leads to additional stress for all parties, including the child. The trauma centre of UMC Utrecht has done this valuable research. I've been talking to that. It's their concern, too. If there is a conflict, then it may happen that parties do not emerge, but what if parties do? Then why take the necessary step to the children's court? I think it is important for the Minister to explain this clearly. In addition, children's judges are extremely busy. They often rely very much on the advice of the council. How do we deal with this situation? How can we ensure that, if a matter comes before the children's court, it can actually form an independent opinion and reach an informed decision? Then I come to the inadmissibility for two years. The Council of State rightly criticised the earlier proposal. I haven't heard from my colleagues about it, but the proposal has been radically changed, revised. By the way, Mrs Van Toorenburg said something about it. In any case, the proposal has been considerably watered down. My question is still, because of these two years, whether it does not cover Article 6 of the ECHR, namely the fundamental right of access to justice for every citizen and the periodic right of access to justice for the offender-parent. I would like to hear from the Minister how this proposal relates to those rights. More importantly, Article 25 of the IVRK states the right of the child to periodic evaluation. If we look at these two years of denial, purely and simply because of the importance of peace for the child, then I think that is a bit too simple a representation of things. In addition to the right to stability and continuity of education, a child also has the right to know and be raised by parents. That's clearly an interest of the child. I am pleased that the legislative proposal has been amended, but as far as those two years are concerned, I wonder whether this is not contrary to the treaties we have signed. With me, the Council of State and a large group of consulted parties, Defence for Children, the Council of Justice, the Council of Criminal Law and Youth Protection, have also wondered why it is not sticking to that one year. This is also common practice in case law. Then one final question on this point. For the unsub-parent, who is only a suspect, that inadmissibility applies again for two years, but what if it turns out that the person is no longer suspected? I'm assuming the inadmissibility will be over immediately. I think so, but I'd like to get a clear answer from the Minister. Then it's about the suspect. A criminal investigation can sometimes take months or years, but in the end it may prove that someone is not suspect and is not the culprit. In itself, that time has been a severe punishment. I saw that the VVD asked written questions about the innocence charge. In such situations, how can we prevent the relationship between parent and child from being seriously damaged and there is a problem of attachment? That is also one of the reasons why I am opposed to the VVD amendment on that point. I'd like a response from the Minister. Did he take that into account? I also think that Mrs Van Toorenburg's comment is right. You shouldn't go to extremes. What's lying there is already quite a step. But why does this proposal focus on murder and why not on an attempted murder, sometimes with all the terrible consequences of that? Why is that outside of this bill? Then I come to a very important subject for my group, namely the special curator. Especially in complex situations arising after partner killing, it is very important that the child's voice is sufficiently heard. After all, one parent was murdered and the other is in detention, in custody. A child may then be torn between the opposing loyalties. I can imagine anything, even when it comes to grandparents, but a child could get caught up in it. You're only gonna be six, eight, or twelve years old, and then you're gonna have to take advantage of the informal course of justice. You're being raised by family or friends who say, "You're not going to your father, are you?" I therefore very much hope that colleagues will support our amendment on the special curator, so that at least in this unique specific situation the child's voice is always heard, that there is a special curator present at a possible hearing and that he can go along with it when a child is heard by the judge. I would like a response from the Minister to our amendment. Then I'll come to the stepparents. The law speaks of the legal parent. I am curious how we deal with the situation of, for example, a step-parent who has the authority and who has family life anyway. They are outside this bill, but they can at some point say, "I have authority. I'm not the legal parent, so I didn't recognize the child, but I do have the authority and family life, so I also want that contact and that association." How do we deal with that? How do we deal with stepparents and foster parents anyway? I refer to the State's Reich Parenthood Committee, which may offer other possibilities. It is important that we make legislation which will continue to be topical for the future. I'm here for enforcement. We all know that transitional arrangements are agreed in the Netherlands to which parents do not comply. The UMC report contains an example of a father who keeps trying to get in touch, although it is not allowed. Conversely, we know from general discussions on family law that sometimes transitional arrangements are really not respected. How do we deal with that, I ask the Minister. Two final points. Situations after partner killing are complex. You may want to close this up with legislation, but what I am missing in the proposal is the UMC report, which I refer to, is that the trauma processing and support of the child in mourning are very important. Sometimes there's PTSD. In the proposal I see very little about that. The UMC made a number of in-depth recommendations and drew some important conclusions. I would very much like to hear from the Minister how we deal with this. It is not just what we have now regulated in this law. The care and trauma care of children are essential. Finally, I have tabled an amendment to evaluate after five years. That's the usual deadline for legislative proposals. There are quite a few questions and doubts. It's new and actually it's quite a unique law. So I think it is right that we should look at effectiveness and effectiveness in five years' time. We can therefore see whether we have any points that we wish to improve.
ParlaMint-NL_2017-05-10-tweedekamer-3.u19	Mr. Chairman. This bill concerns the rather exceptional but very shocking situation that arises after an ex-partner has taken his or her ex-partner's life, and the decision has to be made whether the children still need to see the surviving parent. According to figures from the Scientific Research and Documentation Centre, this life-defining event occurs about 14 times a year and affects about 30 children. In almost half of all cases, the child wants to continue to see the parent. In 94% of cases, this is met by the guardianship institution. Understandably, such a decision is extremely sensitive. GroenLinks is therefore pleased that the cabinet has taken a very careful look at the meaningful opinions of the Council of State and the Council for Criminal and Youth Protection. As a result, the sharp edges of the original proposal have been removed. The Council of State has also succeeded in removing the necessary bias with a number of well-chosen examples. It is not just fathers who kill mothers; mothers are also guilty of partner killing, as an act of desperation for protection against abuse and sexual violence. This insight relativizes an earlier thesis that in the past children are forced against their will to interact with their surviving parent. The Council of State fortunately corrected that image. This has not been the case as far as we know. Thanks to the Council of State, the cabinet left the initial starting point "no handling, unless." The Group of the Greens/European Free Alliance is pleased about this. Of course, careful research should indicate whether dealing with the parent is indicated. That research itself should not further increase the already significant gravity in such cases. We can also imagine that, in the end, the parent was wrongly regarded as a suspect. Denying him or her the right of access is then downright grieving and can cause irreparable damage to the parent-child relationship. It is, in short, balancing under extremely precarious conditions. This raises the question of whether this bill adequately meets the need to be able to deliver tailor-made solutions. The Council of State has also put this fundamental question in so many words. Now, in all cases, an application is made to the court for the determination or refusal of association. A period of two years shall be taken as the basis for declaring the parent inadmissible in his or her application for treatment. A child may at any time have the opportunity to review the decision on access to justice, but it must always take the lead in this respect. I have a single question for the Minister. To what extent can this contribute to further Juridisation? In such a terrible situation, it may not be in the best interests of the child at all. Shouldn't there be careful monitoring of how this new system works in practice? I would like to hear more from the Minister.
ParlaMint-NL_2017-05-10-tweedekamer-3.u20	Thank you. So much for the first term of office. After a brief suspension, we are going to listen to the Minister's answers.
ParlaMint-NL_2017-05-10-tweedekamer-3.u21	Mr. Chairman. A large number of speakers pointed out that the situation of partner killing, the position of children and the relationship with the remaining partner, is very profound and occurs at the same time only several times a year. But the fact that this is such a far-reaching situation led the Chamber to ask, on the basis of the many poignant personal experiences mentioned by several speakers, for a law that properly regulates the relationship of the child with the parent, as well as the perpetrator of the crime. I agree with the Chamber that, although this is a very special situation, it is at the same time so profound that it requires careful regulation. That is also the reason why the cabinet would have liked to participate in the Chamber's request. This is a careful balance, because the position of the child is crucial. Mrs Van Toorenburg made that very clear: in a way, the child lost two parents. At the same time, the right of parents to deal with children is a fundamental right. The right to have access to justice and to put a question to him is also a fundamental right. It therefore calls for careful consideration and also for careful legal treatment. That's why we're standing here with each other right now. Against that background, I will answer the questions in the order of the questioners. I shall begin with Mr Markuszower. He asked how it is now ensured that the interest and specific wishes of the child always prevail. This is because now the scheme is that a child from 12 years of age is always heard. A child under the age of 12 may be heard if he so requests. It is then up to the judge, having heard the child and all aspects involved, to make the child's best interests balance in his judgment. Mr Markuszower's next question was: how long will it take to reach judgment? The procedure envisaged is that the Children's Protection Board will request provisional custody very quickly, i.e. within 24 hours of receipt of the notification. The court will rule on that immediately. Subsequently, the Children's Protection Council will launch a further investigation, with a maximum period of six weeks. Thus, both a very rapid initial assessment and a more extensive, but still limited, investigation are foreseen. Mr Markuszower asked why a two-year period of inadmissibility has now been chosen. This is about the balance that I mentioned at the beginning. You want to secure the child's position, which is very often traumatized in this case. The procedure will be very burdensome for the child. At the same time, you do not want to sweep aside a parent's fundamental rights of association with the child and access to justice with a hand gesture. The longer you make the period, I will go into Mr El Yassini's proposed amendment in a moment, the more difficult you make it for a judge to impose it, because the judge will make that same balance of interests. He will also look at international treaties. In this consideration and in the interpretation that we can give of international conventions in this area, a period of two years has been chosen. Mr Markuszower asked how to prevent a child from being put under pressure to submit a request. I assume he's referring to the role of the guardian. It is, of course, the judge who ultimately judges, a crucial point in this procedure. The judge will judge on the basis of a signal that a child can also submit. "Happy but," I add. He can judge if this is a signal of his own free will. In doing so, the court may seek the opinion of the Council for the Protection of Children. It is precisely this role of the judge that ensures that there is a guarantee, in case there would have been pressure on the child. Mr Markuszower said that an oral request by the child could not be made, but that is possible. Mr Markuszower also asked how the procedure now works if the child himself wants to contact the parent and how a child is informed about that possibility. A child may in general be accompanied by the guardian, on which possibility he can be pointed out by the Legal Loket. So the child can approach the judge himself, which is called the informal course of justice. It can be verbal, it can be over the phone. In this way it is ensured that the child does indeed have access to justice at a low threshold. I come to Mr El Yassini's amendment to item No. 10, requesting that the time limit for inadmissibility be extended to three years. He also asked for an explanation of international treaties. As Mrs Van Toorenburg said, among other things, it is not the case that, under international treaties and the statements made on that basis, you would say that you can conclude what should come out of them on the basis of algorithms. Law is not an exact science, so you try to make an assessment of the purpose of the treaty and how it will be interpreted in a concrete case. On that basis, I cannot say very harshly that a three-year period would be unreasonable. What I can say is that with this law we are taking an important step forward, as far as I am concerned, even balancing on the borders of different human rights, which I outlined at the beginning. I think it is very important that we can also achieve this step. As you try to stretch the border further, the risk is increasing that what we all want to achieve, I have heard that well from the mouth of all the speakers is not being realized. You end up in the classic situation of "the best of the can, the lid on the nose." In that consideration, I would advise against the amendment. In Mrs Bergkamp's amendment to item No. 9 requires an evaluation after five years. On the basis of this evaluation, it should be considered how this has worked in practice. After that, that question should be asked again. However, my concern with Mr El Yassini's amendment is that it would not be acceptable at all that it would be counterproductive. I would be so sorry to say on that ground that I want to gain experience with the legislative proposal as it stands. I come to Mr Van Nispen's question as to whether the judge will have to make an explicit argument as to why he is imposing a time limit of inadmissibility. That will indeed be the case because it depends on the individual situation. It therefore includes the argument put forward by the court as to why that period of inadmissibility is also imposed in that case. Furthermore, Mr Van Nispen asked whether the Child Protection Council, or the guardian, could also ask the judge to extend that period. The question is whether that is necessary. If the parent doesn't insist on handling, you create a procedure that is still incriminating for the child. I therefore assume that the situation is that a parent requests an extension after the two-year period. A new request will then in fact be made. It's possible. That request will therefore be weighed on new grounds.
