ParlaMint-NL_2017-07-04-eerstekamer-5.u1	I have already welcomed the Minister of the Interior and Kingdom Relations to the First Chamber.
ParlaMint-NL_2017-07-04-eerstekamer-5.u12	I'm not going with Mrs. Duthler thinking that would be metadata. Metadata are traffic records. In the old-fashioned system, for example, that would be the address on an envelope, or the sender, or a stamp showing that the letter in Deventer was made on the bus. But electronic versions of it also exist. When it comes to content, the intention of the Constitution is to include it in the letter secret. The announcement that the refrigerator is almost empty, so that a bottle of gin from the liquor store has to come is content and content, which is therefore covered by the letter secret. Those aren't metadata.
ParlaMint-NL_2017-07-04-eerstekamer-5.u13	If I look at the example of smart contracting, these are often fields to fill in in advance, the metadata, which the contractor fills in: in these cases, with this supplier, under these conditions I wish to conclude this contract. Then it is really about metadata, because otherwise there can be no form of smart contracting. Smart contracting exists at the grace of metadata. But I am talking about content. I do not think we will be able to come out of this debate, but perhaps it will be something to take on board at second reading when it comes to drawing up it. I would very much like to make that distinction clear, because we are moving very quickly towards a society in which we are going to communicate using metadata.
ParlaMint-NL_2017-07-04-eerstekamer-5.u14	I think Mrs Duthler and the government agree on the substance, but they obviously use the word'metadata' differently. The government's view is clear, I think. When it comes to content, to content information, that is a message, then that is a letter or then that is an order. This is content and is therefore covered by Article 13 of the Constitution. It's not a traffic report. Even when you automate or do that, it remains that you call your shopping list to the grocery store. That's content. It is also privacy sensitive. I deliberately mention gin, because I don't order gin at all. There may be people who do and don't want that to get out. That privacy needs to be protected.
ParlaMint-NL_2017-07-04-eerstekamer-5.u15	Finally, Mrs Duthler.
ParlaMint-NL_2017-07-04-eerstekamer-5.u16	The point is that smart contracting no longer communicates content as an individual, as a citizen, but only fills in the metadata, which is communicated by the device.
ParlaMint-NL_2017-07-04-eerstekamer-5.u17	I think we're using the definition something else. I think it would be best for the debate if I were to confine myself to the interpretation as I am now presenting it. That is that a placed order is a substantive message, even when it is repeatedly placed and there is a pattern in it. It therefore falls within the scope of Article 13. I'm not trying to limit it here. It's completely covered. I have mentioned three criteria: it must be by means, it must be entrusted to a third party and it must be addressed. They replace a technical distinction made in the old Article 13 between a letter on the one hand and a telephone and telegraph message on the other. In the case of interruption, I have already said a few things about the aspect of traffic data. After this brief introduction, I would like to do the following. I would like to say a few words in the direction of Mrs Duthler, Mr Lintmeijer and Mr Engels on traffic data. Then I come to the horizontal effect. Then I would like to say something about national security, which Mr Engels and Mr Lintmeijer asked for. Then I'll walk by the remaining questions. First of all, I'm going to go to traffic records. Mr Sini first asked why the distinction is made at all. We have tried to stay as close as possible to the system of the Constitution in which it is the content of messages that deserve to be protected by the letter secret of Article 13. If you extend that to traffic data, it would have a major impact on practice, because every time it would require judicial authorisation to access traffic data, unless it was national security. I will return to that understanding separately. This would have major consequences for criminal investigations, for example. So there has been a practical reason. There has also been a logical reason, namely to align with the system of the law as we know it. I have just said a few words about the substance of the concept of traffic data in the event of an interruption. The content of the communication is what the sender only wants to send to the recipient. This should be distinguished from the data necessary for the transport of the message, such as an e-mail address and the data generated in the context of the transport. Traffic data is protected by Article 10, if they are personal data. This definition is really in line with what I just said. A shopping list, even if it is a smart shopping list, is, according to the definition we use, really what one wants to send to the recipient. If the traffic data is personal data, they are covered by Article 10 of the Constitution. Finally, there has been more extensive discussion in the House of Representatives about the case of content being included in what is normally intended for traffic data. Everyone knows the example of the e-mail in which someone in the field writes "re:" or "subject:" the message: boys, Friday afternoon drink on the lawn. That is actually content and is covered by Article 13, although it says in the field that it may be intended for traffic data. That is why this distinction has been made. It is perhaps appropriate to add that a message, when it is under the control of a third party as part of the transport, remains within the scope of Article 13 during and after the transport, in so far as it is still with the third person who transported it. When an e-mail is still somewhere in a mailbox with the provider, it remains under the protection of Article 13. In Dropbox, on the other hand, the following applies. That's a program where you can put material. You can say to others: if you want to watch the holiday movies, you can pick them up there. This is, in fact, an extension of the hard drive and is covered by the protection of privacy, Article 10, but not by traffic data and not by message traffic under Article 13. I have talked about the practical consequences of the other system in response to Mr Sini's questions. It would indeed mean that more judicial burdens should be imposed in the context of access to traffic data for the purposes of criminal jurisdiction. It would therefore also have consequences for national security. I'll get back to you on that. That is what I wanted to say on the subject of traffic data in response to the questions asked. The second subject is horizontal relations. I didn't want any doubt about that in the House of Representatives. The interpretation of the Constitution is, in my view, that the fundamental rights contained in it focus essentially on the government and its relationship with the citizen. It is therefore intended to have a vertical effect. This does not mean that communication secrecy does not have any meaning in the horizontal relationship. The Postal Act, the Personal Data Protection Act and the Telecommunications Act provide confidential communication by ordinary law of citizens in their relationship with other citizens or with business. In addition, the court in civil matters may, by means of Article 6:162 of the Civil Code, the so-called "unlawful action', take fundamental interests into consideration. Conditions or data from outside the Dutch territory can be transported. That does not alter the fact that a transporter operating within the Dutch jurisdiction must respect the Dutch letter and telecommunications secret. Mrs Duthler referred to the interest shown in the House of Representatives in digging out the horizontal functioning of the protection of privacy and messages. I believe it was Mr Koopmans of the VVD who then reported that he intended to take the initiative on that point. I have said that I would wholeheartedly support this initiative because I agree with the importance of the subject. The conclusion has been that it is important that this constitutional amendment does not focus on the horizontal effect, but that this is not a reason not to return to it in the short term.
ParlaMint-NL_2017-07-04-eerstekamer-5.u18	I'm gonna hear somethin'. If I understand the Minister correctly, he says: to give horizontal effect to these fundamental rights, further formal legislation is needed. The Minister referred to the Wbp, the Telecommunications Act and the Postal Act. This would therefore mean that, if this fundamental right is to have a horizontal effect, we would have to consider very carefully what laws would need to be adapted to allow the secret of letters to work in all those relationships where there is more and more a third, private person holding electronic communication from citizens. Well, that's basically what it's all about.
ParlaMint-NL_2017-07-04-eerstekamer-5.u19	Even now, the Constitution protects the citizen from the government who would like to look in a message or letter. This proposal does not change that. That's the vertical effect. This is without prejudice to the government's view with Mrs Duthler that the horizontal protection of privacy is very important. Part of that is settled by ordinary law. It would probably be good, now that people, for example, by clicking "OK" share a lot of information with multinational companies, to see if the legal framework is sufficient to protect people from themselves and others at that point.
ParlaMint-NL_2017-07-04-eerstekamer-5.u20	Does this mean that constitutional protection would actually be enough if my letter was sent through the PTT as a government organisation, but that the Constitution as such does not provide that protection and that you should regulate it by separate law if something is sent through a privatised organisation or through private providers as is customary today? The latter could be the consequence of the Minister's wording that the Constitution only ensures the protection of the citizen against the government that would want to break into this fundamental right.
ParlaMint-NL_2017-07-04-eerstekamer-5.u21	It means that no one, not even the government, may have access to a letter that someone sends unless a court ruling is based on it. That is simply stated in the current law and it does not change on that point either. It protects from the government that says, "Let's see what kind of message that is." In addition, there are laws that do not follow from the Constitution, but they do exist and they apply equally naturally to protect citizens from each other. I also referred to a number of articles in the Civil Code that regulate that.
ParlaMint-NL_2017-07-04-eerstekamer-5.u22	If I understand the Minister correctly, he says: the letter secret now has vertical effect, namely against the government, and it would be good to at least examine whether that vertical effect should be extended to private providers such as Facebook, WhatsApp and so on, in order to actually achieve that horizontal effect.
ParlaMint-NL_2017-07-04-eerstekamer-5.u23	The constitutional letter secret, as laid down in Article 13 of the current Constitution and perhaps later in the amended version of Article 13, has vertical effect. This is without prejudice to the fact that the horizontal protection of privacy exists by ordinary law. That is without prejudice to the fact that it might be a good thing, I think that this would be a good thing, and that we should reconsider whether it is adequately regulated in the ordinary law now that people constantly click on "okay" and often cannot get many services from companies if they do not click on "okay" and are therefore almost forced to share all kinds of information. That is what I wanted to say about the horizontal effect. I come to speak about the concept of 'national security'. Mr Lintmeijer and Mr Engels have asked about this. Among others, Mr Engels referred to the new Intelligence and Security Services Act. We're gonna take care of it here next week. I very much appreciate that you have managed to find room for that in your full agenda. With your permission, I would like to conduct the discussion on the role of the CTIVD, the supervisor, in the new legal regime when dealing with that bill. Relevant for today's debate is that the legislative amendment that is now before us leaves room for access to messages in the interests of national security by or with the permission of those designated by the law. Compared to the current law, I have to be very clear about that. At present, the classic letter is subject to paragraph 1 of the current article of the Constitution, which states that the secret of the letter is inviolable except by order of the court, which must also be determined by law. The same applies now to the intelligence and security services. Not many letters are sent, but if a letter is sent once and if the security services want to have access to it, they must now have the permission of the judge. The numbers are very low, but one could say that constitutional protection for those cases is slightly reduced, because it is allowed in the interests of national security to do so, as long as it is done with the authorisation of the person designated by law. We will see next week when we consider the new Intelligence and Security Services Act that this cannot be a single authorisation, but that a double test is put on it. On the other hand, the current Constitution does not protect most of the messages you are sending at all, because they are not covered by letter, telephone and telegraph secrecy. After all, these are texts, apps or e-mails. They are all given full constitutional protection under the new regime, including the fact that it requires a judicial test, unless it is covered by national security, because then the legal regime as stated, for example, in the Intelligence and Security Services Act will apply.
ParlaMint-NL_2017-07-04-eerstekamer-5.u24	The minister says our texts aren't protected right now, and they will be. That is good, but the legislator can also opt for the higher level of protection that is now provided for in the letter, in the new law also for text messages and all that more they apply. But that's not what he chooses. Why should the Minister not choose to take that higher level of protection as a starting point instead of the reduced level of protection?
