ParlaMint-NL_2017-11-30-tweedekamer-8.u1	We will continue to deal with the budget of Justice and Security.
ParlaMint-NL_2017-11-30-tweedekamer-8.u12	This is a kind of two-stage missile in conclusion. The Libyan Coast Guard operates under the mandate of a Libyan government, and that is complicated enough, because it is sometimes unclear who exactly that is. But that does not automatically mean that they operate under the mandate of the European Union if, for example, they operate outside territorial waters. I think we should keep an eye on that divorce.
ParlaMint-NL_2017-11-30-tweedekamer-8.u13	Indeed, it may not be so much a question of whether it is happening under the mandate of the European Union as it is a fact that the Libyan Coast Guard is sending people back to Libya, who can then end up in a slave market or in a detention centre. This applies to almost 100% of the returned refugees. The European Union and the Netherlands support the Libyan Coast Guard. The Secretary of State says he feels the inconvenience. That's a lot, but I'd like to ask him now what we're doing with that inconvenience. Are we just going to continue supporting that coastguard so that people can be brought back to Libya so that they can end up in a detention center? Or are we gonna put a stop to that?
ParlaMint-NL_2017-11-30-tweedekamer-8.u14	Then I repeat what I have just said. Of course, from the Netherlands and, above all, from the European Union, we are addressing the Libyan authorities to put an end to these degrading situations. This is without prejudice to the fact that I do not like to intervene in the Libyan waters, where the Libyan Coast Guard operates, and then to take it over from the European Union. If you do that from within the European Union, then there must also be a guarantee that we can guarantee all the things that we consider important. That is not the case at the moment in Libya, I think.
ParlaMint-NL_2017-11-30-tweedekamer-8.u15	Then there's been a misunderstanding. We are now intervening in Libyan territorial waters, by giving EUR 1.5 million of Dutch money to the Libyan Coast Guard. We're a player there now. We share the inconvenience about this at the moment when things happen that we say we do not want to have anything to do with it. That's what we have in common. So it's not like I'm arguing for us to intervene there. On the contrary, I would argue that we should stop interfering, at least, but that we should stop financing the operations of this coastguard, which would have disastrous consequences for the refugees in question.
ParlaMint-NL_2017-11-30-tweedekamer-8.u16	I suspect that Mr Van Ojik and I are close together. That it's uncomfortable, that's what Mr. Van Ojik feels, that's what I feel, I think, everyone in this room. The question then is what conclusion you draw. In fact, I would not want to go on the road to not support that coastguard from the European Union, even if it is because that coast guard operates and is present in those waters, and in some cases it is also the first and only vessel close to it when people are at risk of drowning. In my view, therefore, it is basically a question of ensuring at least that there is help and rescue for drowning people. That is uncomfortable, but I would not like to draw the immediate conclusion that Mr Ojik is asking of me. Mr. Chairman. When it comes to a different solution to international migration flows, Mr Azmani suggested that we look again at whether reception conditions can also be achieved in countries of origin, especially for amvs, i.e. for minors. In itself I share that suggestion, but that does not mean that it is easy to realize. There have also been attempts in the past to implement such provisions in a number of countries. At the moment there are also talks between European countries to see if they can do so at various locations. There was a plan for a shelter in Afghanistan. Norway, in particular, took the lead in this, but this has stopped due to a lack of cooperation. I would like to take up the suggestion that, in the near future, particularly in the European context, we should see if there are more countries for which it is appropriate to start discussions on the realisation of shelters. The extent of the influx from the different countries of origin and the possibilities of return are also important for the question of whether this is appropriate. Mr. Chairman. What is happening in the area of the European Union? I just mentioned that in my introduction. In the European Union, a number of proposals have been on the table since 2016 to review the Common European Asylum System and see how we can better harmonise it. Yesterday I was asked by a number of Members of Parliament to put pressure on that. I certainly intend to. I think we will be discussing this in general discussions next week in preparation for the first JHA Council to which I am going. That won't always be easy. Even if it is only because this is an extremely important issue in which a number of Member States have very different interests. For this reason, this cabinet continues what the previous cabinet took as its position two years ago, namely to see the various proposals as one whole and one package in particular, so that it cannot become a cherrypicking between one Member State and the other. If the whole thing is on the table, it must also be an improvement for the Netherlands. It is no good if a desire to harmonise procedures more in Europe is finally removed from the final proposal. Mr. Chairman. I have just mentioned one of the things the European Union has agreed on, namely the agreement with Turkey. This raised the question of how we look at the situation on the islands in Greece with a number of Members of Parliament, including Mr Groothuizen and Mr Voordewind. There is the gateway to Europe when it comes to the agreements with Turkey. I have already mentioned this in writing. I share the concern the Chamber has. The situation in some of the reception conditions on the islands is far from sufficient, especially with winter approaching. At the same time, the question arises as to how we can solve it. We are doing everything we can from the Member States of the European Union. We provide financial support with large sums of money and the European Commission monitors the conditions on the ground. It is also up to the European Commission to take action against Greece, if necessary, and to provide guidance on how to do better. Let's move on. From many Member States, including the Netherlands, many experts are stationed in Greece to help, for example with registration and asylum procedures. It's not always a question of money. On the contrary, we see that part of the money that the European Union has earmarked to improve reception conditions in Greece, for example, is not being used. We also provided official assistance from the Netherlands to at least assist Greece in the question of how to obtain the funds from Brussels in Greece, so that the money can also be spent there. But we cannot accept a responsibility, either in the European Union or in the Netherlands, and that is the sovereign responsibility of Griekeland for its own asylum procedures. Despite all the assistance provided from other countries, the Greek authorities must ultimately decide whether or not an application for asylum is granted, and it is very often delayed. There we have no choice but to remind the Greek Government of its responsibility to comply with that part of the agreement. The same applies to agreements that have already been made, for example on the return of people who arrive on the islands and should return to Turkey. This also happens to a lesser extent than the explanation allows. The same applies to establishing or providing shelter to people arriving on the islands and being taken to the mainland. Greece, too, is likely to deal with this to a greater extent than was originally envisaged in the agreements. For the Greek authorities and for the Greek authorities, it is perhaps also getting used to the fact that Greece is no longer a transit country with all these agreements. That's what they'd traditionally set themselves up for. But we are still present in the European Councils and on the European stage in order to encourage the Greek authorities to comply with this part of the agreement and thereby to ensure that the agreement with Turkey will work even better. Mr. Chairman. A number of political groups also asked me yesterday about the resettlement of 1,750 people in the period from January 2018 to October 2019. Mr Fritsma didn't want it. Mr Voordewind had questions about it. The question was, among other things, how exactly that number was built up. Let us return to the basis of the European Union's request. As in recent years, the European Union has regularly asked the Member States what their intentions are to resettle people in the coming period. Although it is about people, the banal is always that it is then also a financial issue for the European Union. The European Union has funds available to assist in the resettlement of people, and it also wants to know from the Member States where and in what numbers resettlement will take place in the coming years and whatever profession Member States are doing on that fund. The European Commission has asked in broad terms what the Member States' intentions are, both with regard to resettlement under the agreement with Turkey and with regard to all other forms of resettlement from Africa, including under the UNHCR's flag. In addition to the national agreements to resettle on the basis of proposals from the UNHCR, which was always 500 people per year; bearing in mind the new government agreement, we have indicated to the European Union that we are entitled to funding for 1,250 persons on the basis of the national UNHCR agreement in the relevant period. These are 750 people in 2018 and 500 people in 2019. We have taken into account that the European Union's question is not about the whole of 2019. So I didn't think it was right to indicate the full number of 750, because in the last few months of 2019 there is no doubt a new question. We fill this out as we always did at the UNHCR. This means that people who are re-established on that basis come from a wide variety of countries. Recently, many people have come from camps in Jordan and Lebanon, but also from Africa. There's also a resettlement mission with Uganda. There is always room to resettle people in the Netherlands on an individual basis in urgent matters, proposed by the UNHCR. This also means that we cannot say in advance exactly where people come from. We do so according to the agreements we have had in recent years. In addition, we have indicated to the European Union that there is one working agreement that is currently leading to less influx into the European Union, and thus more opportunities for resettlement for us. That's the deal with Turkey. On that basis, we want to bring 1,750 people to the Netherlands in the period from January 2018 to October 2019, because that agreement does what we had agreed, namely to reduce the influx. Now we need to be even more precise to the European Union about where these people come from, because they are also trying to plan. At the same time, we have allowed part of that 1.750 to be filled in with resettlement on that route, if the UNHCR and the European Union so consider it necessary, should agreements be reached on the Central Mediterranean route. Apart from that, there is still an agreement in the coalition agreement that, if more agreements are reached that can be proven to lead to less influx, we will do more in proportion to resettlement. That could be the case in the future. The cabinet is prepared to do so, but there must first be such agreements. It's not that far at the moment. What falls outside is the last form of resettlement we have experienced in the last two years: relocation from reception facilities in Italy and Greece. Before that, there were agreements that ran until the end of September of this year. They have been filled in as it were, albeit a number of people arrived in Italy and Greece before 26 September, especially in Italy, and were registered only later. They're still part of the deal we made back then. The cabinet has thus indicated that in the coming months we will be bringing 150 people from that group to the Netherlands, because they were already in Italy at the time of the working decisions. That is also about our fair share, which we always take from these resettlement missions.
ParlaMint-NL_2017-11-30-tweedekamer-8.u17	I have also asked for this in my contribution. For my understanding: do I understand that this number of 1,750 resettlements is basically focused on the EU's deal with Turkey, but that it has been indicated from the Netherlands that if a similar agreement is made with other countries, there will also be room to take part in the Netherlands through the EU or through the UNHCR instead of the refugees coming in through Turkey?
ParlaMint-NL_2017-11-30-tweedekamer-8.u18	Yes, and we have done this above all to be as flexible as possible towards the European Commission, because it is also trying to plan for the coming years: which Member State will take over from which countries? We have said to the European Commission: if there is an agreement with other countries, we are also prepared to resettle some of those 1,750 from other countries. For example, it may be true, but I am not saying that this is only because, in the meantime, there are not enough people in Turkey to resettle. In any case, if there is an agreement with other countries, it is our intention to get them out of there. This is without prejudice to the fact that, if there are more agreements that lead to less influx, we can also do additional resettlement, because that is also what the government agreement states.
ParlaMint-NL_2017-11-30-tweedekamer-8.u19	I think this is enlightening. Thank you.
ParlaMint-NL_2017-11-30-tweedekamer-8.u20	Please continue.
ParlaMint-NL_2017-11-30-tweedekamer-8.u21	Mrs Van Toorenburg asked about the detention of foreigners: what should be further strengthened in European legislation in this area? I think we will be talking about this a lot in the coming period. In any case, as far as we are concerned, we are talking about broadening, for example, the detention possibilities of Dublin claimants in order to further discourage secondary migration. So this is about the Dublin regulation, which is also under discussion in Europe. In addition, it should be noted that results in Europe must first be achieved with other Member States and then negotiated with the European Parliament. So I do not know in advance whether 100% of this effort will be achieved, but it is the commitment of the Dutch Government. I would also like to remind you that your Chamber has a legislative proposal pending in the field of return and detention in order to further fill in foreign detention at national level. I look forward to dealing with that, but I understand that's pending in the Chamber. Mr. Chairman. That's how I got to the national part of my portfolio. This begins in the first place with the intention in the government agreement to achieve a more flexible asylum process and reception system. We are currently starting that program. The reason is also what we have seen over the past two years, especially during the high influx in 2015 and 2016. Then the chain was tried to the maximum. This has led to a number of lessons for all chain partners, the IND, the COA and the Return and Departure Service. It was said that we need to look very closely at how we organized it and whether we can build in a little more flexibility for the future, in case the influx is unexpectedly higher at some point. We have now launched a broad programme for this purpose. Under this programme, the various options will be developed, in consultation with the IND, the COA and the provinces and municipalities. The aim is always to better cope with fluctuations in the flow of asylum, especially in asylum reception. The COA will therefore develop options for flexible reception capacity in the coming period. These can be useful in the selection of shelters and in agreements with the municipalities. I would like to add that I suspect that, if we want to have everything done in the final phase in full detail, we will be discussing this subject with each other throughout this cabinet period, even if only because you have achieved large-scale reception facilities, where the first part of the process takes place, from one day to the next. They will therefore be opened at different stages. And then there is the logistics that comes along to have much more small-scale facilities around such a large-scale supply. In addition, we have set ourselves the goal of limiting movement as much as possible. So someone who is very promising and eventually gets a permit will get into a smaller supply as soon as possible, preferably in the region where, given his or her background in the future, there is also a chance of integration and job creation. That takes a bit of logistical head-breaking from time to time, but we'll get to work on it. And by the way, we will not wait for the implementation until the whole plan is finished in all its details, because every step you can take, every part you can already get started with, is well taken into account. That's what we need to do. In fact, I am right in responding to the plan put forward by the SP Group by Mr Van Dijk. He indicated: you need a more flexible buffer. That is one of the aims we have with the flexible reception plan. We also come into this plan with an elaboration of what we mean by "more small-scale facilities." I expect to have the whole plan of action ready in the spring. I'll come to the Chamber with that, of course. Mrs Van Toorenburg raised the question of how to streamline procedures. I remember that Mr Bishop also had a question about that. This also applies: on the one hand, looking at procedures, which we do partly on the European stage, and on the other hand, looking at how we apply them in practice. In this respect, too, the chain partners have sometimes had ideas over the past few years about how things can connect even more efficiently, about how the process can become even more streamlined. We're all gonna give that a place in this plan. Part of domestic reception is also the intention in the government agreement to remove three headlines that we now have on European legislation. This means: no legal aid at first hearing, no response to a repeated application and see if the temporary permit can be granted from five to three years. I'm going to work out those intentions, too. I expect to return to that in the first half of next year. Among other things, Mr Voordewind asked: if legal aid falls at first hearing, what does that mean for the preparation of the asylum seeker for his procedure? He suggested, among other things, that he also look at the role of refugee work in the Netherlands at the moment. Without going into the precise details, which I would like to include in the drafting of this proposal, I can assure the House that we will of course look at these aspects. What is the procedure now? How will it be when legal aid expires at first hearing? And what guarantees should we provide in the procedure to ensure that the asylum seeker is properly prepared for his procedure? I will also take into account the role that voluntary organisations already play and the role they could play in the future. I propose that I inform the Chamber as soon as the whole proposal is ready.
ParlaMint-NL_2017-11-30-tweedekamer-8.u22	It sounds wise to look at it like that. Apart from the information on the front, in the eight-day procedure we have set up together, I see also a point in the period between the intention expressed and the time you have to submit the view. It could be tight under the circumstances. Is the Secretary of State prepared to take a look at that?
ParlaMint-NL_2017-11-30-tweedekamer-8.u23	Yeah, I'm gonna take a look at that, too.
ParlaMint-NL_2017-11-30-tweedekamer-8.u24	Please continue.
ParlaMint-NL_2017-11-30-tweedekamer-8.u25	Part of the...
ParlaMint-NL_2017-11-30-tweedekamer-8.u26	Mr. Bishop.
ParlaMint-NL_2017-11-30-tweedekamer-8.u27	Just one small question. I also asked about the role of advice or reports from ecclesiastical bodies or individuals in making decisions. The written reply, for which, by the way, thanks, gives a proper description of the procedure. But my question is whether these opinions can be taken into account in a different way and more as an expert report can be involved in the consideration.
ParlaMint-NL_2017-11-30-tweedekamer-8.u28	I had saved the part of creating reviews of gays, lesbians, bisexuals, transgenders and converts for later, but I will bring it forward. Then I can answer Mr Bishop's question right away.
ParlaMint-NL_2017-11-30-tweedekamer-8.u29	I'd be fine with that.
ParlaMint-NL_2017-11-30-tweedekamer-8.u30	Okay, then...
ParlaMint-NL_2017-11-30-tweedekamer-8.u31	Mrs. Chicken.
ParlaMint-NL_2017-11-30-tweedekamer-8.u32	Sorry, Chairman. I was just chewing on the whole legal aid, deleting it and "you'll come back when things go wrong." I have reservations about this, precisely because we also looked at it in the previous period and put in place a specific group to do so. Suppose someone is sent back after step one and still has to have legal aid, because he has been rejected. Then how do you guarantee someone with clean eyes is looking at the new file? This also requires the necessary administrative effort. I would ask the Secretary of State to include this specifically in explaining what it looks like in practice.
ParlaMint-NL_2017-11-30-tweedekamer-8.u33	We are going to make a proposal, and that includes all these aspects. That is what I intended when I said just now that we still need to look at safeguards throughout the procedure. So that's what I'm gonna look at.
ParlaMint-NL_2017-11-30-tweedekamer-8.u34	Please continue.
ParlaMint-NL_2017-11-30-tweedekamer-8.u35	I come to the subject of assessments, and especially assessments in the process of converts and lhbtis of what is inner, so inside. Is it always possible for the competent authorities, such as the IND, to give that a proper place in the final assessment? I admit that I have explained in particular how this is currently being done. Mr Bishop said that. It's one of the questions I had myself about this wallet when I took office. As a basis, it is good to establish that it is really going very carefully. In recent years, both lhbti interest groups and the COC have also been involved. They have also provided training in the past. Churches often play a role in the other group, converts, Christians. They can come up with reports, too. But I did understand the question of the Chamber. Although I think it is happening carefully, we can always see if there is any improvement possible. Time doesn't stand still either. Sometimes there are new developments. If the Chamber so wishes, I am open to looking at the procedure again. I think I understood the Chamber a little in the first place yesterday. I'm willing to see how we can improve it. I can also inform the Chamber that due to the topicality of the subject, the WODC had already planned to investigate it next year. If recommendations come out of that, I will look into that as well. But that research has yet to be started, so it will certainly not be completed at the beginning of next year. I'll see if we can improve on that in the process. It is also not the case that statements from, for example, the ecclesiastical world do not play a role in the process. I'd like to take that impression away. Those statements are indeed taken into account, but there is ultimately one body that is the only one responsible for deciding and ultimately the only one to judge the credibility of the entire asylum story. This may or may not result in the application being accepted. But, as I said, we will look at improvements to that. But I note that this is generally done in all due care.
ParlaMint-NL_2017-11-30-tweedekamer-8.u36	Thank you for this commitment to look at improvements. I understand from the written answers that organisations dealing with this issue, such as the Plaisier Committee and possibly the COC, are actively involved. Can the Secretary of State confirm that?
ParlaMint-NL_2017-11-30-tweedekamer-8.u37	Of course, I am open to involving organisations. I think it is good to highlight that committees can provide input, but can never make the whole decision. In fact, in the past it has been shown that committees themselves do not want to sit on that chair either. But we'll look into that. By the way, insertions are being delivered at the moment. The reality is that we usually never hear back when it leads to acceptance. But there may always be circumstances in which it will not lead to acceptance, despite the fact that there is a report or an expert's statement. But as I said, we're gonna take a look at it. Then I'll move on to the subject I've already started on. Of course, it is also part of the policy of return and return policy. Questions were asked yesterday by many political groups about the return to Afghanistan. Let's get back in time first. At the end of 2016, a new post from the Ministry of Foreign Affairs was published, as is regularly the case. This is reflected in a tightening up of the country's policy with regard to Afghanistan in February of this year. That message of office and country policy already said that the situation in Afghanistan was worrying, but that it was not yet a reason for the 15c policy, namely to say for an entire area that return is not possible, or to introduce a moratorium. This has also been confirmed in case law by the European Court of Justice on Afghanistan. This situation is still worrying, as it was noted at the beginning of the year. Despite reports, however, we have not found that the situation has deteriorated substantially since then. Then we also look at recent reports. If you look at that, there is no reason to introduce a moratorium. So I would not like to go into that either, knowing that there are many exceptions to the policy. It is precisely on the basis of the current country policy that people from a number of regions and people belonging to a number of groups are already excluded from return. In addition, every assessment of a request in the Netherlands always looks at the extent to which someone needs individual protection. Due to the fact that a number of reports have also recently been received about the situation in Afghanistan, the cabinet has taken another step. All official messages shall be rewritten periodically. This may or may not lead to strengthened or relaxed country policies. The next post for Afghanistan was scheduled for the end of 2018. That has already been brought forward to summer 2018. It can be done even faster, and that is what we want to do, namely by zooming in on security in that message. Then it's called a thematic ministry security message. So that's what we're about to accelerate. That could be done in May. We are currently determining the exact question; the terms of reference, as is the professional term. To this end, we are also looking together with relevant organisations, for example Amnesty, at the aspects on which we want further information. This will enable the Foreign Office to start working from January on to make that statement of office. It is indicated that the lead time is about four months. That would mean we have a new post in May. In the meantime, there is simply the policy in force, which already contains many exceptions and in which this individual assessment is always made.
ParlaMint-NL_2017-11-30-tweedekamer-8.u38	We understand what the exceptions are, but we are getting reports that it is very difficult to get into those safer regions, because you are actually forced to get through the risky areas. Can the Secretary of State consider that, too?
ParlaMint-NL_2017-11-30-tweedekamer-8.u39	I repeat what I just said, namely that requests are already being examined individually, so it is always weighed to what extent each individual needs protection. I think that is already taken into account.
ParlaMint-NL_2017-11-30-tweedekamer-8.u40	Who was before? Mr Jasper van Dijk.
ParlaMint-NL_2017-11-30-tweedekamer-8.u41	It's a good thing the message of office is coming forward as quickly as possible. That's in May. That's not tomorrow, but it'll be a while. We received a petition yesterday from Haroon, on behalf of many of his compatriots, who may be expelled in two weeks' time. He is also not covered by the exceptions to the so-called target group policy. You want me to establish that he's had bad luck?
ParlaMint-NL_2017-11-30-tweedekamer-8.u42	I intended to do so, and this is the first opportunity to test it...... that I do not go into individual matters in the Chamber. I just wanted to leave it at that.
ParlaMint-NL_2017-11-30-tweedekamer-8.u43	That's kind of firm, but I'm assuming this could be different. I ask the Secretary of State to respond to his petition, which is not just about him as a person. He has done so on behalf of many Afghans. He is asking me to suspend the expulsion policy, and I will ask him to do so. If the Secretary of State says, "Wait till May," I think we're almost in agreement. There's only a time difference in our views. Then I guess the Secretary of State could take over after all.
ParlaMint-NL_2017-11-30-tweedekamer-8.u44	Well, I have just indicated that I would not wish to suspend expulsions in a general sense, even because the current country policy shows that it is worrying in Afghanistan, as I have just argued. That was no reason for the Netherlands to suspend the expulsion policy. In this respect, despite the worrying situation in Afghanistan, not much has changed substantially. This also applies to the Member States around us, which were referred to yesterday. We are not aware of any other Member States in the European Union which are currently suspending expulsions to Afghanistan.
ParlaMint-NL_2017-11-30-tweedekamer-8.u45	We were just having a discussion about Libya and then the Secretary of State talked about his inconvenience. Now I'm experiencing discomfort again, and I'll explain that. On the one hand, the Secretary of State says that nothing has actually changed in the security situation in Afghanistan since the beginning of this year, but on the other hand he has taken a message of office, which was meant for the end of next year, first to the summer and now it is being brought forward for a few months. I think that is very good, but if you are deported between now and May, and the new post will show that it has become more unsafe, then you are unlucky to use Mr Van Dijk's words.
ParlaMint-NL_2017-11-30-tweedekamer-8.u46	I have brought forward the message of office in order to accommodate many Members of Parliament who have asked for it. Official messages always appear periodically. I do not think that every time a new post comes up, we should indicate in advance that we are expecting a certain outcome in the post. The announcement of a year ago also indicated that it was worrying and then, on a number of points, the country's policy was strengthened, but it did not make it completely impossible to return to Afghanistan. Moreover, when assessing applications, it is never true that only the country policy and notice are taken into account. There is also always a look at what is known from public sources about the situation in the country of origin. So that is much more a running and sliding process than that at one time the decision falls the other way.
ParlaMint-NL_2017-11-30-tweedekamer-8.u47	I understand that, but you're not asking for nothing to bring forward a judgment. The Secretary of State even wants to bring it up a little further. It was supposed to come from the summer, but he's now asked for May. There's no other way than to do that because you don't feel very happy about what's going on right now. Otherwise, you won't need an early review. The question now is what does the sense of the Secretary of State mean for the people Mr Van Dijk mentioned that Mr Haroon we spoke to yesterday, who are now in danger of being deported.
