ParlaMint-NL_2017-06-21-tweedekamer-13.u1	I welcome the Secretary of State of VWS.
ParlaMint-NL_2017-06-21-tweedekamer-13.u12	Mr. Chairman. Case management dementia: what exactly is that? That's someone who guides people with dementia and their families after the diagnosis has been made. 'Cause it's hard to go through that. The Dutch Healthcare Authority has carried out research that shows that there is not enough case management of dementia. Fares are still too low. And that while it looked so promising in December 2015 when the majority of the Chamber adopted my colleague Bruins Slot's motion, in which the Chamber ruled for a separate claim to case management dementia in the Health Insurance Act. The implementation of that motion is not going well. As I just told you, there are waiting lists. How are we gonna get out of here? How do we ensure that people with dementia and their families get the support they need? During the general consultation, the Secretary of State did not want to discuss minimum rates. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the motion to include the case manager dementia as a separate claim in the district nursing service was adopted by the House of Representatives in December 2015;]] [[noting that both the procurement district care 2016 and the purchase 2017 and the waiting lists show that there are not enough case managers buying dementia;]] [[noting that the NZa sees the risk that such tariffs cannot provide sufficient case management and that the quality cannot be guaranteed;]] [[Reiterates the government's request to include the case manager of dementia as a separate claim in the care department in the Care Purchasing 2018,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Keijzer and Mr Bruins Slot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-365]]
ParlaMint-NL_2017-06-21-tweedekamer-13.u13	I'm gonna stand for a while, because I'm expecting an interruption.
ParlaMint-NL_2017-06-21-tweedekamer-13.u14	That's right, I'm actually asking the same question to the CDA. The CDA proposes a reduction of €105 in the election programme. Our proposal is a reduction of €100. Can our proposal also be supported by the CDA?
ParlaMint-NL_2017-06-21-tweedekamer-13.u15	That would cost, if I remember correctly, a billion dollars in total. So that's a big deal. It's the amounts that are on the table at the formation. I think the answer is simple at the moment, and it will not surprise Mrs Marijnissen: this is a subject that is being discussed at the formation table. I find it extremely regrettable that the SP has not responded to the many invitations to talk about a better future in healthcare.
ParlaMint-NL_2017-06-21-tweedekamer-13.u16	To start with the latter: I think the SP has certainly dealt with this. Any conversation that leads to better care can take place with the SP, but I would like to point out that the conversations at the formation table are conducted with the VVD and D66. Those are just the only two parties in this Parliament that do not want to change anything about the current own risk. You do want to. The CDA proposed €105 in its election programme. At the moment, 98 people agree on this in this Parliament. Surely it is much more sensible to deal with Parliament here than with the two other parties in the engine block, to which your party belongs, who have already indicated in advance that they do not want to change anything at all to their own risk?
ParlaMint-NL_2017-06-21-tweedekamer-13.u17	Wouldn't it have been much wiser for the SP Group, also in the light of everything it wants to achieve for its voters, if it had made a different decision at the time, namely to talk with it at the formation table to ensure that some things change in the care? They didn't choose that. There is a choice for tabling motions on all kinds of different subjects. If you get the chance to talk about the future of care in the Netherlands, this is just not the way to do it. That's a procedural answer. Mrs Marijnissen rightly says that the CDA's electoral programme includes a reduction in its own risk and not only of its own risk, but also of other own payments. A lot of people in the Wmo and the Wlz sometimes pay the amount of their own risk almost every month for their own contributions. That's absolutely true. There is also a real problem for these people who depend on care. The most recent reports are that we are going to speak again at the formation table, where this subject is also on the table. That is why I cannot say to Mrs Marijnissen today: you know what we are doing; we are doing it here by means of a motion.
ParlaMint-NL_2017-06-21-tweedekamer-13.u18	Mrs. Marijnissen, I am no longer giving you the opportunity to interrupt. You've already interrupted twice and we're interrupting in two. It's just a VAO. Then we have come to the end of the Chamber's term. I'll suspend a few minutes before the Secretary of State answers.
ParlaMint-NL_2017-06-21-tweedekamer-13.u19	I give the floor to the Secretary of State for his answer.
ParlaMint-NL_2017-06-21-tweedekamer-13.u20	Mr. Chairman. I'm responding to the motions. I have a combined explanation of the motions on the items Nos. 359 and 365. Both require a separate payment title with a fixed rate or a separate claim to the care purchase. In the debate, we had a wide-ranging exchange of views on the advice of the Healthcare Authority. In terms of administrative burdens, the NZa sees more disadvantages than advantages to a separate claim. Moreover, a minimum rate is soon a maximum rate. If I am not mistaken, on 5 July we will be discussing the whole area of care. This includes prices and purchases for 2018. Could I ask the authors of both motions to hold their motion until the debate on 5 July?
ParlaMint-NL_2017-06-21-tweedekamer-13.u21	No, because the motions aren't the same. We want a separate payment title, but not within the district care. In the district care we want to go from fourteen products to one product. We advocate a separate payment title in the Health Insurance Act.
ParlaMint-NL_2017-06-21-tweedekamer-13.u22	The claim for community care is a claim in the Health Insurance Act. There's already a claim for case management dementia. The question is whether you want to make this a separate performance or a payment title and whether you want a separate rate for it. I can imagine that discussion, regardless of my appreciation of it. On 5 July we will talk about the district care, including prices and purchasing. My proposal is to discuss it in full there. I am also aware of the difference between the two motions, and Mrs Agema is right to do so.
ParlaMint-NL_2017-06-21-tweedekamer-13.u23	I don't really understand the usefulness and necessity of holding the motion. The Secretary of State must then undertake to work on it or to try to make it possible. Just holding a motion for a debate that is coming, I find a little crazy. I would like an assurance from the Secretary of State that he will at least investigate this or make it possible.
ParlaMint-NL_2017-06-21-tweedekamer-13.u24	In the debate I indicated that the Healthcare Authority sees more disadvantages than benefits from such a separate claim. I said in the debate: it must be the case that there are meters in the buying-in and the rates of care, including the right to care, including the claim to case management, so that we know that we are moving forward. If we do not think that is enough, then we must take further action, for example the proposed measures. I'm not ready for that myself. I just want to see what the agreements between the parties might be. As far as I am concerned, this is a debate that can be held. I would prefer not to, because I prefer to come to good agreements with the parties, keeping this behind us. We can discuss this with each other on 5 July.
ParlaMint-NL_2017-06-21-tweedekamer-13.u25	Finally, Mrs Agema.
ParlaMint-NL_2017-06-21-tweedekamer-13.u26	Can we then get a response to the motions before the debate on 5 July?
ParlaMint-NL_2017-06-21-tweedekamer-13.u27	You have actually already had that reaction in the debate: the Healthcare Authority advises negatively. In the debate I said: I take note of that. I'd like to talk to the parties to see if there's room for improvement. If these agreements are insufficient, I can always come up with further rules, for example this one. That is what I indicated in the debate.
ParlaMint-NL_2017-06-21-tweedekamer-13.u28	But can we get a report of that meeting with the parties before the debate?
ParlaMint-NL_2017-06-21-tweedekamer-13.u29	Actually, I can.
ParlaMint-NL_2017-06-21-tweedekamer-13.u30	That gives me a reason to hold the motion.
ParlaMint-NL_2017-06-21-tweedekamer-13.u31	At the request of Mrs Agema, I propose her motion (25424, No. 359). That is what is decided.
ParlaMint-NL_2017-06-21-tweedekamer-13.u32	What Mrs Agema and I share is what has also been said by the Dutch Healthcare Authority, namely that it is not going well with that case manager dementia, who guides people with dementia and their families. Mrs Agema makes her proposal, which I believe does not deviate much from the proposal already made by Hanke Bruins Slot in December 2015, and I am doing so today. As far as I am concerned, it is not a matter of principle, in the sense that, in the end, sufficient and good case management dementia must be bought at a rate appropriate to the substantive requirements that are imposed on it, and ultimately the waiting lists will also disappear. In the words of the Secretary of State just now, I would also like to continue my motion. I understand that he is going to inform us of the arrangements he has made with the health insurers before the general consultation on 5 July. The CDA will then assess whether that is sufficient and whether or not the motion should be put to the vote.
ParlaMint-NL_2017-06-21-tweedekamer-13.u33	At the request of Mrs Keijzer, I propose her motion (25424, No. 365). That is what is decided.
ParlaMint-NL_2017-06-21-tweedekamer-13.u34	Mrs. Agema, you were already...
ParlaMint-NL_2017-06-21-tweedekamer-13.u35	I know that, but I would like to say the following briefly for the Acts. We are really making a different proposal, because we believe that the care of the neighbourhood and the care of the sick should go from 14 products to one product and that a paid title should also be given to the case manager of dementia. That's something else...
ParlaMint-NL_2017-06-21-tweedekamer-13.u36	I think that was clear.
ParlaMint-NL_2017-06-21-tweedekamer-13.u37	... then go from 14 products to two products. That is why our motion is different from Mrs Keijzer's.
ParlaMint-NL_2017-06-21-tweedekamer-13.u38	I think that was clear. Thank you. I give the floor to the Secretary of State.
ParlaMint-NL_2017-06-21-tweedekamer-13.u39	Mr. Chairman. In the motion in part No. 360 calls for an additional incentive for health insurers to buy dementia care and improve risk settlement. Two comments. The first is that health insurers simply need to buy in good dementia care, whether the compensation system is further improved or not. That is the duty that health insurers already have. The second is perhaps also a bit of a hand-out in the direction of Mrs Agema. We are constantly trying to adjust the risk settlement and to see if risky groups can be better served. This is constantly being worked on on the basis of the proposals and the investigations we do each time. If I can understand her appeal in the motion in such a way that we give extra attention to this group, among other things, in that adjustment programme, I consider the motion to support policy and leave it to the Chamber. In the motion in part No. 361 is proposed to reduce the own risk by €100 for 2018. If I were to speak from my own background about my sympathy for this motion, it might be exhausting and I will therefore not do so. I note, however, that the motion is currently not sufficiently covered and I would therefore like to advise her against it. In the motion in part No. 362 I am invited, in consultation with the VNG, to disseminate knowledge of proven effective methods and to inform the Chamber of progress reports on the results. I believe that we have indeed exchanged in the debate that it is incredibly important that all parties in the care, municipalities and health insurance companies, as well as others, should be aware of and receive effective evidence of interventions in dementia, including case management. I consider the motion to support policy and leave it to the Chamber. In the motion in part No. 363 we are asked to actively draw the insurers' attention to their duty of care, with continuity as an irresistible starting point. That is exactly why we talk with health insurance companies and also with municipalities and healthcare providers about how we can make meters to better support people with dementia, including case management. I would also like to point out that we have asked the Healthcare Authority in particular to pay more attention to the fact that care purchases are now and will be carried out in a good way. That is precisely what this objective is achieving, and I therefore consider the motion to support policy. I'll leave the verdict on the motion to the Chamber. In the motion in part No. 364, with Alzheimer's Netherlands, the VNG and healthcare institutions, we are invited to take measures to ensure that everyone gets an offer of case management. If I could add to the motion 'and the health insurance companies', I would consider her to support policy and leave it to the Chamber.
ParlaMint-NL_2017-06-21-tweedekamer-13.u40	Mr President, I think that is a very good addition.
ParlaMint-NL_2017-06-21-tweedekamer-13.u41	This brings us to the end of the discussions on the VAO Dementie. The motions tabled will be put to the vote next Tuesday. I shall suspend the sitting for a short moment before we proceed with the next debate.
