Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	RaymondKnops	Knops, Raymond	M	1971	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u21	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2017-04-11-tweedekamer-5	ParlaMint-NL_2017-04-11-tweedekamer-5.u22	Report of the meeting of the Dutch Lower House, Meeting 66, Session 5 (2017-04-11)	2017-04-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 66	Sitting 2017-04-11	-	Reference	English	Regular	MP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
