ParlaMint-NL_2017-05-18-tweedekamer-8.u1	Let's pick up where we left off. We're gonna listen to the Secretary of State.
ParlaMint-NL_2017-05-18-tweedekamer-8.u13	Shortly, Mr. Graus.
ParlaMint-NL_2017-05-18-tweedekamer-8.u14	That was then. In the meantime, everyone knows, including scientists, that phosphate may be the new gold of the future. Phosphates are indispensable. Let me give you one example. IJsselmeerfishermen say: you can now look to the bottom, everything has become so clean, but the fish stocks have not gotten better. "Te" isn't good either. That is also where phosphates are needed. We've gone too far to the other side. I do not understand that such experts, our fishermen who call the bell and other people, are not being heard. Why doesn't China deliver us anymore? Why are the Moroccan mines exhausted? Because there's a shortage of phosphates. Why don't we extract and save? That is why I ask the Secretary of State what has been done so far with my motion calling for these precious and scarce phosphates to be extracted from animal manure, as well as from human faeces and urine in the future. How's that going? What are we going to do in this respect for the future?
ParlaMint-NL_2017-05-18-tweedekamer-8.u15	Mr Graus refers to the recovery of phosphates from the sewage system. He can see that a great deal is happening in that area. He also talks about the recovery of phosphate from manure. He has seen that there is also much innovation on this, also with support from the cabinet. All this doesn't take away the following. Why was total production already limited in the Netherlands? That was because we could not guarantee in the Netherlands that we would already export all this to other countries where they have a deficit, which Mr Graus says so beautifully. He also saw the recent publication of the PBL. For many years it has been a problem that measurements show that more manure has to end up on the Dutch soil than you could derive purely from the calculations. It is a fact that in the Netherlands, for example, we still have too much nitrate in groundwater and still do not meet the objectives of the Nitrates Directive. That is why the Netherlands still needs a slightly better position. We will have to show that we are better at keeping to the agreements before we can say: yes, but it is not really very much how much manure we produce, because we could all export that manure nicely. The policy is entirely aimed at ensuring that we actually export the surplus, but we will also have to prove it. And it is always good if, before you have a conversation with the European Commission, you first show that you keep the agreements you make with each other anyway.
ParlaMint-NL_2017-05-18-tweedekamer-8.u16	I think the Secretary of State had come about to the end of his first term.
ParlaMint-NL_2017-05-18-tweedekamer-8.u17	Sure.
ParlaMint-NL_2017-05-18-tweedekamer-8.u18	There's one more question I want to ask you. I found that in December 2016, there would be some 42,000 LU animals over 1 year old than in 2015. The pinky or heifer becomes a cow. Then there's a jump to 90,000 LU. I have asked whether this is taken into account in the calculation. I haven't had a response to that question.
ParlaMint-NL_2017-05-18-tweedekamer-8.u19	We take everything into account in the calculation, including this.
ParlaMint-NL_2017-05-18-tweedekamer-8.u20	That was a very short answer. At the end of my speech, I reflected on the words we are using at the moment. What are the words in the sector at the moment? Apart from "uncertainty," there is "little future perspective" and "unclearness." There is also talk of "stopping" and "remove." I would very much like to see a new perspective again, particularly for young farmers. I would very much like for them to have a future. So I would not like, so to speak, a stop-per arrangement, but a start-up arrangement. There must be continuity of policies. It was also an emergency call addressed to the Secretary of State, because I see young farmers now really almost go head-to-head because of everything that comes towards them. Would the Secretary of State care to reflect on that? What can we use in this period to learn lessons for the future, which gives young farmers new prospects?
ParlaMint-NL_2017-05-18-tweedekamer-8.u21	We are working with each other to ensure that the entire Dutch dairy farming keeps sufficient perspective. We also said that the loss of the derogation, the exception we have, would put enormous pressure on dairy farming. That's what we've been talking about before. This would put enormous pressure on dairy farming for young farmers too. The most important way to get a perspective is to make sure that we reverse that violation, which we are now committing for the third year in a row because dairy farming in the Netherlands produces too much phosphate. The situation in which we commit that offense must be restored. That takes just as much perseverance, even if there's a little turbulence. We should not all use the terms that Mrs Dik-Faber has just referred to. 'Cause it's just a bit of a bite. That must be done this year. I have already said a few times: it is not the government that has started producing too many phosphates, because that is what dairy farming does as a collective. With the regime we now have, the phosphate reduction plan as it stands, that surplus production is reduced again. That happens along three tracks. First of all, there's the feed trail. That is, of course, the least painful trail. Secondly, there is the stopper regime. This will give companies that wanted to quit anyway, with a lot of extra support. This really is a huge financial boost. Many entrepreneurs in the Netherlands who would like to end their business would wish that they would receive that support. Thirdly, there is the phosphate reduction scheme. This means that all companies that have grown since the government had already said that they should no longer grow should reduce their livestock. Those are companies that have knowingly continued to grow. I understand they're bothered by that. Of course, it's very nice if your company can get such a big size, but it's not that you didn't know it was coming once. They have gone for the individual interest for two years by getting bigger. Now, because of the collective importance of the derogation, it is said that they need to shrink. Yes, that goes with the instruments of the ministerial arrangement. I've said that a few times. We row with the belts we have. We sometimes have to adjust that arrangement over time, but it is important for everyone to know that if we continue to do so, we will simply achieve the goal.
ParlaMint-NL_2017-05-18-tweedekamer-8.u22	Thank you to the Secretary of State for the detailed answer.
ParlaMint-NL_2017-05-18-tweedekamer-8.u23	I have to say in all honesty that I looked a little familiar here and there. It helps if we just ask pointy questions and maybe give pointy answers, and assume that people also remember things and stuff. It's just a suggestion.
ParlaMint-NL_2017-05-18-tweedekamer-8.u24	Certainly, Mr. Chairman. We're talking about phosphate today.
ParlaMint-NL_2017-05-18-tweedekamer-8.u25	Well, well, well.
ParlaMint-NL_2017-05-18-tweedekamer-8.u26	I can assure you that this House has also dealt with methane, grazing, calf by cow and whether or not soil-bound. There are so many subjects which are projected into agriculture and which young farmers see coming towards them. Of course also the older generation, but especially the young farmers; it is about their future. So my question is actually broader than today's debate and today's debate.
ParlaMint-NL_2017-05-18-tweedekamer-8.u27	And also the subject of today.
ParlaMint-NL_2017-05-18-tweedekamer-8.u28	Yes, but you too will agree with me, Mr President, that we need to give young farmers a future perspective.
ParlaMint-NL_2017-05-18-tweedekamer-8.u29	But it's about phosphates now.
ParlaMint-NL_2017-05-18-tweedekamer-8.u30	I ask the Secretary of State for consistency, for future prospects, to be an ally of the sector, so that there really is new impetus among farmers.
ParlaMint-NL_2017-05-18-tweedekamer-8.u31	I'm trying to say something about it briefly and sharply. Maybe you'll get the most perspective on the future by learning lessons from what happened here. It is sometimes better to opt for action and regulation in the case of social questions, environmental questions that you see coming from afar, even if the sector itself has not yet fully realised that this is going to become inevitable. I say this also in the direction of the parties who always insist here that they are very much in favour of agriculture. Soft healers make stinky wounds. Well, that's turned out to be the case. Sometimes it's better to bite and bite on time instead of putting off issues that you know are coming. That is perhaps an advice to the parties that are going to form a future coalition with each other, which I am sure she will receive some of these kinds of questions. How do you proceed with the entire livestock farming in the Netherlands? It is inevitable that you will face a number of difficult decisions.
ParlaMint-NL_2017-05-18-tweedekamer-8.u32	We are moving towards the second term, but first of all an interruption by Mr Grashoff.
ParlaMint-NL_2017-05-18-tweedekamer-8.u33	I'll come back to my half-interruption from earlier on about the rare races. There is another aspect that I think was the essence of what I just wanted to know, but the Secretary of State went into another aspect. In the new system of rights, skimming takes place when rights are transferred from one owner to another. In that sense, I know that there is no difference in treatment between common cow breeds and the rare breeds. This means that this skimming is indeed taking place. Does the Secretary of State agree with me that this is an undesirable element in the law and that, in the sense of the adjustments that have now been made to the phosphate reduction plan, we should remove this element for these cow breeds from the law?
ParlaMint-NL_2017-05-18-tweedekamer-8.u34	No, because the rights are not tied to the cows. It doesn't say in the rights that they're meant for rare breeds or for other breeds. If one farmer sells or loses his rights to another, that is just a business agreement, which we have incorporated into the law that 10% is skimmed off at the time of the transfer to fill the phosphate bank. This phosphate bank allows farmers to obtain exemptions to produce phosphate without having sufficient rights to do so, in particular for land-based targets, which support young farmers, who go beyond European environmental standards and therefore also support sustainability. That's how we agreed. Whether a farmer also has rare cattle breeds and then sells his rights or not, it does not matter very much.
ParlaMint-NL_2017-05-18-tweedekamer-8.u35	That still seems to me to be the way I hear it from the field, too, a provision which can be quite negative in keeping these cattle breeds. Does the Secretary of State agree with me?
ParlaMint-NL_2017-05-18-tweedekamer-8.u36	No, I don't see that. I do not see why, if one farmer sells his rights to another, where the government then skims 10% of that transaction, that will necessarily have an immediate effect on holders of rare cattle breeds. One simply gets rights based on the situation on 2 July 2015. It takes into account phosphate excretion, which is sometimes slightly lower in rare cattle breeds. In itself, therefore, all this has been incorporated into the system which takes this into account. If you then decide to sell the rights, it will just take 10% of them, but I don't see very well what that will have for those rare breeds of cattle.
ParlaMint-NL_2017-05-18-tweedekamer-8.u37	Very good. Then we have come to the end of the first term. We are going to see if there is any interest in speaking in second term. The last speaker from the Chamber, Mr Graus, waived his speaking time. I say this as a domestic communication, but also as a small suggestion. But Mr Geurts is not responding, I see again. The floor is up to him.
ParlaMint-NL_2017-05-18-tweedekamer-8.u38	Mr. Chairman. Thank you to the Secretary of State for the answers. It will not be the last time we talk about dairy farming and the situation in dairy farming, I think. The CDA isn't coming up with any additional motions today. However, I would ask the Secretary of State to do everything in his power to get the RVO to deal with questions and objections from farmers and farmers as soon as possible. I believe that it is now important to clarify this dossier further. From the words of the Secretary of State, I say that we are almost there, but he also had quite a disclaimer. We must not forget them. I await with interest the letter on the percentage of the further reduction. Let me come back to the situation where the State may lose an appeal. Let me rephrase the question: has the Secretary of State already discussed with the sector the possibility of the State losing the appeal and possibly subsequent claims? I would like an answer from the Secretary of State. In conclusion, I think that today we can see that farmers and farmers are delivering an achievement of mega-size in the Netherlands now that they are already so far away from the reduction.
ParlaMint-NL_2017-05-18-tweedekamer-8.u39	Thank you. We are going to listen to Mrs Ouwehand from the Group of the Party of Animals.
ParlaMint-NL_2017-05-18-tweedekamer-8.u40	Mr. Chairman. The end is not yet in sight, as we can see, but the words of the Secretary of State to look at all the challenges, to put it euphemistically, that are at the door of agriculture in conjunction and also to come up with measures in good time so that farmers know where they stand, seem to point in the direction that we must. Let us hope that the forming parties can see that for themselves. If you really have the best interests with the farmers, then you are also prepared for the future. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is at all certain that the Netherlands can retain its derogation;]] [[Considers that precautions should be taken to ensure that there are no additional quantities of animals to be disposed of;]] [[calls on the Government to control the size of the dairy herd by restricting the breeding and landing of animals in dairy farming,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas organic, biodynamic and actual land-based dairy farms do not contribute to the phosphorus surplus;]] [[Recalling that organic and biodynamic farmers do not make use of the derogation;]] [[noting that the court has ruled that organic, biodynamic or land-based farmers, who do not make use of the derogation, do not have to cooperate with a phosphate reduction plan aimed at maintaining that derogation;]] [[calls on the Government to withdraw the appeal it has brought and to exempt the effectively land-based, organic and biodynamic dairy farms from the phosphate reduction measures,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33037-204]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33037-205]]
ParlaMint-NL_2017-05-18-tweedekamer-8.u41	Mr. Chairman. I would like to thank the Secretary of State for the first-term response. The positive thing about this debate is that we can see that the sector is well on its way and is on its way to achieving the reduction. I have already congratulated you on that in the first term. I fully support that, especially after the update of the numbers. I indicated in the first term that my group has a great deal of concern about the judge's ruling. These are the equivalent cases and the claims of farmers who may fall into the same category but who have already disposed of animals. This ruling will undoubtedly also affect those categories in the Phosphate Act. Furthermore, an ever smaller group will be responsible for achieving the reduction target. That's what we're worried about. The Secretary of State has dealt with a number of elements and I understand that because of the appeal, he will not go into this further. This debate will certainly be followed up at the time when the appeal is served. Hopefully this will be clarified in August. We await the young cattle number, but I still urge the Secretary of State, perhaps together with the sector, to take up the communication about any change, but also about progress, and to shape it in a broader way than just with letters to the Chamber. How is the Secretary of State going to ensure better and more communication? I asked another question in the first term, which the Secretary of State took note of. These are matters that lie with RVO. I am therefore happy to see the answer in writing.
ParlaMint-NL_2017-05-18-tweedekamer-8.u42	Mr. Chairman. I thank the Secretary of State for answering all the questions. I am not going to repeat my first-term input point by point. Words that have stuck with me are: keep course, the sector is on the way to achieving the objectives. I really hope it works. Therefore, I am not going to table a motion that is going to cripple an appeal or whatever, because that only increases the confusion and uncertainty. I think it is very important that we get out of this lousy time as soon as possible and that there is really new momentum and that there is a future for young farmers and for dairy farming in our country. I would like to table a motion on the subject of young farmers. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas due to the need to reduce phosphate production and the introduction of marketable phosphate rights, the prospects for young farmers have deteriorated;]] [[Whereas a phosphate bank is established, fed by phosphate rights removed by transfer, and which are subsequently eligible, in particular, for land-based dairy farmers with growth areas and plans;]] [[Considers that young farmers, especially start-ups who have just taken over a business, deserve perspective on a future-proof business;]] [[calls on the government to offer future prospects for dairy farming in the Netherlands by strengthening the position of young land-based farmers, including through the phosphate bank and the commitment to the new common agricultural policy,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33037-206]]
ParlaMint-NL_2017-05-18-tweedekamer-8.u43	Mr. Chairman. We must note that we are well on our way and that this is well substantiated. It is important to give clarity to dairy farmers with precise figures in June. I am not reassured by the words of the Secretary of State when it comes to the other animal categories. The Secretary of State is right to say that it may be in the interests of the sector to simply bite through, literally, and proactively come up with measures. Nevertheless, my question is how the Secretary of State sees the growth of the other categories of meat cattle from 10.1 to 10.8...........................................................................................................................................................................................
ParlaMint-NL_2017-05-18-tweedekamer-8.u44	Mr. Chairman. We had a little debate about a possible difference in relation to 2017 and 2018. We are tabling a motion on that. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Calls on the Government to adapt the bottleneck provision in the Phosphate Reduction Scheme 2017 in such a way that it corresponds in substance to the bottleneck provision in the Phosphate Act,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Dijkgraaf, Mr Dik-Faber and Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33037-207]]
ParlaMint-NL_2017-05-18-tweedekamer-8.u45	Now the Secretary of State will repeat in a moment that there is no difference and therefore declare the motion superfluous. I'll hold the motion then. That is my prediction of the course of the debate in a moment's time.
ParlaMint-NL_2017-05-18-tweedekamer-8.u46	You're thinking a little ahead.
ParlaMint-NL_2017-05-18-tweedekamer-8.u47	Then let's see if there's really a difference. I have looked at the case again and in my opinion there is no meant difference but there is a literal, verbatim difference which makes legal interpretations different in 2017 and 2018. If not, then there is no problem and the motion goes into the trash. If that is the case, then either the Secretary of State will amend the arrangement or I will file a motion. But that seems to me to be a further step forward. I think the biggest difference of opinion between the Secretary of State and me has to do with the assessment of whether all this was foreseeable for the troubles. We can discuss this for a very long time, but I believe that it is indeed best to wait for that trial to take place. However, should that case prove that the judgment remains valid, it will have major consequences on the left or right. I hope it is not necessary, but I am afraid that we will have a solid debate again.
ParlaMint-NL_2017-05-18-tweedekamer-8.u48	Mrs. Kuik will waive her speaking time. I call Mr Grashoff van GroenLinks.
ParlaMint-NL_2017-05-18-tweedekamer-8.u49	Mr. Chairman. The good news was that a considerable blow was made in reducing phosphate emissions; that is the 4.5 million kilos. The less good news is that there is and remains a high degree of uncertainty, especially about the appeal ruling and its consequences. In any event, I ask the Secretary of State to inform the Chamber immediately as soon as that appeal comes out and to link it directly to what actions he intends to take. I say that all the more so because a verdict might fall into the summer recess. I think the matter is so urgent that I can even imagine the Chamber coming back from recess because there really is no time to lose. This obviously depends on the nature of that appeal. Then two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that since 2000 the number of goats in the Netherlands has almost tripled to 500,000 goats in 2016 and continues to grow rapidly;]] [[Whereas continued growth in the number of goats in the Netherlands leads to additional phosphorus emissions and other environmental and health risks;]] [[calls on the Government, through animal rights, to limit the growth of goat farming and to inform the Chamber before 1 September 2017,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, in this Sector Understanding, organic dairy farmers should contribute to the reduction of livestock in 2017, while not causing the phosphate problem;]] [[Considering that the Hague Court also indicated that organic farmers are being disproportionately affected because they do not contribute to the phosphate surplus because they remain well below European standards;]] [[noting that the State Secretary appealed against the judgment;]] [[calls on the Government to consider a derogation for organic farmers and to submit a proposal to the Court immediately after the appeal judgment, if the judgment gives rise to it,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Grashoff and Mr Futselaar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33037-208]] [[This motion was tabled by Mr Grashoff. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33037-209]]
ParlaMint-NL_2017-05-18-tweedekamer-8.u50	Mr. Chairman. We have been discussing for quite some time in this debate the question of whose fault the current situation is. I have to say that I find it more interesting to know what we can learn from this for the files that are still before us. In this respect, I was somewhat in agreement with the words spoken by the Secretary of State at the end of his speech about soft healers and their effects. I'm filing two motions on behalf of the SP. The first is quite similar to Mrs Ouwehand's second motion and Mr Grashoff's motion, but it is quite different in terms of language. So I'm gonna serve her up anyway. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas biological mixed farms are not responsible for the problems for which the phosphate reduction plan has been established;]] [[noting that the court has also held that proportionality is compromised if organic livestock farms are fined for a problem to which they do not contribute;]] [[calls on the Government to exclude organic mixed farms as a whole from the scheme,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Futselaar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33037-210]]
ParlaMint-NL_2017-05-18-tweedekamer-8.u51	My second motion is in line with my own contribution, but also with what Mrs Lodder said about the importance of communication. I don't think it's been good enough in recent times. However, I also believe that it is important for the Secretary of State to take the lead in the field of communication and that he states that it is a government regulation and therefore the government is primarily responsible for communicating this regulation. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is considerable uncertainty and uncertainty about the content and consequences of the phosphate reduction plan 2017 in the livestock sector;]] [[calls on the government to launch a communication offensive immediately to inform the companies concerned in clear and unambiguous language of the current state of play,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Futselaar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33037-211]]
ParlaMint-NL_2017-05-18-tweedekamer-8.u52	I call the Secretary of State.
ParlaMint-NL_2017-05-18-tweedekamer-8.u53	Mr. Chairman. I thank the members of the Chamber. Some motions have been tabled and questions have been put, but friendly words have also been spoken. I think it's always good to mark that. Mr Geurts, Mrs Lodders and Mr De Groot, among others, welcomed the results achieved so far. Let me thank them for that. Besides, I'm saying that we don't sell the skin until the bear's really shot. I stressed in the first term that we really need to take another step in this direction and ensure that we keep the results. But if we're gonna keep our course and stick together this year, we're gonna have to be okay. With that blow to the arm, I would like to say that I very much appreciated this from these Members. Mr Geurts said that everything must be done to get RVO to deal with the concerns and questions as quickly as possible in order to clarify them as quickly as possible. That's true, and that's what I'm saying. It is also RVO's commitment to doing so. Mr Geurts understands that I do not want to speculate on what should happen if we lose the case on appeal, or some of the cases, because, of course, they are multiple cases. He asked if I have already talked to the sector organisations about as-the-scenarios. We are obviously discussing everything with each other, including those kinds of scenarios, but Mr Geurts asked what this means in concrete terms and what this might mean for claims. In doing so, he asks something that we cannot possibly do at this stage, because you really need to know what the judge's ruling is and what exactly is the situation in which that ruling is seen. You also need to be able to estimate how many similar companies there are, etc., etc., etc., etc. So that is something that we can only really judge with each other when we have appeals. That's why that's an important judge's ruling. Mrs. Lodders asked about the communication. Mr Futselaar has tabled a motion for a resolution on this matter. She said that there should be better communication about changes. My opinion is that there is maximum communication about any change, both by the sector organisations and by RVO and from the Ministry itself, including on my behalf. It is always explained as well as possible how the scheme works, how it works and how it works. But if the signal from the Chamber is that we must do our utmost in this respect and try to do so as clearly as possible and, where there may be some uncertainty, to give more clarity, I am of course happy to say so, because that is certainly the commitment of all those involved. I have also discussed with the sector organisations before what role they can play in communicating to their supporters. We should not neglect that, because it is important that they take up this role properly. They have said that they want to do so.
ParlaMint-NL_2017-05-18-tweedekamer-8.u54	Certainly, I believe that both sides have a responsibility in this. It's not so much an opinion of mine. In my opinion, I base this opinion on the many people's hundreds of emails with questions about the lack of clarity that prevails. I think we have enough agricultural media in which this can be done very well. The Secretary of State has a wonderful team in the Ministry that can advise him on that point. I would be very grateful if we could take a more firm step on this point, but I am, of course, waiting for the opinion on Mr Futselaar's motion.
