ParlaMint-BG_2014-10-31.u1	There is a quorum. I'm opening the plenary session. [[PHONE RINGING]] Procedure, Mr. Tzipov.
ParlaMint-BG_2014-10-31.u14	For the destruction of documents in the days before the bank was placed under special supervision, but other reasons are possible for the missing documentation. Thus, in the case of already exhausted and non-available liquid assets and in the case of unestablished capital adequacy, it is not possible to provide liquidity to CCB from either the central bank in its function as a creditor of the last instance or from the State. The BNB and the government conclude that in the case of incomplete information and insufficient data on the quality of the assets of KTB, the initial plan involving state participation in the capital of the bank is not justified. On 25.07.2014 the Quaestors of KTB presented a Report on the current state of the bank. The report presented the Bank's outstanding financial statement as of 30.06.2014. The bank's financial result as of 30.06.2014 is a loss of 65.3 million. lv. and is entirely due to the monthly expenses charged for the impairments of the loan portfolio. On 16.09.2014 the Governing Council of BNB decided to extend the period of special supervision for CCB AD and Commercial Bank lv. As of September 2014, and for the Commercial Bank, the total amount of 285 786 thousand for the Bank of Commerce (Victoria) EAD amounted to 285 786 thousand. lv. The BNB takes the view that before a clear assessment of the quality of assets and the capital adequacy of CCB is made, it is not possible to take economically justified and legally binding decisions about the future of the bank. On the basis of the outcome of the valuation of CCB assets, the reported ratio of its capital adequacy and the investment intentions of EPIC in the period from 01.11.2014 to 20.11.2014 a final decision on CCB should be taken. With regard to the Commercial Bank "Victoria" EAD, BNB states that because CCB is under special supervision due to a shortage of liquidity it cannot provide liquid support to the Commercial Bank "Victoria" EAD. Accordingly, the Bank of Commerce (SOE) does not have liquid assets to meet the requirements of BNB Ordinance No 6 and against which it can obtain liquidity from BNB under the last resort creditor rules. Regardless of the fact that the valuation of the assets and supervisory accounts of the Commercial Bank However, at this stage, given the uncertainty of CCB's capital adequacy, it cannot be demonstrated to the European Commission that CCB has a sufficient level of capital adequacy to obtain State aid. Therefore, the only source of liquidity to the Bank of Commerce remains the sale of illiquid assets. On this basis, the Quaestors of TB are given orders to take action to prepare for a tender procedure for the sale of parts of the bank's loan portfolio in order to secure the necessary liquidity to meet the bank's obligation to depositors and creditors. As regards the CCB, the analysis and valuation of the bank's assets carried out by audit firms in the period 05.08. - 20.10.2014 indicates that the total amount of all assets of the bank amounts to 6 662 million. lv. The conclusion of the audit firms is that there is a need for impairments of assets of the bank of a total amount of 4 222 million. lv. The bank's highly liquid funds, cash on central bank accounts and available at 30.09.2014 are 331 million. lv. The Commission therefore concludes that the measures in question are compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. lv. Compared to 30.06.2014 it is the result of a transfer on accounts to BNB of funds held in correspondent accounts in commercial banks and proceeds from claims on principals and interest. For the period, costs of impairments resulting from disclosed losses and re-classification of exposures have been charged: 1. The biggest losses were the result of the accounting operation carried out on 20.06.2014 reflecting the withdrawal of a bank of 206 million. lv. against an unfulfilled obligation of the company for the return of the paörs on 30.06.2014, which was reported as an asset in the form of this claim. In practice, there are no clear grounds for its actual existence or for its actual collection by the bank. Therefore, its value is zero in accordance with the standards for the recognition of assets under International Financial Reporting Standards. 2. Another similar operation was established during the period considered. As a result of a loan-based provision of government securities worth 80 million EUR to the SFC-IME-AD, which it is neither able to return (or recover) nor alternative to pay the due remuneration, the amounts reported as part of the SIC investment portfolio are reskilled in a claim by the SCC-IME-AD. As the company is in insolvency proceedings and the probability of this claim being collected is minimal, the latter is devalued at 100%. 3. The loan portfolio's carrying amount as of 30 September 2014 reflected a valuation of 148 million. lv. under the policy in force until 20 August 2014 for determining impairment losses. The results of the valuation carried out by audit firms of the bank's main balance sheet positions, including credit samples, investment portfolio, securities, other assets, real estate, which includes exposures of 138 borrowers with a total amount of liabilities as of 30 September 2014. The Commission therefore concludes that the measures in question are compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. BGN, or 96.6% of the total corporate loan portfolio are the following: 1. For 14 borrowers with a total exposure amount of 441 million lv. there is no indication of impairment or impairment is minimal. Although no significant valid collateral has been identified in five cases, the financial situation of the companies gives rise to the conclusion that depreciations of 46 million are required for this group. lv. 2. For 29 borrowers with a total exposure amount of 888 million. lv. an operating activity has been established, the results of which do not support sufficiently the servicing of its loans. For these companies there are significant signs of deterioration of their financial situation.. permanently decreasing revenues and/or profits, loss of activity, negative equity and so on; and/or business, whose business is not comparable to the size or purpose of the loan granted; for four of the companies no valid collateral has been identified. In total, for this group, the conclusion is that depreciations of 594 million are required. lv. 3. A group of 6 borrowers with a total exposure of 377 million. lv. can be defined as companies with a high level of business dependence on a small number of related parties. In general, depreciations of 216 million are required for the group. lv. 4. The largest group of 82 borrowers consists of those who, in their dominant part, do not have their own operating activity or it is highly limited and their revenues are generated entirely or predominantly by third parties. The total exposure of all companies in the group was 3434 million. BGN, or 64% of the loan portfolio. These are companies and holding companies whose main activity is primarily investment, in many cases without own personnel and other operating activities. Many of them were born, i.e. created within 12 months before the first loan was granted, or for the purpose of acquiring shares and shares in other companies. As of 30 September 2014, as a result of the analysis of borrowers in this category, the debt coverage ratio with valid collateral, taking into account their recoverable value, is only around 2%. According to the balance sheet of borrowers of this group in cases where they are available, a large part of them account for significant claims on third parties or investments in other undertakings. The conclusion of the assessment is that for this loan group there are grounds for charging material impairment of 3021 million. lv. 5. Its ability to service loans is a group of 5 companies which, although operating, do not achieve results enabling the servicing of the loans, but the valid collateral, as far as it exists, is of limited value. At an exposure of 172 million lv. This group requires an impairment of 166 million. lv. 6. As a separate group, two companies have been identified for which a bankruptcy procedure has already been opened and the expected loss has been estimated at 14 million. lv. As of 30 September 2014, the total amount of the gross book value of the loans in the sample amounted to 5335 million. lv. with an assessment of the necessary impairments of 4057 million. lv. The conclusion of the audit firms' reports is that there is a need for depreciations of securities of 144 million. lv. The auditors' reports are provided in the Sofia City Prosecutor's Office due to a number of omissions made by the bank before it was placed under special supervision, which make the financial and supervisory reports presented by its management to the Bank's supervisory board of BNB unreliable and misleading. The findings and conclusions in the report of the supervisory inspection carried out in the period 7 July 2014 confirm the conclusions made as a result of the audit companies' reports for the analysis and assessment of the assets of CCB, namely that the control and management bodies of the bank have applied vicious banking and business practices, thus presenting false and misleading financial and supervisory reports for years. That is why this report was sent to the Sofia City Prosecutor's Office. The report of the Bulgarian National Bank describes in detail its work with the main shareholders of the Corporate Commercial Bank (BNB) in the search for a solution in relation to the situation in the bank, the work with the European Banking Authority on the occasion of the initiation of a review of the quality, capacity, practices and procedures of the management of the Bank in BNB, the work with the International Monetary Fund and the request for the organization of a mission of the International Monetary Fund in Bulgaria, the opinion of the Bulgarian side on the occasion of a infringement procedure initiated by the European Commission on 25 September 2014 in relation to failure to comply with the obligations arising for Bulgaria, according to Art. 1 (3) and Article 10 (1) of Directive 94/19/EC, as amended by Directive 2009/14/EC, as regards the failure to secure access to deposits in the Corporate Commercial Bank. In the debates held on the report of the Bulgarian National Bank, the members of the Temporary Committee on Budget and Finance raised numerous questions related to the bank supervision carried out, with the methodology under which the audit checks were carried out, the possible decisions on the case of the Corporate Commercial Bank. Following the discussions on the report, the Temporary Committee on Budget and Finance proposes to the National Assembly to examine and adopt the following draft decision: The National Assembly on the grounds of art. 86, para. 1 of the Constitution of the Republic of Bulgaria HAS DECIDED 1. The Council of Ministers, together with the Bulgarian National Bank and the Financial Supervision Commission, shall carry out an analysis of the Law on the Bulgarian National Bank, the Law on Credit Institutions and the Law on Guarantee of Deposits in Banks and shall submit legislative amendments to the National Assembly in accordance with the law of the European Union in the field of Banking, which shall ensure the effectiveness of the banking supervision and stability of the banking system in Bulgaria. 2. The National Assembly shall, by 6 November 2014, adopt legislative amendments to ensure the payment of guaranteed deposits under the conditions and within the time limits laid down in European Union law. 3. The National Assembly, by 6 November 2014, shall adopt amendments to the Credit Institutions Act, which shall oblige the Bulgarian National Bank to propose measures to rescue banks when their own capital becomes negative, taking into account the macroeconomic effect and effect on the state budget. 4. In order to protect the public interest more effectively and the interest of the depositors in the Corporate Commercial Bank relating to the need to follow up on the activities carried out by the shareholders and administrators of the Bank as well as related persons, assets, assets, financial instruments and cash transfers, it recommends to the Bulgarian National Bank to enter into a contract with an international legal person with experience in this field, including in the investigation and tracking of cash flows in insolvency. The draft decision has been adopted under the heading. 1, 2 and 4 with 12 votes.... 4 votes against...................................................................................................................................................................................................................................................... 3 votes for 6 votes against 6 votes without abstentions and abstentions and thanks.
ParlaMint-BG_2014-10-31.u15	Thank you, Mrs. Yordanova. Before we move on to the debates, I would like to inform the MPs, in view of the distribution in the Rules, what is the time available to each of the parliamentary groups. In accordance with art. 54, para. 1 of the smallest parliamentary groups have 15 minutes, and the largest with 30. In view of the total time, the following result is received: the group of GERB has 30 minutes, the group of the BSP left Bulgaria The debates are open. Before that, the procedure.
ParlaMint-BG_2014-10-31.u16	Thank you, Madam President. Honourable Members, I propose that I make a procedure with the following proposal - to invite here in plenary, former Prime Minister Boyko Borisov to come to work because, as we all know, in his day... [[(Noise and lines from GERB, calls:]] That's the bank that built up huge finances. He's got a lot to say about that. Let's not forget that Mr. Borisov was the one who, in this period when the bank went bankrupt, he was the one who most went public and had the most to say, so my constructive procedural proposal is to invite him Mr. Borisov. Madam President, I ask you to put this to the vote.
ParlaMint-BG_2014-10-31.u17	Mr. Chukolov, the participation of the MPs in the plenary is not fixed in the Rules and there is no procedure to invite him. Everyone's invited, Mr. Chukolov. All Members of the National Assembly shall be invited to attend the plenary. Since there were obstructions from the group of BSP left Bulgaria in relation to the time distribution, I read verbatim art. 54, para. 1: Art. 54. (1) The President shall determine the time to discuss each item on the agenda, as well as the day and time at which the vote on it will take place. The time for discussion shall be allocated to the parliamentary groups depending on their numbers, and for the smallest of them it shall not be less than 15 minutes, but for the largest of them 30 minutes. In total, the speaking time of the MPs not members of a parliamentary group shall be up to 15 minutes and of the individual MPs not members of a parliamentary group within 5 minutes. We have one MP who doesn't belong to a parliamentary group, so I announced 5 minutes. Mr. Bojinov, I read it for you. Meet the still-acting Rules of the Forty-Second National Assembly. Debates are open. [[Attack call: "Procedure!."]] Mr. Alexandrov's procedure.
ParlaMint-BG_2014-10-31.u18	Madam President, honourable Members! On the basis of a publication in the Banker, that BNB's report is another manipulation by CCB executives, I am making a procedural proposal to vote on it and to invite the directors in question, because they are part of the country as well. If we are going to save something with state money and we are going to debate, they should also be here, so I am making a procedural proposal to invite Orlin Rusev, Ilian Zafirov, Georgi Hristov and Alexander Pantaleev. Thank you.
ParlaMint-BG_2014-10-31.u19	I shall put the proposal to the vote. They voted 130 MPs: 36, against 37, abstention 57. The offer is not accepted. Mr. Dimitrov to speak, please. To remind you that the debates have been opened because it's been a while since I found them.
ParlaMint-BG_2014-10-31.u20	Dear Madam President, Mr Minister, ladies and gentlemen of the House! The subject is, without any doubt, extremely important, and that is why we in the Reformation Block from the outset want to make the procedural proposal the four points to be voted separately so that the attitude of each parliamentary group can be expressed on each of them. One of the best things that is happening with this draft decision is the proposal for an international investigation, which we from the Reformation Block have been insisting on since the beginning, because this is mandatory because if an international investigation is not conducted, the people who are involved in this extremely unpleasant scheme will repeat it after years if in the banking system, whether somewhere else, but there will be a repetition, that is to say clearly, they will like it. Therefore, as a parliament today, we must take the firm decision to investigate to a hole, to follow up and to return the money. Often, certain individuals try to make the suggestion: Forget these 4.22 billion. lv.! They're gone now! Forget them! Write them off! And that's not true. Some of this money, and relatively much of it, can be sent back through a company that specializes in such investigations and which has conducted such investigations in similar cases throughout the civilized world. This must happen and I am convinced that this topic can unite the Bulgarian Parliament, all of us to vote on it, all of us to support this. If someone decides not to support it, it will be interesting to share their motives with all of us, only simply hiring a company with a competition is not enough. This company, which will be hired, must have done these activities already and successfully done them for similar cases with similar banks anywhere in the world, managed to return the money, managed to expose the guilty and provide a list with them to the competent authorities so that they could be tried and held accountable. So, indeed, this is the most important decision that we may make today, and it can be consensual for the National Assembly! From there on out, guys. We in the Reformation Block have concerns about point 3, the type of point 3 and the way it is proposed. And I will immediately explain these concerns in the most specific way. First of all, what is the cheapest way to continue, for society, the cheapest, most profitable way, the most effective way to resolve the KTB issue? This is if the State provides a guarantee for the borrowing of the Deposit Guarantee Fund because there is no money movement, there is no increase in the budget deficit, and the Fund has its own revenue to cover the loan taken, i.e. the risk to the State is lower than any other alternative. This is the cheapest way, because as the third point is recorded, the question is asked: "Which is the cheapest way for Bulgarian society? Here, this is the cheapest way for the State guarantee with which the Fund to take credit. Remember, the Fund has its own revenue. With this own income, he can pay back credits. If this compares it to the other alternative that is somehow offered to us, but not obviously, if the other alternative is government money to go to the Corporate Commercial Bank, we are against for several reasons. First, when state money goes to a bank with negative equity, and here is Minister Porozhanov, consider this a question to you, this should reflect as an increase in deficit. Colleagues, we are already looking at the updated budget, with a deficit of about 4%. Imagine what would happen if new funds had to go to increase the budget deficit. In a similar situation in Slovenia, the money the state used to save banks was reflected as an increased budget deficit, which became a systemic problem for the state afterwards. Do we want a systemic problem for Bulgaria? There are also moral arguments, colleagues. Why give government money to save a bank when we have perfect legislation that can be implemented? I have heard representatives of all parliamentary groups say how good Bulgarian legislation is in this area. Well, if we've all been sincere, we should be applying it now, not looking for loopholes. We have another very important argument, and it is as follows: those of you who were at the Temporary Budget Committee which was discussing these issues, we have all heard several very disturbing facts presented by the guests who were in the Commission, namely that there are currently, listen well: applications between 500 and 600 million. lv. of requests for destinations and intercepts with regard to CCB. You're not all economists, you're not all lawyers, and you don't have to know what that means. This means, in fact, the following thing: that at the moment, that now, that potentially unwarranted deposits can be made today before guaranteed deposits can be made. How does that work? Through assignments and intercepts. And if we, if the National Assembly decides to extend the term, for example, from the accounting of negative capital to the withdrawal of the licence, because this is, as I understand it, one idea, if there are other ideas, it would be right to present them, that would mean this period for assignments and intercepts to extend it potentially. If there is a way to resolve this, I would be delighted to have my fellow Members propose it. But if we do this thing, fellow Members, eventually there is a huge risk that the Deposit Guarantee Fund will be damaged, because it is logical that this is economic logic, that the best loans will be involved in these ceding and intercept operations. That makes sense! And with them it is logical to make ungaranted deposits at the moment. For this reason we have reservations to point three, but we believe that they in the debate and in the talks between us and GERB, and the other parties are decided. We believe that proper editing can be found so that these issues can be resolved and our concerns can be eliminated. And ultimately, colleagues, a key question is why, if the Bulgarian legislation on this topic is defined as good? I remember there was a peer review that tracked and analyzed the Bulgarian legislation in this area and assessed it as one of the best in the European Union. Why, if that's the case, should we start changing it at the last minute, at the 90th minute of the game? Then if any other bank, God forbid ever, I wish it never happened, falls into such a situation, they will want the same. That is, if we give State money to a bank with negative equity now, every bank in Bulgaria will know that tomorrow could demand the same thing. And what argument would we have?! This Parliament or the future Parliament, what argument will we have, fellow Members, to refuse?! It is therefore right to abide by the law as to what it is, simply because it is more honest. Ladies and gentlemen, I conclude with what I have started with, we insist that the four points be voted separately so that we can strongly support the first, second and fourth points and express our reservations to point three, and we are ready to resolve and edit it so that our concerns are dropped. Thank you for your attention. [[Applause from RB.]]
ParlaMint-BG_2014-10-31.u21	Thank you, Mr. Dimitrov. - What's the line? Mrs. Menda Stoyanova.
ParlaMint-BG_2014-10-31.u22	Thank you, Madam President. Dear Minister, dear colleagues! Dear Mr. Dimitrov, I was a little surprised by your speech because I thought today the National Assembly would consider the report which was submitted about what the Quaestors have established, what the auditors have established, what has happened to this bank. So today we have to deal with this, but weirdly why you focused your speech and your attention, and perhaps you want to divert the House from this debate and direct it to the debate on the draft decision. I am making this line to ask you, as well as to tell colleagues: what, honourable Members, of what Mr. Dimitrov expressed as concerns is written in the Draft Decision, item three, that the National Assembly should adopt amendments to the Law on Credit Institutions, which would oblige BNB to propose actions to rescue banks when their own capital becomes negative, taking into account the macroeconomic effect and the effect on the state budget? What, Mr. Dimitrov, did you see here about pouring government funds, about other things that you expressed from this tribune? And regarding what you said at the end of your speech, that we have a wonderful legislation. The legislation is really good and is in line with European norms and directives, but you probably do not know, Mr. Dimitrov, that by the end of this year we remain two months in which we are obliged to transpose the European directive, in which there is a whole chapter on Restructuring of Banks and which precisely regulates these ways, approaches in such cases, so we do not find America. On the contrary, we have not done our job because if we had transposed these texts earlier, we would not be having this debate. [[Applause from GERB.]]
ParlaMint-BG_2014-10-31.u23	Second line please, Mr. Bayraktarov.
ParlaMint-BG_2014-10-31.u24	Mrs. Chairman! Dear Mr. Dimitrov, I am addressing you as a fellow economist. It is incomprehensible to me what you expressed in your speech today for two simple reasons. Today, the Bulgarian Parliament is on its head not only in what way to get out of the situation named KTB. Today, honourable Members, we are facing a much more serious issue. We must save 12% of the Bulgarian economy today. For me, it is an incomprehensible shift in the subject when we need to look at and unravel this report, in which we do not have information on how many percent of the deposits are so-called "invokes with interest rates' that are not subject to guarantee and return, because this is an extremely serious issue. Tomorrow we can make changes to the law either today, and the situation is absolutely identical and the same.. people can not get their money, because it says, if memory does not lie to me, art. 5 of the Deposit Guarantee Act. I ask you here to listen to those gentlemen who are trying to shift the subject, blazing on the string called "popularism" because is it the decision of the bank to enter a bankruptcy procedure, otherwise referred to as bankruptcy, which is in no way clear that it is not a solution, the state is not prepared?! Where was banking supervision for 11 years?! Did you get, Mr. Dimitrov, and you, colleagues, an answer to another topic that alongside the problems of KTB is saving another bank? Mr. Chobanov, don't look at me smart, because you were a minister. [[Laughter and excitement.]] I ask you, you must give here today an answer: were you warned by Financial Intelligence about problems with the banking system? Thank you. [[Noise and lines from DPS.]]
ParlaMint-BG_2014-10-31.u25	Third line.. Mrs. Diana Yordanova.
ParlaMint-BG_2014-10-31.u26	Colleagues, let's get this debate back to the expert tone. Mr. Dimitrov, I deeply respect your qualities as an economist. In your speech, you have shown a desire to make an amendment. If paragraph 3 is edited, you should support it. Since our expertise is obviously not good enough, I recommend that you prepare such an edit to hear how you think this text will sound. Thank you.
ParlaMint-BG_2014-10-31.u27	A hole, Mr. Dimitrov.
ParlaMint-BG_2014-10-31.u28	Madam President, ladies and gentlemen! I thank my colleagues for the lines they've made. And now, in particular, one by one. Ms. Stoyanova, when the National Assembly votes a third item with this content, we must say what we want. We can't vote on intentions. We need to reveal what we're putting into content behind them. That is why I have voiced our concerns, and in the most constructive way in order to look for an option in which these concerns of ours should be resolved in some way. As for the amount of guaranteed deposits, Mr. Bayraktarov, yes, any deposit with preferential interest is not guaranteed under the Bulgarian legislation. However, I have understood your statement so that you declare yourself a rescue of KTB. That's what you said. You used longer words, sentences, but that's what you said. Look, there's something else I've been trying to tell you. The message today from the Reformation Block is that the price of this is much higher than the price of the state to provide a bank guarantee to the Deposit Guarantee Fund. The price is much higher because when you give only one bank guarantee, you don't give money, you don't make the budget balance worse. And when there's a plan, you should say... From Mrs. Stoyanova's statement it is understood that there is no plan to invest state money in KTB, which calms me. And we from the Reformation Block are much more relaxed now. That's how I understood Mrs. Stoyanova's statement. And if that is true, then much of our concerns are not necessary, but the cost of putting public money into CCB is much higher and we are setting a precedent for each bank as of tomorrow, if it comes to a similar situation, even some banks will deliberately be able to reach such a situation, will expect the state to put money into it. That is why we propose and defend the idea that Bulgarian legislation should be respected. And I'm asking you again, guys. I have all heard you from GERB and from the left sectors and from the right to say how Bulgarian legislation in this field is one of the best in the European Union. If we are sincere, it is not right at the last moment to look for such changes, which at the last minute.... hardly when the match is over, to change the rules. You know, at the last minute of the game, every change of rules is bad and unfair. So the edit that I would suggest to you at t. 3 is to drop it, honourable Members. Thank you. [[Applause from RB.]]
ParlaMint-BG_2014-10-31.u29	Any other Members of Parliament wishing to take part in the deliberations? Mr. Rumen Gechev.
