ParlaMint-BE_2016-02-03-54-commissie-ic333x.u1	Colleagues, the minister is available until 5:00 p.m.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u12	I shall give the floor to the Minister and possibly to Mr Reynders.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u13	I will reply and give the floor to Mr Reynders for technical aspects. The tiger mosquito does not occur naturally in Belgium. She was detected twice in our country, in 2000 and 2013. In both cases it was import by plane or in a load of tyres. Saniport, which cleans all the aircraft that land here with goods and in ports, is of course extra vigilant, not only for all the other things that we know are contagious, but also for the tiger mosquito. So Saniport is involved. A working group in which not only the federal government but also the Regions, the Communities and the scientific institutes are represented, monitors entomological monitoring and also examines measures that would be necessary to combat the spread of such exotic mosquitoes in the warmer months. With regard to disease progression, it was asked how to detect it. The disease is flual or viral. So it can easily be confused with another flu-like condition. The incubation period is limited from three to twelve days. The connection with the trip can therefore be made, but sometimes not. It is also remarkable that if a blood sample is taken, the antibodies can only be detected in the blood for a number of days. That means the antibodies are gone after that. That is the problem in Brazil, where there is currently no scientific connection with the much higher number of children born with microcephalus. A number of women may be infected at the beginning or in the middle of pregnancy, but at the time they give birth they are no longer seropositive and can no longer be found in the blood. They are now trying to detect them in the placenta or cord blood, but scientific research is only starting now, because it took until October 2015 to find an explanation for the high number of children born with microcephalus. It's even harder for Guillain-Barré. As you know, Guillain-Barré's syndrome can be given up to a hundred viruses. That is described in medicine, one can get that in a manner of speaking already after a normal rhinovirus, actually a silly snot nose. There is also scientific research to be done on this. This has been requested by the Pasteur Institute. They must establish the scientific link between zika and the development of microcephaly and possibly between zika contamination and Guillain-Barré. That's very difficult, since only a few cases have been detected. Mrs van Peel, the advice given to women who wish to become pregnant is either to postpone pregnancy or not to travel to those countries because the risk is very high. If they are already pregnant, all health workers who come into contact with pregnant women have been informed accordingly. Then we'll have to check it out. Firstly, there must be an echo, that is clear. However, this should also be checked during blood sampling. Mr Dallemagne, care will as always be the responsibility of public health. We have never had a discussion on this. In blood sampling, the polymerase chain reaction test is only positive during the first three to five days after symptoms manifest. One can only detect the antibodies. So there is an IgM test, which can also detect contacts with other viruses. The flaviviruses generally give the same positivity for the IgM tests. I would like to make it clear that it is not always scientificly easy. What are the similarities with the measures taken for the Ebola virus? The disease is different. There is the possibility of Guillain-Barré's neurological complication. That needs to be further investigated. Patients with Zika virus should not be hospitalised or quarantined. They don't need special care. If someone could be pregnant or is pregnant, advice is given to take a blood sample or ultrasound immediately. What stage is the infection at? Microcephaly means that the skull is abnormally small and especially that the skull is already flattening here. That's due to the fact that the brain doesn't develop. The brain develops quite early in pregnancy. Even if one could surgically enlarge the skull, certain parts of the brain are not formed. That is a very bad prognosis for the children who are now born in Brazil and who will have a very heavy mental disadvantage. I think it is important to warn against going to those countries. There is now a great panic with everyone carrying a child. There are a lot of abortion applications. That is, of course, a decision of the couple and it must be respected. Is there a risk for Belgium? Never say never, Mr Dallemagne. One can't say that. There's a lot of travel going on. The Olympic Games also take place there. A lot of people go there and come back. There are also the classic carnival meetings there. It is important that measures are taken together with the United States and the Pan-American Health Organisation to combat the epidemic. The Brazilian President, Mrs Rousseff, has announced that some 220 000 soldiers will be deployed to fight mosquitoes. Consultations on a common approach are taking place in Central and South America on the South American continent. Bearing in mind the many times lost when the first Ebola cases were reported, the WHO launched a first meeting of the Emergency Committee on the virus on 1 February. On the basis of the Committee's opinion, the Zika virus is now regarded as a public health emergency or international concern and a number of concrete recommendations are made, such as the need for standardised surveillance, especially in transmission areas, and an intensification of research into the aetiology of microcephalus and neurological disorders. There should also be enhanced surveillance for Zika virus infection. Apart from the development of new diagnostics, it is sought that there is no other test that is more specific to the Zika virus and that can demonstrate a possible infection for longer. Particular attention should also be paid to the follow-up of pregnant and fertile women in the transmission areas. There is also the preparation of health services in those transmission areas: what if there are neurological syndromes and what to do in case of congenital abnormalities in children? The travel advice is that passengers should be kept up-to-date on the potential risks and take the necessary measures. The standard WHO recommendation on the disinfection of aircraft and airports should also be used. Data sharing is also done: rapid and timely reporting by national authorities of relevant information on this condition. Furthermore, a rapid flow of information to the WTO is also of great importance, something that was rather flawed last time, if I may put it that way. Mr Flahaux, as to whether the Institute of Tropical Medicine has made any new arrangements, as a reference laboratory for this virus, he has, for the time being, made arrangements focusing mainly on communication. On 21 January, he published a notice on his website containing general information on the disease and advice for travellers wishing to travel to one of the countries or territories affected by the epidemic. These messages are also coordinated by the Risk Management Group (RMG) in consultation with the Conseil Supérieur de la Santé. Health professionals can always contact the Tropical Institute in a suspicious case, for which a fast line is available. To answer your question about periods of danger to women, I would say that the danger exists before and after pregnancy. In the absence of contraception, a possible incidence cannot be ruled out. Research is under way, but today it is better to be careful and refrain from thinking that nothing can happen. Transmission is via mosquitoes. Some suspicious cases have been identified where it is excluded that the patient was snatched by a mosquito, but infected by his partner who made a trip. The issue needs to be reconsidered. Doubts exist but no certainty. In any case, if this hypothesis were to be confirmed, it would not be surprising. Indeed, it took months and months to know that the Ebola virus could be present in the sperm six months after the person became ill. That's a disturbing fact. But, in this case, checks must be made as this possibility is not yet scientifically proven.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u14	With regard to the case reported in Texas, I would like to point out that it was the Texas authorities that reported a case of Zika virus that occurred after sexual intercourse with a patient returning from the infected areas. This was not confirmed by the CDC (Center for Disease Control and Prevention), as the investigation has not been completed. The possibility of conventional transmission via the vector has not been formally excluded. If my memories are good, the presence of the virus in the sperm has been highlighted but there is no evidence...
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u15	Yet I have a Belga dispatch here that says it would be the second case. One sexual case has already been confirmed by the Atlanta CDC. This case in Texas, which was actually announced by the Dallas County Health Authorities, would therefore be a second case.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u16	As the minister says, one cannot rule out a hypothesis. When we look around the world of the virus, the epidemics were small and localized. It took fifty years to go around the planet and now it's exploding in Latin America. The methods of transmission, the risks to pregnancy, are therefore relatively unknown. I recall that we have strong suspicions but we still have no evidence of a cause and effect relationship between Zika virus infection and microcephaly. For the cases of microcephaly that have been reported in Brazil, I would like to recall that when we look at the curves between the notified and confirmed cases, there is a ratio of one to ten. There are therefore 10 cases notified in one confirmed case. This relativizes the on-site reporting capacity and the extent of the problem.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u17	As with Ebola, we will meet regularly in committee to assess the situation.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u18	With regard to the list of affected countries and territories, the updated list is regularly updated by WHO. This list of 29 January 2016 includes 23 countries. We can find her on her website. This is obviously evolving. Mr Blanchart, what is worrying is that, at the moment, there is no vaccine, no medicine to fight this virus. The only treatments are symptomatic. You know that the WHO convened the Emergency Committee of the Health Regulations to meet on 1 February, with the aim of obtaining more information on the possible causal relationship between the Zika epidemic and the increase in a number of neurological diseases. That is the research we have requested from the Pasteur Institute. There is always a relationship between Belgium and the other European countries at the level of the FPS. The exchanges take place not only through the European Commission's Directorate-General for Health, but also through the European Centre for Disease Prevention and Control, where Dr Reynders is located, which is the link with Belgium. He is the one who is notified of the latest information. Dr. Reynders, maybe you want to explain how we work...
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u19	Gerkens spoke of the Ebola structure that has been grafted into an existing operation, which had already been used before, especially during the 2009 pandemic and thereafter. We have a permanent structure within the Public Health FPS, called the "Health Vigilance" cell, where a on-call physician is called by health professionals, seven days a week and 24 hours a day. Any alert notification may be made directly to the on-call physician. At the level of the Scientific Institute of Public Health, we carry out an analysis of the epidemiological information coming from Belgium, via the communities, as well as via the European alert network, for example. The Scientific Institute coordinates the assessment of these risks for Belgium, known as the RAG, the Risk Assessment Group. Initially, it was intended solely for notification under the International Health Regulations. For two or three years now, it has been extended to crisis management in Belgium. The RAG and the RMG (Risk Management Group) are permanent structures that bring together the federated entities and the federal authorities. At this level, monitoring and follow-up continue. To take up one of the elements that had been raised on Ebola proceedings, clearly a number of elements remain in place, including the notification that was already in place before Ebola. General practitioners have an obligation to notify unusual diseases and a number of clearly identified diseases to the community medical inspector. There is a network that allows the information to go back to the level of the Institute of Public Health and in the warning systems. We have already sent instructions to agents from Saniport to Zaventem to pay particular attention to the disinsecting measures that normally need to be taken. These are not new measures: the disinsecting of aircraft is an obligation of IATA for aedes aegypti in the fight against yellow fever. There is no difference between the control of the vector of zika virus and that of yellow fever. These are internationally accepted measures, known. We just ask for more attention to be paid to flights from the affected areas. (...): But also for containers coming from the 23 countries in question...
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u20	Yes, we found them that way, in the tires...
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u21	Madam Minister, I am pleased that the Belgian government is taking things seriously. This indeed deserves a comprehensive strategy, particularly with your colleagues in charge of development cooperation and foreign affairs. These are aspects that we have not discussed with you, but which remain important and which could be included in the strategy at the international level. Equally important is the question of investment in research. We are a country of vaccine production and can therefore be at the rendezvous in this area too, if we invest the necessary resources.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u22	Investment in research concerns pharmaceutical companies. It is not the government that will conduct this research...
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u23	Minister, when a public health emergency arises at the international level, we can also decide to intervene.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u24	This is possible, but prior expertise is needed. Meanwhile, the Institut Pasteur and the Institute of Tropical Medicine are here for this. For the rest, is it up to the government to conduct the research to discover a vaccine? Especially since on average, vaccine research can take ten, twenty or thirty years, as is the case with the AIDS virus.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u25	We know the problem of orphan diseases and the lack of investment that accompanies it. This disease will mainly affect poor countries, and I believe that international solidarity can be created in terms of research.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u26	Sanofi has proposed. It therefore sees an interest in the process, as well as a potential market. I was somewhat concerned that a Dutch firm, an NGO, had offered to distribute abortive pills to pregnant women. I find it positive that we can be at the side of women who wish to have an abortion and that we facilitate the process for them. But let us not forget that commercial and economic interests are certainly at stake and these firms must be controlled so that the actual accompaniment of these women can take place. Announcements are made but a long-term follow-up will have to take place.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u27	We can always get off the beaten track, but it's important to stay realistic.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u28	We will follow up on the matter in the committee in the coming weeks.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u29	Question No 8277 by Mrs Laurette Onkelinx is postponed at her request.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u30	A few weeks ago we were confronted in the written press and on television with reports about the so-called carrier tests. By means of a simple blood sampling, commercial companies test potential parents or parents who are already pregnant for abnormalities in their DNA. From this, it could be deduced whether the The emphasis is on having a chance. It concerns a whole series of serious or less serious abnormalities, such as deafness, blindness or muscle disease. It costs between 300 and 1 000 euros per person. On this basis, potential parents could assess whether they are starting children or becoming pregnant via IVF. Pregnant women can have foetal tests based on this. We are even convinced that abortions have been carried out on the basis of these tests. It is clear that such practices raise questions about ethics, desirability or cost for health care. It's for social debate. Geneticists are asking themselves out loud whether we should not create a legal framework for this. In the meantime, I've contacted the fertility center of KU Leuven. There it is said that such tests give absolutely no certainty. Many mutations occur with or shortly after conception. What are your reservations about this? How do you feel about the concerns of geneticists?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u31	More and more companies are indeed offering genetic carrier tests. In this way, people with a child's wish could identify the risk to a future child of hereditary conditions. As we know, so-called monogenic disorders, which are the result of a defective gene, are rare. Most disorders are the result of the interaction between environmental factors, lifestyle and defects to different genes. A reliable genetic test will therefore at most be able to make a percentage assessment of the risk of a particular condition. Because that percentage makes abstraction of the other factors that affect the development of a condition, it can give a completely distorted picture. Everything stands or falls with the interpretation of the results, which is anything but simple without medical knowledge. In any case, it is not advisable to be tested in such a way. I note that in the College of Anthropogenics at the FOD a negative opinion was given on preconceptual screening for cystic fibrosis. I'll ask the college about further guidelines on preconceptual screening. Finally, I would like to remind you that in our centres for human inheritance not only the interpretation of the test results, but also, certainly so important, a comprehensive counseling on the possible implications of clinical genetic diagnosis for the patient and any posterity. This framework, that counseling, is totally lacking when using demedicalized commercial carrier tests. I will ask for an evaluation of the competence of the federal authorities in this matter. After all, this is about the prevention of diseases. If our competence is established, we will consider whether regulatory action is useful, for example in the field of advertising for such tests. These are tests promoted by commercial clinical biology laboratories. However, all existing and well-functioning human heritage centres are very reluctant to carry out these tests. They are not only likely to be untrustworthy, they can give little clarity and they may be able to give false positive images, which may lead people to decide to break off the pregnancy, even though that is not necessary at all. Conversely, they may also miss diagnoses and then there is no further counseling of the couple after the test results. It's a dangerous evolution. I can't do more than warn you.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u32	Madam Minister, we agree with each other on this point. I also think that this is dangerous and, to use a harsh word, folklore. I believe that we must do all we can to warn people about this and even prohibit such tests. I'm glad you've taken certain steps. We will keep that in mind. I will be free to ask a follow-up question about this in a few months' time to hear what is going on. Anyway, I find the tests, like you, extremely dangerous. We are certainly in complete agreement on the substance. Thank you.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u33	Madam President, Madam Minister, for many years I have been a very detailed record of sectarian drifts in our country. In 2006, I chaired a working group in this Parliament which submitted a report that same year. Its purpose was to assess the recommendations made by the 1997 Parliamentary Committee of Inquiry. This is to tell you whether this matter has been a long-standing concern of our Parliament! In all the studies conducted today, there has been a significant increase in sectarian health drifts. On a daily basis, men and women are victims. They die because they abandon conventional therapies to treat cancer, seduced by the total biology of living beings for example, or attracted by respiratoryism and a series of other dubious and challenging practices. In Belgium, we have a tool. It is an observatory of sectarian drifts: the Centre for Information and Advice on Harmful Sectarian Organizations (CIAOSN), which reports to the Ministry of Justice. The Centre submitted its report, which merely confirms my findings. There is an increase in sectarian health drifts. I recall the figures: health-related files processed at the CIAOSN account for 21.7% of requests from our fellow citizens to the Centre in 2013-2014, compared to 15.62 per cent in 2011-12 and 17.53 per cent in 2009-10. Minister of Health, have you read this report? More specifically, and I understand that the question could also be asked of the Minister of Justice, could you tell me what is the situation with regard to the application of the Act of 26 November 2011 amending and supplementing the Penal Code with a view to criminalising the abuse of the weak situation of persons and extending the criminal protection of vulnerable persons against abuse? Is the current system effective? Have any convictions already been handed down in the context of sectarian medical or pseudo-medical practices? Do you think improvements are necessary in view of the figures reported by the CIAOSN? Have your services ever had contact with CIAOSN on this deviant therapy issue? Have you ever had contact with the Minister of Justice in this context?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u34	Madam Chair, Mr. Frédéric, my answer falls within my jurisdiction. The report of the Centre for Information and Advice on Harmful Sectarian Organizations (CIAOSN) on the health component of certain sectarian practices, which shows that the complaints of the victims are only increasing, is in fact intriguing. As far as my powers as Minister of Public Health are concerned, there are currently two mechanisms that should protect the population from this type of drift, depending on the profession exercised by the person adopting such a practice. If the sectarian practitioner is a health professional, the patient or family may complain to the Provincial Medical Commission. A complaint to the College of Physicians or the College of Pharmacists is also possible as long as the sectarian practitioner is a doctor or pharmacist. These bodies have the task of ensuring the quality of the practice of a health profession and, in some cases, they may prevent a professional from practising or passing on the most serious cases to the King's prosecutor. If the sectarian practitioner is not a health professional, the patient or family may also complain to the Provincial Medical Commission, which may initiate an investigation. If it appears from the latter that this practitioner is illegally practising medicine, even if he disguises his remarks by concepts of well-being, the file will also be forwarded to the Public Prosecutor's Office. It is important for the population to be informed. In summary, a health professional should be consulted, not the various gurus of well-being. When a health professional adopts a practice that calls into question or when a non-health professional practises pseudo-therapies, a complaint may be filed with the Provincial Medical Commission that will follow the case. I can't say anything else. Before taking action, the victim patient must file a complaint, and this is not always the case.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u35	Madam Minister, thank you for your answer. I know there are complaint procedures. Still, we must first recognize that we were victims. And when you die, obviously, it's a little late! The family can actually turn around. You mentioned an important element, that is the notion of information. I know that our country is organized in such a way that prevention campaigns are carried out at different levels of power, but I think it would be worthwhile, and I am at your disposal, to ask myself the very concrete question of how we can prevent. I think that, in general, people attracted by this type of drift are in a situation of weakness, as they have a concern for physical or mental health. They are therefore an extremely easy prey for people who do business and who put money in their pockets to the detriment of the health of our citizens. I wanted to draw your attention to this, and I'll come back to it.
