ParlaMint-BE_2016-10-26-54-commissie-ic521x.u1	Mrs. Lahaye-Battheu is apologised.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u12	As indicated in my answer to question No. 13 652 of 16 September 2016 my administration prepared a brochure. It was not only sent to the bicycle dealers, but also distributed by the BIVV through its network. In addition, it is possible to consult the brochure, together with a number of facts, on the website of the FPS Mobility and Transport. As usual following a change to the traffic regulations, my administration informed all stakeholders, namely police, Justice, the Association of Cities and Municipalities and others, of the new regulations, which entered into force on 1 October 2016. In addition, the electric bicycles have not been out of the press in recent months. Only the road managers who have spent the last two months in a cave may not be aware yet. As I also indicated in the reply to the previous question of 16 September 2016, the regulatory framework has been established in broad consultation. From the point of view of road safety, it is the best option to give road managers the possibility of allowing speed pedelecs drivers to hunt or reserved roads according to local conditions. After all, not all roads are suitable for speed pedelecs. Now it is up to the road managers to determine where and when they will make use of these opportunities. The speed pedelec is a moped according to the European regulation 168/2013. It is about vehicles that, like mopeds class B, can reach a speed of 45 km per hour. In addition, the acceleration speed of a speed pedelec is not comparable to the acceleration speed of a regular cyclist. In addition, there is also the higher weight, combined with the higher speed. A complete alignment with the bicycle cannot be defended from the point of view of road safety. Because the speed pedelec cannot be fully aligned with the classic moped class B, a kind of hybrid status was developed. For example, the bicycle helmet can be worn and, unlike the mopeds class B, users can be allowed to use reserved roads and opposite directions in one-way streets. The bike paths are subject to the system proposed by you. Speed pedelecs are allowed there, except if the road manager prohibits them by signaling. The same applies to mopeds class B. Fortunately, the traffic regulations are not chiseled in stone. As a function of future societal developments, adjustments to further stimulate these vehicles will continue to be possible.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u13	Thank you for your answer, Minister. This time I am somewhat less pleased than in the answer to my previous question. I believe that the position on the place on the road of speed pedelecs starts from a defensive vision. It could pose a risk of mixing such vehicles with the classic bicycles. However, if you look along cycling routes, you will also see a range of different bikes at different speeds, large and small, wide and long. The differences are already very large today. The speeds are sometimes high. I don't think the speed pedelecs are an exception to that, even in terms of weight. There are baking bikes that are much heavier and there are classic electric bikes that go up to 25 kilometers per hour, which are equally heavy. So I think the weight here doesn't play such a big role. According to the European Directive speed pedals are considered mopeds. It is good that this directive has been translated into a hybrid system, so that they are not fully aligned with mopeds. I continue to regret the fact that people have left from a defensive vision, rather than an offensive, forward-looking vision, in which speed pedelecs are really seen as an alternative to car traffic and where all cycling routes are automatically opened up to speed pedelecs. Of course, there are situations where this is less desirable, and there it would be indicated that speed pedelecs are not allowed. I would like to mention one more specific aspect in relation to the current legislation. On the F99 signs you can see six different symbols today. If we add another symbol, no one will see what's on it. I do not think that this is the most recognizable way of indicating admission.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u14	Thank you for your answer, Minister. In substance, I maintain that the reverse logic might have been more desirable, especially for the local road managers. I do not think this has anything to do with political conviction. I'm just gonna go with my knowledge of the terrain. We are both competent for mobility and should probably now provide additional budgets to change all signs. I found the comment about the cave very funny. However, I would like to point out that Han's caves are closer to your home than ours.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u15	Madam President, Minister, this is a very specific question about the ITRIS controls. We have asked several questions about this in this committee. Its rollout was announced in May 2015. At that time they talked about modern equipment, improved service and customer service and more accurate use for train drivers. It should lead to fewer discussions about travel cards. However, we were contacted a number of times by people on the ground, because there are still technical problems with the use of these devices. The batteries would not last enough, payments with bank cards are sometimes not registered, scanning is difficult, real-time information is sometimes not available, etc. Are you aware of these problems? Do you have an idea of the actions that SNCB will take to resolve these problems as quickly as possible?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u16	Madam President, Minister, at least I agree with the questions put by Mr Geerts. Mr Geerts has already outlined the problem and I will look into my questions. Mr Minister, are you aware of the complaints about the ITRIS devices, as mentioned in a press article at the end of September? What kind of problems are we talking about? How many complaints were made by the train escorts? What measures does SNCB take to solve the problems? How is the roll-out for the train escorts on international trains? How many train drivers already have an ITRIS device? What is the further planning of the roll-out? Has the function of real-time information on defective ticketing machines already been established? If so, how does this work? How many devices have this function? If not, when will this be available? So much for my supplementary questions.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u17	Madam President, ladies and gentlemen, the introduction of the ITRIS equipment did indeed raise a number of weaknesses. They concerned both the hardware and the software. SNCB guarantees that its objective was always to offer a stable, reliable and performant device to train supervisors. In the short term, the aim is to improve the performance of the device. For this purpose, SNCB is in permanent contact with Ypto, its internal supplier, but also with AEG, Panasonic and GMX, its external suppliers. In this way, for example, it was already possible to get a better picture of a number of problems relating to SAM cards, payment with bank cards via satellite devices, and to solve them. SNCB informs me that many actions have been taken which have led to continuous improvements. The following initiatives have recently been taken. First, a registered letter was sent to the suppliers. Secondly, 120 tablets and 180 satellite devices were ordered extra. Thirdly, additional software versions were developed and installed to better solve some problems with the tablets. ITRIS offers a number of functions, but to further improve and complement them, more developments are needed. SNCB also informs me that it will pay particular attention to this project and follow it closely. SNCB had to set priorities and the distribution of ITRIS equipment to train escorts of international trains was postponed. Tests are currently being carried out, particularly on the Dutch and French networks. The first feedback is positive. If the acceptance tests continue to satisfy, the employees concerned will receive an ITRIS device and will be trained to work with it in December. The function to automatically send data to the ITRIS devices was taken into production on 10 August. However, updating the list of faulty vending machines and thus deactivating the on-board fare in real time still requires manual synchronization by the train guides. IT developments are currently underway to ensure that the on-board fare is automatically activated in real time. This feature will be included in the next software version of ITRIS that would be installed in the course of December.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u18	Thank you, Minister, for the answer. I hope that the efforts made by SNCB in the field will improve passengers and workers.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u19	Thank you, Minister, for the answer. I believe that it is particularly important that information on the status of ticket machines should be provided in real time by the train escorts or in the aircraft, so that we are already off the flight rate for those who were not able to buy a ticket because of a faulty machine. That would be quite a step forward.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u20	Mr President, my question follows on from an earlier question that I asked your predecessor on the same issue. Your predecessor replied very adequately to that at the time, but today I come to the legal and political topicality. We have recently heard that the Council for Authorisations has suspended an application by Infrabel and Tuc Rail for the second rail access to the port of Antwerp. For the sake of clarity, in Antwerp no one disputes the usefulness of a second track opening. Antwerp is and remains the most important railway port in all of Europe, if not in the whole world. I say that not with a thick neck, but as a mere observation. Furthermore, we all know that rail is and remains a very environmentally friendly carrier. We therefore need as much rail infrastructure as possible in order to be able to transport goods to and from our important ports. There is, of course, a but, Minister. You must, of course, be able to reconcile the inhabitants of the neighbourhood who are facing a new railway project with the size of such a project. For the Merksem district and the municipality of Schoten, your predecessor has brought joyful news. She said that the second rail tunnel would be tunneled in. It would be a drilled tunnel. Neighborhood residents wouldn't be bothered by that. However, in Ekeren and more specifically in the sub-area of Old Countries, there is of course a legitimate concern. Indeed, the building application refers to an uneven crossroads. There is an existing railway bundle which will have to be crossed unevenly by the new railway bundle to be built. This means that a talud of 1.8 km long, almost 2 km long and 13 m high will have to be built, which is not a pleasant prospect for the locals. They have therefore been sent to the Council for Authorisations. They were right there. The Council has now asked for the procedure to be restarted in order to introduce a number of improvements, a number of new proposals in the current application for authorisation. Minister, this is an opportunity for you because you can now enter into consultation with the local residents, with the complainants who have brought them to that council and to work out a new project that will benefit everyone, which everyone can live with. Are you willing to do that? Are you prepared to instruct the authorities of which you are the guardian minister to consult with the neighborhood, with the residents of the neighbourhood, with the complainants and to find alternatives that can unite everyone around this necessary and useful project?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u21	Minister, Mr Penris has outlined the problem. It is true that one of the concerns of the neighbors related to a number of 13 meters high, over a distance of 1 800 meters. The urban permit itself was obtained in 2012, but it was appealed to the Council for Authorisations. The Board suspended the 2012 urban permit in September 2016 and asked Infrabel to clarify a number of issues further. I have the following questions. What is the current state of affairs in the file? Will Infrabel respond to the comments of the Council for Authorisation Disputes and therefore submit an amended proposal? What is the planning that is being put forward in this dossier? Are financial resources included in a multi-annual investment plan for this purpose? Is that one of the priority projects for Infrabel?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u22	First of all, I would like to clarify that the request for construction relating to the file on the ground crossing of Old Countries and not on the file on the second rail access towards Lier. Infrabel has, and will continue to have, numerous consultations with those concerned in the past. The offered underground alternatives have been studied several times in the past. However, these underground alternatives are too detrimental to the operation of rail traffic. For the population there is also a negative impact on local mobility. The tunnel works would also require a very long implementation period. The city of Antwerp, in turn, reached similar conclusions. The results of all these studies were also made known. The Council for Authorisations has suspended the building application on the basis of observations of a legal and technical nature. Firstly, there is a need for a further review of destination and urban planning rules. Secondly, the conditions of the authorisation must be clarified and clarified. Thirdly, a further review is required with regard to the law on unsailable watercourses. Infrabel will take into account what the Council points out. Infrabel will provide its response by 30 December 2016 at the latest. At present, the works concerned are being examined in the Investment Committee, but no decision has yet been taken on their inclusion in the future multiannual plan for investment.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u23	Thank you, Minister, for your answer, although I am not entirely satisfied. I'm glad you're reconsidering the state of play. You spoke about consulting with the locals involved. There have indeed been contacts between the licensing authorities and local residents, but that was a one-way street. The plans were put forward there without which I have the impression that people could have an active input into the decision-making process. You say that the underground alternatives were investigated but couldn't be realized. I'd like to dispute that. I believe that the people who are working on this dossier have provided enough alternatives and arguments to Infrabel and TUC Rail to say that tunneling at Ekeren is feasible. I understand now, and this is important, that the new licence application will be there by 30 December 2016. I hope that, in the meantime, fruitful consultations will have taken place with the local people who are very interested in this dossier.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u24	Thank you, Minister, for your reply. My reply contains a number of elements. I'll try not to repeat myself. First of all, the people involved tell me that the conversation was a deaf man's conversation. There has been talk with Infrabel, but there has been no feedback on concrete proposals. Secondly, you mention legal-technical elements, including urban planning regulations. Urban planning regulations are of course more than legal-technical. They are content.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u25	Madam President, Mr Van Hecke, Mr Geerts and myself are asking for our combined questions. 14237, 14360 and 14495 to be converted into written questions.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u26	The next item is Question No Mr David Geerts, on the recommendations from diesel gate which have an impact on mobility.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u27	Madam President, there will be a more recent question on the mobility budget. That is why I would like to ask my No. 14257 to be incorporated.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u28	It's been noted.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u29	Madam President, Minister, we can read in Infrabel's 2014 annual report that the Traffic Management System will be put into operation in 2016. The system is a real-time computer support, which keeps track of the current situation of rail traffic and can make an accurate assessment of the journey time. The system will improve rail safety as well as promote punctuality and make communication to the traveller more accurate. I've heard that Infrabel would be its implementation date 4 September 2016. For this purpose, all staff of the services concerned each took a three-day course in spring 2016. I have also learned that the parallel running system, which should allow them to keep up and practice between their training and the deployment of the TMS, does not always work because of the large number of bugs. As a result, some agents have been unable to practice days and sometimes weeks. Mr Minister, first of all, was 4 September 2016 indeed the intended starting date for the introduction of the TMS? Secondly, for what reason is the TMS still not implemented? Thirdly, what realistic date is now set by Infrabel? Fourthly, how many people have already taken a course? How many of them should take a new course because the parallel run system would not always work adequately? Finally, when will Belgium's largest station, particularly Brussels-South, switch from all-Relais technology to EBP technology, so that the TMS could work optimally?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u30	Madam President, Mr Vandenput, the date of 4 September 2016 was indeed the envisaged starting date for the TMS. The TMS has not yet been implemented for technical reasons. The new date set is 12 November 2016. Everyone's been in training. Exercises are also prepared and guidance is provided so that everyone can practice at their reserve stations. The inner grid of the Brussels-South station area will be taken over into EBP technology by mid-2017. The outer grid of the Brussels-South exchange zone will be taken over by the end of 2018.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u31	Thank you, Minister, for your clear answers. I am glad that the TMS system will soon be in place. It will improve passengers and train drivers and supervisors.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u32	Mr Minister, on 17 July I asked a question about the prohibition of catching-up for lorries. Then I wondered if these were legally possible. The future findings of infringements of the prohibition of catch-up in the event of rain weather using unmanned camera dynamometers seemed useful to you at that time. But you have said to me, and I quote you: 'It is not natural to do so.' Checking a catch-up ban on 2x2 roads seemed to you, by means of unmanned cameras, and I quote you again, possibly......................................................................................................................................................................................... A month later, on 17 August, in the middle of the holiday period, I can see that you are unpacking in the press with the idea of using unmanned cameras from 2017 to detect infringements such as catching up with rainy weather. Now, of course, that is very good news, because the recent survey by the BIVV and the Transport Federation showed that catch-up bans, especially in the event of rain, are not respected by trucks. In addition, even our own fellow Members are very critical of catching up. When drivers were asked what they were annoyed about in traffic, this is also in the top 3. Hence my next questions, Minister. Will your adaptation of the Royal Decree of 18 December 2002 concern both the prohibition of catching up in the event of rain and the prohibition of catching up on 2x2 roads? What specific adjustments will you make in the Royal Decree to make it legally possible to detect rain weather violations by means of the unmanned camera dynamometers?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u33	Mr President, I would like to add my voice to the question put by Mr Dumery, who has focused on the enforcement of the catch-up bans for lorries; a catch-up ban in the event of rain and a general catch-up ban on 2x2 motorways. I have already raised the issue several times in this committee, for several years. Our regulations are very different in this respect from those applied in neighbouring countries. There a catch-up ban on 2x2 motorways is always indicated with a prohibition board, while we have a general catch-up ban here, which means that we have to use an admission sign to allow it at certain hours. I don't think this is a good idea as a small transit country. Moreover, the catch-up bans in our country are very poorly respected and it is also difficult to enforce that compliance with our limited enforcement capacity. All this has to make us look at the regulations. I've put that in several times. This would be considered in the context of the simplification of the Road Code. That is why, in addition to Mrs Dumery's questions, I would like to know what the state of play is regarding the revision of the Road Code and whether the existing catch-up bans for lorries in our country will also be looked at, examined and, if necessary, adapted in accordance with neighbouring countries. The dynamic traffic signs provided by the Regions above the motorways are a regional authority. Isn't cooperation possible to indicate more clearly when it rains and when there is a catch-up ban?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u34	The aim is to lift the catch-up ban for two-way lorries and thus to align them with what is common in Europe, namely to allow and specifically prohibit them rather than the reverse. This means that there will be a return to the imposition of catch-up bans by road managers on the routes where this is deemed appropriate. A draft amendment to the traffic rules is in preparation for this purpose. It also provides for the adjustment of the catch-up ban in case of precipitation. An extension of a catch-up ban to lorries with a maximum authorised mass of between 3.5 and 7.5 tonnes is not foreseen. Perhaps it will be limited to vehicles intended for the transport of goods. Because of their structure and structure, buses, cars and trucks between 3.5 and 7.5 tonnes cause much less splashing water than the lorries with a maximum authorised mass of more than 7.5 tonnes. I am also open to the use of dynamic road signs that indicate a catch-up ban for truck drivers. It is, of course, up to the road manager to decide where to place a dynamic road sign. The above-mentioned draft will be linked to a communication plan adapted to the interests of stakeholders, which will aim to ensure that all stakeholders have the necessary information in time. It is sufficient in the Royal Decree of 18 December 2002 to add the catch-up ban in case of precipitation to the list of infringements the detection of which by means of unmanned camera dynamometers provides special evidence value. A draft is also in preparation for this purpose. In addition, taking into account the rapid technological developments, more and more infringements by means of unmanned camera performance indicators will be reliably detected in the future. I have therefore asked my administration to examine the possibilities of an amendment to the traffic law in the sense that the special evidence value would apply to the determinations by unmanned camera dynamometers of all violations of the traffic law and its implementing act.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u35	Madam President, I would like to thank the Minister for his detailed reply. I understand that you are preparing for changes to the Royal Decree to introduce dynamic signs. A lot of preparations are being made. I don't want to rush you, Minister. We do not immediately feel the hot breath of the elections on our necks. We are already in the second half of this legislature and I hope that these texts will soon be dealt with in this committee. It's also about a KB so if you can do it without us so much better. You will ask the stakeholders. I also think that you should not forget to involve road managers. In this way, the fragmentation of the sixth state reform will not lead to any excesses of powers. I wish you every success in producing texts or changes as quickly as possible.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u36	Minister, the powers in this matter are clear. I thank you for your answers and hope that they can now be translated into reality. We have already received the announcement that the catch-up ban will be reversed from your predecessors. It's all about realizing it now.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u37	Madam President, Minister, already a year ago, the SNCB announced the upcoming closure of 33 station counters, including 14 gallons. Currently, five are still in operation. The closure of these 14 windows and the reduction of time ranges in others were two of the conditions for maintaining stopping points in some rural areas. The press has recently analysed the impact of these window closures on other stations. Indeed, some lines find themselves without any further station counters on their route. With the upcoming closure of Mariembourg, this is the case with the 132 line linking Charleroi-Sud to Couvin. The nearest train station counter is in Charleroi-Sud for commuters to Couvin. A commuter from Gouvy will have to drive 58 km to Spa where the nearest railway station counter is located. The ASBL Shuttles.be points out that other alternatives exist to make the working time of a counterman of a remote station profitable, such as the installation of Kiala points or Post Points in the least frequented stations. Minister, what are the new measures you plan to implement in the short and medium term to support commuters without a station counter on their route? How do you intend to facilitate their journeys? Do you think that such a situation is sustainable in the long term? Are you planning to close any other station counters in the near future? If so, what is the deadline?
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u38	Madam President, Mr Devin, I would like to take advantage of your question to recall a few points. When it comes to the closure of stations, as you said, it is the closing of windows. The train service remains unchanged for these stations. In addition, in recent years, SNCB has reopened the breakpoints of Athus, Halanzy, Messancy, Aubange, Evergem, Hergenrath, Distel, Beervelde, Mortsel, Liersteenweg, Noorderkempen, Simonis, Brussels-West, Hamont, Beringen, Zandhoven, Mouterij, Tour&Taxis. It is often said that there are many closures. However, 16 breakpoints were reopened. To answer your question, SNCB states that it does not intend to terminate the service of certain lines, stations or stop points. Moreover, it does not foresee any full and definitive closure of windows until 2020, as I indicated in my policy statement a few months ago. As my predecessor pointed out to you, of the 33 stations for which the closing of windows was decided in mid-2015, he subsides four of them where closure is not yet achieved, namely Mariembourg, Bertrix, Gouvy and Poperinge. SNCB adds that it notes that, across the country, its customers are increasingly using modern sales channels to purchase their ticket. This is the website, application and automatons in the stations. These channels are available 24 hours a day. In total, sales via automatons account for more than 45% of sales today, compared to just 10% three years earlier. SNCB has decided to take account of this evolution in purchasing behaviour in order to define a distribution strategy consisting of better use of human resources, i.e. where they are more useful to customers. A satisfaction survey on behalf of SNCB reveals that the client is satisfied with this approach. Almost 84% of these customers have a positive perception of the purchase of a ticket and attribute an average score of 7.8/10. In addition, there was a slight increase compared to last year. As I have already indicated, the application of this distribution strategy has no impact on the supply of trains.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u39	Madam Chair, I thank the Minister for these clarifications. He is right to recall that the stations can be reopened. Minister, I am thinking more about the numbers and how customers and users take and buy their tickets. It is true that, in the future, more and more customers will use modern technology. However, there are still people who are no longer left to choose. When you do your survey, you will see that in some stations where there is no ticket counter and where the only way to get a ticket is the automatic, the controller will be chosen 100%! There's no need to hire people, it's clear! It is not the SNCB that evolves according to the figures, but rather the figures that evolve with the SNCB's policy of replacing people at railway station counters with automatons. That too, we must be able to accept it!
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u40	Knowing that you have the last word, I would like to add something. It should be noted that a few months ago, SNCB launched a call to the public to find out who wanted to be part of a working group to improve services, information and products. Four thousand people responded positively. Every month, since July, a working group has been meeting according to the topics discussed. We give the floor to commuters and citizens. I had the opportunity, fifteen days ago, to participate, to visit the place where they were meeting and to hear what was proposed. There were commuters of all ages, of all backgrounds, of all transport conditions. Continuous listening to SNCB's commercial service will improve distribution channels. If there are specific requests from commuters and users, e.g. requests for deaf people, persons with disabilities who are unable to read, SNCB is responsible for finding solutions for them, by window, by electronic means, by automatons, etc. It is a new strategy, oriented to commuters, which is gradually being implemented. It is in this sense that we want to go, taking into account such remarks as yours.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u41	Mr Devin, you have the floor, but you can reply anyway, since you have the last word.
ParlaMint-BE_2016-10-26-54-commissie-ic521x.u42	Minister, we have the last word, so you will have to accept my comment. Maybe you won't have anything to say next. I am pleased that such an initiative is being taken, and I am already looking forward to the projects that will be implemented on the basis of the opinions of the commuters. I won't be any longer, Madam President.
