ParlaMint-BE_2016-01-27-54-commissie-ic325x.u1	Mrs Grovonius is not here. Her question No. 4232 expires.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u12	Mrs Willaert, both the previous and the present government have taken various measures in this area, and I insist that we follow that very closely. With facts and figures we try to indicate and understand what is happening. That is my first concern and also the task I have given: to study with more knowledge what is happening in practice. I still have the concern I expressed back then. In the next few weeks and months, we will have a better view of what is happening exactly. I have tried to respond specifically to your question, even if it only deals with part of the problem. Only young people who have received a payment or have submitted at least a claim for benefit are known to the RVA. The size of the entire population of young people who lose the right to an integration allowance as a result of the introduction of a diploma condition is therefore unknown. Based on historical figures, the RVA estimates that in the last four months of 2014 1 849 young people across the country were not immediately admitted to the entitlement to an integration allowance. The estimate could reach 3 949 young people across the country in 2016. If we compare the influx of 21-year-olds from September to November 2015 with the same period in 2014, then we find that the influx of those young people into the integration allowance system decreased by 698 units. The 2015 figures are provisional. The RVA was not expected to receive all the applications for benefit from that group of young people. The RVA has disseminated the information on the new measures in all transparency through its website. It was decided to apply the scheme only with effect from 1 September 2015, a date after the expiry of the 12 month professional start-up period, starting on 1 August 2014. For example, the legitimate expectations of young people who had no knowledge of the measure were not ashamed. Individual information is not possible, since the identity of young people, who may or may not stop their studies without having a diploma or certificate, is not known by the RVA. Persons who are not entitled to a benefit do not normally submit a claim for benefits either. Young people who have completed their studies can register with the regional employment service. It guides them in the usual way. The young people concerned are, in principle, entitled to an integration allowance from the age of 21. The young people concerned therefore have an interest in registering as a job seeker. They shall be succeeded by the regional employment service, whether or not they are immediately entitled to benefits after the end of the period of employment. During the period preceding the granting of the benefit, it may be expected that those young people who were in principle dependent on their parents will continue to be dependent on them. For additional information on the number of young people using career guidance or a living wage, I must now refer to the regional employment services and, respectively, to the competent Secretary of State responsible for the fight against poverty, Mrs Elke Sleurs. Furthermore, with effect from 1 January 2016, the Flemish and Walloon Region effectively took control of the active search behaviour of job seekers, so that the follow-up under that procedure is no longer our responsibility. A further follow-up will be necessary, as I have already said. I also believe that I am looking at this with great care. I do not just mean the problem of qualifications or qualifications. First of all, I would like to see the number of young people involved and the impact of the measure on those concerned. In the next few weeks, I hope to gain some insight into this by means of figures, even though the figures are not easy to obtain, as I have tried to explain to you. On the basis of these figures, we will be able to study the situation. I don't want to anticipate whether or not we should be sent in. The concern, which I understand you share with me, is about young people disappearing off the radar and of which we do not know what is happening to them. I want to follow that very carefully.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u13	Thank you, Minister, for your reply. It is clear that we share that concern. I will come back to that once you have more figures, hopefully. I asked the question because, in my opinion, sometimes there is a slight turn of events, and I think you will agree with me. It is sometimes said that one third of young people are knocking on the door of the OMCW and that the other two thirds have been helped. I do not think that answer is intellectually fair, because we do not know exactly what is happening to these young people and hence the concerns we share. Even though young people simply remain dependent in a family, for some families they are very difficult times. In Flanders, for example, the energy bill goes up. It is not, therefore, because a young person is not registered or is not knocking on the door, that the young person is not in difficulty. Hence the concern and the demand for more figures on this issue, so that we do not have to discuss it in the slightest. I think it is not so easy for a third of the young people to come to the OMCW, while two thirds have already been helped. I think the reality is much more complex.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u14	Minister, Federgon recently announced that it could move quickly with the electronic employment agreement. In a previous question, I have already looked at the abolition of the 48-hour rule which stipulates that temporary employment agencies have two days to draw up a contract. That sometimes leads to abuse. You replied at that time that the 48-hour rule could probably be abolished from 1 July 2016. Federgon says in his communication that electronic employment contracts are a practical condition for the abolition of the 48-hour rule. Can we conclude from this that I can be premature in saying that the 48-hour rule can also be abolished earlier, as the electronic employment contracts are already there? Are both elements still linked? What about the timing of the abolition of the 48-hour rule? Will all temporary agency agencies be able to use the electronic employment contract for their full staff of temporary agency workers at the same time? If not, will there still be some transitional periods in which offices still working with paperwork can still use the 48-hour rule? Will the Social Inspectorate have access to the digital platform associated with the introduction of the electronic employment contract? That would make control easier. After all, this digital platform will give the temp a glimpse of all his contracts with different temporary agency agencies.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u15	Mr Vercamer, the discussions on the abolition of the 48-hour rule within the Technical Working Group on Temporary Work, set up in the lap of the NAR, are at an advanced stage. The social partners are expected to issue a formal opinion on this in February. Indeed, the abolition of the 48-hour rule is still linked to the practical condition for wider recourse to electronic employment contracts in the broadcasting sector. At present, an electronic employment contract can only be legally concluded if it is signed by an electronic signature created by the electronic identity card, the eID. However, during the discussions of the technical working group within the NAR, it was found that not all temporary agency workers are in all circumstances able to sign through their electronic identity card, for example when there is only very little time between the time when the temporary agency worker is contacted and the time when he has to take up the assignment. In addition to the possibility of signing contracts via that electronic identity card, the social partners have therefore also sought an alternative method of signing the temporary agency work contract electronically, which allows the identity of the parties, their agreement to the content of the agreement and the preservation of the integrity of that agreement. At the same time as this adjustment, the 48-hour scheme would be abolished for both electronic and paper temporary work contracts. The social partners did not provide for a transitional period during the discussion in their working group. However, they ask that the legislative amendment they requested should not enter into force until the target date of 1 September 2016, which should give all actors involved in the broadcasting sector the opportunity to prepare themselves for the new situation. Once the social partners have given their formal opinion on this dossier, and it seems that this will happen, I will take the necessary legislative initiatives to respond to their request and, of course, submit them here as well. Labour legislation provides that the employee's access to electronic employment contracts must be guaranteed at all times and that the employer must be able to submit the electronic employment contract immediately to the competent inspection services requesting it.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u16	If I am right, September 1st is already the third deadline proposed. I can therefore assume that both the agreement of the social partners and the regulatory work will indeed be in order.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u17	It should be possible, yes.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u18	If I am not mistaken, in 2007, as Secretary of State, I was still involved in the law on the electronic employment contract. It's 2016. Isn't that incredible? It's been nine years. I know the private sector is even slower, but nine years is slow.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u19	That is indeed a long time.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u20	Thank God you're here now, Minister. You're gonna fix this.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u21	Minister, even though the managers of the company La Redoute announced in January 2014 that the removal of 1,178 jobs in four years would not affect Belgium, it was reported on Wednesday 10 December that following an extraordinary works council, it had been decided to abolish six jobs on the Estaimpuis site. Added to the dismissal of another worker in September, this makes seven dismissals recorded on the Estampuis site in three months. The reasons given for these dismissals are competition with online sales sites and overstaffing. Minister, such a gift from the company for the end-of-year celebrations obviously causes fear among workers who ask questions about their own future in the company. Have you had any contact with the management of La Redoute about these redundancies? Do you know whether alternatives to redundancies such as reclassification, credit-time or pre-pension are envisaged? Finally, can you tell us whether this restructuring will require a more drastic reorganization of society?
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u22	Mr President, ladies and gentlemen, Mr Senesael, concerning the dismissals in La Redoute on the site in question, I now have the following information. A total of five points. First point: an extraordinary works council took place on 10 December, during which management reported a decline in activity due to insufficient financial performance and increasingly aggressive competition from e-commerce, resulting in the choice of a resizing of activity and the loss of six jobs, including four positions in the financial accounting service, one call centre and one position in the commercial service, out of a total of 68 positions. Second point: this is not the announcement of collective redundancies within the meaning of CTC No. 10. There is therefore no application of the Renault law. The statutory severance benefits will be applied. Thirdly, trade unions will pay close attention to compliance with all legal and regulatory provisions, and in particular the sectoral CTC of 21 September 2015, which includes the obligation, I quote, "not to resort systematically or repeatedly to the use of temporary or temporary labour". Fourth point: during the January meeting of the ordinary works council held last week, the workers' representatives asked the employer about the guarantees he intended to provide for the sustainability of the activities and the company. Fifth and final point: the management agreed with the workers' representatives to hold a meeting with the trade union delegation in February to provide the information requested and to allow the parties to discuss it.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u23	Thank you, Minister. This is what we call a complete, structured, magnificent response. If all ministers could respond like that. I say to you, "Bravo!"
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u24	Mr President, Deputy Prime Minister, on June 5, 2015, you announced to the press the finalization of a bill to combat social dumping, particularly in the construction sector. The purpose of this project was to correct the mechanism of joint and several liability currently provided for in article 35 of the Compensation Protection Act 1965. The corrections provided for in your bill were as follows. 1. Deletion of the 14-day period provided for by the current law before the effective implementation of the joint and several liability, the latter having to start, according to your project, as soon as the social inspection finds fraud. 2. Abolition of the limitation of joint and several liability to future remuneration to be paid, for a period of up to one year, taking place on the 15th day following the finding of fraud by the social inspectorate: joint and several liability would start immediately upon the finding of fraud by the social inspectorate and would apply to all wages payable under the contract, both for past benefits already performed by the posted worker and for his future benefits. This means in concrete terms that, after the vote on your bill, if the social inspection finds that the salary paid to the posted worker is not in conformity with the law, it will have to be paid immediately to the posted worker the difference between the salary actually paid to him and the salary which should have been legally paid to him, starting from the first day on which the posted worker began his benefits on the site. 3. The joint and several liability thus reviewed would cover the whole chain of entrepreneurs, whether they are prime contractor, contractor, subcontractor or subcontractor, as well as the contractor, all of whom are jointly and severally responsible for the payment of the differential between the salary actually paid to the posted worker and the salary which should have been legally paid to him. The announcement of your bill was welcomed by the construction trade unions. Moreover, the amendment to this effect of the mechanism of joint and several liability in respect of wages is clearly called for by the construction sector itself, this proposal being taken up in the proposals made by the Citizen Platform against Social Dumping in construction. Minister, my question is this. This bill was announced more than six months ago and, to my knowledge, nothing has yet been introduced to this effect in Parliament. What are you waiting for or waiting for the federal government to act and finally implement these provisions that would help to combat the scourge of social dumping, both for Belgian workers, who lose their jobs, and for posted workers, who are shamefully exploited in our country without any effective sanction?
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u25	Mr Carcaci, you know that Mrs Thyssen announced in the press that she hoped to be able to present in the spring her mobility package containing the measures relating to secondment. Of course, we cannot react at the moment to a plan that has not yet been submitted by the European Commissioner. It is true that negotiations between the United Kingdom and the European Council are still under way. It is possible that in the coming weeks we will be announcing developments in this regard. Belgium maintains, of course, with determination the fundamental freedoms constituting the European Union, such as the free movement of persons. At the same time, we are calling for abuses to be combated at European level. On the other hand, I can inform you that a preliminary draft for the transposition of Directive 2015/67 was sent to the National Labour Council at the end of December. Once the latter has given its opinion, the text will be tabled in the House of Representatives. In particular, a specific system of joint and several liability for wages for construction companies is included. This mechanism, which we propose and for which an informal consensus has been reached, is in addition to other provisions in this area. It determines that the sponsoring contractor exercises this responsibility for the payment of the minimum wage, unless it has established in writing that the subcontractor is required to pay it, even if, without his knowledge, such payment is not made. This is the same mechanism that already exists for the employment of illegal workers. As regards measures at Benelux level, I can inform you that on 23 September 2015, the Benelux countries approved an agreement to start the fight against social dumping together and to organise joint controls. This is a further elaboration of the commitments made by the three countries at the Benelux Social Summit in 2014 and at the Benelux First Ministers' Summit in 2015. I do not have a timetable for the conclusion of cooperation agreements with institutions in so-called risk countries. With regard to the question concerning the amendment of article 433, quinquies, of the Criminal Code, I draw your attention to the fact that this matter is not within my competence but that of my colleague, the Minister of Justice, to whom I must refer you. As for your question concerning the transposition into Belgian law of the new directive on public procurement, I should also like to draw your attention to the fact that such a matter is not more a matter for me but for the Prime Minister to whom I am referring.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u26	Minister, thank you for that answer. I will be paying attention both at European and Belgian level. As you said, the proposal will have to come back to the House in the Chamber. As you kindly advise me, I will appeal to the Prime Minister and your colleague in the Department of Justice.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u27	Excellent!
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u28	Minister, the Act of 11 February 2013 laying down sanctions and measures for employers of illegally staying third-country nationals provides for a ban on employment for persons without legal residence and for better protection of workers. The law also provides for the possibility for organisations to take legal action to ensure the effective payment of late pay for workers in illegal residence of a third country. In order for institutions or associations to be able to defend the interests of those workers, a royal decree must be issued. What is the status of the royal decree? Will that be there soon? If it's not there yet, why not? Is there any further consultation with the organisations? Is there any discussion within the government? Can you tell me which organisations will be able to act for the interests of these workers? Will these organisations be given additional resources to carry out their mission?
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u29	Ms Kitir, consultations were held with the public benefit institutions and with organisations on the list approved by the Council of Ministers on 20 July 2012. Five institutions agreed to defend the interests of illegally staying third-country nationals. In particular, it concerns the League of Human Rights, la Ligue des Droits de löwHomme, CIRÉ vzw, OR.C.A. vzw and Foyer vzw. The competent services of the FPS Employment, Labour and Social Consultation have, upon request from me, as Minister of Work, drafted the Royal Decree determining the legal entities referred to in Article 8, 4° of the Law of 11 February 2013 laying down penalties and measures applicable to illegally staying third-country nationals. The draft Royal Decree is currently being submitted for signature to the Ministers and State Secretary concerned with a view to requesting advice from the Council of State. No additional funds were allocated to these organisations.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u30	Minister, I am pleased that the Royal Decree has already been drawn up and that it is on its way for advice. I do hope it doesn't take much longer. After all, from 2012 until now is a long time. I hope that this can be achieved in the very near future.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u31	Mr President, Minister, e-commerce is taking on considerable scope at this time. This was again noticed when the level of terrorist alert rose to 4. Consumers then moved to e-commerce rather than going out to shopping streets or shopping malls. A breath of oxygen for the traders, who suffered greatly from this situation of quite exceptional character. During the holiday season, the trade is in full swing. Both shopping streets and shopping malls are crowded. There is also a considerable influx of online sales sites. However, it is mostly sites located abroad that benefit from this craze for e-commerce. Indeed, about 60% of the e-commerce market in Belgium is captured by our neighbours. Why? Because in these countries night work is allowed, allowing companies to prepare packages overnight so that they can deliver them quickly. In Belgium, legislation prohibits work between 8 p.m. and 6 a.m. for the retail sector. I am very attentive to all developments in e-commerce in our country. I also welcomed the Start-up Plan, which includes a night work authorisation for activities related to e-commerce. I also know that during 2015, you held a round table and talks with the relevant actors in order to achieve clear, effective and fair legislation for all. Minister, what is the status of discussions in the Joint Committees on the modalities for the introduction of night work in the e-commerce sector? What are the conclusions of these talks? What is your agenda for implementing these concrete modalities? What impact should these measures have on the country's economy? Job creation should certainly take place. It would be interesting flooring on the way. We need a real balance. I do not wish to be in favour of the e-commerce punt aan de lijn, that is not the objective. However, it is ridiculous that part of our turnover goes abroad. We must certainly work in this direction and adopt a policy on local trade. We also need to evolve in relation to new technologies.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u32	Mr President, Mrs Cassart-Mailleux, you know that the social partners in the trade and distribution sector concluded, just before Christmas, an agreement on e-commerce needs, and more specifically on authorisation to work at night. In this agreement, all the signatory parties undertake, on the basis of the principles laid down, to conclude contracts at company level which make it possible to develop e-commerce activities. As a result, jobs will be created. Each company will be able to give tailor-made content to this agreement. The first step was completed at the end of last week. The social partners of the Joint Committees 201, 202, 311 and 312 have concluded collective labour agreements concerning night work and e-commerce. At present, negotiations on night work can begin at company level as long as they respect the sectoral framework. It was also requested to issue a royal decree under article 37 of the Labour Act in order to introduce a derogation from the prohibition of night work in case of e-commerce activity. The publication of this decree will create the necessary working framework for the introduction of night work in the sectors concerned. The choice to give, through social consultation, more opportunities for the development of e-commerce is deliberate. This will quickly lead to job creation as a result of this sectoral framework. Unlike legislative initiatives, this social dialogue will speed up implementation at enterprise level. Apart from the sectoral framework, the wage burden will also play an important role in job creation in e-commerce. The impact of the tax shift reduction, which targets the lowest wages, is not negligible for this sector.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u33	Minister, thank you for this comprehensive response. I see that there is progress and I am delighted about it. The work is obviously still important. These are subjects that interest me and I will certainly come back to you when I see the need to see how your work is evolving.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u34	Minister, in the previous legislature, the trial period was abolished as part of the harmonization of the statutes of workers and employees. Thus, since 1 January 2014, it has been abolished for all, with the exception of student jobs and temporary work. This is justified by the rather short notice periods which the employer and the worker must comply with in the first year of the worker's entry into service. Two years later, the Union des Classes Moyennes asked for its reintroduction. Perverse effects have been observed: employers multiply temporary contracts and fixed-term contracts in order not to hire an unspecified person for an indefinite period. Indeed, according to the UCM president, one in two people is not suitable for the job for which they were hired, hence the need to provide trial periods. Since 1 January 2014, as part of the policy of the Small Business Act initiated by the European Commission, drafters must complete the "SME test", which analyses the impact of a draft law on SMEs. However, it turned out that this test was often not filled in effectively and comprehensively by the authors, which totally distorts the analyses and therefore does not allow for a negative impact on Belgian SMEs. As part of the elimination of the trial period, had the SME test been carried out? What were the conclusions? Did it foresee the negative impact of the elimination of the trial period? Will a new SME test be carried out as part of a possible reintroduction of the trial period? How could the trial period be reintroduced while maintaining the harmony of the status of workers and employees, with the aim of avoiding perverse effects such as the use of temporary work or fixed-term contracts? I will end by giving an example: most companies do fixed-term contracts to avoid this problem. There is some mobility in employment. When you have a fixed-term job offer in front of you, there are people who don't dare to change jobs. I therefore believe that this measure has a perverse effect. I believe that an indeterminate contract with a trial period was entirely in favour of both the employer and the employee. It should not be seen as discrimination, far from it. I would therefore like to hear you in relation to that, Minister.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u35	Mr President, Mrs Cassart-Mailleux, the Act of 26 December 2013 on the introduction of a single statute between workers and employees as regards notice periods and the day of default and accompanying measures introduced a general rule on notice, valid for all workers. First of all, I would like to point out that the entry into force of this provision implements the compromise reached in the negotiations with the social partners. Since the introduction of these measures, I have never been informed of an effect that could be seen as a hindrance to recruitment. Surveys have been published, revealing that the trial period would have led to changes in the behaviour of employers. As I have already pointed out on several occasions, the real interest of employers showing such a reaction is difficult to understand. Without going into concrete examples, new notice periods, in any case for employees, are much shorter than those previously applied. The situation is changing. It therefore seems to me that the single statute did not introduce an additional requirement in terms of notice, either for SMEs or the largest companies. On the other hand, negotiations had to be taken into account, to the extent possible, and the fear of future dismissal did not constitute a barrier to recruitment. I can also point out that, as provided for in the government agreement, we will propose to the social partners to assess the reform of the notice periods and the abolition of the trial period in order to avoid obstacles to recruitment policy and to guarantee the hiring of workers. This is the most important aspect. I understand that this discussion with the social partners is necessary. That's why I'm gonna try to start it as fast as I can.
ParlaMint-BE_2016-01-27-54-commissie-ic325x.u36	Minister, for once, we will not be entirely in agreement. You tell me you don't have a complaint and little echo; I have a lot of it. The position of the UCM is clear. I understand that this is a comprehensive agreement and that part of this agreement cannot be changed without negotiation. I hope, however, that it can be assessed within a fairly short period of time. It is necessary to take this file with arms-to-body so that the perverse effects do not manifest. This should not turn against workers and against hiring. The government wants to create jobs and we really need to go in that direction. It is necessary to evaluate, to seek the opinion of the social partners and to negotiate within a relatively short period of time.
