ParlaMint-BE_2016-01-13-54-commissie-ic306x.u1	Mr Minister, ladies and gentlemen, I welcome you for this afternoon's questions and answers.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u12	Mrs Van Vaerenbergh, the problem you raise in your first question is not new. The conflicts arising between the decisions taken by the respective central authorities in carrying out an international adoption were already raised in the past in the Committee on Justice, for example in oral question No. 1725 at legislative time 53. It was also addressed in judgments of, for example, the Brussels Appeals Court of 22 February 2011 as well as in the Committee on Welfare of the Flemish Parliament. I understand and agree with the concern to avoid as much suffering as possible from the candidates. The most humane approach possible and the proper coordination between the central authorities are very important, without disregarding the fundamental principles of protecting the best interests of the child, which are at the root of any adoption. I can inform you that the subject will be discussed at the forthcoming Commission for consultation and follow-up on 11 March 2016. Indeed, in recent years the Commission has not met twice a year for consultation and follow-up. This does not mean that there has been no frequent informal consultation with the Communities. Important legislative changes were prepared in joint consultation. There is, for example, the Law of 11 April 2012 on the regularisation of adoption procedures carried out abroad by persons habitually resident in Belgium, which was amended by law of 25 April 2014 at the request of the Communities. For example, at the end of 2015, a preliminary draft law amending the Civil Code and the Judicial Code was finalised, in particular with a view to introducing a prior fitness judgment in the domestic adoption procedure, whereby the Communities were consulted. Informal consultations have been held between the services concerned on the opening of new channels, stressing the need for certain guarantees to be provided, inter alia, to prevent a child from being withdrawn from his natural parents, culture and environment for no serious reason, or to be the subject of trade or kidnapping. In June 2015, the Central Authorities participated in the Fourth Special Conference in The Hague on the practical functioning of the Hague Convention of 29 May 1993 on International Cooperation and the Protection of Children in the field of International Adoption. In December 2015, the Commission was convened again for consultation and follow-up and an agenda was set. Regarding Uganda, the Federal Central Authority received information from the Foreign Affairs Services which may be important in assessing the adoptions of Ugandan children pronounced in Belgium. The service provided that information to the court. After all, the public prosecutor must give an opinion on each adoption. The Flemish administration was informed at the same time of the information provided to the public prosecutor. The parquet is now investigating that information in complete serenity and with due urgency. This study, in accordance with the letter and spirit of adoption legislation, is conducted in the interests of the children and of the candidates so that they can rest assured that they will not be able to return to it later. At the same time, it ensures that the interests of all those concerned are treated in an appropriate and fair manner, in accordance with the relevant provisions of the Treaty and of the relevant legislation.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u13	Thank you, Minister, for your reply.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u14	Mr President, Minister, in the summer of 2013, a political decision was taken to transfer the protection of important persons from state security to the federal police, which has this task today. Since not all personnel are transferred, the intelligence service will gain momentum. It was announced that 23 people within the State Security could return to work to support and strengthen the provincial public services in particular. There seems to be disagreement about the modalities of the transfer of personnel. A number of regulations and benefits which exist under the State Security Statute are not possible with the federal police. Negotiations with the trade unions continue to be stalled on a number of points. The last deadline set, namely 1 January 2016, was not met. What are the main reasons why there is still no agreement on the transfer of protection assistants? On what points was no agreement found? In what way do you hope to force a breakthrough in this case? At what time do you think that the transfer can really be a fact? When will the 23 additional people be able to be used for the additional intelligence work?
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u15	According to the coalition agreement, the mission of personal protection of the State's Security will be transferred to the federal police. This transfer will result in the police centralising all government tasks of personal protection. The security of the State thus becomes a pure intelligence and security service. In concrete terms, the 55 protection assistants of the State Protection Service will be transferred to the federal police. They will continue their activities under the authority and responsibility of the police. The 23 inspectors who are currently employed as frame staff in the Department of Protection will remain with the intelligence service and will be used for intelligence work after the transfer of the protection mission. This therefore means strengthening the security of the State. The legal framework for this transfer will be a legal amendment and a royal decree which will regulate the status of the protection assistants once they are employed by the police. The draft law in question was finally adopted by the Council of Ministers. The draft royal decree is currently being discussed with the trade unions at the State Security Office. The sectoral committee in question focuses on the transfer premium for the protection assistants and on the possibility for those concerned to opt for reduced basic training. Both measures are taken by the government to respond to the questions that the trade unions still had. We aim to achieve the transfer in the spring.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u16	You therefore acknowledge that the operation was not completed on 1 January 2016. Now you're talking about spring. That could take until the fall starts. I don't know what your definition of that is. In any case, I have the impression that this operation, which has been announced for a long time, is not going well. You remain rather vague about the problems to be dealt with. We have already heard about the transfer premium and the reduced training. It appears that there are still several problems with the statutes, unless an agreement has been reached on them in the meantime. I believe that this will have an impact on the budget. If I am not mistaken, it was stipulated that the State Security would no longer have a budget for the payment of these staff from 1 January 2016. After all, they were supposed to be with the federal police in the meantime. I suspect there will be another budget change if this operation is not to be completed quickly. We shall see about that in budgetary control.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u17	In the spring.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u18	Soon I will be asking a parliamentary question on the definition of spring forecast.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u19	That's when the birds lay an egg.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u20	Debates of the European Parliament Mrs Uyttersprot converted 2856 into a written question.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u21	Mr President, Minister, Belgium has 187 cantons. In principle, there is a peace dish per canton, except for a number of exceptions, where there are several seats per canton. In the judicial cantons where there are currently two or three seats, only one seat per canton will be retained in the context of rationalisation. Since I myself am a member of Dendermonde's desk, you will forgive me if I confine myself to the judicial district of Dendermonde, which counts several cantons. Most seats remain unchanged there, except in the canton of Wetteren-Zele. That canton is competent for Wetteren, Wichelen and Zele and currently has two seats, namely Wetteren and Zele. For Wetteren and Wichelen the situation remains unchanged. In Zele, on the other hand, not only does the seat disappear, but also every sitting day. The Zelenaars must therefore go to Wetteren in the future. I have taken the liberty of adding a map of the province of East Flanders to my question and it shows that there are still two municipalities between Zele and Wetteren, namely Wichelen and Berlare, both of which belong to other cantons, which is an illogical situation. Hence my suggestion to send the Zeler to Lokeren or Dendermonde. As a result of this decision, I would like to put the following questions to you. On what basis was it decided to retain the seat of Wetteren and delete that of Zele? Is there any possibility in the future of letting Zele fall under the peace court of Lokeren or Dendermonde, municipalities that are closer? Can this be considered in a subsequent phase? Is the building to be emptied in Zele State property? If so, what destination will be planned for this purpose? Will the staff currently employed in Zele be transferred to Wetteren or will they be assigned to another court?
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u22	Mr President, Mrs Uyttersprot, as I have already said in response to Mr Van Vaerenbergh's question, I am pleased that we were able to land just before Christmas with the first phase of the plan for the peace process. This represents an important step towards a more modern justice system. In this first phase it has been decided to centralize the seat of the canton of Wetteren-Zele in Wetteren. The first phase was about the double and triple cantons. The choice of centralisation took into account different criteria such as the workload, the location, the state and the area of the buildings and the preference of the local court of peace. Taking these elements into account, a choice of Lawmaking was logical. The building at Wetteren is owned by the federal state, the building at Zele is owned by the municipality. A redistribution of cantons based on objective criteria is part of the third and final phase. For this, I take your suggestion with me in the exercise. No shift of staff is planned at this stage. In this case, this means that Zele's staff will be housed in Wetteren.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u23	Thank you, Minister, for your reply. Like my colleague, I naturally support rationalisation. I didn't want to look bad and Lawrence is the logical choice when looking at the population, the number of files and so on. Historically, it has grown so that this was a canton, but in the future it doesn't have to be. We trust that you will take the suggestion to further the logical choice.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u24	Minister, parental deprivation is a disorder in children which occurs almost exclusively in conflicts surrounding parental authority. One parent can easily brainwash and manipulate the child in that situation, so the distance from the other parent is increasing and the child doesn't want to see the other parent anymore. Since the rejection is largely due to the influence of the beneficiary parent without abuse or neglect by the rejected parent, one speaks of parental deprivation. I asked you a written question in March 2015. You said at that time that it is not obvious to map the number of PAS children or children with a parent alienation syndrome, because this requires a scientific study. Of course, that scientific study is not an exact science either. In addition, the Flemish Forum on Child Abuse has been commissioned to pay attention to the problem of divorces, in which PAS will be considered a special form of child abuse. You are committed to a multidisciplinary approach to child abuse, in which the VFK has been asked to make recommendations in this area. I'm looking forward to this. At the end of 2015, I also learned that you included guidelines in an updated letter, which are binding on all prosecutors. I quote: 'The new directives pay great attention to the serious consequences of a child's non-release. At the same time, it is stressed that failure to give a child constitutes an infringement of the child's right to maintain a personal relationship with one of his parents. From now on, the crime of non-release of a child will be catalogued under the concept of partner violence. These crimes will therefore be treated with the same seriousness as the other acts of violence, but their specific nature must be taken into account." Is this measure already in force, Minister? If so, do you have a view on the implementation and follow-up of this? If not, when will it enter into force? In what way were the judges trained in the matter? Will there be investment in training for experts for that particular condition? What guidance is provided for the recovery between the rejected parent and the child? Have you already received the recommendations and policy advice of the Flemish Forum on Child Abuse? If so, will that information be made available? If not, when is the policy advice expected?
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u25	In fact, Mrs Uyttersprot, in the updated circular on partner violence of myself and the College of Attorneys General, COL 4/2006, which was distributed to the public in November last year, more attention is paid to the child's position in the context of intra-family violence. A separate chapter is devoted to the special cases of non-representation of children, family abandonment and leaving a child in a needy state. The provisions of the circular entered into force on 1 December 2015 and it is therefore too early to comment on their implementation and follow-up. As far as training is concerned, any magistrate dealing with such dossiers may follow a multidisciplinary basic training on intra-family violence at the Institute of Judicial Training or IGO. The reference magistraat receives a specific continuing training. However, the restoration of the relationship between the child and the disowned parent remains a difficult issue. Often the relationship is so distorted that normal understanding is no longer possible without a thorough help. This means that aid has an important role to play here, which is outside the jurisdiction of the courts. Justice can only refer here to the competent services, but early intervention can, of course, help to prevent a derailed situation and that is better than cure. The Flemish Forum Child Abuse, the so-called VFK, to which you refer, is in its first year of operation. Through the arrondissemental councils Child abuse and a questioning the problem of fighting divorces emerged strongly. On 26 June 2015, the Flemish Forum on Child Abuse informed the Flemish Ministers of Education, Youth, Sport and Welfare, Health and Family, as well as the Federal Ministers of Home Affairs, Health and Justice. The comprehensive opinion will be very useful for further policy initiatives and consultations between the relevant policy levels.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u26	Thank you, Minister, for the answer. The recommendations will be very important. I'm looking forward to it. During the interim period, however, there is still a major task for aid and also for justice. There are possibilities already, but there is hardly any prosecution in the event of a child's non-release, in the civil sphere, or in the case of family abandonment at a correctional level. I was able to figure that out from the numbers a while ago. That's a shame. It is a very good signal that such facts can now be clearly categorized in all courts as partner violence. There are also other possibilities of prosecution, which seem to have not yet been sufficiently followed up. We are looking forward to the opinions.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u27	Question No 8263 by Mr Alain Top is postponed.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u28	Minister, the end of 2015 was marked by strikes and notice of strike in the prisons of the kingdom. They were intended to denounce the slow pace of negotiations between the unions, DG Prisons and your firm on, among other things, the lack of staff and the savings to be made. According to the Directorate-General of Prisons, the prison staff shortage is estimated at 480 full-time equivalent jobs, or 5 per cent. It seems that constructive meetings have been held between the unions and your firm. Proposals would have been made and a series of commitments made, such as flexibility grants, uniforms and staff enhancements. The unions had described the last meeting as constructive, although they also noted that progress still needed to be made in other areas. Working groups have also been set up on absenteeism, the security corps and training. The guaranteed minimum service is still under discussion. It is true that since my question was tabled, I have found that the unions have expressed themselves again by setting out a series of questions that require additional work. They asked for a new meeting with you and your firm. I therefore take this opportunity to add to my initial questions a request for development that takes account of these recent events. What is the status of the discussions? What do you intend to do about the various points raised? Apart from this, do you confirm the staffing deficit figures given by the DG? If they are not correct, do you have any other data? Can you detail the commitments made? What's wrong with the unions? What are the goals, compositions and timelines of the working groups? Will their findings be made public or communicated to the members of our committee?
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u29	Mr Vanden Burre, as far as the staff figures for DG PPE are concerned, we cannot speak of a deficit. The government agreement provides for a 10% savings on the staff budget by the end of the legislature. This economy is done in stages. For 2015, I got an exception. Instead of 4%, DG PPE had to save 1.5%. Staff costs are monitored on an ongoing basis. Any final movement of staff – promotion, recruitment, retirement – or any entry into service of contractual staff must be submitted prior to the advice of the Finance Inspectorate. This institution must check whether there is any margin for this movement this year and the following year. Throughout 2015, I was unable to recruit from DG PPE, with the exception of 20 recruitments for the security corps and 20 recruitments for supervisory staff, due to the negative outlook. On 16 December 2014, together with the trade union representatives, I set up a "rationalization" working group to achieve the 10% economy and to ensure that, at the same time, all tasks continue to be carried out in prisons. A reorganization is necessary to ensure that the same tasks are carried out with fewer staff. I'll give you a few numbers. As of 11 January 2016, the staff of DG PPE assigned to surveillance included 6,830 full-time equivalents. On 9 January 2015, the strength was 7,136. There is a difference of 306 between the two. This is not yet enough to achieve the target 10% economy. It is urgent to make the necessary adjustments to the working methods in order to maintain proper functioning. On 21 December 2015, I made the following commitments to the unions. I undertook to submit as soon as possible the draft ministerial decree amending the ministerial decree of 24 September 1998 regulating the granting of an allowance for irregular benefits to FPS Justice staff members to the Finance Inspectorate in order to obtain its positive opinion, in order to be able to grant the flexibility bonus. The President of the FPS Justice and the Director General PPE undertake to amend the working regulations for prisons in order to integrate the midday half hour break into the real working time for supervisory staff, technical staff and nurses. Implementation will take place as soon as this Ministerial Order comes into effect. My third commitment relates to the budget for uniforms, as presented on 15 December 2015 and reflected in the minutes of the meeting on that date. This commitment will be respected by the authority. The mutation cycle will be carried out in phases from 1 February 2016. Within the framework of the supplementary budget for the fight against terrorism and deradicalization, 54 statutory members of the supervisory staff are actually requested. On December 16, 2014, I set up seven working groups: - backpacking, past leave and absenteeism; - leave prior to retirement; - at the start of the evaluation of Protocol 351: discussions on the guaranteed service; - rationalisation of the organisation of working methods (working method, modernisation of buildings, fight against overpopulation, including Tilburg, differentiation between the various prisons); - training (including basic training, proposals for an additional period of 3 to 6 months); - fixed-term contracts; - security corps. All working groups met several times last year and some have made good progress. For example, the working group on fixed-term contracts has finished because each CSD has become a CDI. The "Pre-Pension Leave" Working Group has almost completed its activities as a draft Royal Order signed by the Ministers of Justice and Pensions is now in the review stage for agreement with the Ministers of Budget and Public Service. Next, this will be the formal negotiation stage in the Sectors Committee. An exact timing was not imposed so as not to put unnecessary pressure.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u30	Minister, thank you for your detailed answer. As far as the last elements are concerned, you have not fully responded. We will follow the progress of negotiations with the various unions following the announcement made yesterday.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u31	Mr Minister, I do not want to make a habit of it, but this written question has been converted into an oral one because I would like to get the figures. I've been waiting for it for a while. In short, it is about the evolution of the number of new Belgians and the loss of Belgian nationality. As you know, there are two naturalization procedures. One of them runs here in the Chamber, in a separate committee. The second procedure is carried out through the municipal administration or the local office. In addition, I had a number of questions. How many persons applied for Belgian nationality in 2015? Can you give the figures for the different years starting in 2011? What nationality are those who have applied for Belgian nationality? How many applications were rejected and for what reason did this happen? What procedure did this happen? What nationality did they have before they got the Belgian? How many persons retained their original nationality on top of the Belgian nationality obtained? So how many people got a double nationality?
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u32	Mrs Hufkens, in order to respond to your written questions Nos 432 and 560, my administration has already made several enquiries concerning the existence of judgments and judgments which have issued a declaration of revocation for the period 2012 to 2015, on the basis of Articles 23, § 1 and 23/1, § 1 of the Belgian Code of Nationality. In order to have complete information on the data you requested, my administration also had to contact the competent judicial authorities. My administration itself does not have this statistical information and must always question the competent judicial authorities. As soon as the information is in my possession, I will provide you with my answer to your written questions already mentioned.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u33	(...)
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u34	Mrs Hufkens, the first group of questions you ask me, will look at the figures on the applications submitted to obtain Belgian nationality. I cannot provide you with statistical data on this because the figures are not kept in a global way. However, there are figures on the acquisition of Belgian nationality. They are maintained by the services of the National Registry, which are under the General Directorate of Institutions and Population of the Home Office, and for naturalisations by the Naturalization Committee of the Chamber of Representatives. I can tell you that the figures of the National Register and the Naturalization Commission show that a total of 26 238 nationality acquisitions have taken place in 2015. The observation date of these figures is 9 January 2016 and 8 January 2016 respectively. My administration has requested the other data you requested from the competent services, but since not all the data is yet fully available and their processing takes a long time, I cannot answer your specific question today to split up all the data according to the type of procedure. I shall, however, give you an answer to that in the context of your written question No. 431. I can already give you an overview for the years 2011 to 2014 of, on the one hand, the figures for naturalisations and, on the other hand, the figures for the other types of nationality acquisition, broken down according to the original nationality of the new Belgians. You will find this information in two separate tables, which I will present to you. I cannot answer your question about the preservation of the original nationality of the new Belgians because neither the National Register nor the Committee for Naturalizations keeps that data.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u35	Minister, it seems that it is not so easy to obtain the data. So I'm waiting in suspense for the other answers. The question has been on the pipeline for almost a year now, so I hope it can progress a bit.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u36	Mrs Hufkens, you have another question. 8293 on the withdrawal of Belgian nationality?
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u37	That has already been said, Mr President.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u38	There was some confusion, Mr President.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u39	You know, Minister, that the government agreement provides for an adjustment of the procedure for recognising the status of statelessness, with a centralisation at the level of the judicial district. It was agreed in the framework of the government negotiations that partial specialisation should be achieved. This should enable the applications to be completed within a reasonable period of time, which could also lead to the specialisation of the magistrates concerned. Today there is a great deal of diversity in the way applications are dealt with and in the time limits within which the various courts deal with applications for the status of statelessness. In certain cases which have come to my attention, Minister, people sometimes have to wait up to two years or more. This is not about a personal dossier, but someone of Scottish origin, who has been in our country for more than fifteen years and has become stateless for some reason, does not touch nationality. That person's got a procedure going on right now. That procedure has been going on for more than two years. Fortunately, such cases of statelessness are not numerous, but they are. If one finds that these procedures last one, two or three years, then that is poignant, because in the meantime those people cannot live their lives. They're stuck with all kinds of stuff. There's an agreement in the coalition agreement. I know that, especially in recent months, there have been many other priorities. You have had to make a great deal of effort in this respect, but I would like to know what is happening today in the reform of the procedure for recognising the status of statelessness. What legislative initiatives are needed for this? When will you come to Parliament with this? What stage are the initiatives at? Or should they not come to Parliament? What's your status?
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u40	Mrs Lanjri, my administration is currently preparing a preliminary draft law on various provisions relating to family law matters, inserting an Article 622a into the Judicial Code. This new provision provides for a centralisation of the power of recognition as a stateless person at the family court sitting at the seat of the court of appeal in whose jurisdiction the applicant is domiciled or resides, or failing that, where the applicant is situated. In this way, the contenteux is regrouped at a single family court in the jurisdiction of the court of appeal, leading to a greater specialisation of the magistrates involved. The aim is to submit this preliminary draft law to the Council of Ministers as soon as possible and then to the Council of State, so that it can be submitted to the Chamber one of the coming months.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u41	Thank you, Minister. I'll follow up on this. I hope that the preliminary draft will receive a positive opinion from the Council of State and that we can approve it here as soon as possible. It is not because it is about a limited group that these people have no rights. I therefore hope that we will be able to do so quickly.
ParlaMint-BE_2016-01-13-54-commissie-ic306x.u42	Mr President, Minister, you know that unaccompanied minors arrive every year in our country and in many other European countries, without any kind of support from parents or family members. In our country they are immediately assigned a guardian to monitor their procedure, the choice of procedure, their enrolment at school and so on. The guardian certainly does not have the role to give shelter to those concerned or to provide bed, bath and bread; this is done by our services. The task of the guardian is to take care of the administrative part and to seek a sustainable solution for the younger. In the past, we have had problems with a lack of guardians, but especially now that the number of unaccompanied minors has increased enormously during the refugee crisis of the past year, the problem has become even greater. Three weeks ago I paid a visit to the Foreign Affairs Office and I found out that eight hundred young people have no guardian. Now, three weeks later, it even turns out to be about nine hundred young people without guardians. I know you're working on a solution and that's exactly what my questions are about. What is the government doing to address the problem of lack of guardians? I hope that there will also be cooperation with civil society, with organisations active in the field. I am thinking of refugee work, Caritas, the Red Cross, but also of certain partners in the region, such as Foster Care Flanders. They are already taking care of unaccompanied minors. So I think those partners should definitely be involved. Are there sufficient additional resources to ensure that the additional guardians, if any, are effectively able to provide the reimbursement of expenses to which they are entitled? That's not much, but they should be able to get it. When will the problem actually be solved? Can it be said that the problem of backwardness for 900 young people can be resolved quickly? In the coming months, the number of unaccompanied minors may continue to increase or certainly not decrease. So the need remains. What solution are you providing today? What do you plan for the future? How long do the nine hundred young people last on average without a guardian? Or rather, what is the maximum time limit for those without guardians? After all, the average does not always say very much. Is that a matter of a few months or a few weeks? What is the age of the youngest unaccompanied minor without guardian? Do you have the budgeted amount for the additional costs involved in the increase in applications? Do you have sufficient resources for these guardians and for the Guardian Service? Finally, here's what I'm gonna say. At the beginning of last year, my bill was passed to protect unaccompanied minors even better. For example, the possibility for minors to initiate two procedures at the same time, namely both the procedure giving entitlement to specific protection for unaccompanied minors and the application for asylum. I have the impression that this possibility, which only exists for a year, is not so well known on the ground. The guardians must accompany unaccompanied minors in this, but are the guardians informed of this change of law and of this possibility? Have you taken initiatives to this end? The guardians receive regular refresher training from the Voogdij department or from other services, but is this possibility included in the in-service training package? Do you have an idea of the number of unaccompanied minors who have already started the two procedures? For many young people it is often best to start the two procedures simultaneously.
