ParlaMint-BE_2016-03-02-54-commissie-ic351x.u1	Ladies and gentlemen, I propose that we meet until 12:00.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u12	I totally understand that you don't want to sit there useless. However, new joint committees are coming up, in which these accents can be laid. For a partner who concluded a cooperation programme with the previous minister, the lines cannot, of course, be cut abruptly. It's the partner country itself that's most important to me. It must continue to be able to place certain emphasis in its own policy programme thanks to the resources it receives for certain programmes. It is therefore not possible for each minister to put forward his own important points over and over again and to suspend programmes. As a result, the predictability of aid becomes unreliable and this makes it difficult to lay out its own accents on the ground. I hope you will take that into account. I understand very well that you want to emphasise certain things, but that should be possible within the current, ongoing programme. The easiest thing to do is to place the emphasis on identifying or formulating projects, because they are not yet in progress. Personally, I find it difficult to put an end to the current projects. Local staff are also active, as a certain logic is being followed in the partner country itself. That way we become unreliable. It is therefore impossible for each minister to consider certain matters no longer important and therefore to abandon these projects. The partner country must certainly be involved. However, I know from experience that a partner country is always a little afraid to respond to a donor country, fearing not getting anything more. It is therefore doubtful whether the partner country will make any comments on this. I hope that there is some respect on our side not to stop ongoing projects abruptly if they do not fit in with the policy priorities. That should not be the intention. That is why I am asking for a decision not to be taken unilaterally, but to try to achieve it properly. As for the encourse, I know the BTC has a program, but that's pretty young. If we figure out what they're doing and what's been realized... even though the program isn't old, it's going pretty fast. I think that for the sake of the BTC I can say that the programmes are being implemented rather quickly. My question is therefore that there is some caution in the case of ongoing projects. If this revision is to be carried out, I would ask for an overview for Parliament so that we can have some insight into it.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u13	Minister, my question was tabled two months ago. I wanted to know where you were in the ambitious reform of the BDA (Belgian Development Agency). For the time being, we have only partial information on this subject. Have you consulted the various actors? As was pointed out yesterday in the debate on the objectives of sustainable development, the staff of the CTB (Belgian Development Agency) expressed some concerns. What are the acquired elements and what are the elements that still need to be adjusted and detailed? What is the timetable for this reform? On several occasions, some of my colleagues and I have expressed the wish to be involved in thinking about the future of cooperation. So how do you envisage this exchange of views with Parliament?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u14	Minister, my question is in line with Mr Dallemagne's question. Any reform will, of course, cause some unrest for the staff. That's normal. Every reform is uncertain about what the future will bring. I hope, therefore, that the people working for the BTC will be informed quickly so that they can orient themselves within Belgian development cooperation. It's usually people who are highly motivated and committed. I have several questions for you about the state of play. It is not really in the coalition agreement, but I believe that an evaluation of the current operation should be carried out. I have the feeling that this has not really happened and that it is immediately being watched how other countries do it. Nor do I feel that the evaluation by the DAC criticized the current operation. Was this evaluation the basis, or was there another basis for the changeover? I do believe that we must evolve, and that development cooperation is a dynamic fact, but that development must be gradual. The fourth management contract between the BTC and the Belgian State dates from 2014. This management contract has now entered into force, but no meeting of the Joint Committee has yet been organised. My questions on this are as follows. Firstly, the management contract has not been in force for long. The current evaluation of existing structures by the DAC was not negative. How do you intend to reform without prior evaluation of the current situation? Secondly, you ask the BTC to consider how it can evolve into a development agency. How's that thinking exercise coming? What's the result of it? What do you mean by the implementation of a development agency? What tasks and responsibilities should it have? What is different from the current tasks and responsibilities of the BTC? What initiatives will you take to ensure the necessary budgets for a quality functioning of the BTC and the DGD in the transitional phase of the fourth management contract to the new development agency?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u15	Mr President, Mr Minister, the staff of the Belgian Technical Cooperation (BTC) and the Directorate-General for Development Cooperation and Humanitarian Aid (DGD) are concerned about their prospects for the future in the context of the reforms that are taking place. You indicated during a speech during the New Year's reception on 27 January that there will be a place for each DGD and BTC collaborator and that an exciting future awaits both the BTC and the DGD. However, according to the echoes that come to me, staff see these promises as blurred and not giving sufficient guarantees for the future. The drastic downsizing at the CTB headquarters in recent years is a reality. This is not only the result of natural departures following pension payments, as you stated in your speech, but also of a general management of the BTC where even essential positions are no longer filled. One can guess the consequences: an increased risk of quality loss, an ever-increasing workload, certainly in an area where people very strongly believe in the project for which they are working, and more long-term diseases and burn-outs. Staff are increasingly receiving the message from their management that they are no longer hoping for a career in Development Cooperation at the BTC. The deterrent effect of this kind of message is felt especially among young colleagues. The promising rejuvenation of staff at the CTB, with a healthy combination of senior and junior experts, will soon be a thing of the past. Staff are also getting confused about the impact of future reforms on the financing of the BTC and, hence, on the financing of staff in Brussels. According to the 2016 Corporate Plan, this funding has decreased by more than one million euros, from 2012 to the present. Under the fourth management contract, the current funding provides for management fees based on turnover. Less turnover, more delegated cooperation, less joint committees, all this will automatically lead to fewer resources for Brussels. Minister, from what I have understood, staff hope that you are aware of the invaluable value of human capital still available to TBT and DGD, their recognized international expertise, their daily dedication and their boundless commitment. For having personally worked for two years in the Democratic Republic of the Congo, I can confirm a very high level of expertise from CTB in this type of case and invaluable assistance for those working in the field. The staff assumes that it is not at all a question of dropping this capital but, on the contrary, that you want to strengthen it further. Minister, how do you expect to ensure job security for the current staff of the BTC and the DGD? What will happen to BTC staff? Will it be fully transferred to the BDA? What will happen to DGD staff, particularly that of the Geographic Coordination Directorate (D1)? What initiatives will you take to end the brain drain of BTC and DGD? What initiatives will you take to ensure the necessary budgets for the full-quality operation of the BTC and DGD during the transition phase between the fourth management contract and the new BDA? What scenarios are currently on the BTC/DGD mobility table?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u16	Mr Hedebouw, your questions are exactly the same as those that the unions sent me by letter. I have had the opportunity to discuss this with them, but I am ready to start this discussion again. Colleagues, some are wondering why this is happening now because it is not included in the government agreement. The reflection had already begun before the formation of this government. On June 23, 2014, four months before I became Minister of Development, the Board of Directors of the CTB had decided to launch a strategic reflection to prepare the CTB for the challenges, as part of what was then called the Post-2015 Agenda, which became the 2030 Agenda for the SDO. The Chair of the Board of Directors and the Chair of the BTC Executive Committee informed me of this during my first meeting with them on November 21, 2014. I have clearly encouraged them to move forward in this reflection. I also met with the Board of Directors at the end of September 2015 to discuss it. The year ended at the end of October 2015, when the Board of Directors approved an ambitious proposal to transform the CTB into a development agency, the BDA (Belgium Development Agency). In its proposal, the BTC refers to the new paradigms created by the 2015 conferences in Addis Ababa on financing for development and in New York on Agenda 2030. This new paradigm forces the BTC to rethink its role and functioning. The BTC needs to be able to work more flexibly, in a more decentralized way. In addition, the government has decided to focus its cooperation policy on 14 partner countries, 13 of which are in Africa. Twelve of them are least developed countries and eight are fragile States. This means that the BTC will have to work more in an environment with a lot of risks and must be able to cope with it. Finally, the CTB also refers to the recommendations of the OECD Aid for Development Committee peer review in September 2015. I quote one of the recommendations: "DGD and BTC recognize that they must continue to adapt their organizational structures and business models so as to keep pace with the ever-changing landscape of development cooperation and the needs of developing countries". At the end of November 2015, at my request, DG Development Cooperation and Humanitarian Aid presented an opinion on this BTC proposal. In December 2015 and January 2016, my firm organized four meetings between DGD and CTB. At these meetings, we found that DGD and BTC widely shared the analyses and proposals contained in the BTC document. In fact, I undertook to take up the points of agreement between DGD and CTB as they stood. There are, of course, some points of divergence on which the government will have to decide. On February 23, I met with the unions, DGD and BTC in the presence of the Chair of the Board of Directors and the Chair of the BTC Executive Committee. On the basis of this preparatory work, which, I repeat, had begun four months before my appointment, I have just made a note to the attention of the government setting out the main lines of transformation of the CTB and the BDA. This note is currently being discussed within the government. I am confident that the government will approve it before Easter. You will understand that it is difficult for me to comment on the content of this reform as long as I am not covered by the government. I agree with the CTB in its ambition to make Belgian government cooperation more effective, to reduce duplication with DGD and to operationally translate the decisions taken last year within the framework of the United Nations. As soon as the government has taken a position on the broad lines of this reform, I will begin discussions with DGD and CTB staff, with the unions and, of course, with you. I also discussed this with the unions last week. The aim will be to translate these main principles into legislation. Mrs Van Hoof, as I said earlier, I believe that the peer review does encourage Belgian government cooperation to reform itself. In Recommendation 4.1, the DAC invites us to check whether our business models are adapted to the evolving international context, in particular to the specific problems of the least developed countries and countries in fragile situations. Recommendation 5.1 is an invitation to consider whether our instruments are sufficiently flexible and whether we are sufficiently adapting our instruments to the local context of partner countries. The proposed reform seeks to respond to these two recommendations. For the peer review it is clear that we need to adapt our instruments and our approach in governmental cooperation. Those adjustments are necessary because of the paradigmashif of the 2030 Agenda and also because of the government's decision to focus governmental cooperation on the least developed countries and on fragile countries. The responsibility of the development agency will increase. The Agency will be given greater autonomy to prepare country programmes and to record all interventions. The Agency will be able to move more flexibly with resources between different interventions if it is found that intervention does not deliver the expected results. The Agency will be able to cooperate more easily with other actors of public institutions in a partner country. In governmental cooperation, the first choice remains, of course, to cooperate with the partner government in an intervention. However, in some countries or in some areas, it may be too difficult to cooperate with a government and the agency will be able to work more flexibly with other operators. Mr Hedebouw, to answer your personnel questions, as I have already told you, I have met with the CTB and DGD unions and consultation with staff is primarily the responsibility of the organizations. I understand that both BTC and DGD have been anxious to inform their staff on a regular basis, but this is clearly the responsibility of management to do so. Some argue that the aim of this reform would be to reduce staff. I categorically deny it. On the other hand, I am convinced that we can do more and better. Indeed, with about 140 employees at DGD, 180 at CTB, 50 at BIO and 12 members of my firm, I think we are capable of a lot, a lot of things. If, in the future, these organisations are working even more together in the interests of Belgian cooperation policy and in the interests of the people of our partner countries, I think that with a total of 380 employees, we can create even more added value than at present. Finally, I agree with you that transitional measures will be required to allow staff members who wish to do so to move from BTC to DGD and vice versa. We will plan these transitional measures in collaboration with the human resources departments and the legal services of the two organizations.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u17	Minister, thank you for this information. I am also convinced that further reform is needed. As has often been mentioned, both the context and the objectives and partners of Cooperation are evolving extremely rapidly. I understand that you want to keep the first of your broad guidelines within the government. However, it seems interesting to me to have a debate in Parliament on these broad lines before they are finally agreed. It is important that Parliament be able to be involved in some way in the reflection on what our cooperation should be, on the role that the BDA will have in this rapidly evolving cooperation. As we've seen in the past few years, I think the cooperant is someone who has to evolve. I note, for example, the great demand from partner countries for specialists who come directly from some of our administrations in the areas of justice, police, etc. All of this deserves a debate on these issues. It would be a shame if the government were to deprive itself of such a debate or that this debate took place once a series of options and decisions had been taken. Mr President, I ask that Parliament, obviously in conjunction with the government, be able to have a preliminary debate here before the broad lines are revealed. This would seem to me intelligent and good policy, and it would help to aerate your own thinking. We also have a little expertise at the level of parliament. It is a pity that information is provided indirectly through trade unions, staff or other contacts. In my view, it would be more appropriate to have this debate in Parliament. Mr President, I would like us to consider how to organize this reflection. As you said, minister, there are still a whole series of steps before the bill can be discussed. It would, in my view, be a pity if a preliminary reflection could not be organised in our Parliament.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u18	Thank you, Minister, for your reply. I understand that you will also find an encouragement in the peer review for further reform. It is also logical to expect flexibility in dealing with changing realities in the field, especially when working with the least developed countries. However, I did not think that the current operation was being drilled into the ground. The most drastic reform there was in the 1990s, came from ABOS to DGOS. That was necessary in response to a number of scandals. Luckily, today we're not dealing with scandals. Development cooperation has certainly not been susceptible to fraud as in the past. Those instruments have therefore worked in this area. I believe that we are internationally recognised as a partner and that we have a certain expertise. We can be proud of that. You are ambitious and I think that is good in development cooperation. I'd say someone's finally got the nerve to do that again. However, I do believe that Parliament should also be involved in this. After all, it is a drastic reform. In the past, a drastic reform has taken place as a result of scandals, now it is taking place on the basis of the international context and reality, the 2030 Agenda. I therefore believe that Parliament should also be involved on the basis of the evaluation and choice of the model that we want to use. This is going to be fundamental for the future and I think we should know which model we are going to choose for. I often hear mention of the Swedish model, the SIDA model in which there is a lot of outsourcing, both to NGOs and UN organisations. I myself am not entirely convinced of everything about these UN projects. We also do not have good evaluations of these projects. Of course it is much easier to spend it, but on the other hand I am convinced that the BTC is appreciated and recognized on the ground. I don't know what it's about and what the distribution is about there. One can decide to go more on the ground and put more resources in it because we are recognized and appreciated there. I would be sorry if Belgium were to bring down good elements. We have to prevent that. We must preserve and, if necessary, strengthen the good things and not outsource them too much through delegated cooperation. We need to work together in the international context and find our place in it, that's right. However, we can also say that Belgium has some expertise that we can continue to play out in relation to other countries. That is why I am calling for the debate to be held in Parliament, because it is the most drastic reform that has been taking place since the 1990s in the area of governmental cooperation. Sectors and accents can be changed occasionally, but the way we work is fundamental. That is what we Members of Parliament are faced with. We do not keep our ears on the ground and hear all kinds of things. It would actually be more useful to conduct this debate thoroughly in a number of sessions in Parliament. At that time, the committee of inquiry on ABOS took a long time. It doesn't have to be that way, but we in Parliament have to show some seriousness in getting involved. We have seen from your answer that you want to go somewhere, but do not know on what basis and exactly what will happen. That is why I am asking for the debate to be held in Parliament.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u19	Minister, I can only join my colleagues' requests. It is not the monopoly of this commission to have such discussions with ministers on a regular basis, but it is still a matter of giving precedence to the legislature over the executive. I think it would have been better if we had had a debate before your decision-making, so that we could discuss it in depth and not just through it. I can only agree with the colleagues' request to consider having this debate in depth in committee in the next two weeks. Then, my inspiration, you will understand, is very trade union. Through the debate on the status of workers in this company, there is also a vision of the direction to be taken. And that's where our views diverge. Has the current CTB and DGD management communicated widely to staff? It comes to my mind that it is above all a very top-down communication of decisions that will already be implemented, and very little consultation. I believe it is good for our democracy that this internal business debate also comes back to the level of politics, since ultimately it is the policy that will decide the direction to be taken. I take note, and I guess I can confirm to all staff that the executive will not move in the next five years. Is it the minister's commitment that the framework will not move in the business?
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u20	[[...]]
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u21	All right. Instead, I have echoes of non-replacement following retirements. There is currently confusion on the subject in the negotiations. If the minister today commits that the framework will not move, I will take note. It's said in a parliament, I think it's important. Trade union organisations will know that there is no danger of staff reductions and that all pensioners will be replaced, one for one, in this part of the administration. Last, and this seems important to me, on the global vision revealed in the current reform. As you know, I think we will have this debate soon, it seems to me important that development cooperation should focus on working with partners on the spot and without too much or rather no interference in the internal affairs of countries. I believe that it is important for countries like us to help actors on the ground to move forward, autonomously, taking into account the reality on the ground; and not just to see development cooperation as an instrument of pressure on the independence of certain countries. We will have the debate in the months and years to come, but it seems important to me when the overall assessment of our foreign policy is quite catastrophic – it is enough to see the results of our various armed interventions. You're gonna tell me it's not you, and that's right! You don't have much budget, but I hear that your colleague, the Defence Minister, obviously has a lot of budget to replace his F-16s. I believe that we must pay attention to the fact that development cooperation is taking on a central role. Your budgets are down. I can only regret it. Further questions will be asked on the subject. I hope that we will have an opportunity to have an in-depth debate on this issue in Parliament.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u22	Mr. Hedebouw, you should have listened to me better. I repeat that this transfer from the BTC to the BDA does not meet a staff reduction objective. The exercise is about the new role of the Public Service, but the measures that have already been decided by the government as a whole regarding the non-replacement of personnel are naturally maintained. It's not an extra layer. If you ask me: "Will the current framework be preserved?", I'll answer you no, of course. The previous decisions remain valid. As you may know, Mr Michiels and Mr De Wispelaere will be coming to this committee on 15 March. Finally, I take about 85 % from the note from the BTC. It seems logical and pertinent to me that you are holding the debate with them. Actually, I'm taking over their proposal. I have committed myself to taking over what the DGG and BTC agree on, except for the 15% they disagree on. I'm gonna have to make a decision in that. On the one hand, I hear some people talking about more discussion, on the other hand, I hear people saying that they need to give security to the staff. That's not always compatible. I agree that it is necessary to clarify the staff quickly, but then it is also necessary to decide quickly. I am absolutely not opposed to debate, but I want to be able to keep up the speed of the decision. That is why I have submitted a draft to the government, which is why I hope to have clarity by Easter. Then, of course, I will also clarify the staff.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u23	I have heard the appeal of my three fellow Members who have asked this question. I would like to endorse that, simply saying that we went to the OECD in November. We have discussed a number of points with the OECD specialists. One of these is the question of whether there should be no reform of development cooperation, including in connection with SDG, but also with other factors. In the context of that discussion, I have had two things to say. Firstly, a British expert told us that the reform of the British system was initiated by Clare Short, a socialist minister. The Cameron administration has taken over without changing anything. According to the British expert, this happened because Parliament played a very important role at the time Clare Short proposed her plans. The British expert said that the project is supported by parliament, giving peace, stability and security to his country's development policy. Secondly, half an hour later we talked to a Swedish expert. Where there was a movement from left to right in Britain, there was a right-wing government in Sweden that had made a major reform of SITA. This reform is not being changed by the current socialist minister. Once again, according to the Swedish expert, the explanation for this was that, fortunately, they had the wisdom not to turn it into a matter of majority opposition at the time of the reform, but to discuss it widely in Parliament and also with all stakeholders before political decisions were taken. I would therefore also like to call on you, Minister, to engage in constructive cooperation and exchange of views. I believe that you are now in conversation within the government and that you hope to have some sort of guide note with great principles by the Easter holidays. I suggest that we debate this. I also propose that the Committee on the Rules of Procedure should prepare itself well for that debate. We already have a meeting on the agenda with the leading officials of the DGD and the BTC. The midfielder's already pulled my jacket. With your approval, ladies and gentlemen, I would like to propose a short two-hour meeting with civil society and also with trade unions before the Easter holiday. The representatives of the trade unions have already spoken to me about this. We will try to fit that in.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u24	Mr President, if I am not mistaken, we are in Question Time and this is in line with that. However, this is something that we must discuss with this committee in order to regulate the work. I propose that the order of business be changed at our next sitting.
ParlaMint-BE_2016-03-02-54-commissie-ic351x.u25	We have already agreed that we would ask civil society and trade unions. We will look for a date for this in the arrangements for work.
