ParlaMint-BE_2016-01-27-54-commissie-ic326x.u1	Colleagues, let's start with the questions. Mr Blanchart is not present for his question No. 8082.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u12	Minister, the European Union has imposed sanctions on Russia in connection with the annexation of Crimea. These sanctions were linked to the implementation of the Minsk agreements. It was claimed that they would have been implemented by 31 December 2015, which is not the case. In this light, the sanctions have been extended. We are also still receiving disturbing reports from the region. I therefore have the following questions for you. What is the state of play on the implementation of the Minsk agreements? How is the EU-Russia dialogue going and between NATO and Russia? How do you estimate the further development of relations with Russia?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u13	Relations between the European Union and Russia are difficult because we are dealing with a context of sanctions and counter-sanctions. Most of the modalities for dialogue and cooperation have been suspended. I remain strongly in favour of maintaining dialogue with Russia, but I see no reason to change the EU's sanctions policy now. We are waiting for a real implementation of the Minsk agreements in order to see a possible evolution. So far we have seen a number of positive elements, such as the ceasefire, but there are still many problems in Eastern Ukraine. The same situation still prevails in Crimea, but I remain open to dialogue with Russia. I think it is useful to do so bilaterally, including for the European Union. So far, however, it is a very difficult situation, which makes implementation of the Minsk agreements difficult. NATO has suspended its practical cooperation with Russia and the political dialogue has been frozen in practice. In order to ensure the credibility of its deterrent, NATO has had to adapt and has taken a number of measures under the heading "reinsurance'. I continue to advocate military confidence-building measures with Russia to reduce the risk of accidents. At various meetings within NATO, I advocated the establishment of contacts between the military. We don't want any incidents. For example, we had some F-16 picnics in the Baltic states. We have a great interest in having good contact with the Russian military in order to prevent any real incidents. I call for strategic patience and dialogue with Russia. We must maintain the balance between the three pillars of Western policy: dialogue, strong action through sanctions and support for Ukraine. Relations between the Western world and Russia will remain difficult until the Minsk agreements are fully implemented. The annexation of Crimea has fundamentally affected our security system. We must strive for a new temporary balance that will give us additional security guarantees and give a new impetus to the project from a free trade area from Lisbon to Vladivostok. Russia has been playing a new role in Syria for some time. Perhaps we owe the positive evolution of the political negotiations to its military action. That may sound strange in the context of our views on Russia. It is useful not only to have Saudi Arabia on board to exert pressure on the opposition in Syria, but also to exert pressure on the Syrian regime through Russia and Iran. Dialogue with Russia is important in various dossiers, not just for the conflicts in Ukraine and Syria. We also benefit from bilateral contacts in human rights, climate change, energy and other dossiers. Despite the fact that the situation in eastern Ukraine is very difficult at the moment. Finally, it is not only with Russia that we need to maintain dialogue, including with Ukraine. At our last meeting of the Foreign Ministers at European level, we had a direct contact with our Ukrainian colleague. They must continue to reform. I always advocate new reforms in the fight against corruption, such as the installation of a truly independent judicial order, as well as decentralisation in Ukraine. Without a genuine decentralisation process in Ukraine, it is impossible to have a positive evolution in the east of the country. I said this last year during our presidency of the Committee of Ministers of the Council of Europe. However, we are moving in the same direction at European level and in all bilateral contacts. So it remains very difficult, but there are some positive signs, such as the cooperation with Russia around Iran, where they wanted to get on board to reach an agreement on nuclear energy. It was possible to have Russia on board in Paris before COP 21. It was perhaps also possible in the last week to get Russia's support for political negotiations on Syria. However, as far as Ukraine is concerned, it remains very difficult.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u14	Minister, your answer does indeed make it clear to me what your general view is on this matter. You also place this very strongly within the European framework. I have heard you say a number of times that dialogue must remain open, but that it is difficult. You've repeated that several times. We must continue to pay attention to this dossier. However, I do not know from your answer what the relationship between Belgium and Russia is now. To what extent is it invested to keep this dialogue effectively open and sound?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u15	We continue to maintain many bilateral contacts with Russia. Last year I had many contacts through my role in the Council of Europe, but also bilaterally with my colleague Sergei Lavrov. There were also contacts through our embassy, our diplomats. There are also contacts in connection with foreign trade, with the Regions. There are missions, there are many possible activities. It is true that there are sanctions, but there are also other possibilities than in the areas where sanctions are imposed. It may also be possible to go further through the Commission, at European level. So we are trying to stay in dialogue, but with proper implementation of the sanctions that have been imposed at international level. We are moving forward, not only with a theoretical approach; we also have concrete contacts, for example with companies asking us if it is possible to reach an agreement, to make progress. We are trying to give a correct answer, within the framework of sanctions. It is impossible to go against sanctions, but it is perfectly possible to work with Russia in many areas.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u16	Madam President, Minister, the peace talks in Geneva on Syria should normally have taken place on 25 January, beginning this week. The talks were held because there was disagreement about the Syrian opposition delegation. These talks are crucial to bring the conflict in Syria to a successful conclusion by answering questions about the establishment of a transition period, the revision of the Constitution and the organisation of parliamentary and presidential elections. Following such an agreement, the way would be facilitated to fight more effectively IS, the al-Nusra Front and other terrorist groups in Syria. After Russia proposed to send a joint delegation of representatives of the Syrian opposition to Geneva, Russia returned to this decision by also requesting a delegation from a Russian-minded Syrian opposition delegation. Minister, what is the state of play regarding the organisation of these Geneva III talks? Which delegation will be sent from the Syrian opposition? Are the Syrian Kurds also involved in these talks? How do you estimate the impact if these conversations were not to take place or would be very difficult?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u17	Madam President, I will try to say something in all transparency, but that is not so easy. I have already mentioned some elements in response to previous questions. According to the latest information, the talks should start on January 29th. The primary objective is to hold talks between the opposition and the Assad regime in the form of proximity talks in order to reach, within six months, a transition government capable of preparing a new Constitution and new elections. That is the objective of the possible talks between the opposition and the Assad regime. The list of invited guests has not been published by Mr de Mistura, but I have full confidence in his abilities and Belgium fully supports him in his mission. The opposition has meanwhile constituted its delegation, but there remains discussion, including with Russia and Turkey, about the presence of the Kurds, in particular the PYD Group and certain members of the internal Syrian opposition. In any case, a number of Kurdish groups are represented. During my conversation with the head of the High Negotiations Committee of the Syrian opposition, former Prime Minister Riad Farid Hijab, earlier this month, I raised the representative cooperation of the opposition delegation. I also stressed that it is important that the talks start and that alternative solutions are possible to involve all parties in the talks. For example, I would remind you that it is possible to negotiate between two groups in two different rooms, the opposition in one room and the regime in the other. However, Russia wants opposition members to be present in the negotiations, whose opposition believes they are closer to the regime. I then proposed to work with three halls, one for the regime, one for the real opposition, and one for other people who are not genuine opposition according to the opposition but who are close to the regime. Anyway, this might be a Belgian solution. The most important thing is to start negotiations. The importance of political dialogue is to set in motion a process to find a political solution to the conflict in Syria. For the first time since the beginning of the conflict, the political process, as I said in my reply to a previous question, enjoys the support of all the parties involved, including Iran, Russia and the other regional players, such as Turkey and Saudi Arabia. Failure would be a huge setback for a political solution, and would only prolong the conflict in Syria, which is causing so much humanitarian suffering. In view of this process, I have also asked for pressure to be put on the Gulf countries, on a humanitarian level. It is perhaps useful that we should ask the Gulf countries to receive refugees. This is still a delicate matter and in recent weeks we have seen more and more refugees from the Gulf countries in Belgium. It is unusual that there is no refugee shelter in the Gulf countries. It is a real opportunity to start negotiations and through the European Union we will support that process.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u18	Minister, one of my sub-questions had indeed to do with involving the Syrian Kurds in the talks.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u19	There are Kurds around the table, but there may also be discussions with different groups of Kurds, as with the other groups of the opposition.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u20	Debates of the European Parliament Mrs Thoron's 8184 is converted into a written question. Mr Dallemagne is not here to put his combined questions Nos 8439 and 8923.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u21	Madam President, Minister, last December a referendum was held in record time. It was intended to ask Rwandans whether a constitutional amendment should be made, so as not to limit the number of terms of office for the President. The result was that 98.13 per cent of Rwandans spoke for a constitutional amendment allowing President Kagame to remain in power. When this result was published, you rightly expressed your comments and fears about the very short time it took for the government to hold this referendum and the absence of a democratic debate on this amendment to the Constitution. You rightly recalled the importance of respecting the principles of the African Charter on Democracy, Elections and Governance. Ms. Mogherini also expressed her concerns, recalling that the sustainability of Rwanda's important socio-economic reconstruction work will depend on respect for political alternation and political pluralism. Minister, in his New Year's speech, President Kagame said he was ready to run for a third term. Presidential elections are scheduled for 2017. Will Belgium take part in the process of preparing for the presidential elections? Will a European election observation mission be organised? If so, will Belgium participate?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u22	Minister, as of May 2015, Belgium has publicly opposed a third mandate for Nkurunziza in Burundi. Rwanda and Kagame have not done so. There is also a division within the European Union about the desirability of a third term for Kagame. On 20 December 2015, you took note of the referendum in Rwanda. The referendum allowed Kagame to re-enlist for the 2017 presidential elections and potentially remain in power until 2034. On 1 January 2016, Kagame effectively announced that he would be a candidate for a third term of office as President. Mr Minister, I have the following questions. Firstly, why did you not react strongly to this candidacy? Secondly, the current widespread approach of the international community has failed. Belgium has opted for silent diplomacy. Then there is a difference with the United States, which was much more open and, through a UN ambassador, stressed that President Kagame had the opportunity to set an example in a region where leaders would like to see themselves as indispensable. Does the candidacy of 1 January change anything for Belgian diplomacy? What action will you take on this candidacy? Do you still choose discreet diplomacy or are you considering a different approach? Thirdly, what will the Belgian objectives become in the context of the Rwandan elections? Fourthly, how do you estimate the impact of Kagame's decision on President Kabila and his ambition to obtain a third mandate?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u23	Mr Minister, my questions relate to the same situation. What is your position on President Kagame's announcement to re-enlist for the presidential elections in 2017? What steps do you propose to take in relation to Rwanda and President Kagame? In Rwanda, Kagame's party Rwandan Patriotic Front has been in power since the end of the civil war in 1994. It dominates political and public life in the country, also through years of intimidation of the opposition and critical voices from civil society. Can you estimate the real support for the constitutional change, given the situation where there may be harassment of critical votes?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u24	Madam Chair, I was surprised to see that my question was joined, but I would be delighted to hear a response from the minister on this matter. Minister, my question concerns more specifically a plan for Central Africa. Your colleague in charge of National Defence, Mr. Steven Vandeput, recently presented his strategic plan for Defence. During the presentation of this plan, the Minister presented, among other things, the regions that are or will be a priority in the coming years. Central Africa no longer appears to be one of the priority regions for our country, while you, for your part, have been announcing, for several months, the development of a comprehensive strategy for Central Africa. Minister, is this plan for Central Africa still on the agenda? If so, how do you explain that your Defence colleague does not seem to be taking this into account in his strategic plan, when at a previous meeting you announced that the strategy for Central Africa would be developed with your Defence and Development Cooperation colleagues?
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u25	Madam President, ladies and gentlemen, the question of the third term of office indeed arises both in Rwanda, Burundi and the DRC. The legal context is, of course, different from one country to another. In Burundi, a third term of office was excluded by the Arusha agreement. In the DRC, the Constitution excludes a third term of office and even prohibits the Constitution from tinkering that article. In Rwanda, the Constitution has so far prohibited a third term. However, it itself organized the modalities that could lead to its change. For the revision of the number of mandates, a referendum should be held, which underlines the importance of the provision. On 18 December 2015, a referendum was indeed held in Rwanda to revise the Constitution. One of the new constitutional provisions provides that the incumbent president may be elected for an additional term of office of seven years and possibly even thereafter for two additional five-year terms of office. According to official figures, more than 98% of voters approved the new provisions. In his New Year's speech, President Kagame announced that he would run for office in 2017. Like the European Union, I have reacted publicly to the conduct of the referendum by deploring the organisation of this vote in very short time frames, as well as the absence of genuinely free and open debates, in any case in the weeks before the referendum. With regard to the candidature of the President-in-Office, like most other international representatives, I am not accustomed to reacting to individual candidatures, except in the event of a major breach of the Constitutions and the agreements in force. Our position is that each country obviously has the right to revise its constitution, provided that its own rules and peace agreements are respected. It makes sense for Belgium to say such a thing. After all, we have been carrying out the sixth state reform for several months. Furthermore, as you rightly point out, the principles of democratic alternation and political pluralism remain essential issues for us. In the President's New Year's speech, he excluded a lifetime presidency, which was confirmed to me by my counterpart at our last meeting. It will therefore be important in the coming years to give guarantees to this alternation. In the shorter term, we will remain attentive to respect for political pluralism during the next election campaign. As part of the ongoing dialogue between Belgium and Rwanda, these topics will continue to be discussed in the coming months. These elements, as well as the strengthening of civil society, which must play a major role in Rwanda, remain of course important in the context of our development cooperation. For questions relating to development cooperation, please refer to Mr De Croo. In this context, we must also take into account the specific context in Rwanda, where freedom of expression is all too often curtailed, but where the President remains undisputedly popular, because of socio-economic achievements and the stability acquired. It is still too early to determine whether the conditions will be met for possible support for and observation of the upcoming elections. We will discuss these issues in coordination with our European partners. The objective must be clear: a free and open ballot. I come to our presence in Central Africa. The various problems facing this region in terms of democracy, human rights and governance must certainly not lead us to abandon it. After all, a strategic withdrawal would be particularly damaging to the local population and detrimental to our foreign policy. So our Central Africa policy remains an important cornerstone of this policy. Moreover, with regard to development cooperation, the government has decided to concentrate on areas such as the Great Lakes region, where the challenges are great. For the government, of course, this must be done in the most efficient way to achieve our objectives. In this spirit, further work is under way on the note on Central Africa policy, which I will present to you in the coming months. During the Diplomatic Days, we organized meetings among all the ambassadors concerned with the region to exchange them on this note concerning Central Africa. I also had contact with the Minister of Defence to point out to him that defence attention should also remain very strong for Central Africa. In the Defence Strategy, there is no intention of disengagement even though there is a major concern for other regions, including Africa. I insisted, with the agreement of the Minister of Defence, on maintaining intense attention for Central Africa.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u26	Madam President, I thank the Minister for his replies on Rwanda and for his strategic plan for Central Africa. We have been hearing about it for many weeks and I hope he will come and present it quickly. I take note of the fact that the Minister of Defence was available because there was no record of this availability in his strategic plan.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u27	You have no reply, Mr De Vriendt? You will then have the floor, Mr Claerhout.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u28	I look forward to the Africa note that we will receive in the coming months and will then be able to discuss it thoroughly. I would, of course, like to hear you say that in the coming months elements such as political pluralism, the diversity of power and the strengthening of civil society will remain on the political agenda, but I do have a lot of questions to ask. It sounds nice and it looks nice, but what will be the criteria and standards for our country to weigh up whether enough is happening? How will we evaluate and assess these matters? When will a red line be crossed for our country and when not? How will we enforce certain things? To what extent do we have an impact? Those questions remain pending for me.
ParlaMint-BE_2016-01-27-54-commissie-ic326x.u29	Minister, as we all know, the DRC is about to undergo an important electoral cycle since no fewer than six elections are scheduled in the relatively near future. This pre-electoral context makes it even more important to respect fundamental rights and freedoms. However, according to a report by Amnesty, the exercise of these rights and freedoms is far from being achieved. Minister, this information is, to say the least, disturbing given the pre-electoral context. Can you tell me whether Belgium plans to support the electoral process in the DRC? In what way? What is our Belgian and European diplomatic dialogue with the Congolese authorities in this regard? Are the issues raised in the Amnesty report an integral part of this dialogue? Will Belgium take part in an election preparation mission and/or an election observation mission? If Belgium issues a budget to finance the Congolese electoral process, will conditions be laid down? If so, can you tell me more about these conditions? Will respect for fundamental rights and freedoms be a criterion taken into account?
