ParlaMint-BE_2016-10-19-54-commissie-ic508x.u1	Question No 11269 by Mrs Willaert has been converted into a written question.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u12	Mr. Secretary of State, it is the principle of efficiency that must guide us. There are two ways forward: the organizational and legislative aspects. I hear your comments on the organizational side. Frankly, I am not convinced that all this is not a purely budgetary pretext. If we drag elements to other structures, and if the result is that the way inspectors work weakens the repressive logic, and the repressive levers are reduced, it is contrary to the interests of our companies and our workers. I'll say it right away. If we do not think sufficiently, and if we do not guarantee a true force of full and complete repression, in fine, we will lose a major tool of action. Then come the legal parts! In this regard, it is good to say that inspectors do not do enough; first, they need more human resources. But beyond that, Belgium needs to position itself much more in the foreground on the legal front. We have tabled texts, and opportunities have been missed in discussions and debates here on these pieces of legislation. I would also point out that legal levers exist at European level. One of the Commissioners, Marianne Thyssen, is Belgian: what better way to make progress? I finally hear your majority partner calling for more ambition. That's it! We have a strong strike force for our employers and workers. We could certainly do more and better. The reform that you are proposing is, in my opinion, a shift that will lead to a downward trend at the budgetary level and, consequently, at the repressive level. I'm sorry.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u13	Mr President, I do not follow this debate very well. Mr Secretary of State, you have explained the content of the proposals, but I am still hungry because you have not answered any of my questions. I had asked to explain the proposals that have come out of the bus and which have apparently appeared in the press. However, I would have liked to have seen or heard you explain this question. Apparently, I can't. It's annoying to have to deal with things that way. So I don't know what's in store. You just mentioned it, like in a management course, about vision, strategy, means, follow-up, and so on. However, I have not heard any concrete proposals. Perhaps that was not the intention, but then they should not be communicated to the press. How many recruits have there been? I don't know. You know that, I don't. That was one of my questions. Another question was what the proposals are and what their consequences will be. Apparently, my fellow Members know what the consequences will be, but I do not know. I am therefore simply asking for an explanation of the proposals. Because if we have to debate through the press, then we will have to organise our work in a different way. I am reading again today in the press about matters relating to other items for which you are authorised. Will we have to have all the discussions through the press in the future? For me, however, we will have to organise our committee work slightly differently.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u14	Then we probably need another government.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u15	Mr Secretary of State, it would indeed be interesting to have a detailed open debate in this House, whether on the basis of questions or not, on the measures you think you should take. Despite the different appreciations of your answer, I believe that there is a broad consensus on the importance of combating social dumping. No one has any doubt about that. It is only about what one will do about it and at what level. I still think it is a shortcoming that our Criminal Code does not contain any legal instruments against social dumping, that we have given people in the field an insufficient legal arsenal to combat social dumping and that the government has insufficient resources to do so. What Mr Vercamer said about the management course is correct, but I think that we need to look into the arrangements for the work when we can get a state of affairs from you on exactly what you want, how far you stand and what timing you put in front of you. This could help to clarify things.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u16	Mr President, I wish to speak on the organisation of work. I did not address this subject before, preferring to let the questions take place, out of respect for the Secretary of State. If I am not mistaken, it had been agreed at a previous meeting to hold hearings. As far as we are concerned, we have given names. I would therefore like to know whether this trail is being abandoned. It had been said that those issues would be dealt with at the time of the hearings.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u17	We'll discuss it this afternoon at 3:00 p.m.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u18	It's perfect. Thank you.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u19	Mr President, I would like to respond to two points. Firstly, it was not my wish that a piece of reform, based on incorrect information, should appear in the press. My wish was to get through the reform properly first, with all due respect to the staff, for they are the people who are currently living in uncertainty. I do not know from what angle this press leak comes from, but I deeply regret it because it makes it difficult to have a serene internal debate between the services.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u20	So it wasn't from your angle?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u21	Mr President, it did not come from my side at all. I'd like to say that formally. Secondly, there is also the element of respect for Parliament. If such reform is to take place, Parliament must also be able to discuss it. The third element is budgetary constraint. This exercise is an exercise of effectiveness in the field. This is not a redesign exercise to bring back funds from the budget. On the contrary, we are hiring staff, strengthening and making inspection services more effective. The aim is by no means to have a budgetary discussion on this reform.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u22	Mr Secretary of State, you are particularly questioning the press, but who organised a big show on the ground? Then, of course, you don't have to ask yourself any questions or start...
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u23	[[...]]
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u24	You didn't call all the TV, radio, etc.- Is that what you're saying? Of course I do. I'm not gonna get the movie back here! On the other hand, you say that this is not a fiscal year or a redesign. Mr. Secretary of State, you're dragging social inspectors to "dilute" them in different departments. Sorry for the little, but it doesn't look like a dilution, the aim being to decrease the impact and lever force they need! In addition, you "dilute" them into services which, initially, are not characterised by their repressive levers, but which simply assume that a correction must be made and that the persons concerned must pay their social contributions, if this has not yet been done. We need to be much more ambitious in this area. Otherwise, we're going to let an already gravissim situation get worse.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u25	Mr Secretary of State, my question may be a little out of date because we haven't seen each other in this setting for a long time. A number of things have become clear in the meantime, but I'm still interested to hear your assessment. You know that a number of Member States opposed Mrs Thyssen's plan to tackle social dumping and unfair competition. That plan provided for a number of measures to ensure that those foreign workers in the EU would receive the same wage and working conditions as their colleagues from the country where they are working. However, the Member States which believe that Mrs Thyssen's proposal violates the principle of subsidiarity, and they drew the yellow card. The Commission had to consider whether or not it would continue with that plan. In the meantime, this has become clear. My initial question was what your response was to the protest of those ten Member States. How do you estimate that? How do you feel about that? In your opinion, is the argument for violating the principle of subsidiarity correct? What's your point of view?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u26	Mr Raskin, indeed, Mrs Thyssen's proposal had initially received a yellow card from 11 Member States, not only from Eastern Europe but also from one Western European Member State, Denmark, if I am not mistaken. We have now seen that the Commission's response was very clear. Mrs Thyssen has stood firm, and I believe that she continues to defend her proposal. We support her in that. This has already been discussed at several meetings of the European Council. Belgium has always supported Mrs Thyssen's proposal on behalf of myself or Minister Peeters. In my view, there is absolutely no violation of the principle of subsidiarity. How could it be? Social dumping is an eminently cross-border phenomenon and therefore calls for a common European approach to ensure that at least the rules are clarified and simplified at European level. In short, we give our support to Mrs Thyssen's proposal and we are trying to convince other countries through diplomatic means to embrace it. I am also thinking of Eastern European countries. If Belgium and the other Western European countries fail to tackle social dumping, in which people do not respect the rules on social contributions, wages and working conditions, the support for the European internal market and for the posting of workers within the European Union will be lost. However, it seems to me that it is a pillar of the European Union that can be posted. I would like to add that, of course, we do not wait for the European level. We are taking action by making bilateral agreements within the framework of existing legislation on posting, the existing enforcement directive, so that inspection services in the field could act much more coordinatedly, in cooperation with other countries, against social dumping. We have recently concluded an agreement with France, but also with Bulgaria, which is one of those countries that gave a yellow card. This shows that there is a willingness, including in those countries, to take a step forward for cooperation at European level, especially when it comes to concrete action and cooperation between inspection services.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u27	Thank you, Mr Secretary of State, for your reply. I think we all agree that Mrs Thyssen's plan deserves all the support. It's the least that could happen. I also hear that you are making clear efforts at the European table to convince a number of countries of the good intentions of that plan, with a view to maintaining the European Union's support. You are not waiting for this and you are concluding agreements with a number of countries. That has always been difficult in the past. Apparently, something's moving there. Nevertheless, I think there is still a long way to go. The question is, of course, to what extent Mrs Thyssen's plan and the conclusion of agreements with other countries are making progress. After all, we are dealing with the imbalance in the payment of social security contributions. There are different ideas about this and perhaps it would be useful to have that debate here in the long term.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u28	We now come to Question No 5, by Mr Beazley, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats. 11531
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u29	Mr President, I propose to turn this question into a written question. It would be a reading exercise on both sides... so we will have more time for more political questions.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u30	Question No 11531 by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u31	Mr Secretary of State, my question dates from before the recess. Despite the mandatory introduction of the white register, there were still over 6 000 cases that did not have one. That is very unfair competition with those who already have a white register. After all, they already enjoy the favor measures, despite the fact that they do not have a white register yet: VAT reduction on food, flexi jobs, more and cheaper overtime, the tax shift. The sooner the obligation is met, the better. You've announced more checks. Since 1 May, how many checks have been carried out on catering establishments which have not yet fulfilled their obligations? In how many cases were actual infringements detected by the inspection? In how many cases did they involve infringements in respect of undeclared work? What action has been taken in the meantime on these inspections? What and how many sanctions are involved in this? In what way do you want to organise self-control in the catering sector?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u32	Mr Vercamer, as you know, controls on the white register are a matter for Mr Van Overtveldt. We have asked for a number of things to be done. Firstly, there is the fact that checks are initially carried out on those cases where we find that there is no white register today. That seems to me to be a priority, because we want a level playing field for everyone in terms of fair competition. Unfortunately, it is still too early to give specific figures on the checks that have been carried out on the ground. However, we have asked for regular and separate reports on the checks so that it becomes clear how the sector is being monitored and what is happening in the sector. We also asked SIOD, together with the social partners in the sector, to draw up a report on the way controls were carried out. It is important that we make it clear that, when checks are carried out on the ground, these checks can be carried out in a respectful manner. It is too early to give you concrete answers to the real figures we have on the number of checks and the consequences given to them by the various inspection services. After all, I don't have them today. I asked the question again about these figures at the beginning of this week. I suggest I give you the numbers as soon as I have them.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u33	Mr Secretary of State, I assume that will be registered. Is there no computer available or how does it work? Surely it can't be very difficult to find out how many controls there have been? I don't understand that very well. These figures must now be perfectly known. My question dates back to June 10, 2016. I cannot therefore be given any figures on 17 October 2016, three months later. That's not going to happen to me, unless they're still turfing with stripes there. I don't know.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u34	I've been looking at an item on television about social control at a construction company. I saw a lot of people fill out papers while they were doing checks. Mr. Secretary of State, perhaps an iPad can help. The government still lives in other times. Mr Secretary of State, this is a legitimate question which I support.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u35	Mr President, I fully support them. It is, of course, a specific question. After all, general figures on controls are collected. It is then necessary to examine in detail the way in which the business is taken out of the catering sector. This is an additional action that needs to be taken. That is one of the elements, Mr President, on this point, I support your question, Mr President, in order to ensure that these digitised processes are very different in order to be able to respond to your demand more quickly. I repeat that I put the question to the services. They are filtering out the elements. I repeat, I will deliver them to you as soon as I have them. However, this is one of the elements that I am very clearly referring to in the reform of the inspection services.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u36	Mr Secretary of State, this is essential. We can see how many things do not have a white register: that is 6 000. So there are 6 000 businesses that compete unfairly, and we cannot follow that up. That is what you are answering today.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u37	The case is different. We know how many cases they don't have. We also know that this is what the priority of controls is for. Once the checks are carried out, they will be re-established for a general check. Then I'll have to get them out. That's the absurdity of the system today, but I can't go around today's system. Again, that is one of the elements of the reform. If I have the numbers, I'll get them to you, because I'd love to find out about them myself.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u38	That says a lot. Either the services are not working efficiently, or the Secretary of State is withholding something. But I don't think it's the second. There's still a lot of work to be done in the government. To this day, we should know exactly what the situation is. Hand over my compliments to your services, Mr Secretary of State.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u39	Mr Secretary of State, this question also dates back a while ago. In May, before the summer recess, De Tijd reported that one in three employees were caught in undeclared work during checks on 980 disabled workers. These are workers who have already been subject to multiple medical checks. It is striking that the number of people checked represents only a very small percentage of the total of about 370 400 disabled people in our country. According to the RIZIV, it is particularly difficult to catch black-working disabled people. Almost all checks were carried out after a specific question or complaint. Whoever gets caught on undeclared work has to pay back their benefits. Last year, this amounted to EUR 2.5 million. Mr Secretary of State, what is your response to the RIZIV figures? Our country pays EUR 4.7 billion annually in benefits for workers who have been unable to work for more than one year. However, the number of checks on possible fraud remains relatively limited. How can that number be increased? How can we increase the chances of getting caught in the event of fraud?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u40	Mr Raskin, the article by De Tijd was somewhat misleading, because it said that one in three controlled sick people would work in black. That's not true, of course. On the basis of data mining, specific checks were carried out on almost 1 000 workers. It is true that one in three was not in order. Invalid workers are checked in two ways. First of all, there's the medical check-up. In doing so, workers who are unable to work are subject to a check by medical counsellors. There is a reinforcement of the medical check-up from the seventh month of incapacity for work. That's a decision of our government. There is also a check for unauthorized activities, i.e. not specified. For this purpose, a data match is made between the RSZ declaration and the disability benefit received by the various control services. Concrete indicators of third parties are also used through the SIOD. An important point is that disabled persons may sometimes be authorised by the medical consultant to carry out part-time activities. That is also the philosophy used by Minister De Block, so that workers who are unable to work can sometimes be partially reactivated. That is a good way of reintegrating these workers into the work circuit. As a result of the recent budgetisation, we have taken measures related to this. For example, Mr De Block will adapt the reimbursement system of authorised activities during the illness and will also address the abuse of preferential schemes. I also take it with me in my 2017 action plan, because it is really a focus. We are seeing the rising figures, and I think we should stop them. We also need to do this so that people who are disabled can be reactivated or, if possible, continued to be involved in the work circuit.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u41	You refer to the possibility of taking up a limited number of hours with the medical adviser's permission, without the benefits being taken away or reduced. That is a very good thing. Activation of disabled workers, even part-time, brings with it many benefits, not only in financial terms but also lately. As far as I am concerned, therefore, there is no criticism or concern whatsoever. We must, of course, ensure that those who can work are also effectively encouraged to work. Undeclared work cannot be tolerated, of course. It is a good thing that you have taken into account in the Action Plan the fact that the data is rising and that a flashing light is allowed there.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u42	Mr President, Mr Secretary of State, we are talking about highly skilled IT professionals who come mainly from India to Belgium. These are people who, in principle, must have a contract of employment in advance, on the basis of which they can obtain a work permit. However, several companies would bring many Indians here to replace expensive Belgian IT's, without having a work permit in advance. In that case, of course, there is a form of social dumping. At the committee meeting of 2 March 2016, your predecessor announced that his services would conduct an extensive investigation into compliance with the wage and working conditions under Belgian law and their possible impact on the work cards delivered. Can you tell us more about the state of play of this investigation? By when can we expect results? The number of posted Indian workers has increased rapidly in recent years, from just over 1 200 in 2007 to over 4 000 in 2015. The majority of these people are effectively employed in the IT sector. This large presence and sudden increase in figures raises at least a number of questions. Will you also organise additional targeted checks on social dumping in this respect?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u43	Mr President, Mr Raskin, the inspection service of the General Directorate of TSW of the FOD WASO is currently working, in consultation with the Flemish Inspection Service responsible for delivering work permits, on various dossiers in different provinces. Effective investigations have been carried out and they will continue to be carried out in the future because, of course, we find that the phenomenon has been given a job market, if I may put it that way. Several companies are really starting to take advantage of that. So that has our attention. The inspections actually focus on two points, on the one hand compliance with the wage and working conditions laid down in Belgian legislation and on the other hand compliance with the legislation on the delivery of work permits. That is, as you know, a regionalised matter. That is why we really need to pay attention to how that happens. It must be done correctly and there must be sufficient checks and balances at that level before such a work permit is issued. I cannot go into the specific investigations because they are still in progress. You also understand that the consultation and consultation of India that sometimes has to be done does not always go as smoothly as you know how much effort it sometimes takes to get the right information within the European continent, let alone when we ask for information outside Europe. I hope that it will be clear in the coming weeks and I will be able to report on this. These studies should normally be completed before the end of the year.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u44	Thank you, Mr Secretary of State, for the answer. I understand you haven't been able to give results yet. The planned timing is a few weeks but it can also be a bit longer. I won't pin you on that. In this respect, we are in happy expectation. Of course, this is a shared responsibility given the regionalisation and delivery of work cards at Flemish level. I therefore believe that the joint inspection to which you refer is more than appropriate.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u45	Mr Secretary of State, one of the points of action in your plan for fair competition in the construction sector is an evaluation of the legislation on public procurement with a view to combating social dumping. A working group was therefore set up at the initiative of your predecessor, Mr Tommelein. It should be responsible for implementing a number of very important measures in the new legislation. It concerns, among other things, the extension of contractor recognition to all subcontractors, the restriction of the vertical chain of subcontractors to two per specialty and the prevention of abnormally low prices. Who's in the working group? What is the status of the work? By when can we expect concrete results?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u46	The Public Procurement Act was adopted in Parliament on 12 May 2016. An amendment was also adopted which included the legal basis for the vertical chain of subcontractors and the extension of the contractor recognition. The working group, which was set up at the request of my predecessor, was, as it were, upgraded in the sense that the working group is now directly under the direction of the Prime Minister's cabinet. This includes the social partners in the construction sector and the staff of Minister Borsus and myself with a view to an integrated approach to the law on public procurement. That working group has already met several times. A number of issues have also been developed, such as the FVO on placement, which includes the procedure relating to the suppression of abnormally low prices, and the FVO on the implementation with a restriction of the vertical chain of subcontractors and the extension of the contractor's recognition. The intention is to provide the Public Procurement Commission with text proposals in good time, which will be required to deliver an opinion. We are very much in the process of clarifying the situation on the ground. That should be completed in a few weeks. We shall also inform the committee at that time. I think it is clear that we have really put the working party to work. We lay the whip on it to make sure that we are ready with the KBJVs as soon as possible.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u47	Thank you, Mr Secretary of State, for the answer. The working group is therefore at work. Results are expected in the short and medium term. I think it's important that you keep pushing. After all, the point of action to review public procurement legislation is important.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u48	Debates of the European Parliament Mr Raskin's 12049 falls within the competence of Minister De Block and was referred to the relevant committee.
