ParlaMint-BE_2016-11-16-54-commissie-ic535x.u1	Question No 14810 by Mr Vanden Burre is postponed.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u12	Of course, Minister, we are pleased that the problem is being taken seriously, because we believe that it is becoming more and more widespread. We support an initiative to reduce the problems. Among other things, civil servants and the public prosecutors will be given more legal means of refusing recognition. It is also important that the right of residence should also be abolished once the false recognition has been proved, as the object of the right of residence is, as it were, removed. Apparently, that decision is now left to the Foreign Office and it's just a possibility, not a certainty. So that's something to look at. We're looking forward to seeing the design soon.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u13	Mr President, Mr Minister, the minutes for speeding up the prosecutor's office are congested. This is a reality and we are not going to go back to the subject. There is also a reflection within the public prosecutor's offices to reduce the related workload. One suggestion was to impose quotas on police areas. Prosecutors would not deal with excess minutes of such quotas. Then, finally, the idea was abandoned, in any case at the level of the Liège Public Prosecutor's Office, for reasons of organisation and injustice between the different police areas. As a result of these various findings, a solution had been suggested: to organize consultations between prosecutors and police areas in order to reduce the number of minutes for speeding up, with a qualitative rather than quantitative approach. When I asked you about this a few months ago, you confirmed to me that several consultations had already taken place, also with the federated entities, in order to ensure a match between the new competences of the Regions and the criminal policy of the prosecutors. Minister, can you give me an update on this issue of the handling of minutes for speeding by the public prosecutor's offices? Do the other public prosecutor's offices follow the example of Liège in this respect? What is the status of the dialogue between prosecutors and federated entities?
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u14	Mr President, Mrs Cassart, the College of Attorneys General, which has consulted with the public prosecutors' offices at first instance, informs me that it is clear from the latter that if the track of quotas could not be followed, consultations have indeed been set up in the majority of judicial districts. The aim of these consultations between prosecutors and the police is to establish the most effective means of monitoring in the chain of observation and repression. This dialogue is essential in determining priorities based on the deployment of available resources. In road criminal policy, it is important to focus on quality rather than quantity. Thus, priority must be given to controls at places known to be dangerous and also taking into account the days and hours at which they are to take place. Criminal policy notes are under discussion, particularly in the judicial districts of Liège and Antwerp. To stimulate the involvement of prosecutors, there are currently federal and regional projects. The Cross Border of Justice project will speed up and improve the collection of driving fines due from foreign and Belgian drivers. Following the European Cross Border Directives, the full working process of collecting driving fines has been reviewed and will be fully computerized, so that the bottlenecks with the Public Prosecutor's Office are removed and quotas are over. A data bank of fines will be developed to which the Justice, the Police, and the Mobility Department will have access in order to be able to carry out a better security policy and to combat recidivism more effectively. In addition, it is planned to work with La Poste to print and send fines. La Poste will also set up a call center that will be able to answer questions from Belgians and foreigners in all European languages. Thus the administrative tasks will decrease sharply and prosecutors will be able to free up time to concentrate on their key task, i.e. to continue. Payment will also be made easier and feasible by electronic means by means of a credit card for foreigners. Coercion will be reinforced on three points: the creation of an enforceable order by the Public Prosecutor's Office (order to pay), the execution of the subsidiary prison sentence in case of default of payment and the use of the ANPR scanners of customs for criminal fines. The payment deadline will be reduced by sending the minutes and the invitation to pay under one fold instead of two separate shipments, as is currently the case. However, it is important to draw attention to the fact that the collection of road fines is currently carried out on the basis of the invitation to pay and the proposed transaction. The Cross Border project was the subject of a broad consultation with the Regions and their opinion was requested on 28 October. The Cross Border project was approved at the last federal budget conclave, during which the additional decimes and fares for driving fines were increased. Since 1 January 2015, the Regions have been responsible for a large part of the road safety legislation. I therefore refer you to them for any questions concerning their plans. The representatives of the Regions have been appointed to participate in the work of the network of "road traffic" expertise of the College of Prosecutors General. Members of the Walloon Region have already come to present their plans. The Flemish Region will do so soon. However, the representatives of the College of Attorneys General have already participated, for several months, in setting up meetings in the Regions as part of the Sixth State Reform.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u15	Minister, I thank you for the completeness of your answer, for the progress that has been made. You took stock so that we could see more clearly. This is an important issue on which we will return.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u16	Question No 14949 by Mr Brotcorn is transformed into a written question.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u17	Mr Minister, at the beginning of this year, following an open letter of three kings, I and a number of other fellow Members asked you a number of questions about the recent law on family rule at the beginning of this year. In your reply, you mentioned a number of interesting issues relating to the Royal Decree on an indicative list of diseases in the context of family management, the medical certificate in the context of the simplification of that new law, the development of a framework to make the function of director more accessible to the Family Director in cooperation with the Communities, and the consultation of actors to evaluate the human qualities of directors, once the Royal Decrees relating to this law have been approved. Given that this has not been evaluated since my previous questions, I would like to re-inquire about the state of play. First of all, has the KB with the list of diseases been finalized in the meantime? If so, when can it be expected to be published? If not, do you have any idea of the deadline? Secondly, has the discussion of the medical certificate also examined how this can be made easier in practice? Has there already been any determination as to how this will happen? Thirdly, has a framework already been established to make it easier for a family director to take on this task? Finally, have the actors in the field already been consulted in order to draw up an evaluation of the human qualities to be met by directors? Thank you for your answer.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u18	Mrs Lahaye-Battheu has not arrived yet, and that is why I give the floor immediately to the Minister.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u19	Mrs Uyttersprot, as I have already mentioned in my replies to previous questions on this subject, the improvement and further implementation of the law of 17 March 2003 is currently being fully pursued. In practice, several suggestions were made to simplify and improve the functioning of the law. These suggestions will be examined and included in a preliminary draft law, the draft of which will be finalized shortly and will shortly be submitted to practitioners so that the draft law can be optimally aligned with practice in the light of the spirit of the law. The suggestions you have made will also be examined in the further development of the preliminary draft budget and the implementing CSFs. Indeed, the figures relating to the number of statutory contracts registered under out-of-court protection from the database managed by the KFBN are correct. The KFBN indicates that the use of the so-called care power is very popular and that this also meets the need in today's society to entrust the management of the assets to a particular person, also taking into account the ageing population and the need for a certain succession planning at an older age. They have also recently reported on this in the weekend edition of De Standaard of 3 September 2016. However, the figures relating to judicial protection from the statistics of the FPS Justice need to be considered critically. The remarkable increase in the heading "New cases' on the general role of the application Article 488bis Civil Code is a consequence of the entry into force of the new law of 17 March 2013 on 1 September 2014. According to Article 228 of the Law of 17 March 2013, all provisional regimes which had been governed before 1 September 2014 should be subject to the new provisions concerning the regime of the goods. If necessary, the justice of the peace will use this tilt of its own motion. As a result, many cases are closed and re-registered. This will lead to a significant increase in the number of newly registered cases in 2015 and this effect is likely to continue to be felt in the coming years. With regard to the biennial evaluation in general, I can tell you that it will be reformed in the preliminary draft law, inter alia at the request of the peace judges and the high workload it entails, without affecting the spirit of the law. A system of continuous evaluation without excessive formalism is under consideration. I did not take a circular on the first evaluation of the reversal of a dossier in the new regime, but I am considering including such a provision in the preliminary draft in order to make the evaluation system more efficient, less time-consuming and less expensive. The essence is that at any time during the reign customization must be monitored in a simple and accessible manner. The exercise of political rights, including the right to vote to which you refer in your question, will be included in the list of acts contained in Article 492/1 of the Civil Code, on which the peace court must expressly rule in its decision to take a judicial protection measure concerning the person. In view of Article 1.15e of the Royal Decree establishing the information contained in the population register and the alien register, as amended by the Royal Decree of 21 July 2014, this Decision will also be included in the population register. This will put an end to the current uncertainties in this respect. The draft Royal Decree on the list of health statuses is almost complete. A preliminary draft text has already been drawn up in cooperation with the Minister for Health, who is also responsible for this matter. In accordance with Article 492/5 of the Civil Code, the preliminary draft Royal Decree is submitted to the Order of Physicians, now the Order of Doctors, and the National Council for Persons with Disability. The text will then be submitted to the Council of State for its opinion. During the preparation of the preliminary draft for simplification, the medical certificate, and in particular the indication of the effects of the established state of health according to the international qualification determined by the World Health Organisation, were indeed considered. The problem with this mention is that only psychiatrists are familiar with this instrument. The preliminary draft will draw up a concrete proposal which takes account of these concerns, without losing sight of the need for qualitative information for the justice of the peace. After all, a well-framed medical certificate contains particularly valuable information which should allow the peace court to make the statute effective and tailored. My policy cell has already had a number of contacts with the field, in preparation for the royal decision on the director's profile and making the law on family directors more accessible. Further concrete steps will only be taken after the draft law on simplification has been finalised. With regard to the correct application of the law of 17 March 2013 by banks, banks are expected to comply with the legal provisions in force and must comply with and enforce the decisions of the justices of the peace concerning the incapacity and protection of the person.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u20	Thank you, Minister, for your very comprehensive reply, which I will read with great interest. I am certainly pleased to hear that there is a draft law in the pipeline to remedy the gaps and uncertainties that exist today. It is certainly a good thing that you are improving on the basis of the suggestions that apparently live in practice. It is still our job to make legislation which in practice meets the needs and which remains at a very low level. We look forward to your text with great interest.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u21	Mr President, Minister, in this matter on which I am asking you regularly, we are going from discovery to discovery and surprise. In following up on the questions I asked you last Wednesday about the strange circumstances in which the amicable criminal transaction was implemented between May and August 2011, I would like to ask you a few additional questions. These are, on the one hand, questions that remained unanswered last Wednesday and, on the other hand, questions that follow new revelations in the media. The latter are, moreover, much better informed at this stage than this Parliament; what I find problematic for our monitoring mission. It turns out, minister, that despite a commitment made before the Senate at the time by the Minister of Justice and clear instructions from the Attorneys General, the principle of amicable criminal transaction was applied in its first version between May 16, 2011 and the coming into force of the correcting law on August 11 of the same year. You confirmed to me on 9 November that, in the short term, it was always possible to propose a criminal transaction in cases where public action was pending but not for facts for which the legislator had determined a wider material field. Last Wednesday, you told me: "In May 2011, pending the law of reparation, the general prosecutors near the courts of appeal issued temporary directives. In particular, they provided that if the law of reparation limited the scope of the cases in which an extended criminal transaction could be proposed, it was not recommended to apply this new article 216bis of the Code of Criminal Investigation, nor to propose extended criminal transactions until the law of reparation had been published in the Belgian Moniteur." However, in view of the time limits within which my question had been submitted, you were unable to provide me with further figures on the application, in the meantime, of Article 216a. Minister, my first question is, can you tell me in what form the Attorneys General issued the temporary directives mentioned above? Was it in the form of a circular? If so, what is its date of publication and reference? Can it be passed on to me? Do you confirm that at least one amicable criminal transaction was concluded between 16 May and 11 August 2011, specifically on 17 June 2011, in the Chodiev case before the Brussels court? How can you explain that the temporary directives of the Attorney General have not been applied in this case? As Minister of Justice, do you not find this problematic? How many cases, beyond that, were the subject of an amicable criminal transaction between May 16, 2011 and August 11, 2011? For what type of offence? In which courts? Where appropriate, if there has been a failure to comply with the instructions given by the public prosecutors, have any sanctions been envisaged or applied against magistrates, such as a general lawyer, who would have failed to comply with the temporary directives mentioned above? Let me turn to my second question. I have read carefully and with interest the newspaper Le Soir and its survey published on 14 November, in which the daily publishes more precise information on this subject. There was reportedly an exchange of letters between the Attorneys General and the Minister of Justice and several circulars from each Attorney General to his prosecution. It seems that the one issued by the Prosecutor General of Brussels, Mr de la Court, stated at the time that if, however, in very exceptional circumstances, the Prosecutor's Office considered that such a transaction should be proposed, a detailed report should be sent to him, justifying these particular circumstances and seeking his agreement in advance. Do you confirm the existence of separate circulars from the Attorney General on the subject? Is it the practice, in relation to a specific injunction, to issue a different circular for each court? What justifies separate circulars rather than a single circular? Can you give me these circulars, and in particular the one signed by the Attorney-General of the Court for the Brussels Public Prosecutor's Office? Do you confirm the terms used in the Evening Article, providing for "an exception to the rule of temporary non-application of Article 216a"? Have other Attorneys-General introduced such an exception regime through their own circular, or is it a Brussels specificity? In the case before us, namely the Kazakh trio, have the conditions laid down by the Brussels Prosecutor-General, namely the transmission of a detailed report justifying the particular circumstances and prior agreement, been complied with? If so, what was the content of this detailed report? What was the basis for this proposal by Advocate General De Wolf? If so, has the Attorney General given his consent and in what form? What justified this agreement, in contradiction with its own circular and with the instructions given by the then Minister of Justice and his commitment to the Senate, which I reminded you last week? We also learn in this article of the Evening - and this is a new element - that it would have been the lawyers of the Kazakh trio who wrote the text of the transaction. Is it the norm within Belgian justice that litigants themselves write the terms of this type of transaction? Is there not there, in your opinion, Mr. Minister of Justice, a major problem? Finally, two related issues, perhaps of lesser importance, but nevertheless. The same article of the Soir publishes information which refers to the decision of the Brussels Public Prosecutor's Office of 22 February to appeal the decision of the Chamber of Council of 18 February, a decision which was in his favour, in any case at first sight, since it provided for the prosecution of the persons concerned. I would like a clarification on the matter. Who decided to appeal the decision of the Board? What are the reasons and elements used for the prosecution's appeal on 22 February 2011, when the decision to refer the case was favourable to him? Finally, detail or perhaps not: the Evening article subreptitiously refers to an intrusion into the office of Advocate General M. From Wolf shortly before the conclusion of the criminal transaction with the Kazakh trio during the weekend of 4 and 5 June 2011. I did find a Belga dispatch, which I attached to my question, referring to this intrusion and the theft of a laptop and a briefcase with documents belonging to Advocate General M. Wolf. Given the temporality and sensitivity of the case, it is particularly challenging. Do you confirm this intrusion? Has an investigation been conducted into her? By whom? When? What was his conclusion? What was the result of this investigation? Were documents or electronic media taken away? Are you confirming? Did they have anything to do with the file we're dealing with? Is it usual that there are intrusions into the Brussels courthouse? Can you tell us about this for the last five years? These are my many questions. They are not the first, and they will probably not be the last, Minister.
ParlaMint-BE_2016-11-16-54-commissie-ic535x.u22	Mr President, Minister, as my colleague has just said, there are many revelations in the press about the Chodiev case. I'm not here to talk to you about leaks, let's be clear. I suppose you realized this when I read my question because I think the most important element is not there. The problem lies in the entry into force of the possibility of making criminal transactions, the entry into force of the law of reparation and the time of conclusion by the Attorney-General's Office validated by the judgment of the Court of Appeal of this transaction in the Chodiev case. I come to the most important element that needs to be put forward in this case. If there was no circular from the Attorney General, was there a request to that effect in the minister's office at the time? It's up to you to answer me. I guess we can find this in the archives. However, there would be a circular from the Brussels Public Prosecutor who, like his other colleagues, calls on the Advocates-General in a directive not to make use of the criminal transaction, unless exceptional circumstances are justified in a detailed report. The other element that raises questions is, of course, the assertions that there had been assistance to the Advocate General in the drafting of this significant agreement on the transaction. As we all know, the transaction must come from the prosecutor's office and not from the party prosecuted, but the party prosecuted must agree. This is important because it is the Advocate General who must propose the transaction to the parties. Mr Minister, in view of the secrecy of the information and the presumption of innocence, do you confirm the existence of a circular, a written document, of the Prosecutor General of Brussels, Mr de la Court? It's important to know that. If so, why can't this circular be made public? According to the press, it would appear that elements of a confidential nature contained in the circular would object to its being made public. That seems paradoxical to me. Why is it not made public, since it should be of general application, since it applies to the entire body of the General Prosecutor's Office in Brussels? This is not about a particular case. I guess we didn't do a circular just for the Chodiev file. Had Mr. de le Court's colleagues, the other four Attorneys General, taken similar initiatives? Are there also circulars that have been drawn up? Let us assume that there is a circular and that it clearly states that the criminal transaction cannot be used unless exceptional circumstances are justified in a detailed report. Do you believe that, without a detailed report justifying exceptional circumstances, the Advocate General nevertheless proposed this transaction? If so, from the moment he violated the instructions given by his head of corps, had an administrative procedure been conducted; had disciplinary proceedings been initiated? Question of expediency: Could the Advocate General not have proposed the transaction after the entry into force of the restorative law, especially since it extends the scope of application? Since at that time, false writing is clearly referred to in restorative law, which is not the case in the former. The following question, which seems important to me: until the entry into force of the restorative law, i.e. between 16 May 2011 and 21 August 2011, I am not interested in the number of transactions carried out, even if I would like to dispose of the figure if you have it, but have detailed reports justifying the criminal transaction been submitted to the Attorney General? If so, how many? If you have the number, then I wish I could get it. The press says that the solicitation would have been drafted, that there would have been help or that the Advocate General would have been suggested to propose a transaction. Is this a regular practice? If that had been the case, had any proceedings been conducted with respect to the standing magistrate who would have initiated such proceedings? Finally, the final question is that the situation is also a matter of concern - I am not going to go into the substance of the case - and it is known that the Advocate General was the liaison magistrate between the Public Prosecutor's Office and the member of the government concerned, the Secretary of State. Are there any specific rules to avoid any conflict of interest? In this case, it could easily be understood that there is a conflict of interest, since the liaison magistrate is aware of the implementation of a reparation law and that he cannot take certain initiatives. It seems to have opened up, if the information published in the press is correct and if the statements made by lawyers to the French police services are also correct.
