ParlaMint-BE_2016-10-19-54-commissie-ic510x.u1	Mrs Van Peel, I give you the floor and then I will add to my two questions.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u12	Mr President, ladies and gentlemen, first of all I would like to thank you for your technical but extremely important questions. As is well known, the current European regulations require that foods manufactured from ingredients containing nanoparticles be specifically labelled with a view to fully informing consumers. It should be noted that food made up of nanoparticles is covered by European legislation on novel foods. Additives, flavourings and enzymes are covered by specific legislation. Therefore, in order to be used in food, new nano ingredients must be authorised as an additive or as a novel food. Operators who wish to market a food containing nanoparticles can only do so by obtaining a specific authorisation. This authorisation procedure at European level requires, inter alia, a risk assessment of nanoparticles. To date, no authorisation has been issued by the European Commission for a synthetic nanomaterial for use as a food, food additive or flavouring. As a result, the AFSCA does not control the labelling of nanomaterials in food because there are no nanomaterials in food. The study to which you refer refers to two additives authorised for human consumption: titanium dioxide (TIO2 for chemists) and silicon dioxide (SIO2 for biologists). At European level, a programme for the re-evaluation of all additives on the market is under way and applies in particular to these two specific additives. Titanium dioxide dye is of particular interest to us, since the study was carried out on the presence of titanium dioxide in a number of products, including biscuits, chewing gums and veal blanquette. According to the recent re-evaluation of this additive by EFSA, the European Food Safety Agency, nanoparticles account for a very small proportion of all particles in the additive, as also demonstrated in the French study. As regards safety aspects, EFSA concludes that the absorption of this additive is extremely low and does not differ between microparticles or nanoparticles of titanium dioxide. However, there is currently no validated detection method for routine screening of nanoparticles in food products. Several European laboratories are currently working and collaborating to develop such methods. The availability of these methods and the existence of accredited laboratories to carry out the analyses are therefore a prerequisite that I believe should be activated in order to enable an efficient control programme to be set up. This is therefore a dossier which I would like to be studied with the utmost seriousness on the basis of the precautionary principle. This is why, regardless of what I have just mentioned, the Public Health FPS has already funded various research projects on the characterization and methodology of nanomaterial risk assessment. A new project, referred to as "Nanofood" will soon begin with the aim of analysing nanoparticles in additives and food. During the visit to Belgium of Bernhard Url, Executive Director of the European Food Safety Authority (EFSA) last June, the principle of a joint project with EFSA to complete Nanofood was also concluded. Finally, I share the recommendations of caution that have been raised in this room and that have been issued by WHO. They are generally applied at European level and at Belgian level in particular, whether in the field of research or at regulatory level. We must therefore be extremely vigilant with regard to the assessment and prior authorisation of novel nano foods, new additives, re-evaluations of already authorised additives and their residual presence in food.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u13	Thank you, Minister, for the completeness of your answer. Precautionary principle, serious, I think these are the terms you used for this case. We will therefore be able to continue to work on this subject. We look forward to this study. I share your analysis of the WHO. You have to be careful in this case. We have seen in your answer that this is your wish.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u14	Thank you, Minister, for these more than satisfactory elements of response: taking into account the difficulties that have been identified, following up on your part, working with Europe in this area and taking into account the WHO recommendations. I can only invite you to continue in this direction. That answer was so satisfying that I would like to have a copy of it.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u15	Question No 13564 by Mrs Jadin is transformed into a written question. Question No 13752 by Mr Blanchart is postponed.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u16	Madam President, Minister, a circular has recently been put in place by the AFSCA to regulate the distribution of products within short circuits. It defines the various criteria for which, in the context of a short circuit, a third party intervening between the producer and the consumer must declare its activity with the AFSCA. Clearly, where there is a reconditioning, transformation, division into portions or other type of intervention of a third party, the third party must register and may be subject to control. Some people working to set up short circuits and promote organic farming at the local level are concerned. I am thinking in particular of the common purchasing groups (CAGs), groups of citizens who buy fruit and vegetables directly from the farmer and who are apprehensive of the steps to be taken or the possible sanctions. There are a large number of associations which carry out this kind of citizen's approach and which will be affected by this measure. Minister, this case has already been going through a lot of ink in the last few weeks. Therefore, I would like to get clear answers from you in order to reassure the common purchasing groups. Will the latter actually be affected by this circular? If so, what kind of controls can they expect? How do we judge that such manipulation or intervention requires registration with the AFSCA? Could the GACs be reassured following the meeting held on Tuesday, September 20 with the AFSCA?
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u17	Mr President, at the meeting on 20 September referred to, it turned out that the scope of the circular to which you refer was not sufficiently clear. The circular refers to the action of third parties in the context of trade in products. Since a CBM is a consumer group, CBM members feel that there is no third party within their organization and therefore do not feel concerned. AFSCA does not intervene if the activities fall within the private sphere. Initiatives accessible to the public, for example through an advertisement on a website, are not, however, private initiatives. It was therefore necessary to clarify things a little. In all cases, the method of distribution within CBMs is not private. It is intended, however, to exempt these consumer groups, as they wished, from the obligation to register and pay a contribution, provided, of course, that the initiative comes from consumers who come together to buy from known producers, provided that there is no commercial activity and that there is a clear agreement between the members of these groups as to the responsibility for the distribution of the products purchased. As a result, these groups will not be controlled by the AFSCA, except as part of a normal approach if there was food poisoning from a GAC, or on the basis of a complaint. I think I'm quite soothing. The president had also asked me about the matter, she had given me a bit in the media, and I informed her about the progress of the case. The Royal Decree of 16 January 2006 laying down the procedures for authorisations, authorisations and prior registrations issued by the AFSCA, which provides for the registration of operators active in the food chain, will therefore be amended to implement the exemption which I have just mentioned very clearly, after consultation. The circular will then be adapted to implement the regulatory amendment, since the circular necessarily refers to the legal framework. At the last meeting on this subject, on 20 September, the representatives of the CAGs responded very positively to this proposed regulatory amendment. If there were to be some problems, I would obviously be listening, but at this point I do not detect any.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u18	Minister, your answer will prevent me from titillating you as soothing as it is.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u19	You did well to come to committee the first week of September. Look at the beautiful evolution of your texts! That said, these discussions were also an opportunity to highlight the "small producers" unit that you are in the process of forming within the AFSCA. I was informed that it would soon be complete. It seems to me wise to organise an exchange in committee with this cell to discuss its objectives and method of work, for example in December or January.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u20	Mr Minister, I may be elucidating some of the points in my question, since this has been the subject of a rather lively debate, following a bill tabled by a colleague from the N-VA in the Committee on Terrorism. Nevertheless, there are some elements that deserve to be observed and to receive a semblance of response, at least in your leadership, since you were not present in the debate, or even the Minister of Justice. Depending on the proposed law, which has the support of the majority, and therefore also of the government, the King's prosecutor, as well as the labour auditor, could require information from social security institutions and thus social workers, and they would have an obligation to communicate to the courts, facts or elements that might lead to believe that there is a link with terrorist acts. In addition, a circular would be sent to the institutions concerned to explain the change, since there would be the inclusion of new provisions in the Code of Criminal Investigation, to enable the King's Prosecutor to request information from social security institutions. Training would also be provided for social workers. Beyond the whole debate on professional secrecy, the unanimous opinions of CPAS federations, the federations felt that better collaboration between the Banque-Carrefour de la Sécurité sociale and the judicial authorities would have been the solution to be put in place rather than the amendment of the law. This would ensure that the professional secrecy of social workers is respected, which is the key to good understanding and trust between beneficiaries and social workers. This trust, already so fragile, may break if denunciation is an integral part of the work of social workers. The brief introduction I have just made is not about the debate about professional secrecy, whether to keep it or not, but about the following questions. Why didn't you decide to facilitate the collaboration between the Social Security Carrefour Bank and Justice? Not only can the King's prosecutor request information, but there is an obligation to denunciate. On the basis of what criteria will social workers be able to distinguish between those they might suspect belonging to a terrorist organization and others? In the debate on the bill, although we are questioning the authors, we are not getting answers, and on the other hand, there is no intervention on the part of your representatives in this matter. What would be the financial means in place for training for social workers? What would this training consist of?
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u21	This important issue has been the subject of a large number of debates, questions, fears and sometimes requests from social workers and CPAS. It refers to an extremely delicate, sometimes dramatic reality that we have already faced. I would point out from the outset that there is no question of calling into question the fundamental principle of the professional secrecy of social workers, which is necessary for the exercise of their mission, as in other professions. However, the legislator – and I share this conviction – cannot accept that professional secrecy is an obstacle to the communication of information, when the life or physical integrity of people is at risk or risk of being put at risk. The dossier of professional secrecy within the CPAS is divided into two parts: on the one hand, the exchange of data between administrations and, on the other, the adjustment of the existing legal framework. On the first point, my administration has been working with the FPS Justice on possible solutions, in order to enable an effective fight or to participate in the fight against terrorism or related acts, while preserving the professional secrecy of social workers. The idea evoked, in particular by the CPAS federations, in their response to my request, is the implementation of data flows between the SPP Social Integration and the SPF Justice. This implementation of the data flow is currently under review. Indeed, these data flows have the advantage of allowing rapid information to be obtained from a single institution, namely the Social Integration PPS, and it is therefore not necessary to identify the competent CPAS in order to obtain information. However, the effective implementation of these data flows takes time and also requires the prior approval of the Commission for the Protection of Privacy and the realization of computer developments. Furthermore, it should be pointed out that the data available by computer flow relate only to information encoded by the CPAS in the context of an application by the Belgian State for assistance in the reimbursement of the aid granted by the CPAS. These data flows therefore do not include a number of other information such as, of course, findings which could be drawn up by social workers or communications or information which they have collected. CPAS federations, as you know, do not share our view. They expressed themselves very clearly in this regard. However, in this case, I hope that we can move forward on this issue. I therefore call for an adaptation of the legal framework, which I believe is necessary. In this respect, I have written to the Chairman of the Committee on Terrorism and, in consultation with my colleague from Justice, have submitted a proposal, which is itself based on the opinion of the College of Attorneys General. These elements have already been discussed, I believe, on 28 September in the Committee on Justice. As you indicated, a bill has been tabled. It aims at the lifting of professional secrecy in the fight against terrorism. Its scope is therefore narrower than the proposal made by the College of Attorneys General. The Minister of Justice and I joined the parliamentary text. It establishes a communication of information at the request of the King's prosecutor and another initiative. This law does not, therefore, in general call into question professional secrecy, but makes use of the possibility provided for in article 458 of the Criminal Code to derogate from it by means of a law. This proposal has been the subject of several requests for further information and work, in particular by the Council of State. As far as I am concerned, I would even like to go further than acts strictly linked to terrorism, because the most serious acts, involving the lives or physical integrity of persons, seem to me to have to be targeted as well - apart from acts strictly connected with terrorism. At this stage, of course, the priority is to be able to respond to the concern in this area. I am therefore very careful, and in feeding on the work, the analysis carried out by the ad hoc committee of our Parliament. As soon as the legal texts are laid down, I will have the opportunity to consult the CPAS federations and to provide the appropriate circulars to inform them and the information and/or training arrangements for CPAS, social workers or their representative structures.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u22	I did not want to repeat the general debate on professional secrecy, its scope, why it should be kept, whether it should be amended or not, whether there should be exceptions, etc. I had limited myself to very specific questions. The minister decides to put his vision of things back on the table, I will allow myself to put my vision of things back on the table, whereas at the beginning, that was not what I wanted to do. I will be synthetic, Madam President, but when I hear that, I find it quite contradictory to come and say, "I don't want to be touched on professional secrecy, but I finally empty it of its substance". You will excuse me, but we are still in this situation where the professional secrecy of tomorrow will no longer exist at all, in any case in the head of a whole series of social workers in various sectors, especially that of social security, since this is aimed not only at social workers but also at those who work in the social security sector. I believe that in other countries, at other times in history, some have wanted systematic control of everything that could happen. Some have decided that civil servants should be delegating agents. We're really not far from it. I find this particularly dangerous.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u23	Are you confirming this nauseous comparison?
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u24	Let me finish! I find it particularly dangerous for democracy to move towards this sense of history. It's a first element. I take my word and I'm sorry to have to say it. I didn't want to repeat the debate, but you pushed me into it. Secondly, in terms of professional secrecy, when we limit ourselves to stating certain elements, the least we can do is to try to clarify them. Here, we have a particularly broad and extensive conception. I have just heard that we would not limit ourselves to acts of terrorism, which is the exception and the bill. I understand that people are afraid, not just social workers, but CPAS federations. I understand that tomorrow we do not necessarily want to seek the opinion of the Privacy Commission because we are considering crimes and offences, but we go even further with social fraud and what could be suspected of social fraud. That's what the Minister of Justice said!
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u25	Excuse me, Madam Chair, did I say we don't want to ask the Privacy Commission for advice?
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u26	You referred to the question I asked the Minister of Justice. I would like to share with you the Minister of Justice's response to other crimes and offences. You said you were working together on the subject.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u27	Mr Massin, since the last word belongs to the parliamentarian, I will briefly give the minister the floor for clarification, since he does not agree.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u28	I'll only need 30 seconds. First, we have the ambition to exchange and respect each other's assertions in this House. Secondly, Mr Massin, it would be elegant for you to withdraw your comparison, which refers to a nauseous period of history. She's unworthy!
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u29	It's not just the one you're thinking about. Do you know that this was the way it was in communist regimes?
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u30	I pointed out precisely that we were going to seek the advice of the Privacy Commission.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u31	That should already be the case now.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u32	I have pointed out, as far as I am concerned, that these are the most serious facts; I am not talking about crimes and social fraud. Would you consider it correct that I am left with my arms crossed by the knowledge that some social workers may be aware, indirectly, of serious evidence or facts, and cannot be released from professional secrecy? I refuse to resign in the face of this political courage, which I also ask you to adopt, Mr Massin.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u33	I haven't finished my explanation. Madam President, the minister must learn to listen. The Chair: We need to know how to do it on both sides.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u34	I have listened to the whole of his explanation, which lasted much longer than my question. He should take the trouble of listening before reacting immediately like a bull, wanting to have the last word and taking the step on others. Maybe we could make some progress, then. I made it clear that you were talking about the most serious crimes and crimes. I made it clear that "the Minister of Justice, for his part, spoke of social fraud". These are the words of the Minister of Justice. I didn't accuse you of talking about social fraud. Listen to what I'm saying! As part of my references to something "nauseabund", I have just told you that other political systems have built this system, whether in South Africa, Communist China, the Soviet Union, the GDR, Czechoslovakia or, at present, North Korea. Don't you always refer to a particularly black period that began in the 1930s and ended in 1945? There are many more. You will excuse me, what is happening today, I say to myself that it is a danger to democracy, and I have the opportunity to say so. You don't agree with me, it's your right and I recognize it. But you also have an obligation to respect what I say. That is also democracy. Minister, it seems to be forgotten, in relation to crimes and offences, and crimes that constitute acts of terrorism, that there is already an obligation in the Code of Criminal Investigation to denunciate the worker. This obligation goes up the chain by public institutions, whether the worker deals with it directly or whether it takes place through the director or, for example, in a CPAS, the president of the CPAS. The Code of Criminal Investigation already provides for the reporting of crimes and offences. In addition to this, it is true that in order to obtain other types of information, one can go through the Banque-Carrefour de la Sécurité Sociale, or even through a circular which invites CPAS to respond systematically to requests made by the auditorate. I would like to make it clear to you that the extreme majority of CPAS are already doing so. Today, since you wish to reorganise a general debate, I consider that your plan is to kill a fly, not with a cannon, but with an atomic bomb!
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u35	We will close this subject for today, but the issue of the global approach to professional secrecy will come back.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u36	[[...]]
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u37	There is freedom of expression.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u38	[[...]] There's a censor here called the government.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u39	You had the floor because you were able to answer and reply. Next time, I will be inaugurating the wonderful system that is allowed to me, which consists of cutting off all the microphones except mine.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u40	Before passing the floor to the last two speakers, like Ms. Gantois, who had a question on RHD2 virus, was absent for the second time without warning, her question No. 13172 was transformed into a written question.
ParlaMint-BE_2016-10-19-54-commissie-ic510x.u41	Madam Chair, Minister, before the parliamentary holidays, I asked you about the AFSCA restructuring plan. Indeed, the Commission does not escape a restructuring of its services justified by budget cuts. I asked you for further information but you were not yet able to answer me. We were at the beginning of the process. Indeed, you requested further analysis in order to obtain detailed information that would allow you to take a position on this file. Minister, do you now have any further analyses? What does this mean? If not, when will they be available? What is your position in this file? Have you met with the sector about this restructuring plan? What about it? Is the assumption of a merger conceivable? How will the organisation of work on the ground be reorganized following the restructuring? Can you tell me when the restructuring will start if it takes place?
