ParlaMint-BE_2016-07-05-54-commissie-ic463x.u1	The Prime Minister will provide an answer to these questions.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u12	Prime Minister, on May 28, you said in an interview with the Standaard that "a model with elections every four years may not be enough to create confidence and participation", and you then proposed to hold referendums between the elections. "In this way, we can open the debate on important societal choices. At high times, power belongs to the citizens." On the practical side of such an initiative, however, you did not speak out. Without real surprise, this proposal was welcomed freshly by your majority partners, apart from the Open Vld, which said it was "open to debate", no doubt out of liberal solidarity. As you may know, participatory democracy is an important subject for environmentalists and we are fully convinced that it is necessary to involve our fellow citizens more in public debate and in public decision-making processes, whether at local, regional, federal or European level. We have also drafted and tabled proposals to this effect on numerous occasions. Your statements on the referendum have therefore drawn my full attention and interest, which leads me to ask you the following questions. Do you have more information about the practical details of the referendum, as you had in mind when you made this statement? Do you intend to take a concrete initiative in this direction in the coming months? On the part of the Ecolo-Groen Group, we are also thinking about a set of elements to encourage participatory democracy and we are in the process of finalising a proposal to create a joint parliamentary committee, composed of equal numbers of citizens and Members, in order to be able to discuss important societal choices together and to make recommendations. This initiative is clearly part of a desire to promote a more direct democracy and greater citizen participation. What do you think of such an initiative, which, I believe, falls within the category of referendums and popular consultations. In principle, could you support such an initiative and such a text, which is being finalized? Thank you in advance for your answers.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u13	Minister, I also refer to the interview in De Standaard on 28 May, in which you clearly expressed your support for referenda. This is a democratic reflex, which I very much welcome and which I very much welcome. In this House, we are putting forward proposals to amend the Constitution, virtually every legislature, so that this can happen in this country. In the meantime, we have already put forward a proposal for a decree on the other side, in the Flemish Parliament, to enable referenda, even though the sixth state reform has limited the list on which states are allowed to vote in a referendum, all the more reason why some legislative and constitutional work can be done here. It is not only democratic to give citizens a say on important issues through popular consultation. The organisation of referenda alone ensures that a thorough debate can be held on the substance, which is very enriching. We have seen this from a distance with the debate following the referendum on the Ukraine Treaty in the Netherlands. The United Kingdom referendum on the Brexit has also shown this. In the interview, you stated that you did not have any specific proposals on this matter. Firstly, will you come forward with proposals by the end of this legislature? Secondly, the Dutch cabinet has meanwhile announced that it wishes to discuss the outcome of the referendum on the Treaty between the European Union and Ukraine with the European Heads of State or Government. Normally that was on the agenda of last week's summit, 28 and 29 June. I don't know if the Brexit has crossed those agenda plans. According to the Dutch Foreign Minister, Bert Koenders, the Dutch referendum has already been discussed in several meetings of EU ministers. No agreement has yet been reached on the content or scope of a possible solution. I would have liked to know at which meetings that has already been discussed. What attitude has the Belgian Government taken in the various meetings to which Mr Koenders refers? I think it is important to know what attitude is being taken there. If we want to respect the will of the people, we must logically defend the rejection of the association agreement by the Dutch people. A third similar question, which was raised last week in Question Time, was whether you really think that the outcome of the British referendum should also be respected? Finally, on the outcome of the referendum on the Ukraine Treaty in the Netherlands, I questioned Minister Reynders at the time. He said very quickly that the federal government took note of this, but that it has no special lessons to draw from the referendum in the Netherlands. He replied that the Belgian Government should not defend or represent the interests of the Netherlands in the European institutions. It is, of course, true that the Dutch Government must draw its own operational conclusions from the outcome of the referendum. However, I believe that the federal government can draw lessons from that referendum, at least in democracy. You do not have to defend the Dutch people there, as Reynders says, but you must defend the will of the people. You must defend there that such a clear result of a referendum must be honoured at European level. Is that position taken clearly? In addition, does that affect the government's attitude to the Ukraine Treaty? We have not had a chance to express our views on this. It's an important theme. Do you not think that the people of this country should also be able to express themselves on such an important issue?
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u14	Mr President, Mrs De Standaard, Member of the European Parliament, on 28 May last, during an interview in a print newspaper, De Standaard, I expressed my interest in using the referendum model as a tool, in some cases, to strengthen participatory or direct democracy. I emphasize that this was not the main message in this interview, but a secondary message. I was starting from the fact, in response to questions addressed to me, that throughout Europe there are many questions about how to strengthen our democratic model. Just look at the growing popularity of some populist parties in the European field. In this context, it seems to me useful, in a forward-looking way, to reflect on how to strengthen citizens' confidence in the institutions and in the democratic model, perhaps through a more participatory model. Everyone here, I believe, is aware of the need to constantly revitalize democracy and reflect on how this democratic system can be improved, for example by giving citizens more space for participation. I have been clear in this interview, and I am still clear today: there is absolutely no provision in the government agreement on this subject and there is currently no concrete project on the government table. I made it clear that there were other priorities today than this one. I said that issues related to security, economic development, structural reforms, fiscal consolidation should receive our full attention as a matter of priority. I have therefore expressed a personal and forward-looking opinion that I fully assume. I also believe that the referendum is an instrument that must be used with caution and within a well-defined framework. This requires a lot of preparation, information to the public, but also the establishment of a clear framework and rules. There is always the risk that citizens will answer a question other than that raised in the referendum. I know that there are already systems of popular consultation in our country, for example in the Walloon Region with a strict framework that organizes the modalities and type of questions that can be asked in such a consultation. I would add that, strictly speaking, a referendum is not compatible with the Constitution as it stands. Popular consultation has no decision-making effect, whereas the referendum has one. Most lawyers consider that it is not constitutionally possible to hold referendums today. I now come to Mrs. Pas's inquiry. Finally, Mrs Pas, I come to your specific questions on the referendum on 6 April. As the Foreign Minister has already replied to you, the Federal Government has taken note of the outcome of the referendum in the Netherlands. She has no particular lesson to learn from a debate that took place in a partner country and in which she did not participate. The outcome of a referendum in the Netherlands or in another Member State does not affect the way in which the federal government will address future EU agreements. Our approach only takes into account the importance of Belgium. The agreement has been ratified in Belgium following a very rich debate, both at the federal level and at the federal level.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u15	Prime Minister, thank you for your answers. I understand that you have other priorities. This is also our case, but it does not prevent us from being able to make observations and reflect on our democratic model. It is important to have questions about more participation, more citizen involvement in concrete acts of political decision-making. This is essential, even if it seems a bit secondary today. For the future of our democracy and its functioning, it is crucial. It can be seen every day in public demonstrations that can come to light, in Europe or elsewhere. I come back to my second question, which you have not answered at all. I know that there is nothing in the government agreement about this, but perhaps we could imagine that citizens are involved in our committee work in the House, at the same level as Members. This is done in other countries. What is your opinion on the matter? This is a path that ecologists think is very interesting. We will shortly be submitting a text because the meeting of representatives of the people and citizens seems to us to be a particularly relevant avenue. This could lead to extremely interesting compromises. I would have liked to have your opinion on this principle.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u16	Mr President, I would like to thank the Prime Minister for his reply. You say that the fact that you are in favour of referenda was a message in the margins and certainly not the main message of the interview. That's right, but I also know that additional messages in interviews are at least as important as the main messages. You were very clear in the interview, but it is equally clear today that this government does not intend to take any initiative in this respect. Unfortunately, therefore, we should not expect anything from it. As always, the umbrella opens. There is nothing about that in the coalition agreement. There is hardly anything in the coalition agreement about asylum and migration. That's an easy alibi not to do anything for it. As regards the referendum on the Ukraine Treaty in the Netherlands, you gave the same answer as your colleague Mr Reynders. I could easily get rid of the same reply, but I expected you to defend democratic interests. I would have expected you to take at least the position in the European Union that the will of the people must be followed. It would be logical that if that Dutch government does not have the courage to draw the right conclusions from the outcome of the referendum, you should at least take part in watching over that democracy in Europe. Unfortunately, that is not the case. Nevertheless, I continue to hope. Mr President, I have prepared a motion of recommendation to support the Prime Minister's personal position in the hope that he will be supported by the rest of his government.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u17	Mr President, I will be very brief. Madame Pas, the government has not taken a position on the issue that you are raising. I repeat that the government agreement does not address this aspect of things. In my personal capacity, I am very sensitive to thinking about building capacity for participatory democracy, perhaps also through parliamentary work. Nevertheless, I would like to draw your attention to the fact that reforms in this direction should involve institutional changes and, in particular, an adaptation of the Constitution. The legal framework is therefore not simple in this respect. I also note, and I welcome it, that Parliament has made extensive use of hearings, which are a first step in trying to improve the quality of parliamentary work and, in any case, to take into account messages from citizens with some expertise or experience in more specific areas. Finally, the role of parliamentarians is crucial in a participatory democracy. Their daily relationship with citizens enriches their understanding when they participate in the debates of this assembly.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u18	At the end of this discussion, further motions were tabled. In conclusion to this discussion, the following motions were tabled. A motion of recommendation was tabled by Mrs Barbara Pas and reads as follows: The Chamber, heard the interplay of Mrs Barbara Pas and the Prime Minister's reply, asks the government - to insist at European level that the outcome of the referendum in the Netherlands on the Ukraine Convention be honoured; - to urge at European level that the outcome of the UK referendum on the Brexit be respected as a matter of urgency; - to enable referenda in their own country.' A motion for recommendation was tabled by Ms. Barbara Pas and reads as follows: The Chamber, having heard the inquiry of Mrs Barbara Pas and the Prime Minister's response, asks the government - to insist at European level that the outcome of the referendum held in the Netherlands on the agreement with Ukraine be taken into account; - to insist at European level that the outcome of the British referendum on Brexit be respected as soon as possible; - to make it possible to hold referendums at national level." A simple motion was tabled by Mr Philippe Pivin and Mr Peter Buysrogge. A simple motion was tabled by Messrs. Philippe Pivin and Peter Buysrogge. Motions for resolutions will be voted on at a later date b. The meeting's over. The vote on the motions will take place at a later date. The discussion is closed.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u19	Prime Minister, my question was tabled a month ago, so I'm adjusting it a little bit. Our country is facing an increasingly important "social" movement. In addition to the long-announced demonstrations and strikes in the public service, wild strikes have been added to the SNCB, and, without the management of their business being dependent in any way on federal jurisdiction, the TEC Walloons have mobilized alongside the railway agents. Engaged for what?, We must therefore ask ourselves. To bring down the government! The line between the social partners and political actors in the management of economic and social affairs is largely crossed. The government is accused of a lack of consultation with the unions, despite the numerous consultation meetings organized by the Minister of Justice to put an end to the movement of prison guards, despite the action of the Minister of Mobility to put an end to Wallonia's rail blockade. We know, Prime Minister, that you have always had a desire for dialogue. This is not a new attitude on your part. You invited the unions to meet during the negotiations for the formation of the government. Ministers constantly point out that their action is based as much as possible on the results of the consultation between the social partners. In spite of this, trade unions continue to blame you for their willingness to go into force without taking social dialogue into account, even though they do not propose any alternative solutions to the decisions taken. To put an end to this dialogue of the deaf and to make it clear to everyone who is responsible, could you remind us of the various offers of meetings made to the unions, to your initiative and to that of your ministers and of the replies made by the unions to these invitations? This would enable us to shed light on the real intentions and attitudes of each other regarding the willingness to negotiate or, on the contrary, to wage a war of wear and tear. In fact, in addition to the inconvenience caused to all Belgians in their daily lives, strikes have economic and social consequences. Can you tell us what are already and what will be the consequences of trade union actions on the economic life of our country – which did not need it after those caused by terrorism? How much will be the financial losses of the firms in difficulty, those which are or are likely to be terminated as a result of these movements, and the redundancies resulting from the difficulties encountered by the companies as a result of these repeated strikes? As our country, under your authority, finally manages to face up to the economic challenges that have been exacerbated by the tragic events that I have just mentioned - the renewal in terms of job creation shows - the indicators of the National Bank of Belgium attest that this trade union war against your government and its action are likely to weaken the country. Therefore, without calling into question the right to strike, it is important to put everyone in front of their responsibilities and to make things clear to our fellow citizens. To conclude with a little bit of humor, we know that the leader of the opposition considers that you have sold your soul to some; I think it is already positive that she considers you to have a soul. However, I don't think you sold it.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u20	Dear colleague, my soul has no price! I adapted the answer to a question that was asked two weeks ago. We have always wanted, in accordance with a commitment made since the formation of the government, to give space for social consultation. In our view, there is, on the one hand, parliamentary democracy and a government that has the support of a parliamentary majority with Members elected by universal suffrage throughout the country. On the other hand, there is respect for social democracy, as it allows consultation to improve, strengthen and modulate decisions taken in parliament and in government. This cannot work if some consider that social consultation must lead to the implementation of a minority point of view, sometimes even extremely minority, against the desire of democracy and the parliamentary majority. This is where there is a fundamental divergence of views between the government and some within certain unions. This is a minority point of view in some unions, as is seen in several subjects. Finally, once again, there is reality and there is the perception that some would like to give. What is the reality? In each of the major issues, the ministers of this government have given a great deal of their time and energy to restore every opportunity for social consultation. Thus, for example, with regard to the prison issue, negotiations have been conducted by the Minister of Justice for many weeks. The concerns expressed were taken into account. However, while some consider that an agreement is only possible by giving a complete reason to a very small minority, it must be noted that the government's view on how to organise social consultation is very different. However, in the context of this issue, we have always been clear, we have given space, but at some point we were called upon to say that the negotiations were over, that we had reached the end of what was possible. Negotiations and consultations are also held on a daily basis with social actors in the field of health and pensions (National Pension Commission). Moreover, as part of a structural reform that is very important for our future and our ability to create more jobs tomorrow – I am thinking here of the labour market – the formal decision to validate relatively precise and clear political principles and submit them to the Group of Ten has been taken. Only after consultation with the Minister concerned will a bill be tabled at the government table. This demonstrates our concern to listen, to take into account the comments and suggestions that can be made to us in a process such as the one in question. Finally, a large number of social agreements have been concluded for just under two years and have been widely implemented by this Government. It is true that this has not always been the case, because our role is also to verify that budgetary impacts have been taken into account. However, this has not always been the case, considering certain agreements that have been concluded. However, most of the time we have implemented the social agreements that have been concluded within the Group of Ten, which shows that we are taking social dialogue seriously, but within a very specific framework. It is not our intention to delegate the leadership of the country to the Group of Ten. Parliament and the government could not accept it. I will conclude by telling you that this strategy has achieved positive results. I have had the opportunity to mention on several occasions in plenary session the positive figures in terms of job creation and the reduction in the number of bankruptcies. I agree with you that the National Bank, the Plan Office, the international organizations are unanimous in saying that we are on the right path, that we must continue and amplify the reforms that have been undertaken. The first meetings are known: on the one hand, the budgetary work which will restart in the coming weeks and extend beyond the summer and, on the other hand, the continuation in accordance with the government agreement of the implementation of structural reforms with always the clear objective of attempting to stimulate job creation. It is by stimulating job creation that we will succeed in ensuring that there is a real capacity for solidarity with truly funded social protection. As I like to say, I repeat again here, we do not work with slogans but we are implementing reforms, because we do not finance solidarity with slogans but with additional jobs. That is the meaning of the approach we have chosen.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u21	Prime Minister, thank you for your answer, which I believe is putting things right. I do believe that the best result any government can achieve is in terms of employment. If things continue to evolve as they do today, it is quite comforting because, throughout the European Union, there are 21 million unemployed. This month, there were 122,000 fewer unemployed in Europe. This is obviously still insufficient, but proportionally the results are better in Belgium. As for the method of social dialogue, it sometimes makes me laugh a bit when I call the right-wing government MR and N-VA. In fact, when we see the French government, even though it is a "socialist state", coming to ban demonstrations against the Labour Law, which has never been seen since the Algerian war in terms of banning demonstrations, I find that social dialogue is more open here than in some other countries.
ParlaMint-BE_2016-07-05-54-commissie-ic463x.u22	Prime Minister, my question undoubtedly has the longest title today. It is therefore an important issue that we are dealing with in this question. On 10 May 2016, the Committee I's advisory committee discussed the report of the Committee of the Regions, which now has the long title "The investigation of the attention or lack thereof of the Belgian intelligence services to the potential threats that electronic programmes for monitoring communications and information systems that develop foreign powers and/or foreign intelligence services on a large scale can pose to the Belgian scientific and economic potential. Mr Prime Minister, in that report the Committee I warns that we can assume that Belgian companies, scientific institutions and political authorities are the target of economic espionage, and that Belgian critical infrastructure, such as the servers of the main telecom operators, is susceptible to espionage. A further problem outlined is that our intelligence services are unable or would not be up to it. In its report, the Committee I makes a series of recommendations, which I would like to summarize for you. Firstly, OCAD and the Centre for Cybersecurity Belgium (CCB) should jointly analyse the phenomenon of the threat posed by foreign interception systems to the Belgian WEP or Belgian scientific and economic potential. They should also identify critical infrastructures. Secondly, under the leadership of the National Security Council, an information platform on the strategic protection of scientific and economic potential should be set up. At the same time, efforts to improve cyber security should continue. This also requires an assessment of the suitability of the 2011 Act on Critical Infrastructures. Thirdly, the immediate allocation of the mandate for the approval of ICT systems, including home-source encryption, should be assigned without delay to a public service, such as the National Security Council or the Cybersecurity Centre Belgium. Fourthly, the adoption by the National Security Council of a list of actors, both natural and legal, active in economic and industrial sectors and related to Defence, as provided for in Article 11 of the Organic Intelligence Act of 1998. Fifthly, the Belgian intelligence and security services must ensure that they are careful in the exchange of information in the context of cooperation with foreign intelligence services. The National Security Council should also register that principle in the terms of communication of information to foreign services in accordance with Article 20 of the Organic Intelligence Act. Prime Minister, these are important recommendations. I assume the government has taken note of it by now. That's why I would have liked to ask two punctual questions. What measures does the government intend to take to meet the recommendations of the Committee I as discussed above? What is the timing of the measures? The recommendations refer to various analyses to be carried out: an analysis by the OCAD and the Centre for Cybersecurity Belgium to identify the phenomenon of the threat posed by foreign interception systems and an analysis of the appropriateness of the 2011 Act. Will you have those analyses carried out by whom and what is its timing?
