ParlaMint-BE_2016-04-20-54-commissie-ic391x.u1	Mr. Clarinval's question 9942 has already been dealt with.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u12	Minister, your answer is a little double: it cannot be done and it can be done. It's not allowed, but it's happening. We must ensure that such incidents are kept to a minimum. I am counting on the initiatives that are being taken and on the sweeps and controls that are being carried out, because such matters are not acceptable. I look forward to further initiatives in this area.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u13	Minister, the law introducing electronic surveillance as an autonomous punishment originally stipulated that the sentenced person could be subject to individualised special conditions, if necessary in order to minimise the risk of recurrence, and in the interests of the victim. You will recall the exchange of views following the creation of the potpourri II Act, which, as it were, included the conditions of the offender in the law on the introduction of electronic surveillance as an autonomous penalty. At that time we expressed our concern, Minister. Recently, we were able to read in a study instructed by the VUB that it is very important that when a person is subject to a sentence under electronic supervision, now in order to carry out a prison sentence but also in the future as an autonomous sentence, the conditions imposed by the police and the judicial assistants are followed as closely as possible. There is a need for individual guidance and an individual journey. Mr Minister, with this study in mind, and following the incidents that have recently come to our attention, I have produced three questions for you. Do you not think that the limitation to victim-related conditions will limit too much the necessary guidance from judicial assistants? Are there enough legal assistants at the moment to comply with the conditions, or is there a problem? I am aware that you are not competent in this matter, but I assume that you are consulting with your competent colleagues. How is the consultation going and can a genuinely efficient policy be put in place in this area? In view of the recent events and in view of the objectification by the study, are you considering reintroducing the perpetrator-oriented conditions, at least for very serious crimes?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u14	Minister, as Mrs Van Cauter has already outlined, we have recently learned from the media, including the media, that the supervision of electronic surveillance at the late stages is inadequate or not sufficient. Your predecessor in the previous legislature, Minister Turtelboom, decided, partly because of savings, to delete the prior social investigation. There was also savings at the justice houses. Meanwhile, the justice houses have been regionalised, without the corresponding budgets. Since then, the guidance of persons with an ankle bracelet has proved to be a pain point. Research by the VUB shows that the lack of guidance leads to many frustrations with wearers of an ankle bracelet. If the anklet can soon be imposed as an autonomous penalty, there is a risk that the problem will become even greater. Minister, how is adequate guidance guaranteed for persons under electronic supervision? What measures have been agreed with the Communities, which have taken over power since the last state reform? Is the re-evaluation of the previous social survey considered in the cases in which this could be useful? What will be the consequences of the more limited conditions that can now be imposed on electronic surveillance?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u15	You refer to one of the potpourri laws which clarifies the general and individualised special conditions in the execution of electronic surveillance as an autonomous penalty. In addition, the Commission considers that the aid granted by the State in the form of aid is compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty on the Functioning of the European Union ("the Treaty') and with the internal market within the meaning of Article 107 (3) (c) of the Treaty on the Functioning of the European In addition to imposing the general conditions, in particular not committing criminal offences, having a fixed address, responding to the calls made by the competent electronic surveillance service and complying with the specific provisions laid down by that service, individualised special conditions shall be determined in the interests of the victim, such as the prohibition of entering certain places or contacting the victim, and/or conditions relating to the compensation of the victim. The possibility of imposing special conditions is indeed limited, but we must not forget that from 1 May 2016 the probation can also be pronounced as an autonomous punishment. If the judge considers that the most appropriate penalty is in a trial period which focuses on the follow-up of special conditions, he may opt for that punishment instead of for electronic supervision. It is difficult to assess how the judges will apply the new penalties and what the consequences are. This will have to be evaluated, as set out in Article 26 of the new Probation Act. Electronic surveillance as a punishment is, for the sake of clarity, only possible if the criminal court finds that the offence committed is such as to be punishable by a prison sentence of not more than one year. Certain infringements are also expressly excluded from the scope. The duration of the sentence under electronic supervision shall be at least one month and not more than one year. Article 44 of the potpourri II Act to which I have just referred was discussed in the IMC Justice Houses and is therefore the result of consultations, as required by the cooperation agreement of 17 December 2013 concerning the performance of the tasks of the justice houses. The IMC shall hold regular consultations on the implementation of electronic surveillance. Staff capacity is also discussed. I would advise you to put your questions to the relevant Community ministers, who have been competent since 1 January 2015, both in terms of staffing capacity and in terms of providing guidance to persons under electronic supervision. I know that today these ministers are committed to more tailor-made work and are committed to a more focused commitment of framework and support. The Communities also emphasise a good flow of information for those subject to electronic supervision as an autonomous penalty. If people know where they stand in concrete terms, it increases the chances of a successful execution. Mrs De Wit, I would like to make it clear that the social survey in the context of electronic surveillance has not been completely abolished. For example, there is still a social survey for electronic surveillance as a mode of execution for custodial sentences up to three years in cases where the prison director considers that special conditions should be imposed. This is specified in the letter of 17 March 2013. Article 37 (3) of the Law of 7 February 2014 establishing electronic supervision as an autonomous penalty provides for the possibility to carry out a summary information report and/or a social survey. I will consider, in consultation with the Community ministers concerned, whether an extension of the application of the social survey could be envisaged. A social survey can be a powerful tool, but needs to be used wisely, provide added value and can be carried out at the appropriate time.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u16	Thank you, Minister, for your reply. I have listened carefully to you. If I have understood you correctly, the individual offender-oriented conditions may still be imposed upon trial. I assume that you agree with the usefulness of such measures, but probation is still a lighter punishment than electronic surveillance, even if it is imposed as an autonomous punishment. I do not want to polemicize today, but I think we are all aware of the usefulness of individual perpetrator-oriented conditions. I would ask you, however, to keep a close eye on the issue and, where necessary, to intervene. I realise that you cannot go beyond the scope of the question today, but I think we are all aware of the usefulness of such conditions. I shall come back briefly to the social survey. In my view, it was not intended to decide on electronic surveillance as an autonomous penalty if there is not enough useful information available. In certain cases, the court or criminal court imposing a penalty already has certain data at its disposal by means of a morality inquiry. It makes no sense, then, to repeat the same exercise, while the services are already over-questioned. I hope that the law on electronic supervision will also be applied as an autonomous punishment. Minister, I am fully aware of the fact that the prosecution of the sentence has been defed by the judicial assistants, but I assume that your concern extends to the further execution of the sentence and that you are having sufficient consultations with the competent colleagues to make them aware, where necessary, that there is a need to step up, because I think that is indeed the issue.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u17	Thank you very much for your partial reply, Minister. I'll take a closer look. Of course, I am aware that a number of things are now the responsibility of the regions and that my fellow Members can ask questions there. However, it remains a fact that electronic supervision is essential, even within the framework of the policy that you yourself must and wish to pursue here. I think it is essential that proper consultation is carried out on this issue. We need to look at how we can make things work smoothly. If we want to work with electronic surveillance, which in itself could be a good alternative, and the system fails, then there is also a problem for your policy. That is why the criticism is also that the state reform in this area is fragmented. (Protests from Mrs Van Cauter) I've never been in favour of working in splinter. I've always been in favour of big pieces. We have not approved this state reform, and you will remember that, especially in view of the lack of the corresponding budgets. The problem is that this is what determines your policy here. I believe that we must ensure, through talks with the regions and good agreements, that electronic surveillance is properly monitored as an autonomous punishment. In any case, it must not become a pointless measure. Today it is sometimes said that it could no longer be an alternative, and that is not true.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u18	I'd like to reassure the anxious ladies anyway. I spent two hours this afternoon with the relevant Community ministers. I don't think we should be doing rear-guard battles in that area. Our country now has no message of rearguard combat.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u19	Question No 10295 by Mrs Fernandez Fernandez is postponed. Questions Nos 10222 and 10231 by Mrs Nawal Ben Hamou are transformed into written questions.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u20	Mr President, Minister, you will probably remember that, I asked you in plenary session on 28 January about why some mosques did not comply with the NBA Act, which provides for the deposit of accounts at the National Bank or the Registry of the Commercial Court, and the Worship Act. You recalled in your reply – I quote you –: "the rule in our country is that recognized cults cannot, under any circumstances, receive subsidies from abroad." As a result of this question, I would like to ask you for some figures. Could you tell me how many mosques have deposited their accounts at the National Bank or at the competent court office, in relation to the totality of the recognized mosques? What is the situation in Brussels in particular? For those who have not, have you taken any initiatives since my question of January 28th? You told me that mosques that were not officially recognized as places of worship were not subject to the Law on Worship, which included the prohibition of foreign financing. How many mosques are not officially recognized when they are actually a place of worship? With regard to the Cinquantenaire mosque, was it true that it was not a recognized place of worship, whereas the concession contract between the Belgian State and the ASBL Centre Islamic et Cultural de Belgique provided that the building was intended to be used as a mosque? How can this paradox be explained? You also indicated in the plenary session that you would consider whether it would be possible to give the Financial Information Processing Unit (ICTIF) the task of examining whether or not such unrecognized places of worship receive foreign liberalities. Have you actually done this work? What is the result of this? Do the problems I describe here with regard to Muslim worship exist for other cults?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u21	Mr President, Mr Dallemagne, as in my previous reply, I can tell you that mosques which are in the form of an ASBL or which are managed by an ASBL must comply with the legal rules governing this type of legal form. The Associations Act provides for specific penalties, as well as for small, large or very large associations, if they have not deposited their annual accounts, respectively, at the Registry and at the National Bank. As far as the recognition of mosques is concerned, I can tell you that 14 are currently recognised in Brussels. Given my initiatives within the government to increase this number, 10 files are in administrative and political order at the level of the Region and are currently being studied by my services. A dozen other Brussels mosques are currently seeking the same recognition. I discussed the issue of accounts with the College of Attorneys General. On 23 February, he told me that, in order to deal with the macro-financing of terrorism, the federal prosecutor suggested amending the legislation in force to allow the Financial Information Processing Unit to denounce financing operations from certain foreign countries considered to be suspects. The College also told me that it would continue its efforts in the various BELFI projects. Similar initiatives have been taken in Antwerp and Liège. Through this project coordinated by the Attorney General's Office, the Federal Judicial Police, in partnership with the police areas, the State Security and the Judicial Police Section specializing in the fight against terrorism, developed a list of entities that could be monitored. Since the launch of the BELFI project, forty-two of them have been inspected. In the context of the recent Canal Plan, some municipalities are particularly targeted and are subject to priority controls, which, however, are not restricted to mosques. There are many close contacts with CTIF regarding the need to amend the law on money laundering beyond the changes that have already been made in the law "pot-pourri II". As a reminder, the latter fills a gap, since it allows CTIF to transmit information to intelligence services and OCAM on its own initiative. Consideration should also be given to the draft law on data collection by the same services, which is currently before the Council of State. Discussions are still under way with CTIF to see whether there is a need for further clarification of the law on money laundering or whether the combination of the two legislative initiatives I have just mentioned is sufficient. The objective is, in all cases, to encourage a better involvement of CTIF in monitoring the financing of radicalism. The concession contract with the Islamic and Cultural Centre of Belgium was concluded under the responsibility of the Minister in charge of the Régie des Bâtiments. To obtain a copy of the contract, I invite you to address the Deputy Prime Minister and Minister of the Interior in charge of the Régie des Bâtiments.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u22	Mr President, Minister, I take note of a series of information. On the other hand, you do not answer the first question, which mosques have submitted their accounts. The answer to this question is extremely important, as well as to carry out useful actions in this context. You remind us that these non-profit organizations can be sanctioned and dissolved. I understand that you have a power of injunction in this regard. The Public Prosecutor's Office also has it and can dissolve non-compliance with the law. I will come back to you with this question because it is extremely important to demand that these non-profit organizations publish their accounts. On the other hand, with regard to international financing, I am astonished at the paradox that you are not responding to. I am not asking you for the concession contract for the Cinquantenaire Mosque since it is the minister who has the public buildings in his jurisdiction that must be asked to do so. This was done and I received the answer that it was a building that had been granted to make it a mosque. The paradox that I would like to stress with you is that while this building is a mosque in fact, accreditation as a mosque has not been sought and can therefore receive international funding. This gives the impression that it has almost been intentional not to be accepted as a mosque in order to be able to benefit from international financing. But even an ASBL, if I understand correctly, must receive the approval of the Minister of Justice to receive gifts beyond 100,000 euros. In this regard, too, one may wonder whether it has received gifts in excess of 100 000 euros and this question cannot be answered since this ASBL does not publish its accounts! I ask you to ensure that the government takes initiatives to ensure that these non-profit organizations finally publish their accounts and that those of them who are places of worship are required to apply for a licence to practise as places of worship. This seems essential to me in the current context. I still have very recent reports of massive foreign financing from Saudi Arabia and Qatar to certain places of worship, and I think that should stop. We now have the legal instruments that allow us to put an end to these financings. I am thinking of the NSAs Act, which requires the publication of accounts. It is not difficult to send them a letter asking them to comply and to make them understand that those who do not will be dissolved. It should also be recalled that the Law on Worship prohibits international financing. I welcome new legislative developments, but you already have enough instruments to put an end to these financings. I have just heard that funding of about 600,000 euros has just arrived on the account of an ASBL running a mosque. This seems to me to be extremely worrying information in the current context.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u23	Mr President, Minister, the Act of 4 December 2012 amending the Nationality Code entered into force on 1 January 2013. It has significantly changed the way in which citizenship is acquired as well as the way in which naturalization is acquired. It is interesting to know how and to what extent this law has been used by foreign persons to become Belgian citizens. On the other hand, it would also be useful to know whether the enforcement of the law is functional and rapid in order to avoid the number of pending cases that we know of in the Naturalizations Commission. Minister, how many applications have been submitted per year, in the different types of acquisition of nationality, as well as in naturalization applications? In these applications, how many were accepted, by category, and within what average time frame? Especially what assessment do you make of the application of this law three years after its entry into force? What difficulties have arisen as a result of the application of this law?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u24	Mr President, Mr Dallemagne, there is no statistical data on the number of applications to acquire Belgian nationality for the simple reason that the municipalities do not enter these data into the national register. Nor does my administration have the information on the average time taken to process applications for Belgian nationality. However, with regard to acquisitions of nationality, with the exception of naturalisations, I can send you a table showing the number of applications broken down by article of the Belgian Nationality Code for the years 2013 to 2015 inclusive. Thus, the number of naturalisations in 2013 was 8,168, 3,005 in 2014 and 4,814 in 2015. All these naturalizations took place in accordance with the old law, except for the year 2015 in which 12 naturalizations were granted under the new law. The application of the latter is subject, in practice, to an ongoing evaluation. Thus, in order to make the law as comprehensible as possible, the Law of 25 April 2014 on various provisions in the field of justice has made technical improvements and simplifications. If the need arises in the future, the necessary adjustments will be introduced through legislative initiatives. To this end, my services are currently conducting an in-depth assessment of the legislation to examine what improvements and future adjustments would be desirable.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u25	I will look carefully at the tables and eventually come back to more specific issues. Thank you, Minister.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u26	Mr President, my approach is similar to that of Mr Laaouej, absent. Perhaps his question will come back to me and I will be able to put it to the minister precisely because of course we are on the same page. For the sake of transparency and correction, I would like to point out that the question that is being asked of the minister is also being asked of the Minister of Finance, Mr. Van Overtveldt. Indeed, we believe that we are in the context of a cross-cutting issue concerning the vulture funds law. Minister, on 12 July 2015, Belgium adopted a pioneering law against vulture funds. As a reminder, investment funds buy back government bonds or claims on States at low prices, then initiate legal proceedings and thus require them to pay the face value of such bonds or claims at the time of issue, plus interest on a moratorium. The text adopted by Belgium is intended to complement the current legislation by offering the Belgian courts more effective means of combating the action of vulture funds. The law allows magistrates to refuse a fund that would be described as "vulture" to recover more than the amount to which it originally acquired the disputed claim. At the end of March, two funds filed an appeal with the Constitutional Court against this provision, primarily attacking its constitutionality. This attack on the law only demonstrates its importance and regulatory role in dealing with these vulture funds. In the face of these criticisms, it is important to recall that "the constitutional rules of equality and non-discrimination do not preclude a difference in treatment between categories of persons, provided that it is based on an objective criterion and is reasonably justified". A difference in treatment can therefore be considered constitutional, provided that it is based on objective and reasonably justified criteria. These criteria are clearly set out in the law in order to leave no doubt to the magistrates in charge of such cases. The MR Group therefore reiterates its support for the legislation and its commitment to the objectives that motivated parliamentarians to adopt it: the firm will to act in a clear and meaningful way against the immoral action of certain speculators who take advantage of the economic fragility of debtor countries to enrich themselves at the expense of local populations. We also remain convinced that you will take all necessary measures while respecting, of course, the separation of powers emanating from our Constitution. Minister, how do you respond to this request? Are you considering taking steps to ensure an effective defence of this provision? If so, could you tell us which ones?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u27	Mr Scourneau, as you point out, the House of Representatives unanimously voted the law of 12 July 2015 on the fight against vulture funds. It entered into force on 21 September. I can therefore tell you that until the Constitutional Court has sanctioned a law, it is applicable in all its aspects, without prejudice to international treaties and European Union law. Therefore, I have every confidence that the authorities responsible for issuing enforceable titles will apply it. In addition, I have received confirmation from the Chancellery that the application for annulment before the Constitutional Court has been communicated to the Ministry of Finance. I have no doubt that this administration will ensure that this legislation is effectively and adequately defended before the Court. I therefore invite you to ask the Minister of Finance about this.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u28	Minister, I will be questioning the Minister of Finance this afternoon! Since the law came out of effect, would you know of any pending cases that target vulture funds?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u29	[[...]]
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u30	Minister, in August 2014, the Objective 4 nuclear reactor was shut down after an act of sabotage. Of course, an investigation was started at that time. At the end of December 2014, the nuclear reactor was restarted. At that time, the investigation had not yet been completed. As a result of the suspected sabotage, additional security measures were taken. During the exchange of views in the Nuclear Safety Subcommittee at the beginning of this year, your fellow Minister for the Interior, Mr Jambon, confirmed that the judicial investigation was still ongoing. However, he said that we should be with you for further information. I would therefore like to ask you the following questions. Can you give us an update on the investigation? Do we have a timing for completing this investigation? In the current security issue, it is important to be able to draw the necessary conclusions from what has happened there.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u31	Mrs. Temmerman, the federal prosecutor informs me that the judicial investigation is still active. This is partly due to the thoroughness with which it is fed. You will understand that interim conclusions and considerations are a secret of the investigation, and that must be closely monitored in this dossier. Your question as to what measures will be linked to the findings of the investigation is therefore premature to date.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u32	Mr. Secretary, do you have a time to complete the investigation?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u33	The federal court has not provided me with any information on this, Mrs Temmerman.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u34	Mr Minister, this question is in line with the question I raised earlier, but it was a different one. This is certainly not a rearguard fight, Minister. This is a concern that determines the policy of punishment that you and we in Parliament want to further develop. The Länder are responsible for the electronic monitoring and placing of ankle tyres. Those ankle bracelets are important to you. They are also important for the execution of the sentence. It is also being used in the context of pre-trial detention. You are planning, according to your justice plan, even an extension of it. Soon the anklet can also be imposed as an autonomous punishment. The anklet is therefore an important tool in the execution of the sentence. I have heard that the tender dossier for new and modern ankle tyres in Flanders has been missed. There were apparently irregular and unacceptable offers, on which the department decided not to grant the ankle bracelets and to start further negotiations with one company. Competitors appealed against this to the Council of State. At the end of March, he suspended the decision. The procedure must therefore be repeated. This means that you still have a long time to do with the 960 current, old ankle bracelets. I understand from your reply earlier that you had discussions with your Flemish colleague this afternoon. What are the consequences for the current federal criminal execution policy? Are there enough ankle bracelets to ensure that the sentence is executed correctly? Is there another chance of waiting lists? Is the entry of the anklet as an autonomous sentence in danger?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u35	Mrs De Wit, the availability of ankle straps is a challenge for all Communities, including the Flemish. I am committed to a continuous and constructive dialogue with the relevant ministers on the use of ankle ties in my criminal and criminal execution policies. This afternoon I had a meeting with the three community ministers, with whom I work in confidence. The continuity of the services provided by the Communities remains assured. On the Flemish side, the agreement with the current equipment supplier was already extended until February 2017 and discussions are ongoing to extend that agreement until the end of 2017. There is therefore no problem with the supply of new ankle straps. The sixth state reform does not prevent the Communities from sitting together to issue a new public contract. The choice of a common tender is based on the consideration that pooling of expertise creates a better position in the market.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u36	Mr President, Minister, thank you for your reply. I am pleased to hear that you do not expect any problems and hope that this will be done.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u37	Question No 10470 by Mr Terwingen is transformed into a written question. Question No 10474 by Mrs Uyttersprot has already been dealt with. Question No 10493 by Mrs Lahaye-Battheu is postponed. Question No 10505 by Mrs Van Vaerenbergh is transformed into a written question. Question No 10527 by Mrs Lahaye-Battheu is postponed as is her question No 10529.
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u38	Mr President, Minister, the press is relaying an attempt to escape in Leuze prison. An inmate, assisted by two accomplices, took advantage of a pre-trial exit to try to escape. The two accomplices, armed, had managed to cross the outer enclosure of the prison. One of the accomplices had managed to pass on a cutting clamp to the inmate so that the inmate could cut the fences of the yard and get into the round path. The plan worked until the fugitive and one of his accomplices were caught up by law enforcement. This history raises a complex problem related to the management of escape attempts and the underlying risks. Leuze Prison is a "high security" prison with dangerous inmates. Despite the ultra-modernity of this establishment, it must be noted that an escape has almost occurred. The regional secretary of the CGSP and former active agent in Leuze find, I quote, "inquiring, even worrying that an escape has almost succeeded". Opinion that I fully share. Moreover, we are faced with a real paradox as the higher the level of security in our prisons, the higher the risks associated with attempts to escape, as fugitives no longer hesitate to use heavy weapons to achieve their ends. There are many examples in Belgium and abroad: hostage-taking, heavy-armed detainees, helipading attempts, bursts of fire, and I'm passing. Minister, how is it possible that individuals can enter a very secure prison as easily as possible? Shouldn't it be better to categorize our prisons and put the necessary resources on the basis of the degree of dangerousness of the detainees in order to reduce the threat and not to dilute the money needed to strengthen security where necessary? Are the officers of these high-security prisons trained to deal with and prevent this threat? What means will you put in place to ensure the safety of officers in cases of attempted violent escape?
ParlaMint-BE_2016-04-20-54-commissie-ic391x.u39	Mrs Özen, as far as the attempt to escape from Leuze prison is concerned, it must be borne in mind that the security equipment has played its part perfectly: the alarm system has worked; the deterrent elements such as the closing of the interior and exterior parameters and the enclosure walls with bulbs have served their function as delayers. The first contacts did not reveal any malfunctions in the current procedures. Both the prison staff of the institution and the police carried out their work properly. Similarly, cooperation between the two sides has been good. This attempt to escape will now be the subject of a thorough analysis and follow-up by the competent authorities in order to assess what could be improved in terms of infrastructure and initial reflexes and the organization of the prison. Security in prisons is a priority. In this context, standardized security processes, including those for serious incidents, have been identified. Training with the police is organized, as well as exercises to simulate hostage-taking. With regard to prison officers, the country's two training centres offered them continuous training in the use of special techniques and in the application of prison reflexes. We screen inmates to best guide them according to their profile. Recall that it is very difficult to anticipate external attacks. On the other hand, the aim is to provide for equipment, devices and procedures aimed at preventing or delaying escapes.
