ParlaMint-BE_2016-02-24-54-commissie-ic348x.u1	Debates of the European Parliament Mrs Jadin's 8719 has been converted into a written question.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u12	Minister, the reports on the informal meeting at the beginning of February of the six founding EU Member States can also give us hope. Stand still and think carefully about the course to be taken at such a difficult and challenging moment for the European Union, when we are faced with the migration crisis, the Brexit and the pressure on European values and standards, is a positive initiative. The aim seems to be to strengthen internal cooperation and unity. The criticism that a small meeting table will be added to Europe is ill-considered, because in the face of the enormous challenges, various initiatives must be taken to increase the chances of strengthening the European Union. Enabling the experienced network of experts from the six founding EU Member States can be a very interesting idea. I note, on the basis of reports in the media, that you have participated constructively. Of course, there are also questions about our position regarding a two-speed Europe. I would like clarification on this. Minister, what is the nature of the informal meeting or, where appropriate, meetings? What themes have been addressed? Can you clarify the Belgian position? What effect will the conclusions of the meetings have? What is your position on a two-speed Europe, and how exactly do you see it? Do you not think that such important steps for the future of Europe should be discussed more intensely here in Parliament? I read somewhere in the press that a next meeting might take place in Belgium. Can you say something about that?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u13	Minister, following the 60th anniversary of the Treaty of Rome, informal consultations were held on Tuesday 9 February at the initiative of the Italian Prime Minister, Renzi. We have an important role to play in this. Can you explain the position taken by Belgium during that discussion, specifically with regard to the asylum crisis, a Europe with different speeds and the Brexit? Have any other topics of conversation been part of the conversation? What conclusions are drawn from the discussion and how, in your opinion, will they affect the direction of the European Union? Are the six Member States planning to transform informal consultations into formal consultations involving several European Member States? If so, how do you think this will be done in concrete terms? If no, can you explain what would be the reason for that?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u14	Mr President, Minister, I agree with my colleagues' questions. The European environment is particularly gloomy. Whether we like it or not, last week's Brussels summit was a precedent. European summits live a little at the rate of one damage control to the other. This summit in Rome seemed to be a clarification, a dynamic, positive and constructive initiative. A press release recalled the willingness of the founding members to take the initiative to strengthen European cohesion. You invited your colleagues in late April-early May. In concrete terms, what will be the menu for this meeting? Today we need to move from words to deeds, to concrete initiatives, to this political union. This initiative was symbolically interesting, but it must now be translated into very concrete action. What will happen to her? How will it turn into a real momentum?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u15	Mr President, ladies and gentlemen, next year the European Union will be celebrating its 60th anniversary. At the invitation and initiative of Italy, the Foreign Ministers of the six founding countries met in Rome on 9 February to prepare this anniversary and to discuss the basic principles underlying the construction of Europe. The informal meeting also provided an opportunity for founding members to examine the evolution of the European project and the major challenges facing the Union. As founding members, we want to send a voluntaristic message with this meeting about the European construction, which has always been based on a spirit of solidarity. This spirit of solidarity was discussed, among other things, in the context of the refugee crisis. This is currently one of the biggest European challenges. Priority should be given to the efficient and humane implementation of the decisions taken and better management of the Union's external borders. Cooperation with the countries of origin and transit should be further strengthened. Europe needs a balanced and comprehensive geographical approach based on solidarity and responsibility. Another topic of discussion was the fight against terrorism and the defence of our values, with full respect for human rights and the principle of the rule of law. This challenge is great and requires the Union to play a role as a global player, including in the areas of security policy and foreign policy. Helping to secure peace and stability in the world is a strategic priority and of fundamental importance for the EU and for its future. This informal form of consultation also allowed us to reflect on the means that would enable us to relaunch the European Union's integration process. The founding countries have long been trying to develop a vision based on the realization that further integration is desirable in some areas. Variable dimensions should be possible, as is already the case with the euro area and the Schengen area. There was also, of course, talk about the Brexit and the unpredictable outcome of the British referendum. Some Member States, in particular Britain, may not want to further integrate. However, several important issues require a stronger European solution. The communiqué adopted at the end of the Rome meeting stressed that the ministers present remained committed to continuing the process, creating an ever closer union among the peoples of Europe. The process started at this meeting is expected to continue until March 2017, when the 60th anniversary of the Treaty of Rome will be commemorated. The exercise is currently being conducted between the six founding countries, but it is not excluded that it should be open at a later stage to other Member States. In this context, we will examine possible progress under the existing treaties, as well as how to move forward in the longer term, possibly with amendments to those treaties. The next meeting will be held, at my invitation, in Brussels, probably at Val Duchesse Castle, where the Treaty of Rome has been negotiated. The process is at this stage still informal. These are exploratory discussions, which obviously do not require a formal position from the government. However, the principle of ever closer union was clearly defended by the Prime Minister on behalf of Belgium at last week's European Council. The Belgian Government currently has no plans to launch an online survey, such as Italy, in which citizens would be questioned about their vision of the future of Europe. The European Union has the Eurobarometer, a system in which scientifically sound opinion polls are conducted in the Member States. I am prepared to listen to the proposals and comments made by Members of Parliament, but so far it has been about an informal meeting of six foreign ministers. I did a similar exercise a few years ago with a dozen fellow Members following an initiative by my German colleague, Guido Westerwelle. At the end of the process, we gave a note on the future of Europe to the Presidents of the European Commission, the European Council and the European Parliament, and the leaders of the political groups in the European Parliament. Other actors, such as all fellow Members of the 28 Member States, also received this note. I will try to raise different issues at the next meeting. I believe that, among the topics that will be discussed again, are the deepening of economic and monetary union and the migration crisis. Of course, the European security and defence policy will be at the heart of our discussions, since foreign ministers are meeting. We will therefore try to move forward on certain issues, but which depend on other members of the Council. This is an initiative which, I do not hide from you, also tends to show that, if some partners – as we have seen with Great Britain – do not wish to participate in any European development, others want, not to make progress on all the issues, but to consolidate Europe in several areas where it is clear that the common policy allows us to move forward. As I have just said, this is clearly the case for economic and monetary union. This is also the case for migration policy and security and defence policy. Of course, we will continue to work on other topics.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u16	Minister, it is a good thing that as many reflections as possible are formed in times of crisis. That was Cameron's intention at the time, three years ago, to stimulate the debate on Europe and to make everyone think. The six have also thought and reflected. In this respect, I continue to welcome this initiative as long as it is not just in the position of the United Kingdom, in or out. That's not the only thing we stand for today. This crisis involves much more: migration and finance, but also growing further towards a meaningful and more efficient Europe. I believe that this opportunity is also part of the consultation in which you participate with the six.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u17	Minister, I understand that the intention is to stop doing so in March 2017, unless it would appear that it is an interesting forum to do something together in the future.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u18	Thank you, Minister, for your reply. The informal nature of this meeting has the advantage of being pragmatic. I think it's an interesting exercise. It is very easy to continue with this. You also refer to a previous initiative, the initiative of Germany which you have addressed. A letter was also sent at the time. I would just find it interesting to know what the state of affairs is today, following that letter. Where are we today? Is the status quo or have things actually changed? Finally, a general message: membership of the European Union means taking but also giving. In the context of the refugee crisis, you yourself refer to the fact that solidarity is accompanied by responsibility. I believe that this is the only message that is important to continue to underline. This applies to all Member States. We believe that it is essential to stress this again here today.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u19	Mr Minister, informality suits me as long as it is a solid initiative and there is an agenda. The worst thing would be to have another disappointment. Today, we really need new initiatives and new impetus, with real, ambitious policies at European level. It has been a long time since Europe took a fundamental decision, an important initiative. We are far from major decisions such as Schengen or the single currency. There is no real strong and important news that is mobilising citizens, and during this time Europe continues to be hit on all sides. And this has rather accelerated since the European Council, there are demands to dismantle Europe. You have cited defence, it is an excellent area for which we can take an initiative, as well as in social matters. There are a number of areas where, at six, we can try to move forward and remobilise European citizens. I expect a lot from you in this area.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u20	Mr President, Minister, I would not like to take the mood off by talking to you about zinc and death, but that is still what I am going to do. I come to tell you about an old problem, namely the cross-border transfer of the deceased between Belgium and France. As you know, many French people can be hospitalized in Belgium but also stay in nursing homes. The problem is that nothing has been planned to facilitate the return of the deceased to their country of origin. When I say that nothing is planned to facilitate the return of the deceased to France, I mean that the procedures are complicated and costly. For the signatory countries of the Treaty of Strasbourg, including France and Belgium, the coffin transiting from one country to another must be made of zinc. In addition, the death pass is issued by the local authorities. This involves cumbersome administrative procedures and significant costs. While this measure is understandable for health reasons on a relatively large journey, it seems inappropriate for a journey that does not exceed a few kilometres in border areas. It is for this reason that since 1963 a simple authorisation is sufficient for the bodies of deceased persons to cross the borders within the Benelux. But why is there no provision for small trips between Belgium and France? I have learned through the press that various political steps have been taken since 2010 to address this problem. It appears that a bilateral agreement is currently under discussion in the FPS Foreign Affairs. We are apparently in the stage of analysis of the counter-proposal received by France. Minister, where are we on the record today? Do you already analyse the counter-proposal given by our French neighbours? Have the Regions and the Federal State already agreed on this issue? If so, what has emerged? Can you give me a timeline for the progress of the case?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u21	Mr President, Mr Delannois, as you have pointed out, the problem is well known to my department, since we have been working on it for some time now. To be precise, on 11 April 2014, Belgium had submitted a draft treaty to France. On April 24, 2015 - a year later - a French counter-proposal was sent to us. This French counter-proposal is currently being discussed in consultation with the relevant federal public services – Justice and Public Health – the three Regions and the German-speaking Community. Over the past few months, several reactions have been received and analysed. In order to formulate a common response to the French counter-proposal, my services are now preparing a consultation meeting, which should take place as soon as possible. I hope that we can move forward more consensually in this area than in certain commercial areas of investment protection; otherwise, we will obviously be blocked before we can respond to our French colleagues. I hope there is a willingness to find solutions in each of the regions and in the German-speaking Community. But I can assure you that we will not fail to move forward on this issue, obviously taking into account the different competences I have just mentioned. If necessary, I would suggest to my French colleague that we coordinate perhaps the next step. There was indeed a Belgian proposal, a French proposal and a Belgian reaction. At some point, a number of concrete choices may have to be made. We are now trying to formulate a Belgian reaction to the French counter-proposal and, if possible, to arrive at a text. Having said that, I cannot guarantee that the position is, for the time being, unanimous between the various federal departments and the various federated entities.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u22	Thank you, Minister, for your answer. I hope common sense triumphs. We often talk about Europe, but I think it is very concrete cases that make one believe it or not. I am the mayor of a city on the border, and I can assure you that this is the kind of things that we hear systematically about, not necessarily in the case I have just mentioned. The same applies to police, agreements to be concluded with the French State concerning emergency zones, etc. We are all convinced here by Europe, but we also need concrete examples.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u23	Minister, there is a totalitarian regime in Eritrea where unprecedented atrocities are committed against its own people. The country is sometimes referred to as North Korea of Africa or an open prison, in which all citizens and all residents from birth are in principle serfs or slaves of the military dictatorship of President Isaias Afewerki. Eritrea has no freedoms. There's a lifelong conscription. The regime has total control over the media and public life. Those who fall into disgrace risk torture or disappearance. It should not be surprised, therefore, that the Eritrean diaspora, until recently, accounted for a quarter of asylum applications in Europe. According to UNHCR, some 2 000 Eritrean citizens per month are trying to flee their country to life and death. Once these refugees arrive here in Europe, they are still not liberated. They're still dragging a yoke with them. The Eritrean government, through its embassies, is imposing a recovery and reconstruction tax on extravagant people and their descendants, who are called diasporataks in the head of my question. If these extravagants do not pay the tax, they put left behind relatives and friends at risk. In 2011, the United Nations called on the Eritrean government, through Resolution 2023, to put an end to these reprehensible practices. Unfortunately, the call wasn't enough. Recently, in February 2016, the British Metropolitan Police launched an investigation into such activities. I would have liked to ask you a number of questions about the issue in a Belgian context. Do you know whether the Eritrean Embassy uses such practices in Belgium, particularly in Brussels? Since the imposition of the tax would be contrary to the Vienna Convention on diplomacy and there has also been an explicit condemnation of the United Nations, will you and will you address the Eritrean ambassador on the issue? Finally, many Eritreans venture to a perilous crossing of the Mediterranean Sea, to escape the oppression in their country. Will our country direct to the European Union and insist on a stricter approach by the Eritrean government in order to stop such migratory waves and practices? Thank you, Minister, for your answer in advance.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u24	Mr Luyckx, the practice of lifting so-called diasporataks by Eritrean diplomatic posts in respect of the Eritrean community abroad is known to me. However, on the basis of the information I received, it is not clear whether this practice is also being applied by the Eritrean Embassy in Brussels and if this were the case, under what modalities. We will contact the Eritrean ambassador for this. Taking into account the relatively limited bilateral relations between Belgium and Eritrea and the cross-border nature of the migration from Eritrea to the EU, of which only a very small number are heading towards Belgium, our country prefers a common European approach to this issue within a wider framework of structured political dialogue and development cooperation in accordance with the provisions of Article 8 of the Cotonou Agreements. This consultation shows an increasing awareness among the Eritrean authority of the negative economic impact in the long term of a sustained wave of especially young people leaving the country, after the phenomenon was ignored for years. There were some positive signs of a willingness on the part of the authorities to adjust policies. Thus, the regime committed itself to implementing 92 recommendations resulting from the UN Universal Periodic Survey. It was also announced that the duration of national conscription, an important push factor of youth migration, would be limited to 18 months. In addition, the authorities recognise the need for economic reforms to offer the population opportunities in terms of employment and basic prosperity. Specifically on migration, the country's participation in the so-called Khartoum Process and, more recently, the EU-Africa Summit in Valletta has shown its willingness to seek sustainable solutions. The country was encouraged to submit projects under the newly established trust fund. In addition, a cooperation plan under the 11th EDF was signed very recently between the EU and Eritrea for the next five years worth EUR 200 million, with due attention to good governance and human rights. Belgium will follow this issue with due attention, in particular the necessary concreteisation of the Eritrean authorities in relation to the commitments made. We will also contact the Eritrean Ambassador to obtain more details on such practices.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u25	Minister, I do believe that we should not only support an EU initiative or consultation, but that we should also assume our own responsibilities and contact the embassy on a bilateral basis. There are many promises and initiatives in this regard. We can only see, in the media and also from the testimonies of the people who fled there, that the situation is poignant. People are being abused and shot there. I think we should beware of considering all these intentions and initiatives as sufficient. Between dream and deed are laws and objections. And in this case also melancholy, which no one can explain, as the poem continues. Apart from that, I will certainly commit myself to that theme and I will follow it up further. I look forward to the results of the discussion between you and the Eritrean Embassy in Brussels.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u26	Mr President, Mr. Minister, the Deutscher Richterbund (DRB), the prestigious association of German magistrates, stated in early February its opposition to the establishment of a Court System (ICS) under a possible agreement on the TTIP, knowing that the ICS was replacing the ISDS system which was discussed at length earlier. The DRB – which is not nothing, it is a highly respected institution in Germany – sees neither the legal basis nor the need for such a court. The DRB is of the opinion that the ICS's implicit idea that courts in EU Member States do not provide sufficient legal certainty to foreign investors is wrong. If the partners in the current negotiations (the United States and Europe) identified weaknesses in the judicial systems of the Member States, they would then have to remedy this by introducing new legislation at national or European level. It is, according to these judges, in this way that the rights to which any litigator in Germany and the European Union can claim can be guaranteed: the creation of arbitral tribunals for particular groups of litigants is, according to this association, inappropriate. According to the DRB, an ICS would also affect the existing judicial system within the Member States of the European Union. The association thus makes an interesting parallel between the ICS and the European Patent Court. In an opinion delivered by the Court of Justice of the European Union (CJEU) on 8 March 2011 on the latter, it is considered that these parallel courts would deprive "the courts of the Member States of their competence to interpret and apply Union law and the Court of Justice of the latter to answer, as a preliminary ruling, the questions put by those courts and, as a result, would distort the powers conferred by the Treaties on the institutions of the Union and on the Member States which are essential to the preservation of the very nature of Union law." Hence, minister, my questions. Is this opinion, from a very influential association from the most important EU country, both politically and economically, likely to give you doubts about the implementation, after the now aborted ISDS, of an ICS in the context of the possible TTIP? When the possible consolidated text of the TTIP is drawn up, do you intend to seek the opinion of the CJEU on the compatibility of this draft text with the policies and rules of the European Union and in particular with the Treaty of Lisbon? Indeed, on the basis of the terms of Article 218, § 11, of the Treaty on the Functioning of the EU, any Member State may request an opinion from the Court of Justice of the European Union on the compatibility of an international agreement which the Union intends to conclude with the requirements of the Treaties, including, in the case of trade agreements, with "Union policies and rules" (Article 207, § 3). For the same reasons, do you intend to seek an opinion from the CJEU on the text now drafted of the CETA, knowing that it introduces an ISDS system, for which compatibility with EU law is even more questionable and contested by many associations and citizens in Europe?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u27	Mr President, Mr Hellings, the main reason for establishing an investor-state dispute resolution mechanism under a free trade agreement is that for many countries these agreements are not directly enforceable in the national legal order. This is the case for the United States and within the European Union. The purpose of the investor-State dispute resolution mechanism is to protect foreign investors from any form of discrimination or unequal treatment for domestic investors. With the new Investment Court System principle, the Commission wants to ensure equal treatment between US investors in Europe and EU investors in the US. The Commission's ICS proposal provides for an article which provides that a ICS court is not competent for the interpretation and application of the national laws of the Member States and EU legislation, thereby avoiding any interference with the jurisdiction of the national courts and tribunals and the Court of Justice of the European Union. I have no doubt that, in drawing up this proposal, the European Commission has pursued the objective of respecting the fundamental standards of the European Union. In addition, this type of mechanism is reflected in more than 1,400 bilateral investment agreements that Member States have concluded in the past. European investors are generally the largest users and even rely on ISDS provisions contained in investment agreements concluded between Member States, thus within the European Union. Germany – since you are referring to legal debates in Germany – has itself concluded more than 135 bilateral investment agreements that include such a mechanism, including with a number of EU Member States. As I have already told Parliament, the Commission has received the support of a very large majority of Member States for this new ISDS system. I have just mentioned Germany, but France, Italy and Greece with their current government also support the Commission's proposal. As far as the intentions of questioning the Court of Justice or other actors are concerned, we will see this at the end of the process. For the moment, I believe that the Commission is doing its utmost to avoid endangering the fundamental standards of the European Union and is also doing its utmost to prevent interference with the competences of the national courts and tribunals, as well as those of the Court of Justice of the European Union. I do not, of course, agree with you on the importance of a number of associations in the countries of the Union, but on the basis of the information available to me, the concerns expressed by the Commission. Deutsche Richterbund have had no impact on the German position on the new system of investment jurisdiction proposed by the Commission also known as ICS. I congratulate you for taking the trouble to read in detail the concerns of this certainly venerable association of German jurists. I think that the members of the parties of the majority – the great coalition – in Germany have certainly taken the pain as well. But this does not seem to have had any effect since the German Government supports the Commission's proposal. I am ready to open a reading room to make available the opinion of this association.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u28	Minister, that will not be necessary since it is already available. But if you want, I'll send it to you. I even translated it. A Richter, in German, he's not a lawyer, he's a magistrate, a judge. It is not an eminent association of jurists, but of magistrates, which is fundamentally different.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u29	Unfortunately, I went through modern mathematics when I arrived in humanities. You may remember that in modern mathematics, there is a theory of ensembles. However, judges are a subgroup of the legal category. Nothing prevents me from calling your magistrates lawyers, being myself a lawyer but certainly not eminent.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u30	Of course, but if you speak as a lawyer with respect to the ICS or ISDS, it is not the same as if you are speaking as a judge, that is, a person potentially brought to trial before a court, which is fundamentally different. And the judge in Germany, more than anywhere else, is an extremely important person in history and society. What does the association say? She says that investors' rights can be guaranteed through normal courts and tribunals. That's what she tells you and reminds you.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u31	[[...]]
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u32	Mr Minister, I attach more importance to judges from courts and tribunals, including the Court of Justice of the European Union, than to judges from law firms paid extremely high prices by multinationals, whose aim is to guarantee the interests of these multinationals and not the domestic legal order. I have indeed told you that the ISDS clause is present in many trade agreements, including the European Union. But this is not a question of this clause, but of the ICS clause proposed by the European Commission, Commissioner Malmström, because the ISDS closure is inconceivable, not only for lawyers, not only for judges but also for citizens in general. Finally, I have proposed that the text of the TTIP be validated, possibly finalized, by requesting the opinion of the Court of Justice of the European Union – which has never been done. This is an open door, a constructive proposal. I do not claim, like some of my colleagues, that the treaty finally negotiated will not be compatible with the rules of the European Union. But it does not cost anything to seek the opinion of the European Court of Justice. And if Belgium could take the initiative to do so, it would grow and it would be a good thing in terms of transparency and respect for our treaties and values.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u33	Minister, China is an important trading partner for the European Union and also for Belgium. When China was incorporated into the WTO in 2001, it was recognised that China was not a market economy and was subject to various anti-dumping measures. That transitional commission in China's WTO accession protocol will run until 11 December 2016. In any event, the decision whether or not to grant China an automatic market economy status must be taken in the short term. China is seeking recognition for a market economy, which can have a major impact on our country's jobs. One fears a great loss of jobs and, among other things, the flooding of our market by cheaply subsidised steel from China. Last week we saw demonstrations against this. Minister, what criteria do you consider to determine whether or not China is entitled to the market economy status? Do you think that China meets the five specific criteria of the European Union in order to be regarded as a market economy? What would the impact be on Belgian jobs, investments and our competitiveness? What is Belgium's position on this, taking into account the international legal obligations to which we are subject? What options are discussed at European level? Is there agreement between the various Member States and institutions on this? You discussed these matters during Commissioner Malmström's visit. What was the tone of that conversation? Is there any consultation with the other WTO members on this issue?
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u34	Mrs Claerhout, not only the EU criteria are important in the possible granting of market economy status to China. The commitments made in the past in the framework of the World Trade Organisation take precedence over the EU's application criteria. The EU anti-dumping regulation lays down five criteria for determining whether an exporting country is eligible for market economy status or treatment, as stated in the text. These criteria are the following: first, free market forces; second, transparent and international accounting rules; third, no distortion of competition by the public sector and state-owned enterprises; fourth, bankruptcy and property law; fifth, an independent financial sector and an ongoing exchange rate. Belgium advocates an in-depth impact analysis, both legally and socio-economicly, before taking a decision. That Commission analysis was promised to us by this summer. I have reminded you once again of the European Commissioner, Mrs Malström. As you know, anti-dumping policy is an exclusive EU competence. Member States should therefore take a final position only after a concrete Commission proposal. This proposal can be expected after or together with the Commission's analysis, i.e. by the summer. At the moment, the EU has proposed three options: firstly, the no option, where there is no award, the EU does nothing; secondly, the yes option, where there is an award, the EU says yes and nothing more than that; thirdly, the option consisting of an accompanying package in the form of a more effective trade defence policy, which would include the decision to accompany a legislative amendment with the aim of either strengthening the European defensive trade instrument erga omnes or introducing specific protection measures for the most vulnerable sectors. I am not saying that there will be a reorientation, but the Commission is working more and more towards the third option with an accompanying package. However, it is too early to say anything about this now. Given the importance of this dossier for the Belgian economy, the strategic steel sector in particular, I myself, my services and our embassies are already proactively consulting with other WTO and EU partners. I drew Commissioner Malmström's attention to the impact of the different scenarios on the steel sector and on the other sectors. We will continue to analyse the possible reactions of the European Commission. First we make an impact analysis and then we make a choice between the Commission's various concrete proposals by the summer.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u35	Thank you, Minister, for your reply. I hope that you will follow up this dossier closely in the coming months and that you will discuss it with Commissioner Malmström, especially in the steel sector.
ParlaMint-BE_2016-02-24-54-commissie-ic348x.u36	Mr President, Minister, under the previous legislature, the House adopted a resolution on the protection of the Christian community and other religious and philosophical minorities in North Africa, the Middle East and the Middle East. In this context, my group has stressed the importance of freedom of expression and has intervened to stress that it is indeed a question of combating any form of discrimination, not of highlighting one group of the population or opposing one group to another. Indeed, non-believers are also increasingly being persecuted around the world, called agnostics, humanists or atheists. Judgments of justice are ever more severe for "crimes" such as blasphemy or apostasy. Examples include the murders of bloggers and secular publishers in Bangladesh, the death sentences for apostasy in Saudi Arabia and Mauritania, and the case of the atheism war in Egypt. Nor do I speak of the "blasphemers" and "apostats" murdered by Daesh, hence the current concern. The non-believers who live in these parts of the world are under threat, and this has been completely ignored. Yet they also have the right to our indignation and protection. Minister, what information do you have about the evolution of human rights and the freedom of expression of non-believers in those countries that advocate humanism as a threat? Has the number of persecuted non-believers increased as a result of the rising violence of the Daesh group? When I ask you the question, I understand that you are going to answer in the direction of an increase. What are the views, attitudes and initiatives of Belgian and European diplomacy in relation to this situation? What clear concept of freedom of expression does our foreign policy defend? In the face of the dramatic situation in these countries whose future lies in the post-Community where a true society can politically and socially emerge and organize itself beyond the membership of a particular group, how do the various international bodies advocate this more general approach to freedom of expression, not just membership of a group or religion, vis-à-vis the different governments of these countries? Finally, what are the initiatives taken by the United Nations and the European Union in this context?
