ParlaMint-BE_2016-02-24-54-commissie-ic344x.u1	(...)
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u12	Mr President, I can ask my question as formulated, but the order of business means that it loses some of its relevance since the ministers have just provided some answers. I would like to thank them for this, but I find that, for the sake of order in our work, it would have been easier for all parliamentarians to have the figures just presented by the ministers almost simultaneously, to at least have the documents before them. I find that in terms of method of work, it would still be preferable. Ministers both work in transparency, so our work would gain in quality if we had written information at the outset. The question I was asking was indeed about the most recent estimates of the European Commission, the Commission, which was in line with the previous ones, since it confirms that Belgium is moving away from its budgetary path. For 2015, the limit was 2.5% of GDP. It has not been met since, according to European Union figures, the deficit would be 2.9%. The minister has just explained to us how she is arriving at a real deficit of 2.7% according to the FPS Finance estimate. For 2016, the limit was 2% of GDP. However, the Commission estimates that, as the policy has changed, the deficit will be 2.8%. My questions were about the elements that the Commission would not have considered in its estimates and which the government could provide in detail. I have understood here that the answer is to a methodological difference rather than to the fact that the information is not as complete in the head of the Commission as in the FPS Finance. Of which act. My second question has not yet been answered in the presentations of the two ministers. It focused on the estimation of the budgetary effort to be made in the next conclave. The Minister of Finance alluded to this by suggesting that there would be a correction to be made, but he was careful about this effort, without giving us figures, but therefore, what will be the gap to be filled in 2016? For the rest, I have other comments to make, but I suppose I will be able to do so in the discussion that follows the presentation that was made by the two ministers.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u13	Mr President, the exercise is a bit special. On the one hand, we discover, without any possible hindrance, a large series of data. On the other hand, the discussion is limited to the question of the 2015 budget. I think it's a little complicated to be limited to the 2015 budget and not to address the efforts that will be made in 2016. That is what is of interest to Members of Parliament, but above all to the population. What sacrifices will still have to be made? The Minister of Finance says that in the short term the effects are negative, but that in the long term it will be wonderful! It is a speech that deserves to be examined on the test of fact. It is indeed a trend, an ideological discourse in which one is based more on a vision than on reality. For me, this assertion is a little dubious. There is a decrease in tax revenues from what was planned. I did not properly note – but perhaps it appears in your document – the total amount of the difference from what was planned. In any case, I note that VAT revenues are lower than expected: 470 million, if I have noted correctly. The same applies to the taxation of natural persons. I still wonder how we can analyse this, beyond the elements you give on the cyclical decline or a payment of 150 million euros in court. That's not what can explain the whole thing! I ask myself the question of the effect of wage moderation on this reduction in tax revenues. When we look at the 2016 estimates of the Planning Office, it is true that our ratings are more or less the same since the latter says that purchasing power is hampered by the policy of wage moderation. This is an element that cannot be ignored: the effect of wage moderation on declining tax revenues. On the other hand, corporate tax, which had already been substantially increased in the budget, was nevertheless up less than what you have now seen from the figures you have given. Indeed, the return on corporate tax is greater than expected. When we see each other, we realize that, in the end, taxes payable by workers are less important than expected, and that corporate income taxes are higher than expected. This demonstrates the effects of your policy, which impoverishes one to enrich the other. This was already reflected in the budget, and the achievements still show this in a better way. The Budget Minister's statement stated that, contrary to what some had said, serious and reasonable efforts had been made to maintain services to citizens, but I cannot join you on that. In fact, every day I receive complaints from workers, social workers, the sick, the people who complain about the very serious consequences of your policy, in all areas of public services, justice, health, exclusion of unemployment benefits and restrictions within the various FPS. Services to citizens are not maintained at all. In this context, it can be said that your effort was serious, but not reasonable, at least not socially. The consequences are very serious. To make the link with 2016, I note that the decrease in the growth of purchasing power is well below GDP growth. Our public consumption shows anecdotal growth of + 0.1%. All of this will have a significant impact on the GDP growth estimate of 1.2 per cent; of course, public consumption growth of 0.1 per cent is nothing at all. We have a decline in public employment in both 2015 and 2016. Can you give me the numbers? The Plan Office provides figures on overall employment; it is said that there would be more than 30,000 jobs in 2016, but this decline is not reported for the public sector in particular.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u14	Mr. Chairman, my first thought was that I had the impression that the Minister of Finance was speaking as Minister of Budget. Minister, you have made the statement of tax revenues. This is one of the elements that we were expecting, but when you give a speech about the efforts to be made by your other colleagues in the various sectors (Justice, Mobility, etc.)I have the impression that this is more of a budget minister's speech and that you are not giving your colleague all the room. The disagreements we had over the analysis of the original budget remain. We have other indicators and priorities other than yours, such as increasing child poverty, employment rates, the development of renewable energies, the means for mobility. I note from your explanations that you minimize the estimates other than yours, which are provided in particular by the European Commission. The latter has this advantage that it has an outside look at the exercise and this disadvantage that it has a less fine knowledge of the numbers. Mrs Wilmès, it seems to me that the answers you give are the same as those you gave for the initial exercise, i.e. that the tax shift will produce its effects. However, the structural differential of 0.6% identified by the European Commission is the result of the questions remaining under the revenue side of the tax shift. At the end of his presentation, Mr. Van Overtveldt tells us that he is still under discussion with the European Commission with regard to the Diamant tax, which is only a small amount compared to the other additional revenue expected. He says nothing about the questions that remain about the Cayman tax, about the regularisation operation – a concertation committee had to deal with this this morning and I don't think you have succeeded – or about the taxation of capital gains. If the European Commission identifies a differential between the federal government's budgetary objectives and reality, it is because, in the revenue section within your purview, Mr Van Overtveldt, the account is not there. Indeed, you do not bring the offset revenue of the tax shift. This may lead us, as the Commission points out, to a budgetary slippage, which would justify the day after tomorrow new measures of savings which we do not consider to be positive in the light of the situation in the Federal State. Where are you, Mr Van Overtveldt, in terms of the Cayman tax, the valuation of capital gains and the Diamond tax? You must be more specific than you were at the end of the presentation. I would like to ask you three questions about the fiscal adjustment exercise you are due to hold in March. What is the amount sought in billions of euros? In terms of the distribution between new revenues and expenditure cuts, have you agreed within the government or should this exercise always take place? In view of the European discussions, does your majority question the budgetary trajectory? I will refer to a source which is not my cup of tea in economic terms, namely an OECD report, but which wonders whether an error has not been made in recommending a trajectory that reduces expenditure, prevents a reinvestment in the real economy and leads to an increase in poverty problems and a deterioration of public services – just look at the state of justice or the Régie des Bâtiments, to name but two examples among others.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u15	Mr President, we had to have a clarification meeting today, and unfortunately I must note that we are coming out with more darkness than clarity. In my view, this is due in particular to the fact that our two ministers remain very unclear on certain aspects which are fundamental and above all because they are evacuating a crucial aspect, which is to report the estimates of the 2015 and 2016 deficits with the commitments made at European level. The question is this: if the government intends to respect its trajectory as it was introduced to Europe in April 2015 under the Stability Pact and if we take into account the new estimates of deficits, there is a huge gap! You did not mention this aspect. The difference between your estimates of deficits as you present them to us and those of the European Commission and the National Bank with the commitments made at European level does not allow us to clarify the political discussion. The Budget Minister is practicing the rhetoric of evacuation. The National Bank presents estimates of budget deficits that were larger than those imagined when the budget was drawn up, but the minister tells us that the National Bank does not have all the elements. The European Commission does the same and the Minister's answer is the same. The SPF Budget therefore knows all better than everyone, better than the National Bank and the European Commission. Except that you will have to present your figures before the latter to see if you are meeting your commitments in terms of fiscal trajectory. The elements that I have at my disposal and which you may be going to contradict are that the commitment made to Europe for 2015 is less than 2%; for 2016, it is less than 1.5% and for 2017, it is less than 0.6%. If I report this with the estimates of the National Bank of February 2016, there is for the federal level alone, a difference of 0.4% for 2015 and 0.7% for 2016 which will translate into the future budgetary control by wanting to respect the trajectory. We agreed to refer only to 2015, and not 2016 because there was a dissonance between the government and the European Commission, which contradicted it a few days later. We have therefore asked to be able to go into the matter further. If I stick to 2015 alone, there would be an additional $1.63 billion in federal funding. Today, what gaps do you have to fill in order to meet your commitments to Europe? How does this translate into absolute figures? I would now like to address the issue of the rights recognized for 2015. I asked the Budget Minister about this, who informed me that she was going to provide me with a number of information, while, quite rightly, considering that the matter was more within the purview of her colleague in Finance. The latter provided us with the established fee figures for 2015, while stipulating that this remained estimates. I will not take over all the posts (VAT, professional discount, etc.).), but two particular items that are important, namely the roles of personal tax and corporate tax. We have been told that for the tax roles of natural persons, there are negative roles of minus 4.64 billion instead of minus 5 billion – I round out – which represents an improvement of 350 million. For corporate tax roles, we were told that there was an improvement of the order of $315 million, as we expected a positive $4 billion and expected $4.385 billion, while telling us that this was still an estimate because we still had to count with the months of November and December, which are, of course, enrolled in 2015, but which will not be liquidated until January-February 2016. Today, in February, I do not understand that we cannot be told what was enlisted in 2015. Today is February, we should know. I am not talking about liquidation, which will take place later, whether it is a refund or a supplement to be paid. But what we are interested in is that we can now dispose of the amounts that were recruited in 2015. I do not understand that these figures are not yet in your possession. In other words, there are two things that need to be clearly seen, what is established by a natural person or by a legal person, in this case the reimbursement for a natural person – if we look at things in a macro-budgetary way – and in the case of corporations, a supplement to be claimed. But that is something we can know right now.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u16	[[...]]
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u17	Mr. Van Biesen, after that, you'll tell us what you want. Liquidation or cash flow is something else. I think there is an information problem that is not given to us. This, in my view, prevents us from having a clear vision of the tax revenues we saw in 2015. Without this, we are not in a position to judge the worsening or improvement of the deficit. It is a real lack; we should have a credible explanation. I am not making a theory, I am not saying – but it is true that we are hearing it, we are not going to hide from it – that there could be an organized delay in the tax refunds of natural persons, in other words we would delay the enrolments to the tax of natural persons because they are negative roles, but that we would rather try to speed up the enrolments to corporate tax, because these roles are positive. I'm not gonna get into this. I just ask that we be able to have all the rights recognized in 2015. I believe that this is legitimate and will help to clarify the debate. These are my two fundamental questions. I can also join the colleagues. Mrs Wilmès, be careful, your argument is that the Commission or the National Bank do not have all the elements. To the limit, if we agree with this reasoning, then we can follow you by telling you that they may not have all the elements of the parliamentary debate in Belgium either. Some doubt, for example, the estimation of some new tax revenues. You know that we have had lengthy debates on this. Neither the Commission nor the National Bank has taken into account new tax revenues linked to new measures which are still at a standstill for various reasons. It is either time to pass bills for various and varied reasons, or there is a procedure in the Consultation Committee. I therefore draw your attention to this argument which, in essence, could worsen the situation and blacken the picture. In my view, this argument should not become determinative or recurrent in your argumentation. You are trying to scramble this whole dimension of the debate that should bring your estimates closer to the commitments you have made to Europe. Can you tell us what effort will be required to meet these commitments for 2016 and subsequent years? But I repeat, I want to be correct: the objective of today's meeting was 2015.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u18	Mr President, ladies and gentlemen, today we wanted to look at the 2015 budget and the 2015 accounts. In this respect, I believe that we have received a great deal of useful and good information today. In many cases, there had been a growing concern as to whether revenue was still in line with what was included in the budget. That was the main question, which we certainly had on the revenue side. Soon we will, of course, talk about the expenditure side. If one looks at the various items on the revenue side, it can be seen that most items show small differences. Differences of 470 million or 380 million in one direction or another are always less than 1% of what was included in the budget. In other words, variations by type of taxation represent less than 1%. One seems to compensate the other in order of magnitude. We will be able to achieve a slightly lower level of taxation. According to the document I received, the difference on the ESA basis would be 17 million. We'll see what that means later. Here is the most important question: did the Minister of Finance collect the money he had entered in the budget and on which we voted here in Parliament? Did he raise the money for the federal state, but also for the Communities and the Regions? We can clearly answer that question in a positive way today. He has succeeded in resounding the figures in the budget in the accounts. Of course, we will have to look at a number of further elements. We will have a lot of opportunities for this in the next few months. One of the important points in this report is what Mr Laaouej said a moment ago, namely the reduction in the tax burden on individuals. At first sight, it is very good that only 4.6 billion has been returned instead of 5.029 billion. That is a good sign in itself, because that would mean reducing the interest-free loan that all citizens give to the State. As you know, the Belgian citizen pays too much taxes because of an excessive deduction from the company tax. In return, the citizen receives a share of the tax withheld, also thanks to the numerous tax deductions, such as the housing bonus. We have always asked questions about the relatively high amount of 4 to 5 billion over many years. It has once again been noted that around 4.6 billion has been returned to the citizens, the private sector, of the overly withheld taxes on the wages they had received. In this respect, I think it is important to examine this evolution further. Of course, Mr Laaouej's comment is important enough to be examined. Does it mean that the return of taxpayers has been slower and less rapid and therefore has an effect on the first quarter of 2016? At that time, we will not be able to confirm the conclusion that this interest-free loan is falling. I think it is important to review this later. We will have time to do so. On the revenue side, a written text was used. In the Finance Committee, we like simple things. A table with four columns containing corporate tax for the years 2014, 2015 and 2016 would have been much easier for us to observe the evolution. Every year, we get a little better at it. On the revenue side, we are dealing with lower taxes, but revenue is in the order of what was included in the budget. For expenditure, we are still waiting for the table to follow developments. After all, it is very difficult to estimate all the changes on the expenditure side on the basis of a brief presentation. We remain a little hungry there, Madam Secretary. We would like a simple table containing the budget and the accounts of the various departments. It's not that hard.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u19	(...)
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u20	We are not asking this to compare the departments with each other, Mr Calvo. We have heard nothing in recent months but parties who praised the work of their ministers. Some pointed, for example, to the importance of safety in order to condone that they colored outside the lines. I believe that communication of this kind is of very little use to the public. In the past, the traditional New Year's Concert from Vienna was interrupted by ministerial announcements pointing out that the bill was correct. Now it takes 45 days to get a description of the figures instead of the tables. Why couldn't we get the numbers faster? If it takes so long, it feeds the opinion that something would be wrong with the revenue or expenditure side. That is ammunition for the opposition to challenge the good work of the government in terms of revenue and expenditure.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u21	The opposition within the government, you mean.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u22	No, there's no opposition in the government. In Parliament, perhaps, but there is no such thing in the government. I hope, Madam President-in-Office of the Council, that we will see the important table added to the report. Then we get a clear picture of the evolution on the expenditure side. I am remembering mainly from both statements the lower taxes, with which I cannot be unhappy as a liberal, and the lower expenditure resulting from the reorganisation of the government, with which I, as a liberal, cannot be unhappy either. Secondly, the efforts that took place in 2015 are on the path we set out. Is it 2.8 % or 2.7 % or 2.9 %? It depends on the source, but we have been confirmed that it will be 2.8 % or 2.7 %. There is still a long way to go in order to achieve a balanced budget, but the accuracy of the figures and the effort we are making with Parliament and the government means that we must be able to close the gap as quickly as possible. That will be the most difficult task for Parliament. We can say that one of the government's main objectives, in addition to the tax shift that has already been implemented, is to get the economy in order. We used to do this with a housekeeping book in which the expenses were recorded every day. Such a household book was then delivered to the people by bus. The same can be expected of us in Parliament, namely that we regularly question both ministers in order to close the gap in the budget. We will all have to make an effort, because we are not at all there yet, despite the favourable information we received today that we will still be knocking at 2.7 % or 2.8 % for the budget deficit.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u23	Mr Van Biesen, I would like to say that a Christian Democrat too can be pleased about lower taxes. However, the difference is that it is a little more concerned or unhappy when the burden is passed on to later generations, to children and grandchildren. That is what we are trying to explain with the motto of stewardship. Of course, that's not good. The key question is, of course, when we will achieve a balanced budget. When will we achieve a structural balance? It is true that saving and seeking new revenue to develop new policies call for courage. That's not easy. When I heard the Minister of Finance just now, I noticed a certain resentment and doubt about the agreements made. He said that thanks to the tax shift or a flare-up of the labour market, a windfall can't be an alibi for not doing things. That's kind of cryptic, but a good understandor can understand that certain people are endorsed. I think a cat should be called a cat. It is important to say which agreements are not likely to be honoured, but they must nevertheless contribute to the deficit reduction. One may wonder who is awake from the shortage. When I heard colleagues from the Minister's party very recently, there was almost a budget fetish. We cannot therefore defend a change of course. I think it is important that we collectively do the best we can to put our house in order as quickly as possible. It could be said that with the low interest charges there are a few opportunities to invest. We also tell the consumer to be careful, because borrowing also costs money. The same applies to the government. If the economic climate suddenly changes, so that interest rates rise, it could, of course, result in an extra large hangover if we do not act with the greatest caution. We also need to see what's actually going to be in the drawer. It is good to ask about the concrete measures that have been agreed. We discussed the tax shift and the budget in great detail. Quite specifically, we are talking, for example, about the redesign, the revenue of which is very high, or about the real estate vehicles that would produce a lot. The question is whether they will not cost money and increase the problem. We do not need to go into all these matters in concrete terms, but if you say that everyone has to do their homework, Minister, I would have liked to know what homework has been agreed. What is to be done against when? Minister, you have been able to sum up a lot of positive results, but we cannot be blind to the nominal deficit in the federal government of about 10 billion compared to the 11.6 billion for the joint government in 2015. With the sixth state reform, of course, the budgetary focus has shifted a lot. This is not yet apparent from the spread of deficits, as this roll-out will gradually follow. Surely that is a great concern, which is collective. That is not a reproach to one minister or another. I call for collective action. After all, it makes no sense for a minister to suggest that his or her pockets have been sewn up to make structural efforts. We all have to keep the agreements with the European Commission. We are already deviating from the mid-term objectives. In doing so, we must take into account all the expectations, otherwise I fear that it will not work.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u24	When I hear both ministers speaking, I get the impression that there is not much going on. I hear Mr Van Biesen explaining that it is all about details. Apparently, everything's fine. However, the figures speak for themselves. According to both the European Commission and the National Bank, the government's objective is not met. The stability programme and the arrangements with Europe provide for a nominal balance of -2% for this year. According to the National Bank, the year 2015 is down to -2,8%. Is it intended to keep the ‐2 % next year? Will you adjust the timetable agreed with Europe in budgetary control? I would have liked you to clarify that. What amazes me most is the ease with which some of the majority look at this. I hear you saying that it could certainly be a little more, Minister. The year 2015 is the first year that the Michel government is fully responsible for the budget figures. I cannot imagine that the previous government, which was made up exclusively of socialists, is again to blame for this. In any case, in the first year that you are fully responsible for the figures and results, that result is rejected at European level and by the National Bank. The National Bank is very clear about this. I've had another look at the report in the printed version. You say that you do not agree with the chairman of the committee and with a number of committee members that the government is doing less, but I quote the report of the National Bank, on page 162. However, the structural budget balance has hardly changed compared to 2013. Together, in 2012 and 2013, the joint government continued to see a structural improvement of 1.3 % of GDP." And then: "The necessary further reorganisation of public finances has since come to a virtual standstill." That's the conclusion of the National Bank. That is not what the opposition means; that is not what the chairman of our committee means, which you do not agree with; that is what the National Bank says about it. At the same time, we see that economic growth in our country is lagging behind. Under the Di Rupo government it grew faster than in Europe, today it is lagging behind. Finland and Greece are doing even worse, but we are lagging behind in the European peloton in terms of economic growth. You didn't say a word about that to either of you. The European Commission refers to the net disposable income of the Belgians and to the additional invoices that have been issued not only at federal level but also at regional level, in Flanders in particular. There is an increase in indirect taxes. According to the European Commission, and not according to the opposition alone, this has the result that domestic consumption is lagging behind. The fact that domestic consumption is lagging behind explains a great deal of the problem we are facing today. In short, we have to worry about the fact that Belgium cannot keep its agreements with Europe and has not complied with them. We have to worry about the fact that in our country economic growth is lagging behind, mostly in two countries. I am disappointed that the government's message is that it may be a little more and that that is the end of the matter. I think the government should be very concerned. I have, of course, read our committee chairman's column. He doesn't write to get the press, I think, he writes from a concern that we share. He is not only concerned about 2015, which we are talking about today, but also about 2016. These concerns are justified and have already led to opposition work in recent months. Mr President-in-Office of the Council, we have serious doubts about revenue. Many of the measures you have proposed are still pending today. However, this is not the case in the budget. You have, for example, tried to regulate tax regularisation with an expected revenue of 250 million without legislation. The Council of State then flagged you back and there will be a law now, but you still have no agreement with the Regions. We have questioned you on several occasions. After all, it's about a lot of money. We have heard you defend your plan against tax fraud. There was a lot of criticism from the majority, because many of these measures had not been discussed with fellow ministers responsible for this issue. As far as the plan against tax fraud is concerned, I have not yet seen any concrete action on the subject. The caiman tax would have to raise a lot of money. Do you have any idea of the actual returns, now that certain figures are coming in? The diamond tax has been approved by the European Commission for almost three-quarters of a year, which meant that you had to cut budgeted income last year. About the real estate vehicle, worth 250 million this year, I haven't seen a proposal in the Chamber yet. You enter all this revenue in your budget, for which you are responsible, but not only the opposition, but also some of the majority, Europe and the Regions, are questioning it very much. Obstacles are popping up everywhere, which you apparently didn't foresee. In the context of tax regularisation, you have just said that this is the result of the Finance Act. That finance bill existed when you took the oath as a minister. So you knew that law. You should not complain afterwards that it is a problem. You should've guessed that in advance. I fully agree with you when you say that 2016 is a year of challenges. In fact, 2015, the first year of the Michael administration, has certainly not brought about the change your party promised N-VA, quite the contrary. We are getting worse economically. The agreements with Europe are not being complied with. That's a big problem. We look forward to 2016, but we fear the worst.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u25	Mr President, ladies and gentlemen, in relation to the timing of the explanatory statement, unlike Mr Van Biesen, I am trying to do something other than listen to the New Year's concert on 1 January. It's usually a day when I'm just trying to sleep it off. I'm Party Chairman in Mechelen, possibly your future living and workshop, Mr. Van Overtveldt. As far as I am concerned, the figures do not need to be communicated on 1 January, which can be done for me on 2 January. I also share Mr Van Biesen's analysis of the lack of clarity about this. In my opinion, but I have less seniority in this committee than Mr Van Biesen, this ambiguity lasts longer than usual, and that still perpetuates a climate of uncertainty, of questions, even with a constructive opposition, which of course does not want to abuse it. Mr Van Biesen, you seemed to suggest the latter, quite wrong, of course. The uncertainty and questions are fed by the European Commission and the National Bank. In this sense, it is a good thing that we are discussing 2015 today. I would also like to join with the question to the Minister for the Budget in order to have a slightly clearer view on the expenditure side for 2015. If that can happen quickly, then it should no longer give rise to uncertainty and polemics. Madam President-in-Office of the Council, perhaps this is a little too short, but you seem to blame the European Commission for almost a lack of knowledge and information. On the other hand, of course, it is an external view which deserves appreciation. You say the difference is due to different information. Well, then we must try to eliminate that difference and ensure that the European Commission has information for its assessments, which it does not have today. So I would like to ask you if you have any plans to work things out, to eliminate the differences, to get the discussion out of the way. So much for my comments on 2015. Mr Van Overtveldt, I do not think you can blame the committee for the fact that we are talking about 2016. Sometimes I had the impression that there was a party chairman speaking, rather than a finance minister. I know that this vacancy in your party will soon be opened up and that there is already some nervousness in this regard. It is best never to settle such a vote in advance, because then it will go wrong once in a while. In fact, I was wondering why the Minister of Finance was not simply asked as treasurer of a party. That would make much more sense. Your explanation sounded very strong as a piece of party propaganda: the power of change and done with the PS era. We hear these songs all the time. Minister, I must say that there is absolutely no reason for euphoria. Among other things, the disappointing growth prospects and budgetary results should, in my opinion, require a little more restraint and modesty. The disappointing budgetary results are particularly annoying, because, of course, a great deal of effort has already been demanded from the citizens of our country. When one sees what effort still needs to be made, invoices will be rewritten to ordinary people or people who have to live on benefits. I am very concerned about that. On the budgetary path, you say that a budget in balance is and remains the government's objective. In terms of timing, you also use the timing set when the government took office. Or can we look at it with an open eye? I would also like to refer to the paragraph on the agreements made, ladies and gentlemen. I should like to read what you have said: 'Of course, it is also necessary to check whether everyone within the government is complying with their commitments.' Decreasing expenditure on a department due to an improved labour market or positive effects of the tax shift is no excuse not to honour agreements made. First of all, you are going there on the premises of Mr Wilmès. For me, it doesn't matter where Mrs Wilmès is in the room. I think that's a good place. However, the division of labour must be respected. You are making a very clear point here in the area of the Minister for the Budget. So, Mrs Wilmès, I have no choice but to ask whether you agree with Mr Van Overtveld's suggestion, in particular that a number of ministers on expenditure do not comply with the commitments. If the Minister of Finance makes statements about your boutique, I think it is logical that we should ask you about your opinion on this matter. Mr Van Overtveldt, if you make such a suggestion, you must confess to colour. If you say "a," say "b." You are actually saying here, Mr Deseyn, that there are ministers in the government who do not honour the agreements. Which one? You will now try to deny that you are making that suggestion. Let me read it again: "Department expenditure in the form of improved labour market or positive effects of the tax shift is no excuse not to honour the commitments made." What agreements are then not being complied with at the moment? I believe that this is a very logical question. I would like to invite you to take care of your own shop before you want to be a Minister for the Budget and before you want to raise a conscience for fellow Members. If today people are worried about the figures for 2016, it is because a lot of things planned on the revenue side are more than at stake. In fact, I find it strange that a minister who does not get his tax regularisation done, who has not yet completed his homework on the real estate vehicles, who is still talking to the European Commission about the diamond tax and who does not complete his homework on the caiman tax, has the ambition to be a Minister for the Budget and to be a conscience in the area of expenditure. Isn't being government treasurer enough for Johan Van Overtveldt? Is Minister of Finance not enough work for Johan Van Overtveldt? I think there's still enough work left to let you in. Mr Van Overtveldt, I would like to invite you to do, above all, on the revenue side, what has been announced. We have to see that there are still a lot of questions about this at the moment. Finally, Mr President, I would like to address you. Mr Van Biesen has suggested that this should be systematically followed up in committee. I think this is interesting and I would certainly like to support that question. Since the Minister of Finance has made a number of important political statements, I should like to hear the views of the Minister for the Budget. The Minister of Finance must also give clear wine on this, because I cannot make peace with just a suggestion. The suggestion is too strong for that.
ParlaMint-BE_2016-02-24-54-commissie-ic344x.u26	I was a little surprised by Mr Deseyn's speech, which stated at some point that we should save and therefore seek new income. Personally, I have a different definition of saving than looking for new income. That is, of course, what we have seen in the past legislature. Then some of them knocked on their chests saying that they had saved a lot. In reality, and I would refer again to the annual report of the National Bank, which has been mentioned here several times, the saving under the previous legislature meant an increase in primary expenditure of 1.2 % of GDP. Apparently, those were Di Rupo's savings. In order to finance this and still try to make the balance a little bit healthier, we must, of course, increase revenue. This also happened under Di Rupo: 1.7 % of additional taxes. Of course, that sounds crazy to the ordinary people, but count on it: 1.7 % of GDP for an average family amounts to EUR 2 500 extra taxes, every year. That's an extra 2 500 euros per family per year. Those were the so-called savings under Di Rupo. Compared to the extra expenditure of 1.2 % and the additional taxes of 1.7 % of GDP of that time, this year alone, we have a decrease in expenditure of 0.7 %. That's the big difference that's being made. That really is the power of change. Under Di Rupo, even with the massive tax tsunami of 1.7 %, Belgium ended up on the European criminal bench. We were with the worst students in the class. Today we finally see a big difference. Today's spending isn't rising anymore, it's falling. Taxes are also falling. I believe that we can only be satisfied with that. I am glad, Mr Van Biesen, that you like that, too. We can be satisfied with this together. That is, of course, a healthy way of working. This is a reduction in the burden, which creates jobs, this time in the private sector, and not so much in the subsidised sector, as last time. When people create jobs in the private sector, jobs that generate money, instead of jobs that cost money, they make the foundations of the state healthier. That is a lot better for the future of our children, which is also entirely in line with the stewardship that is being confessed here. I certainly share that view. Minister, we have a European objective, not only a balance in 2018, but also a long-term structural surplus of 0.75 percent. That structural surplus is necessary because, in proportion to the rest of Europe, but also simply tout court, au fond, we still have very high public debt. That high level of public debt is a big risk. We therefore need a structural surplus of 0.75 percent to control public debt and control the increased ageing costs that are coming towards us. In the meantime, the reforms we have carried out over the past year have allowed us to halve the cost of ageing. The increase in expenditure that could be expected has now been halved. In doing so, we are already making our state treasury a lot healthier. Hence the question of its impact on the 0.75 % target. Can we expect a change in this? What's the deal with that, exactly?
