ParlaMint-BE_2016-09-20-54-commissie-ic488x.u1	The Minister wishes to speak briefly before the questions.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u12	Mr President, ladies and gentlemen, Minister, over the last few days there has been a lot in the press about the remuneration that the owners of Tihange I would have to pay. The press releases are sometimes a bit confusing, because a lot of assumptions are made. In April, the owners would have paid 7.2 million euros, and according to the CREG this would be an understatement, according to its calculations it would be a few millions too little. The CREG would have informed you of this on 30 June. Although this is a confidential document, it seems that this date was known by some fellow Members. An expert should have been appointed by September 15th, and you wouldn't have. So it's a lot of assumptions and when I read all that, I frowned the eyebrows several times. For this reason, I think it is appropriate to have a topical debate on this matter today. Hopefully we will have all the answers in all transparency so that we can judge all kinds of assumptions. I shall now turn to my specific questions, and I will certainly repeat a number of questions that have already been asked by some of my fellow Members. Madam Minister, my first question concerns the fact that the CREG would have let you know that the amount paid is too little. When exactly was that reported to you? How did the CREG report that to you? How did you react to that? What steps did you take as soon as you got that document? Can you also tell us exactly what amount is to be paid according to the CREG? Can you clarify that? On the subject of the expert, Mr Nollet has tabled Article 8.3. The convention states that according to that article an expert should have been effectively appointed before 15 September. The big question is whether or not that has happened? Madam Secretary, what steps have you taken to identify this expert? I assume that a procedure precedes the designation of an expert and that selection is also an important aspect. Can you explain how the selection took place or will take place? What is the specific assignment of the expert? A question that concerns us all is what will happen if the expert is not appointed before 15 September. Is that an effective problem? To what extent is that date an explicit condition? If it turns out that too little has been paid and that the expert has been appointed too late, what means do you, as Minister, still have to recover the underpaid money? What other means could you possibly use to put that right? That money was earmarked for two not insignificant funds. Suppose we can't recover that money, what impact does this have on those two funds? What are the consequences of this? There's a lot of fuss now. Questions are asked about the exact amount to be paid. How can we ensure that this does not happen every year? How can we learn lessons from this? Madam Minister, as you can see, there are many questions, both from me and from my fellow Members. I really hope that we will be clear today and that you will give all the information in all transparency. It would be good if you would also give us a timeline of all the steps you have taken so that we can judge whether the assumptions made are correct or not. I hope that we can clarify this today.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u13	Mr President, Minister, ladies and gentlemen, unfortunately the political year is already beginning to be very similar to the previous one. Madam Minister, you can see with us that the questions that are being asked today are far from just questions from the opposition. In the summer interviews, you paid particular attention to the opposition. I hope that you will see the matter more clearly today and note that, not only in the case of the dark green opposition, there is a broader discontent or concern about your functioning. I hope that the above will be understood and not set the trend for the next political year. After all, I would prefer to talk here in committee about the energy pact, about solutions and about security of supply rather than just another Marghem episode. Madam mistress, if you fail to act correctly, if we risk losing millions of euros by your actions, is that unwillingness or incompetence? Is that to please the operator or because of an administrative failure? I wonder what the worst thing would be: unwillingness or incompetence. I haven't quite figured it out yet. In fact, I will confine myself to the four main questions which are in line with those of the other Members. Firstly, what information did you receive from the CREG? How did you react to that? Secondly, there seems to be a new category of experts in our country, especially experts who did not have to be appointed before and after. So I don't understand your communication about the appointment of the expert. First he didn't have to be assigned and then he had to be re-appointed. Can you clarify that? Who's been assigned? How was he or she appointed? Thirdly, I am quite concerned when I read that you are talking about clarifications in the convention. Mr Wollants rightly raises the question of whether the appointment of the expert takes place within or outside the Convention. Madam Minister, I have a faint suspicion that, in order to remedy your failure to appoint the expert, you have made new concessions to the operator in a sort of annex to the convention. For the future nuclear contributions, this could, for example, undermine the role of our regulator throughout the process. I couldn't accept that. You know our criticism of this convention: it is secret and unbalanced. If it becomes clear once again that the role of the CREG is being undermined in this whole procedure, then we really have a problem. If the limited guarantee in the convention for all of us, Parliament, the taxpayer and the consumer, is taken down again, then we really have a problem. Finally, you will clarify the amounts and the millions that may be lost. I agree with Mr Dierick's question: if we have missed something, how will we recover it? I confine myself to those four questions and a call for an operation Openness: everything on the table. Mr Nollet has rightly said that we can also ask the CREG. That question has already been asked by our group, by Mr Nollet, but I think you should put everything you have on the table about the whole affair, about the whole episode. You are best able to clarify every letter you have sent and every action your cabinet has taken or has not taken from the first parliamentary question. In this way, you would do a little bit different than in the past political year. That's our call.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u14	Mr President, Madam Minister, the press indicated on Friday that the CREG would have noted in a report that the amount of €7.2 million of royalty paid by the operators for Tihange 1 was below what the state could claim. She also noted that you had a deadline of 15 September to challenge the amount paid by appointing an independent expert, which would now be exceeded. You subsequently corrected a number of elements, Madam Minister. First, by stating that at this stage, the CREG, in its confidential report, does not give the amount to which it results but analyses the different parameters and leads to different assumptions. In addition, you pointed out that an agreement had been reached with the operators to appoint an independent expert to finalize the amount to be paid for 2015. Minister, energy is an important topic for our businesses, for our citizens, for our security of supply and for the necessary energy transition. It is therefore appropriate to stick to the facts. All this obviously has nothing to do with the gesture of the last few days, which aims to conceal an implacable observation: the failure of the negotiation of the Tihange 1 royalty negotiated by the PS-cdH tandem, Di Rupo-Wathelet. Mr Wathelet promised us a return of 125 million euros a year at the time. We're a long way from it. And it's not Mr. de Lamotte's latest calculations that can adjust that. By being very optimistic, Mr de Lamotte reached a figure of 40 million. In fact, the current figure is 7 million. If you multiply this number by four, we do not reach 40 but 28. At the market level, we are in a downward trend in the price of electricity. Another element: this figure is calculated for the last quarter. It is well known that electricity consumption is higher in the last quarter and first quarter than in the second and third quarters. Minister, my questions are as follows. If I understand you correctly, in its report, the CREG does not give you a single additional amount that was to be claimed from the operators. Should it be inferred that different amounts could be obtained according to the parameters taken into account? Can you confirm the facts mentioned this weekend regarding the negotiations to determine the amount of the fee for Tihange 1 during 2015, specifically on the appointment of an expert? Do you confirm that nothing prevents the appointment of an expert once the date of September 15th has passed? Can we say today that several million euros have escaped the state? Can you explain how, of the 125 million mentioned at the time by your predecessor, we are now reaching a much lower amount paid to the State?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u15	Mr President, I was a little late in submitting my question, for which I apologise. Like many other Members of this House, I would like to see clarity today. A lot has been published in the press about the nuclear interest rate for Tihange 1. A number of versions are circulating. All my fellow Members are actually looking forward to the Minister's answer for clarity. In fact, it is about two major issues. One, the CREG report appears to have arrived at you, Madam Secretary. I understand from the various questions and through other channels that it was not possible for the CREG to calculate the exact nuclear interest rate. Therefore, the parameters of the Convention on Tihange 1 referred to are not sufficient to calculate the exact rate of interest. There appears to be a fork, which is the subject of discussion. Is that right? Is that what the CREG told you? After all, other Members of this House are asking you to amend the convention, but I did not understand it in this way. I thought that the convention itself is what it is, but that a parameter is unclear or no longer applicable and that it requires clarification or an expert. It is therefore very important to have clarity on this point. Is it the convention that needs to be adapted or is it a parameter that needs to be clarified in accordance with the convention? You will have to clarify that, Madam Secretary. That's the first part of my question. There is also the question of timing. It is best communicated as transparently as possible. I will not question you about your holiday or what you have done all summer, but it is just interesting for my fellow Members to know exactly what happened after the report came in. There is indeed the deadline of 15 September, which is stated in Article 8.3b of the Convention. Like you, I'm a lawyer. That does not seem to me to be a deadline. It's a term that's been described. If one does not get out and there is no agreement, one must appoint an expert. In itself, it does not seem to me that we will miss out on the resources. I sincerely hope so, but the question is whether it is. Is that how you see it? Will we actually be able to recover the right amount from the operator? The question is also what exactly happened on 15 September and just after 15 September? Is there an expert yet? If there is no expert yet, is there an agreement on how the expert will be appointed? What procedure will be used for this? It's about a complex calculation, so it's also very important to know what kind of expert you're aiming for? We must make sure that the appointed expert does not appear to be suspicious by any link with the operator. How will that be avoided? How can you ensure that the expert can work objectively? Can you reassure us that the expert can carry out his work quietly and that there will be transparency about the outcome?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u16	Ladies and gentlemen, I think everyone has been able to speak. There are many concrete, overlapping issues, Madam Minister. I think colleagues are waiting for specific answers. A term that has returned in both languages is "transparency". Several Members asked for transparency in this area, and I agree with that. I look forward to your answer, Madam Secretary.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u17	Mr President, ladies and gentlemen, I thank you for your questions and for this topical debate in which I will try, as far as possible, on the basis of the elements in my possession, to be as transparent as possible. First of all, we are starting from an extension of the Tihange 1 plant which is organized by the law of December 2013. The convention we are talking about was allowed by the law amending the law of 31 January 2003 to allow the extension of Tihange 1. What does amended article 4/1 of this law say? He said: "The owners of the Tihange 1 nuclear power plant shall pay to the State, each in proportion to its undivided share and without solidarity between them, an annual fee, calculated in accordance with paragraph 2, in return for the extension of the duration of operation of the plant until 30 September 2025. The plant will have reached its fiftieth anniversary on October 1, 2025. Paragraph 2: "The annual fee referred to in paragraph 1 shall be established for the period from 1 October to 31 December 2015" – the one we are talking about now – "and for each calendar year from 2016 to 2024 and for the period from 1 January to 30 September 2025." This will then be the last fee. "It is due on April 15 of each year following the period for which it is established." A little later in the law, paragraph 3, refers to the mission of CREG: "Without prejudice to the tasks entrusted to it by the Act of 29 April 1999 on the organization of the electricity market, the Electricity and Gas Regulatory Commission is entrusted with a special task of verifying revenues and charges, referred to in paragraph 2. The owners of the Tihange 1 nuclear power plant shall provide the Commission with all the data it requires for the purposes of this verification." I will also read paragraph 5. "The State may enter into an agreement with the owners of the plant with a view to: (1) specify how each of the components of the fee referred to in paragraph 1 is to be calculated, whether there are any negative differences on the income of subsequent periods" - this is the backpack effect to which I shall refer for the following years - "and the verification of the income and expenses related to the operation of the plant; (...)." Historically, as has been recalled by Mr Nollet and Mr Calvo, there is a strong demand – I have repeated it again to the EDF operator, who is not yet in agreement to publish its entirety – for this agreement to be fully available to the public, as we have done in the context of the extension of Doel 1 and Doel 2 with the agreement signed between the State and the operator on 30 November 2015. At the end of a debate that took place a few months ago, you sent the text of this convention to the media, or at any rate the text of this convention and the annexes have, for the time being, been shown in the media, on the RTBF website, in the confidential framework which governs the whole convention. I myself, at your request to Parliament in plenary session, have questioned the operators who obviously hold the decision they took when signing this agreement between the parties, namely that it remains confidential, and who alone can lift this confidentiality. They all answered. The Belgian State agreed; Electrabel agreed but EDF disagreed. And it is precisely in these annexes that the parameters that are, I would say, "studyed", as the law wants, are found by the CREG. You must know – I will then immediately give you a time line – that the CREG, on the basis of the information transmitted to it by Electrabel and EDF, proposed in its report several revenue and cost options that must be combined. This can lead to a total of several different amounts in favour of the State. So there is no fixed amount that allows me to write a letter to the farmers, saying, "You owe me so much more". It is the combination of these factors – to my knowledge, there are five – that can give several different assumptions. How did the time line go? First of all, as you know and as the law requires, on 15 April 2016, Electrabel and EDF paid the State €7.2 million in a specific account that is linked to the creation of the funds provided by the law. Electrabel paid on 15 April and EDF paid on 22 April. Subsequently, CREG sent its report (...)
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u18	[[...]]
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u19	EDF paid on 22 April. It's factual. I'll give you the line of factual time. So, the report dated 22 June 2016 and sent on 29 June 2016, as you said very accurately, happened to me in the cabinet, in Dutch, then in French, which is not a problem, but I say it anyway. And on July 19, there was a meeting between my firm and CREG to discuss this report and ask additional questions. Additional questions were therefore asked and answered by CREG on 11 August. When we read these answers, we found what I just said, and some of you noted, that different parameters led to different assumptions depending on their combination, and two of them were no longer published. All the concrete elements of the formula for fixing the full amount of the fee for a fiscal period, from October 1, 2015 to December 31, 2015, payable in 2016, are not, at the time I speak to you, fixed permanently. So, what did I do? We questioned each other. There is no amount on which to fix a dispute. "You paid $7.2 million and I see in a report that I could claim you $0 million, or $3 million more." 3 million being the 70% of 4.2 million. It was the two numbers that circulated. The different assumptions vary between 0 and 3 million. I sent the CREG report to the operators to ask them to react. They challenged the calculation parameters.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u20	[[...]]
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u21	I sent it on 13 September, as has been said. I want to be absolutely clear with you. And on Friday, September 16th, I received an answer from both Electrobel and EDF for the appointment of an expert, which is the application of the convention. To all the questions that are related, relevant, to whether or not we are within the scope of the convention, the answer is yes, because the deadline of 15 September is not a strict deadline. As you have noted, this deadline is not provided for in the law. It is planned between parties. The parties are of the view that an independent external third party must address this issue definitively, not only for the period from October 1 to December 31, 2015, but also for subsequent periods; I will return to that. We have therefore begun to develop, for the time being not necessarily in writing, guidelines for the appointment of an expert whose independence must be considered with the utmost attention. Indeed, this expert is not appointed. Frankly, I don't think I said he was. I have said that we want to act within the framework of the convention and do what it provides for, since the parties agree, that is to say appoint an expert. If the parties had not agreed, then, as provided for in Article 8, it would have been the president of the Institute of Business Reviewers who should have appointed an expert who would have worked (...) If, if the sentence reads as follows: "The parties shall appoint an independent expert who shall dispose of the disputed calculation elements for 15 September of the same year. In the absence of agreement between them, the President of the Institute of Enterprise Reviewers shall appoint an independent expert who shall dispose of the contested calculation elements."
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u22	[[...]]
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u23	No! In the absence of agreement between the parties, he is the president of the institute!
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u24	[[...]]
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u25	Wait! If the parties agree, they shall appoint an expert. And since this deadline is not a strict deadline, they can do it, and that's what they do. Therefore, the parties are willing to appoint an expert who will decide the elements contained in the CREG report and who will lead to these different assumptions depending on the combination of different parameters. What does CREG say in its report, which is confidential, as has been pointed out by either party? The confidentiality of this agreement is the issue that I raised first. First, CREG indicated that it had received the calculation leading to the amount of 7.2 million in favour of the State. The CREG, in accordance with its statutory mandate, analysed the revenues and costs reported by the operators. It calculated different options for these revenues and costs. It has not set an exact amount in favour of the State beyond the $7.2 million paid by the operators. It says that the 2015 margin is not a reference amount for the future, i.e. it cannot be multiplied by four - since it is a quarter - for the future, the margin of 7.2 million which is undisputed to date with a possible supplement to be fixed by an expert and which will give the final figure for 2015. The CREG says that this is not a basis on which to calculate what would be the State in subsequent years. As you know, in subsequent years, you will have a mechanism that will impact on the margin which, in addition, is affected by a return on investment in favour of shareholders. It is only after these two deductions that 70% must return to the State funds. That is, very often, the state of affairs today. In order to answer questions about how to appoint this expert. In any event, the convention provides for the appointment of an expert if the parties agree which could lead us to do the same thing every year, but which we do not wish to do. The identity of the expert must be sought in one of the major consulting firms and avoid conflicts of interest as much as possible. In the spirit of the Convention, the expert decides on the disputed elements of calculation which are included in the report of the CREG. There are therefore two elements associated with the determination of the product of the belly and three elements associated with the operating expenses. The expert will receive the report from CREG, the elements that were provided by Electrabel and EDF, the letters that I sent to EDF and Electrabel and the convention of 12 March 2014 (especially in its annexes) that you know. All of this must be treated in a confidential manner under the terms of the Convention. I would like to make a parenthesis on this by saying that I continue to ask for access, as soon as possible, to elements of this convention, as we have done for Doel 1 and for Doel 2. In doing this work, the expert will clarify the parameters since he will have to make a decision to operationalize the elements of this convention which are subject to challenge or, in two cases, which are no longer published, which no longer exist. This is in order to avoid this happening every year and therefore give the elements that will allow, next year and following years, not to have to use an independent expert each time, which must be paid for. But that's the way the convention is built. Whether the parties agree or disagree, it will have to be paid anyway. Who will have to pay for it? The three parties to the agreement, by third parties. I continue to ask that the whole be planned. My intention is still to ask EDF that, when the expert's mission is complete, that he has acted independently and that he has given the decisive figure for the 2015 fee to be collected before 31 December 2016 and the clarification elements for the subsequent years, all the documents are known. In this way, we can see how this convention has worked and how it is built, leading to what must legitimately come back to the State as part of the counterpart to the extension of Tihange 1. Did millions go away and the state lose money? The answer is no. The three parties to the Convention have the firm intention of ensuring that the amount is determined and paid in the State funds, as provided for in the provisions of that Convention, as fair as possible. In subsequent years, will we have the same problem? The will is that, I repeat, no, since the expert will be responsible for clarifying, clarifying and doing what is decisively necessary for the convention to apply itself, with – I absolutely want to reassure – the verification of the CREG. It is clear that CREG, an independent body, will continue, as the law that I read to you at the beginning of my speech, to verify costs, revenues and expenses. Will we get as much as we planned? I say this calmly and quietly: no, unfortunately, because the projections that had been made by the negotiators at the time were based on electricity prices that were higher than those we know for now and still for a certain period of time. Moreover, as the CREG says, we cannot rely on the 2015 margin or plan it mechanically over time with a rule of three, since we will have to take into account the impact of the loads, and that they constitute a backpack that will refer from exercise to exercise. It will have an effect on the margin which, after return on investments in favour of shareholders, the State can collect 70 %. That is a fact and, as I have always said, that is why we have decided to do otherwise in the context of the extension of Doel 1 and 2, and to provide for a lump sum, which we are sure will fall into the State's coffers every 10 years, in order to be able to feed a fund dedicated to policies other than that of Tihange 1. This makes it possible to have an interesting energy fund panel, and to have the resources to spend on the energy transition. In fact, storage and new renewable energy production are covered by the Doel 1 and Doel 2 energy funds. We will be able to spend this money for the sake of these energy policies. That is how the situation is happening at present, and how we have ensured that, in a balance, which is that of the Convention, we can determine, certainly and precisely, before the end of this financial year, what is due, precisely and up to the last cent, in the context of the extension of Tihange 1. That is the spirit of this convention. But we have also taken steps to correct the problems for the years to come so that, every year, I can come before you and say: "There, the farmers have paid the same amount under the Convention. That's the same amount of money that comes back in the state coffers." Thank you for your attention.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u26	Thank you very much for your answers, Minister. I will turn to the speakers and point out that we are starting the replies, which are given different times than the questions. I will therefore ask everyone to react synthetically in no more than two or three minutes, as there are nine speakers left. In addition, we have been discussing this issue for almost an hour and a half.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u27	Minister, not only are you not answering the question that everyone is asking and that everyone has asked you – why wait until September 13 to respond? - but in addition, you do not give any chronology, except by mentioning the meeting of July 19, which clearly shows that something happened and that you understood that the CREG did not validate the amount that was paid on April 15 or 19 by Electrabel and EDF. In addition, you received a letter on 11 August. All these events do not remind you of the deadline of 15 September. However, this date does not constitute a reminder of an obligation of means or, from a legal point of view, of a "time of rigour", to use your terms. This is in fact a point of support for the negotiation, which is necessary in this case for Electrabel and EDF. You came out of the agreement and gave up that power to automatically impose on both companies what the independent expert was going to judge. You have given them the right to say "no" and to negotiate other things in parallel. They are not philanthropists... Of course, in view of other issues, this amount may not appear to be the most important. Maybe they'd even better be nice to you. But in doing so, you went out of agreement and, therefore, outlawed. Indeed, the law says that the convention applies. The latter is very clear: on 15 September, the expert must have decided. And, by September 30, they must have paid the amounts. That's the convention! Madam Minister, I hope you will take the floor again to tell us exactly why you waited until 13 September. You haven't answered yet. Even though your argument would still stand, why wait until September 13 to react? This is incomprehensible and unexplained at this stage. Moreover, your argument does not stand the way. It could only hold the road if you had an agreement with them before September 15 saying, "Okay, we can change that." In this case, when the agreement is reached, we are beyond 15 September. By being beyond 15 September, the convention no longer holds and Electrabel and EDF are in a position of strength. That's not right! And we still don't know what triggers this September 13th letter. I therefore ask you, Madam Minister, to take the floor again. As for your different explanation between the 16th and the 17th, between your firm's first reaction and the second on RTL on Saturday, we still don't know what happened either. You don't say a word about it when it's fundamental. Why are you making a 180° shift? Not a word of explanation on this part. We learn, on the other hand, that the expert is still not appointed. As you realize that there is an emergency, how is it that it is still not designated? I would remind you that it must be for the 15th and that the money must be there for the 30th of September.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u28	Mr Nollet, may I ask you to conclude?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u29	Yeah, yeah, soon.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u30	Now.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u31	Minister, I have challenged you to publish the letters exchanged with Electrabel. I ask and reiterate the need for all transparency. You're saying that, as far as the convention is concerned, we don't have EDF's agreement yet, we know that. I am not asking you today to publish the convention. I ask you today to apply transparency to the rest, where you have the power to do so. What I have asked you very clearly is to publish the letter of 13 September to Electrabel and the terms of the agreement with Electrabel, namely the two famous letters you are talking about on television, the 11 August letter which you are learning about today and which is the answer of the CREG to your request. Madam Minister, I ask you to take the floor again and tell us that you will pass on these documents, these elements. Same for any notes from your administration or firm. How is it, with all these people around you, that you waited for September 13th? Neither a word about the inter-cabinet meeting that took place yesterday and the conclusions that emerge from it! Have the colleagues who asked many questions received the answers they wanted in inter-cabinets or via their party? Minister, do you now agree to forward to the President the documents that I have asked you to apply full transparency on this issue, because you have not answered the most important questions?
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u32	Minister, would you like to speak again now? [[No]]
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u33	Mr President, Madam Minister, one thing is certain: the CREG has complied with the law in everything, including deadlines. As usual, in all its files, the regulator plays its part. The problem is that the case comes to a cabinet and to the minister, who does not respond. Indeed, Madam Minister, knowing the tight deadlines of this agreement - three months to react effectively between the analysis of the CREG if there is a question about the amount paid - you take three weeks to meet with the CREG. If you only have three months, it's a long time! Then you ask questions. There is a response from CREG on August 11. I am asking not only for the report but also for the answer that the CREG has given to you in relation to your office. And then nothing! Of course, it's the holidays, but I imagine you have a daycare service unless all of your employees and yourself were on vacation and didn't get to know your emails. Then it is necessary to wait until 13 September, more than a month, before sending a letter to the operators. In doing so, Madam Minister, you are totally out of agreement. Therefore, there is negligence and fault on your part, because you completely weaken the position of the state in relation to the negotiations, as usual, Mr President! We will remember the nine months of negotiations between Doel 1 and Doel 2, after which the Prime Minister had to take them back in order to be able to reach the signing of a convention, thus demonstrating a total weakness of the State. We are used to it with these operators who feel very strong thanks to this government. Minister, you're talking about transparency. You drowned the fish, in the beginning, of transparency in relation to the Electrabel-EDF Convention, which we always ask for. You say: no transparency yet. As you play transparency, we take your word, minister. We therefore ask you for the exchange of mail and the analysis and response of the CREG. Mr. President, you can officially ask him in a moment. I still don't understand. Madam Minister, on September 16th, in a press release – it's written, you won't be able to say that we're reading wrong – you say you don't need an expert. While you wrote a letter to Electrabel and EDF on September 13. If you have it here, read it to us so we can ask you some questions. What was the content of this letter? You tell us, on 16 September, that you do not need to appoint an expert. And on the 17th, you change your mind. I don't understand what you could write to Electrabel and EDF when on the 16th you said you don't need an independent expert. You probably made a cross on the analysis of the CREG. I don't know. And then, excuse me, minister, but the convention is about an independent expert. In view of the totally chaotic management of this dossier, I very sincerely hope that you will guarantee the independence of this expert. Indeed, trust is broken regarding your attitude to two operators and to the regulator. This is not the first time you have sat down on the regulator's reports or questioned the regulator. I question your independence and independence from the appointment of an independent expert to defend primarily the interests of the State. It is the state you must defend, and not the operators, with which you make totally unfavourable agreements for the state and consumers.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u34	Madam Secretary, your attitude towards the regulator, the CREG, is completely incomprehensible. It is as if those for a piece of money I will not say the enemy is the opponent and that the operators with whom you are engaged are your supporters, whereas that should be the reverse. On 22 June, the CREG informed you that there were problems with the calculation. At that time, you should have immediately ignored the CREG and asked what the CREG was based on and how the amounts were calculated. At the same time, you should have immediately contacted the operators to inform them that an expert would be appointed, knowing that this appointment should take place before the 15th. However, you did not do that. You're gonna leave everything behind. In the end, you sent a question to the CREG. The CREG responds to you almost immediately, but you leave the answer again. All the way to the end, on September 13th, a letter goes to the operators. Madam Secretary, can you tell us clearly why you waited until September 13th, when you get the first warning signal on June 22nd? That is not understandable, unless you, of course, point out that there are more and more agreements with Electrabel and EDF to solve the problem. What happens after that is even more incomprehensible. First, you say there's no need for an expert. Two days after that, you say one is needed. It is therefore completely unclear whether the expert has already been identified. Today you say that no expert has yet been identified and that you will negate the designation of an expert. The sum must be paid before 30 September, Madam Minister, even if there is a higher amount to be paid. You're just gonna leave it. You do little or nothing, and today you come to Parliament to explain that there is nothing wrong, that you will continue to defend the general interest and that you will ensure that the future sum may be recovered. Madam Secretary, I have no words for it. The way in which you have gone about the dossier and the previous files and dealt with them is du jamais vu. You state that the state will not miss any money. Madam Minister, once again you have not defended the general interest in the dossier. You are acting as Minister of EDF and Electrabel. That's an absolute disgrace.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u35	Madam Minister, thank you for some answers. Today it is clear once again what we had already stated during the previous legislature, namely that the convention was drawn up in such a way that it never gets out of it. We then tried to calculate this for a moment. Even the greatest mathematicians who were in the Chamber at the time had to lay down the ax. After all, it was a knuckle. So it's a beautiful inheritance you've been given. However, we are concerned and we must ensure that the convention works. In any case, we must ensure that we can play a shorter game and that we can deal with such matters more quickly and more quickly. I think that would have saved us some trouble. We will also have to look at the way in which we continue to deal with the Convention in the coming years. I notice that you have reported a number of cases that have occurred. On the basis of the written report, I will try to reconstruct the timeline myself, to see how we can better deal with it. After all, as I said during the previous legislature, together with some other Members, the deal that Wathelet had made is simply a bad deal. We have already calculated at that time that the millions of euros that the deal would bring would be nothing twice. If anything comes out of the deal, let us please ensure that we can at least bring in the change. In that respect, we must get everything out of the deal. It is true that if agreement is reached with the expert and there is clarity, this will have no effect. However, I would first like to know what the expert makes of the whole story, so that we can look at the direction in which it is going. The committee may have to work on the dossier in the future. We will certainly examine the report further so that we can put it next to the Convention and next to the timeline so that we can achieve the best possible result for the State and so that the means for which they were intended are put in place. That fund was set up to support offshore projects. Eventually, we didn't christen the Wathelet Fund. In any case, I think it is absolutely the intention that we should keep the costs of the offshore under control. This requires short play on the ball, it requires sound calculations and also sound information from the operator. With regard to the extended opening time, several parties are at the table. The work must therefore be thorough and decent. We are, of course, keeping in mind that operators are not trying to make additional money out of it, because that will in any case fall on a cold stone in our committee.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u36	Minister, I'm a little surprised by your speech because I feel like I'm at "how not to answer the questions." How can I not answer specific questions that have been raised by me and my colleagues regarding the management of this time line and the management of this file? I do learn that the expert is not appointed. But in Article 8 of the Convention we have a certain number of dates. This is the enforcement of a convention. I did not have an answer to the question of what the parties are doing if there is no agreement on the expert's report. What about the remedies? No answer either. Are they maintained or not? In any case, I see a blur that does not guarantee me that the additional money will arrive in the state's coffers. I'm a little sawed when you say in your presentation that the expert will clarify the parameters. It is not the expert's job to clarify the parameters. He or she must give notice of this amount and of the payment decision. I would like to know why you did not ask the CREG and the administration to clarify this convention. If you have asked, I would like to have a copy of the exchanges by which you requested this intervention. I think, Madam Minister, that we need to make all the transparency on the convention, but also on its implementation. It is the enforcement of the Convention that is being discussed here. The strategy that you explained to us in your speech seems risky to me. It's a risk that could make us lose money. Minister, this is about executing an agreement. A signed agreement is the result of a balance between the parties. By not applying the convention, you break the balance of your leader to the detriment of the Belgian State instead of applying it. For me, this is a serious mistake. I therefore have the greatest concerns about the implementation of the Convention. Minister, you say that the money was deposited into the CPS account in April. The Court of Auditors, at the time of the adjustment, notes that a sum of EUR 7.2 million was paid in 2016 but to an inadequate FPS account for Tihange 1 revenue for 2015. The fund that has to be dedicated to this has not yet been created, which demonstrates the mismanagement of this file. Minister, today's parliamentary year is resuming with a demonstration of your inability to manage a case in a transparent and credible manner.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u37	Madam Minister, your answer has indeed clarified some of the uncertainties. Actually, 7.2 million euros have been paid in. The CREG has not proposed an exact amount. No expert has yet been appointed. I have a number of questions and reservations about the latter. The procedure is now under way, but when will the expert be effectively appointed? Soon, or will that be long? If the expert has been appointed, will he receive a deadline by when to determine exactly what amount it is? If that exact amount is determined, is it still contestable by the State or by the owners, or is it then definitively fixed as the amount to be used as the amount to be paid? Also not insignificant is the cost of the expert and who will pay it. It is therefore a good thing that the procedure is running now, but it does raise some questions and I think it is important that we clarify quickly who will become the expert, when we can expect results and whether or not the amount is verifiable. You've given us a timetable. I think it's okay to explain. If I look at it objectively, I understand very well that the necessary time has to be taken to study the CREG document. It needs to be looked at, and consultations must be planned in your cabinet. Questions must also be asked. All this cannot be done overnight, which takes time. Those are logical steps. It is a pity that the period between 11 August and 13 September was too long. If it could have been done faster, the expert would have been identified and you could have made the deadline perfectly. If there are deadlines in a contract, I think it's important to get them, even if it's complicated and some say it's not a good contract. As a good housemother, I hold on to strict deadlines. Especially when it comes to revenue collection, I insist that nothing goes wrong and that the deadlines in the contract are respected. So it would have been better to appoint the expert before 15 September, because that would have led to much less discussion here, but possibly also between you and the owners of the nuclear power plants. In any case, I believe that we should learn from this. We must make every effort to recover the amount that has been tested. In future, we must avoid such discussions by setting the amount so well that no expert should be appointed.
ParlaMint-BE_2016-09-20-54-commissie-ic488x.u38	I call the dark green opposition.
