ParlaMint-BE_2016-07-05-54-commissie-ic462x.u1	Question No 11222 by Mr. Daniel Senesael is postponed.
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u12	Madam Secretary of State, thank you for the answers you have kindly given me. On the other hand, I shall return to my second question, which has not been answered. Heritage is one of the dimensions that the federal state must safeguard. The image of the collections is essential. I note, however, that the rate of rooms visible to visitors has increased from 50% to 11%. You then referred to the additional 11 million for fiscal year 2015, which are part of a one shot operation. This amount comes from part of the space policy budget. Additional resources will therefore be required. On the other hand, I note that the climate in federal scientific institutions is not serene at all. You regret some statements in the press. However, the staff concerned sometimes have no alternative. I understand the policy that you want to develop with a focus on independent federal scientific institutions. However, their autonomous status will not bring them real growth if they are strangled. I am curious to observe the consequences or conclusions of the policies that are being put in place. I am more surprised by your answer to my second question. You did not tell me whether constructive consultation was carried out with all the directors of the institutions under your control, particularly with regard to the reform of the federal scientific institutions. You have told me that the employees of the firm or that the employees of the administration were discussing with the people. But has there been real consultation, not the imposition of a certain number of diktats?
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u13	Mr President, I come with a small question because the Secretary of State has given a set of information and figures which are extremely interesting and important. Can we have the answer?
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u14	They will be included in the full account of this exchange.
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u15	So we'll get it quickly. I do not quite have the same analysis as our colleague Mr de Lamotte, and that is quite normal. Through your answer, Madam Secretary of State, through the various elements of both figures and budgets, and the more political elements that you have brought, it seems to me that you are a good expression of this government's desire to end a saga that has been going on for a very long time. The government of which you are the Secretary of State has the will to bring about the right solutions. Investments have been made, commitments made. A dialogue is established to evolve towards another type of structure. Financial resources are available. A plan for the renovation, including with the minister in charge of the Régie des Bâtiments, and Minister Reynders, for Beliris, is being set up. Of course, there are some difficulties. But this government has a lot of concerns everywhere, and that is in line with a certain logic. [[I have heard the various elements of the Minister's response.]] It is true that at some point the Minister of Science Policy, Mr Magnette, initiated the great plan that would solve everything. It didn't lead to anything. To such an extent that it was even someone from his political family, Mr. Courard, who stopped the plan because he thought it would not work. It's an element that's not negligible. Even Mr Draguet acknowledges in his statements that it was the Di Rupo government, therefore the previous government, which reduced the allocation by 400,000 euros. So when I hear you, Madam Secretary of State, you are announcing many elements in the renovation of buildings, you want to maintain budgets, give more autonomy, etc. As Mr de Lamotte has said, the fact that we have grown from 50% of visible works to 11%, it is not under this government that this has happened, it is before! So when you say that you absolutely want us to review the works of the modern art collection, I can only follow you because this is a very important period for Belgian art, which is no longer visible at all. Finally, your desire to have a complete inventory of the heritage carried out is extremely important, especially since you wanted to give this inventory a qualitative dimension. Thank you, Madam Secretary of State, for your answers.
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u16	I must tell you that, apart from any Rules of the House, I regularly receive instructions from the Speaker of the House, Mr.Bracke, to say that questions, answers and replies must be given due attention. Here we are at the end of the session, we are between us and the agenda has been somewhat lightened by the absence of Mrs Cassart-Mailleux. But in this mini-debate, we have gone far beyond oral questions, regardless of the importance of the subject. In principle, speaking times are much smaller. But I am a flexible person in the organization of our work. That being said, it should not be made a habit on all issues, especially when there are many. This is not the case today. I shall pass the floor to Mr de Lamotte.
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u17	Madam Secretary of State, a number of reforms are under way with regard to scientific policy. As they are delayed, the directors of the Federal Scientific Institutions (FSIs) are generally not appointed but appointed as ad interim. Several terms of office end in the coming months and no selection has been put in place by the Selor. However, in the direction of Science Policy, the ad interim director has just been appointed for a six-year term, while the Science Policy PPS is to be abolished in accordance with the government agreement. My questions are as follows. Why not start a procedure to replace or extend the directors, whose mandates end when the reform of the ESF is far from being implemented and a director would be very useful in this reform? Has an evaluation of each director been conducted? How was it done? Why this difference in treatment between the Director of Science Policy PPS and the Directors of FSEs?
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u18	Mr de Lamotte, thank you for your question. The answer will be brief. Most of the Directors-General are indeed agents. Their assessments shall be carried out in accordance with the procedures laid down for that purpose. The interim evaluations were carried out during May and June by the President of the Science Policy PPS. The final evaluations will be carried out in October/November by him. Depending on the final rating of these evaluations, their terms of reference will or will not be extended automatically. In some institutions, an ad interim director-general has been appointed. As soon as clarity as to the purpose of the ESF reforms is established, a sharp selection will be organised, but in the meantime, there will always be a Director General during the reform process. The position of the Chair of the Science Policy PPS is a special function to be distinguished from that of the Executive Director of a federal scientific institution. Unlike a Director General, the President of a PPS remains in office only when the PPS is removed. Given this government's plan to reform the Federal Science Policy, the Science Policy PPS will eventually be removed and its missions will be integrated into other entities. Accompaniment to this reform is another important task for the President. As regards the procedure for the appointment of a new President, initiated with a view to the end of the term of office of the former President, this new description of office has been explicitly taken into account.
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u19	Mr. Chair, I take note of the Minister's responses and the dates she provided me with for the Director General's assessment. I am not convinced by the answer, but we will return to it later this year.
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u20	Mr President, Madam Secretary of State, the Brussels Council of Museums has recently launched a €40 card giving ten visits to 37 Brussels museums over a period of three months. This may be acquired by the general public by 27 August at the latest. This initiative is part of the 100 Masters campaign, which aims to promote the masterpieces of the permanent collections of cultural poles present in the capital. This map will give access, among other things, to various federal museums such as the Royal Museums of Fine Arts, the Magritte Museum, the Musée du Cinquantenaire or the Musée des instruments de Musique. In addition, cardholders will benefit for three months from a range of discounts for attractions such as the Atomium, but also in cafes and shops in Brussels. Finally, it is also possible to buy this card with the option Hop on/Hop off, which allows you to use the tourist buses that travel through Brussels. This initiative, which enables as many tourists as Belgian and Brussels citizens to access our national heritage at a democratic price, must be welcomed. In addition, low-cost access to other Brussels attractions, as well as to horeca establishments, is a positive initiative in the context of the revival of activity in the capital after the attacks last March. Madam Secretary of State, does this involve a partnership with your services and, if so, could you communicate to us the nature of this operation? What will be the financial impact of this operation on the federal state? Has a forward-looking assessment been made? What is the number of additional visitors expected through this initiative? What advertising measures are planned, in direct synergy with your services, not only in Belgium but also in third countries, since they are also aimed at a tourist audience? Are you considering other comparable initiatives in the future? If so, which ones? Are one-off free actions for federal museums, such as the first Sunday of each month, possible or perhaps already envisaged?
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u21	Mr Calomne, the Federal Scientific Institutions (Royal Museums of Art and History, Fine Arts and the Royal Institute of Natural Sciences) participate in the Brussels Card 100 Masters initiative of the Brussels Council of Museums (CBM). With this card, if it is validated at the information points, the visitor must no longer go through the boxes to access the collections. This validation should provide statistics on the number of visitors, but it is too early to determine the success of this measure. It is also difficult to get an idea of the financial impact of this operation on the federal state. The CBM pays 60% of the entrance ticket. It is therefore not a question of free admission but of reduced-rate admissions. The CBM should decide, in consultation with the Brussels museums, in view of the success of the first version, to establish the Brussels card 100 Masters in the long term. The promotion of this map is clearly reflected in the brochure 100 Masters, which has 30,000 copies and is available in all federal museums. This card is also promoted via newsletters and social networks. The free admission valid on the first Sunday of the month in museums of the French Community is also applicable in federal museums, on the first Wednesday of the month. This provision is a great success, especially with the family audience.
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u22	Madam Secretary of State, I thank you for these different elements of the answer, although I do understand the difficulty, at this stage, of obtaining precise figures. I will come back with a written question to take stock of this initiative. I have also taken note of the fact that, on the basis of the assessment carried out, a card would be valid in the longer term. Maybe we're heading for a more sustainable map. As far as the other initiatives are concerned, the French Community actually has this system free of charge on the first Sunday of the month. For federal museums, it's the first Wednesday. I had already asked you about this, particularly about the Constantin Meunier Museum. Coordination on this provision should also be considered. This is done in other countries, including France. This is important for the Belgian public who contribute to the financing of these institutions. We need to think about that.
ParlaMint-BE_2016-07-05-54-commissie-ic462x.u23	In view of the absence of Mr. Van Hees, his question No 12256 becomes moot. On this, we can close our work.
