ParlaMint-BE_2016-05-25-54-commissie-ic428x.u1	Mr Dallemagne has decided to remain on a commission of inquiry.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u12	Mrs Pas, as regards your first question, the answer to question QPV 380 of May last year was delivered to the services of the Chamber on 27 April last. That's very rich late. Let me explain to you why. We have had to request this information from the Brussels police zones. That took a while. In fact, in one of the zones, it took a long time. We have compared the data with the figures we obtained from the social secretariat of the integrated police. That turned out to be very different, so it took time to get the figures more or less correct, hence it took a long time. Meanwhile, your new question has arrived for the 2015 figures. Since we now have a good methodology, thanks to the answers to the first question, it is now also being discussed with the social secretariat of the integrated police. We will provide you with the data as soon as possible. As far as your other questions are concerned, you are of course right in your analysis that there is a distorted situation in the Brussels police zones. However, it cannot be corrected in just one year. Let there be no doubt that every law must be complied with, including language legislation, but the former legislators have failed to impose many sanctions in language legislation. We all know that. The best way to achieve the objective in this area is to continue and intensify efforts to promote bilingualism. I do not know whether ill-thought-out action by the supervisory authorities is the right way to do this. Imagine, for example, that we would destroy a number of appointments in Brussels and introduce the most stringent supervision. Then I'm in conflict with security. This is a trade-off which, as a Flemish nationalist, is not easy to make. It's a trade-off, though. I find it difficult to say that there are too few people on the ground in Brussels because a large number do not have a bilingual certificate. I am therefore asking for some understanding of that situation. It is important to intensify and encourage bilingualism. There are also premiums for this. We must weigh the security situation against your absolutely justified question of bilingualism. There can be no doubt about that. The situation is very specific at this time of terrorist threat. We are trying to find the right balance. The last thing I want is for security to be compromised. This does not mean that the efforts for bilingualism should not be stepped up. I want to commit myself to this.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u13	Of course, Minister, I fully understand the security situation. If that means that we need monolingual agents in certain security services, I fully understand that. But that doesn't mean they have to stay monolingual. You are right to say that there are no sanctions in language legislation. You could include them perfectly and even oblige the agents to take language courses. In this respect, I certainly support you by tabling a motion of recommendation. I hope you will find plenty of inspiration in that. A number of measures fall within your competence to enforce language legislation. A situation that has been uneven for years cannot be corrected to a year. But if there is no more drastic action, I fear that it will not happen at all and that the figures will again go in the wrong direction in the years to come. Mr President, I would like to announce a motion of recommendation.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u14	At the end of this discussion, further motions were tabled. In conclusion to this discussion, the following motions were tabled. A motion of recommendation was tabled by Mrs Barbara Pas and reads as follows: "The Chamber, heard the interplay of Mrs Barbara Pas and the reply of the Deputy Prime Minister and Minister for Security and Home Affairs, in charge of Great Cities and the Government of the Buildings, - having regard to Articles 21, 35, 1 and 69 of the coordinated laws of 18 July 1966 on the use of languages in administrative matters (SWT), - whereas the policemen of the six police areas of Brussels-Capital should in principle be bilingual; - whereas the transitional period introduced to allow monolingual agents transferred from other corps to the six Brussels police zones to obtain evidence of bilingualism expired on 1 April 2006, - having regard to the decision of the Council of Ministers to extend this transitional period by one year and nine months; - having regard to the judgment of the Court of Justice in Case 146/2007 of 28 November 2007 of the Constitutional Court, which annulled that decision; - whereas from 14 January 2008 Article 35, § 1, SWT shall apply in full and only bilingual police officers may be recruited in the Brussels police zones; - whereas the SWT is a law of public order; - whereas according to a press release by Flemish People's Representative and State Senator Vanlouwe (N-VA), only six out of ten police officers in the six Brussels police zones are bilingual; - whereas, according to the same source, the number of bilingual policemen in the six Brussels police zones is decreasing rather than increasing; - having regard to the demands made by Mr Vanlouwe in relation to this disorder; - whereas this situation jeopardises the proper functioning of the police forces in the Brussels-Capital Region, asks the Minister - ensure that policemen are no longer employed in the six Brussels police zones which have not demonstrated their knowledge of the second language in advance by obtaining a certificate from Selor; - take measures to ensure that the recruitment files of Brussels police officers are re-routed by the Brussels police zones to the Vice-Governor of Brussels-Capital so that they can verify their compliance with the language law in administrative matters and, if necessary, suspend them; - to call the Brussels Government to order and to order unlawful appointments of police officers in the Brussels police zones following the absence of a certificate of knowledge of the second language." A motion for recommendation was tabled by Ms. Barbara Pas and reads as follows: "The Chamber, having heard the inquiry of Mrs Barbara Pas and the response of the Deputy Prime Minister and Minister for Security and Interior, responsible for the Grand Cities and the Régie des Bâtiments, - having regard to Articles 21, 35, § 1 and 69 of the Coordinated Acts of 18 July 1966 on the use of languages in administrative matters (LCEL); Whereas the police officers of the six Brussels-Capital police zones must in principle be bilingual; - Whereas the transitional period introduced to allow unilingual officers transferred from other police forces to the six Brussels police areas to obtain the required proof of bilingualism ended on 1 April 2006; - having regard to the decision of the Council of Ministers to extend this transitional period by one year and nine months; - having regard to Constitutional Court decision No 146/2007 of 28 November 2007 annulling that decision; - Whereas, since 14 January 2008, Article 35(1) of the LCEL applies fully and Brussels police zones can no longer recruit only bilingual police officers; - Whereas LCELs are laws of public policy; - Considering that, according to a press release by the Flemish deputy Vanlouwe (N-VA), who is also a senator of the federated entities, only six out of ten police officers on duty in the six Brussels police areas are bilingual; - whereas according to the same source, the number of bilingual police officers on duty in the six Brussels police areas is decreasing rather than increasing; - considering the demands made by Mr Vanlouwe concerning this intolerable situation; - Whereas this situation threatens the proper functioning of the police in the Brussels-Capital Region, ask the Minister, - to ensure that in the six police areas of Brussels-Capital, police officers who have not previously proved their knowledge of the other language by obtaining a Selor language certificate are no longer recruited; - to take measures to ensure that cases of recruitment of Brussels police officers by Brussels police areas are again transmitted to the Vice-Governor of Brussels-Capital so that he can verify their compliance with the law on the use of languages in administrative matters and, if necessary, suspend recruitment decisions; - to call the Brussels government to order and order it to cancel the appointments of police officers in the Brussels police areas tainted by illegality because of the absence of a certificate of knowledge of the second language." A simple motion was tabled by Mr Koen Metsu. A simple motion was tabled by Mr. Koen Metsu. Motions for resolutions will be voted on at a later date b. The meeting's over. The vote on the motions will take place at a later date. The discussion is closed. Interpellation No. 149 of Mr Dallemagne will take place later. Mr de Lamotte has been called away to another committee. Debates of the European Parliament Mrs Lahaye-Battheu's 11487 will be tabled or, if necessary, postponed.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u15	Minister, on January 20, you presented us with your plan for policing tasks. In particular, the plan provides for the creation of a new directorate within the Federal Police, the Directorate of Surveillance and Protection. This new Directorate would see the transfer of the Justice Security Corps, currently within the Directorate-General for Prisons (DG EPI), to the Federal Police. In particular, he is responsible for the transfer of detainees and the supervision of courthouses. We have mentioned it several times in recent news. Minister, my questions are as follows. Do you have any details since January 20? What is the status of the working groups on this transfer? How will this transfer take place? You were talking about gradual integration from 2017. Is that correct? Is a phase planned? How many people are affected by this transfer? You were talking about 400 full-time equivalents. What are the terms of the transfer? Will a transitional status be granted? Can you confirm continued treatment? What will be the equivalence of the treatment chain of all members of the safety and protection management? What about today's premiums and their integration into basic salary? I have heard differences in this regard between the situation of prison officers and that of security personnel. Could you give me more details? Police officer status would be applied to them. But today in the justice system, these people are at level C. Do you confirm the crossing from level C to level D? What are the prospects for change within the police? Will police training be required, as is planned for the transfer of State Security Protection Assistants? This question follows on from my visit to Lantin. In front of Lantin were members of the security corps who asked me these questions. They are relatively confident in maintaining their treatment, but one realizes a dichotomy: if they become police officers, they will sometimes earn twice as much as police officers, and this will block the career development of some. They are not complaining about the prospect of earning twice as much, but this will cause problems on a daily basis. That's why I'm asking you these questions. They do not constitute a trap, but aim to obtain more clarity on something that seems coherent, such as this transfer. In practice, it must be granted to what already exists.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u16	Mr President, ladies and gentlemen, when we return to the public sector, there is always a transitional period for the transition from the old to the new statute. The question you are asking, as a relay to the people on the ground, is therefore entirely justified. As far as your first question is concerned, the various strategic and technical groups are making good progress in their preparatory activities. Even yesterday, I was participating in a working group with the security corps to solve the problems. The timing of concrete achievements extends, in fact, over the years 2017 and 2018. A legal basis will have to be created, a number of royal and ministerial decrees will have to be made, and all budgetary, logistical, technical, etc. I am thinking in particular of the creation of uniforms. As far as the security corps is concerned, 400 people are actually affected by the transfer. This brings me to your specific questions about the modalities of this transfer. I will reply in part because, as far as your first question is concerned, the first of my answers is reserved for the social partners with whom negotiations are planned on the Statute. In fact, an informational meeting is being held in the Department of Justice, as I speak to you. Formal negotiations will take place in a few weeks between my department, the defence, police and mobility unions. Indeed, Defence and police personnel will be transferred to this new corps, but integration of Securail is also possible. The railway police belong to the police organization. The new Minister of Mobility is also thinking about the issue, but in my opinion it is preferable that Securail should be integrated into the police force. These negotiations are under way. That said, it goes without saying that a transitional status will be necessary and developed, including a financial safeguard, the details of which still need to be determined, in negotiations with the social partners. I assure you on this point: there will be no crossing from level C to level D, it is not on the agenda at all. I can't give you any more details right now. Together with my colleagues in the departments concerned, we have determined a methodology for communicating to the various unions and I will stick to it. As soon as the decisions are made and communicated to the unions, I will inform you.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u17	What is the deadline?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u18	I want to close all the status issues before the end of the year.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u19	Minister, thank you for your answers, although I understand that they are incomplete at this stage. I am not going to say on the one hand that this government is not doing social consultation and on the other hand that you are not answering my questions because you want to give the first chance to this union negotiation. The implementation of this new structure will have to be delicate because there should not be two types of police officers; this would be harmful and would create unnecessary tensions. I'll come back to you when you've agreed with the unions.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u20	Mr President, Minister, perhaps you will also reply that this is ongoing and that you have a number of union negotiations... On 3 March, the Chamber adopted the draft law on various internal provisions in the area of integrated police. The Act of 21 April 2016 provides for the transfer of State Security Protection Assistants to the Federal Police in the future Directorate of Protection and Security. Two weeks ago, officers involved in this transfer reported loss of benefits and concerns about fewer hours of training, particularly at the shooting exercise level. The State Security replied in a communiqué setting out the modalities of the transfer and the elements of compensation. Minister, during the discussions in the Committee on the Interior, you spoke of an entry into force on 1 April 2016. You indicated that the enforcement order was ready and submitted to the Council of State. The Prime Minister, in a letter addressed to the Sûreté de l'Etat, speaks today of an effective transfer on 1 June. Do you confirm that? When will the enforcement order be published? Why this extra time? Can you quantify the decrease in training hours? How many hours of shooting training will be scheduled? How can we compensate for the reduction in training in terms of the quality of training? Can you remind us of the terms of the transfer, both in terms of loss of benefits and compensation?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u21	Mr President, Mrs Matz, I confirm that the date for the transfer of the State Security Protection Assistants to the Federal Police is currently 1 June 2016, next week. This transfer was originally due to take place on 1 April 2016 but it turned out that the law of 21 April 2016 containing various domestic provisions on integrated police, in which the principle of this transfer was enshrined, was passed in parliament on 3 March. The draft Royal Decree on the transfer of State Security Protection Assistants to the Federal Police pursuant to the Decree was approved by the Council of Ministers on 25 March. It was necessary to await the adoption of this legal provision and the deliberation of the Council of Ministers in order to be able to submit this draft royal decree to the legislative section of the Council of State, which has 30 days to deliver its opinion. Given these elements, it was not possible to maintain this initial date of 1 April. This draft royal decree will soon be published in the Belgian Moniteur as soon as it has been signed by the Minister of Justice and sanctioned by the King. It's a matter of days.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u22	I assume because the transfer takes place on June 1, 2016. It'll be before.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u23	Yeah, that's normal. Every day counts 24 hours and in one day you can do a lot of things. Second, police status provides for minimum annual training based on Ministerial Circular GPI 48 of five sessions (four training sessions and one evaluation session). The recommended duration of a session is four hours and one hour for evaluation. For example, a minimum of 16 hours of training and one hour of assessment should be required. The Directorate of Protection also provides for additional fire training for the P90 machine gun at a rate of twice two sessions of at least two hours per year, giving a total of at least twenty-one hours per year against a minimum of six hours of mandatory fire per year to the State Security. This is therefore a rather impressive increase in training hours. On the other hand, the "protection of persons" training is the subject of an accreditation file which requires one day of retraining per year, including training in shooting booths and self-defence. In addition to the trainings provided for in the Ministerial Circular GPI 48 within the Etterbeek complex – which will be the future place of work of the protection assistants – three stands are made available to staff members. They can practice there in the presence of an instructor during regular stand-by and training days. These shooting booths are accessible at least twice a week, while the one they had in their capacity as State Security Protection Assistants was reserved for them only for three half days a month. The Directorate of Protection comprises twenty-eight self-defence monitors and thirty-eight shooting monitors. Their number is far higher than that of the State Security Service. According to the information provided to me, therefore, there is no question of weakening their training – on the contrary. State Security Protection Assistants are transferred to a special category of personnel within the Federal Police, with their rank maintained. They are subject to police status, with the exception of the rules on mobility and reintegration. In this context, they receive, among other things, free medical care as well as certain allowances and allowances: Brussels-Capital Region allowance, proximity allowance, bilingualism bonus, uniform allowance, etc. They retain the salary scales and the baraemic career, including seniority, from which they enjoyed the State Security. Where appropriate, they shall continue to be entitled to a supplementary activity granted by the State Security. They also have the opportunity to apply for recruitment in the course of a State Security Inspector without having to meet the requirements of a diploma normally required for that function. It is planned to provide them with 40-hour integration training to explain the organization and operation of the integrated police force. They also have the possibility, without having to pass the selection test, to take basic training from the basic framework (twelve months, with certain exemptions, and six months of probationary training) or accelerated training from the basic framework (six months, with certain exemptions, and six months of probationary training) in order to become a police inspector. They are integrated into the police organization and have the opportunity, by taking courses, to see their careers evolve within the police. During this training, they receive back-up pay. They will also receive a transfer premium equivalent to 18 months of the amount of compensation they received from the State Security. Because they have this difficulty, a bonus is given to them. In view of the above, it can be concluded that the transfer will be carried out under balanced or even advantageous conditions for the protection assistants. The unions have given their consent.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u24	Minister, I thank you for these very clear and rather reassuring answers, particularly on training hours, which do indeed seem to be more important in the new structure. As I understand it, they can benefit both from a certain advantage in continuing their careers at the State Security, but also at the level of the integrated police, since they can, of course, through training during which they will retain the safeguard allowance, as you call it, apply for various functions, including that of inspector. There's something I don't understand. They're integrated as agents. That means they can't be armed. But they do shooting training. You remember the question, which I will perhaps rest with you very soon. You said that your will – and it was also our will – is for the agents to be armed in an equivalent manner, or taking into account terrorism in particular. At present, however, police officers are not equipped with firearms. Here, a major training course is planned for the handling of firearms. What about that level? I apologize for asking a supplementary question, but I think it's important.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u25	This is a temporary exception because our goal is to arm the police officers. We are also working on an amendment of the law to that effect. As far as the Directorate of Protection is concerned, they are also agents. And it is necessary for these agents to be armed.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u26	So as soon as they get there, they'll be armed.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u27	Yes.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u28	Mr. Chair, I thank the minister for agreeing to complete his response.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u29	Minister, the policy of exceptional transport has recently been regionalised with the sixth reform of the state. However, until the Regions take measures in this area, the legislation in force continues to apply, in particular with regard to accompanying exceptional transport. Access to the accompanying profession is still governed by the law regulating private and special security of 10 April 1990, also known as the "Tobback Law", and its implementing orders. The Inland FPS also issues approvals in this regard. In a report of 1 August 2015 of the Internal SPF, entitled "The Act of 10 April 1990 regulating private and private security. An evaluation", the administration indicates the number of checks carried out by the Inland FPS inspection service in connection with the accompanying of exceptional transport. According to the report, there was only one check in 2014, none in 2013, 3 in 2012 and 2 in 2011. In other areas of guarding, controls often exceed 100. Mr Minister, why does the Inland FPS virtually no longer control the area of accompaniment to exceptional transport?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u30	The figures to which you refer come from the evaluation report on the law of 10 April 1990 regulating private and special security. These figures relate only to the checks carried out by the inspectors of the Inland FPS itself. The security of exceptional transport is a typical activity, which is not controlled on the roads by the Inland FPS but by the police services. The number of checks carried out by the police services on this type of activity is not known but the number of times they have found an infringement of the regulations on this activity. I do not have the number of checks but the number of infringements committed, i.e. for 2013: 107 PV, for 2014: 24 PV, for 2015: 16 PV and for 2016, until 12 April: 12 PV. Controls are actually carried out by the police and not by the internal FPS.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u31	Thank you for the answers. I imagine that the other sectors are controlled only by the interior and not by the police, but for this sector both have the possibility to carry out the control.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u32	Minister, despite the slight decline announced in recent weeks, the number of cases handled at the Office of Foreigners remains significant. While it is necessary to identify asylum-seekers, to identify fraudsters or potential risks associated with the terrorist threat, I wonder what the extent of the means involved in this task and their impact on the normal functioning of certain police services is. Indeed, in committee, the Secretary of State for Asylum and Immigration has confirmed to one of my colleagues that a quadruple check is organised as part of the examination of the files: the photos and fingerprints of each asylum seeker are compared to the data bank of the Office of Foreigners, the Schengen Information System, via the State Security and the General National Data Bank. How are the controls organised? How many police officers or technicians are mobilized for this purpose? In relation to the maximum fingerprint control capacity, what is the share of such checks in particular? What is the cost of all these means deployed? What is the rate of evidence as a result of these controls?
