ParlaMint-BE_2017-03-29-54-commissie-ic635x.u1	It's time, we'll start the work.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u16	Mr. President, Minister, according to two new World Health Organization (WHO) reports, more than a quarter of deaths of children under five years of age are caused by environmental pollution. Every year, environmental risks (pollution of indoor and outdoor air, passive smoking, unsafe water, lack of sanitation, inadequate hygiene) result in the deaths of more than 1.5 million children under the age of five. Beyond "traditional" dangers such as pollution of the atmosphere, water, lack of sanitation or vector-borne diseases, such as malaria, which have long been identified in developing regions, there are new "emerging" environmental hazards associated with global industrial activity, such as exposure to pollutants, electrical and electronic waste, and climate change. To address these dangers, the WHO suggests the framework for the 17 Sustainable Development Goals (SDGs) set by the United Nations Development Programme (UNDP) in January 2016. The last two WHO reports stress that reducing indoor and outdoor pollution, improving water quality, improving public health, including in parturient health facilities, protecting pregnant women from passive smoking and ensuring a healthier environment, can effectively prevent infant mortality and diseases affecting young children. Minister, in this context and in order to put an end to preventable deaths of newborns and children under five years of age by 2030, what progress has been made in this area in Belgium? What initiatives have been put in place to follow up on these new recommendations, particularly in relation to emerging hazards? Is an action plan between the different levels of power already in place in this regard?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u17	Mrs Fonck, it is clear that coordination on this subject is essential and is done in full cooperation with my counterpart, the Minister of the Environment. Since 2014, the Interdepartmental Environment-Health Conference has dealt with several issues: first, the establishment of surveillance of exotic mosquitoes that carry tropical diseases, such as the Zika virus, or other vectors, such as ticks. The exotic mosquito monitoring project is due to start this year for three years. At the end of this period, a nationally consistent monitoring network will have to be operational and information and decision-making processes established. Belgium's participation in the European Biomonitoring Programme, which starts this year, is one of the issues addressed by the Interministerial Conference, as well as the development of modules for continuing training in environmental health for health professionals, which will also be carried out this year. There is also participation in the latest WHO measurement campaign on persistent organic pollutants in breast milk, the report of which will be available shortly. The federal plan Strong heats and peaks of ozone decided following the 6th reform of the state was published on 17 May 2016, after consultation with the entities involved. These various projects are monitored continuously by the national unit, which meets several times a year and exchanges very regularly by e-mail. Beyond these projects, there are working groups and ad hoc issues. The National Cell is currently preparing for the next WHO Europe Interministerial Conference on Environment and Health, to be held in Ostrava in June. In this context, a new operational programme will be developed thereafter, taking into account the priorities of WHO and partners. The second National Environment Health Action Plan is being evaluated; on the basis of the findings of this evaluation and of the WHO Interministerial Conference on Health and Environment in June and the specific needs of Belgium, a third plan will be drawn up at the end of this year. It is clear that the implementation of the projects and the proper functioning of the above-mentioned working groups can only be achieved if the National Environment Health Action Plan itself functions properly, as well as the good cooperation between ministers and administrations of the various levels of authority. Mr Blanchart, infant mortality throughout the world mainly concerns non-OECD countries. Indeed, especially within the European Union, we are implementing environmental policies that have already largely reduced this mortality. With regard to drinking water in Belgium, the three regions guarantee a very high level of quality of the distribution water, but also bathing water or surface water in general under the relevant European directives. The pollution of outdoor air is indeed problematic. They are mainly related to polluting emissions from transport, particularly diesel vehicles. That's why the government has decided to put an end to the advantage of the diesel pump. In terms of indoor pollution, mortality worldwide is mainly due to smoke emissions in homes. Belgium has specific legislation for heating appliances and solid fuels. In our country, these fumes are mainly due to ventilation defects, defective or poorly maintained appliances. We also have legislation on building materials applied since 2015 to floor coverings. This legislation will be progressively extended to other types of coatings. Finally, with regard to endocrine disruptors, it is true that a European definition within the framework of the regulation for biocides and plant protection products has been overdue since 2012. I can only reiterate the call for a clear definition that allows the authorities to control risks and implement proportionate measures, taking into account the precautionary principle.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u18	Minister, thank you for the different answers. I have heard the themes and projects on which work has been carried out. There are, of course, many other issues that should involve health authorities in relation to the environmental health strategy. I think we are lukewarm in Belgium on this strategy. We should be better, more proactive, more coordinated, more effective. I consider this to be a major issue with a medium- and long-term impact on health, the importance of which is not yet known. Minister, I will re-examine you on a regular basis on the basis of the projects, but I call for a more proactive and ambitious approach. That seems indispensable to me.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u19	Madam President, I am quite in line with my colleague. If, indeed, we are spared from the problems of drinking water, we must put the iron on the aspects that affect us in particular. But as far as the environment is concerned, I agree with my colleague, in the sense that there is indeed a great deal of action to be taken. This is becoming more and more urgent. This is obviously not just about our country. Real coordination at the departmental level is essential, and I think it is up to the Minister of Health to sound an alarm at the various findings that have been made.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u20	Madam President, my question has been tabled for several months. To get to the point, minister, you remember that there was a report from the KCE in 2010 that clearly recommended systematic screening for cystic fibrosis in all newborns with a series of conditions that I will not repeat here. Since then, I have interrogated you several times. There were several steps. On March 21, 2016, there was an agreement between the federated entities and the federal authority to move forward in this direction. Technical work was then carried out by different groups. In practice, where are we today? The working groups were not only set up and worked, but in my opinion they had to give birth, and the nine months were probably well overrun. What are their conclusions? When will this systematic screening be implemented?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u21	Madam President, Minister, you indicated last summer that you are moving forward on the goal of introducing a systematic neonatal screening for cystic fibrosis in newborns. I would therefore like to ask you the following questions. You also told us that from September 2016 several technical working groups were going to comment on their work and put this project into practice. Can you tell us what progress has been made in this area? What follow-up has been given to this file since then? These groups were also asked to investigate whether other diseases should be tested for neonatal diseases, identify the related tests and budget charges. What about it?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u22	The various working groups examining the technical modalities for the implementation of the prevention protocol began in September 2016. In this context, a technical working group has been set up to deal with the problem of screening for newborns. The objective of this working group is, among other things, to identify possible additional diseases for screening, such as haemoglobinopathy and dysosomal overload diseases such as cystic fibrosis, and to propose the test to be used by giving arguments for and against, as well as budgetary implications. Priority has been given to research related to the screening of cystic fibrosis. The working group met four times and the first result is an update on the screening of newborns in the Communities and Regions, which was discussed in the Intercabinet Working Group on Chronic Diseases and Prevention last December and February 2017. The Working Group's proposals for screening for cystic fibrosis are expected in the coming weeks and will be submitted to the Intercabinet Working Group Chronic Diseases and Prevention. The main objective is to move towards consensus on screening and diagnostic tests, and on the algorithm by which these tests will take place.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u23	Madam Minister, thank you. The KCE's opinion dates back to 2010, while the agreement between the federal authority and the federated entities dates from 21 March 2016. It's 2017. I'm afraid we're still going round for a while. That is why I would like to insist that we should be able to give birth and reach an agreement not only on procedures, but also on the financial side. This will allow routine screening to begin quickly. This is a true public health strategy. Moreover, as I always point out, it is always more expensive for the State to make a later diagnosis in children, to the extent that investments will be necessary, whereas preventive care would avoid severe complications. That would therefore be any benefit to the State budget.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u24	I am not the one to be convinced, Mrs Fonck, but I did not ask for the acceleration of the work.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u25	Donc, your vous attends.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u26	One more month!
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u27	Madam Minister, I obviously agree with my colleague's remarks. I am sincerely pleased that you are concerned about this issue. When lung infections become scalable, it makes the situation particularly stressful. The sooner these diseases are managed, the less complicated they are to be treated. You both know that, since you're doctors. Many countries have introduced screening: Australia, New Zealand, the United States, Canada, France, the Netherlands, Great Britain. I thank you, Minister, for moving forward on this vital issue.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u28	We support you in the rapid processing of this file.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u29	Question No 15783 by Mrs Catherine Fonck is transformed into a written question.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u30	Madam Minister, the press has relayed information contained in a memorandum sent by members and former anonymous members of Herstal's medical home, which details very problematic practices. For example, data from patients cared for by medical homes run by the association "Medicine for the People" would be used, inter alia, for political purposes by members of the PTB. Have you been aware of this situation, minister? What do you intend to deal with this violation of our legislation respecting the privacy and ethics of physicians? Have you been in contact with the Order of Physicians about this unacceptable situation?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u31	Like you, I read this information in the press. If these facts are proven, this would indeed be a serious violation of the protection of the personal data of patients, punishable by criminal penalties, as well as a serious ethical error in the head of the doctors who would have committed it. In addition, I am studying with my administrations, the SPF Santé publique and INAMI what judicial follow-up should be given to this information. I will keep you informed of the outcome of this case. The College of Physicians has told me that they will not be able to make a decision until there is a conviction or a judicial act. We are currently examining what can be done within the Public Health FPS and INAMI, the two administrative bodies competent to defend patients in this type of case, in terms of respect for privacy and also the ethics of doctors working in this medical home. I also answered a question from Mr Hedebouw on this matter. Is this ethically normal? So things are going on.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u32	Thank you, Minister. If the facts are proven, it is totally unacceptable. It is gravissimistic and I think that given the elements that go back to the ground, it is an investigation that absolutely must be carried out. So it's up to you to launch an investigation to clarify this. I think there are many medical homes that do very good work, that have no such practice. And these practices in some medical homes used for political purposes cast reproach on all medical homes and ultimately cast doubt in the minds of patients. I can only encourage you to initiate an investigation so that all the clarity can be made.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u33	Minister, this is obviously not the first time that I have asked you about this issue of the double cohort, which is likely to become a problem for the main stakeholders, in this case the young doctors who will begin their training next year. The stakes are also that they can find a place of quality. In addition, there is an organizational problem due to a lack of places. This question is based on three pillars: the available volume of traineeships, the maintenance of the quality of vocational training and adequate funding. When I questioned you, you brought me some information. If we look at the current situation, the deans of the faculties of UCL, ULB and ULg – and I have no doubt that those of the north of the country are also very concerned, given the contacts I have been able to establish – have just called on the Prime Minister. Indeed, the June 2018 deadline is approaching. More than 1,800 young doctors will complete their studies by that date and then choose their specialization. Beyond the measures you have already taken, one of the nodes of this catastrophic situation is the insufficient amount of internships, but also the funding that needs to be secured. Madam Minister, we are at the foot of the wall. How will we move forward towards greater efficiency and to avoid dramatic situations in this area by 2018?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u34	Madam President, Minister, I have already asked questions about the problem. My question is once again a question of the state of play. I also ask my question to go a little deeper into a few options that are now on the table. The Planning Committee has, not so recently, made a quantitative prediction of the effects of the double cohort. It was based on the current state of play, but taking into account the most favourable circumstances, namely that students would also adapt their specialisations according to available placements and that the Communities would function as communicating vessels in the event of a shortage of placements in one Community and a surplus in the other Community. According to their calculation, there would be about 1 500 internships too short. I don't want to spread too much about these communicating vessels, but you can imagine that I think it's a communicating vessel in one direction. The deficits in Wallonia are a lot larger than in Flanders, given that the quotas have not been taken into account in Wallonia, but the current inflow which has not yet taken place without an entry test. You have already taken some steps to increase the capacity of internships. There was an increase in the budget and there was also the relaxation of the recognition conditions for internships. It's not an easy exercise either. Nevertheless, it is important to bear in mind that it is not just about a figure but that the quality of training must also be maintained. There is already a certain increase in the number of places available. However, according to the Planning Committee's investigation, the deficit would appear to be visible in 2017 for at least one third of the specialities and in 2018 for two thirds of the specialities. On top of that, the general practitioners in training will also have to spend six months in hospital for which the necessary places in the hospitals will have to be provided. Madam Secretary, my questions to you are the following. To what extent are the measures you have announced already visible today or to what extent do they already have an impact on the analysis carried out by the Planning Committee? What additional measures are still in the pipeline? The High Council of Medical Specialists and GPs calls, among other things, for an increase in the number of doctors in training per training place. Do you think that this is a viable map, albeit with due regard for the quality of training? A national survey of doctors-specialists in training has revealed the extent to which they are accompanied by doctors other than their own internships. The VASO therefore also advocates the recognition of internship services that can act as a central training centre. How do you feel about that? I have heard of other slopes, such as the opt-out principle, which would reduce the number of hours of compulsory internship. I have also heard from students that in this context they fear that only the interesting work at those hours would disappear and that they will remain with a relatively larger administrative block. If one could assure that this is not the case, it would not be such a bad option. I'd like to hear from you first what's still in the pipeline.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u35	Madam Chair, Minister, the Interuniversity Committee of Medical Students (ICUM) is concerned about the future of medical students who will complete their basic training in June 2018. Indeed, that year, following the reduction in the duration of studies from seven to six years, which came into force in 2012, we will have to deal with a double cohort representing some 2,000 students in the Wallonia-Brussels Federation who will then have to choose a route of specialization. The problem is that, due to lack of financial resources in particular, there will not be enough quality internship places for all these students in the process of specialization. This situation is all the more unacceptable given that the problem has been known for years and that, until now, nothing concrete has been undertaken to prepare for the arrival of this double cohort. Minister, what initiatives have been developed to ensure the future of these students and to address this issue? When will concrete measures finally be put on the table? Do you continue to discuss with federated entities as well as with university and student representatives in this context?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u36	Minister, I am not going to repeat the findings since they have been made. I refer to the leads that you mentioned when we discussed the 2017 budget. You have sought advice from the Superior Council of Specialists and General Practitioners. You propose, for specialist doctors, to relax the requirements vis-à-vis trainee teachers (in number of years of experience, participation in research, publications, etc.).). For applicants, you plan to expand to extra-mural internships, strengthen research and support internships abroad. In addition, for general practitioners, you were planning to reduce the share of internships to be carried out in hospital settings. You said there was a legal analysis of this possibility. I wanted to ask you about developments in this area, but also about the proposals made in particular by the Belgian Group of Omnipratists (GBO) with regard to general practitioners. According to the GBO, there are internships that it would be interesting to follow and take advantage of the dual cohort situation to experiment with them. This refers to internships in places where there are specific approaches, namely places where drug addiction is monitored, family planning (contraception, abortions), places of research in general medicine, environmental medicine, ONE, etc. Minister, how do you look at these different avenues? How do you view the programming of their funding while knowing that this double cohort will exist for one year and that the following year it will no longer exist? It is therefore necessary to consider an increasing budget and a falling budget, which requires a reflection on the organization of internships. I would also like to ask you a more specific question about the additional budget of ten million that you planned in 2016 for internships in non-university hospitals? Do you intend to make this structural measure in order to broaden the possibilities of internships?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u37	Madam President, I note that Mrs Muylle is not present. This is not the first time this has happened. Shortening the duration of medical studies results in a double cohort of graduate students in 2018, which will have an impact for the entire duration of the professional training of this cohort. This ranges from three to six years, depending on the specialties. You are quoting a report from the September 2016 planning cell in which the estimated number of internship places was 1,500. But an updated study has found a substantial increase in new approved internship places, and thus in compliance, since July 2017. We would still need 900 places in the French Community and 300 places in the Flemish Community, a total of about 1,200 places. This can of course be explained by the fact that too many students have always been trained on the Walloon side. As a result, we are now faced with a greater shortage of places. A continuous increase in new approved internship places is desirable and possible. In this context, however, care must be taken not to maintain a certain overcapacity and to preserve the quality of the traineeships. On this last point, I share the view of the Higher Council of Specialist Physicians and General Practitioners adopted this year. Several legal provisions have already been made more flexible in order to facilitate the approval of internship places. For example, the ministerial decree of 23 April 2014 was amended in order to reduce the required seniority of trainee teachers from eight to five years and that of their collaborators from five to three years. At the same time, the functioning of the training teams for the follow-up of candidates has been strengthened. This is a global figure, which does not rule out that some specialties face greater challenges than others. The analyses are based on historical distributions of specialization choices, but it is very likely that applicants will move more towards future courses, where a shortage of specialists is reported, and to specializations that offer vocational training and internship places. The policy cell has already had several constructive consultations with the deans of the faculties of medicine. A new consultation is planned to examine, together with the deans, the internship capacity as a whole but also by sub-specialism. The aim is to develop an integrated inventory of placements across all training networks. Consultation also takes place with the professional federations of doctors. As regards the additional funding for the training of doctors-specialists, the 2016 Medicomut indeed provided for a sum of EUR 10 million, but the partners have not yet been able to distribute this amount. I would also like to ask what the role of insurance institutions can be in professional training. In December 2016, I sent a new request for advice to the Conseil Supérieur des Médecins Specialists et des Médecins Generalistes with several concrete proposals. The aim is to identify criteria that can be relaxed without jeopardising the content of the training. In the meantime, there are also useful contacts with the representatives of the students and the doctors in training, in particular the VASO, the VGSO, CIUM and FEV. At my request, these organisations were also heard at a meeting of the Supreme Court of Medical and Medical Experts on 23 February. I intend to continue to involve these representatives closely in the discussions on the issue of internship capacity and on professional traineeships in general. The recommendation of double cohort of the Supreme Court has now been validated, on 23 March last. I'll give you the elements in it. As far as general medical practice is concerned, efforts should be made to increase the number of students who opt for this training, in view of the penuria. A particular problem is that, together with the double cohort, the internship duration for general practitioners is increased from two to three years and that a hospital placement is provided for six months. In view of the coincidence of these new professional training requirements, further research is also needed to avoid the hospitalisation stage becoming, as it were, a bottleneck in the training, which hinders the final recognition of the candidates. We must also ensure that there is no competition between candidate specialists and general practitioners for these hospital placements, which will not be improved by either group. It will therefore be examined whether a transitional arrangement could be developed in the Ministerial Decision of 1 March 2010 on the recognition standards for general practitioners. This transitional arrangement must be in accordance with the European regulatory framework. On the French-speaking side, reference is made to the shortage of training places for general practitioners, particularly in hospitals, and the need for a solution. As far as specialists are concerned, there has been a significant increase in the capacity of internship services in recent years. This will be further mapped out and it will be examined whether the placements can be effectively taken. Other instruments to absorb the double cohort include the reduction of working time during training to 48 hours. Forty-eight hours, that will not only be for administration, but we will certainly have to include them in the necessary skills. If we want to monitor quality, I believe this is necessary. European regulations also provide for the possibility of part-time traineeships. At present, Belgian regulations only provide for full-time traineeships. Within a number of specializations, however, there is a demand for part-time internships, but of course accompanied by a pro rata extension of the overall internship period, which is also important. The Ministerial Decision of 23 April 2014 on the general recognition of doctors-specialists, internship services and internship masters provides, in addition to the regular knowledge placement services, so-called specific internship services. In these internship services, a candidate may acquire, within a maximum period of six months, a certain competence which is not immediately part of the pathology or healthcare portfolio in other regular internship services. These specific traineeships may constitute an additional capacity. It looks at how it can be recognised effectively for the sequential training of multiple candidates instead of the current model, with a notification to the FPS as recognition for the training of a doctor. Finally, there is also the influx into placements of foreign doctors from the European Community, including in the context of Article 145 of the Health Care Occupations Act. There is also an important influx into training places of doctors from outside the European Union for special training, with visa waiver, as provided for in Article 146 of the said Act. The government is examining the slopes in order to limit this influx, so that capacity is available for the Belgian doctors in training and at the same time there are better guarantees for the quality of the internships in general. An additional problem is that there are in fact more foreign doctors in the francofon part participating in these traineeships than in the Dutch part. That's the reality. It was interesting, at one time, for universities to have foreign trainees. Today, we are faced with such a situation that one third of the trainees are foreigners. This prevents our students from having access to free places.
