ParlaMint-BE_2017-02-22-54-commissie-ic606x.u1	Frau Jadin, sie haben das Wort. Is that okay with German?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u51	And is Parliament satisfied with that? We must control the government, Mr President. This isn't funny!
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u52	You shouldn't accuse me.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u53	You could support a member of the committee's question to the minister, but you think the minister can say what he wants here; you don't care. That's your answer.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u54	I am above MEPs and ministers.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u55	That's obvious. I don't think this is serious.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u56	Mr President, Minister, we were very surprised to read some information in the press, in connection with the mobility budget, but also to learn what is clearly happening within the department. Indeed, in the 2017 budget, the government announced a mobility budget. You have been asked many times about how things will be put in place in practice, considering that the competences of several ministers are engaged. Some ministers had made announcements, including Mr Reynders in particular, who had announced on television sets that workers benefiting from a company car could choose in the future to have a wage increase of around 450 euros per month to replace that car. Mr. Minister, you were more cautious because, when you read your policy note, you could notice that nothing was, in fact, really decided. You told us that you were only going to discuss it in April with the Minister of Mobility in particular. It now comes to my mind that the FPS Finance has launched a call for tenders to define the concept of mobility budget. I'm not hiding from you our astonishment. Why such a call for tenders when, visibly, within the government, things are not yet finalized? Why, therefore, cannot consultation and reflection take place within your administration itself? In addition, I read in the general provisions: "The purpose of this contract is to establish a framework within which workers who own a company car (with or without a fuel card) can opt, with the agreement of their employer, for the exchange of the company car (and, where appropriate, the fuel card) against a mobility budget." So you're starting from the principle of leaving the choice to the employer whether or not to propose an alternative. If that is the case, I think that this project is very unlikely to lead to a revolution in mobility. What, then, is your position, Minister?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u57	Mr. Secretary, you have launched a public invitation to tender. In my question I refer to the number of the public contract relating to the setting of a framework for the conversion of a company car into the mobility budget. However, the interprofessional agreement of the social partners states that they would develop that framework by 31 March 2017. You didn't wait for that. That is why I have the following question. What is the impact of the social partners on the timing they have agreed on, on the public contract you have signed?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u58	Mr President, Mr Laaouej and Mr Vanvelthoven, as I said in my general policy note of 28 October 2016, I am not only concerned, but I am also concerned with the Ministers for Employment, Social Affairs and Mobility. In view of the complex approach of the mobility budget, it was decided to carry out a comprehensive study which was not limited to tax aspects. It will then be analysed by the various competent ministers and their administrations. Indeed, Mr Vanvelthoven, the social partners agreed in IPA to look at how a mobility budget can be worked out by 31 March without additional costs for employers, without loss of wages for employees and without negative impact on the budgets of social security and public authorities. The public tender to which you refer with regard to establishing a framework for the conversion of a company car into a mobility budget also stipulates that the contract must be terminated by the end of March 2017. Both proposals will then be discussed and considered within the government.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u59	Mr President, we do not learn much more. I confess that I do not understand very well the interaction between this and the government process. I imagine that this proposal for a contract has come through the government, that there is a concerted effort to coordinate, since we are told that several ministers are involved. Obviously, we still don't know where we're going. I do not hear Mr.Minister confirm or overturn the fact that we are moving towards a model where the employer's agreement is needed to implement the famous mobility budget. So, we're still with a lot of questions. I am also surprised at the lack of social consultation. A public contract is launched without social consultation on an element which still affects wages. It's not nothing. I think I'm getting out of here with more questions than when I came in.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u60	I note, Minister, that the timing of both is the same. It would seem more logical to me that, of course, everyone has their own approach, so that, on the basis of what the social partners are now working out, they can still draw up a public contract in order to refine it further or to transpose it into legislation. I feel like people are working side by side here. There was a time when there was a tripartite dialogue between employers' organisations, workers' organisations and government and they were trying to reach a conclusion together. Here I see that two parties are working together and the third party is working separately. I think we differ on the approach.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u61	Minister, if I understand the timing correctly, it will be by the end of March. Will we have an opportunity to have an exchange of views in the Finance Committee with the relevant ministers? Studies and analyses were requested. Will we be able to discuss this important structural change, which potentially affects 600,000 people?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u62	You can request this in order of business next week. We need to agree on the people we're going to hear and when.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u63	Mr President, Minister, Parliament recently passed legislation extending the tax shelter regime to the performing arts. We have had interesting discussions on this important subject, which is a good tool for the development of culture. However, I would like to share with you the reasons why the government has excluded non-classical music from the scope of application. In the debate, you replied: "With regard to the eligible musical genres, it was decided to limit the benefit of the measure to classical music productions. These are performances whose production requires considerable resources, particularly as regards musicians and instruments. This means that productions of this type can only be carried out with tax shelter financing. This is a fundamental difference from contemporary music." As much as we understand the relevance of supporting classical works, we do not understand why it has been decided to exclude purely and simply contemporary music creations. Is it just for budgetary reasons? Have you quantified the impact if contemporary creations were also eligible? Is there any other reason than the budgetary impact?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u64	Mr Laaouej, the scope of the tax shelter for the performing arts has been determined on the basis of several criteria. Preparations for the adoption of the law have led my services to meet with the various sectors concerned and to identify the most urgent needs. As a measure of budgetary prudence, the government opted for a selection of the most appropriate eligible genders for this support. It was not possible to quantify an impact if contemporary creations had also been eligible. In view of the functioning, the budgetary impact and the evolution of the scheme, the genders concerned could still be adapted. Since this is a new regime, it is nevertheless important, as a first step, to observe how this new measure will be adopted before considering possible enlargement.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u65	Minister, I take note of your answers. We'll probably have an opportunity to get back to it.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u66	Mr President, Minister, the principle of transparency regarding legal constructions in tax havens is a good principle, which is essential. We have been saying that since that tax came into force. On the other hand, what we also regret and denounce is the enormous loopholes in the law, which are the subject of articles in the press. These flaws have two consequences. First, the expected budget return of $460 million on an annual basis is impossible to achieve. Could you take stock of the 2016 performance? Secondly, mechanisms are in place, sometimes under the care of the Ruling Service, to avoid this tax. This is the case that has been reported by my colleague Peter Vanvelthoven, for example. Distributions made by trusts, whether in the course of their life or in the process of dismantling, are not taxable. Some tax lawyers are surprised that the breach that exists in the law is not sealed. Minister, could you take stock of these flaws and explain why you are clearly not going to act to make the scheme more effective and fair?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u67	Mr President, Mr Laaouej, the revenue in question is based, among other things, on personal tax and the personal allowance. My administration as well as the collaborators of my strategic cell are following the evolution of the Cayman tax very closely. I asked them to analyse the problem in detail. As has already been said, if the law were to be adapted, I will not fail to table a bill with the government as soon as possible in order to remedy this situation. We have already done so, as you know very well, in the past through the programme law of 26 December 2015 and we will do so again if necessary.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u68	Minister, thank you. I take note of your answers. I note that you do not close the door to an adaptation of the legal text if your services confirm that there is indeed a breach in the device. As for the assessment of budgetary performance, I can imagine that it may still be a little too early, but we will come back to you, when the budgetary adjustment takes place in April or May, to see if the target of $460 million has been achieved or not. That's one of the big questions we'll ask you.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u69	Mr Friart is not here.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u70	Dear Minister, you know that in the meantime I have made a number of pleas for a green tax shift, a third green tax shift with a view to achieving our climate goals and greater sustainability. We could do that by effectively shifting from labour burdens to more polluting consumption and production. Recently we also had Minister Marhgem's proposal on the carbon tax. It has opened a debate on this subject and will be further investigated. Hence my question to you. I have read a recent report by the European Commission which gives an overview of Belgian environmental policy, in particular environmental tax. I found it striking and interesting to read that Belgian income from environmental taxes is among the lowest in Europe. In the lists we often belong to the highest ones, for example as regards the burden on labour and some other income. In this case, however, we are at the lowest. That can be said at some point. Environmental taxes amounted to 2.05 % of GDP in 2014 compared to an EU average of 2.46 % in 2014. Energy taxes amounted to 1.23% of GDP compared to an EU average of 1.88 %. In the same year, environmental tax revenues accounted for a total of 4.53% of all income from taxes and social security contributions compared to an EU average of 6.35%. The European Commission will then go further in its report. On the basis of all these objectives and findings, it notes that there is a large margin in Belgium for organising a tax shift from work to environmental issues. In particular, she says: "In a good practice-based scenario, these taxes can generate an additional €3.45 billion by 2018 and reach almost €7 billion by 2030, both in real terms 2015. This represents an increase of 0,8 % and 1,35 % of GDP in 2018 and 2030 respectively. These are already relevant amounts. In recent years, this government has taken a lot of steps towards greening or making our taxation more sustainable, also in order to make our environment and our environment more sustainable, including by increasing excise duties on diesel and reducing them on petrol, thus eliminating the benefit of diesel from the past, and by increasing the rejected expenditure on employers in the context of fuel cards. However, the Commission is convinced that our country can do even better and can do even more to bring about a greening. It would not be a bad thing to continue with this, at least to launch an investigation. In addition to the work started by Minister for Energy, Mrs Marghem, this needs to be done more widely. Not only a carbon tax should be considered as an option, but this debate should be considered in a wider range of possible environmental tax and energy tax. Firstly, have you been able to take note of this report from the European Commission? If yes, what are your findings, comments or conclusions regarding this report? Secondly, will you carry out research and put forward proposals in the long term to achieve such a green tax shift? If yes, what measures do you intend to introduce in the relatively short term and which in the relatively longer term? Thirdly, will you discuss this report with the regions, because they have a very important competence in the field of environment and energy? Will you come up with an action plan to achieve such a tax shift in cooperation with the competent regions? Fourthly, will you take part in the initiative of your colleague for Energy, Mrs Marghem, and put forward proposals in this context, perhaps wider than that carbon tax?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u71	Mrs Smaers, I have indeed taken note of the European Commission's report to which you refer in detail in your question. However, I would like to point out that the figures used in this report refer to 2014. As you know, we have now increased excise duties on diesel at federal level and reduced them on petrol. We have also increased the expenditure rejected for workers in connection with the tank cards. In addition, the government is working on the introduction of a mobility budget. That's what it was about a while ago. The aim of this measure is to provide workers with alternatives to the company car without any loss of purchasing power. As far as the actual figures are concerned, we are indeed slightly below the European average. We are 2.05 % just on the figures of France and Germany. I just want to point this out. As far as the regions are concerned, there are indeed many taxes in Belgium that belong in the regional sphere. This certainly applies to traffic taxes. According to the report, this is the largest potential source of revenue when it comes to environmental taxation. This traffic tax does not fall within the jurisdiction of the federal government. In the context of this discussion, I would also like to refer you to the September report of the European Environment Agency. This report points out that a shift from labour taxation to a green tax does indeed allow a tax shift in the short term, but may be a problem in the long term. Indeed, the taxable basis will be reduced by increasing the valuation. This may in the long term be a problem for the financing of a tax shift. A green tax shift as such was not included in the coalition agreement either. I say this for the sake of completeness. Nevertheless, I am curious and will cooperate without prejudice on possible initiatives. I am particularly interested in the results of the working groups convened or to be convened on the initiative of Mr Marghem. There is no doubt that the conclusions or results of these working groups will be discussed within the government.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u72	Thank you, Minister, for your reply. I continue to believe that we will have to do this in the long term if we are to make greater use of climate objectives, greening and sustainability. I am thinking, among other things, of air quality. I know that this was not included in the coalition agreement, but this does not prevent us from preparing for the next legislature. For example, we could prepare a ready-made package that could be introduced at the beginning of the new legislature. That would be very nice. I understand that there is more to it than just asking for figures and the like. Economic side effects may also arise. That's right. A green tax shift gives behavioral changing and behavioral driving impulses. This can lead to a reduction in the taxable base in these areas, because it is precisely with this green tax shift that it is intended to deal with the behaviour of taxpayers. However, we are all convinced that these green tax measures, or at least environmental and energy taxes, will not in the long term be the only taxes that can be applied in Belgium. There's room for a tax shift. There will still be a lot of other taxable bases. I believe in that. So I think there is still room and there can be room to bet on it in the future. I'm still a big believer.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u73	Mr Minister, this is an oral question following some of the written questions I have put to you, and the answers to them, because I want additional information and clarity. In the answer to my written question No. 1130 you have stated that the division applies not only to the rental of a room with associated services, but also to other cases. In addition, you replied that if a private individual participates in the transport of other private persons, acting as a driver, through a recognised online platform with his own car, which is to be regarded as a global service, an activity which, as a whole, is 100% subject to the tax regime of the collaborative economy. Therefore, you do not think that the remuneration should be broken down. Although, from your answer, I cannot be certain whether the non-division constitutes an obligation or merely a possibility or tolerance. This is, of course, important in order to know how quickly the maximum of EUR 5 100, indexed, could be achieved. First of all, can you say whether the non-division is a possibility or an obligation? Secondly, if you consider that the situation in question constitutes a global service, can other similar situations be considered as a global service, for example selling on an online platform of home-made dishes as a hobby cook, while at home the dishes are provided by the same person?
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u74	Mrs Smaers, on your first question, in the event that was put with your question No. 1130 did not concern the own car which was made available for a fee but provided the private owner with a service, in this case the transport of private persons for which he used his own car. For that purpose, he shall not receive any income from rental, lease, use or concession of that car as such, but only a remuneration for a service provision. In that case, the remuneration for that provision of services cannot and should not therefore be split up and, as a whole, constitutes a diverse income to which the tax regime of the collaborative economy applies. The non-division is therefore mandatory and no possibility or tolerance. Secondly, you ask whether other similar situations can also be regarded as a global service. That question must always be assessed on the basis of the factual and legal circumstances specific to each case.
ParlaMint-BE_2017-02-22-54-commissie-ic606x.u75	Thank you for your answer.
