Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VandenBurreGilles	Vanden Burre, Gilles	M	1978	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VandenBurreGilles	Vanden Burre, Gilles	M	1978	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	JadinKattrin	Jadin, Kattrin	F	1980	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	JadinKattrin	Jadin, Kattrin	F	1980	
ParlaMint-BE-en_2017-03-29-54-commissie-ic633x	ParlaMint-BE_2017-03-29-54-commissie-ic633x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-03-2017	2017-03-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
