ParlaMint-BE_2017-02-01-54-commissie-ic579x.u1	Debates of the European Parliament Mrs Ben Hamou's 14536 will be converted into a written question.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u12	Mr President, the CCB has no indication or information on any cyber attacks that would be particularly directed against politicians' computers or the political parties' IT networks in Belgium. However, I am convinced that the challenge is delicate and important and that we must work preventively. My cabinet did indeed meet with the cabinet of Secretary of State De Backer on this matter last Friday, who is responsible, among other things, for respect for privacy. During that meeting, the Secretary of State's cabinet clarified that his reflection mainly concerns the protection of information and personal data held by public administrations or the protection of civil society leaders such as politicians, who could be the target of attacks. At the meeting, it was also agreed with the Secretary of State's cabinet that it should prepare a detailed note on its powers directly related to the tasks of the CCB. On the basis of that note, we will consider what actions we can consider, where appropriate, to improve cooperation from the point of view of respect for privacy and strengthening data protection. In the meantime, I have also asked the CCB to examine this application. A reflection could be that parliaments should cooperate with the CCB in order to examine the support that can be given to preventive work. You rightly refer to certain dangers in your question. Very recently, the hacking of the US Democratic Party during the presidential campaign showed that there is a risk. In the light of current events, the CCB has recently consulted with several similar European services on the risk of cyberattacks against political or civilian targets: political parties, mandates or even elections. Finally, I would like to point out that public administrations are already raising awareness through the BelNIS platform, which brings together the various IT security experts from the departments concerned.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u13	Mr Prime Minister, thank you for the many good elements in your reply. I am glad that there have been no attacks on politicians or political parties, nor that there are indications of such attacks. I will not hide the fact that our party and undoubtedly other parties show more care. As a result of the incidents and reactions from Germany, for example, our party has expressly urged all its Members of Parliament to be sufficiently careful about their Internet usage. It is mainly about checking both professional and private accounts. Mrs Clinton's hacking wasn't done through a government account either, but through her private account. There must be sufficient care. There has been no direct cause and hopefully there is no direct cause at the moment, but a warned man is worth two.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u14	The President: Question No 15664 by Georges Gilkinet will be dealt with by the Committee on Justice.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u15	Mr President, Prime Minister, from February 5 to 10, you will visit Israel and Palestine. What will be the program of your visit? Do you intend to address, with your counterparts, Israeli and Palestinian, the recommendations of the resolution on the Middle East peace process, adopted by our Assembly at the end of 2016? As a reminder, it provides for a firm position on administrative detentions, a freeze on colonization and labelling of settlement products. Since the tabling of my question, we have unfortunately received disturbing information, particularly on the continuation of colonization. This is how I was able to read this morning that Israel had announced the construction of an additional 3,000 settlement housing units in the West Bank. Thus, since Trump's swearing-in on 20 January, Israel has given its final green light to the construction of 566 housing units in three occupied and annexed settlement areas of East Jerusalem and announced the construction of 2,502 housing units in the West Bank. Last Thursday, the Israeli municipality of Jerusalem gave its final agreement for the construction of 153 new housing units, according to Israel, following pressure from the Obama administration. This is a worrying situation and I would like to know whether this issue will be addressed during your trip and what your position will be on this matter. Yesterday, unfortunately, I received information that a 12-year-old from the Circus School had been placed in administrative detention since Friday, for a period of 31 days. We know that this circus school is already heavily affected because one of its animators has been in administrative detention for many months. I would remind you that this project is also supported by Belgium. A campaign is being conducted around this arrest and the issue of administrative detentions. I invite you to read again the resolution we voted at the end of 2016. What position are you going to adopt? I was also questioned by Oxfam, which has faced many problems in implementing a humanitarian programme in Area C, particularly in the E1 area you probably know. This programme, funded by Belgian Cooperation, aims to support vulnerable Bedouin communities. There are many difficulties in implementing this programme. In particular, two workers were arrested. One was released immediately and the other was released after four days. There was confiscation of equipment, an evacuation order, challenged by Oxfam lawyers, and a request for an injunction that was accepted. A court hearing will be held in September 2017. Finally, there was partial demolition of 300 metres of barriers and a gate. Too often we hear this kind of thing, which seems to continue. Prime Minister, what about the request for compensation for these projects funded by our Cooperation that are permanently destroyed?
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u16	Mr President, I will be on an official mission to Israel and Palestine at the beginning of next week. I will have the great pleasure of being accompanied by a delegation of parliamentarians, including Stéphane Crusnière. I will therefore have political meetings with the Israeli President and Prime Minister and with the Palestinian Prime Minister, the Palestinian President being on tour abroad at that time. With regard to the resolution on the Middle East peace process, adopted by the House in November 2016, I intend to address the various points with both my Israeli and Palestinian counterparts. The question of the peace process is quite substantial and we urge that progress be made. We call for the practical implementation of the two-State solution and support all initiatives that create an enabling environment for the resumption of negotiations between the two sides. We have supported, as you know, the conference initiated in Paris, in all the talks we have had in the margins of the UN General Assembly. We have clearly expressed our support for this initiative. I will also call on the Palestinian Authority to carry out, as effectively as possible, the intra-Palestinian reconciliation process, which is also an important element for progress to be made. We fully support the European Union's efforts to bring the parties closer together through so-called measures on the ground, stating that the two-state solution is still on the agenda and is still the solution we support. This implies that the Union must play a more important role in the region. It must support and participate more actively in my view in reviving the peace process. Finally, as you have said, I would like to recall our opposition to the colonization policy, which threatens the very possibility of a two-state solution. It undermines trust between the two sides and the settlements as an obstacle to peace and a violation of international law. We are concerned about settlement activities, the violence that sometimes exists, and the destruction of homes in the West Bank or Jerusalem, which, I would remind you, threaten the two-State solution. The Security Council resolution of 23 December 2016 is very clear in this regard. Settlements have no legal basis and constitute a flagrant violation of international law. I will also address, as you mentioned, the destruction of humanitarian projects. I have been Minister for Development Cooperation in the past. It was already a subject of great concern to me at the time. I will not fail to address these issues. With regard to the more individual points that you have mentioned, I would also like to highlight them in the political dialogue. Finally, on the issue of differentiation, you know that in recent years the European Union has already adopted measures to distinguish between Israel and the colonies, and we are working to ensure that, as far as possible, the European Union adopts common positions on the subjects in question. I will also recall our observations and comments on the technique of administrative detention that you mentioned. Finally, on the recognition of Palestine as a State, our position is the same. There is a parliamentary resolution that gives the government the mandate to recognize Palestine, appreciating the timing of this recognition. You can see that this mission is taking place in a delicate moment. This is indeed a time when the peace process is rather broken down, in great difficulty. This is a time when there is a very lively debate in Israel on colonization with the possibility of legislative acts being passed in the very near future. This is a delicate moment, but I am going to carry an extremely clear message. This message is for the Israeli and Palestinian sides. I will ensure that our country, within the European Union, can play as useful a role as possible in order to increase the chances of progress in this important context, which has repercussions not only in the territories concerned, but also throughout the world.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u17	Prime Minister, thank you for your answer. I am fully aware that we are experiencing a delicate and difficult time. It seems essential to me that we can continue the diplomatic actions undertaken with a view to achieving this two-State solution. Unfortunately, for too many years, we have seen that international law has been violated with impunity. Moreover, the reactions of our country or the European Union remain insufficient in view of the violations that are committed on a daily basis. Since I have been in Parliament, I understand that our choice is to try to draw up a European strategy, in any case to move forward at European level in order to achieve the objective of a two-state solution. I understand the logic. However, my feeling is that this may be the best way to never make progress on this issue. That is why I urge the government to be very firm on the aspects that I have addressed today and to be able, if necessary, to consider sanctions against that State, which unfortunately continues to violate international law.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u18	Prime Minister, I would like to ask you once again about Brexit, which is an important issue, and which I think will come back to the agenda of this and other committees on a number of occasions. I am asking you about what Mr Hammond, the British Minister of Economy, said. He said that the London government was prepared to change and make the British economic and fiscal model more attractive and competitive if it did not obtain access to the European market. Mr Hammond continued his reasoning by suggesting that London could lower taxes and charges for UK-based companies, so that they would remain competitive despite European customs duties. In the wake of this, the UK government announced that it would want to reduce corporate taxes by 2020, for example, to 17.6 per cent, compared to 20 per cent at present, which would give the country the lowest rate in all G20 countries. Secondly, the British Prime Minister outlined her twelve key principles for negotiations with the EU. Among these principles are the defence of the principle of a clear and clear break with the European Union, the desire to have an equal partnership, the desire to maintain cooperation in matters relating to security and the fight against terrorism, and a willingness to leave the single European market but to maintain wide access to it. It also referred to its wish that Brexit should undergo a transitional phase. I take advantage of the events of the last few days to update my question a little bit. I therefore come to the report of the high-level group, which was submitted to you two days ago, I think, as well as to the report of the Chief Negotiator, Mr Barnier. This report is quite alarming. It states that, in the worst case scenario, if my information is correct, companies should bear more than two billion euros per year in import-export taxes. The impact will therefore be important and they are not the only ones to say so. Indeed, no later than today, we read the analysis of an important firm in the press. This firm points to the lack of attractiveness that Belgium might present, since more than half of the companies that would relocate from the UK would choose Germany (54%) or the Netherlands (33%). Belgium is not even mentioned, either in the first or even in the whole of this classification. Measures should therefore be taken. Everyone is convinced of that. Prime Minister, the words of the British Minister of Economy are, to say the least, surprising. What is your reaction to this? Have you had any contact with your European counterparts? I know you'll have one this weekend, but maybe, in advance, have you ever had one with one or the other? If so, what are their reactions to the British Minister of Economy's statements? What is the attitude of Belgian diplomacy in this context? It is important that we be informed of this. Do you think the negotiations can start next March as planned? Did the 27 agree on the attitude to be taken in the face of London's demands? What is Belgium's position on the idea of introducing, as the Prime Minister wishes, a transitional phase for Brexit? What follow-up will you give to this report from the High Level Group that was presented to you two days ago?
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u19	Prime Minister, our country is, of course, a small country and its population, but a small country can also be large. We have often been so in our history. A small country benefits from many bridges, many open windows and few walls. Especially in the area of trade relations, we need bridges and open windows and doors. At the beginning of this year, the British Prime Minister stated that she is opting for hard Brexit negotiations. Either way, that has spooked us. We must pay attention to fiscal competition with the United Kingdom, for a race to the bottom that could affect governments in their budgetary hearts. We must also pay particular attention to the statements made by the President of the United States on his protectionist policy and his exit from the Trans-Pacific Partnership. The fact that they have already spoken to each other and he has announced that there may be a trade agreement between the UK and the US should be our focus. Mr Prime Minister, I was unable to attend the Royal Palace yesterday for personal reasons, but I have, of course, already read your speech and that of the King. I was pleased to endorse and support them, because it shows that you are vigilant and attentive to the problems that are currently occurring. However, I believe that some of our partner countries in the EU may already be a little further than we are in relation to the Brexit strategy. They also have it easier, given the structures in our country. I also think that the EU is not yet far away. One of our captains of industry has rightly pointed out that it would be wrong for each EU country individually to try to bake its cookies with the United Kingdom, because then we will all have cookies of our own, and then there will be one winner in the Brexit negotiations, the United Kingdom, and that is something we absolutely must avoid. Mr Prime Minister, I have a few questions for you. An interfederal working group has been set up. In the meantime, what is the situation there? How can we implement our strategy in a more concrete way, so that we can move forward there and catch up with neighbouring countries? We must have a strategy, not only with regard to the United Kingdom, but also with regard to the EU and those countries that would prefer to do it on their own. I can understand that some large countries can do this more individually and perhaps have a greater interest in doing so. As a forerunner in Europe, something we have always been, and of which you are a prime minister, we must avoid that. One of these strategies is that we act jointly towards the United Kingdom and also towards the United States to build bridges instead of walls.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u20	Mr President, I recall that the referendum took place on 23 June 2016. The decision is taken by the British people to leave the European Union. This decision is unprecedented. This is the first time that a Member State of the European Union has decided to leave this project, thus opening up a number of uncertainties. This also raises an existential question in relation to the future of the European project and the kind of impetus that can now be given to it. I have tried and will try to play a very active role in these negotiations because, in Belgium, we have political and economic points of view to make in the process. I met Theresa May in London in November, and I informed her of our concern about this uncertain situation. It guarantees that it will be able to make the notification as announced by the end of March 2017. In the meantime, we have more elements about the British intentions. Firstly, they want a hard Brexit, i.e. a strict and comprehensive withdrawal from the Union, secondly, they will leave the internal market and the customs union and, thirdly, the future relationship will, in their view, take the form of a free trade agreement. With regard to the position of the 27 Member States of the European Union at this stage, the statement we adopted with the 27 Member States on 29 June is still up to date. We must remain firm on the refusal to negotiate in any way before the notification takes place. It's now a matter of weeks. The same applies to the principle of the indivisibility of the four freedoms. In the course of the negotiations, we will have a number of points of attention. First, an attempt must be made to maintain a comprehensive vision and avoid the risk of sectoral or parallel negotiations. That's a clear risk. We must be particularly alert and I also gave that message to Michel Barnier in the context of a conversation we had a few weeks ago. Our country will be very alert and attentive and will remain for this important part. We agree with the British Government that at least a transition period will be needed. It is a very complex exercise, regardless of the political debate or the economic consequences that a transition will be needed. In my view, there are de facto two negotiations. A first negotiation will concern the modalities of divorce and a second negotiation will focus on the future of political, economic and security relations between Britain and the European Union. The issue is to properly organize these negotiations and processes in terms of methodology, so that we can have a lot of clarity on the first aspect before we can actually decide the arbitration points related to the second aspect. This will also be very important in the context of the negotiating timetable. One of the most difficult challenges we will face will be to maintain unity at 27, to avoid parallel or sectoral negotiations and to ensure that Belgium's own interests are defended. We are one of the countries potentially affected economically at the end of this Brexit. We have been preparing very actively for many months. We were active before the referendum, we are more active now. For several weeks now, I have taken the initiative of submitting proposals to the concertation committee. A first note was recorded. It concerns how to exchange information between the federal government and federated entities so that the Belgian position best reflects the different sensitivities of the governments of that country, regardless of the majority/opposition debates. Both the Minister of Economy in particular and the Government believe that it is necessary to have a very good diagnosis of the state of economic relations between the UK and Belgium on the one hand, and also to look at different scenarios. I think we are one of the first European countries to organise such preparation. So we have a very good note, a very good report, a very good diagnosis. I am quite clear: things are going to evolve. During the negotiation process, it will be necessary to continuously review and review the state of play, in order to have the tools to make as many good decisions as possible in the negotiation process. It is our intention to play an important role in this important exercise. I would also like to add that we are working very actively to make Belgium attractive in terms of investment. For example, at the recent Davos Summit in which I participated, we multiplied agreements with economic actors. The Brexit and its consequences were, almost every time, on the agenda of our talks. I have found – this is a positive point that needs to be highlighted – that, very often, for large companies with an international dimension, Belgium was on the shortlist of countries, in which they thought they could develop activities, in the coming years, following Brexit. This shows that we will have cards to play and assets to make: a very good location in the heart of Europe, the seat of many international institutions. A number of advantages are also recognized in the reception of expatriates, for a number of reasons including the presence of international schools, a number of points related to the multilingual nature of our population in general. This is a whole series of elements that we will have to highlight in this process. In short, it is obviously a delicate process that begins and to which we must be well prepared. We work intensively and actively. I will not fail to inform Parliament, whenever it so wishes, about the process in question. We will try to work closely with federated entities and economic actors to obtain the most useful information possible in the decisions that will have to be taken at each stage of this extremely difficult and delicate negotiation.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u21	Mr President, Prime Minister, thank you for your answers. This is indeed an issue that will take us and occupy the political agenda almost permanently in the coming weeks. We will have a regular opportunity to take stock of this issue both in committee and in the Committee of Opinion on European Affairs. I'll join you on one aspect. The economic impact of Brexit could indeed be important for our country and the various regions that make up it. It is therefore essential that we can all work together. When I say "all together", I think about the different levels of power, whether it be the federal or the regions, in particular, through the Concertation Committee. I also think that we will have to go beyond the majority-opposition divide, given the stakes for our country. I take note of your willingness to inform Parliament on a regular basis, because it is essential that we be involved in the negotiations, the steps taken or that we be, at any rate, informed. Yesterday, we had a very interesting interview with Herman Van Rompuy, who gave us a long presentation on Brexit, as part of the hearings on the future of the European Union. As far as I am concerned, I wrote to the President of the House so that the Committee of Opinion on European Affairs could hear the High Level Group so that it could have all the necessary information. Indeed, I believe that the issue deserves to be analysed in depth. In addition, the information gathered will inform our future debates.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u22	Prime Minister, we agree that a global vision is more appropriate than a sectoral and parallel vision. It is also true that a transition period will be needed. Britain remains a neighbouring country, so in any case we will have to live together in various areas, not just in commercial terms. In any case, we will have to make agreements. The analysis has been done. Now our country must develop its strategic structure further. In any case, this will have to be done on an inter-federal basis. As a trade partner, Britain is now more important to Flanders than, for example, to the south of the country, but nothing precludes that tomorrow is the opposite and nothing excludes that it is very relevant to companies in the south of the country by subcontracting. An interfederal approach and strategic construction are therefore in place. In any case, if we are to negotiate in the near future, it must be clear to the United Kingdom that free trade agreements can, but not in any form whatsoever. It would be unacceptable for countries that leave the EU or countries that make agreements with the EU for the future, in addition to commercial agreements, to have no minimum standards in the area of taxation and social law. We want to compete with everyone in the world. Our country can do that perfectly, but trade must be fair trade, taxation must be fair taxation and social policy must be fair. This includes minimum standards on which we agree with countries.
