ParlaMint-BE_2017-11-29-54-commissie-ic771x.u1	Mrs. Jadin isn't here, and she hasn't said a word.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u14	Madam President, Minister, some of my questions may have been somewhat overtaken by reality. Mr Minister, I would like to put my finger on the unacceptable circumstances in which some 70 soldiers had to stay in the KMS. They're military personnel participating in Operation Vigilant Guardian. Photos have appeared of overnight stays in classrooms that are in fact too small for so many people, barely toilets and ventilation. I have heard that the situation has improved in the meantime. Can you confirm that? It's not the first time we've had complaints. There were also complaints about the accommodation in Peutie, at the start of the operation, and later also about the rest spots in metro and train stations. So it keeps repeating itself. Threat level 3 will not disappear so quickly, so the soldiers from the street scene will not disappear. In my opinion, it is only a matter of respect for our army not to continue to accumulate such mistakes and to give normal and decent accommodation and framework to the military. Do you wish to commit that such cases no longer occur and that the remaining pain points are resolved? I also wanted to wrist you about the meals for the KMS military participating in the Vigilant Guardian operation. There were complaints about the too small portions at meals and about having to pay for extras, whereas this is not the case in normal units. I believe that this problem has been solved, but I would have liked to confirm it from you. Finally, I have a question about the most recent lodging of the operation Vigilant Guardian at the airport in Zaventem. That problem has not yet been solved, as I have heard. Staff must sleep in a tent under shelter at Zaventem airport. Some of the rest periods are situated there. There are complaints about nuisance caused by exhaust gases due to the location of the buses nearby. There is also traffic noise and such. Military people are a bit used to training in bad conditions, but this is an actual operation. Nothing prevents us from making the conditions and accommodation as good as possible, allowing them to carry out their airport security assignment sufficiently fresh, because that interests us all. An equipped military is an alert military. I would also like to talk to you about the blocks of patrols and the shifts they have to go through. For example, I received a report about a unit of soldiers who, out of the 15 days on the spot, could only sleep in a bed four times in the log, so not in that tent. There's some confusion because the patrol blocks and shifts aren't actually fixed. That may be a bit different depending on the moment. However, I am reaching several reports in which there are too many blocks of patrols. A patrol is a 12-hour block without sufficient rest and sleep periods in good conditions. That's the bottom line. I'm asking you to look into that again. These complaints are taken seriously in the army, but they have not yet been dealt with and remediated sufficiently. Please respond.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u15	Madam President, Minister, my question is similar. I shall confine myself to the explanation, since Mr De Vriendt has already opened the matter. It concerns the article published on 13 October on the situation in which the military stayed in the Royal Military School. Minister, soldiers are never in the front row to complain about working conditions. They always do their job with full surrender in the circumstances that are what they are. They are always willing to give up a piece of their comfort and privacy. That's what they're used to, and they've been doing it for years. They are willing to share rooms and sleep on cots, but there are limits. We must ensure that they are properly supervised. They complain, among other things, that they have to do 12-hour shifts and do this several days in a row. Is this true? Can you explain how these shifts are put together? What solutions do you offer to increase the comfort of our military specifically on that mission, not only for the stay on the KMS but also in other places? This is a recurring remark, as Mr De Vriendt said. One should offer the military the comfort they deserve so that we get well-equipped soldiers on the street.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u16	Madam President, Minister, my questions are of the same order as those of my colleagues. I also rely on an article I read, more than a month ago. In fact, around 19 October, the newspaper Het Laatste Nieuws echoed the dismay of some soldiers who expressed their discontent. A local television station in my region, Télévesdre, has also devoted a whole programme to this subject, namely that some soldiers who do their guard work in Brussels, to the greatest satisfaction of all of us, sometimes have to sleep up to 24 per room. They would have only three toilets for 70 people in the Royal Military School, with limited access to showers. Although I understand the difficulties of organizing and carrying out missions in a practical way, I still wonder. Minister, how can this situation be rectified? But first, do you confirm this situation? Since then, since my information goes back a month, have things improved? Should the necessary arrangements for deployment in the capital be reviewed?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u17	Madam President, Minister, my concerns are, of course, similar to those of previous colleagues. Our group has always welcomed the work of our military in this temporary mission, given the exceptional situation which constituted the level of threat in our country and which the public authorities, like the communes, have had to face. As colleagues have done, we therefore thank them for their work. However, it must be noted that the press regularly echoes the fact that the soldiers patrolling the streets of our capital complain about the conditions in which they are housed, such as the lack of showers, toilets or privacy. Minister, can you provide an update on the accommodation conditions of our soldiers under Operation Vigilant Guardian (OVG)? Have there been any improvements, particularly in terms of amenities, in order to improve these conditions? What is particularly at the level of the Royal Military School?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u18	Ladies and gentlemen, first of all, I would like to put this into context. It is not the case that the Minister decides that there will be 20, 70 or 100 people sleeping in the Royal Military School or in any other place. Those are operational matters. I've been asking you from the beginning to make sure these things go sideways. In the past we have had discussions here about the situation and kitchen of Peutie. In the meantime, the problems there have been solved. However, it is impossible for me to control and verify any whereabouts or any meal for military personnel. Mr De Vriendt, it is not for the sake of fire safety but for operational reasons that a number of soldiers are staying closer to the Brussels deployment zone. This has to do with the renewed form of commitment and faster availability. In this way travel times are limited between Brussels and Peutie. It is correct that the working time is long, but if the journey times are longer then everything takes longer. The Royal Military School's infrastructure is designed to accommodate students and provide academic training. So it's not a barracks in the traditional sense of the word. These existing infrastructures are designed to meet the needs of the OVG detachment. Following the publication of the articles, I myself started to examine the subject on the spot. A number of measures have been taken. In the short term, the living conditions of members of the OVG have already been improved. Improvements include a decrease in the number of persons per room and an increase in the number of sanitary facilities. The military personnel participating in the OVG are spread throughout Belgium. They have rest places in Puisie, Brasschaat, Amay, Florennes, Brussels and at the airports of Zaventem and Charleroi. Fire safety checks were carried out at all these locations. The workload for the military on commission may in some cases be 12 hours. This is not the case for all tasks in the context of Homeland operations, but it is not exceptional in the case of operational deployment. You know that the military are being deployed under the relevant arm's length, which means that they are also being reimbursed for a number of things. During the roll-out of the new operative OVG, the workload aspect was closely monitored and corrections were made where necessary. This situation is constantly being monitored. Since 16 August 2017, the Catering Service of the Royal Military School is no longer run by Defence itself. This service was outsourced. The preparation of the Catering Contract was based on the nutritional needs of pupils. However, before the media mentioned it, discussions were already ongoing with the catering industry and the soldiers. An adjustment of the menu and the availability of meals had already been made at the time of publication of those articles. Yes, it was specific about portions. It's not like there's extras in any barracks for free. Mr De Vriendt, menus can be ordered as they please, but a meal is provided as part of the operation. It's not like the kitchen used to be open at 9:30 in the evening, for example. But then they knew each other and they put a sandwich on the table and a packet of cheese in the fridge. The men or the ladies who came back could make a sandwich. In the meantime, that's been solved, too. Food is available for late arrivals. Remedial measures have therefore been taken. I can tell you that, like the defence staff, I take the staff's remarks seriously. We'll send you where it's necessary and possible. I'm going to go to Zaventem. Our people shouldn't be sleeping in a tent under a roof. There are specially equipped containers, where soldiers who are not on duty or on guard can sleep. In addition, there is a tent for the military who are of service, where they can rest briefly during the breaks during the execution of their assignment. So again we are talking about the new operative in which not everyone must always and everywhere be present statically, but must be available quickly. In that context, indeed, spaces are delimited with tents in which one can rest for a while. However, I assume that we will continue to monitor the situation. In the meantime, someone from the cabinet is also carrying out semi-inspections on a regular basis to make sure everything is okay. Finally, I would like to point out that it is important for me in this whole story that the chain of command, as it exists for the military, also works. That is to say, if a soldier has a problem with the plumbing, the food or whatever, he basically reports it to his immediate superior. That's how it finds its way upstairs. I'm assuming this system that's been running for centuries has to run the way it's supposed to.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u19	First of all, Minister, it is also your operational competence. You're Secretary of Defense, so you're responsible for that. Of course, you cannot personally check every meal, but we do expect that, if you get a signal, you will act quickly and that the complaints about poor accommodation will stop. After all, it's not the first time. There have already been such situations in Peutie, the KMS, Zaventem and a few other places. We just need to do a screening so that everything is put in order everywhere. Of course, I can only inform you of the situation in Zaventem. It is up to you to do something about it, but if these complaints continue to come in, we will of course not let that happen because we are concerned about our soldiers who have to operate in any case in difficult circumstances. They guard our safety and must be able to do so in an equipped way. If I am told that a number of soldiers in Zaventem of the 15 days on the spot have only been able to sleep four times in a bed in the planned block, that worries me. I think that's what you're worried about. That's not a normal way of working. I really want to ask you to check all this again and let your common sense play. There must be sufficient rest in good conditions for military personnel carrying out security orders.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u20	Madam President, Minister, thank you for your reply. My reply goes in the same direction as Mr De Vriendt's. You are right to say that you cannot control all operational matters. You remain, however, the ultimate responsibility of the Defense Department. So you do bear the responsibility. Solutions were offered and cases adjusted, but the repetition of comments indicates that there are and remain problems. I hope that these problems will be dealt with properly so that they do not arise in the future. I come now to your last comment on the chain of command and that the comments should follow that path. That is the normal course of action, but one has to ask oneself what is the cause of remarks that no longer follow the normal path of the chain of command. Probably there is a feeling that the problems will not be solved quickly enough. People get displeased about their situation. You are right to say that the chain of command must be followed and that action must be taken very quickly so that the problem does not arise in the future. Take it from me that I may raise new comments and questions again, because it is our duty, but also your duty, to defend our military and defence forces.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u21	Minister, thank you very much for your answer. I hear that arrangements have been made in response to the events of October. Like you, I believe that we all need to ensure that our military personnel carry out their missions in an appropriate environment, including adequate accommodation and rest periods. That is why we will continue to follow very closely the developments in their situation.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u22	Minister, like my colleagues, I welcome the corrective measures that you have just recalled. It seems to me that you are obviously responsible for the well-being of our military. It is therefore important to consolidate this responsibility. As far as the chain of command is concerned, I agree with you: we must respect it. However, it should be asked why it is not working properly at the moment.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u23	Madam President, in the replies I hear that my answer is perceived as if I believe that the soldiers should not complain and that they should follow the chain of command. I didn't say that. I did say that everyone in the chain of command has to take responsibility, or at least it has been my intention to answer that. I agree when it is said that I am at the top and that I am the final responsibility. However, I am also convinced that the system itself must at some point do its job and as a minister I expect it to do so.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u24	Mr Chabot, would you like to replicate?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u25	Madam Chair, I take note of the Minister's response.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u26	Madam President, Minister, the strategic vision refers to the replacement of the standard weapon from 2020 onwards. The standard weapon is still the FNC for most units. In recent years some units have been equipped with the FN SCAR. It would be about 4 500 pieces. Minister, do you confirm this number? Which units are currently equipped with the FN SCAR? Secondly, how many FNCs are still in use as a standard weapon? Are there any other standard weapons in use, such as the F 2000? If so, how many? Thirdly, how many standard weapons will be purchased under the strategic plan? Which weapon will be the new standard weapon? Fourthly, when will a decision be taken on this dossier?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u27	Madam President, Mr De Vriendt, in 2012 4 470 FN SCAR weapons were purchased in the different versions. The FN SCAR LSTD 5.56 millimeters, the FN SCAR LCQC 5.56 millimeters and the FN SCAR 7.62 millimeters. Only the 5.56-caliber is considered a standard weapon. Of these, 4 028 were purchased. In 2012 the patrimony of FNC and F 2000 was partially replaced by the SCAR and the P 90. To date, 14 568 copies of the FNC and 299 copies of the F 2000 are still in use in the units. It is intended to replace the remaining patrimony by the purchase of 688 P90 weapons and 9 427 multifunctional carbines of the calibre 5.56. The purchase procedure will show which multifunctional carabiner 5.56 will be purchased as a new standard weapon. The signing of the contract is scheduled for 2018 with a delivery from 2020.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u28	Thank you, Minister, for your reply and I have no reply.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u29	Madam President, Minister, at the end of last year, a number of people from the Counter Intelligence department of the ADIV wrote a letter in which they complained about a number of cases that were wrong in the functioning of the ADIV, including internal competition, incorrect flow of information, confusing communication with domestic and foreign partners and mistrust between the different departments. The content of the letter as well as the causes and consequences were in the meantime discussed here in this Committee for the Defence of the Land, but also elsewhere quite extensively, including in the advisory committee of the Committee I. Meanwhile, the then lieutenant-general also resigned from his duties as head of the ADIV and was appointed a successor. An audit was carried out by the Committee I in 2011. You delivered the letter which was also addressed to the Committee I in order to be able to carry out an investigation. In the meantime, what steps have been taken by the Committee I and the ADIV to improve internal operation?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u30	Madam President, Mr Buysrogge, the following measures were taken at various levels. First, the chain of command of the ADIV was revised with the aim of being more transparent and efficient. The control of the command was also revised. Moreover, a defence intelligence and security coordination centre is in being established, which will get the nice abbreviation DISCC. That coordination centre will be the only point in and of the ADIV in order to improve and simplify the flow of communication within the service. The internal processes of the ADIV have been and are constantly reviewed in order to respond more efficiently and coherently to crises or incidents. A thorough effort is also being made to strengthen coordination with the various partners, both at national level and at international level, through participation in various meetings as well as formal and informal discussions. The different actors and possible forms of cooperation were clearly defined and better aligned. Finally, a major effort is being made at both internal and external recruitment levels to ensure that additional staff are recruited.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u31	These are good measures, Minister. The problem has been known for years and proposals for improvement have already been made. It is now time to implement the improvements that are on the table. The revision of the chain of command is a good thing. Cooperation at national level can be much better. It is also one of the recommendations of the Terror Commission to strengthen cooperation with state security. It would certainly be interesting, as we have already discussed in the past, to invite the new top man of ADIV here, to hear his views on the matter. This seems to me to be a good proposal, which we must make in concrete terms in the light of a regulation of the work. Then we can see what the improvements bring about in practice.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u32	We will settle the work on 13 December.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u33	Debates of the European Parliament 21400 by Mr Calomne and No. 21065 by Mrs de Coster-Bauchau have been withdrawn.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u34	Madam President, Minister, recently NATO decided to strengthen its support for Afghanistan. Belgium has thus committed itself to sending some 30 additional soldiers in support of the NATO mission. Currently, 62 Belgian men and women are engaged in the Resolute Support mission in Afghanistan. Minister, what is the latest state of affairs in Afghanistan? What are the current costs of the Resolute Support mission for Belgium? What would be the additional costs of sending about 30 additional soldiers?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u35	Madam President, Mrs Jadin, the situation in Afghanistan is regularly described in the committee responsible for monitoring operations. In general, the security situation in this country remains fragile, including in the north where the majority of Belgian troops are active. The additional efforts of NATO countries are mainly focused on the Train, Advise and Assist part of the Resolute Support mission, in order to maintain the capabilities of the Afghan national defence and security forces. The costs of the Resolute Support mission represent, for the 2017 budget year, a total of €7,475,000 net for Belgium. The additional costs of sending some 30 additional soldiers for a period of 10 months in 2018 are estimated at a total amount of EUR 4,599,000 net.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u36	Minister, thank you.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u37	Mr Minister, first of all I would like to thank you, on behalf of the Socialist Group, for joining us in the mission to Lithuania on Friday. That was extremely interesting. We received information and were able to meet our soldiers on the spot. Minister, as every year, Defence will most certainly be called upon to make available, free of charge, some of its facilities or equipment for the benefit of the most deprived within the framework of the Great Cold Plan throughout the kingdom. My group has always strongly supported the principle of aid to the nation, which must be an essential mission of the army. As a reminder, for the first time, your government had called this principle into question by sending invoices – which were subsequently cancelled – as a result of budgetary restrictions affecting your department. Minister, has Defence ever been asked to develop and implement the 2017-2018 Grand Cold Plan? What infrastructure or equipment do you intend to make available? Will the provision of these resources not used by your department currently be made available free of charge?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u38	Mrs Fernandez Fernandez, the missions you mention concern the local level. That said, Defence has already been asked in the development of the 2017-2018 Grand Cold Plan, both for the provision of accommodation and for the donation of equipment. As always, Defence will be ready if requested by social organizations for the provision of host infrastructure in four provinces. These facilities are the Lieutenant Joncker Medical District in Liège, the Albert King Camp in Marche-en-Famenne, the Bastin Headquarters in Arlon, the Wispelaere District in Jambes and the Allaeys Aviation Warrant District in Coxide. As last year, social care is limited to the cost of food and sleeping cleaning, as well as to possible abnormal expenses, such as those related to deterioration. In addition, Defence will be prepared, at the request of social organizations, to dispose, free of charge and definitively, of certain equipment items, as in the past. These are sweaters, trainings, gloves, underwear, blankets and shoes that my department no longer uses. However, it should be mentioned that the quantities available are limited.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u39	Minister, thank you for your answer. I didn't say the Defense was doing nothing! The purpose of my question was to make sure that the actions it carries out were carried out free of charge. I agree with you when you say that the missions I mentioned are the responsibility of the Regions; however, I believe that Defence has a duty to assist the nation. I don't think we'll ever have the same vision. I will not fail to ask you again, even though I already know that your answer will be the same. We both have a sequel in our minds!
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u40	Minister, I'm still going to piss you off a little bit! This is far from the first time I have asked you about the critical situation at the Royal Military Hospital. For my group, as you know, the Royal Military Hospital is an institution that plays a crucial role in our National Defence, but also in the civilian care sector of our country. It provides essential services that civilian hospitals would find difficult to take care of, such as the service of the big burns, or the handling of disaster or bombing situations as we have, unfortunately, met a short time ago. The questioning of this hospital, as well as the announced minimization of the medical component, are choices that seem incomprehensible while the army wants to be more focused on operations abroad. As a result, medical risks could increase. In your strategic vision, you were trying to reassure us by saying that it is preferable to maintain a largely centralized and primarily military re-condition structure, both equipment and procedures different from equipment and procedures in the civilian health care sector. The facts speak for themselves. The outdated state of the building and the government's lack of consideration for the future of the institution are disturbing evidence of this. Your strategic vision, Minister, stated: "Risk studies and analyses under way with the FPS Public Health on its infrastructure capabilities must be completed in the short term." So what is the government's position on the future of the Royal Military Hospital, several months after my first question on this subject? What is the status of inter-cabinet consultations on this point? Can you also give us a more precise closing date for these analyses and for the conclusions you will draw from them? Do you intend to move certain missions carried out by the Royal Military Hospital to civilian hospitals outside the Neder-Over-Heembeek site or even the Brussels-Capital Region? What new military or civilian missions could the Royal Military Hospital provide in the future? What will be the consequences of your vision in dimensions rather than in components, where the doctor is absent as such, on the future of this institution? Finally, what is your assessment of the current state of the Royal Military Hospital building? Are investments on the current site planned in the near future?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u41	Madam President, Mrs Fernandez Fernandez, I refer first of all to my answer to your question No 13884 of 26 September 2016 and to my answer to question No 19353 of 14 June 2017 by Mrs Jadin. The translation of the strategic vision into dimensions does not, as such, have an impact on the Military Hospital. I've said it a thousand times. Support for the military in operation and the condition of the military will continue to be a priority of military medical capacity. It is based on three pillars: an operational pillar, a conditioning pillar and a support pillar. Medical staff in the operational pillar who are not deployed in operation or in exercise shall maintain their competence within the conditioning pillar. This pillar is centralized within the Military Hospital. Defence has proposed management approaches for the various modules of the Condition Pillar. These proposals were subject to an independent audit. The conclusions and recommendations of the Working Group, as well as the composition and terms of reference of the inter-sectoral and interdepartmental technical working group, which is expected to operationalize the work, have recently been presented to the policy working group, the inter-cabinets. You know there's a difference between firms and administrations. The cross-sectoral and interdepartmental technical working group considers options for collaboration with civilian partners, while respecting key defence missions, and thus prepares final conclusions that may be subject to decision. Pending final conclusions and decisions prepared by this cross-sectoral and interdepartmental working group, the necessary and urgent investments will be made on the basis of available budgets, including whether they relate to infrastructure at the Neder-Over-Heembeek site.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u42	Minister, thank you for your answers. After hearing you, my group and I are no more reassured, which is why we have tabled three motions, namely a motion to secure the future of the medical component and the Royal Military Hospital, a motion to urgently carry out the work that will make the Royal Military Hospital sustainable, and a motion to integrate the Royal Military Hospital into the hospital network to harmonize the medical supply with other hospitals. Madam President, I wish to conclude my speech by thanking you for your willingness to change the organization of our agenda and for allowing me to ask my questions.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u43	In conclusion to this discussion, the following motions were tabled. At the end of this discussion, further motions were tabled. A motion of recommendation was tabled by Julie Fernandez Fernandez, Karine Lalieux and MM. Stéphane Crusnière, Jacques Chabot, Daniel Senesael and Alain Top read as follows: "The Chamber, having heard the inquiry of Ms. Julie Fernandez Fernandez and the response of the Minister of Defence, in charge of the Public Service, asks the government - in the follow-up to the Strategic Vision and the audit carried out this year by independent experts, to ensure the future of the medical component and the Royal Military Hospital as prerequisites for the international projection of our military personnel, their well-being and health, as well as for several essential "nation support" missions currently carried out by the Royal Military Hospital; - to carry out urgently the work necessary for the sustainability of the hospital's facilities at its Neder-over-Heembeek site; - while preserving the "military" nature of the Royal Hospital, to allow, as part of the ongoing reform of the hospital landscape, its integration into a hospital network with a view to harmonising the medical supply with other hospitals." A motion for a recommendation was tabled by Mrs Julie Fernandez Fernandez and Mr Karine Lalieux and Mr Stéphane Crusnière, Mr Jacques Chabot, Mr Daniel Senesael and Mr Alain Top, and reads as follows: "The Chamber, heard the interplay of Mrs Julie Fernandez Fernandez and the reply of the Minister for Defence, with responsibility for Civil Service, calls on the Government - as part of the implementation of the strategic vision for defence and of the follow-up to the audit carried out this year by independent experts, to ensure the future of the Medical Component and of the Military Hospital of Lower Over Heembeek; without them, the deployment of our military forces in foreign operations is impossible and indispensable for ensuring their well-being and health; and the crucial task of providing assistance to the Nation that the Military Hospital is performing today should also be taken into account; - urgently carry out the necessary work to ensure the continued existence of the military hospital infrastructure in Neder-over-Heembeek; - to include the Military Hospital, while maintaining its military character, in a hospital network in the context of the ongoing reform of the hospital landscape and thus align its medical offer with that of other hospitals.' A simple motion was tabled by Mr. Peter Buysrogge. A simple motion was tabled by Mr Peter Buysrogge. The vote on the motions will take place at a later date. The discussion is closed. The motions will be voted on later. The meeting's over.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u44	Madam President, I thank the Minister and my colleagues for being so flexible.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u45	I breathe flexibility!
