ParlaMint-BE_2017-06-07-54-commissie-ic681x.u1	Mr Brotcorn's questions 221 and 222 were withdrawn from the agenda.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u12	Ms De Wit, in view of the problem underlying the judgment of 16 May 2017, it does not seem appropriate to ask for the reference to the Grand Chamber. There would only be a similar procedure on detention conditions in Merksplas at Belgian level. At the European Court of Human Rights (ECHR), 35 Belgian cases are currently pending, all thematically. When the ECHR pronounces a judgment of conviction, it usually indicates a lump sum, the equitable satisfaction which the State must pay to the applicant party as compensation for the infringement of its fundamental rights, and the reimbursement of the costs and costs incurred by the applicant in his defence. The procedure followed for such payment must be carried out within the time limits prescribed by the Court, i.e. within three months of the date on which the judgment became final. Because of the condition of the prison in Vorst, I decided to close a wing further. As a result, the border is now 180 prisoners and the conditions for detention and the detention regime have been significantly improved. The problem of the Lantin prison, called "the tower", is known. This is why Masterplan III plans to demolish it and replace it with a new building. Other outdated and problematic infrastructures will also be developed through renovation projects to remedy the situation. In Jamioulx, it's over, Namur is in progress and Huy and Merksplas are in preparation. Masterplan III also provides for the construction of a new prison and an extension of capacity to existing sites. It is a long-term process that does not always go smoothly. The problem of obtaining permits for the new prison in Termonde demonstrates this. With regard to smoking policy in prisons, I can say that different variables are taken into account in cell allocation in order to ensure that complementary prisoners are put together if they have to share a cell. If circumstances beyond the control of the management, such as the overpopulation at the beginning, do not permit this, the situation shall be rectified as soon as possible. As regards the shower system and the activities, I confirm that all new construction projects or total renovations provide for the presence of a sanitary cell within the living room. In existing prisons, prisoners often have a sink, allowing them to wash there as well. Prison Directors, in consultation with the services of the Communities, will continue to take all possible initiatives to increase the range of activities and to standardise life in prison as much as possible.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u13	Thank you, Minister, for your answer. I realise that with our current prisons, it is not so obvious to give a positive response to everyone's wishes and rights. I hope that these efforts will continue. The funds, which we must now use to pay the compensation, could have been better put into infrastructure. Then those convictions and procedures wouldn't have been necessary. We'll follow up on that. The prison system and the Master Plan must call our constant attention.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u14	Minister, following the extraordinary Council of Ministers on Justice, Security and Defence on 14 May, a measure related to the establishment of a central criminal record 2.0 was therefore decided. The purpose of this provision would be to streamline and collect all information held by several entities. The data in the criminal record would also be extended. In addition to basic information such as the identity of the convicted person or the reference to the judgement, professional prohibitions, prohibitions of contacts or the presence or absence of criminal transactions will also be mentioned. An investment of EUR 8 million, spread over three years, would make it possible to create a register of the execution of sentences that would give access to all the information. Minister, can you tell us more about this central criminal record? When will it be operational? Who will be responsible for holding this one? What are the advantages and disadvantages of this system? Have you identified any legislative obstacles to its implementation? Is there a similar arrangement already in other EU countries? Finally, is there already a procedure for consulting this online criminal record? Which public authorities will be able to benefit from the information in this record? Will private persons also be entitled to consult him? If so, under what criteria and by what procedure?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u15	Mr Calomne, the Special Council of Ministers on Security and Justice has taken a position of principle. The whole project can now be engaged, from analysis to its development and deployment through the award process. You notice, at the first estimate of the budget you quote yourself, that the project will take at least three years to complete. Of course, the first organization to manage this modernized and expanded registry will be the current Criminal Records Service, which is part of the FPS Justice. Business and functional analyses will tell us what technical and legal issues we need to solve. Of course, computer scientists will deal with technical issues and the legal framework will be created through a bill that I will submit, at the government's request, to Parliament for consideration and approval. Questions about who will be able to access the register, the conditions and how it may be, will obviously be answered in the bill.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u16	Thank you, Minister, for these points of answer. Of course, the development of this issue will be carefully monitored.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u17	Mr President, Minister, during the extended weekend of 25 May last, there were problems with the prisoners in Dendermonde and Lantin. Once again, it was about living conditions in these prisons. As you know, the construction of a new prison in Dendermonde is still part of the Master Plan 2 Prisons, which has been complemented by a Master Plan 3, which was approved by the government at the end of 2016. In the Justice Commission of 27 January 2016, you stated: "As you know, it is my priority concern to start construction in Dendermonde and Haren, together with the Minister responsible for Buildings. The prospects for both are good at the moment, but I do not want to go into detail. Minister, what are the prospects for the construction of the prison in Dendermonde today?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u18	Mr President, Mrs Lambrecht, the plan to build a new prison in Dendermonde has been with us for years. It is about replacement construction with expansion for a total of 444 places. In 2011, an agreement was concluded with BAM PPP for the construction, financing and maintenance of the building. I had hoped, along with many others, that I would be late for the official opening when I took office as Minister of Justice. Unfortunately, that was not the case. An overall overview of the many procedures that have been and are ongoing would be too extensive to read out here. To date, there are still procedures in progress at the Council of State and at the Council for Authorisations Disputes. The latter has suspended the building permit for the access road, putting the whole project on hold. We must therefore await the opinion of the competent authorities. I would like to emphasise that I deeply regret the way things are going. It has become a recurring discussion in this country, where it is becoming increasingly difficult to realise complex construction projects. It is all the more painful when it comes to projects of general interest. I therefore hope that the current procedures will be completed quickly so that the prison system finally knows what is going on with the building in Dendermonde.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u19	Mr President, may I ask whether you have any idea with the administration of how long the procedures are going to run? Are they in the final phase? Or don't you have a visual on it either?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u20	Mrs Lambrecht, I can give you an exact picture of that, but I will try to do so in writing.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u21	Question No 8895 by Mrs Karolien Grosemans has been postponed. Mr. Van Hees won't be here.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u22	Mr President, we sometimes duplicate the questions. Since we are only two, the week before the meetings, we do not always know where we will be and so we sometimes share the work. Minister, I do not know why the two questions are linked because they are different. I will put them both on the table and we can come back to that later. These two questions are in the context of your statements last Thursday in plenary. It's two questions with a different theme, so I'll ask them separately. The first question concerns alternative pre-trial detention in prison. The debate is currently being held as if these are the two only alternatives. Either we build more prisons or we give more people an electronic anklet. There are many other possibilities. In De Morgen and de Gazet van Antwerpen, research judge Karel Van Cauwenberghe has advocated an integrated approach to crime, primarily addressing the causes of certain types of crime. It is about people with addiction, people who fall through the social safety net and therefore commit criminal offences. Or strangers without papers who commit criminal acts to survive. I think it is a very important message that requires a complete reversal of policy. Justice can also take measures to deal with these people with alternative pre-trial detention. Philippe Van Linthout, the chairman of the Research Courts Association, also advocated alternative shelters last week. Antwerp's investigating judge Goedele Franssens confirmed that once again. For the same category of people who have just been listed, the electronic anklet is often not a worthy alternative because the risk of recurrence remains, they have psychological problems or they do not have a permanent residence. According to the Master Plan 3 Prisons and Internments, there would be 860 additional places for internment which you have now said on Thursday that 182 places will already be released on 29 June. My questions are as follows. First of all, is the master plan still on course? Does the target still respond to the needs? Secondly, as the investigators are asking, more attention will be paid in the future to providing alternative means of pre-trial detention for certain target groups which could reduce the overpopulation in prisons. This is part of the diversification objectives you have set out in your Master Plan 3. But apparently there is still a strong shortage. The second question is linked to that. What I want to address is the ongoing attacks on the autonomy and power of the investigating judge in the criminal investigation, a very different subject. Yesterday, avocats.be, the umbrella organisation of lawyers, gave a tip of the Commission's work on the reform of criminal proceedings. Perhaps also as a result of your intervention on Thursday in which the investigators were again the head of the court, I think in any case. One of the charges of avocats.be was against a recommendation by the expert group that the criminal investigation would only be conducted by the prosecutors and that the investigators would only retain a control function. This means abolishing the division of the criminal investigation into an investigation and a judicial investigation. In doing so, the investigating judge would indeed be reduced to a judge who decides on fundamental freedoms. For the rest, it's just gonna be a control body. In the words of avocats.be, the investigating judge loses his autonomy and becomes a judge of approval. We have often intervened to defend the autonomy and power of the investigating judge, as it is the tendency of this government to grant increasing powers to the prosecution. Here too, the same trend seems to persist. The Council of State recently confirmed in an opinion that the members of the Public Prosecutor's Office are not as independent as the members of the incumbent magistrate because of the direct relationship they have with you, the Minister for Justice. I'll come to my questions. Firstly, can you clarify your position on the position of the expert group on this issue? Secondly, is maintaining the autonomy of the investigating judge in determining the degree of punishment but also, for example, in deciding on pre-trial detention a priority for you? Thirdly, do you maintain your previous concerns about the reform of the investigation phase in the criminal trial?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u23	Mr Hedebouw, I have already communicated on a regular basis the principles of the new criminal procedure in Parliament, in this committee, as proposed by the experts working on these principles. In fact, these experts have been in this committee twice last year to propose these guidelines. I hope that at the beginning of next year I will be able to present to you the draft new code of conduct. One of the innovations is that there would still be only a preliminary investigation, which would make the rights of the parties equal in any investigation, where there are now two preliminary investigations. This preliminary investigation would in future, in the opinion of the experts, always take place under the direction of the prosecution but also under the enhanced control of a investigating judge who remains the judge of freedoms in their proposals, more than ever. During the course of the investigation, the investigating judge would perform a judicial function with regard to the investigation measures. For example, he would authorise the most intrusive measures, such as the arrest, the telephone tap, the search and a number of special detection methods. The advantage of the expert proposal is that the investigating judge no longer has a double task, namely leader, executive, and judge of the investigation, so that he can pay more attention to his actual task as judge, namely the guardian of rights and freedoms, privacy, personal freedom and so on. The law will ensure that it can always be the same investigating judge who, in a particular case, allows the special measures and exercises control. So there is also continuity on the part of the investigating judge, in the same way as there will be along the side of the parquet. Thus, the investigating judge is permanently involved in the heavier cases where special means of investigation are imposed. It is therefore by no means true that the autonomy of the investigating judge is being undermined. I'm going into remand. In the new criminal procedure law, (n.a.r.At the request of the Minister, add the following words: "as proposed by the Expert Committee," the investigating judge will be able to authorise the prosecution to rob a suspect of his freedom for a maximum period, which is renewable. Before the end of that period, the prosecution may lift the arrest or no longer request an extension. In this way, the public prosecutor can control the number of prefixes per resort, provided that a monitoring is carried out, inter alia through faster lead times of the investigations. As an alternative to pre-trial detention in prison, the new draft will also provide for pre-trial detention under electronic supervision, as will freedom under conditions. In the latter case, as you yourself said, a suspect with a particular problem, such as addiction, can be placed in a care centre rather than in a prison. These placements are, of course, in an institution other than a penitentiary and fall outside the Master Plan 3. As far as your question on internment is concerned, the opening of the FPC Antwerp is planned for the beginning of August. There'll be 182 places. With regard to other reception facilities and buildings for interns, the Council of Ministers gave its agreement a few months ago. Both the Masterplan 3 with the preparation of a number of new prisons, including Leopoldsburg, Verviers, Lantin, Vresse-sur-Semois, and the new Masterplan interned with new places in Aalst, Waver and Paifve is in full preparation. Thank you, Mr Van Hees. I apologize for calling you Mr Van Hees. I have a distracted moment. Your name was here first, but the difference between the two of you is very well known to me, my apologies.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u24	It's an honor for me to be called Mr. Van Hees! I share a great deal of passion for my comrade.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u25	Good thing I didn't say Mr. Michel!
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u26	It was already less!
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u27	Minister, the yellow card is not far away!
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u28	An orange card for me, Mr. President.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u29	I don't have one!
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u30	Thank you, Minister, for your answers. On the question of the procedure and the place of the investigating judge, I think, and you confirm it, that the centre of gravity will move towards the prosecutor's office. Why not send him to the investigating judge if he has to decide for a centre of gravity? If a reform is needed, why not decide in favour of one of the two options? I think all the arguments you make apply to the investigating judges. I cannot help but show a willingness to make the centre of gravity closer to the investigation to the executive. I believe that this is the problem of the model currently being developed. Many investigating judges go out in the press to get involved in the debate. That fact must make you think. This is my first point. My second point concerns Masterplan III. We will see what will be implemented in practice. I think that's the point here. It is important to have these places born for the punishment of psychiatrically ill prisoners. This is a big problem for our country. As always in Belgium, we will see before we can judge and I hope that this issue will indeed move forward in the coming months.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u31	Minister, I would like to take stock of this. Those who asked me to ask you this question have a very personal interest in this answer. The Royal Decree of 8 June 1823 containing the subsequent provisions in respect of officers and civil registry records provides that the civil registry officer may not record any act in which he or she acts as a declaration, party or witness, or any act concerning his or her spouse, parents or children. In response to a written question of 20 April 2015 concerning the incompatibilities of civil registrars, you have indicated that this royal decree is in fact intended to guarantee the neutrality of public officials but that acts taken in violation of this decree cannot be invalidated because this is not provided for by the legislation. Mr Minister, today, can a registrar, for example, a mayor, under the provisions that we have outlined above, marry his son or daughter? If not, what could be the consequences of a marriage celebrated in these circumstances? Are you aware of any good practices that have developed to overcome this prohibition while respecting the law? I am thinking, for example, of the presence of an additional registrar during the celebration. I would like to point out that this request has already been made several weeks or even months ago to the Union of Cities and Municipalities, which has not yet responded.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u32	Jadin, section 4 of the Royal Decree of 8 June 1823 containing subsequent provisions in respect of officers and civil registry records clearly provides that the registrar may not take any act in which he intervenes as a declarant, likeer or witness, or any act concerning his wife, parents or children. As I have already had the opportunity to indicate in my reply to your written question of April 20, 2015, an act that would be made in violation of this royal decree could not, however, be invalid since such a nullity is not explicitly provided for by law. I am not aware of any good practices that have developed to overcome this prohibition while respecting the law. The presence of an additional registrar seems to me to be contrary to article 125, paragraph 2, of the new communal law, which does not permit two bishops to simultaneously perform the same function, subject to the provisions of paragraph 3 in the event of an impediment. Section 125, paragraph 3, of the Act provides for the assumption of replacement in the event of the inability of the delegated officer. If the delegated officer is prevented, he will be replaced temporarily by the mayor, by an alderman, by an adviser, in the order of the respective appointments. I would add that it is envisaged that the Royal Decree of 8 June 1823 will be included in the draft law on the modernization and computerization of civil status, that my services will prepare and that I will submit it to the government as soon as possible.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u33	Minister, I hope that this will be clarified quickly.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u34	Mr. Chair, Mr. Minister, the College of Physicians and the College of Lawyers differ on the usefulness of legal counsel to a person subject to forensic psychiatric expertise. This possibility is provided for in Article 7 of the Act of 5 May 2014 on internment. Recently, the National Council of the Order of Physicians found that "the presence of a lawyer on the occasion of a forensic psychiatric expertise creates an analogy between this expertise and an interrogation by the police". Minister, what about this situation? Would it not be preferable to introduce compulsory legal assistance in order to ensure the legality and impartiality of the procedure for both the person with psychological disorders and psychiatrists?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u35	Ms Jadin, section 7 of the Internment Act of 5 May 2014 provides that a person who is the subject of a forensic psychiatric examination may at any time be assisted by a doctor of his choice and by a lawyer. Reparation of this law via pot-pourri III did not affect the ability to appeal to a lawyer during the realization of the expertise. In its opinion of 6 May 2017, the National Council of the Order of Physicians states that the presence of a doctor of his choice during the forensic psychiatric examination does not contribute to the proper administration of justice and that the designated psychiatrist should be able to refuse if he considers that the presence of a lawyer compromises the expertise. The Council proposes to adapt section 7 of the Internment Act to this effect. This opinion was discussed on 23 May at a meeting my strategic cell had organised with a view to preparing a royal decree determining the format of the psychiatric expert report. Representatives of bars, psychiatrists and magistrates participated. The meeting was therefore an ideal forum to discuss the opinion. The Council's opinion was not followed. Each participant pleaded for the optional assistance of a lawyer, as currently provided for by law, and was therefore opposed to the introduction of mandatory assistance. The lawyer can assess himself if his assistance to the interned person represents an added value. Internees often have a criminal history and the assistance of a lawyer may also be useful to the psychiatrist who performs the expertise. An amendment to Article 7 in the sense of compulsory assistance by a lawyer, as you suggest, or in the sense of establishing a right in the head of the psychiatrist to refuse the assistance of a lawyer during the expert examination, a suggestion of the National Council of the Order of Physicians, therefore does not seem to me to be on the agenda. I will respond to the National Council of the Order of Physicians.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u36	Minister, I have also asked Mrs Demir about this. Recently, the Chamber and the Senate were invited by the young women of Women's Life. The association conducted a survey of 405 women about their knowledge of existing mechanisms and their experiences of gender-based acts or behaviours in the public space. It is worrying that 98 per cent of young women report that they have experienced gender-based injustice in the public space and that half of them report that they are living it on a recurring basis, to the point of feeling humiliation and anger. These are both physical and verbal attacks. We have a law to protect victims of gender-based acts and to allow them to file complaints, with a view to bringing justice. On the one hand, we realize that few women are aware of this. On the other hand, the law in question places the burden of proof on the victim. This implies that witnesses agree to travel with him in the filing of a complaint. It is therefore difficult to undertake this approach. Countries such as France have several mechanisms in place. For example, in public transport, special brigades have been formed against "frotters" in order to identify men who commit particularly sexist acts. Such an initiative helps women respond. At home, we find that few complaints have been filed. Those that have been achieved have not yet been achieved. In addition, the measures vary according to the boroughs. Some of them, for example in Brussels, thus resort to administrative sanctions, which are reinforced in the case of gender-based acts. Minister, has the operation of this legislation been evaluated? Is there no need, in collaboration with the Secretary of State for Equal Opportunities and Combating Discrimination, to raise public awareness and to conduct campaigns and actions to publicize the legal system? It is a question of whether this need to bring about the burden of proof is not to be reconsidered. Another aspect of this study is that the law deals with sexist acts and behaviour, while sometimes surrounded by messages through advertising or other public means of expression. The current law does not deal with these issues. Minister, I would have liked to have your appreciation of how this is going. How can we improve both the knowledge and the mechanism to meet concerns and prevent the inconvenience and humiliation experienced by these women and young women in the field?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u37	Mr President, Mrs Gerkens, since the entry into force of the Act of 22 May 2014 to combat sexism in public spaces, forms of street sexual intimidation and sexual intimidation in public places are punishable. The law provides that anyone who commits any public act or conduct in the presence of a witness whose purpose is to express contempt for a person on account of his or her sexual affiliation or to consider him or her, for the same reason, to be inferior or essentially reduced to his or her sexual dimension, shall be punishable. On 20 January 2015, this law was appealed to the Constitutional Court for annulment. However, the Court rejected all the grievances in principle. The issue of sexism in the public space will be addressed as part of the training for judicial trainees in the next judicial year on hate crimes and discrimination. The issue is also addressed at the annual meetings held in the Public Prosecutor's Office in accordance with the COL13/2013 of the Minister of Justice, the Minister of the Interior and the College of Attorneys General. It is a circular on research and prosecution policy on discrimination and hate crimes, including gender discrimination, which naturally also applies to sexism in public space. The Public Prosecutor's Office works closely with the Institute for the Equality of Women and Men. As far as the burden of proof is concerned, I can tell you that the normal rules of evidence also apply to this issue. It is clear that proving such offences is not simple and the willingness to file a complaint seems to remain rather weak. But if we can invest in raising awareness among a broad public, people will also be more willing to testify about such events. With regard to prevention and awareness raising, I would like to refer to my colleague, the Secretary of State for Equal Opportunities, whom you have already interviewed. There is a need to invest primarily in awareness-raising. The judicial approach must probably be limited to the most serious facts. In the National Action Plan to Combat All Forms of Gender-Based Violence (Action Plan 2015-2019), measures were announced to raise awareness of the fight against sexism and stereotypes as forms of gender-based violence and the fight against sexism in the media. The Institute for Gender Equality has a coordinating role in the implementation of the National Action Plan. My administration is also part of the interdepartmental working group that follows, implements, monitors and evaluates the plan. As far as municipal administrative sanctions are concerned, I refer to my colleague from the Interior.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u38	Minister, thank you for your answers. It is true that some skills are shared. I agree that the law is not enough to deal with these behaviours. Awareness-raising and information are obviously crucial elements. I hear that this is a competence of Mrs Demir. Having said that, I think it may be important for your existing collaboration to include this instrument as well. Awareness and information are not limited to saying: "It is wrong. We can't." It also involves explaining how to react, how to manifest, how to support a victim as a witness. We will soon be reviewing the evaluation report of the Anti-Discrimination Act, which will soon be translated, at the end of next week. I will discuss the modalities with my colleague, the Chairman of the Committee on Justice. We may be able to deepen the gender dimension of the multiple discriminations that sadly amplify our society.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u39	Following on from my oral question on the recognition of mosques on 10 May, you gave the following answer regarding the planning of a meeting between Minister Homans' cabinet and the VSSE: "In response to my letter of 2 May, there was a contact between the two policy cells and a new date for consultation was set." I would like to ask the following questions. First of all, has that meeting taken place in the meantime? Secondly, what were the conclusions? Thirdly, in the meantime, is there any clarity as to the division of tasks between them?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u40	Mrs Lambrecht, on 16 May last there was indeed a frank and free consultation between our two cabinets. Essentially, it clarified the role of State Security in the recognition process of local faith communities and in the follow-up and evaluation of the conditions of recognition that faith communities are effectively recognised. As a general rule, State Security intervenes only if there are substantial and pertinent indications that there is a threat of terrorism, extremism, espionage or clandestine interference in specific religious communities. Therefore, the safety assessment prior to recognition by the regional minister and the annual evaluation of recognised religious communities take into account only those four main threats. Thus it was merely pointed out that polarisation, problems of integration and political influence are a focus for the VSSE and are only a focus for the VSSE, the Security of the State, to the extent that they are an aspect of one of the four previous threats.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u41	Question No 19025 by Mrs Winckel is transformed into a written question. His question No. 19049 has been included in item 8 of our agenda.
