ParlaMint-BE_2017-07-18-54-commissie-ic717x.u1	Question No 19272 by Mrs Renate Hufkens is transformed into a written question.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u12	Mrs. Fonck, miracles exist. Indeed, on this point, we agree. This last commission is a holiday. I can confirm to you that, although this is a responsibility of the Minister of Finance, in recent years we have put in place a consistent excise policy within the government. This policy was implemented within the framework of the tax shift agreement, in which it was decided to increase the net salary of citizens while making choices that are bad for health less attractive. Especially since, as you have already said, the price has a great influence in the purchase decision. In the light of this certainty and vision, we have focused, on the one hand, on certain products (rolling tobacco) and, on the other, on price arrangements (specific and minimum excise duties). I remain convinced that this is the right approach and I will continue to defend this point of view. On the other hand, I agree that a reduction in the amount of excise duty means less smoking. When faced with a large number of people, it can be seen that few people still smoke. Other measures are obviously necessary, but in terms of public health, a bad signal would be sent by reducing the rate of excise duty. It seems that the Minister of Finance has a different point of view than mine. But I will defend my views within the government.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u13	Minister, you agree, it's good and it's already one thing. But I'm waiting for the rest. Indeed, this is not the first time you have had a difference with the rest of the government. And, unfortunately, in the past, it was not you who won. I therefore ask you for the utmost vigilance and that of all your colleagues in this government. In any event, when I asked Minister Van Overtveld, two or three weeks ago in plenary, he left the door open. Furthermore, I would like to take this opportunity to say that Belgium does not have an ambitious policy in this area. France has set the price of the cigarette package at ten euros. She set up a neutral package. As far as we are concerned, we are still waiting for these announcements, as well as the complete ban on advertising or the ban on smoking in cars to protect minors.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u14	Mrs Jadin, absent, is excused.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u15	Madam President, Minister, I have asked several questions to various ministers, including you, about the follow-up to the diesel gates scandal. Often I only get answers to a fraction of my questions and I am referred to for the rest of the questions, creating a kind of endless ping-pong game. We all know the existence of an action plan and a follow-up table. It is now high time to implement the recommendations of the special parliamentary committee. I once asked you a question about air pollution in plenary, and yesterday this issue was again raised in the newspaper. In your reply, you said that the National Plan on Environment Health does take into account the potential effects of air pollution on our health and that there is a project in progress to train health experts on the impact of environmental factors on health. You also said at the time that you are striving to implement the World Health Organisation's guidelines. We've moved on for a long time now. Madam Secretary, what is the status of the project to train health experts? What guidelines have already been implemented by the World Health Organisation and which have not yet been implemented? What's the timing? My final question has already been put to Ministers Marghem, Bellot and Peeters, according to their various powers in following the recommendations of the diesel gates scandal. In my written preparation of this oral question, I have listed the recommendations which fall within your competence, namely recommendations 17, 18, 19, 25, 26, 41 and 42. Where do you stand on its implementation?
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u16	Minister, on March 18, 2016, the Special Commission for the follow-up of the Dieselgate case adopted its report, through which a series of recommendations were made. Under the authority of the Chair, we have already had the opportunity to interview Ms. Marghem. I even wanted to see a review of all the recommendations made. Like my colleague, we are taking a little bit of a look at the ministers to see what progress has been made in following up these resolutions. In the Public Health component, the federal government was asked "to combat all harmful emissions and their effects, to focus on reducing not only NOx emissions, but also fine particulates and ozone, as well as any other pollutants, to continue the analysis of the public health effects of excessive NOx emissions from diesel vehicles, and to draw, in particular, the consequences in terms of health objectives that could prevent and reduce their impact, to strengthen the analysis of the impact of fine particulate matter on public health, with particular attention to all people at risk". Minister, more than a year after the adoption of this report, can you take stock of the follow-up that has been given to these various recommendations? Thank you for the party you're holding for us.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u17	Madam President, Mrs Dedry, I understand that it is annoying that so many ministers are competent in this matter, but it is true that a number of recommendations from the Dieselgate Committee, which, although they concern the protection of public health, also fall within the competence of other fellow Members. It is therefore a question of shared responsibility. I will give you an overview of what my services are doing in this area. For the rest, I can only indicate in general what the federal government or the Regions are doing. Two projects are being developed for the training of care providers. One project concerns the provision of e-learning modules in environmental medicine for general practitioners and specialists. One of these modules is about the quality of the outdoor air and air pollution, as well as its impact on health. The other project is much larger and concerns the launch of an interuniversity certificate in medical environmental science that will be accessible to all health experts. This is currently being discussed with a number of universities, namely UCL, ULB, ULG, KUL, Ghent, Antwerp and Hasselt. This programme will start in the academic year 2019-2020 at the earliest. I support these two projects together with the other ministers of the cooperation agreement of the National Environmental Health Action Plan. Through the National Cell Environment Health which coordinates the national action plan, I support the Belgian Mortality Monitoring and Cities and Pollution projects. Both projects aim to map the impact of the various aspects of air pollution on public health in our country. So it concerns, among other things, the concentrations of particulate matter but also the ozone concentration and so on. I would point out that in terms of air quality management, the federal government is only competent to deal with serious episodes of air pollution. We are only responsible for crisis management. The reduction of pollutant emissions and the spectrum of emission ceilings are primarily the responsibility of the federated entities. The federal government has supported these objectives through the levers at its disposal. I am thinking in particular of the excise duties on diesel, the adjustment of the tax treatment of company cars – made less favourable for diesel vehicles – and the European emission standards, made more stringent for motor vehicles, with the support of Belgium and, of course, the recently approved mobility budget, which allows citizens to choose their means of transport and reduce our expenditure on company vehicles – due to Cash or Car. For a precise answer to your questions, I also advise you to question colleagues and to ask, through your political group, the opinion of the regional ministers concerned. To answer Ms Jadin, it must first be made clear that nitrogen oxides are the indicator measured overall. Nitrogen monoxide (NO) and nitrogen dioxide (NO2) are not measured separately. In Belgium, monitoring is carried out by the three Regions. Daily and historical data are available on www.ursulines.be. The health impact of nitrogen monoxide or nitrogen dioxide concentrations is difficult to elucidate because, in most cases, nitrogen oxides are emitted or present in the air with other pollutants, such as PM10 and PM2.5, as well as less readily observable and less observed pollutants, such as volatile organic compounds or polycyclic aromatic hydrocarbons. Toxicological studies show a significant effect of NO2 concentration on the respiratory tract. We do not have data to quantify over-mortality in a sufficiently accurate and reliable manner compared to a situation where pollution would be negligible and comparable to that of the pre-industrial era, as is the case in the English study cited by Ms Jadin. Nevertheless, there are several studies on national or Brussels data, which I can transmit to you. I also have a summary of the context of each of them and their conclusions. These are two reports drawn up within the framework of the National Environment-Health Action Plan and the Brussels study in the Brussels-Capital Region. I have only one copy, but I can give it to you.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u18	The recommendations of the Dieselgate report contained a dashboard to be prepared under the Prime Minister's responsibility. After some research, we found that it had not been defined. We will ask him about this. I wanted to propose to you and your colleagues, at the time of the presentation of the policy note 2018, to devote a chapter "State of play of the Dieselgate measures". In this way, each member of the government would present the follow-up, in the same way that ministers are asked to take stock of the resolutions adopted.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u19	Madam President, what you have come to say was also exactly the content of my reply. Minister Marghem said at the last committee meeting, when Mr Senesael and I asked the same questions, which we also put to all the ministers concerned, that she thought it was a very good idea to organise a coordinated follow-up committee with all the relevant ministers in the autumn. I hope, Madam Secretary, that you are an ally. I see you nodding. Then we have already had three ministers on the line, which will make things easier. Waarvoor dank.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u20	Madam Minister, thank you for your answer and take note of the information you have provided us.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u21	Minister, the MammaPrint test is a genomic test performed on the tumour tissue of breast cancer. It defines two populations, low risk and high risk. This test, which is not refunded, costs €2,850. It's obviously a lot. Last February, in response to a parliamentary question, you said that before considering the reimbursement of this test, you wanted to wait for the official publication of the MINDACT study and the update of the KCE report, particularly regarding cost-effectiveness. The MINDACT report has been out for ten months. Time's running out. It has been published in a reference journal, the New England Journal of Medicine, and it has demonstrated the value of analyzing the genomic information contained in tumours to primarily avoid unnecessary chemotherapy to some women with hormone-dependent early breast cancer. At the KCE level, the last information I had about this study was that it was in progress but it was in January 2017. It's July. Minister, have you read the results of the New England Journal of Medicine's MINDACT study? Will we be able to quickly dispose of the 2017-01 KCE study on the same subject? Above all, what follow-up do you intend to give to this file? This is an issue that is really very, very important for women who have breast cancer.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u22	Mrs Fonck, as far as the MINDACT study is concerned, we have of course read this study with attention and interest and the positive results presented in particular by Professor Martine Piccart. These results were previously presented by Professor Piccart of the Bordet Institute at the 2016 congress held from 16 to 20 April. Before publication in the New England Journal of Medicine, we asked the KCE to update the 237B report published on 13 January 2015. The KCE study report is expected to be possible in December 2017. As far as our previous comments are concerned, we are likely to have new arrangements for the reimbursement of tests available in Belgium. It is obviously necessary for us to have this study in order to opt for the most efficient practices, both in terms of diagnosis and in terms of health savings.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u23	Minister, I note that you are announcing the results of this study for December 2017. It's a long time! I believe that a real ethical issue is on the table. Carcinologists and haematologists already offer women with unfortunately breast cancer to benefit from this test. Some may afford it in practice, given their financial means, others may not. This raises an ethical question. Why continue to offer chemotherapy when we know that the study is extremely positive? We are going to propose chemotherapy that will cost more than the €2,850 test to a woman to whom the test could demonstrate that she will not actually be sensitive to this treatment, and that it could be avoided. Avoiding unnecessary chemotherapy is really an ethical issue. I therefore ask that an accelerator be given. This is a major issue in the approach of these women. It takes the road economically into account the savings achieved by avoiding unnecessary chemoes, not to mention the qualitative aspect.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u24	Mrs. Fonck, you demand respect for the independence of the knowledge centre. I respect the work of the knowledge center. It would therefore be wrong to take steps now if the study was not delivered until December. She started in January, promised by December. The knowledge centre has always kept to the timing. I think their assignment is very important. I also agree with all your motivations, but everything must be scientifically substantiated, so that we do not fly forward in the dark. I therefore agree that this is an ethical matter and that we should not give chemotherapy to people for whom it has no result, or even worse results. Then the question is whether the tests will be refunded. Or are we going to continue to pay for chemotherapy that is unnecessary and seriously affect the quality of life of these women? If I ask the knowledge centre for a well-founded study, I can only wait for that. After all, they have their working rhythm and methodology. We have done the same for other decisions such as the NIPT and the like. If we need a scientific basis, I'll have to wait for that.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u25	Madam Minister, the central question is obviously not the time that the KCE takes, but that it is an ethical issue – you agree with me. We have a study. I didn't think the MINDACT study would be so clearly positive. I simply note that cancerologists offer this test to their patients; it makes sense, and I would do the same in their place. As Minister of Health, you have a responsibility to move this issue forward. Thank you.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u26	Madam President, Minister, I take advantage of the recent UNESSA publication on the number of MRIs in Belgium. I have already asked you about this on several occasions. You refer me each time to the medical imaging protocol, which dates back to 2014. In June 2017, UNESSA published the results of its analysis of MRI needs between 2010 and 2015. She notes that the increase in the number of devices is linked to an increase in requirements, i.e. an increase in the number of examinations prescribed by doctors: "While the number of devices increased by 6% between 2010 and 2015, the number of patient contacts per device increased by 30% and waiting times for an examination increased by 21%." Minister, a while ago you told me you were waiting for an evaluation. Has this evaluation been conducted? What are the results? Can we dispose of it? What are the criteria and method used? What follow-up will you give to the conclusions when they are drafted? I repeat again what I have already said ten times: I plead for a slide from the scanner to the MRI. This would reduce delays for patients. One would avoid doing a scanner because it is possible to do so immediately, while an MRI will be requested anyway. Two tests are performed; only one would have been performed if MRI could be performed immediately when indicated. These repeated examinations cost more, for an immediate diagnosis of lower quality. A reform can be carried out in this regard, through a slide that can be positive for everyone.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u27	Ms. Fonck, the evaluation of Nuclear Magnetic Resonance Programming (NMR) is underway. I asked the Belgian medical imaging platform (BELMIP) to give an opinion on the programming. This opinion will take into account a report on which the INAMI Medical Assessment and Control Service is currently working, based on an audit carried out in a few hospitals and an evaluation of the data. This service identifies, among other things, opening hours, wait times and patient flows for NMR. With respect to wait times analysis, the evaluation department has reviewed the consumption data to determine whether the implementation of the new devices was accompanied by a shift from CT-scan examinations to MRI examinations. In other words, the evaluation service's study focuses not only on wait times, but also on this shift from CT-scan exams to MRI exams, in accordance with the recommendations for proper use of medical imaging. This analysis is still under way. It will be finalized once the billing data is fully available within the evaluation service, i.e. at the end of September. The service provides regular feedback on intermediate results. BELMIP is preparing its opinion on the basis of these intermediate results. As soon as the BELMIP opinion and the evaluation service report are completed, they will be discussed. The increase in the number of devices will require an extension of programming. A consultation with the federated entities can then begin. However, one element of UNESSA's analysis is still missing. Are all examinations properly prescribed? It would be rather simplistic to say that an increase in physician-prescribed requests is an increase in needs. One of the main tasks of medical imaging is therefore always to better match the prescription profile with the evidence-based guidelines, to raise awareness and to empower prescribers on this subject. That's why I'm studying the possibility of introducing a clinical decision support system. I stress here the need to launch regional pilot projects with electronic prescriptions in medical imaging, in consultation with BELMIP, health insurance, hospitals and doctors. The support for decision-making will also help to continue to justify the indication and to define the priority of the review in question.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u28	Madam Minister, I must admit that it may be a problem to entrust everything to the clinical decision support systems. I know that this approach is becoming systematic, but it happens differently in the field as far as patients are concerned. In any case, it is certain that quality and performance will suffer. The current system needs to be changed, given the wait times, the lack of MRIs, the cost of scanners and the greatest number of irradiations. I really believe in this shift from scanner to resonance and in reducing waiting time for patients. This will break the vicious circle in force. Thank you.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u29	Madam Minister, we have talked on several occasions about the difference in reimbursement between the two types of hearing aids, BAHA and CI. You said that these BAHA hearing aids fall within the competence of the consultation audience insurance institutions. However, I understood from your answer that this is within the current envelope. I did find a suggestion to make a budget for it. This is the current procedure for the reimbursement of hearing aids in general. If I have been properly informed, the procedure is as follows. With a hearing problem one first goes to the general practitioner or should do so, which then refers to an NKO doctor who, if necessary, gives a prescription for a test with a hearing aid that the person in question can then have measured with an audience or audiologist. One would think it would stop, but apparently that is not the case. The person concerned must then return to the NKO doctor and then he must have a certificate from the advisor of the mutuality before the reimbursement can be made. Figures I have received from the sector show that this control by the NKO doctor does not lead to an adjustment of the treatment either by the counseling physician. On the contrary, it is in most cases a confirmation of what was prescribed and measured. The only reason why I have gone over these reasons is apparently in administrative matters, for example a form that has not been properly introduced. After all, all this is done on paper. Madam Minister, is this extra control by the NKO doctor and by the counsellor of mutuality necessary, especially since in practice it does not seem to lead to any change or adjustment of treatment? In our care landscape, for example, compared to the European context, the audiciens/audiol eyes do enjoy a full-fledged and well-developed Bachelor's programme. Secondly, why is that so determined? What do you think of the idea of deleting it so that not only the people who need a hearing aid save time but that we can also save money for society while saving time and administration? Do you have any idea what budget could be saved if we were to delete these unnecessary intermediate steps? Finally, I would like to point out that all these forms must also be sent on paper. Do you have any feelings for doing that electronically? There, too, it seems to me possible to save money.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u30	Thank you for your question, Miss Van Camp. The procedure you describe is called the two-stage rule whereby the prescribing NKO doctor confirms his original prescription after an initial test by the audician. This ensures that the prescriber knows if his prescription gives the patient an advantage and allows for an assessment of the prescribing behaviour. In addition, there is only an obligation for the NKO doctor to see the patient physically again in exceptional cases in minors. In all other cases, a written agreement without seeing the patient is sufficient for the NKO doctor. The nose, throat and ear doctor may ask to see the patient again if he wants to, but that is not mandatory. The a-priority check by the medical adviser of the insurance institution is carried out to check that all the conditions for reimbursement are met. The two-stage regulation and/or a-priority control by the advisory physician is a procedure agreed in the Audiciens Insurance Institutions Agreement Committee. It is said that there is no knowledge of any delay in the application procedure at the level of the nose, throat and ear doctors, or at the level of the sickness funds. In addition, the medical consultant must notify his decision within 15 working days. Last month, the Audience Insurance Institutions Agreement Committee also had a meeting with the National Intermutualist College to start up MyCareNet in this sector, which would mean that the Audicients would already have access to the Insurability Module. Other modules can follow in the future, within a schedule for the whole of the sectors coordinated with the insurance committee of the RIZIV. When it comes to agreement committees, I am not a party to it. They shall agree among themselves and shall agree therein. Now they have gone to the National Intermutualist College to use MyCareNet as well, but I, as Minister of Health, am not a party to this. I'm supposed to respect what the agreement committees decide.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u31	In any case, thank you, Madam Secretary. From your previous answers to the same question, I had already understood that it is also up to the consultation body to review the reimbursement of the BAHA hearing aids. I will certainly suggest to them not only to review the two-stage system in this sense, but also to use the potential savings by further electronisation of the process to increase the reimbursement of hearing aids.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u32	Madam Minister, in the past care for people with disabilities was referred almost by default to an institution, because there were few alternatives. Today, this care evolves into extramural care and is increasingly being offered a full-fledged care package at home, based on the strength of the person and putting that person at the centre. Support is then integrated into the daily life of the caregiver. The personal budget is a new step in that. However, this raises problems for the sector in terms of paramedical support. In the past, nursing care was often offered on a wage basis within an intra-mural framework. Today, however, people with disabilities live much more independently, in projects such as supervised living and night care. Those involved need not only support for ADL, but often also for other, small or large things. I'm thinking nurse care, medication or wound care. The institutions now support mainly through educators, who are confronted with the need for help in taking medication or wound care either at home or even on day trips. The provision of medication is reserved for nurses, but in practice it is the educators who go on a trip. It is difficult to send a nurse on a day trip for the administration of a few pills, to say the cru. A similar problem arises when home nurses, who are not allowed to operate in institutions, live accompanied and receive night care as such, as they are confronted with such needs. If educators, in their contacts with people with disabilities, are confronted with nurse needs, for example, on a group trip, which way to go and how to cover themselves legally? As has been said, it is not financially feasible to take a nurse on such a trip. Do people with disabilities have a right to home care through their personal budget.... I ask you to do so, because it is still within your competence..... and its reimbursement, even if they are linked to an open institution? I am thinking here of collective housing arrangements of joint committee 319, where budgets do not allow for differentiation in functions. Finally, is this problem recognised and will it be taken into account in the revision of Royal Decree No 78? If so, in what way concrete? Can the certificate of competent helper be helpful in this matter? Then the question remains how to get the nurse involved.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u33	Mrs Van Camp, the problem you are raising is not new; my predecessors have also broken their minds about it. During the previous legislature, a lot of discussions took place between the federal and the devolved authorities in the context of the Inter-Ministerial Conference on Public Health and they have also been restarted. It has been established that strict regulation on the exercise of health care professions indeed constitutes a barrier to the care or even the quality of the patient's daily life. It appears from the facts that it is impossible to have health care benefits carried out at all times by the competent healthcare professional. The administration of medication during an exit is one of many examples. I agree with you that a solution needs to be found so that certain actions reserved for healthcare professionals can be carried out by persons in the vicinity of the patient, such as a caregiver, a educator, a child counselor in a nursery and a teacher, provided, of course, that certain quality requirements are met. They must be trained to ensure the quality of health care. This was indeed taken into account in the reflections on the revision of Royal Decree No. 78. In fact, I would like to amend the provision on the unlawful practice of medicine, so that non-health professionals are allowed to carry out activities within a specific quality framework that are part of the health care system of a specific patient, which is currently not allowed. The quality framework shall include at least the care plan or procedure drawn up for the specific patient, the consent of the patient and the consent of the healthcare professional. This concept was presented at the start conference together with that of a competent helper and will be further developed. In order to provide a broad support for the new definition of unlawful practice of medicine, with its exception and quality framework, the draft is discussed further in the IKW Health Care professions at the request of the Inter-Ministerial Conference on Health. A protocol agreement is being sought, in which all parties concerned can agree and this could be presented, if work continues to progress well, at the November Inter-Ministerial Conference this year. With regard to the financing of home care, the reimbursement procedures for home care, Article 8 of the nomenclature of medical benefits in kind, there are neither specific rules nor a ban on reimbursement of benefits in kind to patients with a subsequent personal budget. Of course, we must continue to respect the general ban on double funding. If the nursing activity is already financed through that budget or through the financing of an institution, it cannot be reimbursed again through medical care insurance. But if we take care of that, there will be no problem for the rest.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u34	Madam Minister, I notice clearly that the problem is well known and that the revision of Royal Decree No. 78 could certainly provide a solution to this problem. So I'm following the file closely.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u35	Madam Secretary, during the very interesting symposium "Fifteen years of euthanasia" organized by your party on 11 May 2017, the Federal Audit and Evaluation Committee asked Euthanasia for more budget for the electronic declaration of will. You have said several times that you are pro-digitisation. Hence my next questions. Do you support the question of the Federal Control and Evaluation Committee Euthanasia? If so, do you intend to increase the budget for the electronic declaration of will? Why is that, or why is that, and when exactly?
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u36	According to my information, the question raised by the Federal Audit and Evaluation Committee is not an electronic application for the submission of declarations of intent by citizens, but rather a request for the Commission to provide an electronic registration document for doctors performing euthanasia. The purpose of such electronic registration is to prevent incomplete or misfilled data, to prevent incorrect answers to the questions asked and to facilitate the processing of the collected data by the committee responsible for the control of each registered euthanasia. At present the check is still on paper and each registration document is sent by post to the committee members. Since the number of documents is already more than 1 000 a year, this is a time-consuming task, which involves a lot of paper and stamps. You know that the committee is fully autonomous and only reports to Parliament. The role of the Government is limited to making an administrative framework available to the Commission, to cover operating and personnel costs, as provided for in Articles 10 and 11 of the Law of 28 May 2002. My services are currently planning the further computerization of the processes. I will therefore ask them to consider whether this question can fit in with that, taking into account the budgetary framework. I don't think it's that complicated. In the meantime, we are looking together with the euthanasia committee at the possibility of doing other things in relation to the existing procedure.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u37	Thank you for your answer.
