ParlaMint-BE_2017-01-17-54-commissie-ic566x.u1	The interplay No. 154 of Mrs Pas has been postponed.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u12	Thank you, Minister, for your extensive explanation. Indeed, no business as usual, we did not do that with the Belgian Government. The ingredients of Belgian cooperation with Congo were vigilance, pressure and cooperation in an international context. That is a good attitude which must be continued in the light of this agreement. I can say that Belgium has really adopted a good attitude towards Congo. Our resolution has also contributed to this. This has had its effect, including in the area of sanctions, in order to reach an agreement quickly. It is important, as you emphasise, to continue to cooperate internationally, both at European level and through the UN and MONUSCO. Those are elements that we need to work on. On the other hand, you also refer to this operational and financial transparency. A prime minister must first be appointed. Then the follow-up committee must be designated. Nevertheless, an important element remains the CENI, which must ensure a chronogram for the elections and make clear what is needed. That clarity is not yet available today. There too, we must be very vigilant. As Mr Crusnière said, and as we have also mentioned in the resolution, we have to work per disk, per tranche, to see how we are moving forward. We have to look at that week after week. I hope that the other opposition parties, which I do not think are so large, will not undermine the agreement and thus release Kabila. However, I suspect that this will not happen and I hope that the pressure on those smaller parties will be maintained so that there will be no further instability in Congo.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u13	Mr Fonck has been detained in the Committee on Social Affairs, her question No. 15527 is postponed. Debates of the European Parliament 15531 of myself is converted into a written question. Questions Nos 15555 and 15564 by Mr Blanchart are postponed to his question.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u14	Mr President, Minister, I would like to ask you about the situation of the Belgian Métis. During the colonial and post-colonial period, many so-called mulatto children were snatched from their mothers by force and raised in specific orphanages. From 1960, on the pretext of danger following the violent unrest that followed Congo's independence, the Congolese State gave the missionaries full latitude to plan for the immediate evacuation of the Métis to Belgium. Today, these children have become adults who legitimately wish to find their brothers, sisters and mother. Minister, can you tell me what means you could use to help these people in their research? Can you tell me whether your services communicate documents to the Community central authorities at the request of the Community? Does your FPS have records in this area?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u15	Mr Crusnière, I am familiar with the Métis issue in Belgium. These files are also known by my services, such as the Children of Save, a mission in Rwanda, south of Butare. In the past, the Department's archives have already been consulted and have helped to build some files on the basis of the documents in their possession. The Privacy Data Protection Act restricts access to these files with personal content, except for those directly concerned. There are therefore no obstacles to the consultation of their files by the parties themselves. In addition, the archives department has been working for many years with the Flemish Adoption Centre and its French-speaking counterpart in the Wallonia-Brussels Federation to make the files available for those sent by these two organisations. We will continue to do so. The Archives Department also authorized and supported the creation of a nominative inventory of files by a history researcher, Ms. Sara Eisen (?). I confirm that I attach great importance to these files and will continue to respond positively to any requests for information, and in particular to any requests for access to our African archives. I would point out that our posts in the region are also available to those who would like to receive support to search for a number of concrete elements on the spot. These are obviously very sensitive files, but access to the data remains completely open for those who wish to search for documents that were contained in our archives.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u16	Minister, thank you for your answers. Many of us have been approached by associations that deserve our support. I take note of your reply, which I will not fail to convey to them, stating that they can benefit from the support of our diplomatic post on the spot.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u17	Under items 13 and 14 there are questions from Mr Van Hees, who has just been present in this committee. I assume he'll turn up later.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u18	Mr President, I introduced this question six weeks ago, but the timing is perfect since the minister is coming back from the peace conference in Paris. This will be an opportunity to reshape my question a little from the original question. Minister, following the latest proposals by the international community to move the peace process forward, Israeli Prime Minister Benyamin Netanyahu refused to participate in this conference, despite the participation of Russia, the major Arab countries, the European Union, China and the United States. I really think it was very important, despite the fact that the United States had some reservations. Minister, I would like to take this opportunity to take stock of how our country has contributed to this work. What progress has been made? How will things evolve? I understand that following the Paris conference held on 3 June 2016, a new conference was to be held with both sides in order to relaunch the negotiations. Meetings on the incidents in which Belgium participated, announced on 3 June, advanced in the following three areas: the perception by civil societies of the importance of the two-State solution, economic incentives in the event of a peace agreement and the internal consolidation of the future Palestinian State. Have any progress been made? I will stick to that, since I know that my colleague will have more questions, perhaps in different directions.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u19	Minister, there are three of my questions. What is your assessment of the French initiative? How can Belgian and European diplomacy be followed up? Were the possible consequences of Mr Trump's future presidency on the resumption of the peace process mentioned? In what sense did the discussions take place?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u20	Ladies and gentlemen, of course I consider that the conference on the Middle East peace process organized by France was very timely. That's why I personally attended. That conference served as a reminder of the broad consensus within the international community that a just, real and lasting peace can only be based on the vision of the two States, with the State of Israel and an independent, democratic, one-tenant, sovereign and viable Palestinian State living alongside Israel in peace, security and mutual recognition. This solution is now threatened by developments on the ground and, more particularly, by the continuation and acceleration of the colonization of the occupied territories. That is precisely why it was useful to recall these principles and to stress that the two parties must demonstrate, through their policies and actions, their commitment to this two-State solution, in particular by refraining from any action that would jeopardize the viability of this solution. The joint communiqué, adopted by seventy countries and international organizations on Sunday, reflects the international community's consensus on this issue, which in itself is of great importance. It would of course have been preferable for both sides to be present at the conference, which unfortunately did not prove possible. We hope, however, that the messages of this conference will be heard on the ground and that it will be possible in the near future to move towards a resumption of real negotiations aimed at ending this conflict. As regards follow-up, the joint communiqué of the conference refers, on the one hand, to closer cooperation between the Arab League and the Quartet and, on the other hand, to a new meeting to be held before the end of the year with interested participants. The consequences of the new US administration's assumption of office on the peace process have not been directly addressed, certainly not in the presence of the current US administration, since John Kerry, the current US Secretary of State, participated in this conference. In this regard, we will expect actions that are likely to be taken and I would therefore now refrain from reacting to speculations and measures that we do not know if they will actually be undertaken. We have already participated in the preparation and will continue to work on the implementation of the conclusions of this conference. In preparation, we participated in the working group on economic incentives for the Palestinian territories. This enabled us to hold a meeting in Brussels last December of Israeli and Palestinian business leaders, both from the West Bank and Gaza, with Belgian business leaders to determine the extent to which concrete projects could be implemented. We will continue to work to encourage such rapprochements, whether in the economic or other fields; I believe that a number of bridges must be maintained between populations on both sides because the walls are built. The walls are there and if we do not take this kind of initiative, they will not only be concrete, but they will also be increasingly anchored in the heads of most of the people present in the region. I also had the opportunity to take part in a first follow-up since the Foreign Affairs Council of the European Union met yesterday. On that occasion, it was decided to reaffirm the position that was known and already contained in the conclusions adopted earlier. Anyway, I have three elements. Firstly, there is the reaffirmation, including by the European Union, of the need for a two-State solution. I will not take up all the elements that I mentioned to you earlier. Secondly, we are convinced that this solution can only be implemented through direct negotiations. It is not a question of imposing anything on the different parties. It is a question of asking for a meeting between the parties and for a direct dialogue between Israel and the Palestinian Authority. Thirdly, we will do everything – we intend to come back to the subject in February at the Foreign Affairs Council of the European Union – to see what are the conditions for direct negotiations between the two sides. In this context, it is clear that contacts with the new US administration will be essential. Direct negotiations will not be possible without the support and active involvement of other partners, including the new US administration. Indeed, the latter is not the only one that will have to intervene. At the Security Council level, all P5 members, in particular, should be able to do so. That is what I can say about this conference and the work that the Foreign Ministers of the European Union have already done yesterday. If we want to influence a dialogue - but it is never simple - the European Union must speak with one voice. Conclusions were adopted in previous Councils. We must stick to these conclusions and try to take joint initiatives. If this is not the case, we will weigh very little on the process. For the rest, as I said, I don't want to comment on speculation. There's plenty of them all the time. Every day we learn new elements about the possible attitude of the new US administration. I invite you to wait for the inauguration that will take place on Friday and to see what the first concrete actions will be. In any case, we intend to organise a meeting between the Foreign Affairs Council of the European Union and the new US Secretary of State. In addition, a NATO summit should be held in Brussels, in the new NATO building, in the first half of this year in the presence of the new US President. I am convinced, knowing the professional career of the President-elect, that his assessment of Europe and NATO will evolve when he finds that we meet in both cases in new buildings: the NATO building and the Europa building of the European Union.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u21	Minister, thank you for all this information. Indeed, in view of the conference, you have been very exhaustive. That's encouraging. I can only encourage you to continue this process: to weigh our weight in the European institutions in order to contribute to a possible solution with regard to the situation in the Middle East.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u22	Minister, thank you for the answers. We will closely monitor developments in this area. On the other hand, I am not sure I understood the commitment. Is it possible to try to organize another meeting during 2017 in order to sit Palestinians and Israelis around the table?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u23	Yes!
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u24	That's right! Okay!
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u25	Minister, we are on the eve of the implementation of the Brexit. Negotiations in this area may take longer than one evening or one day. They will start under Malta's presidency, which is still part of the Commonwealth and the smallest Member State in Europe. Perhaps that will also play a role in the coming months in the way the Brexit will emerge from the starting blocks. On the same eve, Ivan Rogers very unexpectedly announced his resignation. It was clear that he was never really in favour of a withdrawal and his comments on the fact that the negotiations might take a long time were also blamed on him. It is suspected that Article 50 will be invoked at the end of March. His resignation three months before the start of the initial diplomatic negotiations is a remarkable fact. Mr Minister, we have questions about this. Do you share our concern? Will the dismissal not compromise the precarious, complex negotiations? This afternoon, Prime Minister May clearly countered the situation. She has expressed her preference for a hard Brexit. It does not go halfway through; it wants to see things clearly separated; it wants good economic cooperation but it wants to be able to make its own choices at international level. Minister, do you think that the vanguard discussion with the resignation of Ivan Rogers will have an impact on the negotiations? Do you still believe in the strength of the current team to enter into negotiations? Do you think that the model that is being started should be adjusted? Would you, therefore, like to talk about this at European level? I look forward to your answer.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u26	Mr Minister, Mr Luyckx has already referred to it: today Prime Minister May gave a speech in which she indicated the direction of the Brexit. It will be a hard Brexit and it will be chosen no longer to be a member of the European Economic Area. It also says that it will not opt for the free movement of persons and workers and chooses to leave the European single market. It is true that it wants to focus on free trade agreements and speaks threatening language if we do not agree with the European Union on free trade agreements. Indeed, we are in a very difficult situation because of the choice of a hard Brexit from the United Kingdom. Our country has always said that the free movement of persons must always be part of the EU-United Kingdom agreement. What impact will this have on the negotiations, which have yet to begin, within the framework outlined by Mrs May? There is the threatening language that, if the United Kingdom did not have access to the European market, it would turn to fiscal competition. Can you explain this statement and explain the impact of that attitude on the EU's position?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u27	Mr President, my answer also includes the answer to the question put by Mr Blanchart, who is currently absent. So it's a mixed text. I shall begin with the questions relating to the resignation of the Permanent Representative of Great Britain. The resignation of Sir Ivan Rogers, the former Permanent Representative of the United Kingdom to the European Union, is an internal matter. The following day, British Prime Minister Theresa May appointed a successor in the person of Sir Tim Barrow, a career diplomat who, like his predecessor, is familiar with European affairs. It therefore seems unlikely that this resignation will have an impact on the start date of the negotiations or on the subsequent progress of the negotiation process. Finally, the appointment of a new representative of the United Kingdom to the European institutions does not affect our bilateral relations. The negotiations on the European side will also be conducted by the Commission, with former European Commissioner Michel Barnier as the main negotiator. The Council Secretariat will also play an important role in this. The officials who will conduct these negotiations often have years of experience and expertise in European negotiations. There has already been contact between the former European Commissioner, Michel Barnier and Prime Minister Charles Michel to see how we can follow up the negotiations. So far there has been no notification by the United Kingdom of the application of Article 50 of the Treaty, so that negotiations or pre-negotiation are not yet possible. It is therefore too early to comment on the possible scenarios that have so far been published in the press. As far as Prime Minister Theresa May's statements today are concerned, this is no surprise. There are some elements. Firstly, there is a decision to leave the internal market. Since the United Kingdom referendum, we have said that it was possible to participate in the internal market with respect for the four freedoms. I have read and heard that the UK Government is choosing to leave the internal market. Perhaps this is related to the fourth freedom for them. Secondly, the same reasoning is followed for the customs union. It is therefore virtually impossible for Britain to be a member or remain a member of the customs union. The Prime Minister has suggested the possibility of a trade agreement, as with other third countries. However, this is part of another process. I can only repeat that we will not start anything before a notification on the basis of Article 50. There are still some possible procedures in Britain, including a ruling by the Supreme Court and a possible vote in Parliament, but this is an internal matter. Thirdly, after notification at the end of March, we can start the negotiations for the way-out. Only then can negotiations for a new relationship with Great Britain be launched. I have already had contacts with fellow Members of this House on this matter. Yesterday, before the European Council of Foreign Affairs, I had contact with my colleague from Scotland, and I received a very interesting response. I've also been in touch with Ireland. However, we cannot start anything without Britain's notification. Then, with regard to the evolution of the Brexit negotiations, there is a decision at internal level in Belgium to organise a follow-up process with the Consultation Committee. At the next meeting of the Consultation Committee, we will be in contact with the Regions and Communities on the Brexit. I will also talk about this at the Inter-Ministerial Conference on Foreign Affairs. Preparatory exercises have already been carried out in the field of economics and other departments. We will follow this process with Foreign Affairs in cooperation with our fellow Members from the Regions and Communities, as well as with the Consultative Committee. So now we are in the preparatory phase. We must wait for Britain's notification. Following the way-out negotiations, negotiations for the new relationship will begin. I now have some experience with international trade agreements. I will take a little rest for the internal negotiations in Belgium with a view to a possible trade agreement with Great Britain.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u28	I share your view, Minister, that it is perhaps rather a political shot, with a view to making a number of points politically clear before the effective negotiations begin. Perhaps Prime Minister May also wants to clarify politics and tell companies and investors that the negotiations will not last long, so that everyone knows quickly where he or she is going. Eventually, the proof of the pudding in the eating will be. This chapter, which will start under Malta's presidency, will probably provide much discussion in this committee and will be followed in particular by our group. As has already been said in plenary, a Brexit and the whole story as it stands today are not necessarily a weakening for Europe, but an opportunity. However, good, lasting cooperation in any form whatsoever, in any agreement, must be taken into account, so that the economic links between the United Kingdom and Europe, and our country in particular, are preserved as far as possible.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u29	Thank you for your reply, Minister. When I hear this story like this, I do think it is important that the negotiations should have two thoughts. One thought will be that we want to defend the European story, and you spoke just now about the four freedoms, which are indeed an objective of the negotiations. The other thought will be the economic thought that we will have to keep in mind. If I understand you correctly, you said just now: we will first let the United Kingdom leave the EU and then we will negotiate trade agreements. I believe that this is certainly a dangerous way, which will create a great deal of uncertainty for our companies. We must try to guarantee trade with the United Kingdom. The United Kingdom is our country's fourth largest trading partner. This will therefore be an important aspect for our country in the negotiations with the United Kingdom.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u30	Ik wiléén could be preciseren. An important part of the negotiations will also cover the transition period. It is true, we want to negotiate the way-out first and then negotiate a new relationship. I don't know how long they'll last, but between them, we have to organize the transition. That is also a question from Prime Minister May, not only from the European Union. I believe that the transition period will be very important, first and foremost for the companies, but actually for everyone. At the moment, following Prime Minister May's statement, it is important to say that we want to negotiate as quickly as possible the exit from the internal market, the customs union and so on, but then we want to negotiate the organisation of the transition period until there is a new relationship. The discussions on the transition will be very important, I believe, for everyone.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u31	Both questions were attached to the firm's request for a consolidated response.
