ParlaMint-BE_2017-05-10-54-commissie-ic660x.u1	Debates of the European Parliament Mr Clarinval's 17644 was converted into a written question.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u12	Madam Secretary, thank you for your very full answer. Moreover, on behalf of all my fellow Members, I should like to say that you usually provide very comprehensive answers, which we can work with. I'll fill out my list. On the basis of the full list, with your additions, I have to check whether there is still a big difference between the real bestaffing and the standardaffing. There's always gonna be a difference. I will come back to that when I have mapped out the exact difference. I recall that you believe that, since the real bestaffin is greater than the bestaffining standard, it is, in part, unnecessary to raise the bestaffining standard. Of course it is good that hospitals invest in additional care staff. However, I believe that they should also be rewarded for quality through, among other things, the use of care staff. That is why I will certainly continue to work to ensure that adequate attention is paid to this in the reform of hospital funding. Hospitals that use care personnel should be rewarded, albeit in the form of raising standards, albeit through an indirect proxy such as quality. We will certainly continue to support your reform.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u13	Madam Secretary, this government and you as Minister are working on keeping the medical bill affordable for the patient and our social security in general. I think this is one of the spearheads of this government, which I, as a youngster, strongly support and support. One of the measures contributing to this is the use of cheap or cheapest prescription. This week I read in the newspaper that the brands in the supermarkets are so much cheaper than the other brands. So it certainly pays to buy the housemarks. Why shouldn't it be for medicines? It is an example of action where the same quality of care can be offered against a lower budget. The remaining amount can then be reinvested in nursing staff and in new care needs. I am thinking of the decisions you have taken on immunotherapy in oncology or the treatment of hepatitis C. Answers to previous questions have shown that your campaign with the general practitioners was successful. At the GP, the prescriber's behaviour is also tracked and feedbacked through benchmarking. Does this also apply to the regulations of specialists? Do you know whether they too are evolving towards cheap or cheapest prescription behavior? Should this not be the case, do you plan campaigns against this group or provide you with measures to ensure that the specialist also prescribes cheap or cheapest? I ask this question because in the field I heard various reactions from general practitioners and pharmacists who do use the cheapest prescription. However, they note that this is not always the case with the specialist and that they often change the brand of the product. I do not know whether this is supported by figures. In any case, it is important to involve the specialists in this measure, in addition to the general practitioners, because they are also important prescribers. The fact that not everyone is on the same page about the cheapest prescription also confuses the patient, in addition to the fact that this also leads to savings. Sometimes one has to change the brand, which in turn will not be good for therapy. My fellow Members from Open Vld have rightly tabled a resolution on this matter.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u14	Mrs Van Camp, the same principles apply to specialists as to the general practitioners regarding the cheapest prescription. Given the specificity of the prescribed medicines and the fact that even more are used in patent specialties, the level to be achieved differs from cheapest prescription per specialty. The RIZIV regularly provides information on the definition of cheap prescription. The reference can be found on the website of the RIZIV, professionals, individual care providers, inexpensive prescription. I have a whole table here. The evolution is also positive for the specialists. I have all the individual percentages. Overall, we see that in the first trimester of 2015 specialists prescribe 40% inexpensive. We see that percentage in the second trimester, when our action is started, going to 42 % and already in the third trimester to 45%. If we look at the percentages for general practitioners, we see them rising from 46 to 47 to 49%. The effect of the campaign was thus slightly greater among specialists. Maybe that's because they started a little lower on average. With dentists, the percentage rose from 81 to 82 %, after which there was a slight fall to 80 %. So there are very large differences between them. Some, for example the stomatologists, already charge 81 % cheapest. For others, that percentage is lower. I note that the lowest figure found for the last trimester is 31 %, especially among oncologists. That is not surprising, because all these new molecules are still patented and everyone likes to be treated with the best medication. In any case, this action has also produced results for the specialists and is followed as closely by specialism. I'll get you the table.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u15	Madam Secretary, thank you for your reply. Those are very nice figures, certainly something you can beat on the chest with. A previous question I asked had already shown that this campaign was a success for general practitioners and now also for specialists. It is very important to note that this is not only a saving for society, but also for the patients themselves. Along with the other measures you have taken to bring down the bill for medical costs for patients, this is a very nice one.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u16	Debates of the European Parliament Mrs Muylle's 17705 has been converted into a written question.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u17	Madam Minister, I am obviously not going to read all of the opinion given by the Supreme Council of Health (SHC) in its report entitled "Generalized genetic screening in the context of procreation. Towards responsible implementation in the health care system". This is an extremely interesting report with conclusions and recommendations. I don't read them. I had summarized them in my question, but you or your collaborators certainly had the opportunity to learn about them. I come now to my questions. What is your opinion on this report? Do you intend to seek advice from the Bioethics Advisory Committee, as suggested by the Superior Health Council? Have you started a dialogue with the actors involved in this issue, be it genetic centres, gynaecologists, general practitioners, obstetricians and patient associations? If not, do you intend to do it? Are you considering a pilot project? I have heard a professor, who is also an expert on the subject, speak out and plead for the passage through a pilot project. I'm not a big fan of pilot projects especially when you're doing pilot projects that are never just projects that existed before in the field, as we've seen recently, and that's just a package. Here, in this case, I think that would probably be a good idea. Of course, there are important budgetary issues. At the same time, there are issues that are particularly crucial for the families concerned and necessarily for the children to come.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u18	Madam Minister, my question is in line with the previous question. As you know, the Supreme Health Council has issued a remarkable opinion on carrier screening in reproductive context. The Council proposes to launch a pilot study and to seek an opinion from the Advisory Committee on Bioethics. I have the following two questions. Will you, like the Supreme Health Council, propose to seek an opinion from the Advisory Committee on Bioethics? How do you feel about the suggestion of starting a pilot's investigation?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u19	Mrs Fonck, mevrouw Somers, I have read the opinion of the Higher Council of Health. I consider it appropriate to obtain the opinion of the Advisory Committee on Bioethics prior to any initiative and to organise a consultation with the actors in the field on the delicate issue of genetic testing in the event of a desire for pregnancy. The initiative of such generalized screening practices raises a variety of ethical issues. This includes examining the relationship between the type of genetic information collected and the usefulness of that information to the person wishing to become pregnant. Beyond a potential public health interest, the impact of genetic information on people, beyond their design project, must also be taken into account. The Advisory Committee on Bioethics will be asked for an opinion on the possible implementation of the recommendation of the High Health Council. It is desirable to look first and foremost at the autosomally recessive genetically defined diseases which are quite prevalent in our population. There must also be broad social and medical support to position the new tests and to get them into practice. The difficulty in doing so, and this has already been addressed in previous discussions with the genetic centres, is not to do the test. The difficulty is to do the counseling afterwards, where the decision to allow pregnancy to continue or not, whether to begin or not, is still left to the parents concerned, or to the people who want the child. This is the difficult ethical aspect in this. This counseling must be done in a very thoughtful way, otherwise one risks causing great problems for the people. I'm not ruling out a pilot project, but it's definitely too premature to plan it now. The terrain is not uniform enough for that. What isn't may be, but there's other work to be done first.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u20	Madam Minister, I think you're quite timid in this matter. I take note of your comments. I think, however, that this is a dossier that cannot be left on the side. There are, of course, legal and ethical issues. So much the better if you have asked for the opinion of the Bioethics Commission! Good too, but then do it, if you intend to engage in a consultation with the actors involved! As for your reflections, we know today the recessive autosomal diseases related to X. We know them. The scientific data are present. Knowing them will not require an analysis. On the other hand, given the impact in terms of reproduction in relation to screening, one can obviously focus first and foremost on pathogenic mutations which have what are called "high penetrance" and "low variable expression", since one of the challenges is to minimize uncertainties when accompanying carrier couples. From the moment we make generalized panels, this must obviously include serious disorders for which therapeutic interventions exist but whose treatment is particularly heavy, whether for children or the family on the various aspects. We're not leaving anything. We already have an extremely important base. After the various opinions and consultations, we must move forward on this issue, knowing that the whole thing is not to do the test, to identify the risks but to have this accompaniment, this counselling which is not just advice but is also an important accompaniment of families before, during and after – and sometimes there for some time – the test performed and therefore the possible diagnosis of established risks. I'll come back to you. I hope that we will not wait until the end of the legislature to move forward.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u21	Madam Secretary, thank you for the answer. It is very good and appropriate that you should first seek advice from the Advisory Committee on Bioethics. In addition, I would not express it so strongly that you are rather dismissive and reluctant. Given the many legal and ethical aspects and the privacy issues in this area, we cannot really just look at the test itself. We must therefore look at this globally. In that sense, I think your answer is rather positive.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u22	Mr. President, Minister, you are aware of the 2005 Royal Order setting out the general principle of health care insurance. It states that the third-party-payer principle can always be applied for the intervention of insurance in the cost of all health benefits, which refers to a list of patients who are always entitled to it and, in particular, the beneficiaries who are in financial and occasional distress situations. It comes to my mind that you are about to adopt a royal decree concerning the logopedia which is intended to prohibit the practice of third-party payment for the services of logopedia in schools. I imagine you will answer that this is the translation of the agreement between the logopedes and the insurers. Between a convention and sinking this prohibition into a royal decree, there is a significant difference since you are derogating from the general and very important principle of third-party health accessibility charges. When I find that children (in particular, those among the most vulnerable) can benefit from school logopedia sessions, which guarantees their care, it creates an ease of organisation for families and, while a number of them have disabilities, they offer access facilities. What you're about to do is send them back to the private logoped cabinet. For a number of these children with disabilities, things are much more complicated. Access to the firm is only more difficult in terms of materiality. Children with disabilities who attend mainstream education will find it even more difficult to add more steps to a private practice in the afternoon or evening. I hear a lot of logopeds telling me how much they think it's a step backwards. I really call on you not to take this royal decree and even to discuss this provision again, within the framework of the Logomut Convention.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u23	Mrs Fonck, the Commission for Agreements between Logopedes and Insurers did not, in fact, include in the text of the 2016-2017 Convention, signed on 7 March 2016, the provisions relating to the prohibition of the third-party scheme for benefits provided at school, as they appeared in the text of the previous Convention, in accordance with the Royal Decree of 18 September 2015 which you mention in your question and not by virtue of a wish or a decision of the Commission of Conventions. Indeed, the Convention Commission proposed an amendment to the Royal Decree of 18 September 2015 to reinstate this prohibition. As a result, I proposed this royal decree. It was put on the agenda of the Council of Ministers on 28 April 2017. I think it'll be published soon enough. It is a royal decree that will restore the ban on third-party payment for logopedia services at school.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u24	Minister, thank you for this very regulatory and administrative response. I think this is a mistake, because for these very vulnerable children, with disabilities for a number of them and who are in mainstream education, everyone wins this situation: organisational facilities for families; access facilities, especially for children with disabilities, in order to prevent them from returning to another consultation later; guarantee for these more vulnerable children to follow this treatment by logopedia. The arrangement you are going to make is for them a hindrance. No one wins, neither children, nor their future integration, since you know that logopedia is vital for everything that is education, training and professional and societal integration. In the end, I think it even has a negative impact on the state. Indeed, this clearly budgetary measure - it must be recalled - will, in the medium and long term, have a negative impact on the state budget, and potentially a negative impact. I therefore join the logopedes calling for a review of this measure, as well as the families and children involved in this scheme. I clearly call you back.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u25	Madam President, Minister, it was recently decided to drastically reduce or in certain cases abolish the refund of immunoglobulin for the treatment of patients with immunodeficiency. We know that a few panic reactions have appeared in the press as a result. For the record, I don't blame you. We all know what's going on. However, I do have a number of practical questions and a number of questions for further explanation. Firstly, how long were the doctors and patients properly informed about this measure? After all, we have read in the press that some people have experienced this as a death sentence. Again, we know what's going on. However, I would have liked to have had an answer to the practical questions. Secondly, will the medicine still be registered in the future, so that it can be followed if it is still used as a non-refundable medicine? Linked to this, are doctors sensitized about their prescription behaviour? Thirdly, it seems that a transitional measure has also been worked out. What exactly is this one made of? The following is very recent and I had not included in the written record of my question, but I suppose you know about it. In order to be recognized as primary one must now visit the immunologist. It has now come to our attention that there are very long waiting times. I don't know if that's right. That's what I'd like to hear from you.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u26	Madam Minister, judging by the number of questions, I am certainly not the only one who has received a lot of questions about human immunoglobulin. One of the brand names that is often called is Privigen. The affected patients have even submitted a petition and a petition to ask for clarification on the change to reimbursement. I assume that this decision, like most of your policies, is based on the most recent scientific findings and is therefore also in the best interests of the patient. Can you indicate precisely the studies and scientific findings on which this decision to change reimbursement is based, so that those who are confronted with it know what is behind it and they should not worry about the change in reimbursement? I agree with Mr Jiroflée's question. I have heard on the premises and from patients that there was one week between the announcement and the effective entry into force of the refund change. At least that's how the patients experience it. I have included the dates mentioned in the written presentation of my vagueness. Can you objectively explain exactly how the communication was conducted? What's common around here? I know that there are legal deadlines for announcing and implementing changes to refunds. Were the legal provisions respected? I note that there is still a great deal of uncertainty among patients about what is being reimbursed to whom and under what conditions. Can you clarify that? Which treatment according to the scientific findings and your policies is most appropriate for patients who are no longer eligible for reimbursement? Which therapy is in accordance with the latest scientific findings? As I have already received so many questions, I wonder how many patients exactly are affected by the change. I understand that the change concerns mainly secondary immunodeficiency. How is that distinction made and how will you verify that?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u27	Madam President, Minister, I will be very brief because the situation has been explained and most of the questions have been asked, including those I wanted to ask. However, the next aspect raises questions for me. There is a group of patients whose type is not defined today, who are in uncertainty. They are subject to a transitional period until 1 October, I believe. They should also address a doctor of the Belgian Primary Immune Deficiency Group and apparently it is not easy to get an appointment there soon. Those concerned fear that they will not reach the date of 1 October. What happens then? If one has completed the entire journey and still does not receive a refund, what will happen? Quid with the invoices that are already there from that period? They also have a lot of specific questions under the transitional measures. Madam Secretary, it is the High Health Council that made the recommendation you are now making in 2010. I therefore suspect that there is sufficient scientific basis for this. My main concern is the transitional measures for those who are excluded. A second aspect also mentioned by Mr Van Camp is communication. Are there sufficient alternatives for those who no longer receive reimbursement and are they sufficiently informed about the continuation of their treatment in a different way?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u28	Madam President, Minister, I have obviously carefully examined the conditions and the three aspects. I won't take them back here. These include components related to patients with acquired immunodeficiency syndrome, primary immunodeficiency, myeloma, CML, B-cell malignancy, or B-cell iatrogenic deficiency, or in relation to the use of monoclonal antibodies or chemotherapy. I have been contacted by several patients and by several parents or grandparents of patients, including young children, who are treated with human and normal immunoglobulins. As other colleagues have already done, I would like to inform you of their incomprehension. In his time, I had read the opinion of the Higher Council of Health. This notice was issued in 2010. The least we can say is that the opinion was extremely cautious. Indeed, it called for a regular review of scientific developments. He also said how fundamental it was to always be attentive to how things would be achieved, to alternatives in terms of treatment and to decision-making. The patients who contacted me are not in good shape. I want us to be aware of that. These are patients who often have a particularly heavy medical history, which goes back many years. Minister, could you justify your decisions to change the rules and completely remove access to treatment for some patients? I am thinking here, in particular, of patients with acquired immunodeficiency syndrome who have not decided to receive this treatment; it has been prescribed to them. Could you also explain to me about the procedure? For patients for whom there is not a pure and simple removal of treatment on the basis of a category, you require a re-evaluation by a doctor from the Belgian Primary Immune Deficiency Group (BPIDG). I took the trouble to review the list of members who are members of the OPIDG. I don't know if you're aware of the distribution across the country. The Flemish Brabant, the Brussels-Capital Region and Eastern Flanders have a fairly large number of doctors included in this list. On the other hand, for the entire province of Hainaut, which is still the largest Francophone province, there are two doctors. In the province of Liège, there is one. In Namur province, there is one. In the province of Luxembourg, there are none. In West Flanders, there are none either. Other provinces do have a much larger number. It is in Flemish Brabant and the Brussels-Capital Region that there is the most. This obviously raises questions about how these patients, who are also monitored by a general practitioner, and by specialists for a number of them, will have access to this clinical re-evaluation. And beyond this, be it those for whom you decide to remove treatment or others, on how alternative treatment can be considered and decided upon. Many of these patients have been taking these treatments not since yesterday. In addition, these treatments have been regularly reviewed in accordance with their evolution, particularly in relation to the number of infections and complications of infections they may have experienced. On this subject, I am extremely surprised, Madam Minister, by the transitions you have planned, and that is the least we can say, beyond the patients for whom you have decided to remove the treatment. I really want you to explain to me how and why you made this decision. For others, the deadlines are particularly short when one sees the possibility of being re-evaluated by doctors, dispensed by those designated in your short list. Finally, this also raises a number of significant questions about how each one has been informed. I find that the information that has been given to patients is incomplete or even completely absent. Imagine the situation of patients who have been suffering from a serious, sometimes very serious disease for several years. All this is not simple. What about information to caregivers, particularly general practitioners and specialists who follow these patients? It will also be opportune to see how physicians who are part of the OPIDG will be able to maintain a pace as fast as you impose in order not only to receive their patients, patients who have recently registered for their consultations – their normal activity is not negligible – but also to complete all the re-evaluation to be carried out for patients treated today and who, tomorrow, could no longer benefit from it. I am waiting for the answers and I would also like to ask you for figures on the budgetary side for the State. In addition, I would like to know the financial impact and the assessment of the financial impact of your decisions if some patients were deprived of the reimbursement and if, nevertheless, for medical reasons, they had to continue their treatment.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u29	Mevrouw Jiroflée, mevrouw Van Camp, mevrouw Muylle, Ms. Fonck, first of all, I would point out that no changes have been made to the terms of reimbursement for human and normal intravenous and subcutaneous immunoglobulins in patients with primary immunodeficiency, as in effect since January 1, 2014. And that, unlike everything you've seen in the media. Why should we look more closely at the scientific basis of our policy in this area? According to information from Pharmanet, the net impact for INAMI of the reimbursement of these human immunoglobulins in 2007 was EUR 31 million. This amount rose to €79 million in 2015, an increase of 255%. This suggests that the number of patients increased sharply during this period. Such an increase raises questions. Where does this increase come from? Are all these patients receiving the right treatment? In addition, it should be noted that the stock of human immunoglobulins is limited. It's from the plasma. We have no other sources. We must therefore manage it with great caution and ensure that patients who really need this treatment can receive it. The clinical scientific analysis, carried out in accordance with the principles of evidence-based medicine under Article 38 of the Commission's procedure for reimbursement of medicinal products, was in accordance with the usual CRM procedure based on an analysis of the recent literature on the subject, as set out in the D60 report. Mrs Fonck, I have here for you, and the other members of the committee, the exact references of the publications on which the Commission relied. During the Article 38 procedure in CRM, there was no intervention by CRM academic banks to maintain reimbursement for a general acquired immunodeficiency, and therefore not primary immunodeficiency. Based on that evidence-based medicine analysis of the scientific literature, the compensation conditions for some secondary immune deficiency disorders were extended in patients with haematological malignancies, such as multiple myeloma or chronic lymphocytic leukaemia, including those with iatrogenic b-cell deficiency by the use of monochromal antibodies or chemotherapy. The Committee on Medicinal Products Meeting reviewed the conditions for reimbursement by the end of 2016. It was up to the RIZIV to communicate the measures, as always, via the website. Commercialised normal human immune globals for intravenous and subcutaneous administration in Belgium are all indicated for the treatment of patients with primary immune deficiency. No immunoglobulin has a registered indication of secondary immune deficiency, unless, as mentioned above, in patients with multiple myeloma or chronic lymphocytic leukaemia with recurrent bacterial infections. It is only the manufacturer who can register the medicinal product for an additional indication. The doctor shall certify in Annex A the refundable indication of two paragraphs of Chapter 4 for which reimbursement is sought. There is no provision for further sensitisation of doctors. It cannot be ruled out that a number of patients who in the past received compensation for secondary immunodeficiency therapy may also have an underlying primary immunodeficiency, known or unknown. The exact number of patients involved is not yet known, since it is not on the second line that the number of patients with primary immunodeficiency will be known. In the CRM procedure, it is widely estimated that between 20 and 50 per cent of patients currently receiving secondary immunodeficiency compensation may have underlying primary immunodeficiency. Contrary to some information in the media, we are indeed planning a transitional regime. Since the diagnosis of primary immunodeficiency and indications of treatment with human and normal immunoglobulins must be made in accordance with the reimbursement conditions in effect since January 1, 2014 and/or confirmed by a physician in the OPIDG, the hospital pharmacist may, on the grounds of force majeure, postpone the billing until the diagnosis is made or confirmed by that physician. In this way, the doctors and patients concerned have the time required for diagnostic procedures. This measure ends on 1 October. Six months are foreseen for transitional measures. Finally, it is also important to underline that patients with a valid authorisation of reimbursement for a secondary immune deficiency will retain the authorisation beyond 1 April 2017 until the expiry of the authorisation after a maximum period of 12 months. All these technical matters have been explained on the website of the RIZIV, but they have apparently also not been correctly taken over by some doctors and certainly not properly communicated to the patients, which has led to a number of panic reactions and some understandable emotional reactions. In any case, if this were to be a saving, only the number of indications would have been reduced. They didn't do that. On the contrary, they have added. However, it has been said that within six months an opinion should be sought from a doctor who is able to assess the matter with knowledge, who nevertheless requires some knowledge. Until now, the consultation was not necessary once a year. One of the arguments was that the patient sometimes had to wait until one and a half years before he or she could go to such a doctor. Well, the RIZIV has called off the hospitals at our request and so far no waiting lists have been established simply because anyone who already has a primary deficiency does not have to consult in accordance with the new procedure. Anyone who falls within the given indications should not go there either. If there is not a doctor with the necessary competences in each province for these rare diseases, this can only be a challenge to better geographical distribution of subquotas and subspecialties across our country. When we talk about centres of excellence, it is clear that specialists are not on every corner of the street for such matters. We need to know what we're doing. When we talk about evidence-based work, this also goes hand in hand with the fact that sometimes once a year, on the basis of the current dossier, we will have to go to a doctor who does a little more practice. Today there's another message in the media like I'd declare people dead with my own hands. I understand the emotion, but frankly, we are trying to work in a scientifically sound way. We want to continue to give the immunoglobulins to the people they really need, to the people whose lives depend on them. If that is not permitted in our country, Mrs Fonck, what are we doing? I know it's corn on your mill, that you're hoping for a lot of emotion and a lot of tralala, but listen and look at what's going on on the ground.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u30	Madam Minister, let me be clear, I am not questioning the measure myself at the moment. I am also well aware that it is not only your responsibility, but the least one can say is that there has been inadequate communication or that communication has gone wrong somewhere. I therefore urge you, in future, to ensure that patients and doctors are properly communicated to such problems, in which so many people feel affected. This clearly did not happen here, otherwise we would not have known so many cases. I'm glad there aren't any waiting lists.
