ParlaMint-BE_2017-02-08-54-commissie-ic586x.u1	The Minister has informed us that he has to leave at 5:15 p.m. We shall then end our work.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u19	Thank you, Minister, for your reply. The plan for the abolition of the consideration remains a priority. I think it's a good thing. In the meantime, this seems to be a useful project, but you cannot explain it today. Let us hope that the presence of cameras is evaluated as positive. This could prevent a number of people from doing so, given the heavy penalties imposed on them. That will also lead to less delay. I can also imagine that the Infrabel will cost less court fees if there are fewer discussions and court cases about the responsibility of liability in the event of rail transgression.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u20	Thank you, Minister, for your detailed reply. As regards the abolition of consideration, I have noted that 21 are on the agenda for this year. The average cost of 1.2 million euros is quite considerable. However, I believe that abolishing is the most effective way of preventing such terrible accidents. I therefore hope that these 21 can be realised at the price you mentioned. In connection with the trip mats, I thank you for the information. The efficiency was indeed measured in Waver and it produced a result of 98 % less track runs. Here too, I believe that we need to continue on the road and implement the priority measures this year. Together with you, I hope that such accidents can be greatly reduced. Yesterday, in my area, there was another death in an accident on a road.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u21	Every morning, Minister, I see cars parking in the too small parking lot of the Groenendaal station on the 161 Ottignies-Brussels line. Every morning I see many more cars that pass the parking lot because it is full and continue to the ring or via Bosvoorde find their way in the Brussels Region. I am glad that a solution has been found and you have already answered a question from me in order to have more trains running on that line in the long run. However, these trains will not be full until there are a lot of passengers. Those passengers should also be able to park their cars around all stations, including in Groenendaal. In this context, we as Hoeilaart Municipal Council have been actively working for years to bring all the actors around the table that are needed to set up a parking project. These are SNCB, ANB, AWV/MOW, TEC, De Lijn and also the municipality. That is a lot of actors, and you can see that here with me. SNCB is the poor student of the class here. For more than a year now, the company has not been able to make a very simple decision, namely: is SNCB going to invest in such parking at the station or not? When I read the policy statement you gave in committee last year, the answer is very simple: yes, we need to invest in it. After all, you are also in favour of large car parks around those GEN stations. At the end of 2015, I even asked a question to buy the land of SNCB as a municipality. This was also not a positive response from SNCB. The excuse I keep hearing is the absence of an approved multi-annual investment plan, a MIP. I received that reply again by e-mail on 20 January 2017. Mr Minister, I find it incredible that an organisation such as SNCB cannot present an investment plan giving priority to parking around GEN stations. SNCB is losing a lot of passengers because of this. The turnover is also lower than what could be achieved and the image is famed by the lack of investment in those parkings. I just have one question. Will SNCB invest in a large parking lot at the Groenendaal station on line 161? I look forward to your answer.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u22	SNCB lets me know that she gave you an answer on 20 January. SNCB indeed included the parking project at the Groenendaal station in its list of proposed investments. The project is scheduled for 2019-2020 in its version. The investment cell will give us a ruling on this. For part of the budget to be spent, the Regions will also be able to put their priority forward within the investment cell. SNCB is involved in the project concerning the cooperation agreement on the Groenendaal railway station environment. Pending clarity on the investment plan, SNCB states that it is still willing to participate in the announced working groups. SNCB informs me that it wishes to keep its parking areas at its stations as much as possible. If the project for parking at the Groenendaal station is not finally approved, alternative solutions can be sought.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u23	Thank you, Minister, for your clear answer. I am of course very happy to hear that the implementation is planned in 2019-2020, subject of course to the approval of the investment plan and the confirmation of the investment cell. I myself took the initiative last week to bring all parties around the table at the town hall in Hoeilaart on Friday 24 February. The invitations are on their way. I really hope to get a basic agreement from all the parties to build that much-needed parking. Thank you for your explanation and for your support.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u24	On February 2, 2016, on the front page of De Standaard, the tip of trains was historically high. In 2015, 90.9 % of trains managed to be late up to 5 minutes and 59 seconds. Reference was made at that time to the introduction of the new transport plan, with more reliable equipment and awareness actions for staff to allow trains to leave on time at the departure station. The figures were explained the day before in our Chambers Committee by the CEOs of SNCB and Infrabel. The news from early January of this year was less rosy. The punctuality had dropped again below 90 %. All over 2016, 89.2 % of trains drove on time or with a delay of less than six minutes. According to NBMS and Infrabel, delays are due, among other things, to delays by third parties, notably trackers, bomb notifications or police interventions. The delays by the company itself, such as power failures, would have remained stable over the past year. In 2013 we also discussed the punctuality in our committee. On 6 November 2013, the punctuality managers provided a comprehensive explanation of the ongoing actions and actions in the short and medium term. A pain in the event of delays remains the communication to the passengers. I have the following questions: Can you give a similar, albeit more concise, explanation of last year's punctuality figures, and more specifically about the causes of the lesser results? Can you make a brief evaluation of the measures taken since 2013? Do you recognise that communication with the traveller can be much better in the event of delays? If so, which initiatives have already been taken and which are you planning?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u25	Minister, I agree with Mrs Lahaye-Battheu's questions. The most important question is whether the 2013 Action Plan Punctuality deserves an update. It is regrettable to note that after the improvement until the beginning of 2016 at the beginning of 2016, we were at the level of 2006, the best level for ten years is again a decline and that the situation is again that of a few years ago. I hope it can be corrected quickly.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u26	Mr President, I will answer more questions than I have just asked myself, because some of the authors are absent. In 2016, the punctuality of trains was 89.2%. Although it is lower than in 2015, which, with a rate of 90.9%, was an exceptionally good year, it is clear that the year 2016 is the second best result in the last eight years. In fact, the figures of punctuality on the network for the period 2009-2016 are as follows: 2009, 88.9%; 2010, 87.5%; 2011, 87 %; 2012, 87.2%; 2013, 85.6%; 2014, 88.2%; 2015, 90.9%; and finally 2016, 89.2%. While SNCB and Infrabel are working on internal causes that affect punctuality and result from both infrastructure and hardware incidents, they do not have all the information, as the security environment and increasing third-party causes do not make it easier for them to do so. As regards these internal causes, since 2013, the two companies have endeavoured to reduce the number of infrastructure incidents and damage to rolling stock, to plan as best as possible the work intended to reduce the impact on punctuality and to be more rigorous in the first departures of trains. In January 2017, Infrabel and SNCB, on my initiative, identified line managers. They were instructed to follow up on the punctuality problems and to make concrete proposals. In this connection, I refer to the answer I have given to oral question No. 16390. As regards the completion of the connections, a maximum waiting time shall be allocated per train at the connecting stations and shall be determined by common agreement between SNCB and Infrabel. Its allocation and length depend on the type of train and the disruptions that the waiting may cause, for example, depending on the use of the line and the alternatives in case of missed connections. An additional waiting period pilot project is underway at Ciney, Marloie, Libramont and Mons stations. A monthly evaluation is planned. As far as the last correspondence of the day is concerned, it is always insured, even if it involves a Taxibus or a taxi if the connecting train cannot wait any longer. The external elements impacting punctuality, such as bomb alerts, the phenomenon of intruding on the tracks (the trespassing) and serious incidents (criminality), have evolved exponentially. Thus, these elements increased by 50% when compared to the first 10 months of 2015 with those of 2016. SNCB and Infrabel strive to reduce the impact of these third-party incidents, including personal accidents, intrusions and cable thefts. Strike days also severely penalized traffic in 2016 and blew up the number of trains removed: 8,419 trains were abolished for the announced strikes and 10,758 trains were abolished for the unannounced strikes. This makes a total of around 22,000 trains abolished in 2016 for strikes on a total of 38,000 trains abolished. In terms of punctuality, clear targets for improving punctuality will be sought in line with the 2014 and 2015 improvement. With regard to communication in the event of delays, the SNCB Management Committee approved on 21 November 2016 the Information-Travellers Strategy 2016-2020, covering in particular better communication between the operational services concerned, an improvement in the quality of the content of the announcements, an adaptation of the technical means to make it more efficient and an awareness of the importance of the quality of the information to be provided to travellers. Finally, the gross punctuality for January, measured at the end of January, was significantly increased compared to November and December 2016, where punctuality was deteriorating. The year 2017 has thus begun under the best auspices.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u27	Mr President, I would like to thank the Minister for his reply.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u28	I agree with those words of thanks.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u29	Minister, according to this government's strategic vision on rail, it was intended to merge TUC RAIL and Eurostation into one company. This fits in with a certain logic, in particular the reduction of the number of subsidiaries. It would also bring together the knowledge of both companies. It would also be a good start for Eurostation, which has been plagued by all kinds of scandals in recent years. The construction of all railway infrastructure would also be delegated to TUC RAIL-Eurostation. Hence the following questions. How far does the government stand with the integration of TUC RAIL and Eurostation into a single subsidiary? When will the construction of all railway infrastructure be delegated to TUC RAIL? I would also like to refer to our motion for a resolution, which aims to transfer the stations to the infrastructure manager Infrabel. In our view, this would improve the simplicity, logic and good management of the stations. I therefore have a third question, Minister. What is your view on transferring the stations to Infrabel? Thank you for your answers.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u30	Dear colleague, on 1 January 2014, the date of the restructuring of the railways and the transfer of branches from the former SNCB Holding to Infrabel, Infrabel had 23 subsidiaries, 15 of which were part of the consolidation perimeter. Today, Infrabel has 17 subsidiaries, 11 of which belong to the consolidation perimeter. This means a reduction of 26% compared to the situation on 1 January 2014. Infrabel has the ambition to further simplify the organisation of the Infrabel group and make it as transparent and efficient as possible. Infrabel approved, among other things, at the beginning of this year, the merger between Ixilio and TUC RAIL. The activities of TUC RAIL and Eurostation are very different. The activities of TUC RAIL are linked to the activity of the infrastructure manager, while those of Eurostation are linked to the passenger reception activities. This separation is in line with the activities of their respective parent company. Even if a merger cannot be ruled out in the long term, such a merger would entail an additional obligation of cooperation between SNCB and Infrabel at this stage. I do not wish to do so as long as cooperation between the two companies is not improved in view of their basic activities.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u31	Mr President, Minister, it is a good thing that the number of subsidiaries is reduced. This is also in line with the current government's strategic vision. You did not answer my question about that phrase in the strategic plan, in particular about delegation of the authority of all railway infrastructure to TUC RAIL. I will therefore continue to follow up on that dossier and, if necessary, submit any further questions. After all, I referred to our view on this in my question. It is very clear and was also partly included in the strategic vision. That vision has been approved by the government, and we will see to it that it is implemented.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u32	Minister, the Hasselt Stations environment was established in 2003. Both the city of Hasselt are represented through the Autonomous Community and SNCB via the Euro Immo Star. In 2004 and 2005, the Hasselt Stations environment and Eurostation concluded a study contract for building construction, underground parking and archives in the vicinity of Hasselt station. There was also cooperation around the construction of the Palace of Justice. I have some questions. Following what projects have Eurostation or one of its subsidiaries in the past cooperated with the Hasselt Stations environment? What legal form did this cooperation take? Were there reports of the joint meetings of Eurostation or one of its subsidiaries and the Hasselt Stations environment? Is it possible to receive a copy of that? Finally, the Hasselt Stations environment would be in liquidation, is that correct? Since when, should this be the case and what is the reason for the liquidation? What are the consequences of this on cooperation with Eurostation and what is the state of settlement?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u33	SNCB informs me that the Hasselt Stations environment was established on 10 December 2003 and aims to coordinate developments in the Hasselt station environment and surrounding areas. This is done, among other things, by the process management of the total area development, the elaboration of a final concept for the concrete realization of the construction projects, the management and follow-up of the master plan and the coordination of the projects. The two shareholders are 50% of the Autonomous Community and 50% of the Eurostation holding Euro Immo Star. Each year an annual report is drawn up which is part of the annual accounts. Those annual accounts shall be published. As these are private companies, no reports of meetings can be made available. The Hasselt Stations environment is not in liquidation.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u34	Can you repeat that last one? I didn't understand.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u35	The public limited company Hasselt Stationsenvironment is not in liquidation.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u36	She's not in liquidation, okay?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u37	Questions Nos 16231, 16232, 16233, 16234 and 16235 by Mr Van Hecke lapsed. These were converted written questions to which Mr Van Hecke has meanwhile received an answer.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u38	Mr Minister, my question is about the Parkweg Bridge in Heverlee. At the end of April, early May 2016, Infrabel's investigation concluded that the so-called Parkweg Bridge in Heverlee was irreparably damaged and that the instability problems were such that it was irresponsible to keep the bridge open even longer. Infrabel then announced that it would carry out a study to build a new bridge. That study should be completed by the end of the year. Meanwhile, work would be done on a preliminary construction that would allow pedestrians and cyclists to move towards Parkabbey of Heverlee. Mr. Minister, Leuven hikers and cyclists expressed their displeasure some time ago about the fact that there is no longer any possibility of crossing directly from the Sportoasis in Leuven to the Park Abbey. However, this is an important road for cyclists and hikers. Passers have for a while followed the nadar gates with messages begging for a solution so that they can walk directly towards Parkabbij. My questions to you are the following. What about the planned study on the construction of a new bridge at this location? Do you confirm that this study is on schedule? Will the planned completion of the study be maintained by the end of 2017? It was communicated that there would be a temporary construction pending study results. There isn't at the moment. What are the reasons for this? Will you work on a temporary construction to ensure this direct passage? What measures will you take? When will they be operational?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u39	Infrabel lets me know that the study on the new bridge is being carried out. The planned timing is maintained. The study is conducted in close consultation with the city of Leuven and the Agency Onroerend Erfgoed. In reply to the oral question No. 14586 of 20 October 2016 was already informed that the construction of the temporary construction was being investigated. On the basis of this study, in consultation with the city of Leuven, it was decided not to provide for a temporary construction. The reasons for this are as follows. The taluds in that place are too steep and not stable enough to support a temporary bridge. If a temporary bridge is to be built, new foundations must be created to support it. This also requires a study as well as the preparation of a specifications and the completion of a tendering procedure. The time savings achieved are therefore very small. A new bridge is therefore immediately chosen. The bridge is located in a protected landscape, therefore the temporary bridge must be built in exactly the same location as the old bridge. The new bridge must also be built at the same location. This means that the temporary bridge must be removed when the construction of the new bridge starts.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u40	Thank you for your answer. I understand that the works and the study are on schedule, but it's not worth building a temporary bridge. I will inform the city of Leuven in that way.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u41	Mr Minister, my question concerns a follow-up to a question I put to your predecessor about ten months ago. During a committee meeting in April 2016, I informed the Minister about the state of the Leuven station, because the cleanliness at that time left to be desired. The Minister replied at the time that a number of calls for tenders were under way and that a number of work would be started soon. The Leuven station has been dealt with here and there over the past year, including lighting, but several faults continue to pop up. For example, the cleanliness is still not what it should be in some places and despite the investments made a few years ago, the station still does not have toilets in the station building. The toilets that are to be used for the time being are the boxes that are close to track 1. I therefore have the following questions, Minister. When is the completion of the current ongoing work at the Leuven station foreseen? What other work is planned for 2017? What are the budgets earmarked for this? At the time, the Minister stated that cleaning the canopies in the station was the subject of an ongoing window contract with the company ISS. What exactly are the modalities of that agreement? So how many cleaning times are provided for in that agreement and within what period, since this has still not happened? What is the cost of cleaning the canopies? Like last year, I am asking whether the drawing up of a systematic maintenance plan could be helpful here. Was that option investigated? If not, why not? If so, what were the conclusions and what concrete measures or proposals has this led to? Despite the large investments made a few years ago, there is no toilet in the buildings of the Leuven station. Are there plans or proposals to change that? How concrete are these plans?
