Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PP	Parti Populaire	Opposition	Right to far-right	CarcaciAldo	Carcaci, Aldo	M	1949	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	MahouxPhilippe	Mahoux, Philippe	U	-	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	JunckerJeanClaude	Juncker, Jean-Claude	U	-	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	JunckerJeanClaude	Juncker, Jean-Claude	U	-	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ThyssenMarianne	Thyssen, Marianne	U	-	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u24	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	-	-	-	-	-	-	-	-	-	-
