ParlaMint-BE_2017-02-15-54-commissie-ic598x.u1	Debates of the European Parliament Mrs Gabriels' 16285 will be converted into a written question.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u12	But we don't know what's going on yet.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u13	There you go. Finally, as I have told you on several occasions, the Safety Authority cannot decide on a possible start date for the Tihange 1 reactor until all the safety studies provided by the operator have been evaluated and accepted. As I have already explained in my previous replies, I can assure you that no relaunch can be envisaged without the approval of the Safety Authority. All safety demonstrations will be reviewed before the green light is given. This is indeed difficult, because the most recent document may still raise new questions. In any case, I assure you that the operator must answer all the questions and that the required levels must be reached, otherwise the reactors will not restart.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u14	On this point, I have no doubt. You've already talked about it several times. My problem is that this is the fifth announced restart date. And there's a market disruption. As we announce 15 February, then we postpone and, if I have heard your answer, at this stage, things are not clearly demonstrated in terms of seismic resistance capability. It means it'll take some more time. So I'm not asking for a date, but does the AFCN think it's credible that it's February 28th? It seems to me difficult, given all that is yet to be done and the uncertainties that you are talking about today for the first time about seismic resistance. It means, and it's normal since this is the procedure, that a dialogue is still under way between AFCN and Electrabel. I am still concerned about the fact that five times we give different information to the market.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u15	Dates are the responsibility of the operator. That is not our responsibility. What I said at the beginning of my answer comes from the documents they recently provided. I can't believe it's enough before we can examine everything. When this is done and it turns out that all the answers are given, in this case, 28 February may be possible. The only guarantee I can provide is that every question will have to find a proper answer, otherwise they will not be able to restart. Apart from that, it's the operator's responsibility. Neither do I find it very clever to communicate in this way, but it belongs to them.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u16	I fully understand your reasoning. The fact is that they cannot announce dates that are already perceived as unreachable. It's their responsibility. They have to answer to the markets. Not in front of AFCN, you're right about that. But before the markets, they must respond and this date must be credible. Considering all the documents, I'd be surprised if it was ready. But we'll see. I will ask you again about the evolution of the situation.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u17	Debates of the European Parliament Mr Kir 16447 was converted into a written question. Debates of the European Parliament Mr Kir's 16510 was converted into a written question. The next item is the debate on the following motions for resolutions: 16560 by Mr Alain Summit on VAT controls.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u18	Minister, questions are asked about the title of the question. It is not about VAT controls, but it may have something to do with it. It's about hacking elections, about practicing. VAT checks are also about that, so that's how one can make a bridge. No, I didn't.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u19	My agenda mentions the VAT checks, but your question is indeed about the Dutch decision not to vote electronically anymore. That's why.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u20	I didn't remember submitting a question about VAT checks. Mr Minister, after reports that the American elections would have been hacked, you asked for an analysis of the possible dangers to our ballot box, including the risk of piracy on our electronic voting systems. The Netherlands recently announced that in the upcoming elections, all votes will be counted by hand in four weeks' time for fear of hackers. Dutch minister Ronald Plasterk responded as follows: "Now that there are also international indications that, for example, the Russians might be interested in the electoral process, we have to fall back on the good old paperwork just before the upcoming elections. Belgium is one of the only countries in Europe where there is a large-scale electronic vote. There's only one reason for that: safety. In addition to the fact that the system can be hacked, a lot of people accidentally vote wrong. Moreover, electronic voting is up to three times more expensive than pencil and paper voting and sometimes deters older voters. Our country has known some cyber security issues in recent years. I have already put questions about that. Until recently, it was possible to find documents containing confidential information online. Even after they were deleted, one could still consult the documents via the cache memory of e.g. Google. Firstly, do you have any results from the analysis? Or when do you expect it? Secondly, if the results of the analysis for the electronic voting method were negative or suspected, would you consider falling back on pencil and paper?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u21	Mr Top, it is clear that the services of the Home Office are evaluating the risks of piracy of electronic voting systems. The recent votes in America, as well as the recent decision in the Netherlands, gave rise to this. I would like to make it clear that our material has an important characteristic, which is different from that of the two countries mentioned. Because our material does not contain a hard drive, no software can be stored from any other elections. It is also important to mention that voting machines in Belgian polling stations are not connected to the Internet. The computers of a polling station are not even interconnected or connected to the bureau president's computer. So it's all about stand-alone PCs. In addition, there is the FOD Home Affairs computer that is used for the creation and duplication of the USB keys with the voting software. That computer isn't connected to the Internet either. The whole procedure is therefore completely independent of the Internet. Only certain authorised personnel of the FPS Home Office will have physical access to the area where the USB keys are created and duplicated. Procedures are, of course, developed for the security of the voting software. The services of the FPS Home Affairs also evaluate the implementation of new forms of control in the light of technological developments and experience around the world. In addition, there are contacts between the FOD Home Affairs and the Cybersecurity Centre in Belgium to evaluate the risks of cyberattacks for the Belgian electoral process. With the new computers for the next ballot one can now also make a printout on paper of the vote, check and insert into an urn. So there is a backup in the case of anomalies. Based on all these elements, the security of our electronic voting system will evolve permanently and in a calm manner, but right now I have no reason to say that we are going back to the future.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u22	Minister, you said in the press that you would ask for an analysis. I suppose you asked for that analysis, too. Is what you're saying coming from that analysis? Is that the full analysis you have today? After all, you say that you are sure today that it is all right. Is that the analysis you referred to in the press release? If so, I will see or hear from you that the analysis indicates that, at least in Belgium, there are no risks of hacking or influencing the voting results from outside our elections.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u23	Mr Top, the analysis is permanent. This is about the elements that make me decide today that I have no reason to do so now. There are also contacts with the Center for Cybersecurity. Those contacts have not yet demonstrated hackability and the risk of cyber attacks on our systems. These are all elements that lead me to conclude that there is no reason at the moment. However, if the contacts with the Center for Cybersecurity show that there would be dangers, we will see whether or not we can reduce these dangers. The technology isn't standing still. The evaluation of such systems in the field of safety and hackability is also ongoing. That's a continuous process.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u24	Mr President, first of all, the report was a response to the problems in America. You made it clear that this had to be analysed. There are two analyses, namely what you yourself announced about an analysis and an evaluation. I assume that at that time or now you indicate that the analysis has taken place today and that there is no problem. That's what I'd like to hear from you. That's all that matters. Secondly, you are effectively right when you say that there is a need for continuous evaluation. The system doesn't stop. Mr President, I thought I had the last word.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u25	You have the last word, but the speaking time is limited. I refer to the Rules of Procedure and ask you to conclude.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u26	Minister, I continue to insist that we continue to analyse very carefully, which may bring with it new elements.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u27	Mr President, Minister, since the attacks and the crisis situation, Belgium, like other countries of the European Union, has adapted to inform citizens as best it can. To do this, the Crisis Centre of the Interior FPS has developed BE-Alert which, when the authority has decided, informs the citizen through various communication channels such as text messages or email. The services of the French Interior have also developed a smartphone app, called SAIP (System of Alert and Information of the Populations) which, by geolocation, informs the citizen of the following dangers: attacks, nuclear problems, rupture of hydraulic works and dangerous products. For each situation, the application also gives simple and clear advice to people to respond properly. Minister, why was the BE-Alert system preferred, based on a pre-selected online record, to a geolocation application? Is it envisaged in the future to develop a geolocation system? What constraints prevent the implementation of this system in our country? What means are available to Belgian citizens to obtain clear and simple information on how to respond to crisis situations? According to your department's analysis, is it feasible to put in place a coordinated application in all European countries, which would inform the citizen according to his position?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u28	Mrs Jadin, the BE-Alert system consists of a platform for alerting and informing the public in the event of an emergency, allowing the simultaneous activation of several information channels such as text messages (sms to mobile phones), voice messages (mainly to fixed phones), but also emails and social networks. The aim of this multichannel approach is to reach as many people as possible, regardless of the preferred communication channel. A single application system is only for people who have a smartphone and have downloaded the application. However, BE-Alert will be a flexible and evolving tool, which will adapt to the technological changes in our society and to the use of technologies by our fellow citizens. It is not excluded that one or more applications are developed or associated with the platform. Nevertheless, my services favour the development of a kit for app developers and, in this case, the applications most used by our citizens: information, social networks, etc., so that an alert can be read by them. In this way, citizens should not download an additional application but would be warned as they navigate through their usual applications. The goal is to reach as many people as possible. The BE-Alert platform makes it possible to reach the citizens affected by an emergency situation in two different ways. First, it can reach citizens through their registration in the system, which we strongly encourage them to do, by encoding their landline and/or mobile phone numbers, as well as their addresses, home or work, if any. However, this first way of doing things will be complemented by Alert-SMS technology, which allows a text message to be sent, at a given time, to all people present in an area, with a mobile phone on, even those who are not registered in the system. This looks like geolocation, but it is not because mobile phones are not geolocationd but present in a specific area, i.e. near a particular antenna. The establishment of a geolocation system presents technological and legal constraints, in particular in relation to respect for the right to privacy. For several years now, the Crisis Centre has been developing an approach to raising citizens' awareness of self-protection and solidarity in crisis situations. The aim is to teach them the actions they can take in the face of risks in our society in order to ensure their own safety and that of their loved ones. This can take the form of information sessions and brochures, as well as actions on the ground, such as the passage of the Federal Truck in June 2016, in several municipalities concerned with the risk Seveso or, in November and December 2016, in several schools to raise awareness of the risks in particular. All these initiatives are sensitized around a web portal info-risks.be, launched in 2014, and recently complemented by a Facebook page dedicated to this subject, to encourage discussions with and between citizens. Through these continuously available channels, citizens can learn about more than fifteen safety, health, technological or natural risks in order to know the right behaviours to adopt in the face of these risks or in the event of a crisis. In addition, the Crisis Centre launched a risk information campaign in 2016. It will be carried out until 2019 and will be implemented through various awareness-raising actions at national and local level. All the tools and visuals developed in the framework of this info-risks.be campaign are also made available to all municipalities in the country so that they can inform their citizens of the risks present in their territory in a consistent and uniform manner. As warning is the first crisis communication action, it is equally important to raise awareness of how it will be done. Information to the general public about BE-Alert and its awareness of the alert as such are therefore part of the same global approach. Finally, as already explained, the BE-Alert tool aims to be flexible, scalable and flexible, in order to be able to adapt to the technological changes of the coming years, including integration and connection to other warning tools. The Crisis Centre will gladly join a European initiative once it is initiated.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u29	Minister, thank you. Indeed, I believe that you have met all my expectations when I tabled this question, namely the evolution of the instruments you are reporting on in the light of the evolution of technological progress, with the facilitation of the flow of information that is most useful to reach the citizens as quickly as possible, especially depending on where they are. So I understand very well that geolocation - and that's what I think too - would, although certainly interesting, be a tool to be put in place, but you have explained very well the constraints, both those relating to the protection of privacy and those relating to all the legal aspects to be put in place around it. Finally, in relation to the results achieved, the many instruments available to us can very well supplement this system.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u30	Mr President, Minister, the website of Knack magazine recently told us that the police and your firm wanted to keep the images collected by the Automatic number flat recognition (ANPR) system – I quote the whole word because it's important: we're talking about a flat number – for a year while the current law on cameras only allows us to keep them for a month. That is how you would work to change the legal framework. But this article also tells us that these same ANPR cameras photograph much more than the mineralogic plate of vehicles using our road network. Chief Commissioner Chris Drieskens, responsible for the federal police project, said: "It is true that a picture of the entire vehicle, including the occupants, is taken. When there is enough light, there is no reflection on the windscreen and the camera is photographed from the right angle, you can see the number of people in the car and recognize them. The ANPR cameras that are on the market are already in high definition: the information is sufficiently detailed". This information prompted the Chair of the Privacy Commission to react: "I did not know at all that ANPR cameras could also be used for facial recognition. And practice teaches me that what is technically possible will actually be applied." Hence, Deputy Prime Minister, my four questions. Do the ANPR cameras currently installed, according to the Knack article, on 13 border crossings and on the outskirts of Brussels and Charleroi airports already record the faces of the occupants of the vehicles photographed? Is it the photo as a whole and not just the plate number of the vehicle photographed that is currently stored in the police ANPR database? Do you confirm your wish to have a dialogue with other police databases on an ANPR database covering the faces of vehicle occupants photographed during the implementation of the iPolice system, which we have already discussed widely here? Are your services considering a permanent operation of this facial recognition or a strict use in the event of an imminent and/or proven threat of terrorist attack?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u31	Mr. Hellings, the ANPR cameras installed on the thirteen border crossings record the entire vehicle, including the occupants, but are not capable of doing facial recognition. You must also understand that facial recognition on ANPR cameras is not obvious and that the current generation of cameras is not able to provide good results. This is related in particular to the distance between the cameras and the vehicles photographed, to the angle in which they are located (usually oblique, so that they can properly record the plate number), to the atmospheric conditions (rain, snow, fog), to the light that is reflected on the front window, etc. It is therefore a path that will probably offer opportunities in the future but that is not yet on the agenda. Yes, the picture as a whole is stored in the police ANPR database. At present, the exact scope of the iPolice solution has not yet been defined. It is clear that the supplier will be asked to optimize the current police processes (interventions, research, neighbourhood work) and to stimulate intelligence-led policing (the information-led police). Apart from facial recognition, there are a multitude of intelligent tools that are of interest to the police. The purpose of the harvest will always be the conductive line. This means, for example, that if the police are looking for a fugitive terrorist in an emergency and throughout the national territory and if the ANPR cameras are capable of recognizing faces, a police officer authorized to draw up requests with a national impact and with an ad hoc level of access to the databases could activate a request to identify that person through ANPR cameras active on Belgian territory by comparing the registered faces with that of the wanted terrorist. This will in no way mean that the system will constantly collect faces, identify them all and store their identities in a data bank and/or compare them with those contained in another data bank. However, it would be possible for permanent cross-references to be made between specific lists, e.g. of wanted authors, and the ANPR database in order to find guides to locate such persons. This principle will be the same as currently applied with registration data, i.e. the ANPR database is not crossed with the entire police database, but only with one or more specific lists, called black lists, such as lists for unpaid insurance, wanted cars, involved in a criminal act, etc. In this case, the objective of the crossing was defined in advance. When we talk about storing images for a year, it is to allow the search for the license plate of a car or a face likely to one day be involved in a crime of which the police become aware only after a few months; for example, because the involvement of its driver is only discovered after a few months of investigation. Again, the objective of the research is well defined. The officer authorized to execute the request can only view the results that concern him, but cannot view the images stored on the ANPR server. The iPolice project is based on the need to properly protect personal data. In a world of big data, where tools know how to browse masses of information, access to these results and the management of these accesses become much more important. In this sense, the iPolice project calls on suppliers to pay a great deal of attention to this issue and to allow the police to protect the data as much as possible and to use it for specific, well-defined purposes, not only for the protection of privacy but also for the sound management of police processes.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u32	Minister, obviously, there is an evolution between the first statement of the ANPR system manager in the police and what you have just said. So, today, not all cameras are capable of recognizing faces. I repeat, ANPR is about the plate numbers. It's in the name. Facial recognition is not planned. The purpose of the ANPR system is to be able, via cameras, to photograph a plate number so that, as you have specified, you can search for a person on the basis of this number. There is no question of facial recognition. I can hear the precautions you took. In the event that we are looking for someone extremely dangerous, who is going to commit or has committed an attack, in an exceptional and limited way, I think that this system can be used and temporarily and proportionately put on the road, given the threat or crime committed. The terrorist attack is one of them. The environmentalists agree on this. From the moment it is determined and limited. On the other hand, turning these cameras permanently is not proportionate. We will therefore be very attentive on the day you come with your bill to keep this data, including facial data, for a year. Because there is the measure. If we agree that in a given period we must be able to use facial recognition, in general – we have the chance to live in a peaceful and democratic country – it is not necessary. The photograph of the vehicle must be sufficient to obtain its plate and not the head of the drivers and passengers.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u33	Mr. Chair, Minister, I have already had an opportunity to have an exchange with you about your functional treatment project within the police, which you announced in your policy brief. Since then, the main stakeholders are still waiting for a decision. This blur leaves workers in doubt and they fear that their wages will be planed. We agree that the premium system within the police is quite complex. But the overhaul of this system must not be accompanied by a loss of wages. Minister, what is the status of this functional treatment project? Have the unions been co-ordinated in this context? Do you intend to inform the workers soon? Will this new formula exclude bonuses from pay? How do you envisage it? What will be the concrete impact on workers' incomes?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u34	Mr President, ladies and gentlemen, the process of functional remuneration has been in progress for a long time. We are moving forward gradually, certainly in small steps, but the direction is clearly set and reflected in the government agreement. There are already some concrete achievements or drafts. Thus, we already find traces of this in the more or less recent regulatory achievements with respect to the compensation of the Commissioner General, the Inspector General and his deputy. The Royal Decree of 25 November 2016 was adapted in order to amend the allowance for the road police. In the very short term, I will ask for an opinion from the Council of Mayors on a more functional remuneration for the agents, with a view to making the functional salary effort more appropriate to their level of responsibility. You probably know that last December I started sectoral negotiations with the police unions without any determination of an envelope and therefore logically subject to any reservation. In the wake of the Negotiating Committee, a working group was established. The Committee has already begun its work and will continue its work next month. It is through this channel that we will see, in the end, what is possible or not. I have the firm will to reach an agreement, but my deep conviction is that it will take time. We must, in fact, take into account the current circumstances in which this conceptual and technical work is carried out. I am, of course, not just referring here to the budgetary context. In the current context of the status of the case, I cannot at the moment comment on the exclusion of certain premiums and on the concrete impact on income. It's a work in progress, as they say.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u35	I was just going to go back to another question in my reply, about timing, but you answered it. You have set up a working group, which has already met and will meet again in the near future. I will not fail to follow this file very closely. Thank you for your answers.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u36	Question No 16582 by Mr Emir Kir has been postponed.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u37	Minister, I have a brief follow-up question concerning the reform of civil protection. It's been on your schedule for some time now. There is concern among the staff, who are afraid to wait for buttons to be cut. First of all, how many days a week are the barracks operational? Secondly, on what days are the different barracks operational? Thirdly, how will the closure of certain barracks be completed on certain days? Finally, what is the state of trade union consultation on the future of civil protection?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u38	In five of the six barracks there is permanent, seven days on seven, operational staff and for the sixth barracks, Jabbeke, that is three days on four. There are therefore no direct interventions from the sixth barracks on the day when no operational personnel are present. In the sixth barracks there is always a telephone operator present, making it possible to call for interventions. The requests are passed on to another barracks to ensure their implementation. Once the government has reached agreement on the overall reorganisation of civil protection, which concerns both its mission, its unity, its status and its working arrangements, the detailed proposal will be the subject of trade union negotiations. The alignment of the Staff Regulations of Civil Protection and Fire Departments, consisting of the adaptation of the Staff Regulations of Civil Protection to those of Fire Departments, has already been discussed with the social partners.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u39	Mr Minister, I will not repeat the whole debate on the reasons; this aspect has already been discussed extensively in the discussion of the policy letter on the 2017 budget. The reason for the submission of this question is the uncertainty among staff about the future, especially the staff of the barracks who are supposed to be closed down. Rumor has it that the barracks of Brasschaat and Crisnée would be preserved, while the other barracks would be on the slope. In particular, the local authorities and individuals involved in security in the north of the province of West Flanders are concerned about whether the specialized tasks currently being taken into account by Jabbeke's civil protection will be carried out equally well and equally efficiently. That's what you were talking about in your policy letters. In short, on the basis of what I know today, I am not convinced that in the event of a greater disaster, the fire-fighting zones which have to replace the closed barracks of civil protection have the necessary resources at their disposal. In addition, fire zones, which intervene in the zone, may act in the event of minor disasters, but they do not currently have the means to resolve larger disasters for a long time. I therefore call for clarity on the continuation of the barracks of civil protection and on the security of our country. Will the necessary resources be made available to the provinces and fire zones to take over the tasks of civil protection?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u40	Mr Top, I can clearly confirm what you are asking. It is clear that we will not remove tasks from civil protection before they can be properly taken over by the fire zones. It's a trial, by the way. I hope that we can make the decision quickly and then we will look at task by task, fire station by fire station, fire zone by fire zone. I have said from the outset that if we transfer civil protection tasks to the fire zones, that will be with resources - read hardware - with people and also with funding for those people. I have said that from the beginning, and we will make that very clear. It is clear that if one considers that tasks in the safety chain are no longer part of one but one another, one cannot simply reject those tasks, but that the new performer of those tasks agrees with them and is also well equipped to do so. You are right when you say that the decision in principle should be taken.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u41	Take it from me that we will certainly continue to follow up the file in West Flanders.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u42	On January 24, 2017, an incident occurred at CWB in Gaurain-Ramecroix, a company specializing in quarries for the production of cement, aggregates and concrete. One electrician found that a radioactive source, used to measure the density of cement, was no longer in its container. It was a source of Césium-137 for an activity of 1.4 gigabecquerel (GBq). Fortunately, this electrician was able to recover the radioactive source and place it in his container. But during this operation, he received a dose of 5 microsieverts. What are the causes of the non-presence of the radioactive source in its container? Why was this event ranked at Level 1 on the INES scale? What steps have been taken to ensure that such an incident does not occur again?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u43	The cause of this accident is currently under investigation. However, this could be linked to the presence of a compressed air gun installed while the source was already in place. Repetition of the shocks caused by the latter could have caused the radioactive source to be removed from its container. This reason, however, must be confirmed. The dose to which the electrician was exposed is 130 microsieverts and not 5 microsieverts. Classification on the INES scale follows the methodology prescribed in the INES manual, published by the International Atomic Energy Agency (IAEA). An event is analysed on the basis of a number of criteria, such as the impact of the dose on the worker, on the environment or on the defence system in depth. In view of the impact of the dose received and the consequences suffered by the worker and the environment, this incident was classified at INES level 1 for reasons of defence in depth: loss of safety barriers. In order to prevent such an incident from occurring, a check of all containers in service was carried out. Platelets have been placed on all containers that are currently free of them. The identification plate did not appear on the source door of the radioactive source concerned. This plate must be removed when replacing the source but not necessarily put back in place. Although it did not fulfil a priori any safety function, it turned out that its presence would have prevented the incident. It was therefore decided to place an identification badge on the containers which are currently without one. The operator also has an obligation to assess whether other medium- or long-term measures should be taken to prevent the reproduction of such an event. An action plan is expected on 28 February.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u44	Mr.Minister, I will therefore ask you again at the beginning of March, since I assume that we will see more clearly at that time about the cause of this event. You are telling us that the analysis is under way and so I hope that we will see more clearly on the action plan. I propose that these elements be postponed to the beginning of March. On the other hand, I am surprised by the dose the worker received since you are talking about 130 or 136 microsieverts. I just saw on the AFCN website that there are five microsieverts. I guess we'll correct that information by then.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u45	Mr President, Minister, at our meeting on January 18, I asked you what type of aircraft are resistant to the nuclear power plants and the building that houses the 610 m3 of spent fuel. To be precise, I asked you to assure us that these buildings resisted, among other things, the fall of a Boeing 747 cargo version like those of the TNT company at the Bierset airport. I was also asking you if there is a study that proves that. In your answer, you indicated to me that information about the type of aircraft used in the design of the tests is classified as confidential and cannot be disclosed. You even told me that similar detailed questions about the resistance of other nuclear facilities to aircraft crashes had never been answered in the past for the same reasons of confidentiality. Continuing to work on this subject, it was not my surprise to discover that such information is in no way confidential. Indeed, in the following documents I was able to find the following information. On page 125 of the Belgian national report under the Convention on Nuclear Safety, I found confirmation that it was a B767 that was taken into account in the tests, not a 747. On page 92 of the CEN final report on stress tests, second confirmation of B767 use. Same as slide 12 of the AFCN "stress test" presentation of November 28, 2011. You will agree with me that, contrary to what some have told you, such clarifications are therefore in no way confidential. I therefore come back with my very simple calculation: since the kinetic energy released by the fall of a Boeing 747 is - at almost equal speed - 2.5 and 4 times greater, respectively, than that of a B767 and knowing that at the speed level, the evaluation took into account a speed at the time of impact of 150 m/s, whereas it appeared that at the time of impact, at least one of the aircraft of 11 September was flying at 260 m/s, kinetic energy varying like the square of speed, almost twice as high means a kinetic energy almost 4 times higher. Make the count yourself, with the size, the weight, the speed, the impact of a B747 could produce more than ten times more kinetic energy than the one tested in 2011. Given this information and this very simple calculation, are you still able to guarantee that a 747 will not be able to break the walls of the Tihange reactors and buildings?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u46	Mr Nollet, I would first like to refer to the AFCN website, which indicates 130 microsieverts. We also tested the French version.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u47	I'll show the document to your collaborator right after or he can come see himself.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u48	You may need to buy a new computer! Maybe we have a Nollet version!
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u49	We're actually on two different pages. Your collaborator is on the "incidents" page and I am on the "INES surveys and rankings" page.
