ParlaMint-BE_2017-04-26-54-commissie-ic647x.u1	Debates of the European Parliament Mr Luykx's 17321 was converted into a written question.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u12	Mr Hellings, Belgium has always advocated and will continue to advocate for the free access of humanitarian aid and humanitarian organisations not only to the besieged territories, but also to all Syrians in need, no matter who controls the territory. I have personally engaged on many occasions on this subject in all appropriate forums, including the Human Rights Council, in European debates and in all my bilateral contacts on the conflict. Unfortunately, the Syrian crisis is the scene of repeated violations of this principle and is the subject of political and military instrumentalization of humanitarian action, in particular by the Syrian regime. On several occasions, we have tried to pave the way for free access to hospitals or medical facilities without real success. We have worked with the International Red Cross on several occasions in this area, trying to bring together more than 50 countries that joined us in this endeavour. You then referred to the visit of several parliamentarians. Mr Destexhe participated strictly in his personal capacity after I explicitly drew his attention to the risks of political instrumentalisation by the Syrian regime and the Russian authorities, risks that such a visit obviously involved. It does not in any way reflect any change in the position of the Belgian Government with regard to Syrian or Russian issues. As you know, and I maintain this line, parliamentarians can always ask me for an opinion on the visits they want to make. For the rest, far from me the idea of banning anything. Each parliamentarian is, of course, free to choose his actions in accordance with the separation of powers. I can confirm that our country continues to give its full support to the European Union's restrictive measures against the Syrian regime and Russia, in particular by avoiding official contacts with those who are subject to sanctions. As far as the Council of Europe is concerned, it should be made clear that the suspension of the right to vote of the Russian delegation to the Parliamentary Assembly of the Council of Europe is a parliamentary initiative and not of the Executive, contrary to the sanctions adopted at European Union level. The Belgian Government has therefore not been required to formally approve this decision, although it fully shares its objectives. I am convinced that the representatives of the Belgian Parliament in this Parliamentary Assembly of the Council of Europe have continued to speak on this subject in recent days. I also found that a number of Russian parliamentarians had actually instrumentalised the visit, as I had announced before the visit took place.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u13	Thank you, Minister, for your answers. I'm sorry. You are indeed irreproachable from the point of view of the attitude of Belgium, which you defend on behalf of your country, towards the regime of Bashar al-Assad. It's happy. I am the first to recognize this position that is the best to have. Mr. Destexhe does not help you maintain this position. It is obvious, as we know, that the title of senator is perceived at the international level as symbolically important.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u14	[[...]]
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u15	Yes, especially the people of your camp! That is precisely what is problematic is that Mr Destexhe is wearing the MR label, in any case until recently, to my knowledge. Mr. Destexhe is definitely always a bad blow and he is a specialist in dictatorships. Let's remember, about 20 years ago, he went to North Korea. Don't let him go to Pyongyang! This is not the time to go, unless you want to get rid of it, which I would also understand perfectly. Finally, refuse him asylum in Uccle since he was expelled from Ixelles. It's probably the only local MR group he hasn't done in the last 20 years. Anyway, good luck!
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u16	My fellow Members, Questions Nos 17596 and 17601 by Mrs Jadin have been converted into written questions.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u17	Madam President, Minister, your colleague Deputy Prime Minister Alexander De Croo called on the Walloon government to declare the arms embargo on Saudi Arabia. He even called for his wishes at the end of any economic relationship with that country. This position is much more pronounced than that usually defended by Belgium, and is the result of the merciless war that the Wahhabi state is leading in Yemen. Schools, airports, hospitals, infrastructure, water supplies, electricity, are systematically destroyed by the Saudi army by aerial bombardments that decimate without any ill restraint, women, old people, children, in a cynicism coupled with guilty indifference, alas, on the part of the international community. It is as if the Yemenis were not part of humanity. Today, the situation is so dramatic that the population, deprived of everything, especially because of the blockade imposed on merchant ports, is in a situation of famine, which is why the government has decided to bring an additional euro to each euro paid to consortium 12-12 to Yemen and the Horn of Africa. Mr. Deputy Prime Minister, how did Belgium address Saudi Arabia with regard to the war in Yemen? How, in the light of the dramatic famine of the Yemeni population, does it intend to act vis-à-vis Saudi Arabia? In the framework of the concertation committee, you intend to ask the federated entities of the north and south that trade arms with Riyadh to define a common position in line with Mr. From Croo? Count yourself, Mr. Deputy Prime Minister, at the request of Mr. From Croo to cease all arms sales to Saudi Arabia, to bring before the Council of European Ministers the establishment of a humanitarian embargo and the proposal to cease all trade with Saudi Arabia until the situation in Yemen has changed, the bombing of civilians and civilian infrastructure has continued, and the peace talks have not been firmly engaged? Would a common European position banning the sale of arms and stopping economic relations with Saudi Arabia require de facto cessation of the supply of arms by any European region or country? A resolution to this effect by the European Parliament in 2016 has, according to Mr Magnette, remained a dead letter by the decision of Mrs Mogherini, responsible for European diplomacy. They are, however, of the same party. Is this blocking on the part of Mrs Mogherini due to the close relations between some European countries and the Gulf monarchy? Is this strong diplomatic commitment likely to materialize, particularly with regard to economic relations?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u18	Mevrouw de voorzitster, Mr Flahaux, the humanitarian crisis in Yemen is of course a cause for concern. Belgium has been contributing international humanitarian funds to Yemen for several years. This commitment has also recently been reiterated and strengthened, as you mentioned, by my colleague in charge of development cooperation. In Yemen, Saudi Arabia plays a leading role in the military coalition aimed at re-establishing the authority of Yemeni President Mansour Hadi, recognized by the international community. In our contacts with the authorities and the Government of Saudi Arabia, Belgium recalls that we favour a negotiated political solution to this conflict. We support the efforts of the United Nations Special Envoy for Yemen, Ismail Ould Sheikh Ahmed. It is imperative that the fighting cease in order to enable the country and its people to recover from the consequences of the first clashes and prevent a resumption of them. We will continue to use our contacts to call for compliance by all parties to the conflict with international humanitarian law and all existing conventions. As regards the economic relationship with Saudi Arabia, and in particular arms exports, it should be stressed that the Regions are, as you have pointed out, competent in this area. In fact, the Regions directly grant arms export and transit licences, in accordance with the European framework, including Common Position 2008/944/CFSP, which includes compliance with UN arms embargoes and restrictive measures taken by the European Union and which sets up a system for assessing export licence applications based on a set of defined criteria. Pursuant to the Cooperation Agreement of 17 July 2007, the SPF Foreign Affairs organises information meetings in order to provide the regional authorities with information relevant to their position. This was particularly the case for the Arabian Peninsula on March 31. Finally, on the possibility of a European arms embargo against Saudi Arabia, given the division of powers in Belgium, our position depends, among other factors, on consultation with the Regions. If they ask Belgium to plead within the European bodies for a European embargo, we will do so. And if the European Union were to introduce an embargo, Belgium would obviously be obliged to respect any decision taken by the Member States of the European Union. This issue was addressed in the coordination organized by the European Directorate of the Department. Of course, at the request of the regions, we are fully prepared to move forward in this direction, as we have commented on the human rights situation, as we are often asked, in Saudi Arabia, but the dire situation of the Yemeni population at present in the context of the conflict. I would like to add that, as in other bilateral relations, this should not, of course, prevent us from being in direct bilateral contact with Saudi Arabia or in direct contact through international forums, such as the United Nations, or meetings between the European Union and the Gulf Cooperation Council, in an attempt to influence the position of the Gulf countries and Saudi Arabia in particular. I remain a supporter of multilateralism and of the need to develop debates, including on difficult issues such as these live with countries whose directions we do not necessarily share. As far as the delivery of weapons is concerned, I want to be very clear. Jurisdiction belongs to the Regions. We have made this issue clear. If the Regions really want to go in this direction to defend an embargo at European level, we will argue in this direction in all European fora.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u19	Minister, thank you. What is quite interesting in what you have said is that I believe that I have heard the Minister-President of the Walloon Region point out that a boycott of arms at the level of the Walloon Region alone could not be implemented but that it had to be carried out at European level. I guess he'll be consistent. It seems to me that, for the time being, you have not received a genuine request from the Regions to plead for a European boycott. I imagine that this will happen soon if his words are to be consistent with his actions. Depending on this, you will be able to continue your action, or vice versa.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u20	Madam President, Minister, experts from the Belgian B-FAST team took part, from 22 to 26 March, in the West Indies, in the European exercise EU Richter. In any case, that is what we were able to learn in a press release from the Internal FPS. This news allows me to remind you that in December 2016, you promised us, after many months of waiting, the results of the audit ordered on B-FAST for April 2017. Since we are here, Minister, I would therefore like to ask you when you intend, through official channels, to communicate to us the conclusions of this audit and when we can consider having a debate here on this issue.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u21	Mr Minister, my question is in line with Mrs Grovonius' question. On 10 March 2017, the Council of Ministers decided to conduct a financial audit of B-FAST. Indeed, a few deadlines have already been mentioned, of which the most recent was May 2nd 2017. Like Mrs Grovonius, I note that we are approaching that date. Why was it not until 10 March 2017 that the audit was granted? How exactly will the audit go? What planning will be used? When can we expect the result? Which thesis will be examined by the auditors? What argument is there for that?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u22	Ladies and gentlemen, the B-FAST Coordination Council was instructed to determine both the scope and the performer of the audit. Since the Coordination Council is a collegial body in which the representatives of all the ministers concerned are present, an obligatory prior debate was necessary in order to reach a consensus, both in terms of scope and in terms of implementing. The exporter's designation was not easy. First of all, the Court of Auditors couldn't be requested by the federal government. We tried, but this was refused, only Parliament can do so. Secondly, the Federal Internal Audit Service and the Treasury Inspection Corps had additional questions about the scope of the audit. There were questions of substance and also about the time frame of the audit, taking into account the possibilities and availability of the services concerned, namely: the Federal Internal Audit Service and the Treasury Inspectorate. It was only after these points were further clarified that the government was able to give its consent to the start of the audit on 10 March. The research theses used are the classical audit techniques, specific to the Treasury Inspectorate and the Federal Internal Audit Service. As you both recalled, on March 10, 2017, the first phase of the audit began. The Finance Inspectorate will prepare an inventory of the costs incurred by each of the departments concerned in the context of B-FAST. The report containing the conclusions of the first phase of the audit is foreseen, as announced, by the end of April 2017, deadline communicated by the auditor. I can already tell you that if this deadline is respected – but it is in the hands of the Finance Inspectorate – I will communicate to Parliament as well as to the government the results of this first phase of the audit. Based on this inventory and this first phase, it was decided to implement a second phase in which the Federal Internal Audit Service, after the Finance Inspectorate, will conduct a more in-depth analysis of the data. This detailed work will obviously take longer than the first phase of the audit for reasons I have already mentioned. The results of this second phase are expected by the end of 2017. To be very clear: upon receipt of the results of the first phase, they will be communicated to the government, as well as to Parliament. The same will apply at the end of the second phase, scheduled for the end of the year. But I would like to remind you that today, B-FAST is, of course, working. It is not because we conduct an audit that we are not in a position to respond to requests. I would also point out that a request from a country affected by a natural disaster, for example, or by other events, is needed for us to examine the conditions under which B-FAST can intervene. Very concrete, B-FAST continues to work as usual, but the audit will continue. I can confirm that, at the end of April, an initial report on the basis of the elements of the Treasury Inspectorate will be delivered to the partners, the various departments, the government and also Parliament. By the end of 2017, there will be a report from the second phase.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u23	Thank you, Minister, for your reply. We look forward to the first report at the end of April. We are pleased that progress is being made on this dossier.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u24	Questions Nos. 17686 and 17687 by Mr. Hedebouw are transformed into written questions.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u25	Minister, as we know, Operation Desert Falcon (ODF) is scheduled for July 1. You recently denied any suspension of Belgian aviation operations over Syria and Iraq, while announcing changes in the rules of intervention for Belgian pilots engaged in the fight against Daesh. I recall that the sixth point of the resolution adopted by the House calls on the Government "to continue to guarantee the involvement of the House and to consult again if new circumstances are to change the duration and nature of the Belgian commitment, as well as the extent of the territory to which this commitment relates". Therefore, Minister, I would like to ask you the following questions. Could you take stock of the Belgian intervention in the fight against Daesh, particularly following the recent American air raid on a Syrian army base in response to an alleged chemical attack? What are these changes you were announcing? How do you explain your statements, when a spokesman for the Ministry of Defence told the Belga Agency earlier that the Belgian operations "had been suspended until further notice"? Finally, can you inform us of the timing of their possible resumption?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u26	Minister, on 4 April there was an attack with chemical weapons, possibly saringas, in Khan Shaykhun in Syria. There is a good chance that Assad's regime is behind the attack, despite the fact that the regime would have had all its chemical weapons destroyed in 2013 and 2014. On April 6, the American Air Force bombed the Shayrat base of the Syrian army ais retaliation for the chemical attack. The attack was a surprise, a turnaround in President Trump's vision of Syria, but it also upset the Russians. They unilaterally suspended the US-Russia conflict agreement, so that air operations by both parties are no longer mutually announced. Following the visit of the US Secretary of State to Moscow, it was stated that the agreement would be respected again. Minister, I have five questions for you. Firstly, what impact did the suspension of the conflict agreement have on the operations of the international coalition? Did the coalition suspend its operations over Syria for a while? Secondly, how is the international coalition involved in this conflict agreement? Thirdly, has Belgium decided at some point itself and unilaterally not to operate over Syria anymore? Fourthly, how do you explain that on 10 April you stated that there is no suspension of air operations, whereas your colleague Mr Vandeput said earlier that this was the case? Finally, what is the state of play with regard to diplomatic cooperation with Russia on the conflict in Syria?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u27	Madam President, ladies and gentlemen, with regard to your question on the conflict agreement and the suspension of operations over Syria, I should like to refer you to the Minister of Defence and to the answers he gave to Parliament on 19 March. As I pointed out in the past and as my colleague in the defence sector has said, there has been no political consultation on a suspension of our military actions. I had the opportunity, like the Minister of Defence, to point out that the consequences of the Russian decision had indeed been taken by the military command of the coalition and that some operations had not been carried out over Syria during that period. But no decision has suspended our activities. It is a purely military choice of the coalition, but one can understand. When there is no longer an exchange of information on the overview of particular regions, the methods of intervention change. Without going any further, I confirm that no decision of the Belgian Government envisaged any suspension of activity. As I have announced and as the Minister of Defence has confirmed, there are simply adjustments to the coalition's terms of intervention. I would remind you that at the time we told Parliament that the Belgian military would intervene on the basis of requests made by the coalition leaders and not on their own initiative. With regard to the diplomatic state of affairs to find a political solution to the conflict in Syria, I can assure you that Belgium remains fully committed to supporting the political process led by the UN Envoy for Syria, Staffan de Mistura. Belgium also encourages the EU High Representative, Federica Mogherini, to continue its efforts to engage in dialogue with all parties involved, including Russia, in order to promote the political process and discuss a democratic future for Syria. In the Foreign Affairs Council at the beginning of this month, together with my EU colleagues, I adopted a specific strategy for the conflict in Syria. A political process and the future of Syria were also discussed at the recent EU conference in Brussels on the humanitarian situation in Syria. In addition, I think it is important not only for the United States to engage in military engagement in Syria, but also for the country to use its political weight to push the political process in the right direction. This also involves, of course, close consultation between the US and Russian governments. I was quite pleased to see that, after several of my pleas to the Foreign Affairs Council, the High Representative of the European Union was able to visit Moscow and conduct bilateral contacts between the European Union and Russia. It is up to us to ensure that the European Union plays a more active diplomatic role in the search for a political solution in Syria. However, I recognize that we are still far from this political solution, which is the only real solution. The military solution will not be decisive. We must fight against terrorist groups, we must eradicate these groups on the ground; however, the only solution will be a political solution, as we have already repeated.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u28	Minister, thank you for that clarification.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u29	Minister, was it a misunderstanding or was what you and Minister Vandeput said wrongly, that is a little belgo-belge, that is not the most important thing. It is a pity, however, that you are aware of the answers given by Minister Vandeput to Parliament, as I would have liked to hear from you in order to be able to compare the answers. However, coordination within the government is still good in this area.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u30	There is nevertheless a difference between a comment from a possible spokesperson of Defence to Belga and an official statement from the Minister of Defence. I've seen all the statements made by my colleague. We were exactly on the same line, no longer, not less, but it is always possible that press releases from Belga differ from those statements. I hope I'm not responsible for all of Belga's press releases.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u31	There seemed to be some interference on the line at some point, but, as I said, that's not the most important thing either. It's cleared up right now. The question dates back a long time ago. The most important thing, of course, is the diplomatic cooperation and the progress we can make. It was a strange military action by Donald Trump. His rocket attack has allowed him to buy a lot of diplomatic influence on the premises, but I have the impression that he is not doing anything with it and that the momentum has already passed a bit. So the most important thing remains to isolate Assad, to separate the Russians from him. I hope that you, together with the European Union and the UN, will take advantage of all the opportunities that exist. We asked the committee to be able to discuss the new EU strategy on Syria in your presence, Minister. It wouldn't be bad to look at this new strategy in detail. The political aspect is indeed extremely important in this regard.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u32	Madam President, Minister, this is unfortunately not the first time that my group has asked you about LGBT rights and the repression they are experiencing in certain parts of the world, particularly in Russia. The subject was discussed yesterday in committee. I welcome the unanimity on the text tabled by my group and thank all the groups for that. In Chechnya, secret prisons inspired by concentration camps would be used to torture and kill Russian homosexuals. The information was revealed by the Russian opposition newspaper Novaya Gazeta and was subsequently confirmed by several NGOs. It is reported that a wave of repression against homosexuals would have started at the end of March. "Secret prisons" in which we torture and kill exist. Imprisoned victims would be forced to surrender the identity of other homosexuals, in a country where it is known that displaying their sexual orientation is often tantamount to being sentenced to death. This information, if confirmed, deserves the strongest possible condemnation and above all, as you rightly stated, that an independent international investigation is carried out and that the perpetrators are identified and prosecuted. In the face of this information, what is the official reaction of Belgian diplomacy but also of European diplomacy? What steps do you intend to take in this context at the diplomatic level to shed light on this information and to urge the authorities to stop these atrocities? Finally, in June 2016, our Assembly adopted a motion for a resolution on the decriminalization of homosexuality in the world. What follow-up did you give him?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u33	Minister, according to a report by Human Rights Watch, a brutal campaign against homosexual men is taking place in Chechnya. Authorities are actively tracking down homosexuals and torturing the prisoners. That is, of course, very serious. Discrimination or persecution on the grounds of sexual orientation is never acceptable. Our group expects a strong attitude from the European Union and from the Belgian State towards Chechnya and Russia, diplomatically if possible, but considering sanctions if necessary. They are like items, like the double taxation agreement with Russia that we have just discussed, which we should not go further if such matters are going on. Hence our group's vote against just now. I have three questions on this, Minister. What measures are being taken by the EU against this kind of policy? Will Belgium itself take diplomatic action? Have Russia and/or the authorities in Chechnya responded yet?
