ParlaMint-BE_2017-03-29-54-commissie-ic633x.u1	Questions by Mrs Fabienne Winckel (Nos. 15154, 15545, 15546, 15550, 15823, 15998, 16609, 17497, 17157 and 17535) and question No. 15221 by Mr. Benoît Friart are transformed into written questions.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u14	Madam President, Madam Secretary of State, a few weeks ago a study was published which showed that the fate of women managers in the European Union was complicated enough, to say no more. They are both underrepresented and less well paid. In our country, their situation is no better. For example, we have the least number of women managers (23%), which is below the EU average (35%). In terms of wages, however, the situation is less serious in our country than in our neighbours: 13.6% of the wage gap to the detriment of women, compared with an average of 23% in the European Union. At Belgian level, the Walloon Institute for Evaluation, Foresight and Statistics (IWEPS) published a study showing that while women are increasingly participating in the labour market, they are more often confined to part-time jobs. "A trap solution to promote women's employment", according to IWEPS. Eighty per cent of people working part-time are women. And that's not a wish of them. "This phenomenon is less to be attributed to a specific female desire than to a set of constraints on them: segregation on the labour market, coupled with an always unequal distribution of family and domestic tasks. And stereotypes are too often hard to live: a majority believe that the fact that a woman works full-time weighs on family life," says IWEPS. Madam Secretary of State, in view of this fact, what actions or measures do you intend to take to address this real problem and increase the number of women in decision-making positions in companies? What do you get from the first review of the law on gender quotas in business boards? In your opinion, should this legislation be changed or strengthened? At the cultural level, what awareness-raising activities do you intend to carry out in order to change attitudes within our society?
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u15	Mr President, ladies and gentlemen, I am very pleased that a man is asking me about such a subject. However, the two reports published last year by the Institute for the Equality of Women and Men on the presence of women on the boards of directors of listed companies, public economic enterprises and the National Lottery show that further progress is needed in order to feminize the boards of directors of most companies. Studies show that in six years, the percentage of women on the boards of directors of the companies examined has doubled. It increased from 8.2 per cent in 2008 to 12.7 per cent in 2012 and 16.6 per cent in 2014. However, the minimum tertiary objective is still far from being achieved in many companies, but progress is being made in this area. That's the good news. Although women may be well represented in lower and middle management, they are still often confronted with the glass ceiling, an invisible barrier that has its origin in organizational elements, patterns and prejudices, and then penetrates into the highest sphere of Belgian companies. It is no secret to you, but I am not a supporter of the binding socio-economic approach. Thus, I am not convinced that such an approach is enough to change stereotypical attitudes in a sustainable way towards a mentality that presupposes gender equality. Women are often underrepresented for deeper reasons that have a societal dimension, such as work-family reconciliation and chosen training. I therefore believe that intelligent numerical targets which give preference to the under-represented group in case of similar qualification are a better solution than imposed quotas. So, slimme streetcijfers, yes; on the other hand, I do not like quotas imposed. I do not believe in this principle. I am convinced that most companies want greater gender equality on their boards of directors. In my view, we must, on the one hand, continue to support these companies towards greater equality and, on the other hand, take measures to promote the employment of women and enable them to pursue a career. As far as support measures are concerned, many initiatives have been taken in recent years and have produced good results. I am thinking, for example, of the Women on Board database, which brings together highly qualified women with professional experience who may be of interest to the boards of directors of listed companies. In addition, I can announce that the Institutut voor de Gelijkheid van Vrouwen en Mannen organized in October 2016 an exchange of best practices with companies subject to the Quotas Act in order to allow good students to share their courses and methods. It was also essential to take measures to promote women's employment and to enable them to pursue a career in good conditions. This involves more flexible parental leave and career breaks, which are therefore more easily accessible, but also by raising the awareness of employers and male workers of the importance for them of investing in the family sphere, in particular through taking their leave. This will be part of the discussions under the Federal Action Plan on Gender and Employment, which involves all stakeholders and for which we are working with the colleagues concerned. The plan is currently in the preparatory phase. With regard to the last questions, I refer you to my answer to the second question. There is no doubt that it will be necessary to continue the work of raising the awareness of companies, so that they treat women in the same way as men in all categories.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u16	Madam Secretary of State, thank you for this long and detailed answer that demonstrates your interest in the subject. The exchanges we have remind me of the debates we have in the Committee on the Economy with Willy Borsus on women's entrepreneurship, since we know that the number of self-employed women and women entrepreneurs in our country is lower. It represents more or less one third of the self-employed. We'd like to encourage them. It is true that the findings, as you have pointed out, often point to the balance of family life – working life in this famous glass ceiling that we encounter in companies. We're asking. We do this for independents and entrepreneurs. But I think that, in the boards of directors and in the management or management positions within companies, we need to be able to change attitudes, put in place initiatives, raise public awareness and take measures in terms of parental leave and everything that can facilitate the reconciliation between professional and private life, both fulfilling. I find this very important and we will return to it. I would like to elaborate on another point with you, but we will come back to that when we ask you again, if necessary, about all the quotas on the boards of directors. I think these measures are necessary, because we see that the figures are on the rise despite the fact that they are not included in the targets. The idea of such measures is that they do not become perennial. To drive an effort when a real problem arises (as is the case today), this may be necessary. We will certainly come back to these important issues and follow closely the federal plan you intend to put in place with your government colleagues.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u17	Mr. Emir Kir requested the postponement of his question No. 17080. Before giving the floor to Mrs Jadin, could I ask whether you agree with the procedure used with other ministers in committee in order to turn certain questions into written questions? It consists of this: when questions are turned into a commission, the answers are given directly or sent by e-mail by your firm to the secretariat of the commission. We redistribute the answers to the author and the members of the commission. Otherwise, the answers follow paths, they have to be translated and it's complicated. Does that suit you?
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u18	Yes, all right!
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u19	At that time, Ms. Evita Willaert's questions 17392, 17440 and 17448 were transformed into written questions. Questions Nos 16253,17175, 16672 and 17420 by Mrs Els Van Hoof are also transformed into written questions.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u20	Madam President, Madam Secretary of State, we remain in the same register as my colleague Vanden Burre. This is a very important subject for me, too. On 14 March, your colleague Willy Borsus presented the results of a large survey carried out by the SPF Economy among 10,000 companies to assess the impact of the law of 21 December 2013 on SME financing. The investigation points to discrimination in the granting of credits. The refusal rate is 12% for women, while it is only 8% for men. On the other hand, the amounts requested and collected are generally lower among women. Madam Secretary of State, my questions are as follows. What is your first analysis of this discriminatory situation in access to credit for SMEs? Are you able to communicate to us the sectors of activity where the number of requests for credits made by women is highest? What are the main reasons for the rejection of women's applications for credits? What existing mechanisms could better regulate such discrimination? What are the advantages and disadvantages of these devices? Are you considering working on possible avenues for improvement to reduce this risk of discrimination?
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u21	Mrs Jadin, thank you for your question. In my view, it is necessary to analyse the data more closely in order to correctly interpret this finding. At the moment, I do not have the figures for this investigation, but I will ask my colleague Borsus. In any case, if discrimination were found in this area, it would have to be addressed. If it is found that inequality depends on certain factors, we will have to develop a sound policy in this area. The numbers are what they are. We are aware that there is a historic backwardness in the area of self-employment and women. There is still a clear segregation by sector of activity. Self-employment policies are fully aimed at supporting and strengthening women in the development of self-employment. Independent women are part of the Gender & Employment Action Plan. The maternity leave granted to independent entrepreneurs has recently been extended to create more flexible conditions. Women receive practical support in the form of free service titles. In addition, it is important to note that entrepreneurs' organisations (VBO-FEB, UNIZO) are active in this area. I'll contact them, too. Several years ago... I used to be a self-employed man. That wasn't obvious as a woman. I realize that all too well, especially when you have children. It's very poorly organized. We need to identify the barriers to women's access to self-employment and see what we can do about it.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u22	Bedankt, mevrouw from Staatssecretaris. Indeed, as you have said, although we cannot yet rely on the results of the investigation, as we know, Madam President, this is a problem that needs to be addressed. Yes, sometimes the social status of women also changes. Single-parent families, however, are eager to create, develop, etc. Sometimes, too, with only small sums, things are possible. I really think that if your department could also have a proactive attitude, specifically in this area, I would obviously be at your side to defend it.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u23	Madam Secretary of State, thank you for taking this time to answer the questions. Many written questions will be answered and we will then be able to distribute them to the members of the commission and to the authors. For the rest, go on April 19th. I take note that you will send us your note a few days before so that we can read it and discuss it in depth. Thank you.
