ParlaMint-BE_2017-02-01-54-commissie-ic581x.u1	Mr Secretary of State, ladies and gentlemen, welcome to our committee.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u18	Mr President, Mr Devin, on the occasion of the implementation of the cross-border directive, which aims to facilitate the exchange of information on road safety infringements between the Member States of the European Union, the full working process of collecting all road fines and pecuniary penalties will be optimised so that the police and the judiciary can concentrate on their fundamental tasks. Case management will be highly digitized and administrative monitoring, which is not part of the main tasks of justice and is not a matter of judicial policy, will be outsourced to bpost. This is not a novelty since, since 2006, bpost has been monitoring national road fines administratively and financially under the management contract. In the renovated system, it will be possible to pay online via a website with a debit card or credit card. In this way, an additional channel will be set up in parallel with the conventional transfer. bpost will then make a mapping of these payments with open debts, as is already the case for transfers. This will significantly reduce the workload of prosecutors and the police. Indeed, via the website, it will become impossible to make payments without structured communication, with an erroneous amount, etc. Today, this type of payment still requires manual intervention by the police and the judiciary and often leads to questions by telephone or in writing. Payments via the website will remove this administrative overload. Since payments via the website are guided by the central bank of unpaid fines, the bank still contains all the correct data available to the public prosecutor's office to register its prosecution policy, for example, better to combat recidivism. The full infringement profile of each driver will indeed be known, with a history of the treatments and the payment or not of the road fines. The timing envisaged for the implementation of the website is July 2017.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u19	Minister, thank you for your answers.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u20	Questions No 15996 by Mr Stefaan Van Hecke and No 16133 by Mrs Carina Van Cauter are transformed into written questions.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u21	Minister, the online gamer tracking computer system of the Game of Chance Commission is subject to several thousand hacking attempts every year. In order to better protect itself from such attacks, this body wishes to have a security officer. The function is planned and budgets exist for this purpose. Minister, can you give us more information on the reasons for blocking the appointment of the Security Officer of the Game of Chance Commission's computer system? What is the status of the security officer's recruitment process? Can you give us more information about the date of his entry into office?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u22	The lack of IT personnel is due to the need to place more emphasis on security officials, as required by the Privacy Commission. In addition to the responsibility for security, the Security Advisor is responsible for the support of an expert in web services and for the transfer of knowledge currently in the hands of an external firm with ISO 27000 certification for this purpose. Use of an outside company is still necessary because it takes two years for a staff member to have sufficient knowledge, take courses and pass examinations and certificates. Finally, accompaniment to the Certified Information Security Manager (CISM) is required. This is a full-time job with the gambling commission. The commitment can only begin after the 2017 personnel plan budget has been approved.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u23	Minister, do you know when the appointment will take place? I don't have a date, but only the recruitment plan, I understood it well. If you have any idea the date, could you let me know? I don't want to argue, that's not my point at all.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u24	Mr Minister, I would like to ask you about the worrying situation in the support centres, and unfortunately this is not the first time we have to worry about it. As of June 2015, the existence of the country's three support centres was threatened. Even today, the sustainability of these centres is at risk if a solution is not found. Indeed, a 20 per cent reduction in subsidies, as in other operating costs, brought down the country's support centres, and their closures were about to be effective. It would appear that you committed at the beginning of 2016 to grant compensation for the 20% linear reduction. We are now at the beginning of 2017 and this promised compensation has not yet taken place. This repetitive situation has become unmanageable for services, both for the management of the centres and for employees who for the past two years have no longer been assured of their future. As is well known, these centres, established following the Dutroux case, play a crucial role in the supervision of professionals and in the care of perpetrators of sexual offences. It is unacceptable that such economic measures endanger the existence of these centres. I would also point out that the 1998 Cooperation Agreement makes it very clear that the Minister of Justice must subsidize the three support centres, as the sixth state reform left sex offenders to the federal government. Minister, allow me to ask you the following questions. Do you intend to grant the compensation that you had undertaken to grant? If so, when will it happen? Will this sum suffice to compensate for the destructive effects of linear cuts of economy? How much would it cost? What structural solutions do you intend to put in place? Would it not be preferable for support centres to operate on the basis of a multi-annual agreement?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u25	Ms.Ben Hamou, I am committed to ensuring that sexual offender monitoring support centres can continue their work in 2016. In concrete terms, I decided to grant, as I had already done in 2015 compared to 2014, the same subsidy in 2016 as in 2015, despite the savings on these expenditures. A final tranche of 178,000 euros has just been paid. In the meantime, I have invited the support centres to meet with the Communities, given their expertise in this area, since the Houses of Justice were transferred to the Communities as part of the Sixth State Reform, since support for sex offenders is a customizable subject. The support centres have met with the Communities but to date there has been no result. The work that the support centres carry out in assessing, treating and guiding the acts of sexual offenders is indeed essential for the proper functioning of our society. That is why, for two successive years, I have done everything necessary to give them the full amount of their subsidies, notwithstanding the savings. It is important that they can continue their activity. I will address the issue again at an interdepartmental conference, and I will try to find a lasting solution with them. In view of the principle of the annuality of the budget, a multi-annual agreement will not solve much of the budgetary aspects, unfortunately.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u26	Minister, thank you for your answer. Do you confirm that for 2017, the amount was paid to the support centres?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u27	For 2016.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u28	So for 2017, you haven't released the funds yet?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u29	[[...]]
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u30	To be able to operate this year...
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u31	In budgetary terms, the question is really premature. I did everything I needed two years in a row. I must be granted this merit and give myself the opportunity to discuss it further with the Communities. The financial inspection on this subject is very difficult.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u32	I get it. But as you make the fight against recidivism a priority of your general policy note, it is a pity that nothing is done in this area to subsidise this centre. I'm so sorry.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u33	Is nothing done, ma'am? Two successive years, I've done the right thing.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u34	The problem is that these people don't know what they're going to do tomorrow; whether tomorrow they're going to have a subsidy or not. That's the problem. We can't confirm them today.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u35	I'm not confirming anything.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u36	Is it possible to get the answer to this question in writing? Thank you.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u37	Question No 16087 by Gilles Vanden Burre is transformed into a written question. Question No 16165 by Mrs Rita Bellens was withdrawn. Questions Nos. 161992 and 16196 by Mr. Koenraad Degroote and questions Nos. 16228, 16229 and 16230 by Mr. Stefaan Van Hecke are transformed into written questions.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u38	Mr Minister, an article published last week mentioned something surprising: more than 5 tons of explosives of any kind would be stored under the Brussels courthouse. This far exceeds the 450 kg allowed by the operating licence. According to the first president of the Court of Cassation, explosive materials would not be kept according to the rules: they would be placed simply on shelves. While the problem does not seem to be recent, why has no action been taken before? Is it planned to proceed with the evacuation of explosives? If so, where will they be stored? What are the risks to the building and staff? How long must exhibits be kept and under what conditions? Will these criteria be reviewed?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u39	Mr Minister, two weeks ago we received the first President of the Court of Cassation, Mr de Codt, in our Committee on Justice and indeed declared that no less than five tonnes of explosive material would be kept in the Brussels Palace of Justice. In the meantime, a number of fellow Members asked a number of questions about this last week, and you answered a number of questions at that time. Firstly, for certain reasons, not all the material can be transferred to another place or destroyed. Secondly, there is a protocol between Defence, Home Affairs and Justice for disposal and destruction. Finally, the administration of the ammunition that serves as evidence is the responsibility of the prosecution. Given that ten times more kilograms of explosive material have been stored in Brussels than the environmental permit permits, I suspect that the protocol does exist, but is not or hardly being applied. I therefore have the following questions for you, Minister. Firstly, does the protocol apply to all courts, so in addition to the Brussels court, does it apply to, for example, the Liège or Antwerp court? Secondly, for the different courts covered by the protocol, how often was the protocol used in 2016 to neutralize explosive materials in cooperation with Defence?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u40	Je vous remercie, Mesdames Jadin et Van Vaerenbergh. I would like to refer here to the very comprehensive answer I gave in this committee last week to a question from some of your fellow Members. That can answer most of your questions. I can confirm that the protocol applies, of course, to all courts. That's a national document. I cannot give you the exact figures now because the contacts go directly through the judicial services and the DOVO. My administration plays the role of facilitator in the drafting of the protocol and in the dissemination of information, but the application is done on the ground. I do have additional information on the retention periods and conditions of the articles of conviction. In the logic of criminal law, it was normal at the time that evidence had to be kept until a trial had taken place. The exhibits were kept in the courthouse and this was no problem until the transplants reached their maximum capacity. One began to wonder if everything should necessarily be preserved. The first exception to the principle of indefinite retention was based on public health and public order concerns. These were perishable things, drugs, toxic substances, prohibited weapons, ammunition that, as evidence, could be replaced by an inventory and photographs. With regard specifically to ammunition and fireworks equipment, the field training provided that they should be regularly removed from transplants, stored in a safe place and destroyed. In the meantime, this matter has been the subject of a cooperation protocol between Justice, the Interior and Defence. It is therefore important that the responsible department enforce the protocol rules with the Defence, which exists precisely to ensure their abduction. In summary, there is no maximum period of time and the means available are sufficient to proceed proactively with the removal and destruction. My services note, however, that there is still little use of this legal opportunity. I have therefore asked the competent departments to take an initiative to promote this regulation.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u41	Thank you for your answer, Minister.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u42	In a report released on Wednesday, 11 January, the Group of States against Corruption (GRECO) is very critical of Belgium's efforts or, rather, of its lack of efforts in this area. In particular, the Committee notes that, with regard to the corruption of parliamentarians, judges and prosecutors, none of the fifteen recommendations made by the Committee have been fully implemented. Only four of them were partially successful. GRECO had, among other things, urged our country to take action on lobbyists' actions with elected officials. It also recommended that the necessary tools be developed to ensure the independence, impartiality and integrity of the judiciary. In the context of a crisis of citizens' confidence in the institutions and in politics in general, GRECO's findings can only be called into question. Have you read this report? I had addressed the question to the Prime Minister, but apparently you are in charge of the case. What follow-up will you give? Which minister is responsible for coordinating this follow-up within the government? I have already received the answer, it is the Minister of Justice, if I understand correctly. How long do you intend to take action and implement these recommendations? Among GRECO's recommendations, which are the government's priorities? What difficulties do they possibly pose to him?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u43	The Council of Europe Group of States against Corruption (GRECO) adopted on 21 October 2016 a compliance report as part of Belgium's fourth assessment cycle. This report was published on 11 January 2017. In this fourth evaluation cycle, GRECO focuses on preventing corruption of parliamentarians, judges and prosecutors. The report contains 15 recommendations to be implemented by Belgium. The compliance report is a follow-up report on the implementation of the recommendations adopted by GRECO on 28 March 2014. In this context, the SPF Justice has prepared a status report and submitted it to GRECO, which on this basis has prepared this compliance report. GRECO notes that the 2014 recommendations have not been, or very partially have been, implemented. GRECO will assess, on the basis of the new status report to be submitted by the Belgian authorities in 2017, the subsequent follow-up to the implementation of the outstanding recommendations by Belgium. These recommendations are important for the proper functioning of our institutions, for our rule of law, and for citizens' confidence in them. The government and I are therefore paying a great deal of attention to this and will be dealing with the GRECO report with the highest priority. GRECO makes nine recommendations on ethics, corruption of judges and prosecutors. In that regard, he welcomed the efforts already made, namely the establishment of the College of Courts and Courts, the College of Public Prosecutions, the standard profiles adopted by the executive functions and the measures proposed by the Supreme Council of Justice to remedy the lack of a periodic synoptic report on the functioning of the courts and the services of the Public Prosecutor's Office. GRECO noted, however, that the recommendations had not been implemented. My services are reviewing them and I will take different initiatives in a short time. Of course, the Supreme Council of Justice and the colleges of courts and tribunals, attorneys general and the public prosecutor's office will be involved. The House has full competence to transpose the eight recommendations on the prevention of corruption among parliamentarians. This subject is also monitored in the political parties working group. Parliamentarians have put forward several proposals on ethics, good governance and good practice. In this connection, the Conference of Presidents of 25 January decided to request the services of the Chamber to prepare an exhaustive list of proposals tabled around these themes to see how the work could be organized. I am convinced that the House will also take GRECO's recommendations to heart.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u44	Minister, you are right to say that this is a shared responsibility and that the House has part of that responsibility. I hope that this decision at the Conference of Presidents on 25 January will be followed by effects and that parliamentary majorities will be able to emerge from the texts, in particular those tabled by my group on ethics. You also have your share of responsibility. You are presenting with me and with GRECO a finding of Belgium's lack in the fight against corruption, but I note your commitment to act proactively on the subject. I turn to the chairman of this committee because this could be the subject of a special session to consider the action plans and achievements already undertaken in this area.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u45	Mr Minister, on 14 December 2016, the Belgian Official Journal published the amendment of the Criminal Code on the punishment of terrorist financing. This amendment not only made the preparatory acts but also the financing of all terrorist offences criminal. Moreover, it is not just about financing a terrorist offence, but also about facilitating a terrorist offence, as well as about financing the terrorist himself. In order to ensure that the amendment of the law is as effective as possible, it is necessary for clear policy instructions to be given by the College of Attorneys General. That is why I have the following questions. What policy instructions will be given or have already been given to effectively implement the financing of terrorist offences in practice? What instructions will you give or have already been given to check the funding of the houses of prayer? Will you also check the origin of the money used to finance the houses of prayer? Will research on the financing of unrecognized houses of prayer also be included in the policy instruction? What direct action will be taken on the information obtained?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u46	Ms Van Cauter, following the publication of the Law of 14 December 2016 amending the Criminal Code on the Punishment of Terrorism in the Belgian Official Journal of 22 December 2016, the Terrorism Expert Network of the College of Attorneys General did indeed draw up an internal memo on 28 December 2016 and sent it to all specialised terrorist magistrates. The memo explains the content of the legislative changes and focuses on the practical application. In addition, the law will be discussed in January 2017 at a meeting of the expertise network Terrorism, on which specialized terrorist magistrates will be present. In reply to your questions on the instructions and investigation into the financing of prayer houses, it should be made clear that the Law of 14 December 2016 criminalises the preparatory acts and the provision of material means for the purpose of committing a terrorist offence. It goes without saying that the vast majority of prayer houses have no connection to terrorism. They are therefore not endorsed by the repressive law and the memo of the expertise network. In the context of the procedure for the recognition of a place of worship and of the servant of the worship service and in its supervision, the Security of the State shall carry out a security screening exercise, which shall cover, inter alia, the financing of the prayer house and the origin of the financing. I am currently working on a letter that will specify and formalise this security screening. The Security of the State shall also ensure an annual evaluation of the mosques already recognised. If criminal offences relating to the financing of a prayer house are brought to light by administrative or criminal authorities, the King's Attorney will be able to bring criminal proceedings.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u47	Thank you, Minister, for your reply. Of course, we are pleased that you are taking up the issue of financing terrorism and terrorists and that action is taken immediately. Of course, I did not want to say that there is a necessary link between prayer houses, on the one hand, and the financing of terrorist crimes, on the other. I merely asked the question, and you answered it with satisfaction. If, in certain cases, the security of the State makes negative opinions, then I assume that there are reasons for doing so and that there may be indications of possible crimes. I also implicitly understand from your reply that it is being included and that it is being notified and that, if there are effective problems with the financing of certain crimes, this will also be followed up.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u48	Mrs Van Cauter, I give you the floor for your question. 16178 on the review of four years of new nationality legislation.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u49	Mr Minister, can you give me an answer to my question and I will ask them? If you are going to answer me that you do not have all the figures, I would rather postpone them, but if you can answer me, I will be happy to ask the question. Do I prefer to postpone them?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u50	I will refer you, among other things, to the Committee on Naturalizations.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u51	Then I'll postpone them.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u52	Okay.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u53	It's customary...
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u54	However, I do not have any statistics on this myself.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u55	No statistics, but you have given me figures every year since the legislative amendment. You should not have statistics, but you can know how many immigrants have acquired Belgian nationality. That's within your jurisdiction. Should we postpone the question?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u56	I think it's best if you delay them.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u57	Then I'll postpone my question. I got it.
