ParlaMint-BE_2017-02-14-54-commissie-ic593x.u1	Question No 15981 is erroneously placed on the Committee's agenda. It is addressed to Mr Borsus.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u12	Mr President, Minister, the management of radioactive waste is a subject on which we have had a number of exchanges of views. By August 2015, Belgium had to submit to the European Commission a first national programme for the management of nuclear fuels and radioactive waste. That happened with some delay. It was discussed and approved at the Council of Ministers on 30 June. However, through a favourable wind I achieved the following. There might be some questions about the content of that national programme, which would not meet all the substantive and formal requirements and which would not entirely meet the criteria of the European Commission. It would be nothing more than a historical overview of what happened in the past to nuclear waste in Belgium, but it would not contain a future vision or catalogue of future management options. The programme was also not subject to an environmental impact assessment or public consultation, although this was explicitly requested. Madam Secretary, I have the following questions. Is it true that the national programme does not meet the requirements of the European Commission? And in that case, why not? Why was the national programme, which was approved by the Council of Ministers on 30 June, still not published in the Belgian Official Journal, unless it had been published by now? Can this information be shared with MEPs?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u13	Mr President, Mr Calvo, so far the government has received no comment from the European Commission that the national programme would not meet its requirements. In addition, Article 12 of European Directive 2011/70/Euratom provides that the national programme clarifies how national policies are implemented. In the absence of a new national policy on the management of spent nuclear fuels and radioactive waste on 31 December 2014, the first Belgian national programme was limited to describing the existing situation. I would remind you that for the adoption of the national programme, the Minister for Economic Affairs and myself, on 20 August 2015, the SEA Advisory Committee consulted to determine whether an environmental impact assessment should be carried out in the context of the preparation of this programme. In its opinion of 11 September 2015, the SEA Advisory Committee confirmed that the first edition of the national programme should not be the subject of such an assessment. The national programme has been sent by my administration to the departments responsible for the Belgian Official Journal. These services have taken a long time to adapt the layout of the national programme to the format of the Belgian Official Journal. I asked my administration to take the necessary action at the Belgian Official Journal to speed up publication. I would like to remind you that this document is available on the website www.cpnpc.be.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u14	Madam Minister, thank you for your answer and perhaps come back to this subject at a later stage.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u15	Madam Minister, in 2015 we here in Parliament adopted a law on extending the lifespan of Objective 1 and Objective 2. That law made it very clear that in return for the extension, the Energy Transition Fund should be set up, in which the income resulting from the extension would be paid each year. The aim of the Energy Transition Fund is to encourage and support research and development of innovative projects in the field of energy, in particular energy production and storage. The King would lay down the conditions of use for the fund by decision, although of course after consultation with the Council of Ministers. At the end of 2016, it became clear to us that the royal decision that would determine the modalities was still not taken. During the discussion of your policy paper, you stated that you would submit the Royal Decree to the Council of Ministers for approval by early 2017, so that it could enter into force effectively. As it is now February 2017, I would have liked to have seen the state of play. Have you actually submitted the royal decision to the Council of Ministers? What is the content of the royal decree? What conditions of use are laid down? The conditions of use of the Energy Transition Fund will include, inter alia, the selection criteria and the organisation of the Fund. Do you already have an idea of the innovative projects for which the federal state is competent and which are eligible for funding? Could you give us a more detailed explanation? Have applications been submitted for funding?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u16	Minister, as part of your policy brief, the Energy Transition Fund was discussed. I am not going to repeat everything my colleague has just said. It is expected to receive EUR 200 million. In the discussions we have conducted, it has been stated that the royal decree allowing the realization of the fund must be submitted to the Council of Ministers for approval by the beginning of January at the latest. It's February 14th. Where is this case and what projects can be funded from this fund?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u17	As I mentioned earlier, a royal decree is currently being drawn up defining the operating modalities of the Energy Transition Fund. A first draft was recently discussed by the government parties and is modified on the basis of the comments received. I hope to be able to present a final draft to the Council of Ministers. As regards the projects that may be entitled to the funds of the Energy Transition Fund, Article 8 of the Law of 28 June 2015 laying down various energy provisions provides the following, and all words are important: "1° Measures to stimulate and support research and development in innovative projects within the energy domain within the framework of the powers of the Federal State. 2° Measures to maintain and/or develop and/or examine a system to ensure security of supply and balance of supply, in particular in relation to energy production and storage, as well as demand management. Finally, it is too early to identify concrete projects. In view of the provisions of foreign legislation and the relatively limited powers of the federal state in the field of energy, they will be directed towards large-scale (very important) production in the fields of storage, renewable energy production in the North Sea, nuclear research and energy management. We realized, by working and discussing with the government partners at a time when all the laws relating to the nuclear stock had been definitively voted and when the 20 million already registered in cash had become those of the Belgian State, that we had to format this royal decree as finely as possible in order not to encroach on the powers of the Regions in this field and to succeed in presenting a picture of the possibilities for the applicant not to err when it would cover segments of the competence of the Regions. It is this work that we do and it is progressing well. I hope to be able to come as soon as possible with a final royal decree.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u18	Madam Secretary, thank you for your explanation. You indicate that this is progressing well, which is, of course, relative. It is from 2015 that we have passed the law. There have already been several deadlines: December 2016, then January 2017 and now we are already in February 2017. However, if it is being worked on and given proper thought, we look forward to the royal decision. In any case, I would like to insist that the dossier should not be postponed, but that it should be effectively carried out. The creation of the Energy Transition Fund was an important condition for extending the lifetime of Objective 1 and Objective 2. I would urge that no euro be lost. That amount of EUR 20 million per year should be effectively included in that fund. It's not because the royal decree isn't there yet, that we can lose money. So I expect all the money to be fully paid in, even if the KB still has to be worked out. I hope that no euro will be lost, which will certainly benefit the Energy Transition Fund.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u19	Mr. Lachaert asked me that question. The money is already recorded at the fund level, on a specific budget line, entitled "Energy Transition Fund". The money that has already been collected from the state's account can be found in this place, which is a separate area from the entire budget, otherwise we could not use it. We have already budgeted the next $20 million for 2017, which will reach us before the end of June. In order to be able to use them, the royal decree is necessary and will have to pass to the Council of State to receive its remarks. When this process is completed, we will discuss it in committee.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u20	Minister, this legislation is dated June 18, 2015. The royal decree was promised a year and a half later but did not arrive. As it still has to move to the Council of State, we will not receive anything until Easter, if the Council of Ministers and the parties of the majority agree on how to use the fund. We know the law, we have discussed it. The majority said that it was not clear what was or would be eligible. It is time to give a signal since it is meant to be energy "transition". In 2019, it will be too late to implement it. People don't know what to do, how to intervene, and so we're taking a huge delay.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u21	Madam Minister, this is not the first time we have asked questions about the energy vision in the Energy Pact. There too, the deadlines have already moved on. On 30 January, for the first time, a meeting was held between the various Energy Ministers. That's been in the media too. Apparently, the first agreements have been made to reach an energy pact. Since we were not yet able to speak in committee, I have questions about what will happen next. Probably agreements were made and procedures agreed. However, I find little about this, including on your website. You met on January 30th. The aim is to achieve a common vision for the energy targets by 2030 and 2050. Can you give us an update on this consultation? What arrangements were made in concrete terms? It was also intended to set a timetable. Can you give me more information on that? When's the next meeting? What's to be done by then? Have different dates been set for next meetings so that it progresses? Can you tell me that, too? How do you intend to achieve a well-founded interfederal energy vision on the basis of the different visions? Apparently, four working groups have been set up, each managed by an entity. How should each working group achieve this vision? Were procedures agreed on how the working groups should work, how they should be composed, who should be involved? Which experts and bodies will be consulted? So, Madam Minister, I would like to know more about the agreements made on that date, the further timing and how that pact will be achieved.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u22	Mr President, Madam Minister, I am not going to repeat everything that my colleague has just said, but only to remind you that you had a meeting on January 30th. I join all the specific questions in saying that the method you are using to work on this energy pact has not yet been understood. What are the content elements that are finally the subject of an agreement between the Federal and the Regions? What method is agreed between the federal and the Regions? What are the points of disagreement? What is the timing of the next steps?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u23	Mr President, various players in the energy sector have still recently and publicly expressed their views on the lack of a medium- and long-term energy vision in our country. Thus, in the columns of the Soir, Christophe Decrez, the boss of Eneco, confirmed that his company "had plans to invest in a gas power plant in Beringen but the project was dropped. The instability was too strong. Today, the investor doesn't know where we're going. So we don't invest." It confirmed that because of the delays in the Pact (announced in your 2015 government agreement), our country is missing opportunities for transition and job creation. Minister, during our last discussion on this subject, you were telling us to meet with your regional colleagues on January 30 with a view to finalizing a methodology and schedule of work in this area. Two years late, it didn't take any more! What about it? What method of work and schedule can you finally announce? When will Belgium have an energy pact worthy of that name?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u24	Mr President, Madam Minister, you regularly point out, quite rightly, the importance of being able to draw up an inter-federal energy pact to give our country a short-, medium- and long-term energy strategy. The pre-development phase of this Pact is the definition of an energy vision. As a reminder, since the subject matter is inter-federal, the progress of this issue is also partly linked to the proactivity of the regional governments, who wanted, before defining an inter-federal vision, to define their own vision on the subject, before setting themselves around the table. You had a first meeting on Monday, January 30th. Minister, what is the result of this first working meeting with your counterparts in the federated entities? What follow-up will be given by the different levels of power to ensure the conclusion of the energy pact as soon as possible? Do you already have a timetable for the next steps towards a common vision? Have the Regions already defined their respective energy visions?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u25	Mr President, as you will recall, on 30 January it was Mr Calvo's birthday. The latter had expressed the desire to receive as a gift the first meeting of the energy ministers of that country, as planned, that day.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u26	[[...]]
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u27	And today is Valentine's Day. Let's talk about desire!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u28	Today is Valentine's Day and March 15 is in a month. All this is certain! I am very pleased – and I thank him, here, publicly, as I did the day we met – that Mr. Christophe Lacroix immediately agreed to respond to the invitation to stand up because, like you, Mr. Calvo, he did not expect to come and talk about energy on January 30. I said to Mr Lacroix: "Christophe, you must know that I have a Member of Parliament who absolutely wants this meeting to take place on 30 January. You absolutely have to come." And he came. We were able to make our first meeting. Subject to the fact that we had a colleague, you will admit him with me, who was to read the file – Mrs.Lalieux, I remind you that we were the day after his appointment; he did not yet know very well who there would be in his cabinet – we met and discussed methodology. The meeting lasted about an hour and a half. Initially, without finality, the methodology chosen was to say that each minister would choose a subject on which he would establish the existing points of convergence, possible opposition points, the efforts to be made, the strategy to be followed and the challenges for the future (everything technologically innovative for the future in these subjects). The first one that came out of the wood to make a choice – that's not going to surprise you – is Mr.Tommelein who wanted to choose production. You saw that there was immediately a reaction in the head of the stakeholders, not only in relation to this choice, but in relation to the various statements he had already made, knowing also – I am already responding a little to Mrs Cassart – that he will, in the coming days, present to the Flemish government his energy vision for Flanders. He had already told us about it. He wanted to rely on that to postpone the meeting on January 30th. I refused: "I have a Walloon minister, freshly emotional, who will come, we keep the meeting and we continue to work." Moreover, the Federal State has chosen the flexibility of interconnections, the Brussels-Capital Region, the governance and the Walloon Region, the functioning of the market. We decided to meet again on March 15 to share the work done by each of us in the areas we have assigned ourselves. With regard to regional energy visions, the federal state has started to develop its energy vision since 2 December, when we tabled a guidance note to the Council of Ministers. We will discuss this earlier with the projects related to storage and demand management. I have just told you about the Flemish Region. As far as the Walloon Region is concerned, provisions have been put in place, but I do not yet know them precisely, since I will see how Mr Lacroix will position himself at the meeting on 15 March. The Brussels-Capital Region has developed projects to be presented at this meeting. We have not yet decided on a methodology, but one thing is of course: I have drawn the attention of my colleagues – not all of them agree – to the fact that it was essential to see experts working with us on specific issues. In addition, we need to organise a broad consultation and exchange with the stakeholders, the usual ones, those from organised civil society or those from trade unions, NGOs, workers' representatives, bodies such as the Federal Council on Sustainable Development. The vision must take into account not only energy and support for the exit from nuclear power, but also climate objectives and imperatives. We'll discuss it again on March 15th. I hope to be able to move forward – I understand that my colleagues are willing to go in this direction – in order to develop more operational groups after an exchange on each of the topics we have assigned ourselves, on the points of convergence, the points of opposition, the challenges, the efforts to be made and the strategy to be followed.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u29	Madam Minister, thank you for the explanation. It's a good thing there's been a first meeting. That is a step forward. I have to admit that when I saw the news reports on this subject, I was a little surprised at the composition of the working group or the distribution. You say that Minister Tommelein chose first and that he chose production. There, an effective journey has already been made, in a rapid pace. Then, of course, it is only about the powers of Flanders. The offshore and the nuclear aren't in there. However, I assume that this will be taken into account in the vision when it comes to production. Will that be added in Flanders or will that remain a federal matter? Those working groups are in fact independent of the powers they have. I do not think that is very logical, unless they are going to do all kinds of things about nuclear and offshore. So I look forward to seeing how that will happen and how the process will be followed in order to have a say in it. You'll be back together on March 15th. I hope that clear agreements will then be reached on how to create the basis of support. It is very important that the various stakeholders in the sector, as well as civil society, are involved. The public can also be consulted. And, not to mention, we also need to consider how Parliament can be involved in the whole process, not only in the formatting but also in the follow-up process. We need to be able to meet regularly to assess this and to look at the state of affairs and evolution. Madam Minister, if you still need inspiration, please take with you the resolution we tabled on 15 March. The whole process is worked out in it. You can use this to inspire your colleagues. We look forward to finally achieving the Energy Pact this year.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u30	Mrs Dierick, I was astonished by the choices made. I did not want to hold back the enthusiasm of my colleagues. I believe that regional flexibility and interconnection are also my responsibility. Each and every one of us has to ask the question for the whole of the territory in the competences that are his own as well as in those of others. It is clear that we will discuss these elements on 15 March. As far as the resolution is concerned, I know it and I will draw inspiration from it. I have heard that you will now hold hearings on the energy pact, on the basis of this resolution. I will follow this file very closely and exchange with you through your subsequent questions regarding the progress of my work with my colleagues. Thank you for your attention.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u31	Mr President, thank you. Minister, March 15 is the date when we will see the points of convergence and divergence and if everyone has done their duty. I don't know how you work separately. If I understand you correctly, you have to invite all levels of power, otherwise it will be complicated. The methodology of the experts, the stakeholders, has not yet been decided and then it will take a great public consultation, I imagine. Mrs Dierick, I think you're very optimistic. It was planned for 2015 and is postponed until the end of 2017! I am very afraid that the energy pact will be completed by the end of 2019. I hope this will move forward faster than it has been so far.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u32	Minister, two things. I'm afraid you couldn't. On the one hand, because of the calendar. On the other hand, because of the lack of clarity, from the beginning, on the future of nuclear power after 2025. I will come back, I have another question on this subject. But on the calendar, with what you are announcing, with the backlog already accumulated, I think that even for Mr Calvo's next birthday, you will have nothing to announce. It would be a disaster.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u33	Madam Minister, I have heard the various replies and I have listened carefully to your answers. Thank you for the clarifications and explanations you have given us. I think a step forward has been taken. This meeting on 30 January finally took place. Some people have been reunited. You talked about experts and consultation. I think this is a decisive step. The involvement of experts is a step in the right direction. On March 15th, it's tomorrow. We look forward to seeing what will come out of it. We want the energy pact to move forward. [[Each one's responsibilities.]] I think by putting everyone around the table, we're moving in a good direction.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u34	Of course, I can't commit on behalf of everyone. I can commit to myself, maybe, but I'm not alone. In particular, I am dependent on the other three ministers to make certain decisions. That is what I am going to explain to Mr Nollet earlier. But I would be pleased to see that on Mr Calvo's twenty-ninth anniversary, we have moved forward.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u35	31st anniversary!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u36	I thought it was 28. I misunderstood: are you already 31 years old? I thought you were still very young. Or are you gonna be 31?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u37	[[...]]
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u38	I'll write it down, Mr. President. I'd like that, too. It is by having goals in time that we can move forward. I'll tell my colleagues, be sure. That's a very strong argument.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u39	If there is no request for a reply from the colleagues who have asked a question on this point, I consider the incident to be closed and I give you an appointment for Mr Calvo's 31st anniversary. Mr Calvo, on the order of business, do you have a proposal for us?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u40	Mr President, we are now taking note of the next stage in the consultation or start-up of the Energy Pact. I think it is important to agree with the Minister on the place of the hearings throughout the whole process. After all, it makes no sense for them to take place in the air, so that they become a measure for nothing. I am in favour of hearings on the Energy Pact with a strong involvement of the Cabinet, but with a clear place in the path towards the Energy Pact. We must formalise this and establish that it is part of the participatory framework. We must make it very clear that this is happening within the framework of the Energy Pact. We should, if necessary, invite colleagues from the other entities so that we do not hold double hearings. I believe that this should fit in with the path so that we do not ridicule ourselves and waste the time of all stakeholders and ourselves.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u41	Organization of work. What I would like to say to you is that this committee has discussed the organisation of work for the next few weeks. The principle of hearings in the field of energy has been retained. We are now trying to put all this in an agenda, but I wanted to tell you that next Tuesday, 21 February, there will be no committee on the morning because of Mr Juncker's visit to our institution, but in the afternoon, on the other hand, we will talk again about the organisation of work. So we can discuss it.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u42	During our somewhat surreal exchange on January 10, you announced that the decision taken by the ONDRAF Board of Directors on December 16, in terms of the response to your November 7 letter, had still not reached you. On January 10, the reply to the letter left on December 16 had not yet arrived. You told us you haven't returned from ONDRAF yet. It had attracted my attention because you have either of the commissioners of the government. Were the government commissioner(s) present at this GC meeting? When did their report reach you? I'm not talking about the answer, I'm talking about their report. What did this report of the Commissioners contain about the position of the Board and the content of the discussions? Have you since received the official response from the AC? What does this answer contain? What will now be the continuation of this file? What is the next step? When and how will Parliament be involved in the debate on the fundamental choice of options in this area? And above all, when and how are you going to involve the Belgian people in the debate on the choice of options for nuclear waste B and C, before the first decision is taken? As a reminder, since the 2008 Eurobarometer, it is known that a large majority of Belgians refuse to consider geological deposition as the most appropriate solution for the long-term management of high-level waste.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u43	Mr. Chair, Madam Minister, the government's statement points out that there is a need for national policy measures to manage nuclear waste in categories B and C. As Mr.Nollet said, we need a participatory process and compensation. Of course, this is a sensitive issue. While it is difficult to reach agreement at the government level, it is nevertheless important to move forward on the issue. Madam Minister, I would like to know what progress has been made in the long-term management of Category B and C waste? What decisions have been taken at this stage? Have you submitted any proposals to the Council of Ministers?
