ParlaMint-HR_2012-07-10-0.u6085	I see a hand in the air, a respected representative. Here you go.
ParlaMint-HR_2012-07-10-0.u12733	Thank you very much. Mr. Vice President, Deputy Minister, colleagues and colleagues. We have before us the Law on the execution of sanctions imposed on minors for criminal offences and offences. The enforcement of juvenile sanctions and measures is not until 2009. For years it has been regulated by a special regulation although it is a sensitive population that enjoys and special protection according to the Constitution of the Republic of Croatia. In order to fill that gap and to bring the legislation of the Republic of Croatia into line with the legal acquis of the European Union in the area of enforcement of juvenile sanctions and measures, the law was also adopted in 2009. We support the adoption of the law, because harmonisation, or any amendments and additions to the existing law, in order to comply with the later passed Law on Juvenile Courts and Criminal Law, is indeed shown as an optimal solution in even a third of the provisions. Taking into account this fact and the problems observed in the practice of passing a new law, it is a good proposal. What is good is that the law is fully addressed to minors, because the aim should be to make it easier for them to be involved in society after serving a sentence or an educational measure. When we see from the 2011 State's Attorney's Office report, criminal charges against minors are after years of decline in slight growth as well as against minors. As regards sanctions imposed on minors by the Youth Court Council, 1 109 decisions were taken, 958 of which were imposed on minors. It's mostly educational measures, and it's only an exceptional punishment for juvenile prison, which is only 14. Why is it important to mention this information? Because the legal framework should give the necessary balance between prevention and repression and should be imposed as necessary. I therefore stress that young people who have found themselves on the wrong side should be helped, and punishment should be an exception. The purpose of juvenile sanctions is to provide protection, care and supervision. As sanctions, minors are given punitive measures to juvenile prisons and security measures whose enforcement of the Law on Juvenile Courts and Violation Act only governs in principle. Therefore, the regulation of this area and the clear distinction of jurisdiction in the enforcement of certain sanctions certainly contribute to strengthening the entire system. Thus, in a very clear way, it is distinguished that the enforcement of educational obligations is a special obligation, a reference to a disciplinary centre, increased concern and supervision with a living room in a educational institution, a reference to a educational institution and a reference to a special educational institution in the jurisdiction of the ministry responsible for social care affairs. As long as the enforcement of the educational measure is in the Breeding Institute and the sentence of juvenile prison is in the jurisdiction of the ministry responsible for the affairs of the judiciary. The strengthening of instruments that strengthen the resocialisation of minors is certainly accompanied by the enforcement of the educational measure of increased concern and supervision, i.e. the introduction of a completely new obligation of the Centre for Social Care. Therefore, due to the effective enforcement of this training measure, the obligation of the Centre to designate a person, i.e. a leader, who will carry out a special obligation and to report once a month to the Centre for Social Care and will submit a report to the State's attorney and court every three months, on their request and more frequently. Furthermore, this law prescribes the execution of the sentence of juvenile prison by the appropriate application of the Penal Code governing the execution of a prison sentence for minors, but prescribes specialities in the enforcement of this sanction in relation to the minor population. Thus, a minor will be placed with other minors, and exceptionally with younger minors, and in any case there can be no more than 3 prisoners in the same room. The right to stay in the air to minors is 3 hours while adult prisoners are 2 hours. The minors have the right to visit family members four times a month and a holiday, unlike the adult prisoners who have this grace twice a month and a holiday. According to minors, no specific measure is allowed to maintain order and security – isolation. All in all, I support this bill guaranteeing minors the protection of the fundamental rights set out in the Constitution, and their restriction is permitted only exceptionally. In particular, it guarantees the confidentiality of data and identity, and this bill guarantees the procedure for the enforcement of juvenile sanctions and measures not to endanger their human dignity, solves it in a manner that is adapted to the person of the minor, and protects the personal and property rights and interests of minors in the jurisdiction of the Social Care Centre. Therefore, the SDP club will support this bill. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12734	Thank you, too, Your Honor. The next club is the HDZ club in the Croatian Parliament and respected representative Ana Lovrin. There you go, dear MPs.
ParlaMint-HR_2012-07-10-0.u12735	Thank you very much, Mr. Vice President, Madam Deputy Minister, colleagues and colleagues. Well, at the beginning, I would say, on behalf of the HDZ Club, one compliment for a procedure that is otherwise not quite common in this session, and this is that we are passing this law in a regular procedure, so it's about first reading. I would equally like to give a positive assessment of the new law being passed, given that such a number of provisions of the existing law are amended. Thus, such a large number of amendments to the existing law are not, in all respects, essential to some change, but it is explicit, linguistic and nomotechnical harmonisation. However, since we must think about those who will apply the law, it is certainly good to establish a new legal text. Namely, to remind this Law on the enforcement of sanctions imposed on minors for criminal offences and offences was first passed as a special law in 2009 because until then there were no laws governing the enforcement of sanctions and measures imposed on minors of criminal offences and offences and specific rules and provisions of the youth courts were applied to their enforcement. However, no enforcement procedure has been established in the Law on Juvenile Courts and all necessary actions have been established to initiate the sanctions, whether criminal or criminal. As regards the Criminal Code, which prescribes criminal and legal sanctions and safeguard measures that could be given to minors, it also does not contain provisions on how to enforce them. Therefore, the need to pass this special law has been demonstrated as it concerns one particularly vulnerable population. In fact, the population at the beginning of its life course is estimated to be a population with a good approach that can still have an impact on the right path. Thus, this was also seen in the practice of courts in applying sanctions. So, even then, when considering the situation in the adoption of this law, approximately 90% of the cases were raised, and detention of juvenile prison sentences and sentences of juvenile prisons were applied very selectively because they were primarily aimed at the beauty of educational measures. It is also found that from the point of view of the educational measures given in the jurisdiction of social care. Most of them are aimed at outside the household educational measures, almost 88%, and somewhere then 12% fell to the educational measures of the institution. Of course, it is all in line with the general trend of deinstitutionalisation and use of local community resources. So we can see that according to the statistics that are then, and the indicator is unfortunately, we do not have this period of application of the law from 2009 to today. They are almost, he entered into force in 2010, almost 2 years of application. But here we see that according to statistics, it's mostly crimes committed by minors in most cases are crimes against property, so theft. And these are areas where a proper approach can be very effective. Of course, especially in minors, the success of a criminal-legal reaction to initiation depends primarily on the criminality of minors in the correct selection of the intended sanctions. Therefore, if a minor is given an educational measure that does not correspond with both his personality and the opportunities on which he lives, the purpose of punishment will not be achieved. The purpose of the punishment is, except, that is, the application of the sanction is, apart from the punishment itself, there must certainly be a resociation of the perpetrators in order to act primarily on the educational, pro futuro. Here, so I think it's good that this area has its own special law. I must say that this 2009 law is already in the exercise of juvenile sanctions, the full respect of the legal property of the European Union is respected, and the principles of the European Council documents are incorporated in it. So, in all respects, this law covered this area of compliance with Europe's legal system. Now a new law is proposed, first of all on the trail of this year's 2009. Through its application, some have been observed, some indiscretions or some insolence. This text of the law is therefore corrected in a way that clearly distinguishes competences in the field of social care and jurisdiction in the field of justice. Therefore, it is also in line with this proposal, this Law on the enforcement of sanctions imposed on minors for criminal offences and offences is aligned with the Law on Juvenile Courts, both explicitly and in substance. Some norms are omitted because they have been double-standardized in two laws, where the terms, e.g. the former name of the training centre, have been changed to the discipline center according to the Youth Court Act. Although we cannot comment now on the law that has already been passed, it seems to me that the training center is actually a more appropriate name, for it is immediately clear what it is and what it is doing. I also consider that it is very good to take measures of increased concern and supervision, that Article 35 is prescribed that the Centre for Social Care is obliged to designate a person who will carry out that educational measure, in order to clearly know who the perpetrator is following and who is responsible for the enforcement of that measure. What would be interesting if we were, if we had today in front of us, which is the enforcement of the 2009 law. Because at the time we said that a lot of beautiful things were imagined and prescribed by that law, it was just a question of whether it would be the capacity to implement them in practice. It would be good, then, to hear indicators of whether we have succeeded in predicting the 2009 law, whether it is in practice and implemented. In addition, Article 54 of the Law provides for additional improvements in respect of minors in the execution of the sentence of juvenile prison. We have often read in the media, and there have been bombing titles, but indeed inappropriate in the execution of juvenile prisons or prison sentences, so that minors are placed with perpetrators of serious crimes, with serious criminals, etc. Now it is prescribed that they must, minors must be placed with other minors and exceptionally with younger minors, and that there must be no more than 3 prisoners in one room. This is good, but given the annual reports on the state of the prison and the penitentiary, where neither the adult perpetrators nor the far-fetched conditions are respected, because there is simply no capacity and thus not only Croatia struggles over a number of years, but also many countries of Europe and the world. So the question when we prescribe some obligations, did we predict whether we have enough capacity, both spatial and material, otherwise we can boast. We have often heard in this assembly that somewhere in 2001 or when it was passed the most modern law on the enforcement of criminal sanctions, the best one, was given free of charge, but of course never fully implemented what was written in that law, simply because no material assumptions were provided for it, and also these material assumptions that should be ensured, nor by far more developed European countries were able to secure. Well, then, logically, they shouldn't even be prescribed if they can't be implemented. Because then we are only subject to lawsuits and lawsuits by the European Court of Human Rights, which, of course, judge in favour of the applicant of the service, because it says that simply, the state did not respect what it had prescribed, in its law. Here I think in the first reading this should be welcomed by this alignment with the accompanying legal texts. Some improvements have been made in relation to the execution of prison sentences and educational measures for a minor, but I appeal to the fact that what is prescribed is sufficient means to implement this, and especially in relation to this, I repeat to every perpetrator of the crime and the minor, but for a minor in particular, a single programme of conduct must be drawn up which must be based on an assessment of the diagnosis of the needs and the degree of risk of minors and his social opportunities in which he lives and his/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/her/his/her/her/his/her/her/her/his/her/his/his/his/his/his/his/his/her/her/her/his/his/his/her/his/his/her/his/his/her/her/her/his/his/her/her/his/her/her/his/his/her/her/his/her/his/her/her/her/her/his/his/her/her/her/her/her/her/his/his/her/his/her/her/her/her///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////// Thank you very much.
ParlaMint-HR_2012-07-10-0.u12736	Thank you, too, Your Honor. The next club is the HDSSB club and respected representative Igor Češek. Here you go, Your Honor.
ParlaMint-HR_2012-07-10-0.u12737	Thank you, Vice President. My colleagues and fellow MPs. First of all, I must say that I am truly pleased that such a bill passes through a regular legal procedure or through a first and second reading, so there is the possibility that, after a public debate in the second reading, there may also be a supplementation of some aspect of this law. Otherwise, on 29.12.2009, the Law on the enforcement of sanctions imposed on minors for criminal offences and offences entered into force. The profession was satisfied with this law because it finally regulated the way in which sanctions were imposed and protective measures and guaranteed the protection of fundamental rights established by the Statute. This bill has been improved compared to the current law. After all, it was written for compliance with the Law on Juvenile Courts as well as with the Penal Code. Violence among youths is a subject to talk about because violence among young people has recently taken hold. Statistics are devastating and black chronicles in printed media are full of articles on juvenile violence. We do not have accurate data for 2010, 2011 on delinquency but what can be read by some police administrations has announced that the increase in juvenile delinquency in Rijeka was 40% compared to 2010 and in Split by 20%. Why is this so and what can we do to prevent as much minor violence as possible? Traditionally Croatia is a country of family values and up to a few years ago the scales of values seemed completely different from now. Although most of our citizens are trying to keep that scale of value at the level it was at and at which it deserves to be. In the first place was family and respect for others, unfortunately that ladder was changed. And what exactly are the causes of that? Causes can be found in the fact that citizens do not live in quality. If the lucky ones work too hard for too little pay or don't get paid at all and don't have enough time to hang out with their children and raise their children. If among those 340, 350 thousand are unemployed then they are mostly depressed because their own children cannot properly raise and be a role model. Because what a role model it is if I can't afford a child basic living conditions and the consequence is that children are practically raised by the street. After such unfortunate fates, there is growing violence among young people who are found in cafes, bookshops, suspicious societies, or in the media. TV and the Internet are filled with violence, so-called A reality show that doesn't teach kids anything smart. Here I was just preparing this debate and I read a couple of pearls of one of our famous starlets who boasted that she was college-educated and that's where I'd be referring to her statement when she said she knew well what a mobing was if she had five cell phones. I just wanted to mention that today in the Republic of Croatia too much is used in English, values of Croatian are not respected, so I do. I don't know what cyber bulling or bulling is. I think there are Croatian words with cyber bulling and for bulling as well for mobing. But I won't speak English. So what is very important and important despite this good bill, we need to raise our children and young ones in order not to try to carry out a minor delinquency. This education should also be given by defecologists, psychologists, educators, social workers, but also by the media and family. So to avoid such minor violence, we must first raise our children and be their role model. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12738	Thank you, Your Honor. Lastly, we have exhausted the list of applicants for the debate and the final word of the esteemed Deputy Minister of Justice Ms. Sandra Artuković Kunšt. Here's your esteemed Deputy Minister of Justice, please.
ParlaMint-HR_2012-07-10-0.u12739	Thank you very much. Here's just one sentence. Thank you very much for the discussion and for the affirmative observation. This law is, as we have said, an implementing regulation, the correct choice of the sanction provided for is not within the scope of this law except as it prescribes and determines how sanctions will be applied. What is important is this defined distinction in the implementation of sanctions and, above all, special concerns and protection of minors just to achieve the purpose of punishment and this is an educational action. That's it. Thank you.
ParlaMint-HR_2012-07-10-0.u12740	Thank you very much. I'm closing the debate. We'll vote when the conditions are met.
ParlaMint-HR_2012-07-10-0.u12741	Proposal for a Law on the enforcement of sanctions imposed on minors for criminal offences and offences, first reading, PZ No. 136. The debate is closed. In accordance with the proposals of the working bodies, I am voting on the following conclusion: "First, the proposal for a law on the enforcement of sanctions imposed on minors for criminal offences and secondly, any objections, proposals and opinions will be addressed to the applicant in order to prepare a final draft of the law." Who's in? Against? Restraint? I'm asking for a result. I find that with 121 votes for and 5 abstentions, the conclusion is accepted.
ParlaMint-HR_2012-07-10-0.u12742	We continue in line - Proposal for a Law on the Confirmation of a Framework Loan Contract between the Republic of Croatia and the Council of Europe Development Bank for a project "Financing Water-Communal Infrastructure", with the Final Proposal of the Law, an emergency procedure, first and second reading, CZ No. 124 The Proposer is the Government of the Republic of Croatia. You've received the bill's proposal in boxes. This Regulation shall enter into force on the twentieth day following The Rules of Procedure of the Croatian Parliament are the first and second readings. You may submit amendments until the end of the debate in accordance with Article 164(4). Rules of Procedure of the Croatian Parliament. The debate was conducted by the authorities of the Croatian Parliament. You received the reports at the session. Would the applicant's representative like to further explain the proposal? He's gone, I'm sorry. We're going to a debate. Do they want to take the word of the committee's rapporteurs and representatives? No, I don't. I'm opening a debate. There's no record of a hearing. Do we now have a registered respected representative, Zoran Vinkovic, on behalf of the club or in our own? Here you go, Your Honor. On behalf of the HDSSB club, respected representative Zoran Vinkovic.
ParlaMint-HR_2012-07-10-0.u12743	Your Honor, Mr. Vice President. It is a bit strange that this is a really important law, regardless of what it is about confirming the loan framework agreement between the Republic of Croatia and the Development Bank of the Council of Europe for the project "Financing Water-Communal Infrastructure", with the final proposal for a law that is in urgent procedure that has no proposings, so there is no government representative. In particular, during all these years, so also when harmonising all legal standards with the European Union, that is, Croatia's path to the European Union, that very few units of local self-government, so municipalities and cities have even entered certain projects to finance water-communal infrastructure, and that is mainly to think about disposal systems in municipalities, waste management systems in cities, along with purifiers. So we have one very devastating fact that all of the 600 municipalities of only 9 municipalities have entered the IPARD programme at all, and there are only a few cities, and I can boast there, among which Djakovo has entered the IPA programme. And I want to highlight here certain problems that are related precisely to the withdrawal of funds from European funds, which is what has been working all along in the Republic of Croatia, full centralisation. So, so far, the practice towards local self-government units, and I very little mention very little funds and millions of euros, is the only thing ahead of Osijek-Baranja County that has its own office in Bruxeless, very few funds have withdrawn from the pre-accession European Union funds. Therefore, among these cities is Đakovo, but I would like to point out that often the political decisions of the relevant ministries, i.e. the Government of the Republic of Croatia, have changed the order relating to the withdrawal of funds from pre-accession funds, and unfortunately if you enter as a unit of local self-government into a single programme, so there is practically an unwritten rule that you are banned from entering and that other projects from pre-accession projects are disabled, and in the future of the Structural and Cohesion Funds of the European Union. What this law will, in any case, not solve, is a matter of the very financing of water-communal infrastructure, because this is about taking credit between the Republic of Croatia and the Council of Europe Development Bank, but I would like to point out precisely the problems that are present in everyday life, but I must also point out that I hope that the Government's representative is watching the transfer of the session of the Croatian Parliament and that he will see what and as a club of the HDSB we want to warn. This is primarily, therefore, major problems that are related to the resolution of property-legal relations, it is related to the non-compliance of catastra and grantovnica, since the grantovnica extends to some units of local self-government, regardless of which a similar contract has been signed several times. It was then the World Bank for Reconstruction and Development, certain European Bank for Reconstruction and Development programmes are money spent on other projects, and we did not resolve the basic precondition for many local self-government units to enter these projects. It's a cadastre, a garland and a solution to property-legal relations. Another problem related to the financing of water-communal infrastructure is that what should be avoided in any case and the legal framework should be harmonised, that units of local self-government as holders of these projects, so the construction of a treatment system with purifiers and all other water-communal infrastructures must be exempt from the payment of the water contribution. Therefore, this amount of water contribution is even several times greater than that of the municipal contribution and normally that the local self-government unit, therefore municipalities and cities, release such infrastructure and such a building of general interest not only for its local self-government unit but also for the practical protection of the environment, so that in the name of the club we are looking for a solution by which the state, i.e. Croatian waters, will release such buildings from the payment of water contribution because it is also in Croatian waters, but also for the Republic of Croatia itself, or the Government of the Republic of Croatia, it is more important for the Ministry of Finance to give citizens a standard of the 21st century and not to pay something that does not really matter at this point because these projects are primarily included in the Republic of Croatia and Croatia water, and it is important to note here that this water contribution should be released. The third problem that arises here regardless of what we support, so this Framework Treaty on the raising of loans for the financing of water-communal infrastructure. Normally, this also indicates that we are indeed a poor country at any time when we have to borrow for all projects. The third problem is that in these projects, no matter how much I would say it, it even sounded pathetic to me in a project that is worth here in the area of the city of Djakova, almost 36 million euros, we must use complete European technology. So, in the development of this project in the finalisation itself is very few Croatian products, and I would dare even say that there will probably be very few Croatian construction operations, operatives and labour forces. So these are the basic three problems related to the financing of water-communal infrastructure. The fourth, in my opinion, the most important problem here is the extremely small budgets of units of local self-government that can't track these projects since we warned here a few months ago what would happen to that so-called. the tax reform of the Government of the Republic of Croatia because there is indeed a further poverty in the budget of units of local self-government which, with an annual budget of 7 or to 100 million kuna or 200 million kuna, cannot monitor such projects as are expressed in millions of euros. The last problem that is related to the signing and production of water-communal infrastructure, and we must say it openly and from this pay phone is an increase in the price of services that will go towards citizens. So these are standards and problems that are related, so for the very creation of water-communal infrastructure. The next problem that is related to the creation of water-communal infrastructure itself is lack of expertise. So, lack of waist. We have witnessed that in the past, as well as those of the Croatian Parliament and the Croatian government, they have often been appointed to a political likeness. But we would like to warn that right now in Croatian waters cleanup is being done, because they are really being replaced, I would not say party personnel but are being replaced by experts who have shown their ability for many years, practically and defended large cities from floods, and it is replacing them with, for example, a hotel director who has experience, so in leading a tourist offer in one of the most beautiful cities of Slavonia but in an extremely bad hotel. So, I'm talking about the replacement of the head of Croatian Waters in Osijek, which is being replaced by the director of the Hotel Dunav from Vukovar, so the man who doesn't have any professional skills. That's what's gonna happen in the Vinkovci, so the Beach Bosut Basin. The same thing will happen at all, so the levels where it will be replaced I would tell the experts, will primarily be replaced by similars with a party card. This is also happening, Madam Deputy Minister, in the Croatian Forests, and it is obvious that this government does not care about it, and this can happen in the state ergeli Đakovo where you will set up an exceptional expert in '48. A year that's been at the Employment Service for two years, who probably hasn't seen a horse on TV, and I believe he wasn't even at this bachelor party when the Djakovci bonds were held. So here we will support as the HDSSB club this law with all these problems. So we want the government to see these problems, and we also oppose this cleaning of experts from Croatian waters. If someone is guilty and has made certain mistakes in both Croatian waters and Croatian forests, then the Government should explain it, and not replace people with a coming or telephone session and replace them with staff who have nothing to do with the water economy except probably in the morning when shaving open taps or flushing water from the water boilers. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12744	Thank you, Your Honor. So we've exhausted a list of clubs that have been reported for discussion on this subject. We're moving on to an individual debate of deputies for 10 minutes. And he is the first respected representative, Josip Boric. Here you go, Your Honor.
