ParlaMint-IS_2019-04-01-87.u1	The president considers an agreement that may last longer than the Senate allows.
ParlaMint-IS_2019-04-01-87.u12	Mr. President. It's not that they're not paying any attention. A boarding room is the government official who observed this situation, and it was very regular throughout the past month. Hv. A senator asks for preparation. I'd like to remind you that last year, there were payments made from the guarantee fund of pay, their peaks, raises, and unemployment benefits. What was the reason for this? Yes, we saw that there could be further traumas coming from the cooling economy. This is very important now, and I now declare a special pleasure with the union that labor movements show their companions by putting aside pay and, instead, demanding a debt of guarantee to cover the gap for people at this month's convention. However, the Ministry of Social Affairs and the government already approved additional funds for the Work Programme to provide additional advice. The Ministry of Education and the Ministry of Education has associated themselves with schools in the area and with institutions for the management of the local schools, as well as with the Ministry of Health, since it is also important to be concerned with the short - term welfare of the local community. All the ministry has been standing by.
ParlaMint-IS_2019-04-01-87.u13	President. The government has ten months to keep an eye on WOW. Of course, the reality today is one of the possibilities that always existed, were possible. Therefore, it could have been expected that the government would be immediately prepared with a targeted response plan as soon as the bankruptcy could be addressed to the less than 2,000 out of work on WOW directly and indirectly and now living in uncertainty. This is not the case with the government. We, on the board of directors, asked many questions and made suggestions, including the following: for Christmas due to a difficult situation on the Southnes, the health facility, high school, etc. All our suggestions were taken. All the suggestions we in the management position put out of sensitive positions in the South were dropped. Southnes are areas that will weigh more heavily than other areas of the country regarding flying. There was a 6% unemployment rate for WOW, 3% unemployment here in the city of Reykjavík. There are now 80 million, well done, in the labour oce but only 15 million in Southnes when the situation is much more serious. It has to be said, as it is, that the unions were ready for lunch immediately the next day with their answers and with their response plans, but the government did not. Therefore, after having had all this time to assume this possibility, we must ask: What measures have governments taken to speed up such a situation, such as the year 2000. What's going on with WOW's staff, now out of work? We naturally know that losing income is a shock to any home. What decisions and measures have been made by the government to make sure that the debt of responsibility does not take six months, as we know it will always be? What has been done to speed up the process? What messages do people who are studying and working and who are not at the loans? What messages are received by people who are on maternity vacations or are going to maternity school? All of this would have been very obvious and easy to work on and to be clear. [[The president calls.]] I ask: Can the prime minister tell us what will be done on the part of the government as a hand against anything other than flying John and Rose to their home?
ParlaMint-IS_2019-04-01-87.u14	Mr. President. First of all, I want to tell you what. A senator said it's a big deal to fly John and Rose back home, even though it's hard. A senator could not feel that way. One thing that lands face in the event of such a crash is a bad reputation if people do not get along well. The Department of Transport directed that response plan, and it's been very successful. Hv. Perhaps a senator would be interested to learn that it is part of what we have been learning about this matter that countries have done a terrible thing about sitting with thousands of beach holes in which a response plan has not worked. This is what I'm going to tell you. Congress members who seem to feel that it is not easy to get people around. It's not. Then I'd like to say, as simply indicated in my answer to the question of what. paritaprevir All of Ævarsdóttir Ævardósdótir's members, that the Ministry of Social Affairs, Health, and Education is prepared for action on this matter. For one thing, it is now working to meet those who have been studying with work and who have landed between systems. V.E.G. The Minister of Education and Culture will have a meeting with them tomorrow on behalf of the case. It's interesting that when I took over the Ministry of Education after a crash. A senator was not expected in the system to go back to studying and to be unemployed. They all fell for benefits if they wanted to go to high school. It came to me to try to fix the gap in the system, and it was done. Thousands who were then out of work completed their studies. Of course, these matters always have to be handled when they come up, and I had to do so at the time, 2009, and there are different situations, both for those who are in maternity and for study. In addition to health matters - and this is one of the points that the Southern government stressed this morning in the fine, well - arranged meeting we had - it is important to ensure increased service because we can expect to be more stressful in this area of about 150 have added to the unemployment record because of this case. [[The president calls.]]
ParlaMint-IS_2019-04-01-87.u15	A respectable president. I'm not going to belittle getting people home, but the local people were forgotten instead. The plan is not yet in place. When's the plan due? When will it be possible to answer those who are now out of work for how long and how quickly can they be paid through a pay fund of responsibility? We're simply experiencing that the government has again on large and important issues, as in the Bgret, no plan; no plan if it becomes a hard one. What was the plan when the State lost the case because of the Court of Human Rights? No plan, just that the government groups went down to speak of the European Court of Human Rights. Then we come to this case as the government, according to our own tradition, has been under surveillance for ten months, and there is no planning. I'd like to ask the highest. Prime Minister: How many meetings did the prime minister in the South have in mind before it came to poverty, and when do people really get the answers? Of course, Congress wants to hear the answers, but when do people on the Southnes, those who are now out of work because of WOW, give clear answers to their life and existence?
ParlaMint-IS_2019-04-01-87.u16	Mr. President. I couldn't get it here, but 150 people have lost jobs in Southnes because of that and 750 in the capital area, so we're going to keep it safe at the end of the day. A senator is a member of that area, like the one listed here. Of course, it is important to consider the big picture in these subjects. I can see that the government has decided to agree on something in which the government was not prepared. I have identified that tendency in the management issue, and I feel that it is not particularly remarkable in view of the fact that what we have put on this table, whether in the financial program where we are just taking action to secure the level of employment, whether in social activities, when it comes to unemployment improvements and payments from a pay fund, which I do not remember the government's offer, it was only done here by the government. I don't remember any suggestions on that. It's all about getting cold in the economy. That is what we are doing, and the big thing is to make sure that people do not become unemployed for long periods of time. Through public investment, or by searching for a new education as well as by preparing for it.
ParlaMint-IS_2019-04-01-87.u17	Mr. President. It is urgent to work tirelessly and firmly to solve people who have lost their job in the fall of WOW. Most of those who have already lost their jobs are in financial trouble and need assistance in this regard, and it is especially important that children who are unemployed and who have been spiritually conscious of the well - being of the people. The immediate direct effects will be enhanced by the loss of jobs at Leifs Erik's Air Station. Some 3,000 people are expected to lose their jobs in the weeks and months that follow. Some of them lose their homes at the same time because an employer also provides them with housing. In January and February, unemployment was detected in Réjanestown in 5.4%. Clearly, the number of unemployed will increase with the related consequences for the Southnes community. Governments are now under attack, what they will be like. Following the meeting of the highest. Prime Minister with unit officials this morning, I'd like to ask for the highest order. Prime Minister, to consider more carefully what reaction is expected from the government. Which squares will be enabled? Will financial resources be used to open schools for jobseekers who want to strengthen their position? Will SOS be used for the same purpose? Will the organized cooperation of countries and rural society on the well - being of people, and especially children in difficult homes, be established? Will interpretation services be increased as help is required for people who do not speak Icelandic? Is it possible that the government will make its synopsis a proposal for the implementation of an environment and transport committee, a proposal by the members of the Parliament to appoint a team of representatives of the rural community, and a plan to strengthen the position of the Southnes? Is that not an ideal position in our present position?
ParlaMint-IS_2019-04-01-87.u18	A respectable president. Thank you. A senator's inquiry. I know about this proposal, and I think there is good reason to consider it further at the Senate Committee where it is. I want to tell you what. A senator told me that I went over it at this meeting with a representative of four Southnesian local authorities what was already going on. As for school affairs and children, I want to agree with them. How important it is to consider the child's situation in such matters! Civil authorities went over what they wanted to do in that regard. I considered that the Minister of Education and Culture has already guaranteed funding for new courses in Keili, as well as funding for new construction projects at the Southside High School. We were particularly asked if that was the case, and of course we will persevere with that project. Also, the minister has been covering both Keisis, Fish Technology School, Southnes High School, and Southnes' Sial Education, as well as the Southern Knowledge Centre, to discuss how to cope with further academic contributions on Southnes. In the case of a labour oce, you know why. A senator made a special donation so that counseling and services could be added to those who have lost their jobs on the Southnes. A health - care minister has requested suggestions from the director of the Southnes'Institute for Health Care and the surgeon, in view of also the need for public health professionals to consider specific matters in the area, which have been considered for specific support and addition of nurses in schools in the area, psychology services, and the possibility of extending the pay period of health care.
ParlaMint-IS_2019-04-01-87.u19	Mr. President. I'm glad the government is going to handle the situation. This is the situation of inactivity and indifference, and it will contribute to the insecurity and discomfort of people in a bad position. Now is not the time to pull your legs and see what sets, and now your sleeves need to be boarded, and this requires both funding and staff to keep your operations in check. Many rural populations will most likely contract, but the cost of social services increases. V.E.G. The government has declared a decrease in the balance fund to the income stock of rural society up to a total of 3 billion dollars. in the next two years. A fund is meant to include to minister to disabled people and to children in our rural communities. In the South, this decrease in the equation fund will mean more than 300 million. K. in the next two years. I find it obvious that these plans will make the company more difficult for societies in a bad position, so I ask: Is the government going to reduce the estimated reduction of the balance fund?
ParlaMint-IS_2019-04-01-87.u20	Mr. President. This is now easy to say that these issues are agreed with the rural communities, and there will be no restrictions on the balance fund unless an agreement with the rural communities is reached and this is done in conjunction with other issues. Such an agreement is not on the table, so I don't think there's any reason to worry about such a loss. They would require adjustment of law, and they require negotiations with their communities. I had a meeting last time with my Icelandic country partner last night, including with regard to these issues, there will be no such impairment if there is no agreement that would be more extensive and involved.
ParlaMint-IS_2019-04-01-87.u21	A respectable president. Stimulating implants that have died on a certain group of micro-organists are still uncorrected. 31st January. told the minister of finance in unsubstantiated requests that the promise to pay this was no problem, and it would probably be paying for it, whether there is money or not. Today's situation is that this absurdly hot potato, the vandal, is thrown between us. A insurance agency says it can't pay because it's so complicated. Well, the Ministry of State claims that there's nothing they can do about it because there's no way the insurance department can do anything about it. Then the Department of Insurance and the Ministry of Health points to the minister of finance. He says he can't do anything about it, the latest case is because he lacks financial resources. Then it points out that she is now teaching that nothing can be done about it. So it seems that to everyone else to be responsible but - to whom? Why is this matter, which is very simple, not solved? They've been talking about how hard it is to figure it out, how complicated, but did we ever hear a discussion in this room when these people were being paid for outbacks, illegal benefits? Someone came up here and said, "No, we can't pay them illegally, impaired compensation, it's so complicated to calculate it? I've never heard that before. If it was so simple to calculate and pay legal compensation, is it not as simple to calculate and pay legal compensation as it is right now?
ParlaMint-IS_2019-04-01-87.u22	A respectable president. Now, the institutions involved do not represent the Department of Economics, but it's probably trying to deal with them. The words are just like that. A senator refers to my fall simply as being in violation of the rights of the people, not asking whether there are any legal rights to correct them, but rather the state does not refuse to act in accordance with the law. It's like if there's an adverse judgment on the state, it's just settled. To me, this case is not about will or unwillingness to settle the matter. Rather, it is about a right thing to be settled. It is difficult to sum up the subject, since it is not particularly in my language field, as I stopped. However, it is about the fact that an insurance agency has not been allowed to provide a basis for calculating the benefits of those living in other parts of their lives. Because of all of this, each case has had to be reviewed and replaced. I don't know exactly what that situation is, but I would have thought that the members of the Parliament were in the palm of a hand, watching it, getting information about that situation. Then we may need to ask ourselves, " How will I set matters straight for the future? ' I've always emphasized that such rights would be most consistent, so if we give the rights to those who move here, we'd like to see that the same thing happens when the Icelanders move to that country. [[The president calls.]]
ParlaMint-IS_2019-04-01-87.u23	A respectable president. I thank the secretary of finance for the short answers. It is quite simple: Does this need special financial support, or does it not? I don't think it's gonna require any special funding for this. The public wouldn't get away with it, if he owed it to the state, saying, "No, I'm not paying, it's so complicated, it's a couple of years. It was June 18th last year that an agent said it was illegal. A new financial program clearly states: There is nothing to be done on this matter until first of January 1, 2020. This was made clear in the financial program. I'm asking, doesn't anybody know anything? Social Affairs says they don't need money, Secretary of finance says they don't need money. Then we're supposed to pay. I ask myself, " How do I pay? ' Are you going to pay for a tractor in the time you're gonna play? Or should only be steady interest rates, 5% interest? Four years to pay and say, "No, we won six, we don't have to pay six years. [[The president calls.]] How much is to be paid and when?
ParlaMint-IS_2019-04-01-87.u24	A respectable president. I just want to draw attention to the fact that this case doesn't rest at all on budgets. Regular application of the Kingdom requires that it be prepared for what is not expected and that it can, for example, be made available. They're taken from a reserve. The treasure is against payment like this. Of course, we need to understand what is right and how much to pay. Only according to the rules. The money's due. There's not to be too much to pay. If people have, for example. Use the quality of the time they lived in another country, have the accumulated rights they still receive from rights practices in their previous habitat, should be reduced, otherwise an overexpensive. And to get a conclusion on this matter as a whole, we need to examine each matter. That work is taking place.
ParlaMint-IS_2019-04-01-87.u25	A respectable president. I'll direct you to the highest level. Transport and Regional Ministers on the state of the Navy. The road manager set up an environmental and transport committee last week and reviewed the situation as it was then. It was noted that there was an important time point in this case. Friday is a time of communication with the shipyard and changes to the insurance insurance insurance that would have to be called in from the banks they provided, the shipyards had to extend the insurance or that it would fall. I'd like to know how things are about the communications of the Road Building and the shipyard. As everyone in this room can see, this is of utmost importance to Western eyes and transport. Clearly, it is important that Friday completes as far as the shipyards are concerned. The highest. A secretary of transportation informed us whether the insurance was called in by the roadtype, whether the shipyard extended it, or if it fell?
ParlaMint-IS_2019-04-01-87.u26	A respectable president. I agree with what. A senator, when the ferry comes, it'll be a good thing for the Western eyes and the people of the country all and the sooner, the better. The situation in this case is somewhat different, that at the last stage, this requirement should be made from the shipyard, in view of the fact that the Convention is both in the assessment of the Vega and by specialised parties there, of a very good deal that is maintaining and of any additional work has been made special agreements. Of course, since meeting the transport committee, contact between the shipyards and the Roadmaker has been naturally made. Exactly where the matter is at the moment, I dare not state, but I shall inform them both of the Councilman and of the United States on their first opportunity.
ParlaMint-IS_2019-04-01-87.u27	A respectable president. Thank you very much. The secretary of transportation for the answer. I think it's very important that it lies before the first. This is a key, of course, when negotiations with this Polish shipyard seem to have made very specific demands in the final meters. It was well reviewed by the head of the road and the representatives of the Roadmaker last week for the Environmental and Transport Committee. I think it's a key to being informed about the insurance policy now after Friday. It's over. According to the information presented at the Committee meeting, the insurance insurance policy of the shipyard, the "Performance Guarante- I'm sorry I use the English concept - out. Friday and the options set out for the committee were either an extension of the insurance, that it would be called in, or that it would escape. This, of course, is a key to ignoring this communication.
ParlaMint-IS_2019-04-01-87.u28	A respectable president. I agree with that. A senator that it is important that we get a decision on this matter as soon as possible. I know they're working hard to figure that out. All I've been told about is the normal way of communicating, but answer that precise question, which of these three means has finally been chosen, I shall come to the councilman and the House of Congress from the Ministry. This is important, not just for Western eyes, but for Iceland. The people in Iceland have their tax dollars to buy this ferry. It may well have been that this requirement was based on the actual cost of building such a ship, but if so, it should have been offered at the price of the ship and then people would probably have turned something else and perhaps not sat in the position we are today. The ship was supposed to come here. Some of the day and summers of the company are expected to be what it is trying to create a position to negotiate. [[The president calls.]]
ParlaMint-IS_2019-04-01-87.u29	V.E.G. President. Because the matter was called up between the 2nd and 3rd. I just wanted to decide what we're going to vote for. The committee took the matter to heart, and comments were made, natural, of one of the methods used in the registration and evaluation of real estate, a form of income. The committee's doing pretty well at her committee party, huh? A top-of-the-art Board of Education, and don't make a change in the case. Here we vote for a change in information, as best information for a national file based on property assessments, while also stressing that a total review of the law will be carried out against the methods used.
ParlaMint-IS_2019-04-01-87.u30	Mr. President. Thank you. paritaprevir Willum Thor Þór Þórsson for his word that this should be reviewed. I'd like to celebrate it, and mostly point out one point about real estate evaluation, how it's determined. There are several ways to do this, and there is more information about the so - called income route and its support. There are other ways to decide the prices of real estate based on real estate. In this brief speech, I would like to warn that this can lead to an increase in rent prices and real estate evaluations, if it follows each other from year to year.
