ParlaMint-IS_2019-04-11-94.u1	The president considers an agreement that may last longer than the Senate allows.
ParlaMint-IS_2019-04-11-94.u13	Mr. President. I'd like to talk to the highest. Health Minister on matters relating to the contract status of an enterprise's enterprise on welfare services. I specifically ask about that position now because a few days ago, the main meeting of the organization, which was challenged by a health minister, concluded that there would be a full force already in the negotiations between health insurance and aging institutions for a new frame deal with the homes. This agreement, which went into effect in 2016, ran out through the last year. It's not gathered in negotiations. The members of a welfare agency, which are nonprofit enterprises, but which are the nature of the situation because of the lack of interest in bringing losses, require that the service be paid fair, normal, and benefits, and want a clear and costly description. At the same time, the organization wants this to be done by third parties and to declare the greatest dissatisfaction with the government's policy in these issues. A good monitoring of the activities of these enterprises and institutions is provided by the national surgeon, who makes requirements that are not necessarily within the budget available. I'd like to ask a minister about the situation, about what plan is going on, as well as why and when are we going to fulfill what is stated in the Government Treaty to consider the matter of strengthening the nursing grounds. During the two budget years established by the government, the base of business has been reduced instead of strengthening it. There are no signs in the financial program to strengthen him in the near future. There is no contract, the action is contrary to promises, and uncertainty lies ahead. A big question is asked, but the answer is important.
ParlaMint-IS_2019-04-11-94.u14	A respectable president. Thank you. A senator's query is very important because it is a national service service that is granted and there are an enormous number of people who are involved in this contract in the negotiations now conducted at Iceland's Medical Insurance. I've had a meeting with the head of Medical Insurance last night, and according to my records, negotiations have been held during the past few weeks on the issues under which agreements have been held. The information has been called, and I'm aware of the viewpoints. A senator mentions. It is the organization's wish to bring even outside or third party to the table in an effort to bring these views together. Legally, Iceland's health insurance has a government agreement with health care hosts and this service as well. That means it's a project on the health insurance table of Iceland. I share that opinion with you. A senator, of course, that it is time to make a decision in these contracts. I will also do the same, and I have indeed mentioned it both in the chamber, and at the court. The financier, that there is a need to ensure financial wealth and access between 2023 and 2024 in a financial programme where we are, in fact, still planning a great deal of structure, but there are no documents that are not guaranteed. At the same time, we need to ensure that there is an adequate flexibility in the system, that we can have both a nursing room and a day's choice because there is an ever greater need for flexibility. I'm informed from day to day on the status of these discussions, I've been assured that Iceland's Medical Insurance is in this negotiation and is fully trusted by the Minister of the Dags to continue.
ParlaMint-IS_2019-04-11-94.u15	Thanks for the answer. I'd also like to remind you, and it's awful to have to remind you, that here in this hall, the General Assembly approved an extra budget to exactly these institutions, within the company of welfare services, up to 276 million last year. This money has not paid off, and the answer health insurance to a petition is: The contract does not exist. It's not working. I would like to do this in the second round just to mention that although the community of welfare services is underneath right now, the fact is, according to the health authorities'response to my inquiry. Some work was done after 12 contracts had expired, and this year 34 contracts are over. So there is a great deal of work to be done. I wondered about this number of contracts, large and small, that are upset and that are a business partner of independent experts, organizations, and particularly the safety of caregivers, patients and others: Is all of this under some kind of global health-requisition on health care? [[The president calls.]] I also draw attention to the fact that in the Constitution of the government for the winter, there was a law on health insurance contracts. [[The president calls.]] It's been called back. [[The president calls.]] Is this all part of a major issue, and will all these contracts wait for the answer to be found at the health minister's office? [[The president calls.]]
ParlaMint-IS_2019-04-11-94.u16	The president asks for time limits.
ParlaMint-IS_2019-04-11-94.u17	A respectable president. The answer is: No, this is not part of one of the overall revisions except in that respect, as well as in the other. A senator knows that we are laying lines for the future regarding the purchase of medical care in a new health policy. Then we expect the State to be more enlightened and there is a clearer willingness in the contracts to do exactly what it is doing to buy, what it costs, and then how the results are measured according to the effectiveness, safety, and quality of the agreements. There's something to do. Because of what? A senator says some contracts are upset, as it puts it, i.e. which are available and have been working on and have a lot of work ahead of time, so there are more than 200 contracts to buy health care, so you can expect that at any time point, in any way at any point, there will be negotiations with some health care provider. Hv. A senator asked about other matters, but now the time is over, a respectable president.
ParlaMint-IS_2019-04-11-94.u18	Mr. President. At the Council of legislatures in 2016-2017, a then U.S. senator, the Svandís of Sivís Svavarsdóttir, was asked by the current U.S. Marshal. Healthcare secretary for the medicine Spinraza. The request I would like to make now reads, with the permission of a president: Will this medicine be effective for Spinraza, a single agent for the neurodegenerative disease known as SM, available to those it needs here? I'd like to add this request and ask you about two other medicines that are useful or that have eased the suffering of those who suffer from MND. These are the medicines Radicava, or edaravone, and the second medicine is called Copper-ATSM, by permission of a president. These medicines are both in an experimental phase. The head of the MND society has called for patients to use these medications, as he puts it themselves, that they not only sit by and wait for their lives to end but they want to fight and go, because MND is deadly. I recall that 50% of those he gets are dead within two years of diagnosis. This is a 60-man group in MND case, of which about 30 die each year. The incidence is such that it is approximately 60 people at any given time. The SMA group is smaller, few individuals. The drugs are expensive. Nevertheless, I would like to ask the present question. A health minister who is now in charge of these matters: Will she put it into practice that the drugs I have been asked here will be made available here to meet this group of patients?
ParlaMint-IS_2019-04-11-94.u19	A respectable president. Thank you. A senator's inquiry. There are certain rules and procedures involved in the recording of new medicines and decisions. In each case, the composite decision is made by the specialist and then by the Committee of the Medicinal Products. That's the way it has to be. This cannot be so, and it should not be that the minister of the party is involved in the administration of medication to individuals. That would be a very strange arrangement. I'm not the spokeswoman that we change the arrangement so that a minister will answer for it in a question period that some individual should receive a drug. We have professionals to do, and that's the kind of community we want. On the other hand, there are often extremely complex questions. They are subject to a professional assessment of the health issues involved. They are also about the safety of patients. They focus on the safeness of the medicinal product and have been tested in ways that happen and walk around us in the countries where we would like to compare ourselves. We also want to, and that, of course, is the basic tone of our pharmaceutical policy, to ensure the availability of the public in Iceland to the best possible medication at any given time, so there is some single level that needs to be followed in these matters. It is my opinion that the most likely thing is that this delicate group of subjects has been the work of experts and is based on professional judgements. What is really our mission is to develop a professional feature that has the data and quality needed to make this decision and then the Generals to provide funds for their projects.
ParlaMint-IS_2019-04-11-94.u20	Mr. President. To make it clear, I wasn't asking the highest. Minister to prescribe medication. I have information from the Institute of Medicine and elsewhere that shows how these matters are handled and the minister himself did well. It'll even come. ... untila so - called "gasphon," by permission of the president, this is not my but, rather, my message, are medicines used to treat rare diseases that have certain priorities in the registration authorities, often without having to be fully investigated. I believe the three drugs I now asked about are right there. I know this is a common decision by a specialist treating the individual. On the other hand, I am courting a minister that allows for financial gain, since these are expensive drugs, so that the very few people can live as well as possible when they are dosed. I think so, and I know a minister would agree that we can't lay a cent on human life. [[The president calls.]] What I'm asking a minister to do and directly to her is that she will secure the funding. I know she'll be supported in this room to get those medications in use.
ParlaMint-IS_2019-04-11-94.u21	A respectable president. As noted in the second question, why? A senator is referring to drugs that are designed to be unproved but that want certain groups or individuals to enjoy the doubt, as it were - a big step to take. I think it would be beneficial to ask a written inquiry about this because this is a matter of fundamental thinking on how we take new drugs. We have not been the opinion in Iceland that a new drug was justified without full investigation, as this would mean that we could take a risk on health of individuals, because of the risk of side effects and some of those not fully studied. These are big questions, moral and social. Thank you. A senator for taking up this discussion here, this is one of the big questions we need to discuss in this regard.
ParlaMint-IS_2019-04-11-94.u22	V.E.G. President. I want to start by thanking the highest. Prime Minister for having a word with me today. The subject I would like to follow up on the United Nations agreement on the rights of disabled people and perhaps especially on the optional supplement that comes with that contract. It's like the highest. The prime minister is aware of the contract himself validated by Iceland in September 2016. When the Parliamentary decree was submitted to the secretary of state for approval, the person here proposed the adjustment proposal to ensure that the optional addition of the contract would also be validated. Is it not bad to say that at the council there was a footing and difficulty, and after any other time in the side halls, the result was to propose a change in the motion that stated that the Council concluded that a decision addition to the contract would also be validated by the end of 2017 and that it was approved by a single person. In addition, there is an increase in costs for individuals and groups who feel that the Icelandic government has not granted them the rights of the contract, and they have in vain used the resources they have under Icelandic law and political and judicial systems to achieve what they feel they have the right to do according to the contract. The United Nations Monitoring Committee with the Convention can request information from state to state and direct recommendations to them do not comply. By validating the selected appendix, it will be a more effective means of enforcing the agreements, the legal security of disabled persons more and more protected by their human rights, and it seems that many do not support it. V.E.G. President. As it is April 2019 C.E., the importance of this selection has not yet been validated. That's why I'm asking the highest. The prime minister is her attitude toward this optional appendix and development, especially in the light of an amazing reply by a former justice minister to a request on the matter here at the Assembly Hall of Monday, February 18. which was served at the head of the river. paritaprevir The Þorgerður of Katrín Gunnarsdóttir's daughter.
ParlaMint-IS_2019-04-11-94.u23	Mr. President. I want to thank you first. paritaprevir Páll Valur Björnsson's son for coming up here and setting up an important subject. It is now that we were both doing our job when this proposal was accepted, as I did. I well remember the proposal that started work to be completed validating the optional book. Since then, it has happened, as it were. A senator knows as well as I do, that the anticipated election has prevented this work from being completed at the time agreed by the Council. I expect, if I had been here in the hall, that I paid the proposal my vote, so I would have, at least, done it. Of course, I think this is an important matter. I have expressed myself in the past that it is important to complete the validation of this optional book, which will give you the legal course. A senator did so well here. There's nothing I can say but the fact that I take the sharpening step. A senator who will discuss the matter with the Supreme Court. Minister of Justice who is expected to handle this case according to a plot of action. The will of the Generalis lies in the motion. It is very important for a member of the council to mention it, and it is very important that this will be the proper place for it to be done.
ParlaMint-IS_2019-04-11-94.u24	President. Thank you very much. Prime Minister for a good answer. I'm glad to hear that she agrees with me in these matters. But it's incredibly annoying here at the council to submit a pact proposal that everyone approves of, and then it's actually just thrown into the trash. But since I know that the chest is the best. The prime minister knocks a heart out of fine gold. I want to use this opportunity to encourage it and sharpen it in order to support the synopsis that is held at the council, and it was submitted in September last year under the leadership of the council. paritaprevir Ágúst, son of Ólafur Ágústsson, to establish the United Nations Convention on the rights of disabled people at this spring convention, I'm just going to be so steep. And the valid appendix also shows that we care about this group of people. In Iceland, this social group, disability, and disability in general have endured prejudice, discrimination, mental and physical violence, and neglect. It's time to end. It's long ago that we take it seriously. I believe that the highest. The prime minister agrees with me on this. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2019-04-11-94.u25	Mr. President. Thank you. A senator is far too warm to me. I want to tell him it's not so good, but on the other hand, I agree with him... thank you. [[This is my experience.]] But I agree with what. A senator that this is an important matter, and I am aware that I am working to report to the United Nations on the basis of the assessment of the land's situation. It's important to take care of these matters with force, and I think that not only the one standing here but the whole government will agree on that. I know the suggestion. paritaprevir Similarly, the Ágúst Ólafur, son of Ágústsson, is important for us to consider it at the General Assembly. You see, I think we all agree on that goal. I've recollected it a bit, and I can better remember now in a later answer to a suggestion. A senator who came to the end of the council and then manifests a firm will of the council. It's not good when a number of projects and frequent elections cause this kind of interpretation to fall into a drawer and be forgotten. I don't want that to happen, so I want to take advantage of the opportunity in the end and thank you. A senator for impressing us on the matter, which I believe the Council may agree on. [[The president calls.]]
ParlaMint-IS_2019-04-11-94.u26	Meeting arrangements are made for the discussion and are expected to last for about two hours. Prime Minister has 12 minutes to history and three minutes to the end of the discussion.
ParlaMint-IS_2019-04-11-94.u27	Mr. President. Hv. Congress officials specifically requested, and a normal government report to the agreements signed last week. Also, questions related to reevaluation of financial programmes and changes were addressed to me in terms of collective agreements and in terms of economic prospects in the general population. I'm going to try to cover both in the few minutes I've been dosed. First, I want to say that the government's approach to the signed agreements, and we call biographies, of course, did not fall out of the sky. It did not exist in one day for negotiation. It was my goal and ambition and the government to promote the communication that governments have at any given time with the labour market members. I believe that we can learn much from our neighboring countries in these regions, and it has also been my goal to form these communications in a so - called national economy, which has long been discussed between the government and the labour market, where people sit together with the state and rural society and the Secret Bank, and review the relevant issues to ensure economic stability and social stability. In fact, these matters must always come together in my mind. The government's declaration on these agreements reflects this objective, mainly the result of the total we've had with both the public and the public labour market representatives, the job drivers and the local community in our 16 months regularly in the Ministry. There are some major operations I will now run over. As noted, in a government contract, a tax reduction of 1% in the income taxation system would have to be undertaken during the term. The workforce's members and especially the labor movement have brought up a thorough criticism of the tax system and have suggested that the tax system has developed in recent years because the upper and lower limits in the tax system have not followed the same indicator, i.e. the upper limit of pay date and the lower limit of consumption. Likewise, the labor movement has emphasized the growth of the child - welfare system and other factors. Therefore, as early as New Year's Eve, the boundaries of the income tax system were matched with large - scale child benefits, resulting in an increase of 2,200 rights to them and increases. In our declaration, we now go further, and we contribute tax returns to the three - step tax system of a tax system in the spirit of someone else in the North, with a new low - income step, which means that the tax decline offered in a government contract is most useful to the incomeiers. We also contribute to new tax criteria, which are based on consumer science, plus production, and to some extent, the ideologies are reflected in the collective agreements, which are seen on the economisaries, the percentage gains, and, third, a reference to human economic growth, which are new to human labour agreements in Iceland. The view behind these changes in the tax system is that they are most useful to the incomeiest and to the righteous tax system. Secondly, I'd like to mention the prolongation of your birthworm. This is a huge biographer, and a decision on this was made in a government contract, but its basis is established and my conviction that this is an enormously important operation, e.g. due to the database that the government opened - we think it was earlier this year - the history of income.is, which allows to re-examine the development of measures made from real tax returns and given terms through child damages and housing support. There the development of different groups has been very different, and we need to look at young children, especially single parents. That is why we put on prolongation of orclofs, which goes perfectly with one of the motions shown in the recent report of Kolbeinn Francis Stefánsson, a post collapse of the child's life cycle in Iceland. In fact, this assessment only reaches 2016, but one of its proposed factors, which are a very important procedure to improve the rate of children in Iceland, is an extension of the birthworm and a bridge of the care gap, which is often the most stressful time in young people's lives, adding worry about survival and uncertainty about where a person can put his child in a good place. Likewise, there is an increase in child - rearing, which exactly rhymes with the need to live more fully in the form of low - income younger ones. Housekeeping is the issue that both labor and employment drivers agreed to be one of the biggest issues involved in these collective contracts. People's standard of living is not just their credits in their pockets and the pay layer; it depends, especially on how much people spend in housing. What the government has done in preparation for this declaration is two; it was set up by a special campaign group, which went over the housing market in cooperation with the Ministry of Justice, the Ministry of Economic Affairs, the Social Ministry, with the arrival of fellow rural, employment, and labor movements. Their proposals were presented a number of times and aims to build the social housing system, to increase general apartment planning, to promote rent protection and rights by tenants, such as the social and child - care minister came in earlier, but also to explain more carefully the order of construction, and to make things easier, and to have more in one place than it has been. However, the suggestions for working as a member of the Department of Social Affairs and Homing, which are suggestions for aiding young and less - income people, are available to enter the holding market. So these are two types of action. It is suggested a number of measures, and some of these have been made by the government. Much of the so - called share loans. In effect, we look to the model of our so - called personal loans rather than to the start loans where we are based on a Norwegian role model. Ideas are similar, however, between these loans and are about the ability of young people to borrow at special markets, e.g. through an apartment loan fund, which, in turn, becomes a sharer of the property, and later gets this money back. I'd like to mention, in particular, the pension business that was big and, of course, related to the housing. There are many factors. I'm not going to count them all, but I'd like to mention here that I feel very important that there will be an active conversation between the government and the labour market bodies on the rise in the pensioning age. This is something that we've been discussing at the General Assembly several times since I came in here and was almost approved in 2016 and postponed. I think we need to go into this discussion because at least... I get quite a few things from people who actually want to work longer. I think we need to go to this conversation with the goal that people can do it, but we work out that the retirement is flexible. Then there is the special property that the idea is that people can use for loans. There we put a special incentive to reduce the value of insurance, where we suggest that it can be applied to a head seat more secure than a head count on the off loans of unsecured loans. It has to do with the insurance policy itself, but several measures are proposed by the government's declaration, e.g. Unchecking a 40 - year - assured loan to take progressive steps in winding down the insurance policy. However, it requires counter measures, and that is why we contribute to the share loans, e.g. so that poor people are entitled to loans other than these long - term price insurance loans, which have been their only way into the possession market. I'm going to be dealing with social subsidies at the end of the day because I'm going to discuss the effects on financial programmes. Of course, it is a matter of time and effort. A social and child-friendly minister set up a team with everyone coming in, and the plan is to handle the issues that are not due in a healthy labour market. I am very happy for the great union between labor movements and the network of industry on the need to do something about this. We're already seeing at the council primes related to this package of measures. In particular, I would like to mention the bill of travel, industrial and innovation, of action against social security, child-friendly bill, of improved tenant rights. Then there was a special question about how the collective agreements would affect financial plans. The financial impact of many of the projects that are part of this declaration in financial programmes, e.g. magazines, increasing growth in general apartments and other projects. In fact, it has been criticized that the government has been showing off the cards, but I just have to say, fine associates here at the Council, that I'm gonna blow them off as I think it's about old-fashioned how governments come up with a top hat at the end and pull something out of it. I think we're just going into a different kind of practice, since we're working at the good conversation of this person, where it doesn't matter whether something is kept a secret until the last minute or not. I think it's just over. Now we're going into another kind of class of this conversation, and I think we should just agree on that. However, it is clear that not all actions are included in this program, e.g. in terms of the effects of the commercial taxation changes, which have been expected to be greater than previously, as well as to increase the decline in the child-replacement system. However, costs are available, and it is probably necessary to make the budgetary committee aware before financial planning will meet the costs of these changes. However, I was asked about the impact of a reevaluation program due to the failure of the WOW airline. It is clear that, after bankruptcy, the Ministry of Economic and Economic Affairs has worked on the potential economic impact on public finances. As noted, the first time in the financial program is an abnormal forecast, but there is also the possibility that public funds will not be affected permanently because of the failure of WOW and the failure of a hairy family. This effect will not be available until the national economy has been reviewed in its entirety, although the scope of these changes has been clearly determined. Iceland's Organization has begun and will over the next few weeks review national interest since February. However, in the case of the work in payment of a financial programme, and in view of the changes that have taken place over the last two weeks, it is scheduled to review the Economic Standards Nationalitation Programme, which will be the basis for a reevaluation of financial programmes, sooner or soon at the beginning of May. [[The president calls.]] However, it is quite clear, as we have seen, that part of the budget is expected in the government's declaration of collective agreements, as well as expected by a certain form of cooling due to a reduction in tourists. [[The president calls.]]
ParlaMint-IS_2019-04-11-94.u28	Mr. President. First, I'd like to congratulate the labour market on the collective agreements. I hope there's a successful outcome in the coming contracts. The government merits its contribution to the so - called biographies at about 100 billion dollars. in the target period in November 2022. [[80 billion.]] - 80 billion, says the highest. Prime Minister, but whatever. Much of this money is already in a financial program. Thus, this presentation of the government was kind of virtual, and it was a failure. Thus, these measures have not been directly addressed to these specific agreements. What in this agreement has to be answered is not already part of the financial agenda. What will it do to finance a government fund, and how will it be paid? I'd like to move on to the premises next time. Undeniably, the support of the house - to - house arrangement raises many questions. The cost of this operation is not stated, and the matter has not been discussed in a financial committee. The budget is to contribute its own money to the public's apartment purchases. There will be no payments and ten years of growth. This is an open check from the government, which no one knows the consequences. All the assessments of this operation are missing, and the output is not yet available. Is the idea that the government fund is going to share in the number of apartments? According to a financial programme, all the bills should be costed. It has not been done, and there are no numbers in these subjects. I can't quite figure out the government's financial regime. As it were, financial programs are being challenged, as it were, to which the minister of finance is so pleased. The budget is to be one of the main administrations of the State. How do we plan to land this planned operation on housing? The fact that the state will start making its own money, almost given for ten years, will increase the demand for housing and then raise the price. What about those who cannot access this system? Aren't they being taken away? This will create a problem for those outside, and it is, in fact, disguised taxation. They will have to pay higher shelter prices. Has the Ministry been investigating what price of housing will contribute to this operation? This is a procedure that is directly involved in the market and can easily create a problem. I expect, as a result of contracts being taken care of by everyone in the labour market, that the government then fulfills the promise to correct the interests of older citizens. V.E.G. The prime minister here mentioned only WOW's airline and the failure of a person who set a good edge in the matter of conversation and had many negative effects on the economy. A financial minister was asked that the day that the Society went bankrupt, in Castlight, whether the government had slept on the watch. He said no. However, there is evidence to suggest that a minister's answer is wrong, and the Group of Transport should have set a business limit during the past year that could have placed it in the wind or reduced the current severe impact of the landing. A special discussion was held here at the General Assembly. In the fall of the state of the Icelandic international airlines and the surveillance role of the Grouping Agency. The occasion was particularly worried about the WOW airline business. In my prehistoric speech at the General Assembly, I even traced it. WOW's poor personal position, but last June the financial sum was down to 4.5%, which is very low and shows that the company had little or no money to keep the business going. In addition, the company had not returned annual bills. Under these circumstances, a warning light was to be triggered by the Rapporteur, a U.S.A., who was not to sit by. Airship is systematicly important, as we know in our economy. During the conference at the General Assembly, I asked the secretary of transportation specifically whether the airlines had been tested for stress. The minister did not answer the question, so it is likely that it was not. It also attracts attention, the huge collection of debt that has taken place with Istavia and the society in terms of landing costs of 2 billion. Mr. President. I don't think the government has kept itself under observation of the WOW Society and there would have been a way of preventing at least These severe landings, which have now had far - reaching effects. The middle class will continue in this discussion as follows, and I expect it to be perfunctory.
