ParlaMint-NO_2012-03-27.ana.ud780e80	The representative of Trine Skei Grande will put forward two proposals for representatives.
ParlaMint-NO_2012-03-27.ana.ud780e229	First, I want to promote the proposals of the Progress Party – which I forgot to make during my post. Then I would like to remind the Council of State that the Progress Party will not abandon the Council of Culture. You want to restructure it. Why do you want to do that? Well, that's because you want to improve the conditions around the country. We believe that the municipalities have the competence – which I understand the Council of State is skeptical – to take care of these cultural resources. Especially when we also get feedback that the municipal libraries haven't enjoyed these cultural promises we've had in recent years. The cultural schools have not enjoyed this – the queues are increasing there as well – nor have the talents around the municipalities. Then I understand the concern of the representative from Finnmark when you hear that the Council of State says it's easier to get support if you're from the trombones. It's funny, when half of the cultural committee comes from Trondelag. I hope it doesn't have any connection. Will the Council of State look at the composition of the Council of Culture — where appropriate, consider KS there as a possible partner in order to promote municipalities?
ParlaMint-NO_2012-03-27.ana.ud780e240	The President records that the representative Ib Thomsen has addressed the proposals to which he referred.
ParlaMint-NO_2012-03-27.ana.ud780e244	I don't want KS to be represented in the Cultural Council. We work with them in other ways. A great many of the allocations made by the Council of Culture have just been made through an agreement between the municipality and the county council and the Norwegian Cultural Council. So I'm concerned that there should be people with broad artistic competence, from all over the country, who represent different parts of Norwegian art and cultural life.
ParlaMint-NO_2012-03-27.ana.ud780e249	As the new Council of Culture has chosen to organise, the ten members, who are mostly artists, take part in the respective selections – i.e. the selection of their arts – and are directly involved in the award process. The government gives quite clear signals about which non-artistic themes you want to attend to. It's about diversity, it's about children and young people, it's about equality. I'm not quite sure if 1814 has moved to the Cultural Council, as it has moved to the institutions, but it may be. If you take those leaders seriously, it's now that this is directly implemented in the allocation process. Doesn't the Council of State see that there are quite clear leads in cultural life's appropriations?
ParlaMint-NO_2012-03-27.ana.ud780e256	There's going to be some funny criticism, this, because on the one hand, I'm criticised that there's not enough geographical distribution of cultural resources, and on the other hand, I'm now criticised by the representative Olemic Thommessen that there are too many criteria. It's a little difficult to maintain this criticism and balance it. But I think it is a responsibility for the Cultural Council to contribute to the geographical distribution of cultural resources. There's a lot of records where we have that in mind. After all, it's an independent cultural council that's supposed to make decisions based on independent artistic discretion. But that they have a responsibility: Yes! It is spreading culture across the country and that there are tour activities in the areas that the market does not cover, which are their responsibility. I think that's very important, an important part of spreading cultural resources. It's also about reaching out to people who don't usually go to the cultural institutions. It's important to me.
ParlaMint-NO_2012-03-27.ana.ud780e261	So now it wasn't the geography I asked about. There are probably several ways to distribute power and resources across the country. What I was addressing now is about the issue of arm's length and the criticism that the Right has presented to the Government in many contexts, both in terms of the governance we believe it is by the cultural institutions, and therefore, by this crossroad, the governance we believe to be introduced into the Council of Culture, and implemented through today's structure down to the individual application procedure. These include clear leadership from the government in terms of diversity, child and youth investment and gender equality — to mention three key areas. Taking them seriously means setting a very clear framework for the types of projects to be supported. I repeat the question: does the Council of State not see that this is really a rather strong governance of cultural life?
ParlaMint-NO_2012-03-27.ana.ud780e268	On the contrary: there is less governance of the Cultural Council's allocations now than it was when the Right was in government. At the time, the government made more decisions about who would receive direct support. It is more today decentralised to the Council of Culture. It means less political treatment, less political intervention in whom to get money. What I think is a little bit strange about this criticism is that geographical distribution is a perfectly legitimate goal. But to say that it's also going to reach the minority population, I get the understanding of it here is over-management and contrary to artistic discretion. I believe it is about the same discussion, namely that artistic talent can be found in the whole population, that one has to make one's own artistic decisions. But reaching out is a central goal for our art institutions. It is not a goal for art – it should be free and independent – but our institutions should aim to achieve and disseminate quality.
ParlaMint-NO_2012-03-27.ana.ud780e275	The cord shift is over. Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2012-03-27.ana.ud780e291	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-03-27.ana.ud780e300	The Committee has had a proposal for a representative – document 8:28 – on the preservation of the National Gallery’s Munch Hall for consideration. The National Gallery is an important historical building, and it has great symbolic value. Many people have a close relationship with this building. The building, from 1882, has been our leading exhibition site for Norwegian art through the ages. There is broad consensus within the Committee on the historical importance of the building. The Committee also agrees that it is an important national and state task to contribute to the management of Munch's art in such a way that art taxes are preserved for the future. It is a great responsibility for the State to ensure that Munch's art is preserved and made available to the public in a worthy and good manner. There's no disagreement here. The proposal for a representative deals with the conservation of the building's Munch hall. A short time ago, the construction of the Riksantikvaren was restored. This ensures the original architecture of the building. It is also worth taking care of as an example of Heinrich Ernst Schirmer's and Adolf Schirmer's art and is one of their works that is truly worth protecting and caring for in the future. The Committee interprets the proposal for a representative to the effect that the proposers now want to be at peace with the art that hangs on the walls of the Munch Hall. So if I get it right, the proposers will use the Peace Institute to intervene and control how a museum will make exhibitions, and in which premises the exhibition will be presented. Such cultural policy is not supported by the majority of the Committee. The majority of the Committee therefore proposes that the proposal be rejected. There should be a broad recognition that in Norway we have not sufficiently recognised and understood the range of Munch's art internationally. It's not an argument for peaceing one particular arena for the presentation of Munch's art. It should rather inspire us to facilitate the further development of the exhibition of Munch's art and facilitate the future development of the arena for this. The Committee considers it an important national and state task to contribute to the good management of Munch's art and to make it available to the public in a good and dignified manner. That's one of our central tasks. The majority of the Committee considers that the proposal of the Progress Party is not a good contribution in this way, and proposes – as I said – that the proposal be rejected.
ParlaMint-NO_2012-03-27.ana.ud780e313	As the rapporteur has pointed out, the third time we are dealing with this matter is in a relatively short period of time. The majority of the Committee notes that the proponents of the Progress Party still believe that an essential chapter of Norwegian cultural history will be deleted if the Munch paintings are moved out of their historical context. The same majority believe that the cultural historical significance of Munch paintings is not determined by whether they are located in the National Gallery or in other localities. It is appropriate to recall that these art taxes are an essential part of our art history to be managed and maintained independently of the fate of the National Gallery. We believe it is an important national and state task to contribute to the management of Munch's art in such a way that these unique art taxes are preserved in the future. It is therefore the responsibility of the State to ensure that Munch's art is preserved and made available to the public in a dignified and correct manner. As the representative, Håbrek, said in his post: we all agree that is right. However, we, who represent the majority in this matter, believe that this can be done in ways other than those mentioned in the proposal for a representative. There is no disagreement in this Chamber that the National Gallery is an important monumental building of high symbolic value. The current preservation ensures the original architecture of the building. We, who make up the majority, interpret the proposal as meaning that the proposers now want to peace also the art that hangs on the walls of the Munch Hall in the National Gallery. In other words, as the representative, Håbrek, we perceive that the representatives will use the Peace Institute to intervene and control how a museum will make exhibitions, and in which premises the exhibitions will be presented. Such a procedure is on a collision course with an important and fundamental principle that a museum should at all times have full professional freedom to choose themes and exhibition solutions, provided that the exhibition solutions do not present a danger to the safety of the works of art. So far there's nothing to suggest it, rather on the contrary. The National Museum is planning a new Munch hall in the new building on the West Railway. There, Munch's artworks will get better security and exhibition conditions than they've ever had. We all look forward to that day.
ParlaMint-NO_2012-03-27.ana.ud780e332	The National Gallery was recently protected by the Riksantikvaren. Peace includes the National Gallery of the University Street and the building's interior and exterior. The interior of the building, i.e. space sharing, building parts and surfaces in those parts of the interior that are originally built from the year of construction are now secured – we think that is positive. There is also the Munch Hall an important element. The rescue of the exterior of the building shall ensure its original architecture. In particular, the peace should facilitate further exhibition purposes in the building, and that is very good, especially when we have not received any feedback from the government about what the post-use of the gallery should be when moving to the West Railway. That is why this is very, very good. The National Gallery is an important monumental building of great symbolic value. The restoration that has now been made ensures the original architecture of the building and that it will continue to be exhibited there in the future – it will be fully established. I also believe that peaceing the art that hangs on the walls of the Munch Hall is important to get a whole. That is why we have promoted this proposal. The National Gallery is one of our national monuments. The purpose of the peace of the Munch Hall is to preserve several central works of our foremost artists. This must be a national responsibility – it says pretty much everybody, I hear no one saying anything else. We see that the Municipality of Oslo does not have the great competence to take care of Munch's works. It is claimed that the proposal of the Progress Party is on a collision course with the principle of professional freedom. However, I would like to point out that this principle is fully respected, all the time the establishment of the hall was just done with the exhibition of Munch's works as the purpose and in cooperation with Munch. When the Christian People's Party and the Workers' Party can stand up here and say what they say, that the professional freedom is not there, they have misunderstood, or they have no knowledge of it. The hall itself is linked to the images, it is closely linked – and should be peaced. The building is central to the architecture of Oslo — within the framework of kidney sensitisation in Norway — as well as being a central Norwegian museum building linked to research and dissemination of visual art. It has so much history. The National Gallery is the Riksantikvaren’s first settlement in the 2012 anniversary year, when the directorate is 100 years old. The objective of preserving the National Gallery is both cultural and architectural historical, and is therefore very well justified, which is why there is a lack of focus on the I. According to the Riksantikvaren, the National Gallery is an important building of great symbolic value, which I have been in several times, and as most in this room have said. But little is done, there are few signs of what the future will show for the National Gallery. The National Gallery jumps out of the national currents that we had in the 1800s, and has been central to the development of Norwegian art and culture. The national gallery houses the country's largest public collections of paintings, drawings and sculptures per day, a particularly good collection of Norwegian national romantic painting and not least Edvard Munch's pictures. Many people are just visiting the National Gallery today just to experience the hall and to experience Munch's photos. Only 6-7 pst. art has been exhibited in public, and it is also regrettable that you cannot get it out of the magazines. Since the establishment of the National Museum, there have been plans to expand on and at Tullinløkka. For a long time, the government has made it clear that a new national museum will be set up at the West Railway in Oslo and include the National Gallery, the Art Industry Museum and the Museum of Contemporary Art. The debate on this matter has shown that there is a great deal of commitment to the national museum and its content. I don't think we're done there, because I understand that Focus at the NRK tonight is going to send 1 hour on how this has become, that you are now moving from the National Gallery, don't want to peace the Munch Hall and don't take responsibility for our history. Then I want to promote the proposal that the Progress Party has in the vote.
ParlaMint-NO_2012-03-27.ana.ud780e364	The representative Ib Thomsen has taken up the proposal he referred to.
ParlaMint-NO_2012-03-27.ana.ud780e367	The National Gallery’s Munch Hall is managed by the National Museum, a heavy art institution. The building we're talking about has been reviewed by the Riksantikvaren in relation to the question of peace and is basically peace. In this context, there is also reason to believe that the question of the preservation of the Munch Hall has been assessed, and that, at the intersection of the administration of the National Museum with the intervention of the Riksantikvar, it has not been wanted and not seen to be necessary – or appropriate – on the basis of professional criteria to make a peace of this particular space. So these are heavy professional institutions in relevant areas in relation to the object we're talking about. On a general basis, I would like to say that this room should be very careful to become professionals when it comes to making the kind of decisions that a rescue involves. In particular, perhaps this should be taken into account when there are so strong professional environments involved in this specific resolution that the proposers want to promote. So, from the Right, we think that this is basically not a matter for the Storting, and that there is no consideration in this context of any kind of immediate action or of the authorities involved in this issue. Another question is how we as a nation preserve Edvard Munch's art and memory. It's a bigger discussion. I noticed that the proposer from the Progress Party believed that the Municipality of Oslo lacks competence in this. I will allow myself to mention that I think that the Progress Party has contributed significantly to the confusion and difficulty of the theme of the dissemination of Edvard Munch, without me going into the depths of this. I would also say that the discussion about next year's marking of Edvard Munch, as far as the government's bets are concerned, should also be a theme. The funds earmarked for this marking are probably not more than they should be compared to Edvard Munch's international weight. But these are bigger and different questions than what this case is about, and I therefore choose not to go further on those themes of this crossroads. But so: In short, the Right's position is that this kind of question does not belong in the Storting, especially in the light of the heavy professional bodies that manage the hall we're talking about, and taking into account that the Riksantikvar as the responsible authority for matters of settlement has been involved.
ParlaMint-NO_2012-03-27.ana.ud780e380	Discussing what the Ministry of Culture is going to do and what to keep away from decisions in the field of culture is a discussion we often have with the Advance Party, where the party takes very different positions. Yesterday I experienced being called both one and the other because I wanted to control the Cup final coming on a free channel, while representatives of the Advance Party have asked me to intervene and secure the Hinkle pin on children's television. Some of the same confusion arises in the discussion here today, when, in the first debate, we are accused of taking too much action in relation to the Council of Culture's allocations, and now we get the exact opposite – now you want to go directly into and control what the National Museum is going to hang on the walls. I have full confidence in the National Museum in this area, and I also have full confidence in the professional competence of the Riksantikvaren in this field. I also get a little confused when the National Museum is criticized for just showing 6 pst. of the art they have in their magazines. But if we're going to sit in this room and make decisions about what to hang on the walls of the individual art museum, there won't be much professional freedom to decide what to show where, and then you get little replacement in the exhibitions. I would also like to stress that what was said about the Municipality of Oslo does not lead to correctness. The municipality of Oslo has relatively good magazines at the Munch Museum in Tøen. You can discuss whether the viewing arenas are good enough, but it's like the museums at Tøjen, which take care of Munch's art there, are significantly better than the magazines we have at the National Gallery, which takes care of Norwegian artists there – just so it's said in this room. I note with satisfaction that the majority of the Committees are so unambiguous and have stressed that it is fundamentally unfortunate that today's exhibition of Munch works in the National Museum should be ordered to be frozen. Munch's greatness as an artist is in no way dependent on one particular point of view. I want to show you the success that the Munch exhibition has recently had in the Pompidou Centre in Paris. The exhibition room was very different from what we have in the National Gallery, and Munch's artistic greatness could nevertheless be shown to a large audience. Munch’s work will definitely also come to its place in the newly built Western runway, and then under security and conservation conditions that are much better than what today’s premises can provide. The Riksantikvaret has now protected the National Gallery as a building. This ensures that the national gallery is maintained as a building-historical memorial. At the same time, some flexibility is provided, in the sense that the building can be upgraded and rehabilitated in such a way that it is possible to have different forms of public activity there when the National Museum moves out of its activities. We also note that the Municipality of Oslo is conducting an investigation, in which the National Gallery is to be assessed as an alternative to the new Munch Museum. The municipality must make an independent assessment of this issue. Should the municipality conclude that the National Gallery is the best option for a new Munch museum, a possible municipal project will be assessed against other proposals for the use of the National Gallery. Finally, I would like to say a few words about the National Museum of the Western Railway Area. The pilot project shall be completed during these days and then subjected to external quality assurance. State buildings have submitted proposals for a regulatory plan for treatment in the municipality of Oslo, and I assume that a proposal on a binding cost framework for new buildings will be submitted to Stortinget for the autumn. As the project now emerges, the National Museum of the West Bank will be an arena for the visual art expressions, which internationally put Norway on the map of important and exciting art museums. We are going to create an arena here in Oslo as art-interested in the whole country – and in many other countries – should be able to enjoy.
ParlaMint-NO_2012-03-27.ana.ud780e399	It's going to be line change.
