ParlaMint-NO_2012-02-15.ana.ud2287e26	The representative Per Arne Olsen will put forward two proposals for representatives.
ParlaMint-NO_2012-02-15.ana.ud2287e137	What one experiences in the Norwegian healthcare system is that when a hospital or department opens, the equipment is top modern, brand new. Then a department operates for many years, and eventually the equipment gets worn out, expired on date, and there is a great danger of e.g. it breaks down during operations, that it leads to a breakdown and longer waiting times. This is a mountain-and-dalway attitude to medical devices that compromise patient safety, leading to longer waiting times and to waste of resources. This week we had a live broadcast on TV 2 that gasroscopy equipment broke down and broke down during the operation. That is what it took for those who work in that department to finally get through to get money for new equipment. At Oslo University Hospital, there are 700 different IT systems. When will the government put away its private allergy and open up so that Norwegian hospitals can also cooperate with private suppliers to ensure a uniform standard and even cost... [[President clubs]]
ParlaMint-NO_2012-02-15.ana.ud2287e147	As we have seen, there are many examples of varying quality of equipment in Norwegian hospitals. There are examples of equipment that is top modern and very good, and then there is a lot of equipment that is definitely that good, and then there are examples of equipment that is too bad. So that's why we're increasing investment in hospitals, giving more money, and investing billions every year, and more than ever before. But the main goal of success in hospitals is the quality of treatment. Then the goal is to make people healthy in Norwegian hospitals. So we're doing it to a greater extent than before, we're doing it to a greater extent than other countries, and there are 1.3 million more treatments and investigations in Norwegian hospitals now than in 2005. Thus, I have not said that everything is good, but I have said that it is progress because we spend more time in hospitals. We're going to continue this bet, and then we want to achieve even better results than we can do today.
ParlaMint-NO_2012-02-15.ana.ud2287e154	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2012-02-15.ana.ud2287e157	We hear that there is a major lack of medically satisfactory equipment. But the most alarming thing about Oslo University Hospital is that there is a full stop in the development of ICT solutions after the purchased system was cancelled last year. As we heard, they're now operating with 700 different computer systems, and they don't have a common journal system. It is serious when they have been a health business for three years. According to employees, Oslo University Hospital is now back at the same level of ICT functions as it was before the merger started three years ago. My question is: how can the Prime Minister and the Government continue the conversion of Oslo University Hospital at the same pace as planned, when one of the key prerequisites for good patient safety, namely an up-to-date and compatible ICT system, is not established?
ParlaMint-NO_2012-02-15.ana.ud2287e164	Firstly, getting a better and more coherent ICT system in hospitals – and here the government fully agrees with the opposition on the Stortinget – is important and crucial in order to improve the quality of healthcare. That is why the work is under way. There are own programmes, their own follow-up projects, to get a more comprehensive ICT system in the Norwegian health system. It has been going on for a while – a great and extensive work needs to be done. In the case of Oslo University Hospital, there's also work there. The problem was that what you had started turned out to be not working, and then you started a new project. Health South-East will continue the reorganisation of Oslo University Hospital, but all the time in a way that ensures patient safety. If examples and supervisory reports show that there is a rapid progress now, it will, of course, be taken into account in its implementation. But that we're going to carry out that reorganisation, I'm sure, because it helps to promote health and better quality.
ParlaMint-NO_2012-02-15.ana.ud2287e171	Let's go to the next main question.
ParlaMint-NO_2012-02-15.ana.ud2287e174	If you look at the international newscasts every day, there's a good reason at the moment to be happy that we live in Norway. The situation in several countries with challenges in terms of budgetary constraints and high youth unemployment means that we should be humble considering how good we are in Norway. Nevertheless, every week the Nordics experience uncertainty about their jobs. It is enterprises that warn deflagration and closure in Norway. More people report more difficult competitive conditions. This means that we should never rest on the question of how to improve and secure Norwegian jobs. The Norwegian economy is on the way not only to being divided by two, but probably by three: the public sector and the oil-related sector are doing well, but the competitive private sector is struggling significantly. My question to the Prime Minister is: What does he intend to do to ensure the competitiveness of the part of Norwegian business that competes and experiences the greatest challenges? Last week, Norsk Industrie presented a report showing that in several areas Norwegian competitiveness has deteriorated. Some things politicians don't control, some things we control, for example. what we spend money on through the state budget. The Norwegian Industry report shows that for the second consecutive year there is zero growth in the appropriations for research. In addition, it shows that nutrient research has decreased. It shows that there has been an increase in the taxation of enterprises and owners in Norway. In the past, from the national budget, we know that productivity developments in Norway have been, and still are, lower than those needed to keep the welfare society of Norway funded in the future. What is the Prime Minister's strategy?
ParlaMint-NO_2012-02-15.ana.ud2287e185	Firstly, I think it is very important that we discuss what we can do to secure the Norwegian economy. Secondly, the most dangerous thing we do in our country is to think that the oil will always save us. Oil revenues are an advantage to have in the Norwegian economy, but they are no guarantee of success. We had oil revenues in the 1990s – yet we had financial crisis, banking crisis, debt crisis and high unemployment. There was a run-in to one of the same things at the beginning of the 2000s. Then we had oil money, but also a sharp decline in Norwegian industry and growing unemployment. So one thing that matters is that oil money gives us opportunities, but they have to be well managed if we are to avoid having problems – unemployment and reduced value creation – in the private sector. The second is that the government has many measures that we – and will implement – to secure private, competitive Norwegian businesses. Item No 1 is to keep track of the basics of the Norwegian economy, such as the use of oil and interest rate and exchange rate. Item No 2 is the bet on transportation. Transport investment is increasing by up to 10 billion. kr per year – much higher than what has been done in the past – and it starts to produce results. Item No 3 is investing in innovation and research – and this has increased by several billion dollars since 2005. Item No 4 is simplification: many governments have talked about simplification, this government has implemented significant simplification measures for business, including: the removal of the audit obligation and lower requirements for public limited liability companies. Item No 5 is what I would call more targeted action against specific industries – the yard package, which came a few years ago, and what has now come with GIEK, with a new government and safer export financing system, or what is being done, for example. facilitating the development of Norwegian oil and gas activities. These are examples of nutrient-oriented measures that are important for Norwegian enterprises.
ParlaMint-NO_2012-02-15.ana.ud2287e202	I appreciate the Prime Minister's analysis. We agree with a lot of these things, not least the concern that the non-oil-related part of Norwegian business can now be at risk of being decommissioned and moved out. This will weaken welfare funding in Norway in the years to come. However, it is a bit striking – one week after Norsk Industrie has provided documentation with the state’s own figures – to hear the Prime Minister say that a lot of research has been done, so when one states that this is the second year in a row with zero growth in research appropriations, that there are fewer appropriations for nutrient research, and that companies in Norway pay increased taxes through changes in property tax systems, repatriation, charging and not least a very business-friendly wealth tax. Then my question is back to the Prime Minister: is it a good strategy to increase taxes and weaken research to make sure that competitive business actually goes better in the future?
ParlaMint-NO_2012-02-15.ana.ud2287e209	This government is pursuing a business-friendly policy. We have increased research, and we have created a more predictable and tidy tax system. Since we took over, over 207 000 new jobs have been created in private enterprises in Norway — in the four years of the previous government, 26 000 were created. So we're talking about a quantum difference in how much growth it's been in private business. There has been a significantly higher growth in private enterprises in Norway, in private business in Norway, under this government compared to the previous one. So I'm not saying that we can't do things better. We're always going to try to make things even better and step up our efforts, but to hear from Solberg's representative that this government is hostile to business, so when we have seven-eight times stronger growth in private employment now than under the previous government, is – with respect to reporting – a little strange.
ParlaMint-NO_2012-02-15.ana.ud2287e216	Three follow-up questions are raised – first Jan Tore Sanner.
ParlaMint-NO_2012-02-15.ana.ud2287e219	It is not surprising that many jobs were created in the period 2004–08, when there was strong growth in the world economy. What we have seen after the financial crisis, on the other hand, is that Norway has lost jobs in the private sector, while there have been very many new jobs in the public sector. In countries such as Sweden and Germany, more jobs are now being created in private enterprises. The report to Norsk Industrie shows that companies need a government that provides companies with wind and not headwinds. The Prime Minister says he's open to do things better. He should also respond to the two very specific challenges he received from the representative Erna Solberg. It's about taxes, and it's about research and development. There is evidence that there has been zero growth in research and development appropriations. Granting research and development is perhaps one of the most important things we can do for businesses in the future. Secondly, it has been demonstrated that the taxes on enterprises have increased. Will the Prime Minister do better? Is he open to turn around in research, and in fiscal policy?
ParlaMint-NO_2012-02-15.ana.ud2287e227	First to the discussion of the number of persons employed. It is true that when the financial crisis hit the world economy, including the Norwegian economy, there was a decline in the number of persons employed in private enterprises. Now let's see another growth. There is no doubt, then, that there are many more private businesses that start, are entrepreneurs and that succeed in creating private, profitable businesses in Norway – under this government as under the previous one. I'm not saying that it's just because we have such an excellent government, I'm just saying that it's funny to hear representatives of the previous government say that we have a corporate hostile policy – when we have a growth in private employment that is about. seven times as strong as it was under the previous one. That's my only point in terms of numbers. In the case of taxes, it's true that we have made changes in the tax system. The total tax burden has continued, but we have made conversions that have made the tax system fairer. It's just in the period we've had a formidable growth. There are many countries in Europe that do not have taxes on wealth, but they have two or three times as high unemployment as we do. So it's not like removing the property tax, it's going to be less unemployment and more value creation. Norway is proof that it is entirely possible to have high value creation and property taxes.
ParlaMint-NO_2012-02-15.ana.ud2287e236	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2012-02-15.ana.ud2287e239	I think many of the countries to which the Prime Minister refers would say that had a hat oil, had a higher value creation. Here, there's a significant difference. This question is raised because neither does the opposition believe that we can live on oil alone in the future, but we are concerned because we see some statistics that the Prime Minister does not refer to. Before the government took over, there was an average growth in GDP at real prices of 42 billion. kr per year. After it took over, there's been a growth of 16 billion. kr per year. The productivity growth was 2.2 pst. Annually until it took over — and has been at minus 1.44 pst. after it took over. It's not just useful to boast that more people work, when they're obviously less productive than they were before. We are concerned about the power-processing industry, the competitive industry. In view of all the challenges we have, in the light of the opportunities we have with our entire oil wealth, will the government present an industry message, so that we can discuss this in a slightly wider perspective and with a little longer speaking time?
ParlaMint-NO_2012-02-15.ana.ud2287e248	The main goal of success in economic policy is whether we succeed in having people at work, having low unemployment. We have the highest employment ever, and we have the lowest unemployment rate in Europe. We also have good growth, both in the total economy and in the mainland economy. I am in all my speeches and lectures concerned with stressing that it does not mean that the sky is discrete. The fact that things have gone well in recent years is not a guarantee that things will go well in the next few years. It's true that the oil has been important, but there's two things to say about it. One is that the oil – as the representative himself stresses – is not a guarantee that things will go well in the future. The second is that the oil doesn't come entirely by itself. A few years ago, I stood in this hall and was criticized for this government not being able to facilitate oil and gas operations. Now we've done it, and then it's almost like we're not going to count on our success in the oil and gas industries, which are an important industry, and which depend on good policy frameworks. If we are to present our own industry message, the government has not discussed it. In this case, it is not an industrial notification, it is in the case of a business report, because the industry of the future is much more than just industry, it is travel and much more.
ParlaMint-NO_2012-02-15.ana.ud2287e257	Rigmor Andersen Eide – for follow-up questions.
ParlaMint-NO_2012-02-15.ana.ud2287e260	In order for Norwegian industry to be competitive in the international market, research and development are crucial. Since 2001, research and development towards industry has been a major effort, but now it has stopped. There has been no real growth in the research programme in the last two years. I do not understand the Prime Minister's statement that research and development is a field of concern for this government. There are queues of good, qualified applications for several of the nutrition programs in the Research Council, but the money is missing. My question to the Prime Minister is: Is the Prime Minister aware that the industry is being harmed by the government's lack of commitment to research?
ParlaMint-NO_2012-02-15.ana.ud2287e265	Firstly, we have stepped up research efforts. That's 30 pst. more — higher, larger — research appropriations now than in 2005, and much has also been spent on business research. Secondly, when we talk about publicly funded research, we often talk about research that takes many years, which gives results far ahead of time. That's good, because we have to think forward in time. But it is not that research appropriations have to be thought of in recent years that can explain the problems that the industry is facing today. It's about things near our time, about, for example, the financial crisis. It is clear that the financial crisis also affects Norwegian industry, it is clear that when we sell half of what we do here in the country, to other countries and things go badly in those countries, it also affects Norwegian businesses. What is important is that when some businesses have to be closed down, for example. because they lose markets because they go badly there, new businesses are being replaced. That's what we've been given, since the unemployment rate is still low.
ParlaMint-NO_2012-02-15.ana.ud2287e274	Let's go to the next main question.
ParlaMint-NO_2012-02-15.ana.ud2287e277	I want to ask the Prime Minister a question of an important principle. For 34 years, we have had a well-established practice that has certain rights of reservation in matters of conscience. Now it's about referring to abortion for firmness. Abortion is a controversial issue across the world, but I think all of us are certain that it is also characterised as a matter of conscience, and it is too many people. In the 1970s, we had a strong debate on this matter in Norway, a matter that split the people, but one that agreed that one established a practice of securing the right of reservation for professionals that was the framework of this. We are also some of them – of course – that patients have to get an adequate supply, regardless of the booking scheme they have. But we also want to have a society that is open, which is voice, which is tolerant. There are values that the Prime Minister has highlighted in a forward direction in the last year. So now we have a system that guarantees the right to have a job in line with the over-interpretation. Patients' dishes are taken care of. Then it is with a little wonder that we see that the government has sent out a circular that makes it impossible to continue this practice. My question to the Prime Minister is: So now we have a regulation that's out for consultation. Here you can facilitate, through that regulation, the continuation of a very good practice. Will the Prime Minister take the initiative?
ParlaMint-NO_2012-02-15.ana.ud2287e290	Firstly, I agree that this is an important question. It's about principles, and it's about some difficult dilemmas and balances. Then I'm always busy listening and trying to find solutions. On the one hand, it is a matter of respecting the fact that different doctors may have different private views and assessments, such as: in the case of abortion and contraception. On the other hand, it is about ensuring a good offer for all patients and that there should be no arbitrary discrimination between different people depending on the firmness they have. There have been some questions about how the legislation is to be understood. Therefore, the Ministry of Health has found it appropriate to clarify what the Ministry of Health considers to be the law in force, namely that decision-makers have not had access to since the introduction of the fixed reform in 2001, for approx. 10 years ago, to reserve the right to refer – we are talking about referring a patient to a hospital for example. to have an abortion operation or to print out the pill/prevention. It is assessed that there has not been such access in the past. There is also no such access today, and it is made clear in that regulation. Here you have a dilemma between patients' needs and the doctor's private vision. Examples have been identified, including: in smaller places, that there has been a problem that decision-makers have refused to print pills for young girls. Our assessment is that this is a confirmation of the current law, not a change in the current law in relation to the responsibility of the decision-makers, and a clarification of the responsibility they have to let patients' needs go first and be what determines this difficult dilemma.
ParlaMint-NO_2012-02-15.ana.ud2287e301	I thank you for the answer, but I probably had bigger expectations. I applied for “Jens Stoltenberg” and “diversity” and got 598,000 hits. That might not be an error every time. When the government says that the answer for Lager is to find a new job, I thought it was a crossroads of established practice that has been here. That this practice has been here, there is no doubt about it, because that must be the basis for the government to choose to go out and say something else in its circular. So that practice has been that a long time has been possible to make reservations, is quite clear. I think this is a question: do we really want the league to have the same meaning on this question? And should we say that those determined who disagree on this question should not be fixed any longer, when we know that the system works so well?
ParlaMint-NO_2012-02-15.ana.ud2287e309	I want diversity. I respect that this is a dilemma. Sometimes in life and in politics, different considerations have to be selected, and we have been concerned that patients' needs and patients' rights have to weigh more heavily when we weigh it against doctors' private opinions and attitudes to the use of pills. We don't think that this is something new. Our professional assessment is that this has been the legislation, but it has not been practiced according to the legislation everywhere. When we then get questions and there is confusion about what is the correct interpretation of the law, almost the government has to make it clear, and that is what has now happened. Our assessment is that it was previously not possible for a permanent practitioner, for example. in a little place where there's only one regular, to say to a young girl who wants pills: no, I don't want to print out pills for you. It's simply important that patients' rights come first.
ParlaMint-NO_2012-02-15.ana.ud2287e316	It will be a follow-up question – from the representative of Laila Davøy.
ParlaMint-NO_2012-02-15.ana.ud2287e319	It is true that no rules have been laid down, but there has been a practice in understanding between the Health Directorate, the Medical Board and the Ministry of Health and Welfare. There have been a few cases that you think have not been handled well enough, which means that you have gone to the step of making circulars and guidelines. That is the reality. And it's about referrals, among other things. for abortion. Article 18 of the UN Declaration of Human Rights acts, inter alia: the right to refuse to act against their ethical or religious convictions. This right is also enshrined in two resolutions adopted by the Council of Europe in 2010 and 2011. In these documents, the basic tone is a great respect for the conscience of health professionals. Is it not the concern of the Prime Minister that the government is putting up with a practice that violates both the Council of Europe's recommendation and human rights? Then I would like to clarify before the Prime Minister answers: patients should have their rights implemented under Norwegian law. We all agree on that.
ParlaMint-NO_2012-02-15.ana.ud2287e328	Let me just underline again: I understand that this is a dilemma. I understand that this can be a difficult choice, and of course I also accept that some doctors are so strong opponents of contraception that they won't print the pill. I accept that they mean – that is their position and their position. The dilemma of politicians is whether we should accept that when, for example. in a place where there is one regular who you have a trusting relationship with, comes and asks for prevention, and the doctor says, "You don't get that from me." Then there may be a problem for that patient. Then the situation is that the prescription, which has been there for many years, does not allow doctors, access, to reserve themselves against, for example. to print out the pill. Our assessment is that we are not now introducing a new regulation, but that we are just interpreting and clarifying what has been the regulation back to 2002 – I guess that's when it came. This has been a dilemma all along, and it has not been previously available under the regulations to reserve itself against prevention.
ParlaMint-NO_2012-02-15.ana.ud2287e335	Let's go to the next main question.
ParlaMint-NO_2012-02-15.ana.ud2287e338	Two days ago, the Statistical Central Agency presented the calculation of greenhouse gas emissions in Norway in 2010. This shows that we've released 50.9 million. tonnes of CO2 equivalent in 2010. That's 4.7 pst. higher than the previous year. The Prime Minister has often boasted that in Norway we are able to cut economic growth free from the growth of CO2. It is right from 1990 to 2010, but in 2010 the growth of climate emissions has been even greater than the growth of production. Industrial emissions have increased by a total of 6 pst. That's not good enough. Norway really needs a climate policy. We need to bring down the emissions. We need a message where we can jointly agree on what action to take to address the whole climate challenge. In the election campaign, the Environment Minister promised me in a debate in Dagsnytt 18 that the climate announcement would come by February at the latest. Now we're talking about June 2012. The state budget states that it will come in 2012. So my question to the Prime Minister is really quite simple: can the Prime Minister now promise me that this message will come in June 2012?
ParlaMint-NO_2012-02-15.ana.ud2287e355	That notification was notified in June 2012, and we do not intend to notify any other time. But I never guarantee, and that is why I do not guarantee that time either. That is what has been announced The Stortinget in its own document on matters to be promoted for the Stortinget. But then to the matter itself: in Norway and fortunately also in a good number of other countries there is a fantastic technological development that makes that while before you experienced that if there were 2 pst. growth in the national product was usually at least 2 pst. greenhouse gas emissions. That's the relationship we've solved to break. Since 1990, the value creation in Norway has grown, I think, 60-70 pst. We produce about 60-70 pst. more goods and services than we did in 1990, while emissions have been quite stable. It's gone a little bit down a few years and a little bit up second years, but it's above 50 million. tonnes, where it has been largely in all years since 1990. While we have had a strong growth in production, we have had a stable trend in emissions. Thus, the relationship between emissions and growth is broken. Now what we have to do is break it down even more, so that we can have growth, but still reduce emissions. That is the objective of the climate agreement, and that is the aim of the measures we are taking. I'm sure we'll get there too, because we've come a long way already. Then it's important to realize that it's not like we're waiting for the climate announcement to implement climate action. The climate agreement was an agreement on both objectives and instruments. Railway investments have increased by around 70 pst. Green certificates, which will promote the strong production of renewable energy, came on 1 January this year. The taxes on cars have been changed, so that we have had a significant reduction in emissions from new cars, and we have adopted new building regulations that have greatly reduced energy use in new buildings, and the base tax on fuel oil has increased. So overall, many measures have been taken.
ParlaMint-NO_2012-02-15.ana.ud2287e366	Some of the problem is that the figures work against the Prime Minister's arguments. Today we show that we do not meet the targets for car emissions, we also show that 2010 is a step in the wrong direction in terms of the relationship between production and emissions. Today’s Evening Post refers to a study that says that climate change is less and less important to young people. I think I know why. This is because Norwegian politicians are high in rhetoric, but small in instruments. There's a lot of talk about how important this is, but today's young people get very few answers. We tell young people that this is very important, but that we can just buy ourselves away from it -- we can probably get away from it, so it's not that important. My question to the Prime Minister is: does not the Prime Minister share my great concern that if we are to cope with this great change, we must have youth on our side, we must have Norwegian citizens on our side? They have to realize that it's important, and they have to realize that it's possible.
ParlaMint-NO_2012-02-15.ana.ud2287e375	Yes, I fully agree with that. Therefore, it is important that we implement measures at home, which are close to people. What we're doing, for example. in case of increased pollution charges, what we do by setting new requirements in building regulations for environmentally friendly buildings, or what we do with 70 pst. Increases in railway investment are things that are close to people, and of which we need more. In addition, we need a strong deployment of renewable energy. I strongly warn against mentioning what we're doing out there, like just buying ourselves free, if there's anything negative charged in it. What we do to stop the deforestation of rainforests is perhaps the most important contribution to getting big cuts and to bringing emerging economies, countries like Indonesia and Brazil, into an agreement. The work to stop deforestation is one of the most important things we do, and one should not speak negatively about it. Taking part in the EU ETS is the most powerful instrument both Norway and the EU have implemented to reduce emissions. It contributes to reductions of millions of tonnes. It's a market-based tool that I think is very good both for technology and cut.
ParlaMint-NO_2012-02-15.ana.ud2287e382	Four follow-up questions are raised – first Borghild Tenden.
ParlaMint-NO_2012-02-15.ana.ud2287e385	As the NRC reported earlier today, greenhouse gas emissions from road traffic are too high compared to the agreement in the climate agreement. Road GHG emissions have increased by 30 pst. from 1990 to 2010. The left has today proposed keeping a free roof on zero-emission cars unchanged until there are 100 000 electric and hydrogen cars in Norway. This is the same as the Social Democratic Government in Denmark has proposed, as the Prime Minister is well aware. My question to the Prime Minister is: Will the Prime Minister do as his social-democratic friends in Denmark?
ParlaMint-NO_2012-02-15.ana.ud2287e395	I do not know the details of the proposal from the Left, nor the details of what has been done in Denmark, but I am in favour of having a charging system that promotes environmentally friendly cars. That is why we have also increased heavy charges on cars that emit a lot of CO2. So the price difference in terms of cars that are environmentally friendly has increased. That is good, and this has led to new cars now releasing almost 25 pst. less CO2 than they did before. It's good progress, even if it's not good enough. I'm also a fan of that, for example. continue to have zero taxes on electric cars and promote them. Where there has been some discussion, there has been about biofuels. Some of the discussion concerns whether there are zero emissions related to biofuels. I suppose the Climate Directorate has also said that you can count on 35 pst. reduction of emissions. At least that is the requirement established in the EU. It's not zero, but it's better than gasoline.
ParlaMint-NO_2012-02-15.ana.ud2287e408	Per-Willy Amundsen – for follow-up questions.
ParlaMint-NO_2012-02-15.ana.ud2287e411	The world has changed dramatically since the adoption of the climate agreement in Stortinget, where the Progress Party did not participate, fortunately, not least the economic situation. It has not been possible to agree on an international agreement that binds the large emitters. It may not be entirely coincidental that representatives of the Prime Minister's own party have particularly warned against two thirds of the domestic population, which is in the climate agreement. That's probably why we've still had a postponement of the climate communication, which is quite understandable. This is precisely because two thirds of Norwegian emissions will put Norwegian industry, in particular Norwegian industry and Norwegian jobs at risk. Therefore, Stortingen has to deal with this again. Will the Prime Minister take the initiative for a new climate settlement in Stortinget, where Norwegian industry interests and Norwegian jobs are just put into the fore?
ParlaMint-NO_2012-02-15.ana.ud2287e420	I believe it is fully possible to combine an active climate policy that develops new technologies and develops environmentally friendly jobs, and to ensure Norwegian enterprises and Norwegian value creation. I believe this government over recent years has shown that this is possible. We have implemented significant measures to contribute to reducing emissions, more environmentally friendly technologies and at the same time have had a good growth in Norwegian business. When the announcement comes to Stortinget, it is up to Stortingen to deal with it, and then I believe the Stortinget must discuss how it should be handled here. I think we first have to finish the message, and then we'll have to discuss in Stortinget how that message is to be handled here. But it is fully possible to ensure both work and the environment. We have to secure both of them, because if we set it up against each other, I'm sure the environment is going to lose in length. Otherwise, I largely share the concern that we do not have an international climate agreement. The Kyoto Agreement included 50 pst. of world emissions. What we now agreed on in Durban was to renegotiate an agreement involving 15 pst. of world emissions. We must have more countries on the agreement if we are to have effective reductions.
