ParlaMint-NO_2012-10-01.ana.ud1639e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2012-10-01.ana.ud1639e310	Marit Nybakk has been proposed to the Third Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2012-10-01.ana.ud1639e318	The President then asks for proposals from the Fourth Vice-President of the United Kingdom.
ParlaMint-NO_2012-10-01.ana.ud1639e323	I suggest Akhtar Chaudhry.
ParlaMint-NO_2012-10-01.ana.ud1639e331	Akhtar Chaudhry has been proposed to the Fourth Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2012-10-01.ana.ud1639e340	The President then asks for proposals from the Fifth Vice-President of Stortinget.
ParlaMint-NO_2012-10-01.ana.ud1639e345	I am delighted to propose Dagfinn Høybråten.
ParlaMint-NO_2012-10-01.ana.ud1639e353	Dagfinn Højbråten has been proposed to the Fifth Vice President of Stortingen. Other proposals are not available.
ParlaMint-NO_2012-10-01.ana.ud1639e361	The Secretary and the Secretary of State of the Grand Duchy shall then be chosen. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2012-10-01.ana.ud1639e367	I suggest Tor-Arne Stroem.
ParlaMint-NO_2012-10-01.ana.ud1639e374	Tor-Arne Stroem has been proposed to the Secretary of the Storting. Other proposals are not available.
ParlaMint-NO_2012-10-01.ana.ud1639e383	The President then asks for a proposal from the Secretary of State.
ParlaMint-NO_2012-10-01.ana.ud1639e389	I suggest Karin S. Woldseth.
ParlaMint-NO_2012-10-01.ana.ud1639e396	Karin S. Woldseth was proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2012-10-01.ana.ud1639e404	Thus Norway's 157th biging is legally constituted. The President proposes that notification of this be sent to His Majesty the King through the head of the government, so that he may obtain the King's decree on the time of the opening of the Great. – It shall be deemed to have been adopted. The time will be published later. The President requests that, after the Grand Duchy has been declared to be open, and after the census and the report of the state of the kingdom has been delivered, give the customary wish to the King and the country of origin – and consider this authority to be granted. The President further requests the permission of the Storting to appoint a deputation of seven representatives to receive His Majesty the King at the opening of the Storting. This authorisation is also deemed to be granted. As a deputation, representatives of Svein Harberg, leader, Kjell Ingolf Ropstad, Åse Michaelsen, Kari Henriksen, Dagrun Eriksen, Henning Skumsvoll and Alf Egil Holmelid are appointed. On the occasion of the solemn opening of the Storting, Oslo Bishop has invited Stortinget’s representatives to the service in Oslo Cathedral on Monday, October 1, today, at 4 p.m. 17. Does anyone want a word before the meeting is cancelled? - The meeting's been cancelled.
