ParlaMint-NO_2012-05-24.ana.ud1972e55	The representative, Henning Skumsvoll, will put forward a proposal for a representative.
ParlaMint-NO_2012-05-24.ana.ud1972e354	It's going to be access to line change.
ParlaMint-NO_2012-05-24.ana.ud1972e357	I am glad that the Council of State is also concerned about the development of the lack of trust that we find in the police. What I really asked for the word to get a little clarification on is related to ICT investment. The challenge of ICT investment is that they take a long time, they are very expensive, and they provide no immediate reduction in crime. In the long term, however, this could have a major impact on how to combat crime, not least when you can connect the various registers for investigation purposes. So far, the Ministry of Justice has not taken the enquiries that the former police director has at least told us that she has taken to the Department, in sufficient seriousness, with the result that there has been a withdrawal of money from the police districts to finance a pre-project on the ICT side. It is a strategy that I have understood that this Minister of Justice still has. Can the Minister of Justice tell us whether she will in the future try to make a new investment in ICT betting in the police, so that we do not take that money from the police departments?
ParlaMint-NO_2012-05-24.ana.ud1972e368	I will come back to the budgetary issues related to ICT investment – that is why I also highlighted in my contribution the increased focus we now have on strategic planning of ICT investment. We have to make sure that we do this the right way. It requires major economic outreach, and it can be of great importance over time for the fight against crime in Norway. The Directorate of Police has therefore also invested in increased competence. There are now several people working with a complete ICT bet. We also plan to ensure this quality and will return to the implementation plan as well. This will be something that will have to go over a longer period of time, and where we ensure that this also works best with other parts of the justice sector. This is something I think we all look forward to coming back to.
ParlaMint-NO_2012-05-24.ana.ud1972e374	With the concern expressed by all the speakers in this debate about not least respect for the police's work in the field of profit crime, I might have expected a slightly more offensive Council of State. I would like to ask her in particular about a problem such as this. The representative, Lundtegen, was here. The survey shows that there is a large difference in the percentage of clearance between police districts, and it is not possible to say that this is due to resource differences. Why hasn't anything done with it before? Why not use the right of management and instruction of the Department and the Directorate to transfer experiences from one district to another — districts that have set up special groups and use specific methods to pursue both the local and the frontierless profit criminals? Why isn't this done? The Council of State can no longer have the fixed answer, that this is a resource issue to which it comes back in the budget. You can't answer that. So I'm asking you something else.
ParlaMint-NO_2012-05-24.ana.ud1972e379	I used a large part of my contribution to talk about improved working methods, both methods to be implemented in the districts, and new methods to ensure better cooperation between the districts. I have initiated a meeting with the relevant sections of the police, the Police Directorate, before the summer to ensure that we get ahead of this work. Then we will do more in-depth work on the reform of results that we are now undergoing. There is a message for Stortinget during the year. I am absolutely sure that we will have to work systematically well over time to build both new skills and new methods, build a new culture, a learning-oriented culture, in the police to ensure that we get an ever-increasing improvement in our efforts against crime.
ParlaMint-NO_2012-05-24.ana.ud1972e384	I also noticed that part of the article, about a meeting before the summer holidays with the relevant directorates, etc., but then the expression was used that it was important to hear ‘status’. But we know that, this report from the Riksrevision gives the status in many ways. What we are all dissatisfied with, however, is a lack of results and that some districts are so good, while others are simply miserable. We even asked in the meeting with the National Audit Office whether it was especially urban districts, central districts, that did well. It wasn't. There was no pattern in this, neither resources nor geography was crucial, as the representative Lundtegen also said. Then I wonder: why don't you just order that something be done where the police chief doesn't do it? It can not only be a training or resource issue, but simply a question of willingness to use new and other methods. Maybe you think a little bit too old-fashioned.
ParlaMint-NO_2012-05-24.ana.ud1972e389	The aim is that these new forms of work, new forms of cooperation as well, will be implemented during the year. The implementation responsibility lies in the department under the direction of the Police Directorate, and I think it is important to get a status in the middle of the year to ensure that there is – in good Norwegian – an ‘on track’ in relation to the plans made for this to be implemented during the year. If this is not the case, of course, it is also necessary to discuss what measures need to be taken to further ensure that this will be implemented.
ParlaMint-NO_2012-05-24.ana.ud1972e394	So the line change is over.
ParlaMint-NO_2012-05-24.ana.ud1972e397	The Party and Signatories have a significant commitment and an ardent interest in justice policy. Today, we have a case to deal with that which shows in practice how in Norway profit-criminalisation is deprioritised. The report of the Riksrevision shows, among other things: That only 13 pst. of the home invasions are resolved and that the percentage of the clearance of the winning crimes in general was less than 17 p.p.p. The study also shows that those who have been in contact with the police after having been exposed to profit crime have a less positive view of the police than others. So low prioritisation and clearance of profit crime go directly beyond the confidence of the police. This has been pointed out by several speakers in the debate. You have to ask yourself, is it not soon that this field gets an increased focus? It is about good organisation, and it is about ability and willingness to prioritize. It is important to work specifically to prevent the criminality of profits. In a situation of continuing economic turmoil and increasing unemployment in Europe, it is likely that more EU country profit-criminals will come to Norway and seek happiness here. When the chance of being taken is as low as it is now, you can see it as almost risk-free with the potential for very high returns. We can't have it that way. Action needs to be taken, and urgent action needs to be taken. There are several measures that can be put in place that will be effective. The rapporteur referred to prevention, improvement of the information collection process, repetition follow-up and dedicated investigation teams. In addition, we need to have a clear focus on management and cross-police cooperation, as the representative Anders Anundsen also pointed out. More money and more policemen can, of course, be one of the solutions, but more efficient working methods and increased focus are also very important. When the control committee has cases to deal with, there is almost a tradition that the government council is telling us that yes, this report from the National Audit Office is about things back in time, and now everything is going so much better. In the introduction to the State Council of the Ministry of Justice, she also said that it now looks so much better. I'm not so sure. It is quite correct that there was a better development in 2011, but is this a random variation? Last night we were able to read news that the number of burglaries again is increasing, after the fall in 2011. There were 6,398 burglaries in Norwegian dwellings in the first three months of the year. This is an increase of 16 pst. in relation to the same period last year, according to statistics of the FNO Joint Financial Industry Organisation. The number of burglaries in the first three months of the year has not been higher since 2004. So there's every reason to ask questions about evolution. Communications Director Leif Osland of the FNO says in an article on the FNO website: ‘From these figures, there is reason to fear that the development we saw in 2011 was only a short-term decline.’ The article points out that the high level of Norwegian wealth is tempting for organised criminals from Eastern Europe. The thieves are largely travelling and spend time spying before they hit. Many of the thieves are efficient and fast, both by breaking in and by leaving the dwelling again. More valuable items are also stolen than before. ‘People have become far more comfortable over time to secure their homes with good locks and alarms. There are, however, entirely different challenges to be faced now than in the past with more professional burglaries.’ This is what Osland says in the FNO on this website. One way to go is, of course, to look at the punishment level. I don't think the proposal I read about in the paper yesterday, that you cut down on giving criminal discounts to foreign criminals, is the way to go. We already have a prison system that foreign criminals look at as holiday colonies and hotels, and we have a very low level of punishment. To go this way I think I'm wrong.
ParlaMint-NO_2012-05-24.ana.ud1972e422	Several have not asked for the floor on case No. 2nd@item: inlistbox
ParlaMint-NO_2012-05-24.ana.ud1972e436	I have to say that the starting point for this case is something special, because it is a register that we call INFOFLYT, which aims to exchange information between the police and the criminal services on particularly dangerous prisoners. Today it is approx. 50 persons registered in the register, while there have been approximately 190 persons. The starting point for such registers is that they shall have a concession from the Data Protection Authority, unless there is a separate legal basis for registration. The register shall not be subject to a concession and shall be governed by law. The Ministry of Justice has stated Section 2 of the Criminal Enforcement Act as the basis for this register. The Data Protection Authority has assessed the legality of the registrations as dubious, and the Ombudsman considers that it is alarming that, despite this, personal data will continue to be processed with the same procedural instructions. It was also found that it took three years from the time the Data Protection Authority raised the matter, until the letter was answered, and four years before a sample was set up to assess the basis of the database of INFOFLYT. The investigation section of the survey has also concluded that the basis for the register is unclear. Of course, it is totally unacceptable that enquiries from the Data Protection Agency to the criminal services with such critical content as what we are talking about here are not handled properly. The starting point is that a register which has neither a licence nor a licence is illegal and is therefore not to be used. It would of course be a relatively dramatic step, because the register we're talking about is itself a rather important register. And no one wants the use of this register to be stopped. It has also been suggested that the Storting may have already adopted a legal basis for the register, but that the amendment of the law has not entered into force, and that there has therefore been no type of permit other than the criminal enforcement law § 2 which may be the basis. So the Storting's intention has never been to stop this register, but it has been to ensure sufficient legal support. In reply to the Committee, the Minister of Justice has assured us that she will take care of this issue during this spring. The Committee has therefore proposed that the Storting should ask the Government as soon as possible to ensure that the basis for INFOFLYT is put in order. This must be done without further delay, in order to ensure that the use of the register must not be stopped. In the end, I want to point out – and I will do so on my own account – that it is worrying that the government starts registration with knowledge and will on such a register with such an unclear basis as is the case here. I myself am inclined to say that it appears quite clear that Section 2 of the Penal Code cannot be used as a basis for this registration, which in case will mean that the State operates an illegal registration. It's not acceptable. I stress that the last opinion is at my expense, not at the Committee's expense.
ParlaMint-NO_2012-05-24.ana.ud1972e453	There has been a pressing need for formalised cooperation on information between the police and criminal services. It also struck the case spokesman in a very good way. It is important for all of us to have a tool to prevent, prevent and fight crime. The INFOFLYT system, which was set up in 2005, would be a system for the mutual exchange of information between the criminal services and the police/complaint authority. The system would include, inter alia: provide a better basis for the security assessment of custody prisons and convictions. The information that is being recorded, if committed as an asset, will constitute a special risk of escape, the risk of outside estimates to assist in escape, hostage-taking and the risk of new and particularly serious crime. It also applies to insertions with special protection needs and insertions that may belong to organised criminal networks. No one disagrees that this is an important work. But criminals also have the right to privacy, and when it comes to such a type of registration and transmission of information, it is important that it is provided through a legal secret. The system was established on the basis of the purpose decision in Section 2 of the Criminal Enforcement Act on the prevention of crime, and the Criminal Service has believed that this decision gave legal protection to the system. It's not so weird because it says: ‘The penalty shall be implemented in a manner that takes account of the purpose of the penalty, which discourages new criminal offences, which safeguard society and, within those frameworks, ensure satisfactory conditions for prisoners.’;» In a well-functioning state of law, privacy and the prevention of crime are two very important pillars. Therefore, it is good to see that the Council takes seriously the Civil Ombudsman's criticism. It is in everyone's interest to have a well-functioning and secure system, and both police and criminal services want a safe and operational structure. The INFO-FLYT selection, which is set up in these days, was given a broad and important mandate to assess, among other things. the basis of confidentiality. While the work has been done, a used home in Section 2 has been used as a basis for INFOFLYT, which should also be done until any changes occur. There is a joint committee that says that we don't want to stop the use of the registry pending a home. That is why I would also like to stress that there is a joint committee that expects the foundations to be put in order and that the ministry will give very high priority to this work.
ParlaMint-NO_2012-05-24.ana.ud1972e469	Initially, I would like to refer to my presentation to the Committee in a letter of 6 December 2011 in response to the questions raised by the Supervisory and Constitutional Committee regarding INFOFLYT in a letter of 29 November 2011. First, I would like to stress that I take seriously the criticism that the Civil Ombudsman has raised against aspects of the INFOFLYT system. I have also noticed that there are questions about whether the criminal service has sufficient legal support for the system. As I wrote in my letter last year, the department has so far assumed that the purpose of Section 2 of the Penal Code to combat crime has been an adequate legal basis for INFOFLYT. In the light of the criticisms raised, inter alia: from the Civil Ombudsman, I see that the basis of the house can be made clearer. But, as I mentioned earlier, the department has not found that the criticism is sufficient to stop the use of the INFOFLYT system. However, the issues raised have provided the basis for a comprehensive review of all aspects of the system. This is why the sample that has been subjected to INFOFLYT was mandated to assess the basis for INFOFLYT, including whether the new legal provisions of the Penal Code § 4(c) and 4(d) are sufficient as well as the basis for the exchange of information between the police and the criminal services. I have just received the INFOFLYT committee's investigation, and I will briefly explain the selection proposal. First, I would like to mention the four main questions that the sample was asked to consider: After the mandate, the sample was to monitor and assess how the exchange of information between the police and the criminal services is currently taking place. In particular, with regard to the basis of reference for INFOFLYT, the sample should assess whether the new legal rules on the processing of personal data in general provided by the Penal Code §4(c) and 4(d) provide a sufficiently clear basis for the exchange of information with the police. The committee was also asked to propose rules for the processing, exchange and use of information in INFOFLYT, while at the same time drawing up draft laws and regulations that are consistent with the corresponding rules in the new Police Register Act. I can inform you that a unanimous sample believes that the new legal provisions of the Penal Code Chapter 1a are not a sufficiently clear basis of reference for INFOFLYT and that the scheme should be enshrined in its own legal provisions. It can also be mentioned that the sample has produced draft regulations and proposes new administrative procedures for criminal services to help ensure the consistent processing of personal data in INFOFLYT. The committee also emphasises the particular importance of ensuring the privacy of INFOFLYT, because measures that may interfere with the implementation of the criminal offence can be taken. The committee therefore proposes clear rules on what individual prisoners are entitled to have access to. With regard to the proposals for the regulation of INFOFLYT, I would like to emphasise in particular that the sample is concerned that criminal justice is given a clear basis to prevent, prevent and combat crime. In addition, it is proposed to provide information in INFOFLYT to the police for crime-fighting purposes. The committee also suggests that the police records law on the processing of personal data should apply in order to protect the data subject’s rights when processing personal data in INFOFLYT. I believe that the committee's proposals will provide an important and good basis for further work on getting a well-functioning system that ensures the exchange of quality assurance information, with the aim of strengthening the security of both society and individuals at risk from criminal backgrounds. At the same time, the interests of privacy and legal certainty must be properly respected. I am committed to continuing the work on establishing a clearer basis for INFOFLYT. So I want to make sure that this task is given high priority by the ministry. The INFO-FLYT Committee's investigation will be consulted now before the summer, with the aim of launching legislative work during the autumn. Finally, I can inform you that the Department is preparing a regulation for the Criminal Enforcement Act Chapter 1a, so that we can also implement the new rules on the processing of personal data in criminal matters in general as soon as possible. As I have explained earlier, this work is closely linked to the work of preparing the regulation of the police register law, which I hope we will finish during the autumn.
ParlaMint-NO_2012-05-24.ana.ud1972e501	I think the first thing I'm going to do is give honor to the committee for doing a good and not least necessary job. Perhaps the most eye-catching thing in this case is that the two previous Ministers of Justice have not seen themselves earned or have at least chosen not to address this matter, which is so important in principle in terms of data protection limitations. In this way, I think it is good and good to hear that the two representatives of the Committee who have been involved have been very clear on that very point. Luckily, I record that the Minister of Justice, too, now clearly sees the shortcomings that others have pointed out, are things you have to do with. For my part, I want to challenge the Minister of Justice in two situations that I hope she will take with me in the further work on INFOFLYT. That INFO FLYT has come to stay and is necessary and good in certain contexts, there is no doubt about it. But nevertheless, as the representative Christensen said in the past, there are also criminal claims for privacy. What is important to me is to challenge the Minister of Justice to ensure full respect for the EMK and the privacy that is being clarified. Everything else will somehow go beyond what we want to achieve, cleanness and a structure on the one that is defendable from all sides – not just from the state against the criminals, but it is also that even criminals in Norway have rights. In addition, there is another delimitation that I think is important to point out, and it is: What about information that is provided through the INFOFLYT system relating to third parties? Here I also hope that the Minister of Justice will bring with him a concern and ensure that it is also defined. I would like to believe that visitors or others who are involved in the 50–190 people to whom it has been referred have a wish that what you are talking about does not automatically come to the attention of others. So a limit to third parties, I think, is very important, and I also hope that the Council of State will take it with it. Then it's one moment that you haven't been in. Although the basis of the law is now being discussed, it may simply be that if a case is brought before a court, the court can conclude that the basis of the law is not good enough and refuses access to the use of information obtained. At least it will be clear that the legislator and the department have not done a good enough job. Although Stortinget in most cases is doing a job that keeps legal, it is also true that Stortinget has received some clear feedback, not least from the Supreme Court, on some legal issues. I mention e.g. The law of Santa Claus, in which a majority of the Stortinges committed themselves, I think, quite clearly raised the eyebrow from the Supreme Court, because it was thought that one had done one too bad job in this hall. It must be a goal for all of us to make sure that there are as few things as possible. That is why I think it is good that the Council of State now refers from the sample that has been reduced, which clearly points out is missing, and that she now intends to do something about it. It's with respect to report in time.
ParlaMint-NO_2012-05-24.ana.ud1972e517	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2012-05-24.ana.ud1972e531	This report covers many companies. Nine extended checks have been carried out. There is some criticism of some departments. None of the state councils involved are present in the Chamber, so I hope that there is good publicity in bureaucracy and in political management, because it is important that what is of criticism is followed up. If I'm going to give a general opinion about the findings, they give the impression that there's still a lot to think about that the control of the companies under various departments is professional and consistent and long-term enough. That's a varying degree of control. The national audit divides its criticism into a weak follow-up to sectoral policy objectives, that ownership is not sufficiently adapted to the characteristics of the companies, and that there is a weak return in several companies which nevertheless have commercial objectives. There are partly parallel criticisms here. I can take as an example the criticism of the NSB that they have created – and are constantly establishing – Netbus routes, which nevertheless do not affect the proportion of public transport and at the top of it all also do not meet NSB’s profitability requirements. Then why do you do that? There is reason to ask questions to the Minister for Transport. However, the Governing Board's approval is evident and there is no consistency between the objectives set by the Storting and the objectives pursued by the Company. There is also a criticism of the lack of profitability associated with Mesta. After several years the company has now changed, and now it is time for the company to show profitability. It has been said by the Council of State in the hearing that he will follow up. It is a formulation that is constantly repeated in Stortinget, without us always being able to record that it is being followed up the following year. But in relation to Mesta, there is an overall committee that expresses considerable impatience. In the case of State Power, it has also been expressed — and at the same time it was included in the consultation — that State Power has an objective of benefiting the company's significant revenues, i.e. being channelled through the State budget, and that it should be a significant machine of money. It has been criticised that Statkraft has invested in new activities in other countries and in forms of production other than hydropower. It is well and good if it had given a dividend that was in proportion to the dividends otherwise in the company. It does not, and it is also a criticism from the National Audit Office supported by the Committee. There's at all an overall committee position that's handed over, just with a little one's, which I'm going to come back to. In one area, however, I would like to dwell on the Committee's unanimous remarks: The Committee says that the Council of State opinion is that Statoil takes its social responsibility seriously, and that the Council of State – in the hearing – felt that the company in this area is among the leading actors in its industry. At the hearing, the Council of State said: «A voluntary international standard is reported. This standard does not require reporting on all indicators [[...]] In addition, the Council of State said: ‘Our assessment is that Statoil performs well on its social responsibility [[...]] The Committee delivered its opinion on this exchange of views at the hearing by saying that: ‘The Committee cannot see that there is consistency between the ambitions of ownership notification and the attitude of the Council of State.’ It's a relatively undisguised criticism. If the Council of State feels affected, or if Statoil is affected, I will leave it uncommented in that context. But at least it is politically a criticism that is directed against the Council of State. It's one of those, and it's a theme that's not included in the National Audit Office's report, because it happened afterwards, and it's quite natural. This was the conflict between the Minister of Industry and Telenor, who in turn led to the resignation of the Chairman of the Board in Telenor. It was Telenor's ownership of the A-press and therefore indirectly their influence on the possibility that TV 2 was sold to a Danish company. In other words, the right of pre-emption – which had been there for many years – was used. This was an intervention by the Council of State, as the majority of the committee – representing the minority in the Storting, i.e. the opposition parties – says the following about: They say that it is important that governance takes place in a long-term and predictable way and does not take place on deposits from the owner. A Joint Committee states that Telenor shall be governed by principles clearly defined in the notification of ownership, on a commercial basis, and that its head office and central research and development activities remain in Norway. The Committee says: ‘The Committee stresses that the Ministry’s ownership must be exercised within these limits.’ So far a unanimous attitude. It is my opinion that the intervention of the Council of State in this specific case occurred without coverage in the ownership notification. It has never been stated that a telecommunications company in Norway, through its ownership of another company, must indirectly ensure that the right of pre-emption entered into its agreements does not apply and that the company must ensure that cultural institutions – in this case a television channel – remain in Norwegian ownership. This was not – as far as I recall – an important topic when the ownership message was discussed in Stortinget – not just that, it was not a topic at all. But the Council of State has taken it for granted that Stortinget believes what he himself believes in this matter. I have thus left behind the criticism, which the majority of the committee also mentions in its position, that communication between the company's board of directors and the state council should be done in perhaps other ways than by SMS messages and telephone calls, after decisions have been taken in the company, and after the decisions were taken in reality. It leaves me, since the Council of State has taken some sort of self-criticism in this regard, that the forms of communication can be better, more predictable and more long-term. It's worth following up. I repeat: the Ownership Notice does not provide that Telenor has specific tasks in Norwegian television or other cultural policy.
ParlaMint-NO_2012-05-24.ana.ud1972e579	Thank you to the President-in-Office for a thorough work. Just a few comments on some themes from my page. – In Document 3:2 the National Audit Board has reviewed the country’s ownership policy and initially states that ownership is to be exercised within the limits resulting from the division of responsibilities between the board and the owners of the companies. The National Audit Office stresses that, within these frameworks, active ownership is a key prerequisite for government ownership policy. As the rapporteur said, the Court of Auditors’ audit has included nine extended audits. Part of the National Audit Office’s document is to have an active ownership policy within the framework adopted by the Stortinget. I would like to point out that, in the hearing of the Committee, the Trond Giske State Council stressed that, within the framework of the distribution between the company and the owner, there is both room and practice for broad contact. I would like to stress the importance of active use by the State that owns the necessary instruments for ownership management, follow-up and control. I would also like to refer to what the Council of State said in the hearing about being an active dialogue partner. Another issue — which concerns another Council of State — concerns issues related to, among others: the petroleum sector. It may be said that caution should be exercised, with a view to setting a fixed long-term dividend management, measured in cents per share, in the type of industry such as. Statoil's operating inside. There are many other important indicators, including: because the oil price varies. Perhaps an international company in the energy sector — or other demanding sectors at international level — should be managed differently. Maybe we need other ways to make sure that companies like Statoil are doing well and doing the job in a good and proper way. I can also address another site that is particularly relevant to companies, such as Statoil and other large Norwegian groups operating abroad. The National Audit Office has put the search light on the social responsibility of the companies. The size covered in the previous period is a growing message of social responsibility and ethical driving rules for establishments abroad. For me, it is important that when e.g. Statoil enters countries such as Iran and Nigeria — there are other more nearby examples, for example: Azerbaijan – the company must address human rights violations or corruption. I am pleased that the Council of State, Ola Borten Moe, underlined in the Committee's consultation that the strategies adopted are well anchored in the political environment. At the same time, the Committee shares the Riksrevision's view that Statoil does not report fully in several key areas of social responsibility. The Committee considers it appropriate to clarify that this is serious. Let me add that the Stortinget has argued that social responsibility is about what companies do on a voluntary basis – in addition to complying with laws and regulations and insofar as international standards are also involved. Here some countries will be more difficult than others. We should perhaps occasionally, even on a political basis, ask ourselves whether there are countries in which our large groups should not be established, and if they do, what kind of conditions they should in that case have to violate human rights and other similar gross abuses that we see in some countries. Iran is a very good example. Let me also point out that there are four to five countries outside the OECD where Statoil has not developed social responsibility plans. It is important that the Ministry of Oil and Energy follows this closely. This is a document that deals with several themes, and then it can easily get a bit jumpy. However, the document also mentions the growth of wages in health businesses. I also stress this from the Parliamentary Chair because the Minister for Health is in the Chamber. The Committee is alarming that for the period 2003-2010, the increase in the remuneration of health business managers was stronger than for employees in general. For my part, I would say that it is actually unacceptable. So it's not just alarming, it's unacceptable. We've had this up before. We have dealt with it in the past, and I would like to refer to the previous debates that the Committee on Control and Constitutional Affairs has had in this Chamber, including consultation on the remuneration of directors in public companies and companies partly owned by the State. We did say that at the time, but it almost looks as if governments for public companies – or, for that matter, corporations – see wage increases for leaders as something that happens within their own sphere, completely independent of the wage developments of the rest of society. When we are in the middle of various wage settlements, it may be good to remember that leadership wages are also something that needs to be considered in relation to wage developments in general in society. It must not be perceived as happening within a small group of people who believe that this has nothing to do with the rest of society. Finally, on a number of points, the Committee agrees with the comments. I would like to refer to the rapporteur's statement on the Telenor/TV 2 case. It is right, as the representative Foss said, that the Labour Party, the Socialist Left Party and the Central Party believe – that is not just what we believe, it is a fact – that this is a matter that Document 3:2 does not mention or deal with. Otherwise, the matter was well explained at the hearing on 9 March, where it was taken up by the opposition and answered by the Council of State Trond Giske. Elsewhere, the Socialist Left Party and the Centre have their own comment on the Third Postal Directive. It has to be taken into account, so that we can steer postal policy independently of future EU directives. Nor do the Labour Party and the other parties in the Committee – i.e. the majority of the Committee – consider this to be part of the Committee's position.
ParlaMint-NO_2012-05-24.ana.ud1972e607	I would first like to thank the President-in-Office for a very good piece of work, and I will join him fully and completely to his posts. However, when I take the floor, it is to talk a little bit more about what the representative Nybakk told me that the government parties do not think this matter is about, namely Telenor's sale of TV 2. Since this happened in 2012, it is true that the case is not mentioned by the National Audit Office’s 2010 report on the company control. However, I am sure that the Riksrevision will come back to this matter when they will deliver company control for 2011. But it also shows some sort of weakness in this form of control, because there is so much distance between the controlled year and our treatment in the Stortinget. When I still think it is necessary to say some words about this, it is because it was expected from some teams that we should do much more of the matter in this treatment than we have done. That is why I think it is good to remember that the Minister of Economic Affairs and Trade was in Stortingen and made a specific statement on this matter, and the majority of the House did not want the matter to be dealt with further in any committee. That is what we have been dealing with. There are, however, a few factors that have to be pointed out, which are of a slightly more general nature and which have also become applicable in this case. Firstly, communication – or ownership management – is quite untraditional in form. SMSes are sent that are obviously case-relevant. They have to be recorded. The requirement for record-keeping is that the records should be kept continuously, so they should be kept up-to-date. That's kind of the point. In this case, it took 10 days for the text message to be sent and for record keeping, which is in conflict with the legislation. So this might look like a trifle. But it probably represents a major challenge, because there is a lot of evidence that these text messages were never meant to be recorded. There is an overall opposition that is quite crammed in its criticism of the Council of State's handling of this matter. I would therefore like to take the opportunity to say that it is necessary – including for the National Audit Office when carrying out these types of checks and other types of checks – to examine whether the Ministry has an actual system of record-keeping of all case-relevant documentation, including SMSes. We have also seen other issues in which the Control and Constitutional Committee has been involved, that the reporting of SMSes is quite deficient – even though they are highly case-related, as in this context. I would also like to take the opportunity to say that it is a prerequisite for the state to act neatly and in the long term in its communication with companies. In my opinion, this has not been done in a reassuring way in this case, nor is it a good signal from the state that it owns to use its power of ownership in retrospect to expel directors who do not respond to the requests made by the state councils by SMS. The State must be a professional owner, not a political owner, where the contributions of a Council of State are to be decisive for the future of a Chairperson. This was a kind of heart attack, and in order to spare the government parties for the great despair, I will at the same time recognize that it is at best in the border country for what this matter actually holds.
ParlaMint-NO_2012-05-24.ana.ud1972e622	We're not going to get rid of heart sugar, so it was interesting that it came. For SV's part, we are very pleased that state councils are operating with active ownership, and we really want more of it – we really want too much of it when it comes to something of it, at least when it comes to oil sand projects and things like that. But that's it. Active state councils relative to active ownership, we want them from the SV page. So we're very few in what Nybakk takes up, kneading up for rent in health care companies. The peasants protest because they don't get what they're supposed to have – naturally – and it's already strikes. So it's a group that's kind of out of the system, and it can just increase its pay almost as much as it suits them. We have to tighten this up, and I believe that the Council of State has started on, but it's at least important to us that we are clear on that from the Parliament's Chair. And I also very much agree with the problem that Nybakk is expressing in relation to our company's foreign business. In my eight years in the Energy and Environment Committee and on trips in Nigeria, Azerbaijan, Mexico, Cuba – almost anywhere – I have seen that many countries are very difficult to drive in, and it is hard to keep their path clean. This is why it is particularly important to follow-up companies and to ensure that they take on their social responsibility, not least by helping different workers to form trade unions – which have been important for Norwegian prosperity, namely that we have strong trade unions that have in a way been with and developed the welfare state. Then Nybakk was also in a comment from the Center Party and SV. At least it's surprising that a person doesn't want to comment on this when you're busy with the Post's profitability – that's what you're rewriting in the plural comment, that the Post is important, and that you need to increase your pay, etc. In fact, it is a directive that reduces wages, and one should not be involved in pointing out the problematic relationship that one has with ESA and the EFTA Court, because one has now received a judgment that causes the Post to lose income, i.e. to be less profitable, a judgment that currently costs more than 80 million. kr, which could enter a surplus. Furthermore, it is the case that Schenker has notified a case because of this relationship with the Post Office, and that there may again be a legal case in which we as owners have to pay large sums to a private/public company, because one has not complied with the EEA Agreement. That's why we think it's a good idea to problematize this in this setting, i.e. what concerns the Post Office's operations and the Post Office's profitability. We note that those who are in favour of the EEA Agreement do not want to problematize this problematic case we now have when it concerns the Post. That is why we also say in the end that it is important that we now use the majority that is at Stortinget with regard to the third postal directive, and try to secure us there and get an agreement that enables us to exercise our right of self-determination in Norway, and make sure that our people get the best postal service they need, regardless of whether we have an EEA agreement.
ParlaMint-NO_2012-05-24.ana.ud1972e637	The case concerns the control of the National Audit Office over the management of state companies for 2010. In the case of State power, it is pointed out that international activities and activities in technologies other than the core activity of State power, namely hydropower, and the large volume of investment involved, should be highlighted more closely. For several years, there has been a need to follow up on returns more clearly, and it is very clear to the responsible State Council that it is worrying that, for example, State power chooses the kind of information that the Ministry of Economic Affairs and Trade should have in such cases. Another aspect that has not been addressed is Mesta, and the Committee says that they need to strengthen competitiveness. It is a very demanding statement from the Committee, when we know what huge competition there is about skilled people in the construction industry, and we also know that when it comes to accessing operating resources – I think of gravel and pucks – it is absolutely crucial for the profitability of the construction industry. It is a development of what is disturbing given that there will be more and more monopoly. Those who do not have access to gravel and pokes in the vicinity of their facilities then have a significant disadvantage and thus get worse out, and Mesta is among them. As regards Statnet, the Committee points out that there has been an increased number of hours when capacity utilisation has been so high that there has been no spare line to cover in the event of lines falling out. We are pleased with what is happening in the Ministry of Oil and Energy at that point in order to strengthen operational safety, and we say that we want to get feedback on the follow-up to this and clarify the situation by 2012. As many people have experienced — within the Ministry of Transport — the Post Office’s demands are high profitability, which was an important prerequisite for the expansion of the Posten Group in the period 2004–08. The new postal and logistics activities have not given a satisfactory return, and the Posten’s IT investments and investments in Bring Citymail have so far caused the group significant – I stress significant – losses. A unanimous comitology comment indicates that the Ministry of Transport has taken action to strengthen the follow-up to the Posten Group. The Committee asks the Ministry to clarify the importance that activities outside of Norway or outside the core activities of the Post reinforce their core activities through profits or synergies. What is a common denominator is the active state ownership, which both the Workers' Party and the Swedish Labour Party have previously been involved in. We're strong followers of it. What's central is, what's the active ownership? The representative of Marit Nybakk was involved in the development of wages. It's a little sad that we have to take this up repeatedly from the Parliament's pulpit and point out that the wage developments in some state companies, as the representative Nybakk said, have a major impact on the formation of wages. It should be unnecessary for us to say it so strongly from here that the management of these state companies – the political leadership we are even more clearly on – shows restraint. It has to be so that it's the leaders who first sacrifice something, and the leaders go ahead as a good example. The second of active ownership is clearly that the objectives of active ownership need to be clarified. The reviewer of the Riksrevision and the Committee is that both foreign activity and activity outside the core areas are found to have a result for synergies and returns that are not consistent with public policy statements. So there are areas that need to be discussed further, where the government must have a special vigilance. Finally, on the Post and Postal Directives: As the representative of Langeland was involved, the reason for this is that the Senterpartiet and SV address this, that the judgment that has come gives a fine of more than 11 million. euro. It states that it will reduce dividends in the Post Norway. Yeah, that's for sure. But another way of saying it is that it increases the need for state contributions to the group so that it can fulfil its overall tasks. The reason for this situation is the first two postal directives. We believe that it was right in this context to point out that when we are now faced with the question of the third postal directive, we need a vigilance and a firmness that makes us come into a different position, which is precisely described in the setting.
