ParlaMint-NO_2012-11-21.ana.ud530e26	The representative, Per Arne Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2012-11-21.ana.ud530e121	Bente Höie – for follow-up questions.
ParlaMint-NO_2012-11-21.ana.ud530e124	I think Norwegian patients have made a good diagnosis of Norwegian health care – they are largely satisfied in the meeting with the individual working in the healthcare system, but they are very dissatisfied with the organisation. They tried to do something about this, and we got a NOW called the Patient first! The main instrument there was to introduce the patient-responsible system in all hospitals, which all patients with complex needs would receive. After ten years it turned out that no hospital had systematically implemented this, and the government's response to that was to change the system to a patient coordinator. Doctor Per Fugelli is the one who may have put the strongest words on this, when he, as a cancer patient, experienced having to deal with 37 doctors. How many years should it be before cancer patients and other patients in Norway actually experience that hospitals implement what the Stortinget has adopted in law more than ten years ago, namely that they should have one coordinator who takes responsibility for them when they are in hospital?
ParlaMint-NO_2012-11-21.ana.ud530e134	I agree that we can still make things considerably easier in the Norwegian health care system. When the representative mentions cancer, it is also an area where things can be made easier – we can remove bottlenecks. But in the case of cancer, the picture is also that although we have too many single examples of things that are too complicated, the main picture is that while we were an average country a few years ago when it comes to results, we are now absolutely at the top. We're the world's best in survival by multiple cancers, or at the very top. Not many years have passed since the majority of those diagnosed with cancer died. Now, two out of three people who get a cancer diagnosis survive. Only in recent years have we seen increased survival rates, for example. for breast cancer and bowel cancer, where we are now up to 90 pst. survival rate. There are important results of a fantastic effort, mainly by those who work in the health care system. And then I say, "I see there's a shortage, I see that it's not good enough to be completely in the top of the world, but we're going to be even better, and that's also why we've asked the hospitals for simpler, better and faster routines.
ParlaMint-NO_2012-11-21.ana.ud530e141	Hans Olav Syversen – to the last follow-up question.
ParlaMint-NO_2012-11-21.ana.ud530e144	It might be nice to remember that what we often talk about is when people meet the system – whether the system exists for humans or for themselves. That's at least for the Christian People's Party the most important question here. Back to this with bureaucracy: There the government has got one of its own top bureaucrats describing how it works today. One of the tops in the Ministry of Culture says that we have now received an increased focus on organisation and administration, while we have a reduced focus on action – action to benefit individuals. My question is therefore: Has the Prime Minister read this chronicle? Has the chronicle made an impression on him? And if it's done it: what is the government's answer to get more focus on action for the benefit of the individual human being?
ParlaMint-NO_2012-11-21.ana.ud530e153	I've read the chronicles, and I think it just confirms that we always have to be impatient to simplify, to improve a large public sector. Not least we who are for a strong public sector with good welfare services for all must be the first to be critical of the way the public sector operates. That is why we are also implementing major changes, major reforms. Secondly, I would say that man is of course more important than the system. It is about individuals, it is about individuals who have to get good deals – and individuals have different needs. If the system doesn't serve the human being in a good way, there's something wrong with the system – nothing wrong with the human beings. But as I try to get there, fortunately, the simple examples are that things don't work, not the typical thing for the Norwegian health care system – the typical thing is that it works well. There is no comfort for those who experience that it is not working, but there is an inspiration to do something about the deficiencies that are still there in the Norwegian healthcare system. Quality – we have introduced transparency on defects and errors, more systematic measurement of errors is important to correct errors.
ParlaMint-NO_2012-11-21.ana.ud530e160	Let's go to the next main question.
ParlaMint-NO_2012-11-21.ana.ud530e163	After seven years of red-green government, the Minister of Knowledge concluded a crisis meeting with the country's teacher training institutions on Monday. The background was the very high percentage of the math examination of some teacher training this spring. About 50 pst. In fact, the strike provides a basis for saying that there is a mathematical crisis in Norway. But it's a notified crisis, the trend has been there for a long time. Norwegian maths council has a so-called pre-knowledge test that they've been doing for a number of years. It shows that the proportion of students who respond — and understand — to the simple percentage problem has fallen from 84 pst. in 1984 to 40 p.m. in 2011. This gives great cause for concern, because it's so that mathematics is essential. It is important for engineers to calculate a bridge and to ensure that road construction is good, it is incredibly important for the nurse to outsource medicine – we also see high drug calculation outflows – and it is incredibly important for teachers to make sure that knowledge goes on. Last year, there was also a publication of a study where we gained low on the mathematics skills of newly educated teachers, and the context became clear: what we already saw in primary school, so we at the teacher's education -- we're making things worse in mathematics. We've got a chain that's negatively downwards in this field. The right has proposed a number of measures: several teaching hours in mathematics, further training of teachers, increased admission to teacher training, stronger skills requirements for teachers. All this has been voted down by the Labour Party and the Government. My question to the Prime Minister is then: What does he intend to do to break the evil chain and raise mathematics skills in Norway?
ParlaMint-NO_2012-11-21.ana.ud530e174	I think math is a very important subject, and it's a subject we need in a lot of areas of society -- it's a language that makes it possible for some complex issues to be presented in a simple way. I think one of the problems with mathematics is that some people just think that either you're an expert on mathematics, or you can't do anything. The threshold into the world of mathematics appears to be too high for many. That's why I think making mathematics less mysterious and more accessible from primary school is a very important contribution to raising the general understanding of mathematics in Norway. It's a subject that's very important in a lot of areas of society. That's why I'm worried that the iron percentage is too high for teacher students. For this reason, some emergency measures have been taken by the government, including: own screening tests, to reveal the level of knowledge in mathematics among students starting in higher education, their own intensive courses which can give students a satisfactory level of mathematics and their own competence development project adapted to teacher training. Other more short-term measures are also being taken. The more fundamental thing we do, and which will be of great importance over time, is that we have shifted teaching from teaching to teaching, and that we have introduced skills requirements for teachers when they are going to teach in specific disciplines. I think that also reinforces the importance of mathematics, and we see that the search for teacher education is increasing. 50 pst. The increase in the number of applicants for teacher training also facilitates the setting of higher qualifications for those who are required to take training courses. So we're concerned that mathematics is important and concerned that the quality of a lot of mathematics is too low. We are worried and worried about it, and at the same time we rejoice that we are seeing progress in Norwegian school.
ParlaMint-NO_2012-11-21.ana.ud530e185	We are missing about this year. 16 000 highly educated ICT engineers in Norway. We see that we have to import a lot of knowledge because for a few Norwegian youths over time have learned and can enough math to make them choose, and be able to implement, that kind of education. It's a crisis. The government has taken some action, but there is little evidence that over the next 10–15 years, we are able to break the negative circle we are inside in mathematics, with the measures that have been taken, among other things. because you are not willing to say clearly and clearly that we also need to impose competence requirements on those who are already teachers. Those who are in school today actually have to raise their math skills. We have proposed that, and the government has opposed that. If we had done so, and did what we did with the promise of continuing education, we could break this chain much faster. Because it's like if you have perspiration over fractions – as the Prime Minister himself has admitted that he had at some point – and you're a teacher in a fifth grade, you actually have a problem. So this is going to continue with the government's pace.
ParlaMint-NO_2012-11-21.ana.ud530e190	I think I said I got sweaty in my hands when I saw a fraction, and that's quite right. I don't get as sweat now, on the contrary, I enjoy looking at fractions -- and percentages and stuff. It gives me a self-stimulation in life. [[Laughter]] That's the one. The second is that there is a lack of engineers in Norway. It's due to a negative thing and a positive thing. The negative is that we train too few engineers. We've increased the education of the number of engineers. There are more people who are trained now than before, but that's not enough. The second reason is that Norwegian economy is going very well. There's a lot of demand for professional skills, so here too it's probably the way the world is a little bit nuanced. We're busy continuing to train more engineers, but we're also busy having high speed in the Norwegian economy, so there's good demand, even after that profession. It was this government that introduced skills requirements for teachers, and we have significantly strengthened continuing education and training, inter alia. to increase teacher math skills.
ParlaMint-NO_2012-11-21.ana.ud530e199	Four follow-up questions are raised – first from Elisabeth Aspaker.
ParlaMint-NO_2012-11-21.ana.ud530e202	The Prime Minister boasts that teachers have been trained, but it is the new teacher training that now produces students with 50 pst. Delete. The Prime Minister was busy making mathematics less mysterious from the elementary school of. We now have reports that show that in mathematics there is a clear correlation between results from national tests and positions. Nearly 80 pst. of the students who reached the lowest master’s level in mathematics in the national test stage 8, graduated from primary school with the first or second position in mathematics. The government's measures to help the weakest students were that New GIV is inserted after Christmas in the 10th grade. It thinks the Right is too late. My question to the Prime Minister is: does the government see the seriousness of the situation of the weakest students, and will the government now change its New GIV strategy and deploy measures from 8th grade, when we already know which students really need help there?
ParlaMint-NO_2012-11-21.ana.ud530e214	We see the seriousness. That is why we have implemented a number of short-term measures. I mentioned several of them, among others. own screening tests, own intensive courses and own competence development projects for teacher students, and we have also put in place more long-term things, such as strengthening the continuing training of teachers and the competence requirements for teachers. But I am at any time willing to discuss other measures. I have very lowered shoulders when it comes to finding other and even better suggestions that can enhance mathematics in Norwegian school, among both students and teachers. I believe there is one measure that is important for municipalities to take — that is to say, at primary level, to take courses at secondary school level. We see that several municipalities are now facilitating this. It raises the math skills of the students, and letting primary school students take upper secondary education -- not least mathematics -- is something I'd like to encourage more municipalities to do.
ParlaMint-NO_2012-11-21.ana.ud530e219	Tord Lien – for follow-up questions.
ParlaMint-NO_2012-11-21.ana.ud530e222	What the Prime Minister and the representative of Solberg have discussed is a symptom of a much larger challenge, namely that mathematics, science and technology have been down priorities for many years, both in the social debate and also by the majority in this Chamber. The party of progress is concerned about this. It is a big and scary paradox given the importance of these subjects for the welfare and value creation of Norway. When the Prime Minister says he thinks it's funny with percentages and fractions, I've included a math question today: When the Prime Minister came to power in 2005, Norway lacked 6,000 engineers. After seven years of power, Norway lacks 15 000 engineers. If this trend continues, how many engineers will Norway be missing in 2017? [[Laughter]]
ParlaMint-NO_2012-11-21.ana.ud530e229	Even more so than today. But I think we have to take over the following: we're training more engineers. That's good. We get more applicants for teacher training. That's good. But as I was in the middle of it, there are two reasons why we have a shortage of engineers. One is that although we train more engineers, we have such good growth in the Norwegian economy – we have so high investments, we have so high employment growth – that the need is even greater. Then we have to do two things. We have to keep training even more engineers. We're going to fix it. We are increasing the number of places of study, including: in the field of engineering training, in our budgets. We have done the same in this budget. The second thing we do is to facilitate being part of an open European labour market. It just illustrates how important it is for Norway not to isolate itself from the world but to allow us to gain expertise from other countries as well. So we thank the engineers from other countries who come to Norway and help build Norwegian roads.
ParlaMint-NO_2012-11-21.ana.ud530e236	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2012-11-21.ana.ud530e239	There's no doubt that it's the teachers who are the key to bringing up the math skills in our country. My theory is that we have now reached a spiral. We've had a low level of math in teacher training. As a result, we get poor students, who are now teachers, and who iron out math. This means that the most important input now is not the rapid action you can take in teacher training — it is long-term action. The short-term measures are to get teachers who are currently in school to become good and safe in math skills. The Prime Minister said in a previous reply that we had had a significant investment in continuing education. Then I can say hello from the Education Association in West Agder and say that they do not experience it. Although some changes have been made to that system, there is still a much greater need — and a desire — for teachers to take on- and on-the-job training than they can. Will the government now have an obligation, and a right, to continuing education, which will give us speed on this, and that there will be a significant investment?
ParlaMint-NO_2012-11-21.ana.ud530e246	I think that's the way it is in this area, as in a lot of other areas where I get questions, and answers, and that's that it's done a lot. We're on the move, and we're stepping up. At the same time, we are not on target. There's still more that can be done. That's also the case here. There has been a significant escalation of continuing training of teachers. I am open to considering other and even more measures, for the aim we agree – to strengthen the competence of teachers who are already in school. I think it's important that we also do the long-term things, like to make skills demands for newly-trained teachers, and I think it's important that we think about mathematics in primary school. I have been involved in several measures there, including: the provision of facilities for even more primary school students to take upper secondary school courses. What I think is important is that we raise the status of mathematics and real science. Then it's both about what we're actually doing, and also a lot about what we're saying -- we're talking nice about the subject and we're talking about the importance of it to increase the status of the subject.
ParlaMint-NO_2012-11-21.ana.ud530e255	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2012-11-21.ana.ud530e258	We very much agree on the state of mathematics in Norwegian school. We probably very disagree as to whether there has been a major escalation of continuing education. It is at exactly the same level as it was under the previous government, and it was started under the previous government. We very much agree with the rhetoric – that it is important that our teachers can discipline them. But when Jens Stoltenberg promises to do something for math in the next period, he promises several math lessons at a price of 1.2 billion. kr. I believe that he should have promised to use them to get better and more teachers into the hours we already have. So why is it that the Prime Minister understands the problem, he understands what is needed, but he prescribes the wrong prescription? We don't need more hours, we need much better content in the hours we have. We need more teachers, and we need good teachers who can communicate the joy of mathematics and how great that subject is – not more hours with teachers we don't have.
ParlaMint-NO_2012-11-21.ana.ud530e265	I mean, we're not going to set up any difference between several hours of mathematics education in Norwegian school, and getting better teachers in mathematics in Norwegian school. I mean we need both. It's true that the government has increased the number of hours of math education. I think that's an expression that we want to bet on mathematics. It is a long-term measure, but it is an important measure. In addition, we have done a lot to facilitate better teachers. We see that more applicants. Then it is also easier to make higher demands, and we have introduced skills requirements – including in mathematics – for newly-trained teachers to start school. Fortunately, we have looked at the international PISA surveys that after Norway fell for some years, we have now seen some increase again. We're on the right path there as well. Then we get to hope and believe that the positive development can continue, because over time it will also do something to the mathematics skills of the teachers when new generations come out of school.
ParlaMint-NO_2012-11-21.ana.ud530e272	Let's go to the next main question.
ParlaMint-NO_2012-11-21.ana.ud530e276	The Prime Minister and I have had a slightly different development. It wasn't until after I became a party leader that I was in the habit of seeing fractions and percentages. I have an important question for the Prime Minister. We want to take care of equivalency and human dignity. There has been broad political agreement to protect precisely the equivalency to avoid human beings becoming commodities. The government has been very clear. The government has advised Norwegian citizens to use surrogati abroad, and government councils have also asked questions as to whether surrogati is not a form of human trafficking. But unity is not limited to surrogacy. Biotechnology laws today protect many types of assisted fertilisation, against cloning, against the choice of child characteristics, against the sex testing of foetuses, against different genetic examinations and gene therapy. Nevertheless, I need to ask the question: What is the government's view now? The Ministry of Health has sent out a proposal that the criminal liability of biotechnology laws should not apply to private individuals. It means that surrogati, the choice of properties of children and sexual orientation are legal for individuals. In the hearing proposal, there is not a single word that shows that the government has any objections to surrogati, sex testing or the choice of child characteristics. In a large and growing global market, poor women sell access to their own bodies. The buyers are rich people from our part of the world. My question to the Prime Minister is very simple: Is the government against surrogati or not?
ParlaMint-NO_2012-11-21.ana.ud530e289	It is true that the government is reviewing and evaluating the Biotechnology Act. It is also right to work on the question of surrogati and its handling. When it comes to that question, it's like I've declared myself incapacitated for careful reasons, simply because one of the themes that's been most advanced concerns a matter that's about a person that I know well. That's why there's a question that I'm not participating in the discussion of, neither in government nor at large. So what I can say in general about is the work on the biotechnology law in general, but surrogati would be wrong if I said something about it.
ParlaMint-NO_2012-11-21.ana.ud530e296	I do not ask whether surrogati should be legal in Norway or whether it should be legal for Norwegian citizens to do it abroad. I ask questions about surrogati itself. There I understand the Prime Minister, and he has acted very neatly in these kinds of matters. But this is the question, what do we think about surrogati? The Prime Minister must have a point of view. This has been an area where the government has been very clear, they have been against surrogati. Now, what's special is that the government has come up with a listening memo saying that individuals in Norway can do this legally abroad. But what's the hold of surrogati? Is there something the government wants to fight against? Does the government want more and more people to have done just surrogati abroad? For such an important value question, the government must have another position.
ParlaMint-NO_2012-11-21.ana.ud530e303	I think that the way the question is formulated just illustrates that there are some difficult balances here. The representative asks what I think about surrogati, but in the next sentence he asks what I think about surrogati abroad. This is precisely the question of how to do things abroad that are illegal in Norway, and how to deal with them in Norway, I am incapacitated in relation to – or at least I have considered not to be involved in the treatment of it for precautionary reasons. I think it's almost impossible to have a discussion about surrogati, which is banned in Norway, but where the main theme or at least the most central themes has been how we handle doing things abroad that we have chosen to ban in Norway.
ParlaMint-NO_2012-11-21.ana.ud530e308	Øyvind Hope - for follow-up questions.
ParlaMint-NO_2012-11-21.ana.ud530e311	We have expectations that the Prime Minister has a clear view of the most important value issues of human vision that are at stake today. These are not questions you are or can be incapacitated in relation to. The Christian People's Party has been used to looking at the left as close ally in the fight against the exploitation of women and in the fight for equality both nationally and globally. That's why we have to ask the question again: Is the government for surrogati, or is the government against surrogati?
ParlaMint-NO_2012-11-21.ana.ud530e318	I think it is a dilemma that I am being challenged by things where I would at least very easily formulate myself so that it is perceived that I am taking a position on the question that the previous representative asked, namely what I think is that surrogati can be carried out in another country, and that is the question I must be careful to comment on when it is prohibited in Norway. Of course, the government believes that under Norwegian law, which we have practiced and put ourselves behind, this is prohibited in Norway. But that is not the political theme of the debate now. What is the political theme of the debate now is a question I have said that I am indulging in relation to: What do we think about doing things in other countries that are banned in Norway? Then I'm in the middle of the question that I've said on several occasions that I can have a personal and private opinion about, but I especially believe in the Stockholm Chair, as Prime Minister, I'm not going to begin to think anything about what can be interpreted as that I think about something that I'm innate with.
ParlaMint-NO_2012-11-21.ana.ud530e325	Let's go to the next main question.
ParlaMint-NO_2012-11-21.ana.ud530e328	I'm sure the Prime Minister may know some poor people too, but I don't think he's indulging in discussing poverty. When he joined, he was to eradicate poverty, eliminate poverty. After seven years of power, this is the goal that governments are far from. We know that 75 000 children under the age of 18 live in families with persistently low incomes in Norway. I think it was really embarrassing when the finance committee yesterday took its position, where we spend 1065 billion. kr in 2013, and we are unable to fight poverty by using those funds. Kristin Halvorsen once said so wisely that this is about political will. I went through the press book to the government, that is, the textbook, where the 2013 budget is produced in all the best ways you want, and there is the word poverty zero times. The left has proposed an obliging escalating plan, for example: in the field of social assistance and a number of other measures. The most concrete thing that the government stands for in this budget is that they vote against all the proposals proposed by the Left. So my question to the Prime Minister is: Is the Prime Minister satisfied with the government's efforts to eliminate poverty after having been with majority power for seven years?
ParlaMint-NO_2012-11-21.ana.ud530e339	The answer to that question is no. I like to use an old Swedish message: we are proud, but not satisfied. There are very few areas of society where I say I'm satisfied, but there are a lot of areas of society where I say we're proud of the effort and have done a lot of work. But the day you say you're happy, I think you can easily see that you can lean back and say that you're satisfied. We're not. Poverty is a serious social problem – that people live with low incomes over a long period of time. There are few things that make me more worried and more worried. We also know that low income and social problems are easily inherited. That's why we've done a lot to reduce social inequality, to raise those who have the hardest. There are many reasons why people live with low incomes over a long period of time. That's why we want to do a lot of different things. The main reason people have low incomes is because they don't have a job. This is why the most important measure to combat social inequality is to provide more people with work. We have managed to keep Europe's lowest unemployment rate, and we have had record growth in the number of people who get a job in Norway. It is an important measure of poverty. Another important reason why people live in poverty is poor integration. Immigrants account for an increasing proportion of those with low income. Integration, free core time, homework, labour market measures, Norwegian education — all these are poverty measures and help us to achieve better integration in Norway than in many other countries. Russ and psychiatry are important reasons why people have low incomes. Never before have more people received drug treatment in the specialist health service; never before have more people received an offer of psychiatric health care. I'm proud of that, but not satisfied with it, because we need to do even more. In addition, we have increased the minimum population benefit to 2 G, raised to a new level, and we have achieved significant improvements in housing support. All these are measures that take different groups of people who are struggling with poor finances and who are pointing in the right direction.
ParlaMint-NO_2012-11-21.ana.ud530e352	Then I notice that the Prime Minister is not satisfied, but he is proud that the number of poor children has actually increased. We see that the left-hand side is often monotonous with the fact that all the distribution in society is going to take place through the income side of the government budget, where all the reasonable reliefs are stopped because they might fail, while you're not at all concerned with how to use the expenditure page to reach exactly those who need it the most. It's about differentiating child welfare, kindergarten prices, SFOs, equipment scholarships, all of the subsidies we have – we could have directed at those who absolutely need it the most. The left will also use the spending page to combat poverty. We have presented models in our alternative budget that show that a single-parent, for example. in my part of the city, with about 300,000 kroner of income and two children, could get NOK 2000 more to go with if we had been willing to use these tools to reach those who need it the most. Why doesn't the Prime Minister want to take part in such a vow?
ParlaMint-NO_2012-11-21.ana.ud530e364	First briefly, the number of children living with low incomes has increased. Quite independently of statistics, too many children grow up with low-income parents, in any case. But it's always a little bit strange to hear that number usage from people who sat in the last government. According to the way the OECD measures poverty, the proportion of children living in families with persistently low incomes increased from 2 pst. to 5 pst. It's more than a doubling. Since then it has been stable. So while there was a strong growth when the Left was in government, we have at least succeeded in stopping that growth and flattening it out. I'm not satisfied with that, but I just think it's a little strange to hear that this is almost a problem that occurred after we took responsibility. There was a completely different and more negative development during the previous government. In terms of needs-tested child welfare and the type of action: I am very afraid that it will both make it difficult to have low income, and that you will have more needs-tested schemes. We're more for example. free learning materials and affordable kindergartens rather than creating poverty traps through more needs testing.
ParlaMint-NO_2012-11-21.ana.ud530e373	Four follow-up questions are raised – first from Borghild Tenden.
ParlaMint-NO_2012-11-21.ana.ud530e376	Poverty has been an important issue in the last two election campaigns. In the 2009 election campaign, Jens Stoltenberg promised, at the invitation of the then leader of the Left, Lars Sponheim, to take part in a cross-political force to combat poverty in families with children, on which the Prime Minister was now involved. It was a promise without real content. In the 2005 election campaign, documented in the film Oljeberget, the Prime Minister asked why a new government was needed. On that question, the Prime Minister replied that never has a government spent more money than the current government, that nevertheless the number of poor children has increased, and that was a good enough reason to change government on 12 September 2005. My question will then be: is the same good argument now in the 9 September 2013 elections?
ParlaMint-NO_2012-11-21.ana.ud530e385	First, I would like to stress that there are too many children growing up with parents with low incomes. It's a serious social problem, and I mentioned in my previous answer many steps we're taking to do something about it: work, integration, drugs, psychiatry, raising some benefits, among other things. housing aid, and many other measures. But it is that according to the way the OECD defines poverty, which is when you earn less than half of an average income or a median income, there was more than a doubling under the previous government. Growth has stopped – the proportion of children living in these types of families has actually gone down slightly under this government. But I repeat, I'm not satisfied with that. I think there are too many too, and that's why we have to do even more. I believe that we should do more, among other things. in the case of integration. A very large proportion of those living with low incomes are immigrants, and therefore we need to do more in terms of integration.
ParlaMint-NO_2012-11-21.ana.ud530e394	Robert Eriksson – for follow-up questions.
ParlaMint-NO_2012-11-21.ana.ud530e397	Last week I met a five-year-old girl living in Oslo, who is one of the children growing up in poverty, where her mother can't afford to take her on vacations or on birthdays. One of the most important things that, among other things, For example, researchers point to the causes of child poverty. child welfare and that it has remained still from the year 2000 to the present day. At the same time, we also see that many of the children live on social assistance, and it varies widely around the municipalities how this is handled, and what rates are used. The Progress Party is more concerned with seeing children in their everyday lives rather than arguing about different poverty definitions. That is why I want to challenge the Prime Minister for two things: Will the government and the Prime Minister agree to ensure that child welfare follows wage developments in the future, and will the Prime Minister agree to make the rates of social assistance the norm, so that they are equal throughout the country?
ParlaMint-NO_2012-11-21.ana.ud530e406	We have thought it is more important to make services cheaper and accessible to people who are struggling with low economics than to give priority to increasing child welfare. We have done this in Norway over several years, under changing governments, and therefore child welfare has not been adjusted in line with wage growth. But under this government we have introduced a significant cut in the price of kindergartens. It's been reduced every year. We now have substantially cheaper kindergartens than we had a few years ago. It is an important measure that makes kindergartens available and is important not least for those who have poor advice. The second thing we've done is we're introducing free education in high school. The third thing we've done is to introduce free core time into areas with many immigrant families, simply because we know that -- I think it's about 60 pst. – at least a very large proportion of those with low income are immigrants.
ParlaMint-NO_2012-11-21.ana.ud530e415	Torbjørn Røe Isaksen – for follow-up questions.
ParlaMint-NO_2012-11-21.ana.ud530e418	In many ways, population growth saves government's poverty statistics. Because although the proportion does not increase very much, the number is increasing. It is undisputed that there will be more children growing up in poverty. I agree with the Prime Minister that it is complicated. Poverty in Norway today is not just a matter of poor advice. Bad advice is often a symptom of other social problems, such as: that you don't get help in the psychiatry, which has been treated voicelessly for a long time, that you don't have a school that can teach everyone to read and write, so they have what they need to get out of life later, and that you don't get into the labour market. It is precisely in the labour market that, although the unemployment rate in Norway is low, there are more out of the labour market. Those we try to help enter the labour market experience that on labour market measures it is long queues, long waiting times. What does the Prime Minister want to do with that?
