ParlaMint-NO_2012-06-15.ana.ud2276e160	The representative, Mr Höglund, wishes to make a proposal for a representative.
ParlaMint-NO_2012-06-15.ana.ud2276e222	On behalf of the representatives André Oktay Dahl, Ine M. Eriksen Soreide, Lars Myraune, Svein Harberg and myself, I am delighted to make a proposal on targeted and reinforced efforts for information and cybersecurity.
ParlaMint-NO_2012-06-15.ana.ud2276e227	The representative, Mr Bavøy, wants to make a proposal for a representative.
ParlaMint-NO_2012-06-15.ana.ud2276e230	Today, I am delighted to present a proposal for a representative from the representatives of Line Henriette Hämdal, Kjell Ingolf Ropstad, Hans Olav Syversen, Dagrun Eriksen and myself on reducing the time frame and the extent of latencies.
ParlaMint-NO_2012-06-15.ana.ud2276e235	With regard to the announced proposal for a representative to represent Trond Helleland, the President cannot see that some of the other proposers are here either, and then we must try to get through the summer without having the opportunity to work on it! All proposals submitted will be dealt with in a regulatory manner. The president, Mr Borghild Tenden, asked for the floor to be put to the agenda.
ParlaMint-NO_2012-06-15.ana.ud2276e243	It is not about the agenda today, but it is simply about a voting yesterday that I need to clarify.
ParlaMint-NO_2012-06-15.ana.ud2276e248	With the approval of the Storting, the President is prepared to allow it.
ParlaMint-NO_2012-06-15.ana.ud2276e251	Unfortunately, the left voted against III in the defence vote. We should vote in favour.
ParlaMint-NO_2012-06-15.ana.ud2276e256	Then today's Minutes will show what is the original position of the Left in the matter.
ParlaMint-NO_2012-06-15.ana.ud2276e270	No one has asked for the floor. At the request of the Financial Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 2 and 3 are dealt with as a whole, and consider it to be adopted.
ParlaMint-NO_2012-06-15.ana.ud2276e297	At the request of the Financial Committee, the President will propose that speaking time be limited to 2 hours and 35 minutes and that speaking time be allocated as follows: Working Party 55 minutes, Progress Party 35 minutes, Right 25 minutes, Socialist Left Party 10 minutes, Center Party 10 minutes, Christian People's Party 10 minutes and Left 10 minutes. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines, with replies from the main speakers and the parliamentary leaders of each party group, and up to five lines, with replies from the member of the government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-06-15.ana.ud2276e308	The backstop when we now look at proposals for a revised national budget for the government is serious, not initially at home, but in many of the countries on which the Norwegian economy is very dependent. Both in the last few months and years, what started as a financial crisis has now evolved into a debt crisis. It has also evolved into a human crisis in many countries, including the United States and Japan. in the southern European countries, there is an increase in unemployment and unrest among individual families and individuals. The repeated turmoil that we are now seeing in financial markets, and the turmoil it is creating around Spain, for example, is a strong reminder that the Norwegian economy, despite its success now, is in a vulnerable position and in a state of shock. That's why we don't have to take anything for granted. I mentioned that Norway is doing well. It is also reflected in the revised national budget. GDP has now grown in nine consecutive quarters. Employment is increasing, and unemployment in Norway is low in both international and historical terms. By the end of 2011, there were nearly 300,000 more employed than when compared with 2005, the vast majority in the private sector. I don't know if these are the results that industry, workers, most people – our country – have created together in recent years, which is why it's rare for me that the hearing bodies have been so unambiguous in their feedback when the finance committee has held a hearing on the matter. At least it was clear that the largest business organisations, both on the employer's side and on the employee's side, and the municipalities, who have received a municipal service presented in parallel with the revision, were very pleased and have given very good feedback. That is good, because it is a very solid piece of political work that the government has presented in the draft revised national budget. But nothing comes of itself. There's a reason for the results, and it's not natural for the results we're now seeing to stand for eternity. It is safe governance, effort and willingness to make tough priorities and choices that enable us to keep people in work in Norway. Some have tried to present it as if it were going well in Norway because of the oil anyway. That's wrong. Many countries have had large revenues from natural resources without avoiding crises. Sigbjørn Johnsen probably gets into this, because we've also experienced this in this country. We had oil money in the 1980s, in the 1990s and early 2000s. Likewise, we had crisis and unemployment. Workplaces disappeared, and industrial enterprises ended up – with oil money. It is not natural, therefore, that meeting wealth should in itself make things go well in a country. No, it is, as I said, safe economic governance, an innovative adaptive business and a highly educated population that is our greatest competitive advantage. In Norway, we have been able to create the best from two worlds – a capitalist market-based economy at the bottom, which is the engine of prosperity development, with a clear political fair framework around which to govern and balance. That's the Norwegian model I'm now talking about. There are many good bets in the revised. I can mention the tri-processing package to convert that industry, study places, new seed funds, breast reconstruction, transport aircraft and several things. This is what many of the speakers will think about in different articles, so I'm not spending any time on it right now. I want to use the rest of my contribution to make two assessments of the economic political situation as reflected in the revised, but which has also been part of the political debate throughout the winter, and which I am absolutely sure will shape the political landscape from now until the 2013 elections. One thing I would like to highlight is one of the foundations of economic policy, with broad support in the Grand Duchy. It is striking here that the largest opposition party is now using the occasion revised to go through the side up and down to a powerful attack on the rule of action, which is one of the foundations of economic policy, in a situation where times are very, very alarming around us. In my view, the rule of action is not about whether you can allow yourself from year to year to use the one extra billion. The rule of action is not about that, but it is about our collective ability to resist the shadows, or the temptations, that wealth brings when countries get a lot of income in a short time. I would say that the rule of action is our self-imposed protection against overbidden policy, a policy of over-the-counter which has led many European countries into the way they are today. Such a policy is something I would strongly warn against. The existence of the rule of action and the fact that changing governments, not just today’s government, have chosen to follow it over time, have been one of the most important contributions to safe economic governance in Norway. The rule of action is more than an economic critique; it is a social contract between responsible politicians and the Norwegian people. I mentioned the Norwegian model. One of the conditions that makes the Norwegian model work as well is something indefinable, which we cannot adopt here in Stortinget. That's what we call trust, cohesion, in the population, that we trust each other. I don't believe in any way that we can underestimate the effect of being a business in Norway in a society where you actually trust each other in the first place. That trust should not be underestimated. It's just the trust that's built up over time by following a rule, which has enabled us now to manage the enormous wealth that we've, after all, inherited from generations behind us, in a way that doesn't put everything above us. We show that we are worthy of that trust. It is this rule, which has broad support in the Stortinget, that the Progress Party is now under attack. I have now given my ideological political defence for it. I expect the right-hand side in general and the right-hand side in particular, which is a safe defender of this so far, to be equally tough on it when it comes to negotiating in the public debate and possibly with the Progress Party before 2013. The second relationship is the relationship between tax and welfare. I'm not going to go very deep into it, except to point out that there are still significant differences between today's government and the parties that want to overthrow today's government, through a democratic election next harvest – I had to add it, because there is nothing undemocratic about this, rather the opposite. But there's something undefined and teflonish, as some would say, when we're not quite able to get the grip on the scale of the tax cuts and what taxes are to be cut, and how the relationship between well-being and income is to be connected, when the right parties talk. We have made a very clear political choice, and the government supports it in the revised national budget. We say no to tax cuts and no to tax cuts, because we think there are so many unsolved tasks in a modern country, which is also one of the richest countries in the world, and there are things that are more important. I therefore think it would be foolish if, over a year in the future, we were not to be able to get a clear answer to the extent to which we want to cut taxes, what to cut taxes and what to put up with in the political debate. I have at least intended to make my contribution, but it would have been much more pleasant if the right parties themselves could instead contribute to this. It is also part of the story that it is not today's government, with today's revised, and with today's tax policy, which is immature and old-fashioned. No, it is those who advocate the opposite that stands for an out-of-date policy. What happens now around us in many countries in Europe? Yes, country by country cancels its huge tax promises. In many European countries they even go to the step of increasing taxes, including in countries governed by civil and right-wing governments, both income taxes, corporate taxes and indirect taxes. I am pleased to provide evidence that the overall tax burden in Europe has increased since the financial crisis. I would like to see someone pointing out that I am wrong. Therefore, it is these European countries that look at the Nordic countries — not the other way around. I therefore do not understand why it is going to be a proper political choice for the country, in the years to come, to go the opposite way of the one that very many European countries are going – countries with which we like to compare – when we are a country that still has major shortcomings in school and care for the elderly, we should build roads and railways on a larger scale than what we are doing today – but then we cannot waste money on huge tax cuts. I think it is these two issues that this debate and the debate to 2013 should be about.
ParlaMint-NO_2012-06-15.ana.ud2276e338	It's going to be line change.
ParlaMint-NO_2012-06-15.ana.ud2276e341	Here, there were an incredible number of rafts being presented – so many that I almost don't know what to ask about. First of all, the rule of action is not followed. Had it been followed, at least the representative had had a point. The infrastructure in Norway is due, which the representative Micaelsen himself was involved in when he at the end mentioned all the deficiencies that are. We might need a hundred billion dollars to rust up both the road and the track. I believe that the representative Mikalsen is wise to use Norwegian money, place it in e.g. German debt securities to 1,8 pst. interest, so that the Municipal Bank can borrow exactly the same money back to finance road projects, to 6.5 pst. interest? It's a truth that the Micah also knows. He thinks it's wise to borrow the money out to 1.8 pst. interest and loan the same money back to 6.5 pst. interest?
ParlaMint-NO_2012-06-15.ana.ud2276e350	The reasoning put forward here by Christian Tybring-Gjedde and the Advance Party is based on completely wrong and completely different assumptions than those of everyone else in this Chamber. What is the background to the rule of action – our way of organizing our common wealth, oil, on? In 2001, the recognition that for an open, small and competitive economy, there are some limits to the amount of extraordinary revenues from the natural resource that can be phased in over time. Therefore, the choice is not really about whether to place the money in Germany or Norway. The whole point of the rule of action is – what to say – to keep order, in the sense that gradually and over time, money from oil is phased into Norway. Therefore, the choice between Germany and Norway is not available. The point is that we cannot spend all of this money at the same time in Norway. This is something that everyone other than the Advance Party agrees on. Let me add: we're now using 100 billion. kr from the oil, but the Party of Advancement is still not satisfied. It's not for believers.
ParlaMint-NO_2012-06-15.ana.ud2276e359	I note that the representative Micaelsen draws up some large lines. If there is something remarkable about the revision, it is not used as revised to discuss the big lines of the Norwegian economy. He says about taxes and welfare that the red-green government has made some political choices. What you've actually done is the political choice from the fact that the Bondevik II government found the perfect tax level. It is the only political choice the red-green government has made. The Micasen knows very well that our tax measures are aimed at increasing job availability by reducing pay-up taxes, increasing the minimum deduction considerably, and removing parts of the wealth tax in order to stimulate savings. I would like to ask the Micaelsen back: is he not concerned about the build-up of the debt of households in Norway today? We have answers from the Ministry of Finance that show that the debt situation is significantly worse than it was during the crisis we had in the 1980s.
ParlaMint-NO_2012-06-15.ana.ud2276e370	Well, that's why I think it's irresponsible to go to the elections to remove the property tax – which at least has an element of taxed property – as many other countries do. I believe that many municipalities can rightly say that in my municipality it is right to tax property something, which is against the right because it creates large revenues into the common fund. That is also why I believe it is irresponsible when the representative Gundersen and the rest of the Right believe that the Stortinget, or the Minister of Finance, will override the Financial Supervisory Authority in a matter of equity requirements in the housing sector. I think it's almost as irresponsible as this big deal was supposed to decide that we should run the interest politically. This is a professional question, because we are concerned that there is an imbalance in the housing market. There are completely different things that need to be done than some simple quick fix solutions to solve the challenges in the housing market.
ParlaMint-NO_2012-06-15.ana.ud2276e377	I actually think I heard that the committee leader in his post raised the rule of action to be ideology. I understand the need for ideological reorientation on the socialist side, but the rule of action to become the new ideological foundation was a little surprising. Otherwise, you can see, by listening to the committee leader, the election strategy of the Workers' Party. There is a bad course with Jens and Torgeir, and then there is chaos with Erna and Knut Arild and some others. I don't think the voters bit that at all – rather on the contrary. But to take an example of what you get, and do nothing about it: we have a hearing-impaired school in the representative's home country that is forced to privatize by this government. Now you make sure it gets so bad money that it goes beyond the students. Is there not such a revised budget that should be used to rectify it?
ParlaMint-NO_2012-06-15.ana.ud2276e386	Well, in the sense that there's a revised opportunity to go into that kind of thing. We have done that very thoroughly – I have done what the committee has done – among other things. through consultations and own meetings. It has also resulted in the majority of the committee having a majority opinion, which I am a little uncertain about whether the Christian People's Party is in, but we have to come back to that. It points out that it may seem that this school has not been able to meet the pension costs they have by going to private school. It is also part of the story that this concerns two schools that have had a very loose connection with the public. There are schools for hearing impaired people, or people with more extensive limitations. One school has negotiated with the state in the same way as Briskeby and has come to an agreement that seems to all be satisfied with. So I mean we've listened, and we're able to turn around when it's necessary. But I'm not a supporter of simply paying out money, when you don't see the allocation in a larger context – which we do every time in the state budget context.
ParlaMint-NO_2012-06-15.ana.ud2276e391	The cord shift is over.
ParlaMint-NO_2012-06-15.ana.ud2276e395	Much goes well in Norway, let it lie at the root of the debate we now have. This is no black paint – there is no reason for black paint – there is good reason to enjoy much of what works. On the other hand, after hearing the statement made to the rapporteur and the chairman of the committee, there is a basis for questioning whether the government understands the driving forces of the economy. Statistical central agency, which has been the employer of today’s prime minister, has said that much of the reason — indeed, the main reason — for things to go well is investment from the oil industry. Oil investments are increasing year by year and are becoming record high. They were this year, they're getting even higher next year, mainly because of high oil prices, i.e. conditions outside of Norwegian policy. Next year, the oil industry will invest 194.3 billion. kr. That's 70 billion. kr more than just three years ago, and it's up from 63 billion. kr from 10 years ago. This gives a huge stimulus. Thus, only in the last three years is the increase in three financial crisis packages for 2013 – three financial packages more into the Norwegian economy come from oil investments compared to just three years ago. One realizes that it produces results. That's why I'm worried when the government later on as if the reason for today's wealth is that one has a high tax level, strong public sector with a lot of regulation. It suggests that the Norwegian economy is poorly placed on the day the oil price is low and oil investments are on the level of what they were ten years ago. It worries me, because what we see now, with increased wages, weakens competitiveness. If we believe that there are even higher taxes that will be the solution – since it has allegedly been the solution so far – an uncompetitive Norwegian industry will be very quick. Then I heard the post of the committee leader saying that the rule of action is the great ideology that has steered us away from the crisis in Europe. It is with respect to report nothing but customs. Yes, it's important that we use the oil money in a sensible way. It is also important that the next generations should enjoy the oil wealth we have, and that it be represented through, among other things. saving abroad. But it's an illusion that you can trick the Norwegian people into thinking that all the oil money is going through the state budget. This year, the state's investment on Norwegian pedestal will be 26 billion. kr. All of the money goes beyond the rule of action, and more than half of this money has actually never been decided upon. This is what Petoro decides on his own. Similarly, this government has spent 19 billion dollars. NOK to buy Statoil shares, SEK 5 billion. NOK to buy Aker shares, 5 billion. kr to enter DNB. I could still be like that for a long time. It is used around 35-40 billion. oil crowns outside the framework of the State budget each year. Giving the impression that a couple of billions of dollars from or to road investments had tipped the Norwegian economy off, is with respect to reporting only hesitate, for in an economy of 2,500 billion. There is no slight increase in road investment that destroys the Norwegian economy. Better infrastructure is, on the contrary, a key prerequisite for the future competitiveness of the economy. Unfortunately, the government treats road and rail construction as if it were only current expenditure – at least the head of the financial committee refers to it as being. Then he should have been at some road conferences, for example. Cambridge Systematics International said that if Norway had invested more in its main road network, we would have received NOK 3.50 in increased value creation for every penny we invested. At least I think it's a good investment. But with today's rule of action, one can't do such things without one in the government's eyes becoming an economic criminal. On the other hand, it is okay for this government to step more money into SAS, because SAS is by definition an investment. It can be done without prioritizing anything else. If we want to spend more money on research, on teachers, on nurses and on road workers, it creates inflation. But spending more money on airplane liners, it's magically elevated above inflation rules -- maybe because they're flying so high up in the air. But that is not the way we can conduct economic policy. We can't pretend that flight attendants are high-ranking, while people who build the country aren't. Therefore, there has to be another rule of action, a rule of action that makes it possible to distinguish consumption from investment, and that allows one to invest in the Norwegian economy when it makes sense. The government trusts Avinor to do this. Why can't we trust that a state road company and a state railway company had completed the same task? When I look around this room, I see people from all the parties who want to change the way we finance infrastructure investments in Norway. Party leaders from almost all parties in this room want to make changes, but no one dares to challenge the sacred rule of action, perhaps because it has become the ideology of today's government rather than a pragmatic and sensible solution. Under the red-green rule, the expenditure in the State budget has increased by 50 pst. Over 350 B.C.E. kr more will be used in 2012 compared to the last budget of the Bondevik government. It's a crazy increase. So we're not just going to say that more oil money is an important solution to all things. That is why we must also give better priority to the budgets. That's what the Progress Party does. In our draft budget last autumn, we cut net public expenditure by 15 billion. kr. Within that framework, we were able at the same time to find areas of activity for road, rail, health and the elderly. In addition, we reduced taxes. But we reduced taxes a little bit more than what we cut public expenditure with. That's why we increased the use of oil money a little bit. But we think it would make us get a bigger pie in the long term, and that would also make sense for the Norwegian economy. But I'm a little in doubt as to whether today's government is looking at the possibilities to streamline the public sector. When the Advance Party cuts taxes and taxes, the argument from the red-greens is that then we also have to cut in hospital places. I'm sorry, but the Progress Party will never cut hospitals to improve other areas of the Norwegian economy. It gets to be a red-green way of prioritizing. But we see many other opportunities to streamline the Norwegian economy. One example is the report that MENON made recently to the academics, where they show that it is possible to streamline the public sector and save 30 billion. kr to buy goods and services better into government – 30 billion. kr. But with the fact that the government always draws up hospital places in which the first one has to cut, it shows that the government prioritises health and older people less than the Progress Party does – while the Advance Party prioritises better use of tax money. In the revised state budget, oil revenue increases by 27 billion. kr, the rest is saved directly abroad. The party of progress accepts it. It's more surprising that the government requires the 5 billion. kr in increased income from taxes from the mainland must also go straight out of the country and be saved in the oil fund. We find that unreasonable. Is really the rest of the world the best place to place the surplus in the government budget coming from Norwegian taxpayers? No, the Progress Party believes. The space for action we have must be used for growth-promoting investment and tax relief. In a troubled economy that we now experience, it is important that we also strengthen our competitiveness. Today, many countries are undergoing horse health cures that hurt, but they have to go through it no matter how difficult it is, simply because countries have to balance their budgets. There are many of our competitors who are now experiencing a real wage drop and a great deal of pressure on reform. I do not decide whether it is right or wrong – I just notice that it happens. But when they're done, we're going to meet a much more competitive foreigner than what we're doing today. When Norwegian real wages continue to rise, while competitors are flat, or falling in wages, this will be difficult for us in a few years, if we do not take reasonable steps in the Norwegian economy at the same time. We're not going to use the revised budget for rematches. We accept that we lost some priorities last fall, and we base the government's budget when we now make revisions. But we want it to increase the action space by a total of 6 billion. kr, which is available, is actually used to strengthen Norwegian business and Norwegian economy. Then we don't spend any more oil money than it cost a fortune last year from the government. Therefore, it can not be irresponsible – even if the government will try to stick it on us. We have to make sure that industry and infrastructure come out better. As I said, good road investment yields returns to society. That will speed up the Progress Party. Those who think we should save the oil money today, rather than take them out in 10-15 years and then build roads, make a strategic bomb. The experience from 1998 to this day shows that if we had set out a given sum for road construction in 1998, they would have left them in the oil fund and taken them out today and invested in roads, we would have got 40 pst. less path for the same money, even with the return on the oil fund. That's not a good way to build the country. This is simply about the costs of some infrastructure construction. Costs of replacing lost land to rebuild societies are becoming more expensive the more one has built up society along the way. That is why we propose what Sigbjørn Johnsen, today's finance minister, himself called for four years ago: we propose in the revised budget to transform the State Roads Agency and the Railway Agency into state limited liability companies according to the Avinor model, add equity to them, and allow them to operate and develop road projects after ordering from landfill and government, but do so with a long-term perspective. It would have been doing something good for the country.
ParlaMint-NO_2012-06-15.ana.ud2276e431	Unfortunately, the President has to point out that neither the term ‘customs’ nor the term ‘tunnel’ are parliamentary forms of expression, and the forms of parliamentary expression also apply to the representative Ketil Solvik-Olsen. It's going to be line change.
ParlaMint-NO_2012-06-15.ana.ud2276e436	Can I make suggestions that the Progress Party is behind?
ParlaMint-NO_2012-06-15.ana.ud2276e441	Then the representative Ketil Solvik-Olsen addressed the proposals he referred to.
ParlaMint-NO_2012-06-15.ana.ud2276e444	I tried in my post to show that it's not what Solvik-Olsen here points to, the last 2 billion. This means that the economic policy of a country has confidence or not, but that something is happening over time, and that there is something rules-based around it. Let me do a few more examples to substantiate just this. In 2007, the government's oil money spending was 71 billion. kr. The Progress Party plus in its alternate budget of 22.9 billion. kr. In 2009, the government’s oil money usage had increased to 92 billion. kr. The progress part plus over 30 billion. kr. In 2011, the government’s oil money spending was 128 billion. kr estimated – a very serious financial crisis year. The progress part plus over 12 billion. kr. That's how I could still have. What's the point of this? Well, no matter what the rest of us offer, there's always a party representative who offers more. This is the policy of surrendering. That's what's dangerous if you're not able to follow the rule that everyone else has imposed on us. Then it can go wrong. This is what Solvik-Olsen has to explain to a greater extent than the techniques and budgetary techniques on which he spends all his speaking time.
ParlaMint-NO_2012-06-15.ana.ud2276e455	This would be a good idea if you wanted to understand what the Progress Party is saying. In many debates, the Chair of the Committee and the undersigned have tried to explain this to each other. I think that if the committee leader had gone on a little bit more economic courses and a little less AUF courses, the assumptions would have been a little bit better. What I have stressed to the committee chairman many times is that the Progress Party wants to separate consumption and investment. We're reducing what's state consumption, and then we're increasing what's state investment. By increasing government investment, growth in the Norwegian economy is increasing. So let's think about what the government does before we start cutting and adding itself. That's why there's a little difference between how much we add in each year. Some years we see that it's more fleshy to cut away from the public sector, the second year it's smaller. Just because the government's oil money usage has increased as much as it has, we have seen less need to spend more oil money than what we, for example. Some years ago — because there are greater opportunities for re-prioritisation. But there is no doubt that it makes sense to speed up some investments in infrastructure.
ParlaMint-NO_2012-06-15.ana.ud2276e464	Loans in the private economy have increased significantly in recent years. Still more traces that a living bubble is in the ant, the discussion goes on how long it has. The Party of Progress is clearly not willing to put in place any measures to prevent this. They say no to the requirements of the Financial Supervisory Authority for 15 p.m. equity, which is a concrete tool to stop the growth of loans and prevent Norwegian youth from ending up as a debt victim. The question is: does the Progress Party believe that an unregulated market will best prevent the housing bubble and other crises in the financial market?
ParlaMint-NO_2012-06-15.ana.ud2276e473	The answer to that is no, but let me explain it a little. The Progress Party is also concerned about the debt developments that we have seen under today's red-green government. The municipal sector now has much higher levels of indebtedness than before, and private households have the same. It's a bit because government expectations are created that municipalities can only finance loans, so they get interest compensation – so it's just getting started. It provides an artificial picture of good performance in the public sector – better than it is on the basis of. Private households enjoy low interest rates and take up loans. But on the requirements of the Financial Supervisory Authority for a maximum of 85 pst. the loan share is the solution to this, the Progress Party disagrees with. What we see is that the government says that people can only go to the House Bank, so you bypass this code. The second thing we see is that some young people take credit card loans to finance equity because the Financial Supervisory Authority does not regulate that market as well. Instead of having a good market, where everyone can enter the mortgage market, you get other types of loans. I don't think that's good.
ParlaMint-NO_2012-06-15.ana.ud2276e482	I'll follow up on the same theme. It is clear that when the Financial Supervisory Authority increases the requirement of equity to 15 p.m., which has a broad disintegration in the government parties, it will mean a real tightening. The representative of Solvik-Olsen knows better, he knows that it involves total real tightening. The representative of Solvik-Olsen also knows that what he says here about debt and similar glory, they have no suggestion to weaken the borrowing. My question is, is the Progress Party essentially disagree with the equity requirement, or is it the size, or what is it? Is this something that the state shouldn't interfere with?
ParlaMint-NO_2012-06-15.ana.ud2276e489	No, the Progress Party has been clear that we think the requirement that was before was good. Then we have supported the requirement of the Financial Supervisory Authority that when banks assess debt, they should assess all debt, not just housing debt. Credit card debt and the like must also be included. But pretending that if you just require 15 pst. equity instead of 10 pst., the housing market gets better and everyone manages to get in, we fundamentally disagree. It also shows the government when it says that the House Bank will receive increased funds, so that people can go beyond the requirements of the Financial Supervisory Authority for regular banks. Then you show that you think it's okay that people borrow 100 pst. But that's just not supposed to happen through a private bank. The second is that we see people financing equity with credit cards. It's a worse way than giving them a little more mortgage through the banks. The assumption is that the banks take the responsibility they have to take, namely to look at the individual's handling capacity. Current policies allow housing sharks with equity to ‘eat up’ young students without equity — for young people being forced into the rental market.
ParlaMint-NO_2012-06-15.ana.ud2276e496	The cord shift is over.
