ParlaMint-NO_2012-04-25.ana.ud1447e26	The representative, Mr Svendsen, will put forward two proposals for representatives.
ParlaMint-NO_2012-04-25.ana.ud1447e104	The effects come daily, and much of the effect is taken out, among other things. by the business community through the ambitious package the Minister for Industry has presented to the business community, where we will save the business for 5 billion. kr. We see it in the ether after the ether. But I need to say that here there's a need more than just to use big words, here you have to do a pretty basic job. Here it is important to plan well and create new systems. There has to be laws that allow us to apply the digital solutions, and it's incredibly important that we be able to find solutions that make the individual floors intertwine. We now use a lot of capacity to get programs and solutions that we can use across the individual floors. Digital mailbox is coming. We now have a new offer – before we presented the programme – to get up electronic identification and eID, and we have announced that we will come up with a legislative proposal to reverse the legislation.
ParlaMint-NO_2012-04-25.ana.ud1447e111	Four follow-up questions will be raised – first the representative Åge Starheim
ParlaMint-NO_2012-04-25.ana.ud1447e114	When one records that the municipalities are unable to operate for more sick homes because of a lack of resources, a question has to be asked why the Council of State has not already been able to implement the same ICT system as one has done in Denmark. This could save tens of billion dollars. In the city we see an increasing bureaucracy and increasing costs of an increasing bureaucracy. I hear the Council of State say that it is important that one should go to work thoroughly, and I ask myself, why should one reinvent the powder? Just take a trip to Denmark and copy their solutions – at least the best. Then there is a system that Denmark has put in place, and which Denmark has saved a huge amount of money, which, in turn, could flow to the public sector and vice versa to build more sick homes.
ParlaMint-NO_2012-04-25.ana.ud1447e121	I can assure the representative Starheim that we have been to Denmark several times. We are lucky to have Nordic neighbours that we can learn from, and Denmark is also in Norway to learn from what we do in Norway. Denmark has some solutions that are more advanced than what we have in Norway, but we are very, very close to Denmark in development. Denmark has made good programmes for which they expect them to have significant efficiency gains, but they have not begun to make much more savings than what we do in Norway. It is not that we can produce a programme from Denmark and use it in Norway. There are municipalities and state enterprises that have ICT systems today that need to be adapted in Norway. It's been a long time since we've created ICT systems that fit each sector. What we're doing now is grabbing a grip to get more control so that we can develop our ICT systems so they're better connected. This applies internally in the country, and I am also very positive about getting the municipalities to do that work.
ParlaMint-NO_2012-04-25.ana.ud1447e128	Lars Myraune – for follow-up questions.
ParlaMint-NO_2012-04-25.ana.ud1447e131	The Council of State said in its answer to the main question that it does not keep up with big words, and we agree with that. Divi, which is a department under the Council of State, had a survey last year in which they concluded that there are four things that make it difficult to carry out a comprehensive ICT bet. The lack of political pressure, lack of legislative changes, cross-border money – i.e. money for the project – and organisational and technological coordination. The Council of State just said that it is political pressure, and we agree that the new digitisation programme is positive. Governments mentioned legislative changes, but then there was money and coordination. I guess we've seen that coordination is the most difficult part. What are the plans and deadlines for the implementation of this work and will it be coordinated with the need for action in the ICT sector in the private sector?
ParlaMint-NO_2012-04-25.ana.ud1447e143	As I said in my reply to the previous questioner, when it comes to governance, there is a need to take a few more governance measures. That's why we in the digitisation program warn that we need more control. There will be cross-ministerial governance. In addition, the seven largest underlying agencies, such as the Brønn Island Health Registers, the Tax Directorate, the Health Directorate, Nav and others, have cooperated with a good deal of exchanges to work with standards where cooperation will be formalised and greater opportunities to coordinate common infrastructure related to the major enterprises with the largest data sets. That's one of the most important things we do. Then there will be appropriations in the government budgets in the future. But as I said, it is developing a new system for Nav, for example, a comprehensive work, which is not just deciding to do – it has to be developed. That's what we're doing.
ParlaMint-NO_2012-04-25.ana.ud1447e150	Geir Jørgen Bekkevold – for follow-up questions.
ParlaMint-NO_2012-04-25.ana.ud1447e153	This question may be addressed to the Minister of Industry, but you may agree on who would like to answer. Technological development offers enormous opportunities, but also significant challenges. More and more digitisation is taking place, and large parts of our lives are happening and are being found on portals and in databases around the world. It is therefore essential that safety be maintained in high-seat areas when developing systems such as: will take care of our most personal data. For approx. A month ago, the whole of Norway was able to gain insight into Altinn-Kenneth’s most private personal data due to a failure of a data system in Altinn. After the altin problems a little over a year ago, the Secretary of State of the Ministry of Industry and Trade said to NA24: "We cannot settle down on the fact that Altin does not tolerate much progress, and we will go through very carefully what has not worked today so that this situation does not arise again." Viewed in the light of the problems with Altinn and that it has deteriorated considerably this year compared to last year: Does the Government believe that the government has done a good enough job with this review?
ParlaMint-NO_2012-04-25.ana.ud1447e164	It is enough that the representative has to decide to which Council of State the representative questions. I don't think we should introduce a practice in which the state councils who want to do so respond. So I think the representative has to decide who he wants to put the question to.
ParlaMint-NO_2012-04-25.ana.ud1447e167	Fine if the Minister of Industry will answer.
ParlaMint-NO_2012-04-25.ana.ud1447e172	It was to the Council of State Giske.
ParlaMint-NO_2012-04-25.ana.ud1447e175	At least I'm glad that it's the theme of one of the state councils present, because this is a question of tax settlement, which is really under the finance minister's control. But my department is responsible for the Brønnøsund registers, which operate the Altinn. What the questioner says is quite correct: there were major problems last year. Then there were capacity problems, and the systems of the Altin did not tolerate all of the Northmen who at the same time wanted to get insight into their equation. This was done in a number of ways to improve this year, and after what we have experienced, capacity has largely gone well. On the other hand, there was another technological error, which meant that when someone logged in, the image of this Altinn-Kenneth was back, and private information was made available to others. It's totally unacceptable. We have been in close dialogue with Brønnøysund about this, and they also shut down the whole system in order to be sure that personal data did not deviate. But of course this is something that is not going to happen, and that we have to make sure is not happening again.
ParlaMint-NO_2012-04-25.ana.ud1447e184	Step Skei Grande – to the last follow-up question.
ParlaMint-NO_2012-04-25.ana.ud1447e187	I also have a question for one of the state councils that is here – and not for those who hold press conferences and empty the press shed at the same time as we have the questionnaire – and it's for the Council of State Aasrud. Having an effective state vis-à-vis effective municipalities is important for our well-being. This government has increased the number of bureaucratic demands towards municipalities, increased reporting and increased all that municipalities are required to report back. 1 pst. savings in red tape and red tape requirements for municipalities lead to 1 billion. kr more in welfare – 1 pst. less bureaucracy in municipalities is 1 billion. kr more in welfare that can be given to citizens. So my question to the government council is: it's fine with swollen plans that you don't know exactly how to get the municipalities involved. However, what measures do the Council of State intend to take to improve the efficiency of the government's attitude towards municipalities, the government's demands for municipalities, all the new reporting requirements of the government towards municipalities, and how many statutory tasks to add to each municipality – making it less well-being for each individual citizen?
ParlaMint-NO_2012-04-25.ana.ud1447e196	The relationship between the state and the municipality is, of course, a big message of its own, which is here for treatment, and one of the things we're warning in that big news is that we're going to look at the role of the directorates. I think that's important. I agree that we should think carefully about every time we ask for new reporting requirements from the local government sector. There, I think, we have a common responsibility – those that are in this room as usual, and we who are only in between – too often it is that there are questions about the facts from the local government sector. I have also experienced that it is a certain surprise when we are unable to answer that fact. So maybe we all have to go in ourselves and have a little less expectation that we can get information about everything we want from the local government sector. Of course, the government will continue to work on this. Digitalisation can be one way of helping us to operate more effectively in this area too, because more transparency and transparency can be gained in the treatment process.
ParlaMint-NO_2012-04-25.ana.ud1447e203	Let's go to the next main question.
ParlaMint-NO_2012-04-25.ana.ud1447e207	Let me first say that I record that for the second time in three weeks, the government is demonstrating its arrogance towards the Stortinget by organising a press conference on a major matter while we resolve the spontaneous questioning. I ask the President to take this up with the government. So to the question, which is to the Minister of Industry present: The Varden newspaper writes in the leadership position today, after the public meeting at Her Island last night that finally confirms that thousands of direct jobs are being lost, that there is a reminder of the brutality of international competition – and that is it. Every day, Norwegian companies have to go out and fight against international companies, in which case Norwegian companies need competitive framework conditions on their own rather than a backpack with strange, burdensome conditions in terms of taxes, regulations and charges in addition to a high level of costs. In addition, we need to invest in knowledge and infrastructure for a better competitiveness in the future. We should be aware that the level of investment in Norway, excluding oil and gas – according to an OECD report that has just arrived – is now in line with Greece, and we are beginning to see the results of this weakening competitiveness outside oil. No one is closer to it than the Minister of Industry, who has to travel around the places affected, without particular material comfort in the luggage. My question is: is the Minister of Industry concerned about our competitiveness today internationally, and what will he do to make it better tomorrow?
ParlaMint-NO_2012-04-25.ana.ud1447e216	First I have to say that I share the grief that REC did not see the opportunity to move on – not only in Herøya, but also in Glomfjord and Narvik. It's very bad that a company that only a few years ago was so viable, which had so much value and so many employees, now doesn't see it profitable to continue its operations. It has little to do with Norwegian framework conditions. It has to do with the fact that the price level of solar cells in the world has completely collapsed. It has to do with the fact that some countries have cut heavily in their support systems for the installation of solar panels, and it has among other things. to deal with China coming on the market with very cheap products. This is no comfort to those who lose their jobs, and we have to do everything we can to create new jobs and ensure that those who work in the REC have the opportunity to participate in the growth of employment that is taking place. However, from time to time there are changes in international markets that also affect Norwegian companies. The world has been through one of the toughest crises since the war. Norway has come out of that crisis — at least the first stage of it — with the lowest unemployment rate in Europe. In addition, over the past six to seven years, some 250,000 more jobs have been created in Norway. Two thirds of them are in the private sector. As Minister of Economic Affairs, I travel far more often to companies that expand the number of employees, who invest and create more jobs, than to businesses that lay down, even those that are laid down, often prioritize in the travel business just to be present for those who lose their jobs. So the general picture is a little bit different than what the representative describes. It is a description of a country that is going very well and that has low unemployment and high employment growth.
ParlaMint-NO_2012-04-25.ana.ud1447e225	I just want to remind the Minister of Industry that the starting point for the question was not the particular situation in the PV industry, but the Varden reminder of how brutal international competition is. I did not do any black paint on the Norwegian situation. What's my question is what you'll do later. With regard to the description of creating new jobs, I would also like to remind the Minister of Industry that it is the level of employment that is crucial, and it has not been particularly increasing in recent years. The Minister of Economic Affairs arrested himself during the 2005 election campaign at the time Minister of Economic Affairs Børge Brende, whom he called a bluffmaker when he used the figures and not the level of employment. So I repeat my question for two reasons – firstly because it is important, and secondly because it was not answered: Is the Minister of Industry concerned about competitiveness today, and what will he do to make it better tomorrow?
ParlaMint-NO_2012-04-25.ana.ud1447e232	I think every Minister of Industry is ever concerned about Norwegian competitiveness. That's the job of a business minister. But if you look at the different industries, it's a very different picture. The oil and gas industries go better than ever, not only because of high investment in Norway, but also because our companies are so excellent that they win market shares around the world. So it's part of the other industry that's going well, and then there's a third that's struggling, among other things. due to the international financial crisis and lower demand. We will continue to work on this, including: by presenting a new paper on Innovation Norway and SIVA, some of the most important tools in our toolbox, by presenting a new export finance mechanism, which ensures good funding for those who win contracts abroad, and many other measures. But the general picture in Norway is that we are doing better than any other European country. We have many times as much employment growth now as we had under the Bondevik government. A great many companies are doing very well, including in an international tough competition.
ParlaMint-NO_2012-04-25.ana.ud1447e237	There will be four follow-up questions – first Jan Tore Sanner.
ParlaMint-NO_2012-04-25.ana.ud1447e240	I record that the Minister of Industry again boasts of the growth of employment. We've heard that before. At the same time, Svein Flechten demonstrated that the employment rate, i.e. the employment rate, is exactly the same today as it was when the Stoltenberg II government came into operation in 2005. In the election campaign in 2005, we heard from opposition politicians Trond Giske that Minister of Industry Børge Burnde bluffed when he boasted of how many jobs had been created and did not talk about the employment rate. Does the Minister of Industry recognise that the proportion employed, i.e. the employment rate, is exactly the same today as it was when Bondevik II, the Centre-Right Government, went off in October 2005?
ParlaMint-NO_2012-04-25.ana.ud1447e245	The President will only comment that if other politicians are usually accused of being unparliamentary, the term 'bluffing' is used. Now the representative probably used it as a quote. The President will say so in the hope that the President, to the extent that the then representative Giske said from the pulpit of the Stortinge, said that the then president was in charge of it. [[Laughter]]
ParlaMint-NO_2012-04-25.ana.ud1447e248	It was a retrospectively correct. I don't know if that's opening for it. So during the Bondevik administration we got approx. 23,000 more jobs in Norway in four years. Now we have over 250,000 more jobs in six years, and that in the toughest crisis in Europe. It is not that when France, Spain, Italy and others have high unemployment, it is due to a lack of people. There are a lot of people in these countries. Nevertheless, there is a great deal of unemployment. So the fact that there has been a large population growth in Norway is no guarantee that there will be many more jobs. There could as well be greater unemployment by importing a lot of labour, or youth schools helping to increase the number of workers. So the creation of over 250,000 more jobs – two thirds in the private sector – must at least guarantee that industrial policy is not completely unsuccessful in Norway, so when Europe has – what is it – 24 million unemployed. That's my main score.
ParlaMint-NO_2012-04-25.ana.ud1447e255	Per Roar Bredvold – for follow-up questions.
ParlaMint-NO_2012-04-25.ana.ud1447e258	There is no doubt that large parts of business outside oil-related activities are struggling. Since 2008, public employment has seen steady growth in the number of persons employed, while the private sector is slightly below the 2008 figures. A good example of this development can be the company Jordan in my home country. A few years ago, there were almost 300 people working here. There were constant visits by politicians – among others. our current Prime Minister, etc. – who was sung in glory. Now it's approx. 40 people again, and visits by those or other politicians there are not many of them, if at all there are any. A toolbox has been mentioned in the past to help business. It may appear that it has not been put into service or that the tool does not fit. As a matter of urgency, the Council of State, with its capacity in a majority body, will contribute to strengthening the framework conditions in the context of competitive business, so as to avoid the flagging out of many companies, and also to strengthen their activities, including: through a simpler regulation and lower taxes, as the Progress Party wishes?
ParlaMint-NO_2012-04-25.ana.ud1447e265	On that question I can answer an unconditional yes. We need to come up with more and more tools, and use them more and more, to facilitate Norwegian nutrition development. Because even if things are going well, very well in Norway compared to all the other countries – we have to say full employment – we should be aware that there is a tough international competition, and that the emerging economies in particular not only have a lot of workforce, but also have after each higher level of education and competition in more and more areas. Simplifying is just some of what we're doing. As the first government, we have set a very concrete goal: we need to simplify the world of businesses by 10 billion. kr in the year before 2016. We're already removing the audit obligation for small companies, that's the biggest simplification measure ever. We have reduced the capital requirement, from NOK 100000 to NOK 30000 for the companies. It now contributes to a record growth in ASs. We engage in digitisation of various reports and services, including: Through the ALTIN, and we're going to do a lot more, especially to simplify the world for small businesses.
ParlaMint-NO_2012-04-25.ana.ud1447e273	Rigmor Andersen Eide – for follow-up questions.
ParlaMint-NO_2012-04-25.ana.ud1447e276	An increasing number of companies are going bankrupt or moving abroad because Norway is losing competitiveness. Yesterday's closure of the REC in Heresy adds itself to the list of a number of closures and lay-offs in industry in recent years. We know that this closure on Her Islanda both goes beyond the 500-600 associated with the company, and that it has major ring-effects throughout Grenland. My question to the Council of State is: How does the Council of State follow up the communities affected by the closure of the corner stone company?
ParlaMint-NO_2012-04-25.ana.ud1447e285	It's here from the opposition -- all the time -- two questions in one. On the one hand, it is quite right that where a corner stone company is shut down, it is very serious for those affected. It is important that Nav, Innovation Norway and the County Council — all who can contribute — help those who lose their jobs to get into new work. Some find work very quickly, for others take longer, and it is always tough party for the oldest workers. So it's an important job the public systems can contribute here. But then there is a general picture of Norwegian industry going bad in these questions. We have to stop talking Norwegian industry down, because Norwegian industry is doing very well. We have as many jobs in industry and mining today as we had just before the financial crisis. So we have come through the financial crisis not only with solid growth in total employment but also with stable employment in industry, which is the hardest hit by the financial crisis. If we talk the industry down, we also send a signal to young people who choose education, that there is no sense. It's a very wrong signal.
ParlaMint-NO_2012-04-25.ana.ud1447e292	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2012-04-25.ana.ud1447e295	I hear what the Council of State is answering the representative Fleet about the general picture. But the left is concerned that developments are going in the wrong direction. The figures are clear: the proportion of the population involved in the founding and start-up of new enterprises has fallen, from 9.7 to 6.9 pst. In the past, Norway was active in an international context — now we are actually bypassed by countries such as the Czech Republic and Greece. In the latest version of Innovation Union Scoreboard, published on 7 February this year, Norway is in a 17th place in Europe when the capacity for innovation and innovation is compared. While in 2008 we had almost 5,000 of both gas companies and growth companies in Norway, in 2011, the figure is more than halved. So my question to the Council of State is, is the Minister of Industry as concerned as the Left about the wrong direction of development? And in that case, what new grip will the Minister of Industry take?
ParlaMint-NO_2012-04-25.ana.ud1447e304	I am satisfied with the state of Norway, but not satisfied with all the developments. However, there are many statistics: the World Bank recently produced a statistics showing that Norway has climbed from a seventh place to a sixth place across the world where it is best to do business. It's important for us to facilitate innovation, because we know that some companies are shutting down, jobs are disappearing, and we have to create new ones. That's why we've implemented the two biggest simplification measures ever for people starting businesses. The share capital requirement is reduced from NOK 100000 to NOK 30000, making it much easier to start an AS, and in particular to remove the audit obligation, which contributes to a location between 2 and 3 billion. ............................................................................................................................................................................................................................................................... If an enterprise saves NOK 40,000, it goes straight to the bottom line. There's quite a lot of turnover to get such an extra bonus on the bottom line. So this means a lot to small companies, and makes it easier for entrepreneurs and entrepreneurs to get started with their projects and new ideas.
ParlaMint-NO_2012-04-25.ana.ud1447e311	Let's go to the next main question.
ParlaMint-NO_2012-04-25.ana.ud1447e314	My question goes to the minister of the church. The Minister of the Church has been at the Church Meeting, and I think she there noticed that there was a great commitment to the training reform – and not least a lack of follow-up this fiscal year of what was supposed to be a stepping-up plan. The reform of training is a plan adopted by an almost unanimous increase – minus one party – in 2003. It was then said that this training of faith should ensure that in the Church of Norway and in other religious and life-view societies, ‘stimulate the building of one’s own identity and understanding of one’s own culture and traditions in a society where the elements of different religious and life-view societies are becoming more and more rich. By nurturing young people who are safe in their identity, there is a great deal of respect and tolerance in meeting those who have a different belief or outlook on life’. Many people have believed that the government would follow up, as it has been followed up in the past, with a gradual escalation, so that several congregations could participate in this religious training. If you have followed this a little bit, you will see what success the training of faith has been in both the Norwegian Church and in other religious and life views. So my questions are, what is the reason why this has been down-prioritized by the government in 2012? And what can we expect, so that you can take back what is lost, and what you – rightly – could expect from religious communities?
ParlaMint-NO_2012-04-25.ana.ud1447e327	I fully agree with the questioner that the reform of faith training has been a success. We have also evaluated the measures being taken, and it shows great activity — and many children and young people receive a good offer through the reform of faith training. When Stortinget decided to introduce the CPR in 2003, it was said that a reform would take place over a period of five to ten years, reflecting the economic situation. Today, we've committed 204 million. SEK for the training reform, and there is something left before the target figure of 250 million. kr is satisfied. The government has the intention that we should follow up the religious training reform, but as I have said both in the press release last year and to the Council of Churches, it is possible that we will have to spend one year longer before we are in the goal of the reform as the intention was, because we had a tight budget and prioritised other things in health and care and within the church that we thought were more important than what we were able to do in the reform of faith education. But our attitude to the reform of faith training is firm: it will be implemented, but possibly one year later than what was intended when the plan was presented.
ParlaMint-NO_2012-04-25.ana.ud1447e334	I'll come to the follow-up. I just wanted to point out in the introduction that the government has made sure that there is virtually no one present and follow this. In addition, the State Council in question, which was supposed to answer a question in the ordinary Questionnaire – a question that has already been raised – informed Stortinget yesterday that he could not be present in Stortinget today. Now we get the reason. We're going back to this from our party. Then turn to the supplementary question. Yeah, she's now saying it's an intention. I've gone to the department's own websites. It states that the objective is to achieve this over a period of 10 years and to step up appropriations for the 250 million reform. kr. According to the decision, this was to be in 2003 kroner, so today the amount is completely different. My question is, will we get something revised, or will we get the whole pot to next year?
ParlaMint-NO_2012-04-25.ana.ud1447e343	The proposals for appropriations that come into revision and in future budgets will be presented by the government when we present the revisions and budgets. But the government insists that we have the intention of fulfilling the faith training reform. As I have said, it may take another year because we had a budget where we chose to give a different priority, but I stand by the promise given that we will carry out the faith training reform in the municipalities that remain.
ParlaMint-NO_2012-04-25.ana.ud1447e349	Two follow-up questions will be raised – first Geir Jørgen Bekkevold.
ParlaMint-NO_2012-04-25.ana.ud1447e352	Many communities have received religious training and started many exciting and good projects. I also believe many communities have experienced that the means of training have helped to motivate the community. At the same time, there has been a class distinction between the communities that have been given access to religious training materials and those that have not received it and that are awaiting it. We also see that the means of faith training are quite different between the dioceses. I wonder what the council will do to balance this class distinction that has arisen between those who have been given, and those who probably have to wait quite a long time.
ParlaMint-NO_2012-04-25.ana.ud1447e359	The way to phase in the faith training reform was adopted in a government where I think the representative Becquerad had more influence over it than I have. It was decided to take a congregation rather than to give everyone an equal amount and/or increase the amount year by year. We have followed up that system in our time. So it's the episcopal councils that follow up and make recommendations to us about what congregations are going on, and we've been faithful to that. We've been following the advice we've been given, and we're going to do that in the future. The class division that has arisen had to arise when one decided to phase in the reform of belief training in the way one did.
ParlaMint-NO_2012-04-25.ana.ud1447e364	Svein Harberg – for follow-up questions.
ParlaMint-NO_2012-04-25.ana.ud1447e367	The Church was given a mission from the Stortinget, they were given a frame, and a substantial part of this was a stepping up towards a sum. The church has taken the ball – that's very good. They've made plans, they've stepped up the business, they've expanded the business, and not least they've made a commitment to what's to come, and they've hired people. When the escalation then dries, the Church has great consequences in terms of the need to reverse or suspend the plans in place, and that there is no longer any basis for funding employees. This creates an unpredictable and extremely difficult situation for the Church also as an employer. Does the Council of State recognize the responsibility she has for the Church to come into this difficult situation? How does she relieve the Church of that challenge?
ParlaMint-NO_2012-04-25.ana.ud1447e374	I don't understand that issue, because that is the way you grant money to the congregation, and if the communities then choose to do employment before you have been given a grant from Stortinget, it is not a responsibility I can assume. It is known that the reform of faith training is phased in in the way you do. So it's like waiting to do the jobs you're going to do, until you come up with the funding mechanism. If you do not take a risk even as I believe it is not right that a government and a large majority take responsibility for it.
ParlaMint-NO_2012-04-25.ana.ud1447e379	Let's move on to the next main question.
ParlaMint-NO_2012-04-25.ana.ud1447e382	My question goes to the Minister of Industry. Since 2003, there has been a requirement for allowances in ASA companies. This has resulted in a large number of companies switching ownership to AS. Today's Business on Monday we could read that the new Minister for Gender Equality wants to extend the quota requirement to other companies as well. It's no less than state over-management of businesses and business, but there's nothing new from this government. We look at the same zeal to steer people's everyday lives in a number of contexts – whether it's a father's quota, mother's quota, women's quota into politics, or proposals for women's quota into theaters and movies, as the Council of State is well aware. It is no surprise that the Progress Party is opposed to state control in most areas. Some of the worst is when over-management is based on sex, as it does in this case. As a woman, I am provoked by the fact that the sitting government views women as weak individuals who need the help of the state to get up and down. This in itself is discriminatory. Let me take an example that I'm sure the Minister of Industry is well aware of. Trondheim Labour Party has probably chosen its best people as directors. There are – at least in this case – obviously more capable women than capable men in the Trondheim Labour Party. So the Minister of Economic Affairs' own local team has only 33 p.m. men in their rule. One might then ask, what qualified and competent women should give up space for the benefit of a less qualified man, so that this balance is balanced? Rather, the Minister of Industry should spend his time imagining real measures to promote business development, including combating the form field, which stifles small and medium-sized enterprises. My question is: Will the Minister for Economic Affairs reject Minister for Gender Equality No Marte Thorkildsen's new outing to impose on new businesses or AS sex quotas?
ParlaMint-NO_2012-04-25.ana.ud1447e399	One must not have read much Norwegian or international history in order to establish that women have been given the opportunity to do the same as men, have been given the opportunity to take top positions both in politics, in business and in academia, to become more equal at home – voting, for that matter – has been a tough fight, which has been going on for many decades. The party of progress has taken a very small part of that fight. There have been others who have fought this – in all areas. It will be interesting to see how the four bourgeois parties will agree in this area – as in very many other areas. We in the government believe that women are strongly underrepresented in many sectors, not because women lack talent, progress or motivation. This is due, inter alia, to structural systems of discrimination. that men often see men, motivate men, and recruit men. It is well known from research that this is the case, not only in politics, but also in business and in academia. When I was Minister of Education, we calculated that if we were to wait for the natural development of the number of professors who were women, it would take over 100 years to reach 50/50. We thought that was a little too long. We also thought so when it came to business. That is why we supported it at the time when a civil government proposed to introduce quota rules for the ASAs. This has contributed to the emergence of more women in the business world. It's good for women because they get the same opportunities as men to make a career in business. But that's good for Norway too, because that means we're using the full potential of talent that exists in a country. It's an incredible waste of 50 pst. the population is to be used less than the other 50 pst, if we have the assumption that the talent, the momentum and the ability and the willingness to work are roughly equal between women and men. I think so, and then it's important to use women too. So we're going to have a discussion if we're going to expand this to the very largest AS. It's never going to be relevant to introduce this for all of the ASs. If we're going to do that, we're going to do it for the biggest companies.
ParlaMint-NO_2012-04-25.ana.ud1447e412	As usual, the Council of State does not answer the question — it only refers to many historical figures. I want to remind the Council of State that with regard to the quotaing of women into politics – and the Labour Party itself has a system of 50/50 distribution of women and men on its lists – results and reports from the 2011 elections show that there are actually no more women in politics. If the Council of State looks around in its own party, he sees that there are no more women in Norway who have leading positions, or are rapporteurs or rapporteurs. The question here is that when you are going to impose quotas on ASs, there is discrimination in itself – women cannot get these positions because of quality and knowledge, but must be allocated. Does the Minister for Economic Affairs think that women in business or elsewhere are less qualified than men, or does he think that women and men are equal, and therefore, in a logical sense, quotaing is completely meaningless?
