ParlaMint-NO_2012-10-10.ana.ud2057e26	The representative Dagfinn Højbrätt, who has been on leave, has again taken the seat.
ParlaMint-NO_2012-10-10.ana.ud2057e117	The government has an offensive approach to access to the market for Norwegian seafood – let there be no doubt about it – and I believe that we have done relatively well. Last year, seafood was exported for 53 billion dollars. Norwegian kroner, which indicates that many people have done a good job. Of course, we should continue this work, both in terms of the EU and many other markets. We are in a situation – as it is described – that is demanding, simply because of financial turmoil around the world, and not least because consumers have less to do with food. When we relate it to the issue of ostetolls, I was of course involved in those discussions, but I just want to remind you – when it is said that these are measures to close cheeses out of Norway – that the duty-free quota on hard oysters is larger than the import of hard oysters today. So it's a wrong description of that measure. The measure is based on Norwegian agriculture, and it goes well with Norwegian seafood.
ParlaMint-NO_2012-10-10.ana.ud2057e124	Line Henriette Hemdal – to the last follow-up question.
ParlaMint-NO_2012-10-10.ana.ud2057e127	I think that this debate seems to me to say that it is common for a country to have both offensive and defensive policies, or interests, in terms of trade policy. The fisheries and aquaculture industry has been an important industry in Norway for generations; it has had a major impact on our communities along the coast and on the well-being of the country – 35 billion exports. kr in 2011 – in addition to the fact that there is a support bar in very many communities. We're exporting to 140 countries. The Council of State told the representative, Tåldal, that she was working late and early with fisheries policy and the fishing industry. My question to the Council of State is: What does the Council of State do to secure the already established international markets for the Norwegian fisheries and aquaculture industry and also to provide new ones?
ParlaMint-NO_2012-10-10.ana.ud2057e134	I fully agree with the description of Norwegian policy in this area. We have both an offensive and a defensive policy, and that is quite common – as I said, the European Union also has what I described as having 2 pst. customs duties on fresh salmon fillet, while it is 13 pst. When it's smoked, the Council of State said here 17 pst. But the right number is 13 pst. They are protecting their industry – we will continue to do so in this country, and that is necessary. Of course, in terms of ensuring good market access for Norwegian seafood, there are several areas of work. There I have a team of state councillors with: I have the Minister of Economic Affairs and Trade and the Minister of Foreign Affairs. We are working towards the EU, of course, when we have renegotiations of the EEA Agreement to improve it. The last time was the shrimp that was given priority: we increased the duty-free quota on shrimp, which was then important. That's how we want to work all the time. Now the prime minister of Japan, and I'm going to be with him there, and I'm going to Brazil and Chile, which are also important seafood markets. We work around the world, but the most important thing is the industry's job in terms of product development and meeting the market.
ParlaMint-NO_2012-10-10.ana.ud2057e144	Let's move on to the next main question.
ParlaMint-NO_2012-10-10.ana.ud2057e147	I would like to continue to ask the Council of State Berg-Hansen about the customs matter. She fails to answer the representative Jan Tore Sanner whether she is really concerned, along with the fishing industry. When Berg-Hansen was the director of the FHL – the regional association of the fisheries and aquaculture industry – not so many years ago, she felt that protection measures against salmon were purely protectionism. What is the big thing about this case is not the size of the ostetoll and how it works, but the signals sent to our trading partners in Europe. That's why reactions are coming, that's why the fishing industry is concerned, and that's why Reidar Nilsen speaks as strongly as he does. He is concerned on behalf of a fishing industry that – quite rightly, as the Council of State said in its last reply – has succeeded and that is offensive and all of this, it is easy to join. But the question here today and in this case is whether the Council shares the concern that – I get to say – her own industry now has. It has been rejected by the Minister of Agriculture, and the government to the extent, as unfounded concerns, and that it is almost something like the fishing industry — and right, it has been said — drawing up as scares. But for an industry that has to be concerned about its own business, which has to try to look into the future, this is a perfectly legitimate concern. My first question is: what does the Council of State, Berg-Hansen, say to the fishing industry, who brings these concerns to her? Does she also answer that concerns are groundless?
ParlaMint-NO_2012-10-10.ana.ud2057e156	The answer to the question of whether I am concerned is no, I am not concerned about this matter. I am not, simply because we have good legislation here. Firstly, we have WTO legislation that is very important to us as a maritime nation, but we also have an EEA agreement that regulates the issues of customs duties on maritime food into the EU. It is a commitment that also obliges the EU, so they cannot simply change that customs duty overnight. We are going to negotiate that, and the next round of negotiations for duty-free allowances is in 2013, for the period after April 2014. Then we get back to those customs questions. But I have to admit that I have other areas I'm much more concerned about, and that's what's happening outside the world related to the economic turmoil. That's why we're worried about, because we're addicted to some of those countries. I can mention Spain, Portugal and Italy, which is an important market for Norwegian seafood. There I don't think there's any customs on cheese they're worried about, it's more like having money to buy food. For so long it has been reasonably good, I have to say, but this is going up a discussion in Norway based on relatively small things compared to what at least I feel the EU is busy about. I just want to refer to an interview situation that Commissioner Damanaki had when she was visiting me in Norway. Concerned that the salmon price was low, she was asked if it could result in EU action. Then we talked about the dumping ghost, with which Norwegian salmon industry is known. Fisheries Commissioner Damanaki replied that, on the contrary, they wanted more quality seafood from Norway, not less.
ParlaMint-NO_2012-10-10.ana.ud2057e163	Svein Fleet – for follow-up questions.
ParlaMint-NO_2012-10-10.ana.ud2057e166	Governments use the crisis in Europe as an example. But does she not see that it is precisely the one that not only wants to reduce purchasing power in Europe, but that they also consider Norway from its difficult situation to our good situation and wonder what in the world we are doing with? I also know the kiss in this, but this is not juss; this is politics; this is solidarity; this is how Norway behaves towards other states. And then I have to ask the Minister for Fisheries: there have to be talks at EU level. The Minister of Agriculture will also go down to discuss this matter at the beginning of November. Will the Council of State continue to sit still, or will she send good advice to the Minister of Agriculture to speak well about the Norwegian fishing industry and tell them that you are concerned, and then deal with the matter?
ParlaMint-NO_2012-10-10.ana.ud2057e173	When a term such as continuing to sit still is used, I am absolutely not familiar with that description of my working day. But don't do that. What this is about here is that we are constantly going to have an active policy for Norwegian seafood domestically – in order to strengthen their competitiveness in this rather troubled world in which they live. But then, of course, it's also about products, about product development, and the industry also has to contribute to producing products that buyers are both interested in and willing to pay a little extra before. We depend on that in Norwegian seafood. I want to use absolutely all the opportunities I have — I am often in Brussels and have good contact with my colleague there — to help increase seafood consumption in the EU and, for that matter, in other areas of the world. We agree that this is an important job, and I will continue to do it.
ParlaMint-NO_2012-10-10.ana.ud2057e180	There will be two follow-up questions – first Anne Karin Olli.
ParlaMint-NO_2012-10-10.ana.ud2057e184	When I hear the answers from the Minister for Fisheries, it almost sounds as if this is a cause of joy to the fishing industry. But last year we exported seafood for 53 billion. kr, and at the same time we imported agricultural products for about 30 billion. kr. As a net exporter of food, it is in Norway’s interest to have increased international trade in food. In an interview with the newspaper Nordlys on 16 April 2005 – before she had become Minister for Fisheries – the Council of State stated that ‘I am a member of free trade’. Has the Minister for Fisheries abandoned her principles when she joined the government?
ParlaMint-NO_2012-10-10.ana.ud2057e191	No, I am an absolute supporter of free trade and good market access for Norwegian seafood, but at the same time I live in a place where I see that without an up-and-coming agriculture, it becomes quite boisterous to be those who work in the seafood industry. We are interdependent around each other in the districts, and I am very much in favour of having a good, uphill agriculture in this country. So what we're talking about here is a few products. It's especially the cheese that's been a theme, but the duty-free quota is larger than what's being imported today. I believe that both consumers in Norway and not least those who want to sell their cheese to Norway are able to live well. I'm proud to be a member of a government that has an active agricultural policy, and I hope that the districts will continue to experience it. And I'm proud of the job we do in terms of Norwegian seafood – which is a great story – along with the industry.
ParlaMint-NO_2012-10-10.ana.ud2057e200	Torgeir Treldal – for follow-up questions.
ParlaMint-NO_2012-10-10.ana.ud2057e203	I record that up to several questions have been asked to the Council of State, but she does not respond, and that is probably because she cannot answer. But I'll give her an opportunity. She says, among other things: There is no problem in obtaining restrictions from Europe where customs duties have been set today. Yes, those customs rates can change if you choose to do it that way. So the council says a thing that she's right in. She says the market is bad. Yes, the market is poor now, especially for white fish, but is it the right time to increase the risk of the market getting even worse — and blocking? That's what we're asking the Council of State, and that's what she's not answering. So I pray, with all due respect, that the Council of State will respond to this. So I would like to ask the Council of State if she is actually willing to risk large parts of the export – because this is the second largest export we have in Norway – because of small, insignificant rates of customs duties on beef and other things?
ParlaMint-NO_2012-10-10.ana.ud2057e212	It is difficult to debate when you are obviously on different planets, when you use words like ‘risking’ the export of Norwegian seafood. I do not understand how it is possible to use that kind of word in this debate, simply because what has been done is within the WTO legislation. We have WTO legislation – which this government has also been willing to use if necessary – and we have won. Yes, customs rates can be changed, but they cannot be changed unilaterally, it must happen in a dialogue with Norway and after negotiations with Norway, and then we have to sit and discuss. We have both increased duty-free allowances on shrimps and changed customs duties. It is clear that my goal, and the goal of the government, is to reduce the customs duties on sensitive products, because essentially it is free trade, and very low customs duties on fish entering the EU – and for that matter to other parts of the world. I don't know what else to say to explain the situation...
ParlaMint-NO_2012-10-10.ana.ud2057e221	It is also not possible to say anything much more, because the time has come. Then the Storting goes on to the next main question.
ParlaMint-NO_2012-10-10.ana.ud2057e226	I'm going to talk about human capital and not about fish or customs, so I want the Minister of Knowledge to answer my question. The teacher is our most important resource. I think we all remember the good teachers – and perhaps, unfortunately, the bad ones too – best when we think back on our own schooling. The quality in school I think depends on the quality we have of the teachers. I think everyone here in this room would say that our children deserve the best school with the world's best teachers, and then it's of course for us in the Christian People's Party that it's going to apply to the whole country. Getting up-to-date knowledge through good and ambitious continuing training schemes must be accessible to teachers throughout the country. In a summary from the Education Directorate of the reports on continuing education and training in 2012, it appears that geography is largely the determining factor for continuing education and training. «Geography constitutes a restriction affecting the completion of continuing education of the school owners», the report states. They relate it to travel time and travel expenses – that this represents such a large part of the cost that it is not used. They also say that ‘two–three times as much money as is available’. At the same time, we know that many district councils are perhaps the ones that have the greatest difficulty in getting access to good and qualified teachers. Most of the counties also indicate that ‘school owners are concerned that the means for implementing ‘post-graduate education in priority areas’ are reduced from 2011 to 2012.’ For the Christian People's Party, the school is the most important common arena in society, and then a few have to have the same opportunities throughout the country. So my question is, is it really going to be that it's geography that determines which of our students gets the best teachers?
ParlaMint-NO_2012-10-10.ana.ud2057e237	I fully agree with Eriksen's representative that a good teacher is the key to a good school. It shows all educational research, and that's also why we have so much scope for continuing education. In the 2013 budget, we allocate funds to 1,850 new teachers, starting with continuing training. I have agreed with the KS and the teacher organisations on a distribution of costs, where the state takes 50 pst. the cost of continuing training of teachers. That's what I think is a very good deal, and it shows that we really take a greater responsibility for teachers than we do for any other profession, precisely because it's so important. In the context of the Youth Level Communication, we have a comprehensive training offer. During this school year, we're going to reach 3,600 teachers with extra reading, writing and billing training, to work more practically and differently, and to reach the most laboring students. This is an offer that has been very well received, and which we are now going to take further into our comprehensive school strategy. So in this area, we have full pressure. Then there's one challenge we have with the use of further education funds, and it's that there are over 150 municipalities that don't make use of this offer at all. When we look at the list of municipalities that use it or not, we see that this is very much related to political priorities. We have tried to make this further training offer so that it is decentralised. There are different arrangements around the country, and then it is quite right that there is a spice layer, where the municipalities also have to be involved and pay travel expenses. Of course, I should like to see whether we can distribute this better regionally, so that it is more easily accessible to district municipalities. But first of all, the challenge for municipalities is: Use the good agreement we have now reached in the field of continuing training!
ParlaMint-NO_2012-10-10.ana.ud2057e250	The report to the Directorate-General for Education may point more to geography than to political priorities — that is what is reported back. I fervently ask that if you want to invest in continuing training, you have to look at those districts that have high travel costs. Getting further training is about prioritisation and about where you want to bet the best and the biggest money. This government has decided that bet area No. one shall be several hours. We've discussed this many times. You can discuss whether you agree or disagree with this, but there is no doubt that if you make the large billions of investments in Norwegian school there, you get less priority for continuing education. Less money is given to combat high school drop-outs. You also get less money to renew high school. What is really the reason why the government believes there is a clearly greater need for more hours than putting the big money into e.g. continuing training, so that we get good qualified teachers throughout the country?
ParlaMint-NO_2012-10-10.ana.ud2057e259	I totally disagree with the description of the priorities. If the representative Dagrun Eriksen looks at the proposals in the state budget for this year, she sees that it is used almost 0.5 billion. kr over the State budget for continuing education. It's very much in demand. The training scheme is very successful – a very good response. It does so in the case of the continuing training scheme as well. In addition, one does that in terms of the principal's training, where we're doing a lot of work. It is similar in the nursery sector. So there's a lot of commitment to competence. In this round there are no new hours at the nursery or youth level in the proposal. On the contrary, there is another interesting proposal that I expect is close to the heart of the Christian People's Party, namely the proposal to strengthen the teacher's density in youth in order to be able to work more differently and to improve the quality of the hours we have. I think that the Christian People's Party and the government have a little bit of each one to talk about in the future.
ParlaMint-NO_2012-10-10.ana.ud2057e266	Three follow-up questions are raised – first Camilla Storøy Hermansen.
ParlaMint-NO_2012-10-10.ana.ud2057e270	I am one of the many teachers who have wanted further education, but have not received it. There are many different ways we can discuss and try to increase the number of teachers who get it. This could be done, for example, by: address an even better cost key, different models and more incentives. But at the end of the seventh, it's about raising your teacher's skills, giving our kids what they're up to, that's the best teachers in the world's best school. I'm not sure if the many different measures are ambitious enough to get the skills we really want for all teachers. My question to the Council of State is: should we not go even more ambitiously to work and introduce a right and a duty to regular continuing education for teachers?
ParlaMint-NO_2012-10-10.ana.ud2057e277	:I think it's an interesting proposal, but it's not part of what the Storting so far has decided, nor of the government platform for the current period. But it's one of the proposals that SV is discussing in connection with the next majorization period and our party program. It is of course because we are impatient after the municipalities use the offer we have for further training of teachers. When I go through the list of municipalities and how they use this offer, there are some very big differences between municipalities in terms of their ambitions. The representative has probably been a little unhappy with the municipality as to how it prioritises this. This is not sustainable in the long term. We've made a very good deal. Municipalities pay 25 pst. of continuing training. I see that the opposition – or at least the Right – believes that it should be 20 pst. Well, I don't think that's the big difference between how many municipalities participating. I think it's about seeing teachers' skills as crucial to the quality of school in their municipality.
ParlaMint-NO_2012-10-10.ana.ud2057e286	Bente Thorsen – for follow-up questions.
ParlaMint-NO_2012-10-10.ana.ud2057e289	Governments boast of what she calls a great commitment to continuing education for teachers. The truth is that there have been more teachers in school and that the number of teachers who receive continuing education has not increased. And there are probably more applicants for the offer than there are who get to participate in it. Sometimes it is not necessary to give so much more money. That could be the way to solve things, which means something. Today, some universities cooperate with municipalities on online continuing training for teachers. This means that far more teachers are being professionally replenished than is the government's commitment. This makes the students get engaged and more competent teachers when they come back to school. Will the Council of State facilitate the use of online education, which will allow far more teachers to take on- and on-the-job training, which they both want and need?
ParlaMint-NO_2012-10-10.ana.ud2057e298	We get good feedback on the arrangements we have for continuing training in priority areas. If the municipalities need to go beyond that, they are of course free. The background to our further training offer is that we want teachers to take either 30 or 60 credits in the field and increase their competence in priority subjects. I believe that we have also found good solutions on how it is now offered. We have now stepped up this offer, first from 1500. Then we went new rounds with the KS and the teacher's organisations and came up with a new breakdown of costs. Last year there were 1,850 teachers who received this offer, because the municipalities applied for it on their behalf. But there were twice as many teachers who wanted further education. So here it's about doing for the municipalities to put themselves in the harness and make sure that they prioritize this even higher in the future.
ParlaMint-NO_2012-10-10.ana.ud2057e305	Elisabeth Aspaker – for follow-up questions.
ParlaMint-NO_2012-10-10.ana.ud2057e308	The teacher has Norway's most important profession. In the field of continuing training, the picture is that the government is focusing on fragmented measures, but lacks an overall strategy to ensure that all teachers in the country are satisfied with their need for continuing training. The Minister of Knowledge says the government is paying. But if you go through the budgets of this government joined eight years ago, you see that the truth is a completely different one. How will the Council explain that the main appropriations for continuing education and training have been in place since they were taken over in 2005? What signals does it send to teachers in the country as a professional group and, as the main skilled workers in the Norwegian society, to effectively deprioritise empowerment for this profession?
ParlaMint-NO_2012-10-10.ana.ud2057e315	There are, like, no limits to how to read a state budget with a bad mood as a starting point. This is not a description of the situation with regard to continuing training. [[Laughter]] This is a high priority in the draft state budget. This is a situation in which we have also made new rounds with KS and the teacher organisations in order to get the best possible model. In addition, we have made it so that it becomes visible to all how many teachers wanting further education, so that we know how long the queue is and how many teachers it is that do not receive further education because the municipalities do not forward these applications and are not willing to prioritize them. Of the over 150 municipalities that do not use this very good training offer now, about One-third right-hander. I would suggest that the representative Elisabeth Aspaker take a small phone call to a few chosen Right-Rapporteurs, so that they take advantage of the great offer we now have. In addition, there will be extensive follow-up training in the context of the New GIV and the secondary education initiative. So it's a huge boost for teachers, which in addition has led to a 50 pst increase in teacher training. [[President clubs]] [[President clubs]] from 2008. Not blackmal!
ParlaMint-NO_2012-10-10.ana.ud2057e326	That is the time for the Council of State to speak as well. The President will allow yet another follow-up question. It's from Trine Skei Grande.
ParlaMint-NO_2012-10-10.ana.ud2057e331	There's no doubt that teachers will, or that teachers think it's great to be allowed. I've been at a cake party with a best friend who was so lucky to pick the teacher who actually got something like that. What's frustrating is that the rhetoric that the teacher is most important still is there, sail if you've given priority to other things. I think that's a very honest thing. There's been a prioritization of homework. Priority has been given to unskilled workers. You've been prioritizing several hours, which we know increases the pressure with more unskilled people entering school. Yesterday we experienced something very strange, namely that the government turned in relation to its own argument when it came to our proposal on the 9 000 unskilled in Norwegian school. Children learn from what we do, not from what we say. So why can't you admit that you've given priority to other things? This is not the government's priority.
ParlaMint-NO_2012-10-10.ana.ud2057e342	It is amazing how it is possible to present a government budget and the priorities made from 2005 onwards. We have had a systematic effort to raise the quality of teachers, to recruit more teachers from 2005 until now, and this has produced good results. We've changed teacher training. We've got an increase in the search for teacher training by 50 pst. That's great. We have continuing training with a new cost-sharing model between the state and the municipality and teachers that we see starting to work, but I am impatient that the municipalities, which are the employers of the teachers, will take advantage of that opportunity even more. In the context of the New GIV and the secondary school, we have extensive training courses aimed at teachers. We have principal training. So how in the world the Steps of the Left Skei Grande can make this look like you don't bet on the teachers, it's a miracle.
ParlaMint-NO_2012-10-10.ana.ud2057e350	Let's go to the next main question. It's the Minister of Knowledge who's the one who's the one who's the one who's the one who's the one who's the one who's the one who's the one who's the one who's the one who's the answer here.
ParlaMint-NO_2012-10-10.ana.ud2057e355	That's absolutely right. Then I'm going to turn it over to the minister of research and higher education, who's standing here, who thinks there are so many people who are applying for the teacher's school, while you know that most people, or very many, end up.
ParlaMint-NO_2012-10-10.ana.ud2057e360	No, that's enough!
ParlaMint-NO_2012-10-10.ana.ud2057e365	Therefore, there are many vacancies, and the study is among those that most end. But what I was going to say is that now the Council of State believes that it is the way those who read the budget are just in a bad mood. But now I'm going to quote some of the most competent heads in Norway who have read the same budget. The Swedish Research Association says that the government is presenting another weak budget for higher education and research: «The government is breaking the promise to strengthen research efforts». The Council of Universities and Higher Education states that the State budget neither ‘increases the strategic space for action nor makes a significant contribution to strengthening the key role of the UH sector in the development of knowledge Norway in the short or long term’. Ole Petter Ottersen, Vice-Chancellor at the University of Oslo, says that the main picture is that this ‘is not ambitious enough at a time when Norway, as a research nation, must run faster’. The research effort has been missed. It's the judgment that's standing over this government. Or let's take the students, who feel weakened because the government doesn't bet on the full-time student, nor have they fulfilled Soria Mora II, who said they should improve the student funding for students with children. Or take the NTNU principal who says, "The government is tricking with numbers." You give with one hand, but you take from the basics with the other. In sum, this is a slaughter of the government's budget in this area that I fully agree with. Then I wonder: is this just because you were in a bad mood when you read the document, or how in the world is it that the government council sees something different in the government budget than all the parties here in the sector, whether there are researchers, principals or students? This should be a quite competent bunch to read the state budget.
ParlaMint-NO_2012-10-10.ana.ud2057e386	First, I want to arrest Trine Skei Grande for one thing. You can't go around saying that most people who start school end up on the way. That's wrong. So until we get the response to the state budget in terms of higher education, research and the situation of students. I notice that the statements that have come from e.g. various rectors and research teams are more nuanced than the Trine Skei Grande refers to from here. But of course, it's her privilege to do that. It's a real growth in research at 2.2 pst. in this budget. This means that in the period from 2005 until now there has been a real growth in research of 32 pst. For next year's budget, this means that, for example: climate research is a priority. It's going to be researched on climate for 425 million. kr. At the same time, preparedness and security are a priority area. And there are extensive quotas for international cooperation in research. It's very important, because the international part of research is essential for us to be able to maintain good quality, and it's important that those involved in research also make use of the programmes we have within the EU, so that we get the most out of the 1.7 billion. to participate in the 7th EU research programme for the next period. As far as the students are concerned, I would like to say that we have doubled the number of student housing from 2005 until now. We've built 1,000 new student homes every year. That's 100 pst. meeting the requirements of the students in 2005 and 2009. It is not in our government statement to increase the student support in addition to the price adjustment that we have made, but as the previous government did not. I understand that the students are impatient when it comes to equal rights to equal education. But they know what kind of government statements they have to deal with.
ParlaMint-NO_2012-10-10.ana.ud2057e399	Now I'm not going to quote the other thing that's had to say about the budget. I thought I'd try to quote from the budget. It says, among other things: a very nice table on page 212. It says it's: ‘an estimated increase in R & D effort of 758 million. kr. The increase is particularly linked to an increase in the quota for the EU Framework Programme for Research, i.e. the amount of money we send out, ‘and the continuation of studies that have been created in previous years’. Then you have a creative use where you like. All the EEA funds sent to other countries go through, and some of them have been calculated that some of the money may go to research in other countries, thus increasing research efforts. There's an incredible creativity in trying to get this up to 1.4 billion. kr, by which the government boasts in this document. It is not money that goes to research in Norway. It has been calculated that some of the health funds might go to research, so then we can put some of the health funds that we also have into research. This is creative. Is it, in fact, that the Council of State still believes that this is a commitment to research?
ParlaMint-NO_2012-10-10.ana.ud2057e411	Now I have to say that I am very little surprised by the representative Trine Skei Grande, because that is the way we calculate the research appropriations in the state budget. It's nothing special. It is right that health businesses carry out research to a significant extent — an important, significant, even internationally recognised, eaten research. Of course, research is part of our budget. It is absolutely right that the EU quota is part of research. It's vital. A lot of research environments are very concerned about how they're going to be able to follow this up, because there's so much to pick up, both in terms of money, and also in research development. Yes, it is quite right that some of the increases in places of study also trigger research. That's how we calculate research's share of the state budget. That's how it's been done for as long as I know -- and it's starting to be a few years, to say it like that.
ParlaMint-NO_2012-10-10.ana.ud2057e420	Follow-up questions will be raised – first Borghild Tenden.
ParlaMint-NO_2012-10-10.ana.ud2057e423	I have a small calculation for the Minister of Knowledge, and I would like her to respond as concretely as possible. On the Ministry of Knowledge's website and now here today, the Council of State boasts that the appropriations for research and development in the State budget have a real growth rate of 32pst. from 2005 until today, as she also said in previous articles. At the same time, the former Minister of Finance probably knows that the State budget as a whole has increased by 60 pst. during the same period. Therefore, it could be good to know whether the Minister of Knowledge believes that the growth in funding for research and education is greater or less than the growth of the state budget from 2005 to the present day.
ParlaMint-NO_2012-10-10.ana.ud2057e428	It hasn't been 60 pst. Real growth in the state budget since 2005, so now Borghild Tenden compares two different sizes. Let me do another size. Under the civil government from 2001 to 2005, the research share of the state budget was 3.4 pst. average — one year below. In 2013, the research share of the state budget will be 3.7 pst. So there's no reason to blackpaint or compare different. There has been a real growth in research at 32 pst. It's a real growth from this year to next year at 2.2 pst. Of course, everyone who is involved in research and higher education would like to have the entire state budget. I'd like that, too. I think – no, I can come back to that. But this is a solid budget for higher education and research. It allows for important and significant research priorities. In this budget, it is allocated to 23 000 places of study, if we look at the impact until 2017. It's mostly in decades. That's a good budget.
ParlaMint-NO_2012-10-10.ana.ud2057e435	Tord Lien – for follow-up questions.
