ParlaMint-NO_2012-01-11.ana.ud1477e26	The representative, Jan-Henrik Fredriksen, will put forward a proposal for a representative.
ParlaMint-NO_2012-01-11.ana.ud1477e112	Bent Höie – for follow-up questions.
ParlaMint-NO_2012-01-11.ana.ud1477e115	I would like to take this opportunity to wish the Council a good new year. We are now entering 2012, which is a year when there is no current national strategy against cancer. The strategy developed by the Bondevik II government, in force until 2009, was extended by this government until 2011 and has now expired. This means that one no longer has an updated plan for a reinforced effort to combat cancer, a disease that affects the vast majority of families. The spring, the summer and the harvest that we have behind us shows that this is an area where there is an absolute need to look at the whole of it both in terms of prevention, diagnosis and treatment, and not least in relation to the rehabilitation of those who have been through treatment. Will the government now take the initiative to set up a new working group to set up a new national strategy to combat cancer?
ParlaMint-NO_2012-01-11.ana.ud1477e123	It has been very important to have a strategy for treating cancer. The most important thing we are doing now is the measures to implement what we have said we are going to implement. The first is that the Health Directorate has provided guidance and guidance on many cancers. People from the highest professional community in Norway have been used to develop these guidelines, and one of the last was on prostate cancer. Then I very much agree that we need to put in place the impact on prevention. Prevention is very important. The now implemented interaction reform is one of the responses to prevention. We know that if we are to avoid more cancers – there are today a lot of people in Norway who get cancer – we need to focus more on prevention. I believe that we are taking many measures in different areas that are crucial for patients.
ParlaMint-NO_2012-01-11.ana.ud1477e132	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2012-01-11.ana.ud1477e135	I received an e-mail from a patient, a man, in the West in December. He writes the following: I was at the hospital in May 2011 and took samples that showed that I have prostate cancer – it was almost seven months ago. When I contacted the hospital in December, I was told that the waiting list is long, and that I have not yet been allocated space. In this case, a cancer-diagnosed man – so he has prostate cancer – has to call the hospital himself at regular intervals when he is going to be treated. Then it's hard to know what a patient should do, and give advice. Not knowing when the treatment starts has to be almost worse than everything. My question is, what in the world is this man going to do? The 20-day treatment period for cancer treatment, which was announced around the election campaign by the Prime Minister and the Minister of Health, will probably also apply to those who were diagnosed before this deadline was given, I expect.
ParlaMint-NO_2012-01-11.ana.ud1477e144	Patients should not be unsure of what the next step of a treatment course should be. I am aware that for some prostate cancer types health professionals consider that they should wait for a while. However, if someone is set up and should have treatment — surgery or whatever it may be — the objective is for 80 pst. the cases shall be initiated within 20 days. If treatment cannot be started, the patient should at least have a thorough knowledge of why treatment is not started, and this should also be included in the journal. I believe that it is not good enough when some patients themselves have to follow up to the hospital. We have now established a patient coordinator for those with serious diseases — cancer is one of them — so that the individual patient can have a fixed point of contact with the hospital.
ParlaMint-NO_2012-01-11.ana.ud1477e153	Let's go to the next main question.
ParlaMint-NO_2012-01-11.ana.ud1477e156	After the second tertiary in 2011, there are 2,948 people who are addicted to drugs in line. They want to be treated so they come in a situation where they no longer depend on drugs. In 2005, the Minister of Health at that time, Ansgar Gabrielsen, introduced what I would call a golden rule for all health businesses, namely that the growth of drugs and psychiatry alone should be greater than the growth of somatic products. This was a golden rule to ensure – when the psychiatry escalation plan was over, but many were still in line for drug treatment – that hospitals were managed so that, not always, as in the years before, it was the somatic patients who won the battle for resources. Unfortunately, health care history shows us that these two patient groups are constantly being discriminated against at all levels of our healthcare system, both in relation to the healthcare system every day and also in relation to the areas of economic priority, both within the healthcare system and unfortunately also politically over the years. That's why there was a need for such a golden rule. I believe that there is a greater need for such a golden rule in the years to come, given that more than 2,900 people with drug dependence are still in line. That is why I am amazed to read the mission document to the hospitals for 2012, where the government for the first time removes this rule, which has been in force since 2005. Does the Minister of Health think that the situation now suggests that it makes sense to remove this rule?
ParlaMint-NO_2012-01-11.ana.ud1477e163	It is important to manage hospitals, but it is important to manage hospitals not only by constantly spending extra money – which has been followed up, including by this government year after year in relation to giving priority to drugs and mental health – but also by giving priority to results and quality. That's what I'm concerned about. Nor is it the case that there is discrimination against patients on the basis of the same budgetary growth for drug and mental health as in somatic matters. It has to be worked on in completely different arenas than through the budget, although, of course, the budget is a very important part in relation to activity. Now there has been a strong priority for drug use and mental health for many years. We see that it is also important to be able to prioritise other forms of treatment, for example: cancer, on which there has been a lot of focus, which is very important, and we have to try to do everything. However, we also see that in the area of mental health, we can improve the effectiveness and quality of treatment. One of our answers is the right treatment at the right place and at the right time. It is to implement the cooperation reform, it is to be able to do more in municipalities, that good treatment can be provided, including for those entering treatment, which is particularly important. I am very concerned that those who need it should be able to receive treatment in the specialist health service, but equally important is the follow-up they receive in the community health service. Therefore, I am optimistic that we will improve on this in the future, because there is no doubt that there is a need to increase both capacity and, not least, quality and performance in this area.
ParlaMint-NO_2012-01-11.ana.ud1477e172	I am very disappointed to hear that it is actually a deliberate priority on the part of the Minister of Health to remove this golden rule, which was supposed to give drug addicts a greater opportunity to get treatment, in a situation where over 2,900 people are in line. The Minister for Health himself mentions the Reform of Cooperation. In the interaction reform, there is no financial incentive for municipalities and hospitals to provide better treatment for drug addicts. On the contrary, the municipalities now get a very strong incentive to receive the somatic patients faster from the hospital. They get a penalty of NOK 3000 a day if they don’t, but they don’t get a penalty if they don’t provide a good follow-up offer to those addicts who have been in treatment. When the Minister of Health now both removes the golden rule and introduces an interaction reform that prioritises somatic patients, we will be able to see that the rubrics get a higher threshold into treatment, and once they have entered treatment, it becomes more difficult for them to get a good offer in the municipality once they have finished treatment.
ParlaMint-NO_2012-01-11.ana.ud1477e177	Both the escalation plan for the drug field and the psychiatry escalation plan have resulted in additional appropriations year by year in both drug and mental health. We've followed that up, and we're still going to do that. There has been an enormous amount of investment in these areas. It's still going to be, and so it's not that the increase itself is a guarantee of quality. The quality of treatment needs to be improved, that we get more of the resources we have, and that there is a better connection in the services between the municipality and the specialist health service. In order to do so, you need, among other things, to: conclude agreements. The fact that these agreements are now statutory – the first part of the works of agreement to be completed by 31 January – is of particular importance both in order to have binding cooperation between municipalities and hospitals and to ensure that this is followed up. I can almost not imagine any groups that are more important in relation to the cooperation reform than those who are struggling with alcohol.
ParlaMint-NO_2012-01-11.ana.ud1477e182	Four follow-up questions have been asked and are raised – first Sonja Irene Sjøli.
ParlaMint-NO_2012-01-11.ana.ud1477e185	A multidisciplinary unit for double diagnosis, intoxication and severe mental illness, TEDD, at the Diakon home, is at risk of death. The background is that Health South-East has announced a large cut in the appropriations for mental health protection in Oslo, and the Diakon home has received a claim for a saving of 40 million. Dr and sees need to reduce this offer to drug addicts and seriously mentally ill, which is one of the few daily services with a high level of competence for this group. The Minister for Health, in rather vague terms, has said in the past that this important offer should not be made, but that is what is now about to happen. So my simple question is, is this interdisciplinary unit for double diagnosis, intoxication, and severe mental illness, TEDD, in Oslo being maintained, or is it being dismantled?
ParlaMint-NO_2012-01-11.ana.ud1477e191	As regards changes in the supply of drugs and mental health, there has been a shift in resource use from less daily services to more daily and outpatient services. It also shows the treatment statistics. But that doesn't mean it's not important. It is very important that we receive good treatment for these groups, even for those with special problems, such as double diagnosis. They must be treated in Health South-East. However, there have been some re-priorities in relation to treatment methods. In this particular case, this one institution, I have to get back to the very specific answer, but in general it has to be a treatment offer for all groups, including those with double diagnosis.
ParlaMint-NO_2012-01-11.ana.ud1477e198	Kari Kjönnaas Kjos – for follow-up questions.
ParlaMint-NO_2012-01-11.ana.ud1477e201	As a politician, I am often confronted with drug users and mentally ill people who have waited up to two years for long-term treatment. I have raised this with the Minister of Health several times, and every time she says that this should not be the case, but that there are needs and rights that should govern the offers. But reality isn't like that. At the same time, we know that there is free capacity across the country. When will the Minister of Health acknowledge that the waiting time is up to two years? And when can we expect that there are actually rights and needs that govern, and not the health business economy?
ParlaMint-NO_2012-01-11.ana.ud1477e208	It shall be the rights and needs of the patients who govern. If you're acutely ill, you need immediate help, no matter what diagnosis you might have. It's a very important principle. So it's also that to some institutions it's a long wait. Many people want special institutions and special treatment services, where there are long waiting times. Once again, for this particular group, it is equally important that there is a context in the treatment provision in the specialist healthcare service and in the municipality. Then we must not forget that after all there have been many different offers, not least in Oslo, for this group. It's important. But the fact that we are now submitting a drug report shows that we want to do more and discuss what the right measures are.
ParlaMint-NO_2012-01-11.ana.ud1477e219	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2012-01-11.ana.ud1477e222	I want to follow up where the representative Sonja Irene Sjøli stopped, namely with TEDD, i.e., the cross-disciplinary unit for double diagnosis. This is a good example of a measure that is liquidated before the re-establishment of similar offers. The Council of State answered me last week on a question about this. The TEDD has been adopted and the Council of State answers that operations will not lapse but will be reorganised into another form of operation. She also says that no one in the patient group should receive a worse offer. But according to the Board of Directors, the competence of TEDD is now spread to all winners. These offers will not be replaced accordingly. They say that it is rare for such a well-functioning, award-winning and requested action to be taken quickly, without consultation or other investigations. The head of Health South-East has said that patients are not believed to suffer when TEDD is shut down. My question to the Council of State is: Does the Minister of Health believe and hope this too, or is she absolutely sure that the offer will be the same, or rather better – as intended? And then when will this happen?
ParlaMint-NO_2012-01-11.ana.ud1477e233	This is a patient group that won't disappear, and then we also have to have a good offer, and when you make changes, you can't give a worse offer; it has to get better. There have been changes in many areas of drug and mental health, not least the fact that there has been much shift from long-term hospital stays to more day care and outpatient treatment. That way you've been able to treat more people. This is, of course, something that we will follow up, especially on the basis of a strong need of these patients with double diagnosis, as we know it is difficult, and not least their relatives, who also have it very difficult.
ParlaMint-NO_2012-01-11.ana.ud1477e240	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2012-01-11.ana.ud1477e243	I also want to follow up on what is known as the Twice Professional Unit for Double Diagnosis at the Winner, also called TEDD. In a reply to the Left Group on 20 December, the Council of State states that ‘TEDD at the Diakon home will continue to offer a good offer to patients with double diagnosis’. But in the draft Area Plan for Mental Health in Oslo, it says, and I quote: ‘Diaconian Hospital has a multidisciplinary dual diagnosis unit that will be closed in the first half of 2012 as a result of changing framework conditions and new income model. [[TEDD]] In addition, there will be no special offer for this patient group today.’ Now 40 people, 40 professionals in a good professional environment, are being told up. How can the Council of State say that the offer continues? Is it the Council of State that has been misinformed, or is it the size that has been misinformed?
ParlaMint-NO_2012-01-11.ana.ud1477e255	This patient group should continue to receive treatment and a good offer. The representative is also aware that there are many changes in the organisation of Oslo University Hospital. The final design, how this should be, I cannot respond to today, but it is quite clear that this group of patients should and must have a good offer in the future.
ParlaMint-NO_2012-01-11.ana.ud1477e262	Let's go to the next main question.
ParlaMint-NO_2012-01-11.ana.ud1477e266	I have a question for the Minister of Health. We've previously heard from India that more and more abortions are female fetuses. A survey from Norway that Indian-Norwegian mothers do the same was a first-page survey in VG two days ago. This is alarming and alarming. The Health Minister said to the VG that it's like a person can't believe it. It is positive that the Minister of Health alerts an increased focus on the issue and says that she will initiate action against gender selection. The debate on the introduction of early ultrasound is important in this context, and the government is about to decide on this matter. What we know for sure is that an early ultrasound study in weeks 11-13 could reveal whether the fetus has Down syndrome. New, modern ultrasonic machines will also be able to detect the sex of the foetus, and a blood test even earlier in pregnancy can determine the child’s sex. Gender-based selection creates enormous resistance, and action will be taken by the Minister of Health. But when it comes to revealing Down's syndrome, with the result that most people will be selected away, the Health Minister goes the other way. Then she will introduce early ultrasound, according to previous statements to the media. How does this relate?
ParlaMint-NO_2012-01-11.ana.ud1477e279	First, I have to say that I disagree with the premise on the question – and in the insinuations – because there are many aspects to this. It must not be that, by offering a legal form of treatment or investigation, one is suspected of wanting to opt out. There's a big difference between knowing and choosing, and I'm very concerned that the most important competence we can give ourselves and our descendants is the ability to make right ethical choices, because we're going to face a technology that challenges us to those degrees in many areas. In the case of sex-selective abortion, it is totally unacceptable and it is prohibited for health professionals to disclose gender before the 12th week of pregnancy. It's precisely because there's no need for gender to be involved in abortion. We see that tests have come that challenge us, and so we have to decide how to deal with it. But the abortion law is there, and we do not have any plans to change it – at least today. I believe that this is very much about attitudes, and it is very important to send a strong signal that girls and boys are equally valuable, is fundamental in Norwegian society. That's the way it's going to be, and we're going to work it out in the future.
ParlaMint-NO_2012-01-11.ana.ud1477e290	We also know this with attitudes created by laws and regulations, and the introduction of some laws and regulations – or perhaps some prohibitions – changes people's attitudes. I'm thinking, for example. on the introduction of safety belt and smoke requirements. Not introducing early ultrasound to everyone will also give a clear view of our society that we do not want selection in the light of, for example. properties, it's Down's syndrome or gender. Would it not be wise, then, to reserve early ultrasound for those who, on a medical basis, actually have a need, and thus also to create clear attitudes on the part of society regarding selection based on characteristics?
ParlaMint-NO_2012-01-11.ana.ud1477e297	Although the Workers' Party has made a decision to offer early ultrasound, the government has not addressed this issue – and will not – until after the conference scheduled for Monday, where we have invited a wide-ranging discussion on this issue. What I think is the most important thing here is not to suspect each other's motives. We have a 38-year-old age limit today for providing early ultrasound and full foetal diagnostics. You could ask yourself why we have it. In this context, I think this is actually a much bigger question: how are we going to deal with a technology that very many people are using, and which maybe very many people are using because it is not as safe and good and safe research as we want it to be, and that you make choices based on failing assumptions and failing information?
ParlaMint-NO_2012-01-11.ana.ud1477e304	Three follow-up questions will be raised – first Øyvind Hope.
ParlaMint-NO_2012-01-11.ana.ud1477e307	This is about equivalency. Equivalence is the foundation of democracy; equivalency is the basis of the rule of law. That is why it is remarkable to hear the Minister of Health mentioning these issues in such confusing and unclear forms. At one moment there's a big difference between knowing and choosing, at the next moment you're very busy saying that it's forbidden to tell about sex. In the VG on Monday, the Minister for Health said: ‘Sex selective abortion is completely unacceptable.’ Why is abortion based on gender completely unacceptable, while abortion based on chromosome aberration is not? Why is it that sexual abortion is an expression of discrimination against the group concerned, while abortion on the foetuses with Down's syndrome is not an expression of discrimination?
ParlaMint-NO_2012-01-11.ana.ud1477e317	In the case of gender-selective abortion — what has been mentioned in the VG in the last few days — this is based on treatment in the Council of Europe. That's why the matter came up. I received a letter from the Norwegian Women's Association and replied to it. In the case of sex-selective abortion, health professionals are not allowed to report sex before the 12th week of pregnancy, and it is so severe that they can be punished with both fines and imprisonment for up to three months if they do. It's a strong signal that there's a fundamental equality between the sexes. So it's like, in the case of abortion law, it's up to the individual woman to choose to have an abortion or not. That's what our law is today, and that's what it's going to be.
ParlaMint-NO_2012-01-11.ana.ud1477e324	Gender Kjos - for follow-up questions.
ParlaMint-NO_2012-01-11.ana.ud1477e327	Recently, there has been a major focus on early ultrasound. Opponents of early ultrasound have one counter-argument, which is a claim that this is a fight against children with Down's syndrome. A woman who in these days is told that she is carrying a child with Downs, will soon be able to perceive it so that society expects her to commit an abortion. We are simply at risk of ‘talking’ the numbers of abortions. What will the Minister of Health do to prevent such attitudes from dominating the debate and thus putting women in such a situation of pressure?
ParlaMint-NO_2012-01-11.ana.ud1477e332	I see that this can be very easily a very strong pressure, but it happens both ways, because if you want to go to early ultrasound – which very many women do, I think actually almost half goes to an early ultrasound today – you'll be suspected of choosing away. Sometimes it's just to know if it's life, what it's like, etc. – the very basic questions you have when you get pregnant. But I believe that the most important thing we can do is work on both attitudes, actions and offers to those who are different, and who require a little bit more of us as big communities. I am very concerned that no human being should be chosen away because they have a diagnosis or are different. I think it's an incredible quality after the PU reform that everyone, including mentally retarded, is municipal people with municipal freedoms, in line with the rest of us.
ParlaMint-NO_2012-01-11.ana.ud1477e337	Sonja Irene Sjøli – for follow-up questions.
ParlaMint-NO_2012-01-11.ana.ud1477e341	It's not just the abortion law that applies here. A unanimous increase was also behind the aim of the Biotechnology Act when it was dealt with in Stortinget. The aim of the Act is to ensure that the medical use of biotechnology is exploited for the benefit of all. The law shall prevent discrimination on grounds of succession. Experience from Denmark shows that early ultrasound leads to 90 pst. by children with Down syndrome are removed. Over time, there is a danger that we will have a society with less tolerance for people who are different and where there is no room for everyone. If the public health service offers an offer to look for these children, parents may experience it as a pressure to choose them away. My question is whether the State Council believes it is advanced that medical technology contributes to the removal of children who are different?
ParlaMint-NO_2012-01-11.ana.ud1477e350	As I said, I think in the future we're going to face a lot of ethical dilemmas about technology and what technology can do. That's why I want to insist that the most important thing is that we can relate to this. That we can work on being a society with tolerance for all people is actually the most important thing, and that we are able to make wise choices. That would mean that if you, for example, comes with an offer of early ultrasound to everyone – it’s not like today that it’s an obligation to go to ultrasound, but it’s an offer for the individual to do so, and you’re also informed that there can be things, you can get messages that can be difficult to deal with – it’s all, most importantly, that it’s good guides that provide good information. There should be no doubt that there will be room for all people in this country.
ParlaMint-NO_2012-01-11.ana.ud1477e355	Let's go to the next main question.
ParlaMint-NO_2012-01-11.ana.ud1477e358	Of course, we have a question for the Minister of Knowledge. Now SV has run the Department of Knowledge soon a school run, and when you talk here in the hall, you often talk about the teacher being most important. There are a number of decisions SV and the government has made. One of the main features of these decisions is the implementation of teacher-less reforms. Eight more hours of schooling have been created, electives are introduced, teaching aids have been introduced — but with unskilled people, because you didn't have enough teachers — and you want more physical activity, even without teachers. The move is that we have few qualified teachers. The scoreboard is increasing among them, and although some more applicants, a quarter of Norwegian teachers are not teachers. They have other professions. The central statistical agency says that by 2020 we will lack 18 000 teachers in Norwegian school, without the government taking any new steps to increase teacher training, so that we get an attractive and good teacher training – bet more on continuing education, which means that teachers are able to stand longer in the job, or fight down the school bureaucracy, which all the teachers who are not teachers state as one of the reasons why they do not want to return to the profession. So my question is, when will there be a proposal from the Council of State that really monies when it comes to getting more good teachers and more skilled into Norwegian school?
ParlaMint-NO_2012-01-11.ana.ud1477e369	This is a question that I'm very happy to get, because the core of good school development and a good school offer is that we have competent teachers. I am very pleased that we agree with the parties on a plan for further education that allows us to increase the expected number for this year, given how many municipalities will participate, and I am very concerned that we have now gained a much better reputation for the school. We see that in reputational studies. There are more positive attitudes to the teaching profession, and we have increased the recruitment of teacher training by 50 pst. What we can further focus on is those who are teachers, but who have chosen other professions. Here we have a large reserve, which I want to lure back to school. Then it is important to consider: what is it that they state as the main reason why they have chosen other professions? We've asked that, and we've got an answer to that. There it is very clear what the teachers who have chosen other occupations underline. One is that they feel that the total strain in the profession is too great. The second is that they believe that they have too little time to take care of and follow up on each individual student. It's the feeling of inadequacy, of going home from work every day with a bad conscience, which is a heavy burden. It's a strong desire for smaller classes and fewer students, they want better school management, etc. That is why the proposal for a maximum number of pupils per teacher, on which we have just concluded the consultation and which we are now dealing with, will be a very good argument that the teachers who have chosen other occupations see that the school is an attractive job. What we've been working on in the field of schoolleader education and the principal's school is just such a measure. As far as continuing education is concerned, we also have such a measure.
ParlaMint-NO_2012-01-11.ana.ud1477e378	It's a little strange, because when the Council of State comes up with its main act to get more skilled, good teachers in Norwegian school, she refers to a proposal on the teaching standard there 50 pst. the consultation note is used to problemattack the difficulty of introducing a standard for teachers when we have so few teachers and where it is pointed out that the proportion of unskilled people is increasing significantly. So it looks like the government council, which has now promised teachers this maximum standard that has been sent to the hearing, doesn't really think it's going to lead to more professionals in school, but it will lead to more unskilled teachers. It is therefore clear in the Council's own consultation note. Now you've promised the teachers that you're going to make that max. My question is, when can you begin to promise the students that they will have qualified teachers in the classes they are going to, and not just more unskilled?
ParlaMint-NO_2012-01-11.ana.ud1477e385	There is no doubt that it is quite demanding to implement a maximum of students per teacher related to the school or to the municipalities. It has to be done in a smart way, so it doesn't mean that we get more unskilled teachers. However, I am very convinced, after my close contact with the sector and with an incredible number of teachers, that it will help make school a more attractive job. So I'm a little surprised that Trine Skei Grande, who is otherwise so interested in and well-informed about the discussions that go around school, goes away from such a kind of proposal. We're working all the way to recruit better and better qualified teachers. We're going to keep doing that. There is a completely different drive around the recruitment of the teaching profession, the conversion of teacher training, further education, research around this, which helps to raise the status than it has ever been. So the school has a positive reputation that will attract people to it.
ParlaMint-NO_2012-01-11.ana.ud1477e392	Four follow-up questions are raised – first Borghild Tenden.
ParlaMint-NO_2012-01-11.ana.ud1477e395	My question is about senior measures at school. We have had a debate on this before in this Chamber on the basis of a proposal from the Left. Then I remember that the Council of State said that she would give priority to measures already in place. We believe this in the Left is too bad, at least in the light of studies in the Education Association, which shows that it is actually only 12-15 pst. of the teachers who will continue until they reach the age of 67. As a former high school teacher, I know it's a very stressful profession. The Council of State itself said in its previous reply that the total burden is high. Does the Council not see that she too should take greater responsibility for keeping older teachers in school? It's an important competence.
ParlaMint-NO_2012-01-11.ana.ud1477e402	It is a paradox that I get this question from the Left, because the Left was a government party when the negotiating responsibility for the teachers was transferred from the state to the municipalities. This means that the municipalities are responsible for the employer’s responsibility for the teachers — or for the teachers in high school. They're the ones with the tools. These may be different offers and benefits for older teachers. The nature of the workload and of the working time may be at stake. However, neither in terms of pay nor working time, the state now has any direct opportunity to intervene. So this call must first and foremost go to the school owners, the municipalities and the counties – with the help and effort of the Left. Of course, we can make sure that the school becomes an attractive job by, for example: makes sure to be very critical of time thieves in school. We are now removing 52 000 half-yearly reports related to special education. It's very important. That, along with increasing teacher density, is what I hear most often from the teachers in the question of whether the school is an attractive job.
ParlaMint-NO_2012-01-11.ana.ud1477e409	Tord Lien – for follow-up questions.
ParlaMint-NO_2012-01-11.ana.ud1477e413	Constructive as I am, I want to start by reminding the Council of State that there is an examination of teachers by many of the teacher training programmes in the big cities, so it's a simple grip she can take. In Finland, with school policy success, one of the success criteria is well-qualified teachers in a sufficient number. In Finland, they have had five years of teacher training for many decades. That study is very popular, there are at the top three among popular studies in Finland every year. We have also tried five years of teacher training in Norway. There is, in part, a strong review of the Norwegian five-year master's programmes for teacher training. It can be assumed that the introduction of five-year teacher training will make teacher training more popular. The Council of State has previously said that she does not want to make time-consuming introductions, but I wonder if the Council of State will introduce the timing of the introduction of five-year teacher training in Norway.
ParlaMint-NO_2012-01-11.ana.ud1477e424	It's very interesting to look at Finland. Finland has hot school food. Finland has nine-year-old and not ten-year-old primary schools. Finland does not have national tests. Finland has a teaching competence and a respect for the teaching profession that has long traditions. Once we have given priority to strengthening teacher education, we have first looked at the quality of the four-year course. It's about recruitment, which was the main question here. So it's very interesting with the teaching places that now offer five-year teacher training. It is, of course, desirable to move in that direction, but I regret to disappoint the representative Tord Lien on the question of the timing of this. The most important thing for us now is to get teacher training to stand up, recruit well for it, and then we have to discuss the next step, namely five years of education, later.
ParlaMint-NO_2012-01-11.ana.ud1477e431	Svein Harberg – for follow-up questions.
ParlaMint-NO_2012-01-11.ana.ud1477e434	I want to go back to the starting point, where Trine Skei Grande recalled that the ongoing challenge in government policy is that the measures adopted require an increasing number of teachers, and they are not in place. The right, together with several opposition parties, has repeatedly proposed measures to facilitate transition from the rest of the working life and into the teaching profession. There are many skilled professionals who could be good contributors. We have proposed experiments with Teacher 2 scheme, recruitment measures to pick up professionals and flexible implementation models for PPU, to get experienced people into education. Governments have always referred to this as an important and good resource, but government parties have voted in favour of the proposals. Now I wonder what concrete steps the Council of State has taken to reach this group, and what is the result – how many teachers it has brought into school so far?
