ParlaMint-NO_2012-01-31.ana.ud2406e57	The representative, Dag Terje Andersen, will present a draft constitution.
ParlaMint-NO_2012-01-31.ana.ud2406e254	Thanks to the interpellant. This is an important theme. This is an important debate. Knowledge is and becomes central. When the North has more than 70 pst. of Norway’s national wealth, it is evident that the level of knowledge of individuals is crucial for innovation and growth now and in the future. Both to meet demands for new and more climate-friendly solutions and general requirements for innovation, we need a significant focus on knowledge, research and innovation. Innovation is probably the main driver of the development of society. For the last two hundred years, the world has experienced an economic growth without parallel in history. Growth has led to an increase in living standards to a level that few thought was possible just a generation ago. The habit of increasing has been equally rapid, and it would have been intolerable for most people to go back to living standards, for example. in 1979 — without the Internet and mobile phone, to mention two important changes we have experienced in the last 40 years. These developments are the innovative and innovative souls behind them. It may be ambitious, but the Christian People's Party aims at Norway being the world's most innovative and innovative country. Innovation and economic development release resources that can be used for other societal purposes. The development of new and innovative ideas is often useful for more enterprises than only the company that develops them. New and established small businesses are at the heart of this work — without them stopping Norway. Therefore, the Christian People's Party in its alternative government budget for 2012 prioritises more funding for innovation. We increased support for innovation actions through the BIA, the maintenance of Innovation Furniture, research and technology development in the aquaculture industry, value creation measures in agriculture and seed funds for initial investment, to mention something, so that new projects in small and medium-sized enterprises can be funded. The Christian People's Party believes that business must be built from below, and that the main role of politicians is to facilitate good and predictable framework conditions for value creation. In this way, business can provide safe jobs and profits for the distribution of important Community goods, because we must not forget that it is the future value-creating business that will bear the costs for future generations. Increased investment in research and innovation are key success criteria for a value-creating business. Although the goal is ahead in time, the Christian People's Party has one main objective for innovation: Norway should be the world's most innovative country, for it is innovation and innovation that drives Norway in the future.
ParlaMint-NO_2012-01-31.ana.ud2406e270	I think it's an important debate the inter-pellant travels – I want to underline it. Over the course that has now been, I think the Right is trying to present us as a little negative to the starting point. I would like to stress that we are not. I would like to thank the Minister of Industry for a very good answer, a comprehensive answer, to an important issue. So I just want to stress that we are more than willing to discuss this in the future, because it's an important debate. We want to strengthen the industry-related research effort in Norway. We also want to contribute to more research into business. That is why we have the focus that the Minister of Industry has set out in an excellent way. So I think it's a little bit sought by the Right in a way to try to show the effort in a different way from what reality actually is. From the end of the 1980s until now, R & D efforts in terms of GDP have remained almost stable – from 1.60 pst. up to 1,80 pst. It was tallest a few years ago. The lowest proportion was in 2004–2005. So I think we have to basically base ourselves on a little bit of fact in this discussion. Today, more than 36 000 annual works are linked to research efforts in Norway — 36 000 annual works. More than 15 000 of these are privately or privately owned. It's fantastic, you do an important job to bring Norwegian business forward. It's a very important effort. The question is: is it one-sided right just to spend more money, as is the case with the Right in this debate? Isn't there a reason to stop a little bit? How do the distributions happen? How can the institutional and higher education sector be addressed to the business community? How can you get the most out of the money that is used collectively? Unfortunately, that debate is a bit absent. I also think the right side of this interpellation is trying to partially conceal this important question. I think this is very central. There is an important debate that I think the Storting should engage in in the future. I believe that much of the research effort in total can be beneficial to the business community. But whether it's the institute and college sector that's going to be part of it, I think it's an exciting discussion, or whether it's stimulation to Norwegian business to research more in their own direction that's the right answer. I am more than willing to take that debate. What I have heard very clearly from the Norwegian business community many times lately is that they want closer dialogue and more presence through the institute sector and the higher education community towards business. I think maybe that's the entrance to this debate that will become very important in the future, just to look at the possibilities of building competences around that arena. So that's the last thing that's crucial. Despite the improvement that the Minister of Industry is now making, I think we need to discuss how we can become even better at commercialising and getting value creation out of the research we're doing. We have a great potential, and all the numbers show that we are initially doing very well in this country when it comes to combining knowledge, research and value creation. That's where we're excellent, that's where we hit the others in the North, that's where we hit the rest of Europe. They can almost not compare with us as to how we manage to deal with that particular situation. I think that is an important and good starting point, but, as I said, we are taking the debate in the future.
ParlaMint-NO_2012-01-31.ana.ud2406e285	I am pleased with the last article by the head of the nutrition committee. Apart from the fact that it is fun that the government parties are interested in taking the debate, I had really hoped that we might have that debate here today, and not sometime in the future, because we have now made countless attempts to get this debate going. But it's a little funny that when you take the initiative for a debate on what we in the Right think is an important topic, and don't try to attack the government, you're still accused of black-painting. At the same time, the representatives of the government parties say that we have a potential, we have some challenges, but when the Right says the same thing, it's black paint. Get it! Get it, get it, get it, get it, get it, get it, get it, get My interpellation, like the interpellation that I had on partly the same theme of the Minister of Research last fall, is strictly almost just a loophole to the government and to state councils who could blackmail some ambitions, but that's not what we hear. I note that the Minister of Industry has also said today that the target is firm. Although the representative Heggø said that the 3 pst. goal is not an end in itself, I have to trust that the Minister of Industry will stick to this goal together with the rest of the government. We have not been given a description of any ideas or strategy for action that could bring us closer to the goal – nor have we been given this today. There has been evidence that the government has established a number of actions, and I am very aware of the important work done in these centres, the Centers for Research-driven Innovation and these NCEs, the Norwegian Centres of Expertise. But it might be a little wrong to give today's government the credit for these centers, because they were established in the years of the Bondevik II government, at least the first of them. The new ones, for energy and the environment, are established under this government – that is correct. I would like to end by saying that I think the representative Holmelid was in the middle of an important point, because he showed that public support for research in the business community is larger in Norway than in our neighbouring country. It may be right, but the results are worse. He asked the question why this doesn't give us any bigger results. That's a very important point. Swedish business life has a research effort of 2.7 pst. of their GDP. In Norway, there is 0.7 – for greater public support. That is an important point that we must take into account in the further debate.
ParlaMint-NO_2012-01-31.ana.ud2406e296	This is an important debate, and it's a great commitment across all parties. Let me just say that the 3 pst. goal is fixed, but the goal is not important in itself; that's what it creates from business development and knowledge growth, which is the crucial thing. That's right, as the representative of Warloe pointed out, Sweden has a higher percentage of GDP for research and development, but we have a 50 pst. greater GDP than the Swedes, so if I had to choose between Sweden and Norway, I choose Norway. The fact that we have a high percentage of GDP growth — for example. in 2012, an estimated 2,5 pst, as the SSB says, as opposed to the euro zone 0,2 pst. – means that we need to increase our research budgets significantly more in order to keep up with GDP growth. But it's not a problem; it's a great gift that we're the richest country in the world, so we're doing something right. It is also a fact that research efforts have never increased as strongly in Norway as they have done under the red-green government. I was myself a research minister in the years 2000–2001. When we handed over the staf stick in the Research Department to the Right, the research growth was halved year after year compared to the budget we had submitted. So it's not just a question of what you're saying; it's also a question of what you're doing. We will continue to increase research appropriations, but we will also continue to focus very heavily on quality, on getting as much money back as possible, on building these bridges between business and research, on commercialising more of our research results, on building an international network, so that we take advantage of all the research that is also taking place internationally, and on sharpening research, not least where we have a special advantage. There I will refer to several of the red-green speakers who also talk about this not having a neutral business effort, but about putting tools, research money, capital and knowledge into the industries where we have a very special advantage. That's what made us rich, and that's the strategy we're going to use for our country to remain a good country to live in. I take the commitment of Stortinget as an inspiration, both for the Ministry of Industry in terms of ambitions in the field of research and development, and for the Minister of Research in her work. Here, this cross-sectoral cooperation is of great importance, that research institutions and educational institutions need to see more and more what they can do for business, and that business can make even more use of the knowledge developments taking place in Norway.
ParlaMint-NO_2012-01-31.ana.ud2406e307	So the debate is on case No. 1 over.
ParlaMint-NO_2012-01-31.ana.ud2406e321	At the request of the Business Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-01-31.ana.ud2406e330	On behalf of the case-rapporteur, Elisabeth Røbekk Nørve, I am delighted to say a few words about the Committee's consideration of the Progress Party's proposal for a statutory, fully-fledged net pay system for seafarers. The Industry Committee and the Stortinget have now agreed for many years that Norwegian shipping – and the maritime cluster – is a very important industry for Norway. There have therefore been no major disagreements about the net pay scheme. From the Right we have had a slightly different approach to this, by putting more emphasis on competence and having had a slightly different model in our alternative budgets – a model that, however, does not differ very much from the one that the government has had. But I stress that we have had a slightly different approach to this in terms of competence, in the same way, one might say, as the government has had a different approach to e.g. the shipping tax system; it was necessary to go to the Supreme Court to clarify that Norwegian shipping companies should have the same conditions as they normally had in Europe. So there have been some differences in how you have looked at it, but it has generally been agreed that the marine environment in Norway deserves both the support of the Committee and the Stortinge. In this case, it is pointed out that this net pay scheme exists in most European countries. That's right, and that's why it's important that we have a competitive system. I would also like to stress that in the case of the Right, we believe that, in the future, in addition to emphasising this with competence for Norwegian seafarers, we must also look at how competitive the Norwegian registers are. We have had suggestions in Stortinget to look at the system of the ship registers. At the same time, we have also proposed looking at the net pay system in combination with this extension. We have not made a concrete proposal on how it should be done, but we have asked the government to assess it. We think it was a good proposal to look further at the development potential of the maritime industry in order to be competitive and to have a good competence both in the registers and in the teams. That is why we have made a different proposal than what is the setting here. I'm actually a little surprised that the government parties choose not to accept a proposal from the Progress Party which in its intention is commendable. Nor do we vote in favour of the proposal to legislate, but we suggest that it be annexed to the protocol, just to show that we believe that the matter is good, that it deserves attention, and that it is a commendable proposal that lies there. And then we'll see what comes next. The last words have probably not been said about the net pay scheme, but I don't think there will be any new rounds of its total existence. Rather, there are rounds of how the practical design should be, and I think first and foremost of a design that makes us competitive in the future, overall. I address the proposal that we are promoting with others.
ParlaMint-NO_2012-01-31.ana.ud2406e345	The representative of the Svein Fleet has taken up the proposal he referred to.
ParlaMint-NO_2012-01-31.ana.ud2406e348	There can never be too much discussion about the maritime policy in this room. We who come from the coast know in particular that maritime nutrition is incredibly important for employment and not least for value creation in this country. We're actually talking about an industry that has a complete environment with a total value creation of nearly 100 billion. NOK, and about 100,000 people work in this industry. It states that the competitiveness of industry is important and that stable framework conditions are essential. So it's tempting to say that when we're out there and getting input from this industry, it's a lot of enthusiasm to get around the policy that's now being pursued, both in terms of the industry's own ability and willingness to bet in the future and that there's a lot of investment in smart minds, new technology, equipment and innovation across the board. The industry is clear that the government parties have a good dialogue and that it is working together. In 2007, the government presented ‘Steam Course’, which is the government’s maritime strategy, which is the very basis for a set of measures to support this industry. It was very important to get the predictability that the industry needed. The competitiveness of the industry is important. That is why I also think it was important that this net pay scheme, which means that shipping companies are refunded the payment of Norwegian taxes, social security contributions and employers' taxes, should be put in place. In 2006 the government proposed an extension of the net pay scheme to all non-competitive services in NOR. In 2007, the security crew on Hurtigruten was also included in this scheme. It helped to create peace and stability around the scheme and has contributed to the recruitment and training of Norwegian crews. I have also received signals in this case that someone wants to look at the ceiling regarding the current net pay system. However, no estimation of dynamic effects related to re-flagging and re-flagging has been made to the NOR register as a result of an increased reimbursement scheme. So this is kind of an early stage to continue that dialogue. With regard to the legalization of the scheme itself, there is no fear of the predictability of the government that disturbs the industry, but perhaps there is more fear of the party's possible government comrades from the Right, Left and Christian People's Party. The Labour Party is living well with the arrangements we have put in place, and in dialogue with the industry we can see possible changes to the arrangements relating to budgetary work. However, the government has now entered into the budget for 2012 a continuation of the grant scheme with a transitional budget of 1.6 billion. kr. It is tempting to recall that in the alternative budget of the Progress Party there is also no increase beyond what the government has presented. The right has considerably reduced the Christian People's Party even more, and the left will completely remove this arrangement. So the worst uncertainty for the industry must be to get this bunch into the government offices in 2013 – a conspiracy, where most will weaken or completely remove the scheme.
ParlaMint-NO_2012-01-31.ana.ud2406e367	What kind of ‘god’, as the previous representative expressed it from this pulpit, which was to enter the government, we get to have a debate on when that time comes. At least I'm concerned that there are different parties in government – where they come from – whether they're a «thing» or not. The representative Else-May Botten also referred to parties other than the Advance Party, who have proposed to reduce the scheme. Yes, but I would like to remind you that some of the government partners of the Workers' Party, those who are currently in government, also had a different approach to the one that is on the table today from the government in terms of a net pay scheme, or a reimbursement scheme. But solutions are being found, and probably a future government will. The fact is, Norway has no net pay arrangements for seafarers. Norway has a reimbursement scheme for seafarers. This is because we have a ceiling that from 1 July 2008 was set at NOK 198 000 such as a refund for taxes, employers' taxes and social security contributions. So it goes without saying that some, especially officers on board, are above this sum. In other words, for every year that goes without at least doing something about the ceiling, the system currently in place in Norway is weakened – and that is why we are also weakening in competition with those countries that have a fully-fledged net pay system. A fully-fledged net pay scheme amounts to this total – no thank-you. Denmark, among other things, has such a system. That's the part we have to compete with, and when there's no willingness to look at what's to do with thanks, it becomes worrying. The representative indicated that none of the batches had inserted numerical material into the roof. That's right, and that's exactly why we have this proposal for consideration. This proposal was promoted before Christmas, because it is clear that if you can put in place the most important and the best, that is. a net pay-as-you-go system, a proposal must be made in line with that. That is what the proposal is all about, and then it does not begin to propose alternatives until at least the proposal itself has been examined. What amazes me a little bit is the background for the government parties to vote against the proposal. It is strange when you can read the following: ‘As the majority sees it, it will also be possible to organise a legal system, and the majority considers in this context that the predictability of the scheme cannot be linked to whether the scheme is statutory or not.’ Why should we promote laws in this country? Promises can change. The background to promoting a patient rights law was precisely to legislate for it, because then you are sure of what rights lie there. There are completely different procedures and ways of working when you're going to change a law, or if you're just going to change a scheme that you've entered into your budget option. So it's clear there are significant differences. The legal certainty of the scheme is significantly greater. So the representative says that the feedback you get from the district is that it's government policy that's the best. It is quite obvious that the representative Botten and I are in different places and get different messages. Among the seafarers, this system is very important, and also putting in place a statutory net pay scheme, because it gives a future predictability that we do not have today. And it's not that long since the media came to know that there was an internal government debate on whether to cut down on a part of the sum given to the net pay scheme, or the reimbursement scheme, which this actually is. The Progress Party wants predictability. We want this to be put in the high seat in the future as well. Therefore, it is important to put in place a statutory system. This is also important not only for seafarers, but for the entire maritime cluster, for the entire industry, because it provides predictability. We have seen a decrease in the number of people who are in the scheme, precisely because the scheme is currently not good enough. I am referring here to the proposal of the Progress Party included in the vote.
ParlaMint-NO_2012-01-31.ana.ud2406e391	The representative Harald T. Nesvik has taken up the proposal he referred to.
ParlaMint-NO_2012-01-31.ana.ud2406e394	We often say that shipping companies are the very hub for the maritime cluster in Norway to remain and develop further. The value added is high and it is the largest industry after the petroleum activity. It is therefore important that industry has good framework conditions and that these framework conditions serve the entire Norwegian shipping industry. Although the Christian People's Party has a different model of the reimbursement system, we want the reimbursement system to be in place. Nevertheless, I would like to stress that it has a distortive effect on competition in relation to other industries, such as the United Kingdom. the fishing industry. It's proposed to be used for $1.6 billion. kr to the scheme for 2012 and as in the past the government proposes to limit the individual amounts of aid. The Christian People's Party believes that the total amount of the subsidy can be reduced by introducing an amended model that respects the competence of Norwegian seafarers. It has been argued that the net pay system has led to an increase in employment and that its removal will lead to a race of employed seafarers. In the evaluation of the net pay scheme provided by Econ Pöyry last year, it was found that in the period following the introduction of the net pay scheme, employment growth could have been driven by the boom in the offshore market. In particular, tugs and supply ships have experienced a strong growth in turnover and activity. There is therefore much evidence that growth in employment is due to market conditions rather than to strengthening employment schemes. The fact that the growth of employment in tugboats and supply ships only occurred one to two years after the introduction of the net pay scheme is another indication. Employment growth is also not unique to Norway, but about the same as in comparable European countries. On average, employment growth in comparable European countries was 17 pst. during the period 2001-2007. Growth in Norway was in the same period of 19 p.m. The report also states that after the introduction of the net pay scheme in 2002–03, one cannot trace a particularly strong growth in employment. The report therefore concludes that the growth of Norwegian employment needs to be explained with market conditions rather than with changes in the employment schemes. In view of this, the Christian People's Party does not believe that the legalisation of a net pay scheme is the best solution to increase employment in the Norwegian shipbuilding industry. The Christian People's Party therefore supports the Committee's recommendation that the proposal be rejected.
ParlaMint-NO_2012-01-31.ana.ud2406e409	The centre party is committed to facilitating investment in the maritime industry. This is an important industry in our country, and it is a great potential for further development, not least with the great optimism we now see in the north. Norway is one of the world’s largest shipping nations, and Norwegian shipping companies are now controlling the world’s fifth largest fleet in number of ships. Norway has a complete maritime environment, with a total value creation of nearly 100 billion. NOK and approximately 100,000 employees. The Centre Party and the Red-Green Government are committed to pursuing a comprehensive maritime policy to secure and create jobs in Norway. In 2007, the government’s maritime strategy, ‘Should course’, was presented. The government has invested in maritime industry through concrete measures, including the net pay system for seafarers. In this context, I would like to mention that in this government's first government budget, the net pay scheme was extended to cover all competitive speeds in NOR, and in the 2007 state budget, Hurtigruten was also included in the scheme. The net pay scheme is continued in the government budget for 2012 and the government has actively contributed to the predictability of the maritime industry through budgetary measures. The policy of the red-green government involves continuity and stability in the allocation of the net pay scheme. Since the government change in 2005, the net pay scheme has increased significantly. From the top of 1 billion. kr in 2005 and includes approximately 9000 seafarers now constitute the scheme EUR 1,5 billion. kr and 11000 seafarers. That's an increase of 50 pst. in grant appropriations and in excess of 22 pst. increase in employment. With this government, the net pay scheme, as a single measure, has been a predictable scheme without legislation, and it contributes to providing the maritime industries with forward-looking conditions for seafarers, while at the same time facilitating recruitment to the profession. The centre party is engaged in predictable and forward-looking conditions for seafarers, and we are committed to facilitating further investment in the maritime industry. The net pay scheme is an important measure in this context.
ParlaMint-NO_2012-01-31.ana.ud2406e428	In the maritime sector, Norway has world-leading competence and international competitiveness. The government is therefore working purposefully to take care of and further develop the maritime industry. Since the government of Stoltenberg came to power in 2005, we have helped to further develop the subsidy schemes for maritime employment. In 2006 and 2007, we introduced net wages and salaries for all ships engaged in competitive operations in NOR, including Hurtigruten. In addition, we have taken an even greater and more holistic approach to the development of the maritime sector. In 2007, we launched a comprehensive maritime strategy, called ‘Steam Course’, focusing on growth and environmentally friendly development in the maritime industries during the vision of Norway as a world-leading maritime nation. A stable and sustainable subsidy scheme for the employment of seafarers, in line with other European countries, is a pillar of the strategy. Together with the introduction of a new European-style shipping tax scheme, this establishes predictable and competitive framework conditions for seafarers and shipping companies in Norway. In addition, we increased attention and developed a more concrete focus on maritime research, innovation and competences. The red-green government is responsible for the continuity and stability of the appropriations for the net pay scheme. Since we came to power in 2005, the net pay scheme has increased significantly. From the top of 1 billion. kr in 2005 and includes approximately 9000 seafarers now constitute the scheme EUR 1,5 billion. kr and 11000 seafarers. That's an increase of 50 pst. in grant appropriations and in excess of 22 pst. increase in employment. Under the governance of the central parties, a number of changes were proposed to help weaken the competitiveness of the net pay scheme. In 2001, the reimbursement rate was reduced from 20 to 12 p.m., while in 2003 it was proposed – without support from the Stortinget – to wind up the net pay system for foreign ferries. So this was under the Bondevik government. In 2003, the reimbursement rate was further reduced to 9,3 pst. for ships in petroleum activities. I note that the opposition continues to crack in its proposals for devices and appropriations for the net pay scheme. The left has proposed to wind up the whole scheme in recent years. The Christian People's Party and the Right want to reduce the regime to include only certified seafarers, with a maximum of grants per seafarer. In order to further complicate this, they continue to disagree on the level at which this maximum is to be applied. The proposals of the representatives include two aspects: the legalisation of the net pay scheme and the introduction of a ‘full net pay scheme’ and the removal of so-called ‘serious restrictions’ on the scheme. In the case of the former, it's my opinion that a law-enforcement will not represent greater stability. No law is more stable than the majority of Stortinget wants. Although the net pay scheme was statutory, legislative changes could equally be fully adopted in relation to proposals for government budgets. Thus, the system is subject to the same processes as we have today, with a system set out in the regulation. It is exactly the same majority that pass laws in Norway, which adopt budgets in Norway. With regard to the alleged ‘serious’ constraints, I would point out that different European countries have different arrangements. The Norwegian net pay scheme is at least as comprehensive as the reimbursement schemes in e.g. Germany and the Netherlands. The Government provides stability but considers routinely the need for any improvements or adjustments to the net pay mechanism in the ordinary budgetary processes. Unlike the opposition parties, the government stands for stable and competitive framework conditions. We are the guarantor of continued support for the Norwegian maritime industry and the Norwegian seafarer's stand.
ParlaMint-NO_2012-01-31.ana.ud2406e451	It's being opened for line change.
ParlaMint-NO_2012-01-31.ana.ud2406e455	First of all, I want to thank the Council of State for the article, even though I disagree with a lot of it. The Council of State is trying to create the impression that this is a system that is going very smoothly, and that – under this government – has had a steady increase. There has been a steady increase over time, but in recent years we have unfortunately seen a decrease in the number of seafarers included in the scheme – see. The government's own draft budget, which showed a decline. In addition, when he began as Minister of Industry, the Council of State began to travel both here and there, doing a phenomenal job. The councils and others warned that the great flag was to be reached, as was the case with both Mr. Fredriksen and others. So it's going to be an abrupt stop. My question to the Council of State is this: what will the Council of State actually do to ensure that we do not have a further decline in the number of seafarers within the scheme, so that we can maintain the level of employment we have?
ParlaMint-NO_2012-01-31.ana.ud2406e466	These are a little bit different questions. Whether shipping companies choose to flag home or not does not necessarily have to influence the number of seafarers that Norway has. But we believe that it is an independent goal to have as many boats as possible under the Norwegian flag, among others. because it gives us greater weight internationally, in international organizations. Being one of the largest maritime nations means that we have a greater impact on everything from environmental rules to competition rules in international discussions. So it's about keeping a high number of seafarers, that's an important part of our cluster. We know that both the shipping companies, the shipyards and the supplier industry tell us that the competence of our seafarers, from the use of the boats to the use of equipment, contributes to technology development in these Norwegian companies as well. Here I see the opposition cracking. Here, the Progress Party has the most to pick up from a collaboration with the Red-Greens. We're still going to bet on that in the years that come.
ParlaMint-NO_2012-01-31.ana.ud2406e473	When you hear the position representatives, you can get the impression that the net pay system is something that is cut in marble – it was once adopted by the red-greens and must never change. It's not like that. What we know is that all those who feed are influenced by changed framework factors and that the world is changing around us. It's not that for the Right this is completely uninteresting. Nor is it the case that the Right is too unpredictable for business, which is completely wrong with the Council of State. The right has put forward proposals on the framework conditions for seafarers engaged in international voyages. An important part of it is how the international ship registers work. In 2010 we received a letter from the Council of State saying that the government of Stoltenberg too changed things, and that they were working to change the system. My question is, as far as the net pay scheme is concerned, what do you now do to arrange it further, and what about the operating range limitations in NIS, as was mentioned in the same case?
ParlaMint-NO_2012-01-31.ana.ud2406e480	The government adds up to a stable framework around the maritime industry. We believe that we have competitive conditions now, both for shipping companies and to maintain the number of Norwegian seafarers on board the boats. We record that the opposition is very divided here, with especially the Right that drives cuttings, among other things. in support schemes for seafarers. We have looked at the limitations of the area of use, but it is very difficult to make arrangements that meet all the objectives we have; to ensure good conditions of competition, to secure seafarers and to ensure a good and efficient industry. So, as of today, there are no plans to amend this legislation. And as the representative is certainly aware, long-term predictability is one of the key prerequisites for a competitive business, so that you know what framework conditions you have to invest in. It is also the government's aim in the maritime field.
ParlaMint-NO_2012-01-31.ana.ud2406e487	I'll go a little further in that track that was in my previous line exchange with the Council of State. The proposals of the Progress Party, which we have to deal with here today, and which unfortunately are downcast, are part of several issues relating to the framework conditions for the shipping industry in general and the maritime cluster, the maritime cluster, where very many depend on each other. In the context of the revised 2011 budget, the government wrote that the number of seafarers employed under this scheme was falling. As a result, the appropriations were reduced. The 2012 state budget also states that there is a further decline in the number of seafarers employed, and therefore a further decrease in appropriations is being made. I asked the Council of State instead: what will the government do to ensure that there is a rise in this matter, to ensure that the competence remains there, that we have Norwegian seafarers there, etc.? That is precisely when the framework conditions are important. Will the Council of State propose anything in this regard?
ParlaMint-NO_2012-01-31.ana.ud2406e498	Making sure that we maintain a significant proportion of Norwegian seafarers, there are many factors that affect us. Of course, the framework conditions for the whole industry are one of them, and ensuring that we have Norwegian shipping companies that also recruit Norwegian seafarers is an important part of it. The net pay scheme also contributes to the more profitable recruitment of these seafarers. But then, of course, it's a basic premise that we are able to train new generations of seafarers, that maritime education is perceived as attractive. We've had a full review of maritime education to see how this system can be made even better. In the yard package, which we presented in the spring of 2010, it was precisely that of building skills, of ensuring innovation across the sector, and of having maritime clusters in the regions that contribute to the attention of both industry and recruitment, important factors. So we get to keep talking the industry up and give an offer to young people who want to bet in the maritime sector.
ParlaMint-NO_2012-01-31.ana.ud2406e510	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2012-01-31.ana.ud2406e515	There has been an interesting debate, which shows that Norwegian shipping has an enormous impact on employment. In some parts of the country, it is much more important than in others. The western part of the country is distinguished as having the most employed both directly in the industry, among suppliers such as shipyards and among service providers. A 2011 report by the Haugaland and Sunnhordland maritime industry shows that total turnover in the maritime industry in the region was 35,12 billion. kr. This is a formidable amount. I would definitely recommend to all those who are concerned about and interested in shipping and the ringing effects it has on other industries, to read the report. Parties to the Government write in their comments: ‘This government has invested in maritime nutrition through concrete measures.’ They indicate that the industry is provided with a predictable framework through the continuation of the net pay scheme in the State budget for 2012. The continuation adopted results in a significant deterioration in competitiveness against the shipping of other countries. In the context of the government’s proposals for the 2012 government budget, the head of the Maritime Forum stated that this year also ‘seafarers’ scheme is not regulated in terms of overall wage development or price and inflation’. And on the other hand, ‘The static ceiling introduced by the government in 2008 is fixed. This means, in effect, that the Norwegian scheme weakens its competitiveness every year and that the costs of investing in Norwegian competence are now about 25 per cent higher than other European net pay schemes.» This shows that the government's policy does not concern Norwegian shipping. But I agree that, after all, it is better than the policy of some parties that want to nullify the system – or the parties that have a policy in the area where they only want the net pay system to apply to the officer. If we look at developments in the Haugaland/Sunnhordland region regarding the number of Norwegian seafarers and the number of foreign seafarers on Norwegian ships in the period 1999–2011, the number of Norwegian employees has doubled, while the number of non-residents has actually tripled. If this continues, we are at risk of losing many jobs at sea. This can also have a significant negative impact on suppliers of the marine industry in the long term. A poll conducted by the Maritime Forum among shipping companies showed that all shipping companies believe that the continuation and strengthening of the reimbursement system for seafarers is one of the most important issues for industry. The Progress Party considers that it is of great importance that Norwegian shipping is given predictability and the same framework conditions as those with which they compete. Therefore, it is of great importance that we get a statutory, full-fledged net pay system for seafarers.
ParlaMint-NO_2012-01-31.ana.ud2406e543	Several have not asked for the floor on case No. 2nd@item: inlistbox
ParlaMint-NO_2012-01-31.ana.ud2406e557	At the request of the Business Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it will be suggested that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-01-31.ana.ud2406e566	The Economic and Social Committee has examined the proposal to repeal the ground law ban, promoted by the Progress Party. This proposal has become much more topical than one could believe, as the government has also provided this kind of signals in the agricultural notification. When you look at the statistics, there are an incredible number of agricultural properties that are built with residential buildings. The agricultural area of up to half of the properties is actually rented out. We're talking about 154,000 properties. There is also a large share that does not operate. It is clear that there is a significant structural problem below this. The government has probably also seen this, as it is now signaling, at least in the agricultural notice, that something has been done about this. But I think it is important that this is seen in the context of other measures to change the structures of agriculture, not just the ban on sharing. We're talking about housing, we're talking about price regulation. This is also about getting more appropriate user sizes. In the agricultural notification, the government is just pointing to increasing output. It's clear that more appropriate usage sizes will be absolutely crucial, and also selling areas that do not provide the basis for their own operation, when we know that 48 pst. of all these properties are land that has been disused. And we know -- and that's not something you know by being in this room -- when you talk to those who run this earth, who say that if this was my land, if I could get it, that it would be a completely different kind of agronomy, you would drive it in a different way. That's all: you maintain your own house – to take that analogy – in a better and different way than what you do with a house you just rent. So this with the ban on sharing is probably what's been the most difficult, and it's been for a long time. A local peasant team leader in my own county, Vestfold, wrote in Bondebladet, I think it was, a year ago, that it should have been a sharing order rather than a ban. It says a little bit about how you perceive this in the industry. Then I have to say that I am happy that the government is carefully providing these signals in the agricultural message, but I must also say that it should have been done a long time ago. It has not been missing on occasions: several times it has been proposed from the opposition — from the Right, from the Advance Party, from more or less an overall opposition. This is a development that comes, and it is important for Norwegian agriculture. It is also important for the objectives set out in the Agriculture Communication on increased self-sufficiency and production. It's at the bottom where you have to have areas that are more efficient to use. It is therefore not surprising to note that the red-greens also agree this time that this can be annexed to the Protocol. Neither for its part nor for the other lots votes to lift the prohibition. The reason for this is, as I have pointed out, that this must be seen in the context of more flexibility in other legislation. Even though the ban is a lot of embellishment, we might see from a review that maybe you shouldn't remove it completely, maybe there will be some cases where it might be relevant to have it. But there can only be a review of this, and I hope that the Minister of Agriculture will take it. He has said that he will take it, and there is no reason why we should wait for it at all, as we have done with other things. Get started! It will be very good for Norwegian agriculture. Of course, I'm also taking up the suggestions – if there were any, and that was it?
ParlaMint-NO_2012-01-31.ana.ud2406e586	There are no proposals from the representative's party, but he has defended the position, and we are going to come back to it.
