ParlaMint-NO_2012-06-13.ana.ud101e55	The representative Snorre Serigstad Valen will present a draft constitution.
ParlaMint-NO_2012-06-13.ana.ud101e161	It's going to be line change.
ParlaMint-NO_2012-06-13.ana.ud101e164	The birthplace of the Workers' Party is well known: the Labour Party and the Government are responsible for extra transfers to the municipalities, and the municipalities have been given billions more to welfare in recent years. However, the Labour Party does not mention that we are becoming more inhabitants of Norway, that it is becoming more expensive to operate municipalities and things like this. The feedback we get shows that the municipalities are struggling financially. We also see from figures that the average operating result of Kommune-Noreg, which in 2009 and 2010 was 3 pst, has fallen to 2.5 pst. The number of ROBEK municipalities in 2009 was 42, now it has increased to 52 – i.e. ten more ROBEK municipalities. My question will then be, how do all these increases in transfers to the municipalities result in a decrease in operating profit and an increase in the number of ROBEK municipalities?
ParlaMint-NO_2012-06-13.ana.ud101e173	It is true that transfers to municipalities have increased – they have increased sharply during this government. What municipalities have spent money for is precisely creating welfare services. They have hired people to care for the elderly, to expand well-being, to have employees in kindergartens – let me remind you of the great baby-sitting lift. The money has gone to what they're going to do, to create more well-being. It is also true that there has been a high increase in activity in municipalities, which means that the debt burden has increased. At the same time, I would like to remind Hagesetter of the hearing that we were at, where the local community association actually said they were satisfied with the arrangement that is in the municipal proposition this year. This does not mean that all the problems in the municipalities are solved, but that means that this is a powerful handshake for them.
ParlaMint-NO_2012-06-13.ana.ud101e180	The representative Olsen followed the exact same recipe as before, claiming that you are very satisfied with the resource effort. It's also true that the Right Alternative Framework is not worth mentioning over government, but we have some ideas about how we can make better use of people's tax money and create more well-being. Olsen was also involved in the build-up of debt that is now occurring at a formidable pace — almost the same rate as in southern Europe. Now it's 44 pst. of the annual operating costs that are the liabilities of municipalities and there is an increase from 10 pst. My question is then: if the Workers' Party is concerned about the build-up of debt, I would like to ask Ingalill Olsen to mention one measure, which in practical policy would lead to municipalities being able to reduce the debt burden – just one measure.
ParlaMint-NO_2012-06-13.ana.ud101e189	As regards the increase in activity in the municipalities, I mentioned in my previous reply that it has been very high. This is also reflected in the debt absorption. We know that it's being renovated around, it's being built new, it's being built new kindergartens, and it's incredibly positive. At the same time, I think everyone, no matter what party you are in, will follow closely the build-up of debt in the municipalities. It is the local authorities’ own responsibility not to take on more debt than they can serve. The most concrete thing that can help limit the debt situation in municipalities is, in fact, the arrangement in the municipal bill, with increased transfers. If the Right's provisions on taxes, as I mentioned in my post, had been introduced, it would have been significantly worse, and the debt would have increased even more.
ParlaMint-NO_2012-06-13.ana.ud101e198	I also want to follow up on this track that Michael Tetzschner had in mind about the huge municipal debt of well over 200 billion. kr. We could also mention the delay in maintenance, which is approaching 140 billion. kr. Ingelill Olsen says that this is the responsibility of the municipalities, and places much of the responsibility for the enormous debt on Kommune-Norway. Does the Workers' Party believe that the government's policy and the sky-high expectations created by the government in Kommune-Norway cannot be linked to the enormous debt that exists in Kommune-Norway? Does Ingarill Olsen think it's not the government's job to make sure that this debt goes down?
ParlaMint-NO_2012-06-13.ana.ud101e207	We have a local democracy in Norway, i.e. that each municipality is liable for its own debts. But high activity also means high debt, and I think this is a cooperative where the local government and local government are going to interact. I actually have a proposal to the Christian People's Party on how they can help: the Christian People's Party has joined a note from the Right that the tax distribution should be changed to keep rich tax municipalities 50 pst. of its income. This will hit 90 pst. by the municipalities. If the Christian People's Party departs from this, they will actually contribute to the fact that the municipalities have more to route with, not less. If it is as described in the comments that the Christian People's Party has participated in, you are contributing to the poorer municipal economy in 90 p.m. by the municipalities. I can hardly imagine that the Christian People's Party is comfortable with that.
ParlaMint-NO_2012-06-13.ana.ud101e214	The cord shift is over.
ParlaMint-NO_2012-06-13.ana.ud101e218	When a person listens to the case spokesman, he gets the impression that things are going very well in Kommune-Noreg, and of course there is a lot going well in Kommune-Noreg – there should only be a lack. We are one of the richest countries in the world. We have the best intentions to have a good municipal sector and good services in the municipalities. Unfortunately, the feedback we get suggests that this is not the way it should be in all areas, and it comes from many things. The Progress Party believes that, among other things: Because we have a system that doesn't work properly. The progress party therefore has a different municipal policy starting point than the government and the red-green parties. The core of our municipal policy is to put man in the center. Municipality is for the inhabitants, not the other way around. The public has a superior responsibility for the quality of the services provided, but does not have to perform the tasks that individuals, businesses and private individuals can do just as well or better. In any case, the public must have a financial responsibility. We would therefore like to introduce a need-driven state funding of basic welfare services in the municipalities. It works so that one first identifies a need, and then it triggers government funding. This means that it doesn't matter whether a cage in a poor or rich municipality, one identifies a need, and thus triggers funding. Who performs these tasks is usually irrelevant to the individual, only one gets good services. The municipalities have a responsibility to facilitate, but one can leave to private operators to perform these services, where there is room for doing so. When it comes to tasks beyond this, we want it to be financed mainly by local taxation, but also by framework transfers from the state. Of course, until we get an impact on those thoughts and systems change, we have to rely on today's framework licensing system and the challenges it presents. The Progress Party believes that the frameworks signaled by the government through the 2013 Municipal Proposition are far from adequate in relation to the challenges facing the municipalities. The Progress Party has therefore proposed to increase the municipal framework next year by 1.5 billion. kr more than the size of the other parts. In addition, we're also proposing 2 billion. For further information, please contact the local government. It is interesting to criticise Right for not giving more money to municipalities, the Labour Party's municipal political spokesmen. At the same time, the Progress Party gets criticism that we're giving more money to the municipalities. For me, it sounds like cooperation between these parties will be very good for Kommune-Noreg. Many things go wrong in Kommune-Noreg. The local authorities are struggling with the poor economy. Indebtedness, which many people have had, has more than doubled under the red-green government, and new tasks are imposed on the municipalities, for example. The cooperation reform, without enough money and all provisions in place. The maintenance work in Kommune-Noreg has also increased, and continues to increase. In the case of barley, it is estimated at 90-140 billion. kr and that it increases by between 1.5 and 3 billion. kr per year. When it comes to roads, it's estimated at 20-40 billion. kr and that it increases by between 1.5 and 2 billion. kr. And when it comes to water, sewerage and renovation, there's an estimate that the total maintenance run is 110 to 196 billion. kr. The amount of increase each year, I just didn't find any number of it. It also appears that average operating performance in the local government sector is falling. It was in 2009 and 2010 at 3 pst. In 2011, it has decreased to 2.5 pst. When it comes to the number of municipalities in ROBEK, the last three years have also gone wrong. In 2009 there were 42 municipalities in ROBEK. Now we've got new, up-to-date figures that show that this has risen to 52 municipalities, ten more in three years – and this has happened at a time of record low interest rates. The municipal bill for 2013 also does not provide a positive perspective. When one takes into account that we are getting more and more older, plus that one also takes into account the increase in pension costs in Kommune-Noreg, probably increasing interest costs, new tasks and more regulation management, it is difficult to see that the municipalities get better out next year, rather the opposite. The party of progress fears that a already strenuous local economy will worsen next year. This, of course, also means that the huge delays in many municipalities are experienced in relation to the rehabilitation of municipal building stock and infrastructure resulting from a strenuous municipal economy, not being reduced, but increasing further. In the case of care for the elderly, the Progress Party has noticed that the government is now moving away from its pledge to build 12,000 new sick homes. So far, only 1,000 new sick homes are built. So one is far behind the form. We believe that this is worrying and is afraid that these developments will lead to that the municipalities do not have the power to meet the need for more sick homes and a worthy care for the elderly. In order to provide good care for the elderly, action is needed and not just electoral campaign. In order to make better use of their limited resources in the municipalities, it is also necessary to facilitate competition, both in the field of internal competition and external competition. Competition is healthy. In this way, we can have a positive development for the municipal sector and a greater degree of choice, for the benefit of the inhabitants and the service recipients. Welfare technology is a theme that the Progress Party has become interested in. We also have proposals for representatives on this subject, which will be discussed in the autumn. In this context, it is important that central authorities also take action to make use of the opportunities and technologies to provide better care for the elderly. In Norway, we have a budgeting system, an accounting system that is obsolete and that covers the real economic situation of municipalities. We don't have a depreciation, but we have a deduction as one cost. If we had had such a change, for depreciation, as Norwegian companies have, this would lead to red numbers in perhaps most of the country's municipalities. Therefore, short-term and long-term grips are important. In short, in connection with this proposition, we suggest adding more money to the municipalities, so that they can do their job and prepare for future challenges. So we're going in for 1.5 billion. kr more to the municipalities than the government does. We will mainly pay attention to the care of the elderly, the school, the psychiatry and the care of the russian population. Then we also have 2 billion. For further information, please contact the local government. It's a maintenance drop that now seems to be increasing further by the government's signals. That's what we think is very unfortunate, and that's why we're making more money for it. In the long term, there is a part that needs to be done, which I have also had to do. We need to change the accounting system – see the real situation in Kommune-Noreg. We also need to stimulate healthy competition and, therefore, greater freedom of choice for citizens. So we can get more and better well-being for each of the municipalities. Finally, I would like to re-submit the proposals that the Progress Party is behind, whether alone or in conjunction with others.
ParlaMint-NO_2012-06-13.ana.ud101e260	The representative of Gjermund Hageseter has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2012-06-13.ana.ud101e265	The party wants government after the next big shot. It is not surprising that they are doing so, because they want to pursue the Advance Party policy. However, in several areas, the Right has rejected the policy of the Progress Party. It concerns economic policy, immigration policy, climate policy and pension policy. In the debate we had here in the Chamber on the relationship between the State and the Municipality, Røjres Trond Helleland spoke about the party's unit price financing and the liquidation of the framework financing. He said that ‘the vast majority always have a majority’ And he went on to say that ‘it will have a little to make use of completely fundamental revolutionary principles for the relationship between the State and the municipality’. What do Hagesetseter think about the fact that the policy of the Progress Party has been depreciated by the Right in another area?
ParlaMint-NO_2012-06-13.ana.ud101e280	I don't understand that the Progress Party and the Right are far from each other. I thought that the Progress Party and the Right have a good starting point for becoming a few and could form a government in layers. But now the representative Magnusson also knows that we cannot conduct government negotiations here in connection with the municipal proposition. I don't think she's waiting either. But the Progress Party has its starting point, the Right has its starting point, and before 2005, the three parties that now form the government had their starting point, and then settled into negotiations to become some. I'm experiencing the difference, or our starting point, as far better than that for the three red-green government parties in 2005. So this I think the representative can take it easy. We're going to do this in a straightforward way.
ParlaMint-NO_2012-06-13.ana.ud101e287	The party of progress writes in its comments together with the Right and Christian People's Party that «municipalities shall have the freedom to make independent priorities. It is then important to have an income system that provides room for local priorities’. Paradoxically, at the same time, the Progress Party is the only party in the Committee that believes that framework funding is a very bad idea. The majority of the municipal budget goes to service production, and the Progress Party wishes to finance the whole range of services. My question is, what are the municipalities going to use this freedom for? What kind of room for action will they have when the entire budget framework has been withdrawn and the entire municipal budget is tied up to one-off price financing? It's kind of like I was going to give my boy 50 cents and say, now, my boy, you can go to the store and buy exactly what you want.
ParlaMint-NO_2012-06-13.ana.ud101e299	It is such that the Progress Party believes that basic welfare services in municipalities should be needs-driven, with state funding. We believe that the services are so important that one should get them delivered, regardless of whether a cage is in a rich or poor municipality. In the past, kindergartens were also funded in this way. Then, according to a pattern that the Progress Party wants, one received money from the state according to a single price system. If one had so and so many children in kindergarten in then and so many hours, knew how much one got. It gave freedom, it gave the possibility to plan. So the government took these money out, and one was going to put it into a frame called free money. But these aren't free resources. Local authorities still have to provide childcare services in the same way as before, so this is really just a game of numbers.
ParlaMint-NO_2012-06-13.ana.ud101e304	It is possible that I now ask questions only for once to get about the same answer that Gjermund Hagesetter gave to the Center Party. But I'm also very fascinated by this with need-driven, 100 pst. funded welfare services. For the Progress Party says that all welfare services in a municipality should be moved up at state level. There must be a relationship between the country and the individual user who has a legitimate need, and there will be 100 pst. funded when satisfied. I expect that in this case it will be up to the legal system if the users feel that they do not get what they think they are entitled to. How, then, does it feel for a political party to think that giving Kommune-Norway greater freedom to act more on its own and to develop its own policy, while all welfare services – all that a municipality does on welfare – are a relationship between the state and the individual?
ParlaMint-NO_2012-06-13.ana.ud101e313	Now it is not that the method of funding that we are proposing is unknown. I mean babysitting in my place. Resource-requiring services are also partly funded in this way. One analyses a need, and then receives funding from the state based on the needs of the individual municipality. When it comes to resource-requiring services, this can vary greatly from municipality to municipality. This gives the municipalities that have the largest expenditure in that area more money than the municipalities that have less. But in any case, the municipality will be responsible for the delivery of these services, either by the municipality or by others. But what is behind this – and where the Progress Party and SV are likely to differ from each other – is that the Progress Party believes that the municipalities exist for the inhabitants, and not the other way around. We see the inhabitants in the center, and we want to ensure good services for the inhabitants. That's what's overseeing the target.
ParlaMint-NO_2012-06-13.ana.ud101e322	The cord shift is over.
ParlaMint-NO_2012-06-13.ana.ud101e325	The municipalities constitute the very core wall of local democracy by the municipalities forming the foundation of the government of the people and representing the proximity, belonging and ability to influence the population. Individuals and communities shall have great freedom to take decisions relating to themselves. The local People's Government ensures closeness between elected and elected peoples and contributes to co-determination, freedom and membership. The municipalities represent the very foundations of the local government and represent the proximity, belonging, security and possibility of influence. Right wants to reward value creation and industrial development. That's why we want to give the municipalities a share of the corporation tax and let the municipalities keep half of their own tax revenue – as they did under the Bondevik II government. This must be accompanied by other changes in the income system, with a view to achieving a balanced and good development in Kommune-Norway. When the municipalities were deprived of income from corporation tax, they lost an important incentive for local economic development and value creation. The right will therefore allow municipalities to retain a greater proportion of their own income through corporation tax, as it will contribute to the growth and well-being of the community. This has been proposed by the Right as long as the Red-Green government is seated. This year, obviously, propaganda machinery has woken up in the government quarter, first through Secretary of State Sandbakken, and now, at the latest, through the Labour Party's municipal political figure Olsen, who has come forward with bad luck to overcome the effects of our proposals. The reality is that so many and major changes have now been made to the income system since 2005, that it is totally unprofessional to compare the figures for 2011 or 2012, and 2005 as the Ministry of Local Affairs has done. It also admits the Ministry of Local Affairs itself: ‘Due to the changes in the period, it is not possible to compare the 2012 cost-balancing with the 2005 cost-balancing.’ And... ‘A full calculation of the results of all changes between 2005 and 2012 is therefore not possible, but on some assumptions the Ministry has estimated the effects for each municipality.’ The quote is from the State Council of Liv Signe Navarsete's letter to the Right, by Bent Höie, on 4 June 2012 – three weeks after the Ministry had used its presentation of the Municipality Proposition to attack the Right Order. Three weeks later, when we asked, the department published the numbers, otherwise they were probably meant for internal use. Right will stimulate business development and value creation. We want an income system that focuses on creating, and we want to turn the course from today's course, where more and more people are drawn into the state register to be distributed according to the red-green taste. The government says that the financial arrangement will result in SEK 4.75-5 billion. kr more in free income for municipalities next year. At the same time, we know that there is now a historical growth in the population, which means that the demographic additional expenditures are about 3.5 billion. kr next year. It is based on the SSB average population growth forecast for 2013. If the population grows as much as it is now -- there's a historical growth in the population -- there won't be many extra crowns to travel with next year. In other words, there will be no violent uplift in the local economy. The more important it becomes to give municipalities greater freedom. The municipal sector has a separate responsibility towards its citizens to perform basic tasks by providing services, promoting social development, exercising powers and being a local political institution. At the same time, the State has a responsibility to provide the local government sector with the right conditions for the performance of the tasks for the benefit of its citizens. Norway faces a number of welfare challenges affecting municipalities both directly and indirectly. Local authorities are being bound by the increase in individual rights in more and more areas. The municipalities are also directly affected by, among others. ageing of the population through an increased need for municipal services in this area. This will be demanding for the municipalities, not least financially. The key issue today is whether the ability of the municipal sector to perform its tasks for the benefit of its citizens is best strengthened by stronger state governance or by stronger municipal autonomy and greater equivalence between the municipality and the state. During today's government, municipalities and county councils have been given more and more statutory tasks without the funding being included. This means that municipalities have to cut into their other responsibilities. The need for freedom for Kommune-Norway also means freedom from underfunded reforms. In many ways, the government threatens the freedom of municipalities through the lack of funding and promises that make local politicians in challenging situations, because they are unable to deliver what is expected of them. As a result, the freedom to prioritise in line with local policy needs has been weakened. However, the most important freedom for municipalities is the freedom to provide good enough services and freedom for local adaptation. The main threat to this freedom is that there are no resources to develop and maintain skills-based, stable, locally adapted services in the areas considered to be the most central ones: school, health and care. More and more tasks are being transferred by the State to the municipalities, usually accompanied by strong rights legislation. Local authorities are experiencing an increasing imbalance between the tasks, expectations and the economic space in which they actually operate. This reduces the power of local elected representatives and makes them administrators of government policies. At the same time, state authorities have a comprehensive right to object and control municipal planning. As a result, in many cases administrative bodies are overseeing elected representatives, which, in their opinion, is a democratic problem. We will provide more power for municipal elected and less power for state governments. Municipal self-government is currently underprivileged in law, and is increasingly being eroded by state control. The responsibility for local policies thus becomes more unclear. The relationship between the state and the municipality of a welfare state with strong centralist features, but at the same time with a tradition of local self-government, is exciting. Judicial practices play a very modest role in municipal law in Norway. Partly to compensate for this, the practice of central government is central. A clear advantage of this could be better safeguard in the interests of legal certainty and equality across local borders. In relation to local self-government and the action rooms of municipalities, the main disadvantage is that central government is easily becoming the dominant source of ‘current law’ of importance for municipalities and counties. This applies even in areas where the State and the municipalities may have opposite interests. The day-to-day arrangements for resolving disputes between the State and the municipality are not satisfactory. Problems arise when the State acts as a judge not only following the legislation but also exercising political discretion. I therefore refer to the Right’s proposal, Document 8:32 for 2011–2012, to establish a dispute resolution body between the State and the municipality. Today's organisation of Kommune-Norge prevents many municipalities from being able to perform tasks in the best possible way for the inhabitants. The right therefore sees the need for a comprehensive task and community reform that ensures more freedom and greater responsibility for creating better services and more robust municipalities. Municipalities should have the necessary freedom to facilitate growth and growth in wealth, and we distance ourselves from those parts of government policies aimed at preventing development and economic growth. The right has seen the benefits of competition in a number of areas. We see a great potential for the outsourcing of municipal services and that municipalities likewise compete for attracting business and skilled citizens. Simplification from today's system to a two-tier model with only state and municipality will contribute to efficiency. The law fixing of the co-municipal model considers the Right to be a step in the wrong direction. In addition to the Quality Community Programme, the government's work on renewal in the municipal sector has stopped. Municipalities are now working hard to convert and streamline their expenditure in line with the level of income. If local authorities do not have the opportunity to convert and streamline their efforts to get more money back, the consequences will be reductions in the provision of services and a reduction in quality in parallel with increased expectations as a result of government policies. The right-hand side of the equation is that we give the municipalities the same frames as the government gives. We've given neither more nor less, and therefore we don't paint the situation. But what is our starting point – when the government wants governance, when the government wants to draw all the tax resources into the treasury and then distribute them again – is that we want the municipality to be able to retain more of what is created in its own municipality. It's no unreasonableness. Then the government parties, especially the Workers' Party, decided that the redistribution to which it is added would be very unsocial. It assumes that you don't make any other changes. However, the Ministry itself answers that since 2005, there have been so many changes in the income system that it becomes impossible to compare. I can assure you that if there is a change next year, the municipalities will experience a stable, good income development where value creation and the creation of jobs are prioritised and weighted differently from the current government. We will give the municipalities greater freedom and limit the state interference.
ParlaMint-NO_2012-06-13.ana.ud101e378	It's going to be line change.
ParlaMint-NO_2012-06-13.ana.ud101e382	Right wants to distribute money to Norwegian municipalities in a different way than the government parties want. When the Right uses the concept of municipalities retaining more of their own tax revenue and maintaining company tax, it gives the impression that all municipalities will receive higher income. Of course it's not like that. Right will take money from municipalities with low tax incomes and give to municipalities with high tax incomes. It affects a lot of municipalities. It means cut in welfare. Note that the Right of Greece is now trying to turn away from the consequences of its own policies. Isn't the Right concerned that almost nine out of ten municipalities get less money with the Right Income System? Or will the Right claim that the arrangement of the party will not redistribute the income to the municipalities? Then why do you do that?
ParlaMint-NO_2012-06-13.ana.ud101e389	It sounds like the municipalities have to give up tax revenue to the state, almost a debt. It is the State that collects the income of the municipality and re-distributes it. Ingengill Olsen said in his post that the municipalities in the lower part of Buskerud would lose. Then she did not take with the municipalities that would benefit from our arrangement. This is based on a calculation that, according to the municipal minister, is impossible. If you had taken Drammen and Lier in that comparison, the municipalities in the lower Busherud would be left with a plus of five million. kr next year. This is getting too simple. When I then spent a large part of my post saying that we will also make other changes to the income system – which will not result in a sudden upheaval, as the Ministry of Local Affairs at Sandbakken and Ingelill Olsen have added – I don't think the municipalities have anything to fear. Those who have something to fear are those who are opposed to value creation and local welfare development.
ParlaMint-NO_2012-06-13.ana.ud101e398	Right, do what opposition parts like to do. On the one hand, in their own comments, and on the other hand, together with others, they write out the dissatisfaction and the criticism that is being expressed about the state of things in the sector. At the same time, right does something that not all opposition parties do, because they say they don't want to spend more money than the government has put up in this area. Honor be right for it. Then my question relates to the fact that the Right at the same time says that there are many state reforms that are underfunded, implicitly that there should be more money here that followed with the reforms. But from that point of view, are there any reforms that the State should not have undertaken together with Kommune-Norway? What reforms are there in this case?
ParlaMint-NO_2012-06-13.ana.ud101e407	It's not that we wouldn't implement some reforms, but as I said in my post, we would have done things another way. The most nearby example of this is the Interaction Reform; an overall opposition in this process said that here we have to move forward in a different way. First we have to build up the offer locally, then we have to gradually transfer responsibility. Now we see the opposite. The reform has been fully implemented. Some municipalities are doing well, but other municipalities report that they have major problems with patients who are ready to print, and that this will be a burden for municipalities. There is something about the approach to how to tackle reforms. We want the reforms to be calculated, calculated, using the KS. But we also want the municipalities to be able to handle this. The interaction reform is an example of a reform that some places are going well, others are not doing well. Then we would give the local responsibility down to the municipalities, so that they could implement it when they were ready.
ParlaMint-NO_2012-06-13.ana.ud101e414	Greece closed its intervention by saying that if they come to power, they will give the municipalities greater freedom and limit the state interference, they want municipal autonomy to be strengthened, they want less government governance, restrict the possibility of state objections, strengthen local democracy, etc. They try to give the impression that they have great faith in local politicians, and one is almost misled into thinking that they share my view that local knowledge is important, and that the sense is evenly distributed here in the country. At the same time, the Right is the only party in the Committee which does not assume that the concentration of municipalities is voluntary. Why is it that municipal politicians who are competent to govern the local economy are best placed to manage land policy without interference from the state, at the same time being completely incompetent in the area of municipal structure?
