ParlaMint-NO_2012-03-07.ana.ud1189e26	The representative, Arve Kambe, will put forward a proposal for a representative.
ParlaMint-NO_2012-03-07.ana.ud1189e86	The municipal minister is often busy with local self-determination and local democracy in festivities, but apart from that, there is not much openly happening in that area – on the contrary, things indicate that things are going in the wrong direction. Feedback from local authorities suggests that local democracy is narrowed – it is weak – and one feels tied to both hands and feet. So you see that the state almost acts like a predator, where you're still getting away with a local space of action. It does one in the form of laws and regulations, as well as in the form of objections. One has a very complicated piece of legislation, and one comes with ever new demands for the municipalities without having to pay for it. There is no question of whether the money should be earmarked or not, so it is not what local politicians are concerned about; they are occupied with the detailed management that is taking place, and by the overly overly rigid statesmen who are increasingly intervening in local self-determination. Only in Hordaland – in my county – is there a project of more than 10 billion. kr, which is now waiting because the state of the county has intervened and stopped these. This, of course, makes it harder to recruit local politicians, but it is not the worst. The worst thing is, of course, that this goes beyond the population — the provision of services is getting worse, and the possibility of getting applications through, for example. in construction equipment, becomes heavy – it takes a very long time. This means that the well-being of the districts of Norway and of the municipalities is reduced. So my question to the municipal minister is, does the municipal minister intend to reintroduce the municipal right of self-determination?
ParlaMint-NO_2012-03-07.ana.ud1189e97	Fortunately, municipal self-government has been introduced a long time ago, and we even celebrate the anniversary of these days, so that the municipal minister is not reintroduced. But democracy must be maintained. The issue has to be on the agenda, and it has to be renewed as time changes change. That is why I have provided a large-scale report that is currently being processed, on the relationship between the State and the municipality. There is no doubt that over the years – and not only under this government, but over the years – there has been a development that has caused many municipalities to feel that there has been a tighter governance chain to it that it has grown up supervision and directorate that may be managing detail in a way that would have meant that it would go beyond what is legislating here in the hall had initially seen its way. Therefore, what the government has now done is that we have provided a big message to clarify the balances between national governance and the consequences for municipalities in future legislative work, in which we are to ensure greater involvement of the municipalities in such processes, where the municipalities are to participate in the discussion of individual rights, which is to give heavy leadership to the action space in the municipalities – an overall evaluation of the requirements of individual level and, not least, a more targeted and requested guidance, where the reporting rounds to be held by the municipalities are to enter into a holistic plan and not just be reporting for their reporting. I'm busy having a good dialogue between the state and the municipality. Both are politically important levels, which interact for the benefit of citizens. Local authorities must also have the capacity for action to have differences locally but to have equivalent services within their national framework.
ParlaMint-NO_2012-03-07.ana.ud1189e108	Once again, there are fine words from the municipal minister – without me seeing that this is being followed up in action in any way. When it comes to this big message, there's almost nothing concrete in it. One discusses problem settings, but one cannot confirm that one, for example. should have a administrative court to settle conflicts between the State and the Municipality, which the Progress Party has been called upon to settle several times. When it comes to the feedback we get, the numbers in KS surveys show that 94 pst. by the municipal plans, deposits or notices of deposits are met when the area part is revised and more than half of the municipalities have received deposits against regulatory plans, even if they are in accordance with the municipality's spatial plan. So the question is again – and then I'm not busy with the nice words: is it going to happen concretely in this area that will give local democracy a strengthening for years to come?
ParlaMint-NO_2012-03-07.ana.ud1189e117	In my previous answer, I list at least five – perhaps six – actions to be followed up and which this room will discuss. There is now a big message here that gives Storting the opportunity to discuss just how one will strengthen the local self-government. I'm looking forward to the discussions that will be here. I think it's weird when you say that one doesn't follow up. The fact that so many contradictions are placed with the statesmen is about the lawmakers, that is to say the Storting, have put the leaders of the statesmen's work that they follow up. I found it difficult to criticise the statesmen for following up national policies. Many of those laws were also passed in good time before this government came in here. This is about wanting a national policy, including: soil protection and coastal zone planning. This government has dissolved and got a differentiated coastal zone planning, which the previous government has failed. So we're going in the right direction, we're going step by step to strengthen local self-government.
ParlaMint-NO_2012-03-07.ana.ud1189e126	Three follow-up questions will be raised – first Åge Starheim.
ParlaMint-NO_2012-03-07.ana.ud1189e129	One consequence of what the representative Mr. Hagesetter is taking up here is that there are too few dwellings built here in the country. KS produced a report that showed that 94 pst. by the municipalities that had revised their spatial plans, received deposits from superior bodies. Many of these admissions are based on political judgement — not on legality and other overarching societal considerations. This study shows some of the challenges that local authorities face when they want to introduce new spatial plans, challenges that delay and reduce access to new land. I hear what the Council of State says, that this is settled by the Storting, and that it will mean that the statesmen have to follow it up. But the result of this is the more expensive dwellings. My question then is: will the Council of State make sure that the Storting gets a case before the summer, so that one can change this hold?
ParlaMint-NO_2012-03-07.ana.ud1189e136	I have warned that on behalf of the government, I will present two big messages – one related to building policy and the other related to housing policy. The government is busy making sure that we have a good and safe place to live for everyone. It applies to those entering the owner's market and to those who are to be rented. The growth in housing prices is not just about the cost of development. It's also about having a pressure where there's been an investment object, as well as a property project, for the family. It is about the fact that there are great variations in the country. In Oslo we have a strong pressure on housing prices. In other cities there is not so much pressure, which the Financial Newspaper appeared a few days ago. The price formation is about both land, construction costs and the price pressure that is caused by the fact that in some parts of the country it is attractive to invest in housing, as well as to get their own home.
ParlaMint-NO_2012-03-07.ana.ud1189e147	Trond Helleland – for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e150	The Storting message State and municipality – governance and interaction were given a long birth – or at least a long birth. It was announced in April last year that it would arrive soon before the holiday. Then came the day before the county of KS began. But when it came, it was converted from being an operational notice to being called a principle notification by the Council of State. KS is – to this extent – satisfied with the fact that a communication of principle has been presented, but asks for concrete action, as requested by the representative of Hagesets. I understood the council until she was open that the Storting could go into concrete action. But I don't think so until I see it – that the government party then has some room for action. Will the Central Party continue the struggle for local self-government, or have they given up the fight against the centralising forces in the Workers' Party and the SV, which have ensured that this message has no content?
ParlaMint-NO_2012-03-07.ana.ud1189e158	First, there is no message without content. Secondly, a principle message was announced, and that is what has been presented, the principle of state governance – and cooperation with the municipalities. For it is not just about government governance, it is about dialogue and cooperation, which must be built on mutual respect – both sides. I also think it's a lot to pick up on an even better collaboration. We have presented measures and legal work on justice and governance, and it will be followed up further. Then, of course, Stortinget will have a free debate and discuss what the Stortingt thinks about both the message and the way forward. I can assure the representative that the Central Party is still going to be a driver of the local space of action and self-government, which we have been in the whole party's history. It's important, if we're going to make the best use of society's resources, that there's local freedom to prioritise, because that's when we get the best priorities, best adapt people where they live, and 100 pst. by us living in a municipality.
ParlaMint-NO_2012-03-07.ana.ud1189e165	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e168	As magnification representatives, we have the joy of quite often travelling in municipalities, and it is amazing how short you should travel before you arrive at a municipality that is central party governed in this country – I have to say. At the same time, clear messages are also received, not least from the central party rapporteurs, about the imbalance between government governance and local self-government. So now I'm going to ask about two things, first and foremost: where does the Council of State think that there is the greatest imbalance between local self-government and state leaders – or overruns, to call it that? And point two: does she have any concrete proposal, as many rapporteurs ask, that some of the power be transferred from the county to the local elected body?
ParlaMint-NO_2012-03-07.ana.ud1189e175	When it comes to pointing out where the biggest imbalance is: what some municipalities are at least reporting to me is that a huge amount of resources for reporting that a person may not see the whole idea. So what we have notice, both that the reporting should be streamlined, and that if one strengthens the internal audit locally, the state's supervision could be reduced, is something that is strongly requested, and that most people take up. It is about the amount of resources seized on this type of work. When it comes to the role of the county council, I am busy that the county council is going to impose on the government and the government. The main responsibility then rests on Stortinget and the government to discuss how to lay them down. As you know, political governance is as much as possible at the hands of both my and the central party leaders.
ParlaMint-NO_2012-03-07.ana.ud1189e182	Let's go to the next main question.
ParlaMint-NO_2012-03-07.ana.ud1189e185	In recent times, we have been able to see over and over again the major challenges facing businesses around the country to acquire the necessary skills. Many of these activities are actors in an international market where, through their strong environments of competence and their competent staff, they have just managed to take key positions globally. Access to knowledge-based staff is a crucial factor in ensuring Norway’s competitiveness. Ensuring access to relevant competences for public and private enterprises is a central task of the Higher Education Councils. The university and higher education sectors shall qualify the students in the disciplines they choose. However, there is an obvious right and obligation for the Council of State to actively contribute to the training of young people in the sector for the jobs that society needs, a right and obligation it seems that the Council of State has systematically failed to follow up. That is why we see, among other things: that there is now a huge shortage of engineers. The right has repeatedly highlighted the importance of political governance, targeted action and sufficient resources to correct the deficit in some disciplines, and we have repeatedly called for the level and objectives of the State Councils for higher education. So far we have not received any answer. So, after the red-greens have run the department for almost seven years, we now see the result: the competitive power is threatened when businesses do not have the necessary skills. When will the Council of State stop holding its protective hand over open-ended studies and places of study and actively direct the resources of studies and places of study to which the students are applying, and the competences of society are screaming for, such as: the training of engineers?
ParlaMint-NO_2012-03-07.ana.ud1189e196	I gradually realized that this question was for me. I am a little surprised that the representative Harberg has not seen the newspaper releases in the last few days. For the good news for the one who's concerned that we're not training enough engineers, is that we're now actually at the top – in many decades – in terms of trained engineers. More than 6,000 fully trained engineers, both with three years of engineering training and with even higher education, have been graduated in 2011. These are the last numbers we've got, which are really amazing. There are record numbers, for never – in many years – have we had such large graduates. My comment on it has been that here we have a good starting point for building a better world and a better society, and I'm absolutely convinced that this continues like that, because real science is something we've invested in. Then the Right Council of State is still calling for the plan. I'm telling you about my plans, but it obviously doesn't mean anything to some representatives. Clearly, we have plans both to train engineers and to train other groups in society that we need. I want to mention here in particular the priorities that came to light when the government a few years ago, a few years in the future, established new places of study. Then we have given priority to three groups, including: engineers, who are important to society. The other two are teachers and nurses. We know that there is a need for that. There's a conscious plan of this, and we're asking our colleges to train people in these professions. So it has to be that the young also have to be allowed to choose for themselves what to become and what to study. We're trying to influence them to study real science, teaching and health, but here, too, there's a certain freedom for the young people themselves.
ParlaMint-NO_2012-03-07.ana.ud1189e207	The response from the Council of State is predictable, and once again the Council of State responds to comparison with historical figures. From 2005 to now, the proportion of the total number of graduates has increased by 0.5 pst. - by 0,5 pst.Oh, my God! Governments do not relate to reality and reality. The need is huge. NITO says they need 7 000 new engineers, Nav says there is a need for 16 000 new engineers, and networks that have engineers as their main group have a thousand vacancies. There's none of this that's being solved by the Council of State. The record numbers are on the record. Will the Council of State now take clear steps to remove the gap — not to continue to increase by small numbers, but to remove the need to maintain competitiveness?
ParlaMint-NO_2012-03-07.ana.ud1189e216	I record that the representative Harberg is not able to see the positive by actually having a higher number of graduates than we have in many decades, or at least in the last 10–15 years. This is such a joyous news about the development of the number of graduates engineers, that I think it's almost strange that you can't enjoy it, but you have to pick some concerns, which obviously right here have. What's important in the future is, of course, continuing to bet on engineering. The fact that you have a need for engineers can be calculated in different ways, and that you have a desire right at these times to have a lot of engineers in place, is a sign that we have a healthy and good economy. In other countries, engineers don't get any work at all, so here we have a situation where many people say they need engineers. We get to train engineers, teachers, nurses and everything else we need, because it's not just engineers we need. And of course we do that according to the current plans we have between the state and the individual educational institutions.
ParlaMint-NO_2012-03-07.ana.ud1189e223	Four follow-up questions are raised – first Elisabeth Aspaker.
ParlaMint-NO_2012-03-07.ana.ud1189e226	Governments are so right that more are being trained, but the need is increasing so much, much more and does not keep up with the slight increase we see in the number of engineers. But if we're going to get more engineers in the future, it's important to light up the real genius early. The right is concerned with several recruits for engineering training, and then measures that can inspire children and young people to make greater efforts in real science are crucial. Renewal of mathematics is important, but most importantly, top skilled real-time teachers, as we now know, will be very scarce in the years to come – not only in high school but also in high school. The right has long called for a massive investment in continuing education to close the gap in competence that we are now seeing opening up at the wall in the real world. Does the Council of State and the government really not see the need for a cap of teaching power to ensure the school's necessary real-life competence and lay the foundations for many more highly qualified engineering students in the future, when society in all sectors...? [[President clubs]] [[President clubs]]
ParlaMint-NO_2012-03-07.ana.ud1189e236	The President will remember the time of speech.
ParlaMint-NO_2012-03-07.ana.ud1189e239	The record figures I mentioned in my answer to the representative Harberg also show a strong increase in the number of graduates of Master's degrees in the real subjects at universities. That's joyous news. This is, among other things, teachers of the future in real science. All of our activity will help strengthen it. As the representative knows, we have a comprehensive real-life strategy – an early-stage initiative, with kindergarten, which involves investing in both science centres and in mathematics at school and getting women to apply for the real subjects. This is a very comprehensive strategy led by an advisory group, composed of many different organisations in society. It's an effort that's been going on for years, and now we're actually seeing good results. We see that there are more graduates, and we see that then the possibility of getting the same promise from the teachers that the representative wants.
ParlaMint-NO_2012-03-07.ana.ud1189e246	Bente Thorsen – for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e249	Knowledge centres and Newton rooms are popular and help more and more children and young people discover how real science can be used in everyday life. Many teachers are taught how to make the real subjects more interesting in teaching. This helps to strengthen students' interest in and knowledge in real science, and it can provide good recruitment to real subjects later. Many students do not have access to either science centres or Newton rooms. In addition, there are many schools that have neither physics nor chemistry. The Council of State also points to the importance of science centres for irritating children’s and young people’s interest in the real world. This is in agreement with the Progress Party, and we are eager advocates for more White Centres and Newton Room. Will the Council of State ensure the creation of more such places?
ParlaMint-NO_2012-03-07.ana.ud1189e256	I fully share the view of the Advance Party on this. The government has so far contributed to the establishment of a number of science centres. They're a little bit different in structure, but they fill the same mission, that's to make sure that not least children can become familiar with real science: mathematics, physics and chemistry. Of course, it will be an important task for us in the future to facilitate that opportunity for several places in the country, but often it is based on a local initiative. We can contribute some grants, but a lot of capital, economics, must be raised locally. But we see the value of this, and we also see the value of it interacting between the science centres and the school, whether it's at kindergarten and school level or at higher education level. We're for, this is positive, and we're trying to do this in good forms.
ParlaMint-NO_2012-03-07.ana.ud1189e261	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e264	The undersigned has registered the increase, and that is good. But it is a tremendous need that the representative of Aspaker stressed. In the opinion of the Christian People's Party, there are two things that need to be done to get future engineers to bite at the hook. One is that you have good bait. That means we have to have practically correct theory. There has been the entrance for many engineers to start with the practical issues and then end up solving the major challenges in society. But the second thing to get people on the hook is to fish in the right place. I ask myself if the effort that the Council of State has put up, is fishing in a bit of a wrong place, because the question is whether many more future engineers would have been found if one had dared to put more effort into fishing in the professional directions. It's designed for a Y-way, but you don't profile this in such a way that you get more people to bite at the hook and become the great new engineers we need. Do you now want to take the initiative to fish in the right place?
ParlaMint-NO_2012-03-07.ana.ud1189e273	It is always nice to discuss with a representative from Sørland about where the best fishing grounds are. I'm assuming the representative's got it all figured out. I also believe that we are fishing in the right places, also because we see that the Y-way solution in engineering is very successful. We may have called this out more and made it even more visible, but it gives a good opportunity for those who start out in higher education to continue and take an engineering course. I guess I'm the only government council that has a model agency. I run model business, where girls are models of real science. Young girls, young students and others go around the schools, both in upper secondary and upper secondary education, talking about the exciting occupations they have as real-time graduates. Many – both girls and boys – are busy making the world better, as I said in my very first post. What we're trying to get is that you're studying real science and, for example, what we're trying to do is you're doing real science. becoming an engineer can help make the world better.
ParlaMint-NO_2012-03-07.ana.ud1189e282	Abid Q. Raja - for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e285	We don't have as many fishing grounds in Akershus, but now it seems that the wolf is starting to get to Akershus. I agree with the reality description of the previous speaker from the opposition, but I note that the Council of State does not have the power to respond to how to meet future challenges. If the Council of State wants inspiration on how to find room for multiple study places funded by the State budget, I would like to recommend a closer look at the Left's alternative government budget. Within a responsible financial framework, we have accommodated 2 000 additional places of study in the current year, including: several places in the field of engineering training. However, what I want to challenge the Council of State on here today are scholarships in the field of technology. A group of experts has recently concluded that there is a need for significant growth in the number of scholarship positions funded by the State budget, particularly in the field of technology and real life. Will the Council of State support the Left in the need for an obligatory and long-term escalation plan in order to secure enough scholarship holders in these areas in the coming years? And does she agree that it's urgent to get such a plan in place?
ParlaMint-NO_2012-03-07.ana.ud1189e298	I know about fishing grounds in Akershus as well, so they exist there as well, and we're going to fish for engineers. The representative asks me a specific question. What's the situation, is that the number of scholarship holders has actually increased, even though there have not been earmarked scholarship positions on the state budget, because they have increased in other ways. The report we received recently tells us that we are reasonably well covered in scholarship positions in the vast majority of subjects, but not in technology and real science. This is important to me. If I fully agree with what is said in the Left's proposal, I am a little uncertain about it, but my plan is that there must be an effort here. Here we have to look at what kind of tools we can use to get the number of scholarships in real science. It's an important part of my overall plan, which, of course, I have for both this education and all education. We're going to train people who are going to be able to do important jobs in society, but we also have to take account of the young people's own choices. We must therefore be able to lure them both to take engineering and to move on and become e.g. fellows.
ParlaMint-NO_2012-03-07.ana.ud1189e308	Let's go to the next main question.
ParlaMint-NO_2012-03-07.ana.ud1189e311	It is almost a shame that the Minister of Fisheries is not here today. She had probably enjoyed well. My question goes to the Minister of Local and Regional Affairs. We have an interaction reform that now strikes the Kommune-Norway, and it does so with a slightly different force. But we see a development that is going to be a real challenge in many municipalities, namely all the ready-to-print patients from the hospitals who are going to find their place in the community health service and get treatment there. As the councils know, the municipalities have received 600 million. kr from the hospitals, who then lost this money. At the same time, we see that this is now a picture that seems to be very different from the municipality to the municipality. We have municipalities that have used up half their pot after two months, and we have municipalities that seem to be dealing with this well. We know that the state is a pretty good cash collector, and these municipalities can already say that they are going to have to cut in other areas to pay for patients who are ready to print. I then ask: What answer does the Council of State have to these municipalities? Does she agree with what the local government's Central Association says, that they expect this to be compensated if the municipalities have not received enough funds? Or is the Council of State prepared to say to those municipalities that can already say that they get a lot of extra costs, that they get to sail their own sea?
ParlaMint-NO_2012-03-07.ana.ud1189e320	There is no doubt that the cooperation reform will require the municipalities in a transitional phase before an experience has been gained to assess the level at which each municipality will live. It shall be paid from the first day of 1 January 2012. Good warning procedures should be put in place to allow municipalities time to surround themselves and accept the ready-to-print patients. And there's a sum of $4,000 in the payments that the municipalities have received. Five hundred and sixty million. kr that has been transferred to the municipalities is a higher rate than the current rate of the hospital. So we've said that because this is a directional reform, and it's a lot of new things to do, we have to follow up on how this turns out for the different municipalities. We also have an understanding of this with KS, while the municipalities of course have a separate responsibility to adapt their activities to the existing frameworks. It is also important to note that for some municipalities, as we initially saw, if we were to call it, there is also a separate compensation scheme, such as: Oslo is a good town. There is a great deal of offer here for those who are ready to print. We need a certain transitional period to be able to build up the local supply. I feel that we have good contact with KS, and that there is a good dialogue between the Ministry of Health and Welfare such as the Ministry of Trade, the Ministry of Municipal Affairs and the KS as the municipalities' representative. This is the theme of the meetings we have evenly, and at least from our side there is a willingness to follow this carefully forward, in case adjustments are needed. I can't answer that today, if it's necessary, but we have to discuss it in that case.
ParlaMint-NO_2012-03-07.ana.ud1189e329	It's always good when governments have a willingness to follow, it's an important statement in itself. But notice that the Minister of Municipal Affairs is meeting a rapporteur, who I have signed, who says that now the state is going to have x the number of thousands of dollars from the municipality, this is the money the state is going to collect – it won't allow mercy to go right – so maybe we'll get, because of good will or adjustments, a few dollars for compensation. But the rapporteur and the local government are now in the situation that they have to consider cutting off the provision of services for pupils, home services, cultural services, in order to meet the bills that the state is actually presenting. Does he have to pay them, or can he expect adjustments for the most difficult to reach municipalities?
ParlaMint-NO_2012-03-07.ana.ud1189e334	Prior to the introduction of this reform, there has been a good dialogue, but also, of course, actual calculations and stipulations of the necessary needs. That's what's behind the sum of 560 million. NOK and the additional compensation scheme of 305 million. kr that has been transferred. In this way, it is possible for the municipalities to cover the costs incurred by the municipalities themselves and to negotiate, which is the right level, because there was agreement between KS and the department that this was the level at which they should be placed. So far I don't see the basis for setting the alarm clocks. I think it's important that we now let the reform work, that we gather information, follow along, and then we get to take a foot in the ground when there's been some more time, and look at how this developer develops. But the signals we've received so far don't indicate that there's any reason to set the alarm clocks on today.
ParlaMint-NO_2012-03-07.ana.ud1189e339	Four follow-up questions are raised – first Hanne Thürmer.
ParlaMint-NO_2012-03-07.ana.ud1189e342	The interaction reform contains strong economic instruments, and money works. As a hospital doctor, I know that the data base on which the municipalities are ready to print is very deficient. Several municipalities therefore report that they have been given too little time to prepare large conversions, and in particular the municipalities that have used hospitals more than the average. These municipalities have to pay more in terms of ready-to- print patients, more in co-financing, and they need to build up larger municipal services. Last night, we were able to read about concerns from several municipalities in Hordaland who are unable to accept their ready-to-print patients and who have limited resources to build up adequate local services. Does the Council of State see that the implementation of the Interaction Reform may have come too quickly for some municipalities, and that such a major reform should have had a gradual escalation of the financial instruments?
ParlaMint-NO_2012-03-07.ana.ud1189e349	The President makes it clear that this supplementary question lies in the border country between the Minister for Municipal Affairs and the Minister for Health, so it is really up to the Council of State whether or not she will answer it.
ParlaMint-NO_2012-03-07.ana.ud1189e352	I can answer in general, but I don't want to go into the subject areas that other government councils are responsible for. But on a general basis, I can say that it is not new that municipalities are responsible for patients who are ready to print. It's had one since the right government introduced it early in the 21st century. The difference is that now we have transferred money, so that the municipalities should be able to accept those patients. When the Right Party, the Christian People's Party and the Left did it, just enough with a few more days' time of thinking before one accepted the patients, but nevertheless, they should have a bid that time too, it did not follow one penny with. So I think we have done what we can to get a good professional basis and a good data base, which will enable the municipalities to accept those who are ready to print, and then to build up their own supply, as well as a stronger commitment to prevention, which I think is a very important part of this reform.
ParlaMint-NO_2012-03-07.ana.ud1189e357	Per Arne Olsen – for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e360	Some of us have registered that the Centre Party is willing to accept it in the government of the Temporary Directive, or the 'disposal directive', which it may be called in new Norwegian. However, sometimes I wonder why one is not willing to use the type of instruments in relation to important Norwegian reforms that have a significant impact on the municipal sector, such as: Interaction reform. It is now that the practice between health companies is very different in terms of who and when you print, and the practice in municipalities is different. But what we're looking at in Kommune-Norge is that the patients being printed are now worse than they were before, and the municipalities are less prepared and have less competence – or not enough competence – to receive these patients. This has been warned against for a long time, but despite the warnings, you push it through. The question to the Council of State is then: how far does it have to go before the Central Party sees that this is going wrong?
ParlaMint-NO_2012-03-07.ana.ud1189e366	Again, the President would like to stress that the questions are at the intersection of the Minister of Health and the Minister of Municipal Affairs.
ParlaMint-NO_2012-03-07.ana.ud1189e369	From that point of view, I should like to answer for the Central Party, and the Minister of Health and Health will have to answer for what is within her field of work. The centre party is in favour of the cooperation reform. The center party has been for what we called the 1 1⁄2 line service. When I entered the county council in 1995, I think it was a big theme in Sogn and Fjordane at the time – then it was the county council that was responsible – how we were supposed to stand up to it then called the 1 1⁄2 line service, which was a collaboration between the specialist services and the municipal health service for the benefit of the patient. A stronger commitment to prevention, more decentralisation of services, better treatment closer to where people live, is something the Center Party supports very strongly about. For this reason, it is all the more obvious to use this right in this case. On the contrary, we have been a driver for this. We are also a driving force for municipalities to do the job in a good way, working with the Minister of Health and Welfare and the rest of the government to make this reform a successful reform, and I believe it will be.
ParlaMint-NO_2012-03-07.ana.ud1189e376	Bent Höie – for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e379	From 1 January, the municipalities received a charge for ready-to-write patients, and from 1 February they were required to enter into an agreement with the health care companies. Health companies have the professional takeover of municipalities in relation to the assessment of who are ready-to- print patients. This means that in the discussion on this very demanding topic, the state and health care companies are placed on all the means of power: the professional means of power, the economic resources and the legal powers. The opposition supported the introduction of payments for ready-to-print patients, but we would reverse the power relationship and give the municipalities the opportunity not to start paying until a voluntary agreement was reached. Why did the municipal minister not stand up for the municipalities and enabled them to have a real debate with the hospitals, but accepted that health companies and the state are in a very difficult situation for the municipality of Norway?
ParlaMint-NO_2012-03-07.ana.ud1189e386	I think that right here gives a slightly distorted picture of reality. This reform does not constitute an abuse of power or an overrun by the state. Some of the most important things that I'm told by municipalities out there are the good cooperation that one might build between municipalities and health care agencies. It will certainly vary in different parts of the country, but is there something that slips me when I now travel around the country, it's actually right that one gets this. One makes it work, one builds good dialogue and good cooperation, built on the system on which the Stortinge has based the reform. It is also the case that there is a dispute resolution body within the Cooperation Reform where the municipalities and the state, if they do not agree, have to take action. It should be to the pleasure of the Right, who has the office of the Administrative Court in a broader field, that at least this is an area in which we can try out such a scheme.
ParlaMint-NO_2012-03-07.ana.ud1189e395	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2012-03-07.ana.ud1189e398	The interaction reform is very positive. At the same time, good intentions don't necessarily make it a good result. There is a huge reform that requires building up considerable competences in the different municipalities. For the time being, this is probably more marked by being a cost-sharing change than being a full interaction reform. With 429 different municipalities, and with the compensation given to municipalities based on historical figures, the interaction reform will necessarily be very different in each municipality. Will the Council of State ensure that each municipality is compensated for the additional costs it receives from the Cooperation Reform, or is it the individual municipality that is sitting here with the risk of how it turns out?
ParlaMint-NO_2012-03-07.ana.ud1189e407	When economic compensation models were created, they were taken from the individual municipalities and created models based on them. It is also important to stress that the model of the Cooperation Reform, the District Medical Centres and the decentralisation scheme underpinning them are the municipalities themselves with our initiators. A large number of places, small municipalities around the district, have seen that this is a way to provide better services to citizens and to interact with health professionals to build it up. But, of course, there may be variations between municipalities, and that is precisely why the Minister of Health and Health has now said that one will follow the developments to see how the outcome is linked to the economic one. Municipalities are to be taken care of and are to be paid the costs they have, but they also have an independent responsibility to address the local situation and to build these services as efficiently, economically and efficiently as possible.
ParlaMint-NO_2012-03-07.ana.ud1189e418	Let's go to the next main question.
ParlaMint-NO_2012-03-07.ana.ud1189e421	My question goes to the State Council of Aasland. The party welcomes the fact that data from the Databank on right-wing education show that several students completed three-year engineering education last year. However, the progressing party will point out that there is only a small step in the right direction. The lack of engineering is enormous both in the private and public sectors and has become a barrier to development and value creation in view of the fact that the need for 16 000 new engineers has been reported at the beginning of this year. The government has established 12,000 new study places in the last six years. This is produced as a strong commitment and action force. 11,000 of the 12,000 study places are so-called cheap, easy to set up, and do not entail increased investment costs in the form of technology buildings. The lack of government support means that the UH sector has to reject a large number of qualified applicants each year for the engineering studies. Nor does the initiative meet the needs of the labour market. The progress party therefore believes that the investment in engineering training is far too weak. The institutions providing the education lack technology building and therefore cannot take in more students. An example of this is in Rogaland, where both business and municipalities are almost screaming for engineers. The University of Stavanger has 500 qualified applicants for only 50 places. So lack of space makes it completely impossible to input more. Still, we hear the Council of State say that it is up to the institutions themselves to assess the type of education they want to offer. But it just doesn't matter as long as you don't have the guts to offer these studies. Will the Council of State, in its further strategy for engineering training, ensure that much more is invested in the development of technology buildings at the educational institutions?
